forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-09-30,2025-09-30 04:00:00+0000,974.73,1070.9,834.72,1034.07,1075.4,903.59,1068.51,1067.14,788.39,1065.8,1045.07,1039.52,727.98,788.43,912.55,1044.08,1036.18,891.61,983.39,1051.8,1040.18,1024.05,1065.97,736.17,721.17,1036.8,1009.19,975.75,1033.16,841.3,751.41,1059.79,783.23,906.09,833.46,715.57,730.57,903.27,1026.56,1020.03,1045.4,1026.98,1016.51,1032.48,1006.73,1017.32,1028.23,746.02,1026.53,723.4,791.26,1025.89,1024.88,1046.82,976.98,1028.11,977.75,733.62,1022.98,1022.96,1015.72,1044.01,1042.82,722.13,1032.6,1036.14,1032.18,1056.92,744.57,916.58,1029.02,1031.38,839.44,910.19,781.73,716.71,795.62,1014.45,1031.41,708.78,732.21,1017.75,1018.31,1023.2,989.72,1029.49,1023.36,895.57,890.2,989.74,1017.85,1027.65,1028.75,948.48,769.89,838.42,1035.58,1021.78,701.69,715.72,776.16,1033.05,1029.33,731.57,831.79,722.94,791.18,958.07,929.34,920.1,941.44,930.72,940.81,939.62,930.83,894.08,843.04,923.74,880.96,943.78,788.8,742.48,719.22,754.13,934.85,975.5,955.43,1014.11,946.6,876.94,952.52,1012.87,798.49,735.95,791,838.02,752.78,839.12,941.49,968.31,984.81,1035.1,963.23,905.35,908.7,934.59,746.01,738.97,925.87,939.59,766.9,1069.2,864.31,1095.42,1061.53,1057.74,1049,1058.82,755.25,767.63,785.46,1086.66,1078.91,1045.33,751.21,1075.53,797.48,980.38
2025-10-09,2025-10-09 04:00:00+0000,980.42,843.35,1061.34,1054.34,1030.38,908.96,1047.9,979.81,1061.81,1043.83,1052.63,852.94,791.14,1036.05,1023.89,819.81,734.84,1031.68,1014.76,1033.89,1049.93,1015.87,1058.99,918.12,749.92,940.2,1047,1043.67,728.1,755.42,1028.78,1029.98,830.71,855,905.02,739.87,1024.87,759.84,794.26,1030.46,1043.6,1017.16,1038.79,953.63,735.59,959.19,1039.89,1039.11,1043.07,1062.48,1045.16,758.07,1071.51,1070.61,999.45,945.84,854.78,807.11,962.24,960.38,948.56,967.86,899.81,985.04,741.12,766.08,811.91,953.18,964.1,990.92,948.97,922.62,964.33,949.2,933.35,770.37,738.27,747.63,870.75,758.01,1039.53,1050.44,988.52,814.17,773.93,863.77,940.14,983.29,960.39,953.78,955.48,866.19,1005.87,905.92,929.67,821.14,765.1,758.28,967,955.81,960.5,785.23,1032.23,1084.25,1065.15,1022.03,1069.98,784.87,890.57,1045,1059.57,1102.44,1096.06,1096.26,1013.2,1123.99,956.29,888.15,1085.34,827.32,1114.96,1100.67,1051.03,796.23,782.23,815.73,1108.66,1089.96,1134.63,1140.58,790.39,1118.36,973.24,1032.99,791.32,1064.13,1146.58,809.61,1099.99,1081.56,1044.61,1107.93,843.19,1086.48,1057.09,1040.75,897.66,822.01,903.84,1042.49,1105.33,915.45,1058.23,1054.94,1044.3,1050.92,856.73,804.13,805.31,1120.55,1143.93,1138.2,1159.66,822.29,1081.49,833.91,1102.77,1044.4
2025-10-10,2025-10-10 06:00:00+0000,852.94,1058.99,1043.83,1052.63,979.81,1028.78,918.12,1029.98,830.71,855,905.02,739.87,1024.87,759.84,794.26,1030.46,1043.6,1017.16,1038.79,953.63,735.59,959.19,1039.89,1039.11,1043.07,1062.48,1045.16,758.07,1071.51,1070.61,999.45,945.84,854.78,807.11,962.24,960.38,948.56,967.86,899.81,985.04,741.12,766.08,811.91,953.18,964.1,990.92,948.97,922.62,964.33,949.2,933.35,770.37,738.27,747.63,870.75,967,1039.53,955.81,905.92,758.28,866.19,785.23,765.1,960.39,940.14,863.77,821.14,929.67,773.93,758.01,983.29,1005.87,960.5,955.48,814.17,953.78,988.52,1050.44,1032.23,1102.44,1059.57,1045,1069.98,1065.15,890.57,784.87,1084.25,1022.03,1108.66,815.73,782.23,796.23,1051.03,1085.34,1100.67,1114.96,827.32,888.15,956.29,1096.26,1123.99,1096.06,1013.2,1089.96,1134.63,1140.58,790.39,1118.36,973.24,1032.99,791.32,1064.13,1146.58,809.61,1099.99,1081.56,1044.61,1107.93,843.19,1086.48,1057.09,1040.75,897.66,822.01,903.84,1042.49,1105.33,1058.23,1044.3,1044.4,1054.94,833.91,1079.63,1097.82,1102.77,804.13,805.31,1081.49,1120.55,1159.66,1143.93,915.45,1050.92,856.73,975.74,1043.81,1100.17,1083,906.74,822.29,1138.2,1149.91,1049.6,1134.25,841.19,1057.16,1051,1143.04,830.59,1071.88,1089.33,814.4,924.92,861.58,1052.64,1098.66,1114.19,812.05
2025-10-11,2025-10-11 00:00:00+0000,1039.11,1030.46,1038.79,905.02,855,999.45,959.19,945.84,854.78,807.11,962.24,960.38,948.56,967.86,899.81,985.04,741.12,766.08,811.91,953.18,964.1,990.92,948.97,922.62,964.33,949.2,933.35,770.37,738.27,747.63,870.75,967,1039.53,955.81,905.92,758.28,866.19,785.23,765.1,960.39,940.14,863.77,821.14,929.67,773.93,758.01,983.29,1005.87,960.5,955.48,814.17,953.78,988.52,1050.44,1032.23,1084.25,1065.15,1022.03,1069.98,784.87,890.57,1045,1059.57,1102.44,1096.06,1096.26,1013.2,1123.99,956.29,888.15,1085.34,827.32,1114.96,1100.67,1051.03,796.23,782.23,815.73,1108.66,1140.58,1042.49,790.39,1134.63,1064.13,1081.56,1044.61,973.24,1146.58,1032.99,1099.99,1107.93,843.19,1086.48,1057.09,1040.75,791.32,897.66,822.01,903.84,1118.36,1105.33,1089.96,809.61,1058.23,1044.3,1044.4,1054.94,833.91,1079.63,1097.82,1102.77,804.13,805.31,1081.49,1120.55,1159.66,1143.93,915.45,1050.92,856.73,975.74,1043.81,1100.17,1083,906.74,822.29,1138.2,969.39,1027.95,1096.65,1052.64,1098.66,1114.19,1149.91,1093.28,1134.25,812.05,841.19,1049.6,1078.88,1057.16,1143.04,1051,830.59,814.4,1069.17,1071.88,1089.33,924.92,861.58,903.6,825.1,801.37,1101.91,899.63,1058.31,1079.59,798.15,1049.32,1113.83,855.25,1057.11,1084.58,1123.13,1122.17,1013.29,1094.71,819.61
2025-10-12,2025-10-12 05:00:00+0000,899.81,967.86,990.92,854.78,933.35,985.04,964.1,967,1039.53,955.81,905.92,758.28,866.19,785.23,765.1,960.39,940.14,863.77,821.14,929.67,773.93,758.01,983.29,1005.87,960.5,955.48,814.17,953.78,988.52,1050.44,1032.23,1084.25,1065.15,1022.03,1069.98,784.87,890.57,1045,1059.57,1102.44,1096.06,1096.26,1013.2,1123.99,956.29,888.15,1085.34,827.32,1114.96,1100.67,1051.03,796.23,782.23,815.73,1108.66,1089.96,1134.63,1140.58,790.39,1118.36,973.24,1032.99,791.32,1064.13,1146.58,809.61,1099.99,1081.56,1044.61,1107.93,843.19,1086.48,1057.09,1040.75,897.66,822.01,903.84,1042.49,1105.33,915.45,1143.93,1159.66,1120.55,805.31,804.13,1081.49,1102.77,1054.94,1044.4,1044.3,1058.23,1097.82,1079.63,833.91,1138.2,1050.92,1083,1100.17,1043.81,906.74,822.29,975.74,856.73,969.39,1027.95,1096.65,1052.64,1098.66,1114.19,1149.91,1093.28,1134.25,812.05,841.19,1049.6,1078.88,1057.16,1143.04,1051,830.59,814.4,1069.17,1071.88,1089.33,924.92,861.58,903.6,994.41,1079.59,1113.83,855.25,1027.69,1049.32,1094.71,1123.13,825.1,819.61,801.37,1122.17,944.84,899.63,897.85,1061.09,1079.81,1074.73,1057.11,1058.31,1084.58,798.15,1101.91,1013.29,821.66,791.52,979.42,998.55,977.25,1009.17,973.57,811.03,974.03,874.1,988.85,846.38,789.88,930.07,1005.02,1012.25,782.81
2025-10-13,2025-10-13 05:00:00+0000,929.67,1050.44,1005.87,988.52,1039.53,866.19,1032.23,1084.25,1065.15,1022.03,1069.98,784.87,890.57,1045,1059.57,1102.44,1096.06,1096.26,1013.2,1123.99,956.29,888.15,1085.34,827.32,1114.96,1100.67,1051.03,796.23,782.23,815.73,1108.66,1089.96,1134.63,1140.58,790.39,1118.36,973.24,1032.99,791.32,1064.13,1146.58,809.61,1099.99,1081.56,1044.61,1107.93,843.19,1086.48,1057.09,1040.75,897.66,822.01,903.84,1042.49,1105.33,1058.23,1044.3,1044.4,1054.94,833.91,1079.63,1097.82,1102.77,804.13,805.31,1081.49,1120.55,1159.66,1143.93,915.45,1050.92,856.73,975.74,1043.81,1100.17,1083,906.74,822.29,1138.2,1093.28,1089.33,861.58,1078.88,1149.91,969.39,841.19,1057.16,814.4,1143.04,1051,830.59,1027.95,1114.19,924.92,1049.6,1096.65,1134.25,903.6,1069.17,812.05,1052.64,1071.88,1098.66,994.41,1079.59,1113.83,855.25,1027.69,1049.32,1094.71,1123.13,825.1,819.61,801.37,1122.17,944.84,899.63,897.85,1061.09,1079.81,1074.73,1057.11,1058.31,1084.58,798.15,1101.91,1013.29,969.79,930.07,973.57,874.1,996.65,821.66,1009.17,782.81,888.33,846.38,811.03,1014.81,1016.72,992.26,974.03,791.52,988.85,934.17,1005.02,977.25,1012.25,998.55,789.88,979.42,850.68,968.45,817.73,993.74,983.57,992.12,810.43,998.61,848.35,932.33,892.26,800.21,1011.79,786.96,992.65,995.93,790.47
2025-10-14,2025-10-14 04:00:00+0000,1022.03,956.29,888.15,1102.44,1096.26,1085.34,1069.98,1089.96,1134.63,1140.58,790.39,1118.36,973.24,1032.99,791.32,1064.13,1146.58,809.61,1099.99,1081.56,1044.61,1107.93,843.19,1086.48,1057.09,1040.75,897.66,822.01,903.84,1042.49,1105.33,1138.2,1079.63,1097.82,1058.23,1044.3,1044.4,1054.94,833.91,804.13,805.31,1102.77,1120.55,1159.66,1143.93,915.45,1081.49,975.74,822.29,906.74,1043.81,1100.17,1083,1050.92,856.73,969.39,1027.95,1096.65,1052.64,1098.66,1114.19,1149.91,1093.28,1134.25,812.05,841.19,1049.6,1078.88,1057.16,1143.04,1051,830.59,814.4,1069.17,1071.88,1089.33,924.92,861.58,903.6,994.41,1079.59,1113.83,855.25,1027.69,1049.32,1094.71,1123.13,825.1,819.61,801.37,1122.17,944.84,899.63,897.85,1061.09,1079.81,1074.73,1057.11,1058.31,1084.58,798.15,1101.91,1013.29,969.79,930.07,973.57,874.1,996.65,821.66,1009.17,782.81,888.33,846.38,811.03,1014.81,1016.72,992.26,974.03,791.52,988.85,934.17,1005.02,977.25,1012.25,998.55,789.88,979.42,956.45,850.68,786.96,983.57,992.12,896.63,800.21,968.45,1011.79,1017.44,992.65,1078.72,1033.24,810.43,790.47,892.26,932.33,998.61,993.74,817.73,1070.82,1060.52,848.35,995.93,1144.03,1102.84,1082.63,773.73,811.61,1122.57,1063.6,1135.95,1065.22,1124.69,823.19,790.38,1018.92,1055.76,778.58,892.67,1150.49
2025-10-15,2025-10-15 05:00:00+0000,973.24,1099.99,1105.33,1081.56,1086.48,1042.49,903.84,1058.23,1044.3,1044.4,1054.94,833.91,1079.63,1097.82,1102.77,804.13,805.31,1081.49,1120.55,1159.66,1143.93,915.45,1050.92,856.73,975.74,1043.81,1100.17,1083,906.74,822.29,1138.2,1069.17,903.6,924.92,814.4,1089.33,1071.88,830.59,1051,1143.04,1057.16,1078.88,1049.6,841.19,1093.28,812.05,1134.25,1149.91,1114.19,1098.66,1052.64,1096.65,1027.95,969.39,861.58,994.41,1079.59,1113.83,855.25,1027.69,1049.32,1094.71,1123.13,825.1,819.61,801.37,1122.17,944.84,899.63,897.85,1061.09,1079.81,1074.73,1057.11,1058.31,1084.58,798.15,1101.91,1013.29,969.79,930.07,973.57,874.1,996.65,821.66,1009.17,782.81,888.33,846.38,811.03,1014.81,1016.72,992.26,974.03,791.52,988.85,934.17,1005.02,977.25,1012.25,998.55,789.88,979.42,956.45,850.68,786.96,983.57,992.12,896.63,800.21,968.45,1011.79,1017.44,992.65,1078.72,1033.24,810.43,790.47,892.26,932.33,998.61,993.74,817.73,1070.82,1060.52,848.35,995.93,790.38,1018.92,1055.76,1111.65,1020.62,778.58,892.67,1150.49,1144.03,1102.84,1082.63,1067.52,887.77,773.73,811.61,1122.57,1063.6,1102.11,1124.69,1135.95,1065.22,954.8,823.19,1093,898.05,1026.08,1093.97,1130.25,1111.02,845.48,794.07,1117.15,811.51,1079.68,794.07,1122.17,822.06,1102.16,1076.15,1071.77,1137.43
2025-10-16,2025-10-16 02:00:00+0000,1097.82,975.74,1043.81,1079.63,1083,1100.17,906.74,969.39,1027.95,1096.65,1052.64,1098.66,1114.19,1149.91,1093.28,1134.25,812.05,841.19,1049.6,1078.88,1057.16,1143.04,1051,830.59,814.4,1069.17,1071.88,1089.33,924.92,861.58,903.6,855.25,1079.59,897.85,1027.69,944.84,1094.71,1049.32,825.1,1074.73,801.37,1057.11,1101.91,1084.58,899.63,1123.13,1061.09,1079.81,798.15,1122.17,1058.31,1113.83,1013.29,994.41,819.61,969.79,930.07,973.57,874.1,996.65,821.66,1009.17,782.81,888.33,846.38,811.03,1014.81,1016.72,992.26,974.03,791.52,988.85,934.17,1005.02,977.25,1012.25,998.55,789.88,979.42,956.45,850.68,786.96,983.57,992.12,896.63,800.21,968.45,1011.79,1017.44,992.65,1078.72,1033.24,810.43,790.47,892.26,932.33,998.61,993.74,817.73,1070.82,1060.52,848.35,995.93,790.38,1018.92,1055.76,1111.65,1020.62,778.58,892.67,1150.49,1144.03,1102.84,1082.63,1067.52,887.77,773.73,811.61,1122.57,1063.6,1102.11,1124.69,1135.95,1065.22,954.8,823.19,1093,1079.68,1127.68,794.07,822.06,1102.16,1076.15,1071.77,1115.11,1086.21,1137.43,1105.6,898.05,1026.08,1093.97,1036.1,965.94,896.99,845.48,794.07,1130.25,1111.02,811.51,1117.15,1122.17,822.19,1123.94,1098.25,1083.51,1023.73,1115.98,1104.1,1132.99,1115.33,1074.82,898.1,851.52,794.51,1067.47,1080.67,799.08,816.83
2025-10-17,2025-10-17 01:00:00+0000,1096.65,903.6,1069.17,1093.28,969.39,1027.95,1078.88,994.41,1079.59,1113.83,855.25,1027.69,1049.32,1094.71,1123.13,825.1,819.61,801.37,1122.17,944.84,899.63,897.85,1061.09,1079.81,1074.73,1057.11,1058.31,1084.58,798.15,1101.91,1013.29,930.07,789.88,846.38,974.03,934.17,874.1,973.57,1009.17,811.03,791.52,996.65,977.25,998.55,979.42,821.66,782.81,888.33,1014.81,1016.72,992.26,969.79,988.85,1005.02,1012.25,956.45,850.68,786.96,983.57,992.12,896.63,800.21,968.45,1011.79,1017.44,992.65,1078.72,1033.24,810.43,790.47,892.26,932.33,998.61,993.74,817.73,1070.82,1060.52,848.35,995.93,790.38,1018.92,1055.76,1111.65,1020.62,778.58,892.67,1150.49,1144.03,1102.84,1082.63,1067.52,887.77,773.73,811.61,1122.57,1063.6,1102.11,1124.69,1135.95,1065.22,954.8,823.19,1093,1079.68,1127.68,794.07,822.06,1102.16,1076.15,1071.77,1115.11,1086.21,1137.43,1105.6,898.05,1026.08,1093.97,1036.1,965.94,896.99,845.48,794.07,1130.25,1111.02,811.51,1117.15,1122.17,1067.47,1080.67,1099.53,799.08,816.83,1083.51,1107.51,1072.41,822.19,1123.94,1098.25,1023.73,1115.98,1104.1,1074.82,885.18,1132.99,1115.33,898.1,1023.15,953.92,851.52,794.51,1127.16,995.19,1052.99,1110.52,1072.42,1063.51,1068.27,771.95,1054.53,778.37,835.79,796.87,867.34,1115.87,1097.88,799.6,1083.79,1093.89
