forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-10-25T13:55:00Z,2025-10-25T15:00:00Z,0.111,0.111,0.111,0.111,0.112,0.112,0.114,0.114,0.114,0.115,0.115,0.117,0.117,0.119,0.119,0.12,0.12,0.122,0.124,0.124,0.126,0.127,0.129,0.129,0.131,0.133,0.135,0.135,0.139,0.139,0.143,0.145,0.147,0.149,0.149,0.151,0.151,0.153,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.153,0.153,0.151,0.149,0.147,0.145,0.143,0.141,0.139,0.139,0.137,0.135,0.133,0.131,0.131,0.131,0.129,0.127,0.127,0.127,0.126,0.126,0.126,0.124,0.124,0.124,0.124,0.122,0.122,0.122,0.12,0.12,0.12,0.12,0.12,0.119,0.119,0.119,0.117,0.117,0.117,0.117,0.117,0.115,0.115,0.115,0.115,0.114,0.114,0.114,0.114,0.114,0.112,0.112,0.112,0.112,0.111,0.111,0.111,0.111,0.111,0.109,0.109,0.109,0.109,0.109,0.109,0.108,0.108,0.108,0.108,0.108,0.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-10-25T13:55:00Z,2025-10-25T15:00:00Z,0.111,0.111,0.111,0.111,0.112,0.112,0.114,0.114,0.114,0.115,0.115,0.117,0.117,0.119,0.119,0.12,0.12,0.122,0.124,0.124,0.126,0.127,0.129,0.129,0.131,0.133,0.135,0.135,0.139,0.139,0.143,0.145,0.147,0.149,0.149,0.151,0.151,0.153,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.153,0.153,0.151,0.149,0.147,0.145,0.143,0.141,0.139,0.139,0.137,0.135,0.133,0.131,0.131,0.131,0.129,0.127,0.127,0.127,0.126,0.126,0.126,0.124,0.124,0.124,0.124,0.122,0.122,0.122,0.12,0.12,0.12,0.12,0.12,0.119,0.119,0.119,0.117,0.117,0.117,0.117,0.117,0.115,0.115,0.115,0.115,0.114,0.114,0.114,0.114,0.114,0.112,0.112,0.112,0.112,0.111,0.111,0.111,0.111,0.111,0.109,0.109,0.109,0.109,0.109,0.109,0.108,0.108,0.108,0.108,0.108,0.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-10-31T14:24:00Z,2025-10-31T15:00:00Z,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-10-31T14:24:00Z,2025-10-31T15:00:00Z,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-11-01T14:56:00Z,2025-11-01T16:00:00Z,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.114,0.114,0.115,0.115,0.117,0.117,0.122,0.127,0.133,0.139,0.143,0.149,0.16,0.171,0.182,0.193,0.203,0.213,0.225,0.236,0.247,0.256,0.268,0.28,0.285,0.289,0.297,0.302,0.307,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-11-02T15:59:00Z,2025-11-02T17:00:00Z,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.115,0.115,0.117,0.117,0.117,0.117,0.126,0.131,0.139,0.145,0.153,0.16,0.174,0.18,0.186,0.193,0.199,0.207,0.217,0.225,0.233,0.238,0.244,0.249,0.256,0.261,0.268,0.268,0.27,0.272,0.275,0.27,0.268,0.263,0.254,0.251,0.249,0.244,0.242,0.238,0.236,0.233,0.231,0.229,0.227,0.225,0.223,0.221,0.221,0.219,0.217,0.215,0.213,0.211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-11-04T20:54:00Z,2025-11-04T22:00:00Z,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.114,0.119,0.124,0.129,0.135,0.141,0.147,0.155,0.164,0.173,0.182,0.191,0.199,0.207,0.217,0.225,0.233,0.242,0.251,0.256,0.261,0.265,0.27,0.275,0.28,0.275,0.27,0.265,0.261,0.254,0.249,0.244,0.238,0.233,0.229,0.223,0.219,0.215,0.211,0.209,0.205,0.201,0.199,0.197,0.195,0.193,0.193,0.191,0.189,0.189,0.187,0.187,0.187,0.186,0.186,0.184,0.184,0.184,0.182,0.182,0.182,0.18,0.18,0.18,0.178,0.178,0.178,0.176,0.174,0.174,0.173,0.173,0.171,0.169,0.167,0.165,0.165,0.164,0.162,0.16,0.16,0.158,0.158,0.155,0.155,0.153,0.151,0.151,0.149,0.149,0.147,0.147,0.145,0.145,0.145,0.145,0.143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-11-05T21:26:00Z,2025-11-05T22:00:00Z,0.151,0.16,0.167,0.174,0.182,0.187,0.195,0.203,0.209,0.213,0.217,0.221,0.225,0.229,0.233,0.229,0.225,0.219,0.215,0.211,0.205,0.201,0.197,0.193,0.187,0.184,0.18,0.176,0.174,0.171,0.169,0.165,0.162,0.162,0.16,0.158,0.158,0.155,0.153,0.153,0.153,0.151,0.151,0.149,0.149,0.147,0.147,0.145,0.145,0.145,0.143,0.143,0.141,0.141,0.141,0.139,0.139,0.139,0.137,0.137,0.135,0.135,0.135,0.133,0.131,0.131,0.129,0.129,0.127,0.127,0.126,0.126,0.124,0.124,0.122,0.12,0.12,0.119,0.119,0.117,0.115,0.115,0.115,0.115,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-11-06T20:52:00Z,2025-11-06T22:00:00Z,0.215,0.213,0.209,0.205,0.203,0.201,0.199,0.197,0.195,0.193,0.193,0.191,0.191,0.189,0.189,0.187,0.187,0.186,0.186,0.184,0.184,0.184,0.182,0.182,0.18,0.18,0.18,0.178,0.178,0.176,0.176,0.176,0.176,0.174,0.174,0.173,0.173,0.173,0.171,0.169,0.169,0.167,0.167,0.165,0.165,0.164,0.164,0.162,0.162,0.162,0.16,0.16,0.158,0.158,0.155,0.155,0.155,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-11-07T21:06:00Z,2025-11-07T22:00:00Z,0.176,0.176,0.174,0.173,0.173,0.173,0.171,0.169,0.169,0.169,0.167,0.165,0.165,0.164,0.164,0.162,0.162,0.16,0.158,0.158,0.155,0.155,0.153,0.153,0.151,0.151,0.149,0.149,0.147,0.147,0.145,0.143,0.143,0.143,0.141,0.141,0.141,0.141,0.139,0.139,0.139,0.139,0.139,0.137,0.137,0.137,0.137,0.137,0.137,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.133,0.133,0.133,0.133,0.133,0.133,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.129,0.129,0.129,0.129,0.129,0.129,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.126,0.126,0.126,0.126,0.126,0.126,0.124,0.124,0.124,0.124,0.124,0.124,0.122,0.122,0.122,0.122,0.122,0.122,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.119,0.119,0.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
