forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-10-25T15:08:00Z,2025-10-25T18:00:00Z,5.13,NaN,NaN,NaN,NaN,NaN,3.89,NaN,NaN,NaN,NaN,NaN,3.85,NaN,NaN,NaN,NaN,NaN,4.81,NaN,NaN,NaN,NaN,NaN,5.1,NaN,NaN,NaN,NaN,NaN,4.71,NaN,NaN,NaN,NaN,NaN,4.2,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,NaN,3.41,NaN,NaN,NaN,NaN,NaN,3.2,NaN,NaN,NaN,NaN,NaN,3.11,NaN,NaN,NaN,NaN,NaN,3.05,NaN,NaN,NaN,NaN,NaN,3.09,NaN,NaN,NaN,NaN,NaN,3.37,NaN,NaN,NaN,NaN,NaN,3.99,NaN,NaN,NaN,NaN,NaN,4.86,NaN,NaN,NaN,NaN,NaN,5.28,NaN,NaN,NaN,NaN,NaN,5.13,NaN,NaN,NaN,NaN,NaN,4.64,NaN,NaN,NaN,NaN,NaN,4.11,NaN,NaN,NaN,NaN,NaN,3.71,NaN,NaN,NaN,NaN,NaN,3.41,NaN,NaN,NaN,NaN,NaN,3.24,NaN,NaN,NaN,NaN,NaN,3.43,NaN,NaN,NaN,NaN,NaN,4.4,NaN,NaN,NaN,NaN,NaN,6.35,NaN,NaN,NaN,NaN,NaN,9.98,NaN,NaN,NaN,NaN,NaN,11.5,NaN,NaN,NaN,NaN,NaN
2025-10-25T15:08:00Z,2025-10-25T18:00:00Z,5.13,NaN,NaN,NaN,NaN,NaN,3.89,NaN,NaN,NaN,NaN,NaN,3.85,NaN,NaN,NaN,NaN,NaN,4.81,NaN,NaN,NaN,NaN,NaN,5.1,NaN,NaN,NaN,NaN,NaN,4.71,NaN,NaN,NaN,NaN,NaN,4.2,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,NaN,3.41,NaN,NaN,NaN,NaN,NaN,3.2,NaN,NaN,NaN,NaN,NaN,3.11,NaN,NaN,NaN,NaN,NaN,3.05,NaN,NaN,NaN,NaN,NaN,3.09,NaN,NaN,NaN,NaN,NaN,3.37,NaN,NaN,NaN,NaN,NaN,3.99,NaN,NaN,NaN,NaN,NaN,4.86,NaN,NaN,NaN,NaN,NaN,5.28,NaN,NaN,NaN,NaN,NaN,5.13,NaN,NaN,NaN,NaN,NaN,4.64,NaN,NaN,NaN,NaN,NaN,4.11,NaN,NaN,NaN,NaN,NaN,3.71,NaN,NaN,NaN,NaN,NaN,3.41,NaN,NaN,NaN,NaN,NaN,3.24,NaN,NaN,NaN,NaN,NaN,3.43,NaN,NaN,NaN,NaN,NaN,4.4,NaN,NaN,NaN,NaN,NaN,6.35,NaN,NaN,NaN,NaN,NaN,9.98,NaN,NaN,NaN,NaN,NaN,11.5,NaN,NaN,NaN,NaN,NaN
2025-10-31T15:36:00Z,2025-10-31T18:00:00Z,2.49,NaN,NaN,NaN,NaN,NaN,3.17,NaN,NaN,NaN,NaN,NaN,5.28,NaN,NaN,NaN,NaN,NaN,7.72,NaN,NaN,NaN,NaN,NaN,9.58,NaN,NaN,NaN,NaN,NaN,10.1,NaN,NaN,NaN,NaN,NaN,8.88,NaN,NaN,NaN,NaN,NaN,7.84,NaN,NaN,NaN,NaN,NaN,6.91,NaN,NaN,NaN,NaN,NaN,6.04,NaN,NaN,NaN,NaN,NaN,5.26,NaN,NaN,NaN,NaN,NaN,4.66,NaN,NaN,NaN,NaN,NaN,4.23,NaN,NaN,NaN,NaN,NaN,4.03,NaN,NaN,NaN,NaN,NaN,4.28,NaN,NaN,NaN,NaN,NaN,4.83,NaN,NaN,NaN,NaN,NaN,5.28,NaN,NaN,NaN,NaN,NaN,5.23,NaN,NaN,NaN,NaN,NaN,4.88,NaN,NaN,NaN,NaN,NaN,4.66,NaN,NaN,NaN,NaN,NaN,4.93,NaN,NaN,NaN,NaN,NaN,5.72,NaN,NaN,NaN,NaN,NaN,6.94,NaN,NaN,NaN,NaN,NaN,8.02,NaN,NaN,NaN,NaN,NaN,8.53,NaN,NaN,NaN,NaN,NaN,8.85,NaN,NaN,NaN,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,11.0,NaN,NaN,NaN,NaN,NaN
2025-10-31T15:36:00Z,2025-10-31T18:00:00Z,2.49,NaN,NaN,NaN,NaN,NaN,3.17,NaN,NaN,NaN,NaN,NaN,5.28,NaN,NaN,NaN,NaN,NaN,7.72,NaN,NaN,NaN,NaN,NaN,9.58,NaN,NaN,NaN,NaN,NaN,10.1,NaN,NaN,NaN,NaN,NaN,8.88,NaN,NaN,NaN,NaN,NaN,7.84,NaN,NaN,NaN,NaN,NaN,6.91,NaN,NaN,NaN,NaN,NaN,6.04,NaN,NaN,NaN,NaN,NaN,5.26,NaN,NaN,NaN,NaN,NaN,4.66,NaN,NaN,NaN,NaN,NaN,4.23,NaN,NaN,NaN,NaN,NaN,4.03,NaN,NaN,NaN,NaN,NaN,4.28,NaN,NaN,NaN,NaN,NaN,4.83,NaN,NaN,NaN,NaN,NaN,5.28,NaN,NaN,NaN,NaN,NaN,5.23,NaN,NaN,NaN,NaN,NaN,4.88,NaN,NaN,NaN,NaN,NaN,4.66,NaN,NaN,NaN,NaN,NaN,4.93,NaN,NaN,NaN,NaN,NaN,5.72,NaN,NaN,NaN,NaN,NaN,6.94,NaN,NaN,NaN,NaN,NaN,8.02,NaN,NaN,NaN,NaN,NaN,8.53,NaN,NaN,NaN,NaN,NaN,8.85,NaN,NaN,NaN,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,11.0,NaN,NaN,NaN,NaN,NaN
2025-11-02T01:02:00Z,2025-11-02T06:00:00Z,24.1,NaN,NaN,NaN,NaN,NaN,16.0,NaN,NaN,NaN,NaN,NaN,10.8,NaN,NaN,NaN,NaN,NaN,8.75,NaN,NaN,NaN,NaN,NaN,7.38,NaN,NaN,NaN,NaN,NaN,6.43,NaN,NaN,NaN,NaN,NaN,5.75,NaN,NaN,NaN,NaN,NaN,5.28,NaN,NaN,NaN,NaN,NaN,4.9,NaN,NaN,NaN,NaN,NaN,4.64,NaN,NaN,NaN,NaN,NaN,4.4,NaN,NaN,NaN,NaN,NaN,4.2,NaN,NaN,NaN,NaN,NaN,4.06,NaN,NaN,NaN,NaN,NaN,4.25,NaN,NaN,NaN,NaN,NaN,5.1,NaN,NaN,NaN,NaN,NaN,6.4,NaN,NaN,NaN,NaN,NaN,8.09,NaN,NaN,NaN,NaN,NaN,9.37,NaN,NaN,NaN,NaN,NaN,9.64,NaN,NaN,NaN,NaN,NaN,10.1,NaN,NaN,NaN,NaN,NaN,11.6,NaN,NaN,NaN,NaN,NaN,12.4,NaN,NaN,NaN,NaN,NaN,11.5,NaN,NaN,NaN,NaN,NaN,10.4,NaN,NaN,NaN,NaN,NaN,9.44,NaN,NaN,NaN,NaN,NaN,8.46,NaN,NaN,NaN,NaN,NaN,7.47,NaN,NaN,NaN,NaN,NaN,6.91,NaN,NaN,NaN,NaN,NaN
2025-11-02T21:17:00Z,2025-11-03T00:00:00Z,6.94,NaN,NaN,NaN,NaN,NaN,5.91,NaN,NaN,NaN,NaN,NaN,5.18,NaN,NaN,NaN,NaN,NaN,4.66,NaN,NaN,NaN,NaN,NaN,4.25,NaN,NaN,NaN,NaN,NaN,3.96,NaN,NaN,NaN,NaN,NaN,3.77,NaN,NaN,NaN,NaN,NaN,3.64,NaN,NaN,NaN,NaN,NaN,3.52,NaN,NaN,NaN,NaN,NaN,3.43,NaN,NaN,NaN,NaN,NaN,3.59,NaN,NaN,NaN,NaN,NaN,4.38,NaN,NaN,NaN,NaN,NaN,5.46,NaN,NaN,NaN,NaN,NaN,6.6,NaN,NaN,NaN,NaN,NaN,8.15,NaN,NaN,NaN,NaN,NaN,8.75,NaN,NaN,NaN,NaN,NaN,9.14,NaN,NaN,NaN,NaN,NaN,10.2,NaN,NaN,NaN,NaN,NaN,11.0,NaN,NaN,NaN,NaN,NaN,10.6,NaN,NaN,NaN,NaN,NaN,9.61,NaN,NaN,NaN,NaN,NaN,8.65,NaN,NaN,NaN,NaN,NaN,7.72,NaN,NaN,NaN,NaN,NaN,6.86,NaN,NaN,NaN,NaN,NaN,6.6,NaN,NaN,NaN,NaN,NaN,7.06,NaN,NaN,NaN,NaN,NaN,7.87,NaN,NaN,NaN,NaN,NaN,8.4,NaN,NaN,NaN,NaN,NaN
2025-11-04T22:28:00Z,2025-11-05T00:00:00Z,3.64,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,NaN,3.64,NaN,NaN,NaN,NaN,NaN,4.38,NaN,NaN,NaN,NaN,NaN,5.7,NaN,NaN,NaN,NaN,NaN,7.06,NaN,NaN,NaN,NaN,NaN,8.34,NaN,NaN,NaN,NaN,NaN,8.78,NaN,NaN,NaN,NaN,NaN,9.01,NaN,NaN,NaN,NaN,NaN,11.2,NaN,NaN,NaN,NaN,NaN,12.6,NaN,NaN,NaN,NaN,NaN,11.6,NaN,NaN,NaN,NaN,NaN,10.4,NaN,NaN,NaN,NaN,NaN,9.04,NaN,NaN,NaN,NaN,NaN,7.72,NaN,NaN,NaN,NaN,NaN,6.66,NaN,NaN,NaN,NaN,NaN,5.86,NaN,NaN,NaN,NaN,NaN,5.31,NaN,NaN,NaN,NaN,NaN,4.9,NaN,NaN,NaN,NaN,NaN,4.64,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,NaN,NaN,NaN,4.73,NaN,NaN,NaN,NaN,NaN,5.36,NaN,NaN,NaN,NaN,NaN,6.13,NaN,NaN,NaN,NaN,NaN,6.94,NaN,NaN,NaN,NaN,NaN,7.44,NaN,NaN,NaN,NaN,NaN,7.5,NaN,NaN,NaN,NaN,NaN,7.18,NaN,NaN,NaN,NaN,NaN
2025-11-05T22:34:00Z,2025-11-06T00:00:00Z,4.95,NaN,NaN,NaN,NaN,NaN,6.1,NaN,NaN,NaN,NaN,NaN,7.9,NaN,NaN,NaN,NaN,NaN,8.81,NaN,NaN,NaN,NaN,NaN,9.14,NaN,NaN,NaN,NaN,NaN,11.6,NaN,NaN,NaN,NaN,NaN,12.6,NaN,NaN,NaN,NaN,NaN,11.2,NaN,NaN,NaN,NaN,NaN,9.75,NaN,NaN,NaN,NaN,NaN,8.27,NaN,NaN,NaN,NaN,NaN,7.06,NaN,NaN,NaN,NaN,NaN,6.13,NaN,NaN,NaN,NaN,NaN,5.51,NaN,NaN,NaN,NaN,NaN,5.15,NaN,NaN,NaN,NaN,NaN,4.88,NaN,NaN,NaN,NaN,NaN,4.59,NaN,NaN,NaN,NaN,NaN,4.4,NaN,NaN,NaN,NaN,NaN,4.4,NaN,NaN,NaN,NaN,NaN,4.54,NaN,NaN,NaN,NaN,NaN,4.83,NaN,NaN,NaN,NaN,NaN,5.33,NaN,NaN,NaN,NaN,NaN,5.67,NaN,NaN,NaN,NaN,NaN,5.75,NaN,NaN,NaN,NaN,NaN,5.51,NaN,NaN,NaN,NaN,NaN,5.23,NaN,NaN,NaN,NaN,NaN,4.9,NaN,NaN,NaN,NaN,NaN,4.64,NaN,NaN,NaN,NaN,NaN,4.43,NaN,NaN,NaN,NaN,NaN
2025-11-06T21:40:00Z,2025-11-07T00:00:00Z,7.81,NaN,NaN,NaN,NaN,NaN,10.2,NaN,NaN,NaN,NaN,NaN,12.6,NaN,NaN,NaN,NaN,NaN,11.8,NaN,NaN,NaN,NaN,NaN,10.3,NaN,NaN,NaN,NaN,NaN,8.75,NaN,NaN,NaN,NaN,NaN,7.47,NaN,NaN,NaN,NaN,NaN,6.43,NaN,NaN,NaN,NaN,NaN,5.7,NaN,NaN,NaN,NaN,NaN,5.15,NaN,NaN,NaN,NaN,NaN,4.78,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,NaN,NaN,NaN,4.3,NaN,NaN,NaN,NaN,NaN,4.13,NaN,NaN,NaN,NaN,NaN,4.23,NaN,NaN,NaN,NaN,NaN,4.95,NaN,NaN,NaN,NaN,NaN,5.88,NaN,NaN,NaN,NaN,NaN,6.18,NaN,NaN,NaN,NaN,NaN,5.96,NaN,NaN,NaN,NaN,NaN,5.59,NaN,NaN,NaN,NaN,NaN,5.1,NaN,NaN,NaN,NaN,NaN,4.69,NaN,NaN,NaN,NaN,NaN,4.3,NaN,NaN,NaN,NaN,NaN,4.01,NaN,NaN,NaN,NaN,NaN,3.82,NaN,NaN,NaN,NaN,NaN,3.85,NaN,NaN,NaN,NaN,NaN,4.18,NaN,NaN,NaN,NaN,NaN,4.59,NaN,NaN,NaN,NaN,NaN
2025-11-07T21:45:00Z,2025-11-08T00:00:00Z,7.69,NaN,NaN,NaN,NaN,NaN,6.63,NaN,NaN,NaN,NaN,NaN,5.88,NaN,NaN,NaN,NaN,NaN,5.31,NaN,NaN,NaN,NaN,NaN,4.76,NaN,NaN,NaN,NaN,NaN,4.4,NaN,NaN,NaN,NaN,NaN,4.13,NaN,NaN,NaN,NaN,NaN,3.94,NaN,NaN,NaN,NaN,NaN,3.8,NaN,NaN,NaN,NaN,NaN,3.68,NaN,NaN,NaN,NaN,NaN,4.23,NaN,NaN,NaN,NaN,NaN,5.26,NaN,NaN,NaN,NaN,NaN,5.86,NaN,NaN,NaN,NaN,NaN,5.8,NaN,NaN,NaN,NaN,NaN,5.36,NaN,NaN,NaN,NaN,NaN,4.83,NaN,NaN,NaN,NaN,NaN,4.38,NaN,NaN,NaN,NaN,NaN,4.01,NaN,NaN,NaN,NaN,NaN,3.71,NaN,NaN,NaN,NaN,NaN,3.48,NaN,NaN,NaN,NaN,NaN,3.33,NaN,NaN,NaN,NaN,NaN,3.24,NaN,NaN,NaN,NaN,NaN,3.2,NaN,NaN,NaN,NaN,NaN,3.22,NaN,NaN,NaN,NaN,NaN,3.48,NaN,NaN,NaN,NaN,NaN,4.38,NaN,NaN,NaN,NaN,NaN,5.41,NaN,NaN,NaN,NaN,NaN,6.18,NaN,NaN,NaN,NaN,NaN
