forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:49:09+00:00,2025-11-05 00:00:00+00:00,1003.58466,1003.1855,1002.4861,1002.5797,1002.27673,1002.3786,1001.8783,1001.1773,1000.7776,1000.37604,1000.1718,999.67096,999.2725,998.18024,997.38495,996.8869,996.6871,996.18524,995.68225,995.08746,994.8001,994.50507,994.2083,993.61066,993.10767,992.7027,992.4954,992.59064,992.39233,992.59,992.4861,992.68146,992.6765,992.7724,992.77026,992.8686,992.9673,992.86707,992.8676,992.9673,993.06683,993.2677,993.2683,993.2727,993.0809,992.9879,992.8938,992.9944,992.9944,993.0902,992.98694,993.08374,993.2807,993.4784,993.5768,993.37756,993.278,993.37756,993.37665,993.27576,993.57245,993.6711,993.869,994.1678,994.66486,995.06213,995.5608,995.95984,996.46106,996.9618,997.36304,997.8633,998.6611,999.35834,1000.05396,1000.84924,1001.7436,1002.7374,1003.5331,1004.03015,1004.32825,1004.7267,1005.22473,1005.8223,1006.42,1006.91876,1007.41675,1007.81445,1008.20917,1008.60315,1008.8997,1009.1006,1009.30255,1009.30695,1009.1137,1008.72205,1008.32745,1007.9281,1007.5262,1007.1233,1006.7195,1006.3144,1005.81195,1005.1131,1004.4169,1003.62134,1002.8276,1001.935,1001.0429,1000.0512,998.9606,997.9689,997.17633,996.4829,995.987,1000.58466,1000.1038,999.5207,998.8318,998.1392,997.54425,997.1446,996.74176,996.44006,996.0416,995.7437,995.4455,995.2456,995.14453,994.94586,994.7504,994.4562,994.2613,994.064,993.9659,993.9666,994.06555,994.26416,994.4634,994.66547,994.8687,995.0714,995.1738,995.17664,995.27686,995.5735,995.8683,996.2633,996.75854,997.2545,997.85034,998.5448,999.33887,1000.1323,1000.92487,1001.8164,1002.6077,1003.39886,1004.2898,1005.081,1005.8719,1006.6647,1007.45996,1008.2612,1008.96716,1009.6716,1010.1754,1010.5789
2025-11-06 00:47:51+00:00,2025-11-06 00:00:00+00:00,992.0061,991.50024,991.4921,991.4872,991.48285,991.47906,991.07697,991.4732,991.5712,992.06714,992.1645,992.36255,992.6604,992.5608,992.56177,992.7631,993.1628,993.56213,993.76196,993.96497,993.7728,993.6798,993.5861,993.4909,993.4909,993.3884,993.3831,993.18176,993.1805,993.0771,992.8742,992.572,992.46924,992.56726,992.7653,992.9629,993.16205,993.2617,993.7597,994.4586,995.05457,995.6516,996.4491,997.14795,997.94696,998.74664,999.5456,1000.2444,1001.04065,1001.6373,1002.43207,1003.0274,1003.7247,1004.5209,1005.2166,1005.71234,1006.2088,1006.60504,1007.2014,1007.799,1008.39417,1008.8893,1009.3842,1009.7803,1010.1766,1010.5734,1011.06915,1011.36957,1011.3778,1011.4834,1011.48785,1011.4902,1011.39154,1011.1891,1010.8858,1010.5819,1010.3774,1010.27234,1009.9685,1009.56525,1009.06354,1008.4631,1007.76263,1006.86316,1005.9655,1005.0691,1004.0743,1003.1804,1002.2868,1001.49384,1000.7045,999.9196,999.23804,998.35626,997.2754,995.9942,994.909,993.91797,993.0236,992.22894,991.6347,991.13934,990.6456,990.05365,989.4624,988.969,988.5734,988.17584,987.9766,987.87537,987.9729,988.17084,988.6689,989.3675,989.8665,991.3613,991.66296,992.06354,992.3624,992.6604,993.0576,993.5534,994.149,994.7453,995.2434,995.74274,996.243,996.8435,997.44403,998.0439,998.7419,999.33887,1000.0356,1000.6317,1001.2281,1001.82367,1002.51874,1003.31287,1004.1091,1005.0069,1005.9063,1006.7069,1007.409,1008.11206,1008.8115,1009.5054,1010.0967,1010.6887,1011.1824,1011.57733,1011.97296,1012.26794,1012.4643,1012.66284,1012.7654,1012.87006,1012.7739,1012.2774,1011.58014,1010.98315,1010.48663,1010.0901,1009.6945,1009.3011,1008.8094,1008.2167,1007.224,1006.1304
2025-11-07 00:48:18+00:00,2025-11-07 00:00:00+00:00,993.10236,992.6009,992.89606,992.7958,993.094,992.99286,993.0896,992.98694,993.0843,993.5817,993.87994,994.17786,994.476,994.57404,995.0709,995.66754,996.46106,997.1582,997.8561,998.6545,999.15533,999.65717,1000.1586,1000.65765,1001.35547,1001.9503,1002.64374,1003.3388,1004.0361,1004.6331,1005.0299,1005.32654,1005.82306,1006.5196,1007.41547,1007.9119,1008.3097,1008.30646,1008.70337,1009.0,1009.5976,1009.6944,1010.1886,1010.3878,1010.2936,1010.19904,1010.0042,1009.7092,1009.2118,1008.613,1008.1105,1007.70734,1007.2043,1006.8004,1006.09875,1004.99817,1004.19885,1003.2995,1002.2024,1001.2073,1000.11163,998.82117,997.7277,996.5399,995.84705,994.5594,993.67755,992.9906,992.5091,991.9301,991.1471,990.46136,989.9695,989.5739,989.2743,989.0743,988.9747,988.97546,988.97394,988.871,988.76697,988.66394,988.5638,988.5638,988.66455,988.866,989.16766,989.56885,990.16876,990.8674,991.5655,992.06354,992.56165,992.9601,993.3585,993.65656,994.05505,994.55396,995.05273,995.5501,996.0432,996.53406,997.1267,997.72534,998.32587,998.92566,999.623,1000.3187,1001.1128,1001.90466,1002.69525,1003.386,1004.1772,1004.86884,1005.3631,1007.76044,1008.86523,1009.7685,1010.3683,1010.8658,1011.45905,1012.14545,1012.9269,1013.6111,1014.20105,1014.69403,1015.08734,1015.4781,1015.6701,1015.8623,1015.85785,1015.6557,1015.45496,1015.25476,1014.9575,1014.4649,1013.5795,1012.59937,1011.8203,1011.54395,1011.5694,1011.2905,1010.604,1009.6132,1008.7194,1008.02216,1007.42096,1006.9211,1006.42206,1006.0246,1005.72473,1005.42395,1005.2225,1005.12134,1005.02325,1005.0261,1004.9288,1004.7301,1004.4319,1004.2326,1004.3323,1004.4313,1004.6305,1004.7313,1004.8332,1004.93494,1004.9363,1004.8388
2025-11-08 00:44:39+00:00,2025-11-08 00:00:00+00:00,1000.8619,1001.15784,1002.0499,1003.1446,1003.6405,1003.83685,1003.93427,1004.73047,1005.6269,1006.42163,1007.1166,1007.6125,1007.8094,1007.8063,1008.20245,1008.7979,1009.2944,1009.6915,1010.188,1010.48737,1010.5937,1010.70087,1010.60724,1010.21173,1009.7153,1009.21564,1009.2118,1008.7103,1008.20856,1007.5069,1006.70624,1005.8082,1005.20776,1004.1111,1003.41547,1002.4188,1001.22797,999.8363,998.44403,997.3552,996.16925,995.1907,994.7027,994.1144,992.83215,991.6452,991.0581,990.368,989.176,988.28,987.87823,987.5732,987.76685,987.5577,987.1586,987.06805,987.1692,987.2672,987.5671,987.96454,988.3608,988.8583,989.1565,989.75415,990.2515,990.74744,991.3446,991.84326,992.34686,992.7515,993.1522,993.649,994.23944,994.7348,995.23004,995.7253,996.41974,997.1143,997.8084,998.5038,999.0983,999.7928,1000.486,1001.2785,1001.9714,1002.5652,1003.1601,1003.7555,1004.3503,1004.94525,1005.64246,1006.54333,1007.447,1008.1506,1008.55505,1008.76,1008.86115,1008.9558,1009.1461,1009.2384,1009.4332,1009.7291,1009.826,1009.72253,1009.4209,1009.21783,1009.0149,1008.9118,1008.61066,1008.2113,1007.81287,1007.3149,1006.8156,1006.31604,1006.01654,1007.2838,1006.7915,1006.299,1005.70917,1005.01984,1004.32666,1003.72546,1003.11993,1002.61615,1002.0179,1001.52045,1001.0245,1000.52997,1000.1365,999.74084,999.343,998.8436,998.3446,997.6473,996.8504,996.05347,995.1569,994.0606,993.1646,992.3693,991.67474,990.8807,989.7888,988.5985,987.4065,986.4121,985.41754,984.52216,983.62714,982.7319,981.9364,981.3387,980.8406,980.44214,980.04425,979.7467,979.54803,979.5496,979.65106,979.9493,980.3438,980.83514,981.4267,982.218,983.00946,983.80237,984.4975,985.1948
2025-11-09 00:51:33+00:00,2025-11-09 00:00:00+00:00,1010.6101,1009.61176,1009.1087,1008.9058,1008.90045,1008.19586,1007.39594,1006.49664,1005.99634,1005.1022,1004.6041,1003.30835,1002.1169,1000.2304,998.4472,997.3552,996.4654,995.67786,994.6955,994.10785,993.1254,992.6395,991.75195,990.9613,990.2661,989.468,989.0668,989.06525,988.965,989.06525,989.1626,989.16205,989.5605,990.0601,990.556,991.04846,991.44415,991.7408,992.0359,992.63354,993.2312,993.92944,994.628,995.3281,995.63135,995.83496,996.0354,996.1338,996.6302,996.8267,997.1233,997.51965,997.91614,998.51294,998.90906,999.4081,999.9046,1000.3998,1000.9975,1001.69476,1002.392,1002.98975,1003.48566,1003.9824,1004.47894,1005.076,1005.8719,1006.4705,1006.77496,1006.9815,1007.3863,1006.99,1007.089,1007.1864,1007.2826,1007.2788,1007.1769,1007.0745,1006.97266,1007.16895,1007.3654,1007.4616,1007.25854,1006.85565,1006.4538,1006.0515,1005.6496,1005.1478,1004.7466,1004.2463,1003.7467,1003.04944,1002.3537,1001.5597,1000.6692,999.6809,998.7904,998.0944,997.4955,996.9966,996.59894,996.30145,996.20276,996.50006,996.9959,997.3937,997.59424,997.7966,997.99695,998.19556,998.39264,998.49005,998.4866,998.4829,998.48004,994.3214,994.3242,994.2273,993.93164,993.5367,993.2399,992.9424,992.64355,992.4449,992.2466,992.1483,992.0497,991.9512,991.9527,991.8538,991.7554,991.5571,991.45654,991.3541,991.2505,991.3464,991.5429,991.83984,992.2345,992.727,993.3181,993.91077,994.30927,994.70917,995.2044,995.8908,996.67334,997.5567,998.44403,999.43353,1000.42365,1001.413,1002.4025,1003.2936,1004.18677,1004.98206,1005.7767,1006.3721,1006.86694,1007.4617,1008.1541,1008.8476,1009.5432,1010.1455,1010.55145,1010.858,1010.86395,1010.6708
2025-11-10 00:51:36+00:00,2025-11-10 00:00:00+00:00,988.983,987.984,987.6824,987.38354,987.48315,987.3824,987.3801,987.4791,987.7764,988.3751,988.6745,989.2716,989.5696,989.6691,989.8677,990.467,991.26227,992.1554,992.74866,993.4433,993.84326,994.24384,994.5474,994.948,995.4477,995.6447,996.1422,996.7383,997.23413,997.829,998.2268,998.92474,999.4222,999.9197,1000.518,1001.2152,1001.5141,1001.6103,1001.90753,1002.4028,1002.70386,1003.1029,1003.39886,1003.7989,1004.0033,1004.6044,1004.9044,1004.9082,1004.9082,1005.50214,1005.89496,1006.2836,1006.67377,1007.4651,1007.4616,1008.0554,1008.4517,1008.8473,1009.14166,1009.3364,1009.2305,1009.3247,1008.62244,1008.0248,1007.82556,1007.62634,1007.52893,1007.2345,1006.74475,1006.4588,1005.7773,1005.0929,1004.1063,1003.7128,1003.31635,1003.01843,1002.5194,1002.02,1001.5191,1000.91797,1000.21564,999.71545,999.4178,999.1222,998.8261,998.32935,997.7322,997.1355,996.638,996.1406,995.74274,995.54456,995.3453,995.1466,994.74945,994.1533,993.75543,993.5563,993.45544,993.45447,993.4538,993.4526,993.45166,993.45105,993.4504,993.4488,993.4469,993.4442,993.44104,993.338,993.2349,993.2321,993.5283,993.8239,994.1216,995.0237,995.2251,995.32623,995.42645,995.427,995.52454,995.71747,996.00757,996.2993,996.6926,997.18726,997.68164,998.27704,998.97217,999.56635,1000.1558,1000.74243,1001.23175,1001.7244,1002.12,1002.51404,1003.0051,1003.49554,1003.9885,1004.386,1004.7861,1004.98834,1005.09174,1004.9966,1004.9007,1004.7022,1004.4027,1004.2048,1004.01154,1003.82056,1003.6304,1003.2421,1002.8556,1002.4673,1002.1771,1001.78723,1001.49554,1001.10376,1000.61127,1000.217,999.8213,999.5247,999.12836,998.6331,997.9393,997.3439,996.6477,995.85175
2025-11-11 00:49:13+00:00,2025-11-11 00:00:00+00:00,996.2458,995.9458,996.4416,996.9391,997.8328,998.1295,998.42834,998.8268,999.5234,1000.1174,1000.715,1001.41327,1001.91406,1001.8129,1002.0122,1002.31104,1003.0089,1003.507,1003.90424,1004.3027,1004.6044,1004.90533,1004.8077,1004.7096,1004.9082,1005.3052,1005.5031,1005.89996,1005.8971,1005.9933,1005.89075,1006.2865,1006.7829,1006.8797,1007.0703,1006.8645,1006.75836,1006.554,1005.85614,1005.4577,1005.1573,1005.05927,1004.46375,1004.0726,1003.68427,1003.3933,1003.1975,1002.2035,1001.808,1001.5107,1001.0132,1000.518,1000.1195,1000.01935,999.71985,999.21954,999.0182,998.8161,998.51447,998.11383,998.0114,997.711,997.4099,997.2107,997.01154,996.81226,996.81323,997.01306,997.11487,997.21564,997.11774,997.11926,997.02026,996.9185,996.7158,996.6119,996.6075,996.70197,996.6977,996.69354,996.5896,996.4863,996.3833,996.2799,996.1787,996.0801,995.9826,995.88525,995.8858,995.9855,996.08563,996.1875,996.3904,996.49286,996.4963,996.4994,996.59894,996.89124,997.2798,997.76904,998.26044,998.8527,999.44604,999.9406,1000.43494,1001.02875,1001.62195,1002.31384,1002.9065,1003.49817,1003.98926,1004.58075,1005.17303,1005.7653,1006.1605,1002.4673,1003.36206,1004.0572,1004.65137,1005.244,1005.7367,1006.228,1006.61914,1006.91046,1007.00275,1007.09576,1006.98926,1006.8837,1006.77966,1006.47705,1006.1751,1005.67487,1005.07874,1004.19,1003.20435,1002.1184,1001.12775,1000.2357,999.249,998.37317,997.4021,996.32697,994.94525,993.2596,991.76996,990.4766,989.279,988.0837,986.89264,985.7028,984.71124,983.81744,983.1223,982.7245,982.6233,982.82,983.0156,983.31036,983.70337,984.09845,984.5953,985.09393,985.59326,986.0942,986.4954,986.8966,987.3954,987.79474
2025-11-12 00:48:24+00:00,2025-11-12 00:00:00+00:00,1004.8981,1005.29443,1005.4902,1005.4879,1005.58405,1005.8801,1006.1767,1006.2748,1006.573,1006.5701,1006.76556,1006.76434,1007.0609,1006.6609,1005.6613,1004.95905,1004.8616,1004.6652,1004.16846,1003.17834,1002.78613,1002.8908,1002.09985,1001.707,1001.5113,1001.4116,1001.0139,1001.0132,1001.31274,1000.8118,1001.11005,1001.30646,1001.50226,1001.6024,1001.6009,1001.1028,1000.90356,1000.6041,1000.3075,1000.1088,999.71106,999.31134,998.9113,998.9113,998.31464,998.31866,997.52747,996.6336,995.93726,995.03986,994.4394,993.5401,993.0407,992.4421,991.4469,990.26056,989.1726,988.0842,987.09314,986.0997,985.3055,984.5086,983.71295,983.01996,982.5258,982.3294,982.3294,982.32715,982.4262,982.527,982.52795,982.3294,982.2276,982.52246,983.01495,983.70886,984.5065,985.40515,986.4013,987.2923,988.28094,989.369,990.6568,992.0453,993.33307,994.5206,995.7081,996.8956,997.9826,999.0695,1000.06,1000.9533,1001.84973,1002.449,1002.7506,1002.8546,1002.86,1002.668,1002.377,1002.0854,1001.8896,1001.5936,1001.3976,1001.10376,1000.8096,1000.5168,1000.2235,999.92944,999.33734,998.44586,997.3551,996.2639,994.97516,993.687,992.79535,986.2055,984.7161,983.42523,982.33276,981.43835,980.93933,980.93317,981.22253,981.51465,981.81067,982.1083,982.5067,982.9059,983.40454,983.8045,984.1047,984.30444,984.4056,984.30725,984.10956,984.10956,984.4069,985.0018,985.49927,986.0,986.4026,986.8047,987.10547,987.40485,987.8033,988.39856,988.99194,989.587,990.08374,990.5818,990.9802,991.3787,991.67755,991.977,992.27747,992.57886,992.8798,993.08057,993.18207,993.2832,993.4843,993.786,993.98737,994.0889,994.19006,994.39056,994.691,995.09076
2025-11-13 00:48:50+00:00,2025-11-13 00:00:00+00:00,1001.0019,1000.60474,1000.60474,1000.3069,1000.3075,1000.5023,1000.4015,1000.49945,1000.79767,1000.99695,1000.7983,1000.3998,1000.0014,999.69977,999.60077,999.1021,998.9041,998.6047,998.406,998.00854,997.81335,997.81775,997.42365,996.929,996.2324,995.63574,995.53235,994.9297,994.4309,993.8321,993.1325,992.6318,991.83264,991.038,990.4437,989.65173,988.7573,987.76404,986.6732,985.8782,985.2827,984.788,984.4928,984.1968,984.3966,984.3994,984.203,983.906,983.80505,983.9032,984.20087,984.6967,985.2938,986.18695,986.9788,987.7717,988.4647,989.35504,990.54266,991.82983,992.81946,993.81213,994.8975,996.07916,997.0652,998.0524,999.2418,1000.33307,1001.2286,1002.1259,1002.4261,1002.6274,1002.7286,1002.53033,1002.2315,1001.8338,1001.5365,1001.1408,1000.8458,1000.6523,1000.4612,1000.2692,1000.07666,999.98267,999.69196,999.3041,998.8173,998.3299,997.83966,997.2482,996.457,995.3668,994.0768,992.38855,990.103,987.41956,985.0338,983.04645,981.4571,980.3646,980.06854,980.46893,980.96765,981.76514,982.76135,983.55585,984.046,984.334,984.62463,984.82043,984.9195,985.1165,985.61005,986.2009,986.5951,987.88727,988.3881,988.69037,988.79266,988.6959,988.5985,988.6981,988.797,988.7961,988.6965,988.49817,988.3993,988.4989,988.5985,988.89667,989.2924,989.78613,990.1812,990.4778,990.77606,991.1732,991.7688,992.56445,993.2608,993.96094,994.56305,995.2631,995.96045,996.7558,997.74786,999.23364,1000.91583,1002.6981,1004.58136,1006.56415,1008.24963,1009.63684,1010.7269,1011.8172,1013.00806,1014.1008,1015.094,1015.887,1016.38135,1016.8786,1017.18036,1017.3856,1017.4935,1017.4042,1017.2167,1016.8301,1016.0456,1015.16174
2025-11-14 00:48:49+00:00,2025-11-14 00:00:00+00:00,997.7977,996.8956,996.6871,996.38007,996.37573,995.8792,995.38495,994.7923,994.20123,993.90796,993.8133,993.41766,992.62305,991.5295,990.8356,990.2428,990.2466,989.74414,989.84265,989.2504,988.9594,988.96716,988.7719,988.4753,988.2738,988.46967,988.8632,989.16144,989.2631,989.8599,990.45416,991.04846,991.74207,992.33563,993.12756,994.0203,994.909,995.4989,996.0894,996.8834,997.67285,998.36444,999.15686,1000.2495,1001.0479,1001.7473,1002.34564,1002.6444,1002.8436,1002.64215,1002.7374,1002.73395,1003.1279,1003.32465,1003.3235,1003.1204,1002.618,1001.917,1001.7141,1001.01996,999.9287,999.33484,998.34686,997.7571,997.06573,996.1753,995.4825,994.7951,993.91077,993.1217,992.23944,991.2539,990.66187,989.768,988.9711,988.1742,987.5788,986.9839,986.3889,985.6951,985.0018,984.4084,983.9137,983.5186,983.22095,983.0211,982.82,982.91473,983.2047,983.6916,984.18195,984.48016,984.68225,984.9839,985.385,985.787,986.18695,986.68225,987.17596,987.7702,988.3674,989.06586,989.76465,990.5644,991.4643,992.26404,993.0631,993.8608,994.65826,995.3556,996.0516,996.8485,997.7457,998.74304,999.4413,1001.13477,1001.834,1002.33435,1002.7362,1003.0401,1003.24146,1003.5388,1003.7351,1003.93164,1004.02997,1004.128,1004.12897,1004.13184,1004.13586,1003.9407,1003.44666,1002.8534,1002.2598,1001.866,1001.57227,1001.27686,1000.9786,1000.7793,1000.58075,1000.28467,1000.0889,999.8931,999.79474,999.8956,999.7975,999.50055,999.2045,999.0066,999.20514,999.6025,999.99927,1000.2975,1000.5958,1000.8941,1001.0933,1001.2931,1001.39276,1001.2931,1000.99365,1000.79443,1000.6941,1000.6941,1000.6932,1000.6932,1000.59296,1000.4933,1000.29407,999.9952
