forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:49:12+00:00,2025-11-05 00:00:00+00:00,4.73506,3.9763298,3.96,4.0249224,4.896529,5.154415,6.28713,7.0911775,7.5685663,7.5942082,7.6367526,8.049845,8.350138,9.114471,10.495713,10.805998,9.693296,9.085988,13.684735,20.674156,21.437386,19.107151,16.595179,15.124284,14.982228,16.075521,16.485485,16.263872,15.379206,12.9249525,10.08,14.372974,18.089775,18.58451,18.514643,17.447933,16.981165,18.1041,20.265795,21.129885,21.316135,21.602999,21.611998,21.26744,20.633371,20.966715,22.226902,24.74329,23.377836,22.314192,22.725668,24.482647,25.071096,24.546085,22.7057,21.129885,20.620806,19.995398,20.288164,20.3774,20.380579,20.240198,19.881649,19.61587,19.513195,18.671474,18.39878,17.873556,17.58481,17.654688,18.345877,19.296133,18.584509,18.089775,17.283749,15.905319,14.118243,13.324863,12.819235,10.464797,7.5942082,6.2145634,5.4477882,4.452954,4.3498964,5.00128,6.193674,6.696387,5.634891,4.32,4.1046314,3.671294,5.0911684,6.6087217,7.24486,7.0911775,7.0911775,7.42159,7.8954163,8.089993,7.69592,7.5599995,7.6367526,7.208994,6.9899354,6.830519,6.28713,5.3999996,5.1544156,4.452954,4.1046314,4.3498964,6.8777895,10.514218,13.18308,22.007162,22.346113,23.051247,23.759998,24.863468,26.042212,27.698952,29.519999,30.911821,31.353085,31.52005,31.435646,31.435646,31.869658,31.786186,31.427404,31.129074,31.012281,31.421213,32.37999,33.326748,34.597477,35.728977,36.509396,35.728977,34.454838,33.68069,34.17157,35.377213,35.88822,35.455887,34.94968,34.17157,33.46645,32.48788,32.219494,32.569557,33.46645,33.74796,32.908016,31.311724,30.141266,29.381382,28.981676,29.339449,31.129074,34.03095,35.821354,35.78697,34.679794,33.933697,33.549606,33.168877
2025-11-06 00:47:55+00:00,2025-11-06 00:00:00+00:00,21.203358,21.470612,20.608229,17.238699,13.584932,13.441071,13.324863,15.379206,19.0392,29.168886,34.292713,36.424103,33.510952,32.41799,30.344814,27.952787,27.595825,35.08292,29.46287,32.409996,33.574707,30.978832,30.599998,29.574827,29.519999,29.179993,29.539747,28.521906,27.908709,26.987997,26.282465,25.620771,24.94413,24.86868,23.990698,22.90743,21.67786,21.203358,20.620804,20.466246,19.770523,19.33639,18.204042,18.455048,18.692286,19.839235,21.129885,21.434364,21.349546,21.288757,21.67487,20.275383,18.806337,16.923828,15.484185,15.876775,15.629972,15.328561,15.03835,14.241629,14.33234,15.349684,16.039202,16.299694,15.7908325,15.30741,14.113652,13.896187,15.328561,13.493999,12.849528,11.542478,9.6932955,9.83268,10.315115,10.383987,9.0,6.8777895,5.3999996,5.6920996,7.208994,7.9526596,7.2805495,5.5887027,4.0249224,3.6,4.802999,6.12,7.342588,8.766573,10.24578,12.620554,16.454008,18.947083,18.289274,16.199999,16.039202,18.289274,21.129885,23.576563,24.216522,24.522316,24.50381,24.522316,24.251284,24.336637,24.387177,24.798225,24.923338,24.798223,24.248613,23.806318,22.66857,21.288757,20.380579,28.385262,26.654589,25.620771,26.525429,28.119204,29.374763,29.257614,29.144438,28.58545,28.385262,28.551426,28.1169,27.416782,26.368616,25.323128,24.627787,24.280659,23.933908,23.83896,23.749088,23.313995,22.530937,21.398056,20.780453,20.49156,20.326454,20.945072,23.000591,26.220753,28.521906,28.162956,26.437336,25.050413,24.29133,23.499481,23.469128,23.803596,24.522316,25.223133,25.570139,25.570139,25.562534,25.199999,24.84,24.482647,24.130743,24.130743,24.144165,24.522316,24.905132,25.264202,25.570139,26.28986
2025-11-07 00:48:21+00:00,2025-11-07 00:00:00+00:00,31.205997,31.311724,31.421213,31.37168,30.248568,29.914679,29.528778,29.16,28.100763,27.086262,26.009842,25.509243,25.323128,25.282152,24.735432,22.930048,21.096123,19.826164,19.008545,18.584509,18.581022,19.022177,19.64228,19.66536,20.60823,21.566975,22.26477,21.605999,19.602652,18.03237,16.919998,16.919998,17.643673,17.64,17.28,15.546833,14.693999,16.548256,16.548256,16.80857,16.831684,16.992609,16.676977,15.990646,12.979984,11.384198,10.739833,8.311245,5.0528407,1.5273507,3.096837,6.439876,8.225035,9.360001,9.511088,9.290511,9.387651,10.464797,10.365251,8.759178,11.720751,14.05845,16.516901,19.809813,22.734219,24.251284,24.442911,24.858253,28.266306,28.174456,29.601109,32.79361,33.12978,32.789658,31.534437,30.396025,29.495842,28.61264,27.609911,26.544964,24.933735,24.033876,23.132626,23.023117,22.415602,21.42227,20.780453,20.316889,19.164719,17.462784,16.520823,17.114204,18.556595,19.855558,20.140705,20.380579,20.240198,19.586119,18.532135,17.447933,16.071491,14.618837,13.363711,11.901798,10.495713,9.0645685,7.928178,7.208994,6.924738,6.5693827,6.5693827,6.162207,5.7599998,5.4477882,5.2416787,9.255571,9.9571085,10.390226,10.587917,10.495713,10.630672,10.990322,11.592894,11.753876,11.709688,11.753876,11.885453,12.10157,12.879752,13.37825,13.905509,14.917212,15.484185,16.418526,17.026896,18.0036,18.998314,19.652176,20.674158,21.746504,23.14103,24.216522,25.264202,26.661882,27.729347,28.808998,29.539747,30.274265,31.012281,31.731092,32.809414,34.57687,37.08175,38.16,37.45557,36.088093,34.353127,32.809414,30.962095,29.574827,28.47643,27.359999,26.649727,26.282465,26.642431,26.649727,26.28986,26.282465
2025-11-08 00:44:41+00:00,2025-11-08 00:00:00+00:00,22.450264,22.35481,21.322214,21.791153,22.751316,23.499481,22.148045,20.008356,17.731598,17.654688,18.72,18.72346,17.057314,16.394829,15.175612,13.37825,12.10157,12.4811535,12.287555,12.287555,11.681987,11.885453,11.885453,11.885453,11.304229,11.090103,9.793059,7.7043357,5.6002855,3.8773184,9.726664,10.691453,8.217153,6.12,6.8777895,9.085988,9.693296,8.766573,8.825508,10.805999,13.039754,18.0,24.36591,26.220753,25.922499,26.124195,28.483257,30.563978,29.869154,28.137632,28.696312,28.883131,28.33957,28.01531,27.276978,25.516865,23.233253,21.2522,19.770523,19.06301,18.998314,18.94024,18.709612,17.727943,16.946787,15.5843,14.044615,12.605142,11.525623,11.570515,12.015589,12.144331,11.720751,11.367109,10.739833,10.308831,9.826088,9.3669195,9.3669195,10.105681,10.853866,11.928989,12.979984,13.679999,13.698934,12.015589,9.793058,7.8954163,6.28713,4.896529,4.379589,4.896529,5.634891,6.6087217,7.10031,7.4128532,7.4128532,6.989936,6.4096174,5.8603754,5.3517847,4.8433046,4.39436,5.0142193,6.28713,7.2805495,7.2805495,7.2805495,7.342588,8.12197,9.6932955,10.483357,10.587917,10.703569,10.495713,11.966954,12.144331,12.074766,11.720751,11.525623,11.27553,11.043261,11.165805,11.298495,11.503113,11.726277,11.966954,12.0694,12.303366,12.768586,13.32,13.896187,14.494192,15.111424,15.815435,16.454008,17.106628,17.81909,18.486622,18.775301,19.45333,19.8,20.16,20.880001,21.24,21.626984,22.42427,22.91026,23.675303,24.798225,25.153671,25.099514,24.29133,23.535301,22.505037,21.485697,20.418695,18.844202,17.283749,16.595179,16.700275,17.518356,18.35647,19.13426,19.839235,19.770523,18.448023,16.563911
2025-11-09 00:51:35+00:00,2025-11-09 00:00:00+00:00,17.566378,16.563911,14.291592,12.538134,11.966953,11.570515,11.252519,9.47012,7.2805495,5.5887027,7.2,8.669949,7.4128532,7.5942073,11.570515,12.783802,14.408997,16.808569,20.163212,22.3229,23.469128,26.437336,29.59235,31.796375,34.76377,33.895485,33.37338,31.435646,32.058197,32.058197,30.351225,28.119204,25.862436,24.627787,24.098497,24.36591,24.288662,23.795427,24.923338,22.101183,18.94024,16.563911,15.137133,14.830076,15.905319,17.673029,18.057508,18.448023,18.374111,18.014393,17.339897,16.923828,17.698677,19.523155,20.240196,20.907913,20.907913,19.469976,19.08,18.36353,17.698677,17.462784,16.62249,15.484185,16.299694,17.106628,18.089775,18.775301,20.240196,21.986542,22.682856,22.691425,22.682856,21.96295,20.883104,20.163212,19.443333,19.08,18.72,18.359999,18.359999,18.72,19.443333,20.532627,21.26744,21.2522,20.523155,20.163212,20.188908,20.598795,20.991426,21.349546,21.707731,22.065973,22.148045,22.027763,22.180206,23.051247,24.098497,24.717085,23.97989,22.682856,22.7057,24.482647,27.153164,29.17777,29.427662,29.268686,28.47643,27.381308,26.319422,25.2924,25.099514,25.772078,26.111792,25.922499,26.33911,25.772078,23.491207,20.730501,19.995398,23.469128,29.379177,33.280045,33.481934,31.771912,30.886656,31.311722,32.688713,32.744175,31.085323,28.036118,25.699057,24.149532,23.023119,21.96,21.046917,20.523157,19.586117,18.0,15.893093,13.556282,10.8955765,7.9526596,5.0911684,2.5959969,2.5455842,5.3999996,9.449572,13.551501,17.072504,19.134262,20.767975,22.065973,23.210928,23.683512,24.033876,24.098497,23.510508,22.963936,22.862125,22.42427,21.24,19.694992,20.421871,19.681828,12.287555,11.480557
2025-11-10 00:51:40+00:00,2025-11-10 00:00:00+00:00,33.790176,33.24498,32.44996,32.559605,32.67285,32.35997,32.2396,31.106167,28.820242,25.323128,23.83896,22.61419,23.510508,23.936617,23.087763,24.858253,23.83896,19.242327,16.87398,15.876775,14.404499,14.417988,14.081478,13.698934,12.964998,12.620554,12.979984,12.620554,12.599999,12.6462,13.039754,12.7279215,13.556282,15.03835,15.986595,16.808569,17.163355,17.518356,17.414476,17.057314,16.65754,16.65754,16.981165,17.313717,16.919998,15.546833,14.471821,12.324414,11.252519,11.304229,10.931203,10.028439,9.565437,9.449572,9.565437,9.693296,10.24578,10.703569,11.27553,11.27553,11.620809,12.313893,12.864649,13.661038,13.896187,15.192682,17.114204,18.861387,19.652176,19.959719,20.008356,20.06334,20.364674,20.721119,21.03152,21.349546,21.647945,22.33161,22.682856,23.039999,23.039999,23.042812,23.0653,22.751316,22.461807,21.791153,21.077686,20.364674,20.008356,19.959719,20.240196,20.532627,21.2522,22.42427,24.693481,27.288855,29.478264,30.190672,30.54701,30.903435,32.43398,33.97187,35.036713,34.471764,32.809414,31.682047,30.962095,30.633865,30.317043,29.660152,28.66694,28.001427,27.645092,27.952787,27.952787,26.27753,25.630886,25.277023,24.993439,25.068514,25.068514,24.923338,24.442911,24.387177,24.503809,25.068514,25.14852,24.993439,24.798225,25.006397,25.364037,26.079508,26.836306,27.595823,28.766228,29.237675,29.01743,28.817993,28.1169,27.684914,26.758923,26.220753,25.651104,25.20257,24.216522,22.963936,20.969805,18.692286,15.596767,12.245293,9.826088,8.891343,8.707237,8.854829,9.904906,11.090103,12.074766,11.525623,10.495713,9.19939,7.42159,5.495161,4.802999,5.0528407,5.4119864,5.4477882,4.6800003,3.8268526
2025-11-11 00:49:15+00:00,2025-11-11 00:00:00+00:00,10.440001,10.805999,11.525623,12.964998,14.404499,14.417988,13.698934,13.722565,13.004921,12.6462,12.371645,12.074766,12.015589,12.015589,11.659777,10.661107,10.661107,11.212135,11.885453,11.542478,11.212135,11.304229,10.948973,10.8955765,11.525623,12.245294,12.964998,14.4,14.77755,15.941944,17.873556,18.998314,20.364674,20.240196,20.188908,20.172853,20.16,19.083395,18.0036,18.374111,19.09358,19.469976,19.829433,20.188908,19.813087,19.45333,18.751125,18.014393,18.0,18.0036,17.373497,17.81909,20.570463,23.828083,23.893261,23.759998,22.725668,24.798225,25.849905,28.054604,29.17777,31.278593,30.735231,30.78368,32.136932,32.491867,32.908016,32.26572,31.983318,32.409996,33.190357,33.46645,33.326748,32.908016,32.43398,31.667723,30.599998,28.82249,27.757376,26.987997,26.576681,25.764534,24.609364,23.110207,22.346113,22.691425,23.40277,24.122683,24.482647,24.842607,25.210283,25.982424,26.836306,27.288855,26.576681,25.455843,23.933907,22.007162,19.803272,18.129137,16.87398,15.629971,15.141414,15.256526,15.596767,15.827721,16.327497,16.808569,17.462784,18.228943,19.48661,19.9954,19.64558,18.861387,18.079027,35.728977,36.359997,36.71294,36.23861,35.11061,32.688713,27.416782,21.03152,16.23596,13.661038,15.021105,19.272614,26.486313,34.349354,38.378433,34.882866,28.58545,25.323128,23.893261,22.33161,21.602999,22.725668,25.099514,26.476522,25.932495,24.884306,24.18707,25.323128,27.155552,28.1169,27.534704,26.525429,24.546085,22.3229,19.296133,16.62249,13.53236,11.200571,9.504273,9.028754,9.346143,10.630672,13.281023,15.876775,18.171976,19.586119,20.746122,21.758419,22.608458,23.0653,23.584808,24.023088,23.993399
2025-11-12 00:48:27+00:00,2025-11-12 00:00:00+00:00,14.512064,16.394829,18.532133,19.559633,19.917469,19.523155,20.240196,20.598795,20.957443,20.5484,20.172853,20.172853,19.44,19.44,18.72346,18.72,18.72346,18.014393,16.563911,17.28,20.172853,21.647945,21.599998,22.42427,23.576563,25.325686,26.727423,27.086262,27.77838,28.227306,28.766228,29.17777,29.237675,30.009838,30.36403,30.36403,29.723444,30.36403,30.855171,31.212229,31.259945,31.311724,30.903435,30.955812,30.955812,31.667723,32.43398,33.202072,33.97187,33.202072,35.036713,36.302925,28.808998,25.56,24.50381,25.40743,29.951483,33.00436,33.190357,30.500309,27.551172,25.241108,26.67889,30.018473,31.093666,31.883888,33.326748,34.322937,33.893574,33.893574,34.05379,33.353954,32.654995,30.652895,28.174456,25.764534,23.803596,21.96,20.907913,21.288757,22.366402,24.130743,26.282465,29.239891,31.526215,33.449017,34.62369,35.747112,36.161636,36.161636,36.161636,36.932915,38.059677,38.059677,36.516495,33.805515,31.129074,28.137634,24.850431,21.599998,18.36353,15.158522,12.7279215,12.015589,11.928989,12.324414,12.9249525,13.779114,15.941944,20.140705,25.189713,27.553524,25.959969,23.469128,22.963936,28.296091,28.82249,28.236486,25.068514,20.211363,17.339897,17.163355,18.0036,18.486622,18.584509,20.929594,23.966375,27.14123,32.283787,35.28,31.338614,24.503809,20.948164,22.545315,26.654589,30.124065,31.259941,31.700449,31.89608,32.10667,32.44996,32.69664,32.957207,32.90014,32.28981,31.079071,29.871325,28.227306,25.922499,23.377836,21.288757,20.288164,19.586119,18.584509,16.575644,14.118243,13.339445,13.441071,13.358861,13.441071,13.363711,13.281023,12.88981,12.979984,13.217443,12.397806,10.028439,6.725354
2025-11-13 00:48:52+00:00,2025-11-13 00:00:00+00:00,28.312117,28.241076,28.664682,29.01743,28.739187,28.241076,28.174456,28.883131,28.948118,29.888672,29.122198,29.122198,29.237675,29.519999,29.427658,30.035742,30.500309,30.430117,30.718357,31.427404,31.845247,32.335934,32.335934,33.041645,34.17157,34.38895,32.24161,28.835976,30.147717,30.574575,29.17777,26.368616,25.199999,24.50381,25.325686,26.836306,27.952787,28.58545,28.47643,29.215502,30.317043,30.703587,31.487139,32.078403,33.27031,33.441265,32.305862,29.533169,27.086262,25.942488,24.842607,23.039999,20.892412,19.852295,18.844202,18.888851,19.917469,21.707731,24.130743,27.153164,30.302078,31.085323,31.559088,31.212229,31.394394,33.50128,34.32671,34.38895,34.03476,33.326748,31.782108,28.981676,26.67889,23.4,20.188908,17.339897,15.484185,14.113653,14.241629,16.58346,20.674156,24.569836,27.80403,30.0767,30.145567,27.169865,23.000591,20.5484,18.089775,15.111424,13.450708,14.332341,16.954432,19.443333,21.288757,22.782625,23.933907,24.336637,24.74329,24.74329,25.153671,25.630886,25.567604,25.006397,24.50381,23.411074,22.104116,20.192118,19.0392,18.448023,17.76081,17.902534,18.584509,20.172853,21.611998,24.881702,24.522316,24.50381,25.210283,26.642431,27.72,29.528778,31.353085,31.452133,28.241076,24.066206,20.26899,17.339897,14.336861,11.923557,10.483357,9.3669195,8.4042845,6.439876,4.39436,3.9763298,4.6102495,5.4833565,6.87779,8.12197,9.659814,11.792404,14.039999,16.595179,19.959719,23.576563,27.288855,29.478264,29.381382,28.227306,27.086262,26.368616,25.683926,25.050413,24.087738,22.881956,21.758419,20.326454,18.892282,18.391737,18.899143,20.3774,20.65848,19.602652,19.211996,20.288164,20.767975,20.380579
2025-11-14 00:48:52+00:00,2025-11-14 00:00:00+00:00,33.11413,33.326748,32.26572,27.698952,29.301876,31.722921,30.49818,29.301878,29.301878,30.0767,29.237675,27.193705,25.2924,24.863468,25.562534,27.381308,30.703587,33.092598,32.97293,31.983318,31.786186,29.723444,26.758923,24.842607,22.33161,20.929596,19.881649,18.175545,17.163355,16.808569,16.87398,17.651016,18.079027,18.584509,20.5484,24.187069,27.402597,28.467329,29.122198,29.834423,30.599998,29.478264,30.009838,30.430117,30.430117,30.009838,27.51116,24.187069,23.444265,23.469128,24.149532,21.046917,17.651016,19.855558,23.219301,26.886963,25.294964,25.140787,29.808346,33.933697,35.9153,35.652725,34.94968,33.121956,30.261421,26.7565,22.91026,19.164719,16.520823,15.281989,13.896187,12.43434,10.787993,9.885262,9.178235,8.942214,9.0,9.0,9.0,9.0,8.942214,8.942214,8.435069,7.7879906,7.4128532,7.42159,7.771331,8.707238,10.08,11.542478,13.084402,13.979871,14.84318,15.725037,16.418526,17.298738,17.935081,18.64369,19.296133,19.652176,19.959719,19.917469,19.852295,20.172853,20.16,20.532627,20.929596,21.03152,21.129885,20.898611,20.431387,20.275385,20.150354,20.056877,20.188908,8.161764,8.287822,8.217153,8.225035,8.766573,9.107359,9.565437,9.693296,9.659814,9.885262,10.182337,10.799999,11.609651,12.768586,13.708391,14.830076,16.595179,18.228943,19.839235,21.322214,22.180206,22.89611,23.006226,22.884789,21.67487,21.2522,22.26477,26.208395,31.079075,33.221584,31.037344,27.333935,24.48,22.427162,19.770523,17.414476,14.494192,12.682018,12.387348,12.57426,13.009903,13.75558,15.5843,18.214718,18.720001,15.827721,11.165805,7.9036193,7.342588,10.636766,14.336861,15.281989,14.982228
