forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:39:10+00:00,2025-11-05 00:00:00+00:00,161.56496,251.56496,188.13002,150.2552,161.56496,153.43501,135.0001,270.0,251.56496,236.3099,165.96373,224.9999,192.5288,187.12492,194.93147,206.56499,210.96368,229.63554,232.69597,232.3057,220.426,232.76509,240.2552,246.80139,251.56496,240.94548,333.43503,161.56496,270.0,135.0001,90.0,33.6901,90.0,53.13002,21.801476,29.744795,26.564985,30.963696,33.6901,50.194473,63.435013,49.398785,44.999897,18.435053,341.56494,323.13,338.19852,321.8427,51.34017,167.4712,160.55988,152.10283,155.77226,156.80139,167.4712,165.96373,180.0,190.3048,182.72626,174.55975,162.3498,163.49556,175.36462,186.00891,192.20045,199.74693,198.43504,196.9909,194.03627,219.55963,209.4758,189.86574,177.6141,173.29025,193.39252,203.83875,213.6901,216.15828,209.98155,220.60121,204.22774,213.6901,244.65387,273.17978,330.9455,26.564985,30.963696,77.4712,6.3401003,90.0,236.3099,241.38963,245.22488,218.65984,211.42952,227.12111,257.90524,285.25516,303.6901,331.69934,329.74365,329.03632,315.0001,320.90613,321.8427,319.0857,318.36655,327.38077,342.75845,344.7448,350.31128,347.5926,340.27765,336.42526,334.69864,334.2901,334.79892,336.2505,339.56708,343.90912,347.24246,348.9063,350.53775,352.5687,353.6599,354.80566,354.68555,352.87506,350.78906,348.0239,343.49554,333.43503,329.53452,342.34976,354.64426,358.53122,354.2895,344.87595,336.8014,333.43503,330.8026,329.30035,326.3099,323.97253,322.59457,329.03632,342.8972,355.60138,360.0,356.186,352.40543,338.9624,321.34018,311.63345,323.13,352.87506,20.556128,20.556128,14.036275,360.0,333.43503,305.53775,285.25516,270.0,258.11136,248.19853,233.13002,209.35765
2025-11-06 02:30:36+00:00,2025-11-06 00:00:00+00:00,180.0,44.999897,180.0,171.86998,192.99461,224.9999,218.65984,224.9999,296.56497,90.0,99.46225,56.309914,29.054508,38.65983,63.435013,56.3099,57.264786,65.55606,63.435013,135.0001,211.60745,211.60745,224.9999,261.87,218.15727,167.90526,187.12492,191.30989,224.9999,221.63345,224.9999,195.94547,201.80147,195.94547,180.0,161.56496,161.56496,161.56496,211.60745,207.3498,204.90474,208.1785,222.39738,223.83095,218.04709,210.25635,214.9921,194.03627,192.5288,190.43742,186.17007,191.0035,197.24155,210.57915,207.75845,207.75845,200.32323,198.43504,212.47118,226.73567,251.56496,259.3804,250.0168,236.3099,227.72638,224.9999,212.61923,222.70937,227.04541,223.60289,191.30989,186.00891,218.65984,214.50858,220.91429,235.6196,228.36655,245.55606,222.87889,243.43501,270.0,289.44012,320.7106,340.9743,335.69547,344.47583,341.07526,337.4794,335.46228,332.52567,332.56036,332.9692,329.53452,329.589,332.9692,337.06787,335.55606,330.57263,339.04413,339.04413,341.56494,340.3461,340.76923,337.9637,335.6589,334.09354,329.8587,333.43503,330.64233,326.3099,336.5014,341.93942,341.1752,336.16125,329.47037,327.3391,325.30478,323.88055,322.25314,320.44037,318.57642,321.34018,330.64233,336.3706,345.9637,352.87506,355.91446,348.6901,326.3099,281.3099,233.13002,206.56499,192.5288,190.3048,192.99461,198.43504,207.89717,213.02386,217.6943,218.65984,220.426,217.18478,209.7448,192.99461,180.0,177.70944,184.57384,188.74608,192.09474,193.13403,196.18927,198.43504,203.19862,203.9625,202.1664,198.43504,198.43504,207.40749,217.56866,224.9999,228.12221,230.01317,230.90614,232.0012,234.29321,234.09018,226.39711,213.6901
2025-11-07 02:28:35+00:00,2025-11-07 00:00:00+00:00,144.46223,146.3099,180.0,153.43501,164.05453,270.0,270.0,213.6901,201.80147,202.38017,212.00534,236.3099,360.0,104.03627,206.56499,194.03627,188.53069,210.25635,212.00534,201.80147,201.16133,208.88649,188.13002,180.0,171.46931,184.08554,180.0,243.43501,71.564964,208.30066,270.0,251.56496,44.999897,8.746089,37.875053,23.198618,12.99463,23.962492,47.489597,59.420856,75.068535,68.19853,306.86996,261.2539,261.02747,270.0,275.44025,293.6294,288.43503,177.70944,190.3048,213.11136,232.12495,218.2902,207.64589,234.78232,217.40543,246.0375,273.57626,303.6901,325.40765,334.79892,338.19852,339.59003,337.75092,337.4794,322.4958,324.58286,327.77127,323.8067,330.8325,332.90454,340.11475,338.19852,334.59232,340.27765,334.85526,343.73972,342.29947,336.29733,334.59232,333.9967,335.77228,334.65387,335.22488,336.0375,342.64587,346.2392,343.0724,336.5014,336.5014,333.94656,332.4028,330.25522,329.53452,327.52884,318.57642,324.16226,330.9455,333.43503,339.77505,342.64587,360.0,19.653913,22.61991,360.0,315.0001,201.80147,230.19447,206.56499,206.56499,208.07239,210.0685,209.7448,205.64096,210.65059,215.53777,216.86998,208.1785,190.49142,177.79745,177.79745,182.20255,188.74608,192.99461,197.74477,199.79897,201.80147,204.62355,204.62355,205.55992,206.56499,208.61037,216.46933,223.7812,229.39879,233.42688,236.3099,238.29861,240.06857,241.2603,240.94548,234.46223,221.18582,207.89717,207.89717,212.90524,219.09384,224.9999,231.34016,233.74606,233.74606,231.84273,231.84273,237.26477,244.98314,255.06853,261.87,274.76355,284.03625,291.03757,293.6294,296.56497,298.8107,301.75943,303.6901,304.3804,302.00534
2025-11-08 02:17:30+00:00,2025-11-08 00:00:00+00:00,186.3401,175.91446,185.44025,216.02747,201.03758,280.0079,188.13002,312.5104,175.23645,360.0,16.699326,41.63345,73.300674,78.6901,338.74942,17.354122,57.528828,138.81418,168.69011,232.43134,248.19853,247.3801,254.05453,246.3706,224.9999,208.07239,196.38962,190.6196,197.35411,216.25392,218.15727,223.1524,280.4374,313.95847,321.34018,323.13,165.96373,279.46225,333.43503,335.13632,329.2646,320.1945,316.5074,315.70724,317.1211,322.4958,328.24057,328.46524,329.03632,335.72556,338.58694,344.3577,336.8014,333.43503,335.77228,337.1663,334.09354,332.78397,326.3099,326.3099,322.12497,325.84024,332.30063,328.39255,320.35587,313.36346,314.21527,312.70938,312.70938,315.7638,313.09085,312.70938,315.0001,313.26434,324.16226,332.24155,343.61038,347.90527,344.7448,315.0001,262.8751,224.9999,233.13002,219.28938,206.56499,195.94547,205.2011,203.19861,205.55992,217.56866,220.60121,220.91429,216.57312,215.36255,206.56499,186.58185,184.23631,185.90605,194.82652,197.44728,200.37651,207.21602,201.80147,203.6294,207.29948,209.7448,210.37904,208.88649,209.7448,212.19571,223.99501,235.22209,236.65927,243.97047,249.30446,251.14674,250.55988,250.34608,246.50142,239.9315,234.78232,234.78232,238.57048,244.65387,251.56496,262.8751,278.13,294.44394,315.0001,340.0168,360.0,13.240531,19.290138,22.249071,23.498587,22.61991,16.26028,7.12493,360.0,355.03033,350.13425,349.69522,354.2895,9.462261,20.556128,28.072395,37.568665,42.510403,50.194473,59.743652,67.3801,72.89719,77.90526,77.90526,77.00539,75.96373,84.2895,110.55613,146.3099,167.90526,187.12492,207.89717,219.47243,223.36346,226.54811,224.9999,214.9921,198.43504
2025-11-09 02:38:38+00:00,2025-11-09 00:00:00+00:00,213.6901,149.03632,198.43504,201.80147,216.02747,224.9999,209.7448,222.70937,199.44012,210.46547,229.76372,264.09396,304.3804,303.6901,325.4914,324.6051,319.53784,316.63654,315.74396,321.63248,321.1886,322.9434,328.5232,331.9276,333.94656,326.0234,327.1443,329.74365,327.61935,335.22488,336.94867,322.69595,324.0578,320.35587,322.65057,330.42227,334.8852,330.06857,313.4089,319.0857,316.30188,317.54483,316.93057,315.64368,317.7928,315.72513,315.83023,310.2363,310.60123,305.21768,301.4295,305.21768,310.91428,303.6901,293.6294,273.17978,263.9911,247.1663,240.94548,226.97493,222.87889,227.4896,218.65984,214.3804,214.9921,220.60121,220.0302,220.23628,218.15727,216.57312,208.88649,186.58185,180.0,185.52745,196.9909,199.9832,205.1148,204.30453,200.77234,201.80147,206.56499,207.97939,208.61037,207.25525,208.7397,210.65059,222.79738,230.7106,234.46223,239.47037,243.43501,247.28555,252.3498,254.74483,256.75946,261.87,244.98314,235.49141,235.49141,232.43134,220.60121,216.86998,208.8107,212.00534,223.02507,230.90614,229.76372,224.9999,224.9999,239.03632,217.56866,240.2552,238.57048,245.77226,251.56496,253.0724,254.93146,252.89719,245.55606,234.78232,224.9999,224.9999,232.43134,240.2552,238.39255,238.39255,233.97253,228.81418,219.80553,206.56499,195.94547,192.5288,191.30989,195.25517,204.44394,210.25635,214.69522,220.60121,223.02507,224.9999,230.90614,227.12111,209.7448,180.0,162.64589,162.64589,173.29025,180.0,169.99208,157.61983,153.43501,159.77505,174.55975,182.60251,185.44025,188.97255,188.97255,185.44025,180.0,177.87895,183.69131,189.72751,193.67133,196.14441,197.96924,200.92458,208.30066,223.1524
2025-11-10 02:30:40+00:00,2025-11-10 00:00:00+00:00,329.8587,331.38962,330.12408,332.78397,326.3099,332.44727,332.6502,339.62347,331.11353,324.86572,322.43134,319.9698,322.3057,307.6943,312.3574,312.06424,312.39737,315.0001,316.24527,320.07965,320.44037,318.53238,322.02835,319.574,316.8476,312.70938,315.0001,294.77512,257.00537,251.56496,251.56496,228.36655,231.34016,241.38963,224.9999,224.9999,224.9999,217.56866,229.08571,231.34016,230.19447,221.18582,218.65984,215.13428,210.37904,210.69965,205.82094,193.39252,187.76508,188.13002,192.5288,192.5288,200.77234,205.82094,203.9625,204.14554,207.29948,209.35765,208.61037,213.2749,215.53777,215.53777,224.9999,235.56094,239.26459,244.5367,250.42677,258.92984,265.03033,264.64426,246.3706,241.69934,255.96373,270.0,276.70975,285.94547,306.86996,302.47116,318.36655,325.0079,360.0,293.1986,309.8055,355.91446,21.801476,42.27363,47.72637,360.0,26.564985,333.43503,315.0001,298.61035,303.6901,306.86996,327.99466,360.0,57.99466,90.0,100.30479,95.19434,114.44395,143.97253,151.69934,143.97253,138.01286,158.19853,161.56496,151.92761,150.64235,154.98314,162.47433,175.03035,184.76355,196.9276,205.55992,206.56499,203.19861,196.69933,183.17976,161.56496,147.26479,149.03632,160.55988,168.11136,174.80566,180.0,184.23631,186.58185,187.12492,187.76508,185.7105,180.0,176.98727,174.55975,175.23645,175.76369,178.21013,181.5074,184.28908,188.13002,197.10281,201.80147,191.88864,177.13765,165.37909,164.57777,168.11136,168.69011,165.14134,161.89615,159.3255,159.92839,161.22188,161.91646,159.5671,157.30617,157.52052,161.8472,167.4712,177.18451,196.09088,223.49261,242.56035,252.18102,258.2749,262.8751,262.8751,258.6901
2025-11-11 02:19:57+00:00,2025-11-11 00:00:00+00:00,293.9625,290.22495,282.09473,250.0168,270.0,274.39862,261.87,255.06853,235.30478,221.98714,206.56499,214.69522,204.77512,202.6199,206.56499,206.56499,211.26367,213.17853,206.56499,206.56499,207.97939,208.49554,208.61037,204.44394,192.80426,194.62091,197.10281,203.7495,204.62355,205.7099,209.98155,213.17853,213.6901,211.26367,208.07239,209.0545,209.4758,208.44283,220.46214,235.30478,244.5367,254.21918,258.23172,257.98856,256.55136,260.75397,264.80566,239.53453,230.52757,258.6901,257.90524,265.23645,250.0168,232.12495,218.65984,213.6901,278.13,243.43501,210.96368,224.9999,135.0001,126.86999,153.43501,224.9999,212.00534,255.96373,246.3706,240.64233,248.74942,242.10283,220.23628,212.00534,210.96368,216.02747,194.03627,175.60138,175.60138,180.0,167.00539,180.0,185.7105,170.53775,180.0,176.186,171.86998,169.3804,180.0,197.35411,201.80147,228.36655,248.19853,261.87,285.52417,299.35767,320.1945,356.186,28.30066,59.03632,95.19434,120.96369,138.36655,153.43501,153.43501,144.46223,130.60121,122.00535,130.60121,147.99466,174.80566,169.6952,161.56496,164.74483,175.60138,191.30989,199.44012,203.9625,203.9625,203.9625,198.43504,189.46225,180.0,173.99109,168.11136,168.69011,171.86998,180.0,187.76508,195.94547,204.22774,210.0685,210.0685,207.75845,207.75845,207.64589,211.32863,213.6901,216.86998,222.39738,224.9999,223.60289,218.991,216.86998,220.10085,224.9999,226.63654,217.87505,204.22774,193.39252,190.78426,193.39252,193.39252,188.13002,182.60251,177.39749,172.23492,164.05453,162.3498,164.3577,168.31065,174.64427,188.88058,205.1148,212.82854,205.82094,187.59456,172.64772,168.0239,168.9965
2025-11-12 02:22:50+00:00,2025-11-12 00:00:00+00:00,199.65392,194.03627,192.26476,195.42223,201.4478,205.4633,199.79897,206.56499,210.96368,214.21576,209.7448,210.96368,215.13428,213.23172,223.02507,237.42595,251.56496,259.82455,261.2539,258.40784,258.11136,262.09293,263.88458,250.55988,247.61981,270.0,305.53775,315.0001,333.43503,333.43503,44.999897,90.0,116.56499,23.198618,23.962492,38.65983,39.805527,41.63345,39.805527,42.510403,49.398785,55.304783,44.999897,9.462248,344.05453,353.6599,5.19435,12.26477,57.528828,93.366394,96.70974,116.56499,137.4896,145.30478,149.03632,155.22488,158.19853,162.64589,165.96373,158.19853,162.64589,165.96373,186.70975,201.80147,212.27562,224.9999,236.3099,238.57048,234.78232,226.97493,204.77512,203.19862,204.77512,192.09474,190.6196,197.35411,197.52567,191.30989,197.52567,200.22495,202.8337,210.0685,209.0545,205.34613,212.27562,216.86998,226.54811,233.53067,234.24602,233.47105,229.574,229.574,228.50363,224.9999,214.3804,205.4633,204.44394,202.6199,206.56499,210.57915,216.86998,211.32863,214.28693,211.75943,213.02386,214.28693,213.6901,210.57915,212.47118,215.53777,229.574,237.99466,241.50446,244.09354,242.78397,242.10283,239.85869,237.26477,230.71062,220.10085,210.0685,207.75845,211.42952,213.6901,210.0685,206.56499,203.19861,203.19861,205.4633,205.4633,203.19861,201.80147,200.85454,203.49858,208.30066,210.37904,210.69965,211.70139,212.15227,210.96368,208.61037,205.82094,201.4478,195.06854,189.46225,187.12492,188.74608,192.09474,196.18927,199.44012,203.38524,207.75845,211.60745,215.39488,217.87505,220.31403,223.99501,230.38934,240.4613,254.29129,273.17978,288.85324,298.1415,303.36636,308.8534,316.90915,334.05774,352.23492
2025-11-13 02:40:45+00:00,2025-11-13 00:00:00+00:00,315.0001,7.12493,185.7105,206.56499,180.0,191.30989,209.0545,235.0079,236.3099,224.9999,230.19447,71.564964,68.19853,26.564985,33.6901,21.037588,10.007925,10.61961,360.0,342.8972,343.61038,345.25638,356.98727,2.6025116,360.0,23.962492,54.46224,26.564985,23.198618,28.30066,29.054508,26.564985,36.86999,33.6901,33.6901,56.309914,50.194473,53.13002,38.65983,135.0001,163.30067,198.43504,216.02747,216.86998,220.23628,218.15727,227.29063,248.6293,243.43501,187.12492,180.0,174.55975,171.86998,180.0,188.13002,190.3048,190.3048,195.25517,195.25517,193.39252,196.9276,201.80147,213.11136,220.81499,224.9999,227.20262,224.9999,228.81418,228.01286,224.9999,222.13753,205.4633,202.6199,208.44283,209.24873,214.28693,215.53777,209.98155,211.26367,213.6901,220.60121,220.23628,218.92755,217.23491,218.65984,219.80553,235.88548,244.05775,247.1663,249.44386,250.25307,249.77505,249.77505,254.05453,250.82089,235.49141,226.97493,224.9999,223.1524,221.18582,221.18582,221.18582,217.40543,206.56499,207.75845,207.64589,206.56499,206.56499,204.22774,200.22495,214.82455,214.69522,218.92755,215.36255,214.8754,212.90524,208.49554,204.56715,198.9705,192.09474,186.84268,186.58185,189.78233,194.03627,197.44728,200.22495,203.02553,207.1496,212.57405,216.02747,212.82854,207.3498,203.9625,209.0545,216.52895,222.79738,228.23979,235.88548,241.38963,246.19405,250.0168,255.06853,267.3975,306.02747,347.90527,3.5762644,7.12493,7.12493,3.3664,360.0,356.82022,3.179772,10.007925,16.389616,19.440128,23.629398,20.556128,14.931467,360.0,351.87,352.40543,352.87506,356.6336,356.82022,356.82022,360.0,12.528798,29.054508
2025-11-14 02:23:51+00:00,2025-11-14 00:00:00+00:00,307.87503,44.999897,99.46225,90.0,51.34017,32.471172,36.86999,26.564985,33.6901,44.999897,35.537766,38.65983,14.036275,12.528798,14.036275,161.56496,219.80553,229.39879,221.18582,216.02747,216.25392,223.1524,224.9999,226.97493,219.09384,194.7436,199.65392,203.19862,187.12492,171.86998,180.0,184.76355,191.30989,205.01686,203.9625,209.0545,210.25635,215.21768,211.42952,228.99101,241.2603,236.3099,228.69148,225.90929,226.78989,226.8476,224.9999,220.36446,213.02386,210.65059,216.52895,218.65984,217.56866,217.87505,215.75398,215.53777,216.15828,216.52895,216.52895,221.34767,223.72705,223.66785,240.06857,251.99574,257.61926,260.53775,264.55975,270.0,268.49258,266.6336,267.27374,243.43501,260.53775,284.93146,336.8014,7.59456,35.537766,33.6901,33.6901,28.30066,33.6901,28.30066,42.27363,44.999897,70.01681,65.55606,63.435013,90.0,147.99466,197.35411,214.50858,210.0685,209.35765,197.35411,175.23645,153.43501,161.56496,165.37909,172.56868,177.6141,187.12492,197.96924,200.72563,201.80147,201.80147,200.37651,211.50421,210.37904,209.0545,201.80147,216.57312,229.08571,231.1155,233.42688,240.80261,249.62347,261.6342,268.15244,259.21576,216.02747,172.40544,151.38963,123.690094,90.0,120.96369,163.30067,176.186,180.0,183.3664,183.3664,180.0,173.99109,171.46931,174.80566,180.0,184.39862,185.90605,185.35573,183.46815,177.95464,166.60748,150.64235,137.12111,129.09386,133.26433,155.22488,172.50424,180.0,181.21884,178.63611,176.98727,175.23645,174.95764,171.38443,163.81073,153.43501,150.64235,154.65387,160.11475,165.71887,170.69014,176.53185,180.8425,183.41652,186.3401,188.39284,191.12915,192.72435
