forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:49:29+00:00,2025-11-05 00:00:00+00:00,1014.0061,1014.06885,1014.91125,1014.5913,1014.1603,1013.33954,1013.8152,1013.57385,1013.4317,1012.8084,1013.1112,1013.5989,1013.9652,1014.8048,1015.15204,1015.823,1015.1557,1014.43427,1013.3547,1012.49286,1012.2135,1012.1207,1011.68396,1011.3886,1011.3319,1011.43665,1011.6959,1011.29126,1011.63837,1011.6016,1011.39307,1011.66534,1011.54346,1010.9333,1010.42584,1011.00903,1011.585,1011.8135,1012.15643,1012.3943,1012.3991,1011.4811,1010.5296,1008.63275,1007.94086,1007.6248,1007.46014,1007.5125,1007.9577,1008.2279,1008.3014,1008.18207,1007.97205,1007.65784,1007.24634,1007.1267,1006.8176,1006.4146,1006.2112,1006.4026,1006.69275,1006.9407,1007.06305,1006.5749,1005.9532,1005.01575,1003.66705,1002.4941,1001.8652,1001.61774,1001.5806,1001.4281,1001.4067,1001.2037,1001.4002,1001.48285,1001.2634,1000.94464,1000.5384,1000.1574,999.7612,999.6422,999.82697,1000.015,1000.307,1000.8355,1001.10144,1001.1633,1001.32367,1000.88715,1000.0238,999.365,998.88495,998.82104,999.0787,999.73883,1000.3027,1000.642,1001.0785,1001.55396,1001.73535,1001.9199,1002.1082,1002.4034,1002.44183,1002.5443,1002.4857,1003.0143,1003.9025,1004.5939,1005.3154,1005.8437,1005.9658,1005.87494,1005.885,1006.0633,1006.32404,1006.8684,1008.08655,1009.58826,1010.89764,1011.82745,1012.5674,1013.11597,1013.57245,1013.8362,1014.1056,1014.47736,1014.8545,1015.2296,1015.6942,1016.15875,1016.6498,1017.1846,1017.7472,1017.9133,1017.48645,1016.7633,1016.1204,1015.6554,1015.1747,1015.0612,1015.4006,1016.10583,1016.72534,1017.17755,1017.6448,1017.91907,1017.7993,1017.58435,1017.373,1017.2625,1017.25305,1017.34265,1017.51764,1017.6943,1017.8065,1017.98413,1017.9976,1017.7997,1017.08185,1016.1558,1015.21313,1014.45416,1013.8791,1013.4726,1013.4133,1013.52106
2025-11-06 00:48:22+00:00,2025-11-06 00:00:00+00:00,1010.52783,1010.373,1011.0218,1011.1747,1010.6308,1009.79846,1010.5639,1010.25256,1010.3393,1009.8246,1010.3897,1010.66516,1011.2483,1011.3708,1011.3205,1011.6806,1011.3953,1010.9826,1010.02765,1009.1606,1008.5789,1008.37756,1007.74316,1007.9356,1008.5573,1008.59216,1008.1396,1007.3219,1007.0995,1006.80396,1006.49304,1006.5712,1006.3628,1006.30505,1005.78156,1006.26776,1006.4673,1006.3348,1006.5105,1006.3949,1006.39874,1005.2994,1004.3414,1002.239,1001.7246,1001.4259,1001.27875,1001.22815,1001.4083,1001.4002,1001.61615,1001.7137,1001.38696,1001.09644,1000.59973,1000.2036,999.76624,999.75464,1000.0432,1000.32556,1000.5236,1000.9497,1001.3159,1001.5791,1001.4403,1000.99884,1000.1543,999.3881,998.9966,998.9782,999.32886,999.7977,1000.34845,1000.72327,1001.20215,1001.58185,1001.8491,1002.029,1002.27014,1002.48456,1002.3594,1002.3968,1002.6722,1003.0734,1003.56854,1003.993,1004.35657,1004.55145,1005.00354,1005.117,1005.2971,1005.6738,1005.9182,1006.7004,1007.5212,1008.4851,1010.0363,1011.6704,1013.09283,1014.13873,1014.3039,1014.5846,1015.15625,1015.8125,1016.175,1016.7424,1017.1179,1017.5936,1018.0658,1018.67883,1019.22076,1019.4786,1019.13983,1018.3975,1017.7441,1017.26733,1016.8728,1016.754,1017.0958,1017.7133,1018.24054,1018.6939,1019.0594,1019.3298,1019.5028,1019.58215,1019.664,1019.74756,1019.8347,1020.02106,1020.29425,1020.66675,1021.0802,1021.6606,1022.179,1022.2913,1021.5872,1020.4783,1019.4462,1018.69086,1018.0153,1017.60864,1017.4519,1017.4618,1017.48834,1017.35443,1017.33594,1017.2222,1017.2057,1017.1907,1017.176,1017.0621,1017.04895,1017.03937,1017.21844,1017.4985,1017.721,1018.11505,1018.5454,1018.46655,1017.6678,1016.5582,1015.4258,1014.4704,1013.493,1012.88226,1012.71643,1012.81396
2025-11-07 00:48:47+00:00,2025-11-07 00:00:00+00:00,1007.04,1007.2845,1007.7386,1007.0195,1006.40796,1005.1018,1005.7599,1005.909,1006.5947,1005.9175,1006.37555,1005.7655,1005.3077,1005.3569,1005.0631,1005.0442,1004.64923,1004.3074,1003.00006,1002.32086,1001.8049,1001.29675,1000.514,1000.8455,1001.59033,1001.64014,1001.23224,1000.53064,1000.7186,1000.4265,1000.0993,1000.0103,999.6161,999.7166,999.6076,1000.1798,1000.89343,1001.3147,1002.0161,1002.32477,1002.9458,1002.36633,1001.8941,999.45935,999.0772,998.8696,999.11975,999.5949,1000.2362,1000.50226,1001.07007,1001.64606,1001.8243,1001.90515,1001.89154,1002.08466,1002.0881,1001.8982,1001.8158,1001.8177,1002.5242,1003.2325,1003.58405,1003.82947,1003.8521,1003.53235,1003.06244,1003.77057,1004.0342,1004.5777,1005.7805,1007.1627,1008.0179,1008.8482,1010.1726,1010.8089,1010.9869,1011.26227,1011.7392,1012.6191,1012.9988,1013.4552,1013.80853,1014.6676,1015.2296,1016.5126,1016.94806,1016.80585,1016.6689,1016.225,1015.4708,1014.99554,1014.7021,1015.1809,1015.7408,1016.5514,1017.1795,1017.73065,1018.19324,1018.66156,1018.84033,1018.9204,1018.9013,1018.9788,1018.96155,1019.14197,1019.43494,1019.8212,1020.4031,1020.77563,1020.9971,1020.9071,1020.2067,1019.1912,1018.1591,1017.19867,1016.11993,1015.51013,1015.4557,1015.67053,1015.9024,1015.9706,1015.8584,1015.8476,1015.7355,1015.62537,1015.6126,1015.6966,1015.8797,1016.0645,1016.24207,1016.42126,1016.54095,1016.72345,1016.8441,1016.65625,1015.955,1014.8477,1013.81915,1012.7698,1011.801,1011.1953,1011.1268,1011.4207,1011.7336,1011.89484,1012.07697,1012.2626,1012.34564,1012.333,1012.32056,1012.1101,1011.90137,1011.7935,1011.97534,1012.25775,1012.57275,1012.94135,1013.34045,1013.43396,1012.8155,1011.89185,1011.04987,1010.2902,1009.7109,1009.40063,1009.6371,1010.1431
2025-11-08 00:45:01+00:00,2025-11-08 00:00:00+00:00,1001.0125,1000.6196,1001.69385,1000.425,1000.7387,1000.11786,1000.514,999.82074,999.42804,999.14417,999.64087,1000.3325,1000.53406,1001.0358,1001.2769,1001.7935,1002.0406,1001.9415,1001.68,1001.0174,1000.1307,999.8288,999.5676,999.9944,1000.55884,1000.8292,1001.40186,1001.4876,1001.87524,1001.8718,1001.65704,1001.64856,1001.6501,1001.8517,1002.0378,1003.01953,1004.18066,1005.0391,1005.9094,1006.50885,1007.33545,1007.3614,1007.1854,1004.7855,1005.2331,1005.9872,1006.7222,1007.6338,1008.36017,1009.2799,1010.7889,1011.8417,1012.423,1012.513,1012.70374,1013.38367,1013.7299,1014.0925,1014.55945,1015.2162,1015.9835,1016.78876,1017.822,1017.48035,1017.53784,1016.79144,1015.9314,1015.55566,1015.46,1015.4472,1015.7137,1016.5332,1017.1907,1017.7603,1018.2271,1018.4883,1018.73944,1018.89935,1018.8703,1018.7617,1018.75366,1018.63947,1019.0195,1019.4096,1019.88873,1020.5546,1020.4756,1019.98663,1019.2901,1018.3633,1017.01685,1015.7738,1015.20624,1014.61896,1014.2765,1014.3474,1014.60284,1014.3773,1014.36273,1014.4525,1014.24713,1014.2303,1014.39874,1014.4827,1014.5744,1014.4735,1014.3784,1014.1877,1014.1969,1014.45605,1014.89813,1014.82416,1014.03827,1012.72974,1011.588,1010.73,1010.0481,1009.6421,1009.6965,1010.02734,1010.27374,1010.4562,1010.65607,1010.7568,1010.9497,1011.1443,1011.13916,1010.93616,1010.63367,1010.43054,1010.61993,1010.90845,1011.3115,1011.74,1012.2847,1012.4326,1011.9861,1011.14264,1010.38293,1009.90546,1009.4152,1009.2919,1009.51483,1010.0036,1010.50885,1010.95197,1011.31476,1011.6828,1011.9548,1012.1334,1012.21466,1012.10095,1011.8906,1011.87976,1012.15326,1012.52734,1012.9379,1013.4096,1013.8184,1013.9205,1013.4128,1012.6001,1011.86194,1011.1931,1010.5017,1010.08075,1009.9177,1010.02576
2025-11-09 00:51:53+00:00,2025-11-09 00:00:00+00:00,999.63434,1000.48615,1000.8527,1001.5259,1001.709,1001.19714,1001.9255,1001.6284,1001.69727,1001.29956,1001.79285,1002.4709,1002.75793,1003.3808,1004.02356,1004.6692,1004.5038,1004.5038,1004.38336,1004.6755,1005.1313,1005.6721,1006.28577,1007.58215,1008.81,1009.93585,1011.2645,1011.2337,1012.0092,1012.1193,1012.0663,1012.5482,1013.0319,1013.31396,1013.6895,1014.6306,1015.54803,1015.94586,1016.9605,1017.29736,1017.9347,1017.1801,1016.60864,1014.32574,1014.22296,1014.6009,1015.1655,1016.2832,1017.2373,1017.9021,1018.7587,1019.4211,1019.48706,1019.563,1019.54535,1019.8289,1019.72,1019.7104,1019.9954,1020.4784,1020.8666,1021.62177,1021.64624,1021.26764,1020.57166,1019.46136,1018.0069,1016.75336,1015.88873,1015.20624,1014.76965,1014.83704,1015.2864,1015.2591,1015.0445,1014.9344,1014.72363,1015.1027,1015.18134,1015.2615,1015.44836,1015.4388,1015.33984,1015.1495,1015.06165,1015.52484,1015.79114,1015.8283,1015.24023,1013.92834,1012.5886,1011.4248,1010.6424,1010.3401,1010.38617,1010.5689,1010.9241,1011.2924,1011.5651,1011.6401,1011.91223,1012.05164,1012.2636,1012.0725,1011.78064,1011.3861,1011.5826,1011.68005,1011.78064,1012.1907,1012.51855,1012.6519,1012.1018,1011.27094,1010.4871,1009.8104,1009.1237,1008.8149,1009.0689,1009.60236,1010.04645,1010.3179,1010.5003,1010.688,1010.7784,1010.87036,1010.865,1010.85834,1010.7539,1010.747,1010.92914,1011.30963,1011.6206,1012.0811,1012.4692,1012.55176,1012.0238,1011.1899,1010.43646,1009.76245,1009.1698,1008.7543,1008.79816,1009.0181,1009.25183,1009.41785,1009.5018,1009.4865,1009.3688,1009.15173,1008.9366,1008.8186,1008.80145,1008.78564,1008.9612,1009.23737,1009.54486,1009.8107,1010.1061,1009.9952,1009.36774,1008.4342,1007.5817,1006.81177,1006.024,1005.5095,1005.45013,1005.6605
2025-11-10 00:52:06+00:00,2025-11-10 00:00:00+00:00,1008.5031,1009.5935,1011.0199,1011.783,1012.05304,1011.5288,1011.5986,1012.17065,1012.8394,1012.51666,1013.2806,1013.64813,1014.0158,1015.1255,1015.53644,1016.35443,1016.2873,1016.1283,1015.92114,1016.1264,1016.81006,1017.28827,1017.6639,1018.5058,1019.36444,1020.1277,1020.89056,1020.8618,1021.4303,1021.50574,1021.0985,1021.1836,1021.5954,1021.8719,1021.66034,1022.1509,1022.9425,1023.59247,1023.77045,1023.48114,1023.1531,1022.1213,1020.8875,1017.3529,1016.3822,1015.8993,1015.4661,1015.2366,1015.4864,1015.56146,1015.4479,1015.4274,1015.50793,1015.68353,1015.8612,1016.147,1016.2363,1016.03455,1016.0365,1015.9452,1015.95636,1016.31665,1016.18176,1015.91833,1015.2316,1014.321,1012.8857,1011.72516,1011.23975,1010.84045,1010.7976,1011.064,1011.52167,1011.5876,1011.79456,1011.8254,1011.9264,1011.71625,1011.6136,1011.6117,1011.7092,1011.6067,1011.6067,1011.80475,1012.20087,1012.8156,1013.16064,1013.0754,1013.0136,1012.47455,1011.3305,1010.7741,1010.38293,1010.07275,1009.9275,1009.90796,1010.36066,1010.44604,1010.52094,1010.59735,1010.6809,1010.4708,1010.4622,1010.6514,1010.6429,1010.5331,1010.51746,1010.80035,1010.9844,1011.3201,1011.8168,1011.9171,1011.4083,1010.59247,1009.8391,1009.2656,1008.67285,1008.26056,1008.12256,1008.1663,1008.21747,1008.1875,1008.26495,1008.23804,1008.0967,1007.94794,1007.8094,1007.6898,1007.5804,1007.5715,1007.7537,1008.0368,1008.2488,1008.4105,1008.59845,1008.3823,1007.5571,1006.4292,1005.3817,1004.61163,1004.0237,1003.6098,1003.3521,1003.3645,1003.3013,1003.189,1003.20074,1003.0026,1002.6722,1002.3294,1001.9094,1001.4382,1000.99023,1000.52686,999.92944,999.3167,998.9123,999.12225,999.538,999.65375,999.0695,998.2839,997.594,997.30505,997.21106,997.2954,997.44025,997.6616
2025-11-11 00:49:34+00:00,2025-11-11 00:00:00+00:00,1017.1162,1018.9627,1019.4118,1019.97296,1020.24274,1019.9262,1020.8074,1020.7935,1020.5268,1019.79816,1020.285,1021.0705,1021.27026,1022.01306,1022.4934,1022.70087,1021.7819,1020.46246,1019.71387,1018.7709,1017.6113,1016.92706,1016.11914,1016.1262,1016.67847,1016.32623,1015.99963,1015.50287,1015.2955,1015.08453,1015.1685,1015.3477,1015.1424,1015.32355,1015.31396,1015.805,1015.99176,1016.0294,1016.3351,1015.891,1015.9952,1015.1808,1014.2392,1012.75995,1011.87024,1011.5649,1011.40704,1011.78754,1012.24774,1012.42163,1012.50287,1012.5879,1012.6729,1012.7557,1012.84235,1013.02985,1013.21893,1012.8156,1012.81213,1013.00824,1013.1428,1013.69446,1014.1309,1014.27686,1014.0348,1013.4969,1012.4629,1011.71844,1011.4265,1011.32074,1011.0646,1011.2757,1011.6394,1011.7178,1011.69214,1011.9701,1011.5546,1011.3446,1011.43304,1011.42426,1011.12555,1010.91864,1011.1062,1011.3963,1011.6863,1012.22516,1012.628,1012.5267,1012.40546,1011.56323,1010.4007,1009.42,1008.8257,1008.6197,1008.46844,1008.7649,1009.1376,1009.31726,1009.3976,1009.47797,1009.16376,1008.9503,1008.7385,1008.92456,1008.91064,1008.79456,1008.97864,1009.1662,1009.6527,1009.9967,1010.3965,1010.38617,1009.8697,1009.0337,1008.27356,1007.596,1006.89935,1006.4791,1006.4195,1006.6329,1006.8634,1007.0295,1007.2139,1007.301,1007.28577,1007.2722,1007.1576,1007.0416,1007.0226,1007.0068,1007.1859,1007.4656,1007.77484,1008.32886,1008.8101,1008.9864,1008.35443,1007.3188,1006.4646,1005.8911,1005.4025,1005.08765,1004.9353,1004.9558,1004.9899,1005.1495,1005.52045,1005.5989,1005.38544,1005.0781,1004.77075,1004.5626,1004.4532,1004.24664,1004.03125,1003.8178,1003.6352,1003.70544,1003.9056,1003.7951,1002.97046,1001.9388,1000.98145,1000.4894,1000.07587,999.9514,1000.114,1000.3678
2025-11-12 00:48:47+00:00,2025-11-12 00:00:00+00:00,1014.702,1014.363,1014.81915,1015.40204,1014.9932,1014.29645,1014.10236,1013.98267,1014.85126,1014.735,1014.7257,1015.20734,1015.29706,1015.7305,1015.8992,1016.2625,1015.4794,1014.4723,1013.6331,1013.3746,1012.693,1012.29333,1011.7514,1012.14526,1012.67755,1012.63043,1012.80054,1012.8731,1013.343,1013.23004,1012.9276,1012.92224,1013.1078,1013.26074,1013.1637,1013.59015,1014.08716,1014.1301,1014.60187,1015.0272,1015.39417,1014.52966,1013.37805,1012.3391,1011.7598,1011.7598,1011.5074,1011.5797,1012.0304,1012.29474,1012.3732,1012.4493,1012.3242,1012.11926,1012.30676,1012.28894,1012.37396,1012.4605,1012.44977,1012.64075,1012.9324,1013.7726,1014.0822,1013.8895,1013.579,1012.8476,1011.6836,1010.80194,1010.1086,1009.9007,1009.74585,1009.9317,1010.2974,1010.1747,1010.1556,1010.1353,1009.8243,1009.5171,1009.49805,1009.4858,1009.27405,1009.1647,1009.2494,1009.13837,1009.33105,1009.77075,1009.87756,1009.5673,1009.3367,1008.29987,1006.9504,1005.78107,1004.9965,1004.59406,1004.3426,1004.42755,1004.58057,1004.64935,1004.4292,1004.30994,1003.994,1003.97504,1003.75494,1003.8367,1003.8178,1003.8074,1003.5986,1003.5866,1003.6803,1003.9184,1004.3302,1004.325,1003.7124,1002.7806,1001.9274,1001.25793,1000.5693,1000.2532,1000.39355,1000.707,1001.1326,1001.39484,1001.6718,1001.9503,1002.22504,1002.4011,1002.5822,1002.66925,1002.75946,1002.85156,1003.036,1003.4199,1003.73425,1004.2945,1004.8811,1005.0615,1004.53253,1003.5012,1002.74854,1002.27716,1001.9878,1001.87146,1002.10944,1002.62134,1003.05084,1003.4239,1003.81506,1004.1071,1004.2885,1004.46796,1004.6509,1004.83887,1005.0303,1005.22485,1005.4229,1005.527,1005.7402,1006.06757,1006.50385,1006.6477,1006.21,1005.4791,1004.9198,1004.6148,1004.57947,1004.7405,1005.3022,1006.0601
2025-11-13 00:49:10+00:00,2025-11-13 00:00:00+00:00,1010.95703,1011.01984,1012.0554,1012.0379,1012.19946,1012.0737,1012.4628,1012.24896,1012.8321,1012.72076,1013.1005,1013.57043,1013.75574,1014.2723,1014.5842,1014.89734,1014.81323,1014.3932,1013.41583,1013.03937,1012.7572,1012.6582,1012.4208,1012.6228,1013.1457,1013.2939,1013.64325,1013.61176,1013.96924,1013.7429,1013.4226,1013.5109,1013.6857,1013.9591,1014.02924,1014.6015,1015.1715,1015.37134,1015.7231,1015.5835,1015.5954,1014.68054,1013.7346,1010.83746,1010.3407,1010.0225,1009.84845,1009.90955,1010.26324,1010.0363,1010.21027,1010.28827,1010.0728,1009.7587,1009.6493,1009.43884,1009.52545,1009.2126,1009.10474,1009.0997,1009.19135,1009.53784,1009.66046,1009.56067,1009.14685,1008.1194,1006.5735,1005.41046,1004.72644,1004.22015,1003.87317,1004.13367,1004.37244,1004.3386,1004.3185,1004.1289,1003.90186,1003.574,1003.3467,1003.32275,1003.3104,1003.208,1003.1054,1003.0064,1003.3051,1003.6333,1003.9476,1003.8481,1003.6298,1002.89404,1001.5473,1000.5774,999.9878,999.88086,999.9386,1000.40814,1000.9563,1001.52057,1001.697,1001.9755,1002.04407,1002.2167,1002.39954,1002.4832,1002.66925,1002.7629,1002.9575,1003.2545,1003.8505,1004.38153,1004.8843,1005.0795,1004.66724,1003.8302,1003.1734,1002.6058,1002.21893,1002.00354,1002.239,1002.6459,1003.1716,1003.7459,1004.24426,1004.73627,1004.9142,1004.98676,1005.0641,1004.9498,1004.83887,1004.9278,1005.4043,1006.1794,1006.7855,1007.24426,1007.6316,1007.71344,1007.382,1006.8449,1006.3906,1006.2127,1006.12,1006.309,1006.77423,1007.52246,1008.17926,1008.55615,1008.8419,1009.12604,1009.4039,1009.7804,1010.0512,1010.21484,1010.4739,1010.7389,1011.30615,1011.98096,1012.5834,1013.23004,1013.9041,1014.1761,1013.74225,1013.0073,1012.3548,1011.9836,1011.6975,1011.68353,1012.0261,1012.5424
2025-11-14 00:49:15+00:00,2025-11-14 00:00:00+00:00,1010.8801,1011.0233,1011.47876,1012.1335,1011.4074,1011.48694,1012.4434,1012.1971,1012.16284,1011.54144,1012.1027,1012.8782,1013.263,1013.7821,1014.14795,1014.8104,1014.5363,1013.71967,1013.15344,1012.68115,1011.8027,1011.6014,1011.36383,1011.4595,1011.4912,1011.2491,1011.5169,1011.1523,1011.4214,1010.6949,1010.1837,1009.94324,1009.9829,1009.77075,1009.263,1009.6445,1009.95215,1010.07117,1010.2227,1009.71875,1009.5237,1008.8052,1007.8485,1005.9136,1005.1259,1004.4199,1004.17035,1004.2295,1004.3658,1004.23114,1004.1204,1004.2194,1004.1835,1003.87445,1003.75854,1003.73425,1003.3243,1003.0064,1002.80304,1002.9074,1003.10895,1003.44574,1003.75806,1003.5611,1003.1443,1002.2104,1001.0535,1000.1812,999.6969,999.5787,999.73065,1000.11914,1000.7764,1001.15784,1001.43317,1001.7071,1001.9739,1002.0494,1002.12604,1002.21155,1002.4986,1002.6947,1002.68774,1002.8704,1003.2564,1004.28766,1004.9918,1005.4788,1005.45795,1005.01886,1003.8669,1002.99567,1002.7064,1002.6041,1002.55853,1002.83746,1003.4816,1004.0496,1004.33356,1004.63226,1005.0959,1005.1612,1005.4431,1005.73517,1005.9468,1006.1281,1006.2117,1006.41815,1006.927,1007.22064,1007.6316,1007.7232,1007.195,1006.4502,1005.69257,1005.1185,1004.7284,1004.6201,1005.0807,1005.82275,1006.47437,1007.04944,1007.5365,1007.92126,1008.2039,1008.38556,1008.46185,1008.5245,1008.58044,1008.6424,1008.9059,1009.17737,1009.4815,1009.83746,1010.2246,1010.3067,1009.8758,1009.13916,1008.4852,1008.01013,1007.71454,1007.59515,1007.7332,1008.14374,1008.4665,1008.6203,1008.7867,1008.8592,1008.7364,1008.5216,1008.40576,1008.2881,1008.27094,1008.35956,1008.5475,1008.7401,1008.96063,1009.3274,1009.62213,1009.6083,1008.9811,1008.0462,1007.09357,1006.2222,1005.43286,1005.0212,1005.17346,1005.7029
