forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:49:43+00:00,2025-11-05 00:00:00+00:00,157.8336,138.57643,139.39879,127.568665,41.63345,323.13,275.7105,5.19435,47.12111,32.005356,31.607454,50.906155,59.420856,73.07241,60.64234,29.744795,189.46225,295.34613,248.96242,253.30067,356.42374,23.198618,24.623547,15.068549,31.328646,34.286938,60.94549,55.713078,66.50142,59.743652,59.03632,63.435013,66.2505,75.96373,80.21766,88.15243,88.31535,90.0,94.18484,105.945465,108.92474,119.05451,158.83867,170.07382,177.45525,181.33218,174.4279,161.56496,143.13002,153.43501,171.11942,164.3577,154.5367,151.1893,156.80139,158.19853,163.30067,163.0724,167.00539,169.50858,172.64772,186.1154,198.43504,208.30066,219.64413,235.88548,256.75946,278.32556,288.43503,296.56497,300.65057,266.82022,266.82022,311.63345,315.0001,304.69522,289.6539,278.74606,282.99463,264.80566,251.56496,288.43503,255.96373,270.0,315.0001,153.43501,165.96373,153.43501,160.0168,171.86998,190.78426,217.40543,258.11136,297.47433,318.36655,332.24155,333.43503,301.60745,303.6901,316.3971,319.63553,318.991,310.81497,325.09744,327.99466,329.88635,327.38077,328.8776,334.69864,345.06854,344.7448,351.3269,347.24246,347.82855,347.34744,348.6901,349.99207,349.79608,346.90808,341.02948,333.43503,327.72437,324.78232,319.39877,312.5104,301.60745,294.77512,287.1028,274.76355,270.0,270.0,270.0,274.08554,278.13,282.09473,285.94547,291.80148,295.20108,295.34613,294.44394,291.80148,289.79895,291.25058,296.56497,315.0001,161.56496,180.0,180.0,171.86998,164.05453,160.34608,160.34608,165.06853,165.06853,161.56496,158.19853,158.19853,159.44388,161.56496,171.86998,186.84268,200.13638,208.61037,212.15227,215.53777,215.21768,207.29948,190.49142
2025-11-06 00:48:46+00:00,2025-11-06 00:00:00+00:00,37.875053,21.25058,52.124958,41.98713,51.709793,61.69934,33.6901,54.688713,63.435013,63.435013,74.054535,78.11137,74.054535,90.0,98.42689,108.92474,112.47948,114.775116,153.43501,160.42679,159.44388,170.53775,170.34018,160.90642,146.88864,130.10085,106.9276,105.64231,84.55976,47.290634,270.0,291.80148,280.6196,281.3099,260.13425,246.0375,315.0001,168.69011,351.2539,259.3804,278.13,311.009,338.5522,289.79895,291.80148,303.11136,321.009,315.0001,264.80566,280.30478,308.65982,299.0545,293.9625,303.6901,315.0001,296.56497,323.13,326.3099,135.0001,126.86999,131.63345,143.97253,142.12495,140.71062,137.4896,153.43501,180.0,221.18582,277.1249,305.36255,317.29062,313.36346,313.1524,315.0001,342.52515,341.56494,341.1138,330.9455,310.2363,312.70938,324.46225,329.62094,325.8855,317.8156,321.34018,335.77228,345.9637,349.31512,345.4655,333.03436,333.43503,329.48984,332.24155,333.01984,330.25522,327.87503,325.6196,328.8151,328.2986,329.62094,319.89914,309.09384,303.6901,297.75842,304.50858,305.53775,291.25058,284.74362,288.43503,296.56497,302.90524,316.9749,323.13,328.67136,327.52884,322.69595,313.53125,305.53775,292.83368,262.40546,230.71062,213.6901,198.43504,184.39862,176.186,169.99208,164.47583,162.47433,159.77505,160.70985,158.19853,158.19853,162.3498,169.11452,174.47255,184.76355,199.65392,211.13892,216.68982,217.23491,214.24908,210.17343,205.94225,198.43504,189.0902,180.0,175.03035,172.56868,175.23645,180.0,182.12105,177.87895,170.9098,165.96373,160.0168,154.65387,153.43501,161.56496,171.25392,181.97488,196.50444,213.11136,226.39711,231.63248,234.24602,233.53067,224.9999,205.01686
2025-11-07 00:49:09+00:00,2025-11-07 00:00:00+00:00,136.63654,118.442825,109.17911,86.98728,67.61982,35.217674,328.39255,21.801476,360.0,345.9637,80.53775,75.37909,99.865746,90.0,18.435053,255.96373,229.76372,272.12103,302.61923,329.62094,336.8014,328.67136,338.19852,351.87,350.21765,344.57776,336.5713,341.56494,344.7448,265.23645,261.46933,292.3802,295.01685,224.9999,299.0545,320.7106,341.56494,338.19852,51.34017,90.0,139.39879,185.44025,217.18478,243.43501,279.46225,304.43906,312.70938,308.991,306.86996,306.86996,336.8014,338.19852,345.9637,334.53668,298.0724,293.9625,315.0001,312.614,322.43134,327.52884,327.72437,328.67136,325.9806,321.8427,341.22186,340.76923,331.31393,340.9064,346.4641,348.4654,357.5634,351.87,338.45895,336.9745,337.93204,337.8905,331.69934,318.57642,316.9749,317.29062,312.5104,309.8055,296.56497,291.80148,284.93146,277.1249,288.43503,304.3804,321.9529,330.75128,325.17545,311.98712,297.55273,294.62354,293.9625,248.96242,222.27362,198.43504,192.99461,176.186,169.3804,167.4712,160.70985,158.19853,155.77226,159.14546,157.75093,163.0724,160.82089,158.62932,164.93146,189.92618,201.99118,208.23735,214.41843,216.15828,215.3113,214.62422,212.15227,203.9625,193.39252,183.01273,173.99109,168.69011,165.96373,169.21574,169.21574,169.21574,169.21574,166.60748,163.30067,157.1663,156.0375,162.47433,174.55975,185.19434,195.94547,207.75845,217.40543,224.9999,230.90614,233.74606,224.9999,180.0,129.80553,122.00535,130.60121,130.60121,126.86999,119.05451,116.56499,120.96369,124.992096,124.992096,124.992096,118.61037,114.44395,114.44395,112.61991,112.61991,116.56499,126.027466,131.98714,147.52882,161.56496,167.00539,158.96242,143.13002
2025-11-08 00:45:17+00:00,2025-11-08 00:00:00+00:00,283.49576,305.13428,332.02063,343.44284,351.87,282.80426,309.09384,336.5014,346.75946,243.43501,326.3099,355.23645,344.7448,296.56497,224.9999,153.43501,112.61991,165.06853,205.8663,238.13406,267.03912,271.84756,294.36243,315.0001,325.68484,329.9315,329.589,319.574,288.43503,285.7087,291.5015,311.87778,307.99878,305.53775,310.46216,312.8789,323.67307,314.02905,321.17017,333.82477,335.62354,336.27957,332.74475,331.14444,328.5705,327.31946,327.45,328.86108,328.84076,331.8585,330.9455,332.7005,330.01843,319.89914,306.86996,309.09384,304.50858,293.9625,286.6993,286.6993,289.29013,293.9625,312.1375,330.25522,332.02063,326.3099,316.08084,313.91916,316.04153,317.2026,315.0001,298.0724,275.19434,245.55606,224.9999,216.86998,206.56499,180.0,167.90526,159.44388,161.56496,163.30067,160.70985,164.05453,163.0724,168.23174,167.00539,190.43742,204.62355,211.1224,218.10762,218.10762,213.95909,211.89075,214.33028,214.8754,199.17911,173.6599,163.61038,167.19574,169.21574,168.69011,165.2564,157.61983,163.30067,162.47433,161.56496,156.3706,160.34608,176.6336,172.87508,255.96373,270.0,309.8055,309.8055,323.13004,342.8972,360.0,10.304792,20.556128,26.564985,36.86999,44.999897,56.309914,78.6901,90.0,95.19434,104.03627,116.56499,121.60746,122.73522,122.00535,120.46546,119.05451,117.75845,120.0685,124.992096,133.53127,139.18501,145.17545,153.43501,159.44388,159.44388,156.50142,153.43501,153.43501,153.43501,152.35411,153.43501,157.1663,157.61983,154.98314,148.39255,143.13002,145.30478,150.2552,156.3706,159.44388,160.55988,173.6599,197.6502,213.6901,221.98714,225.90929,228.57643,228.69148,223.91916,212.00534
2025-11-09 00:52:07+00:00,2025-11-09 00:00:00+00:00,328.39255,325.40765,332.176,326.88864,311.63345,293.9625,336.5014,344.7448,328.39255,310.426,302.15228,322.88306,322.92685,315.65845,325.24402,329.74365,333.7887,333.43503,336.2505,333.43503,329.64197,329.16223,331.0204,329.80847,329.589,324.3235,323.39282,320.82635,312.1375,310.36444,301.75943,299.74478,302.47116,294.62354,287.1028,285.06854,288.43503,291.80148,307.34943,321.66663,326.0409,322.92685,318.7154,317.29062,312.614,308.65982,308.65982,286.38962,258.6901,241.69934,227.72638,222.27362,212.47118,184.39862,167.90526,159.44388,161.56496,162.47433,164.05453,165.37909,163.0724,162.3498,166.50426,186.17007,203.49858,211.29298,217.04256,214.69522,210.11365,209.8759,212.47118,210.52963,204.30453,190.49142,182.12105,186.3401,189.46225,180.0,175.23645,175.23645,172.56868,169.6952,165.96373,158.19853,161.56496,169.3804,169.6952,189.46225,197.10281,231.34016,250.0168,254.74483,257.4712,285.94547,347.4712,26.564985,41.63345,65.55606,93.814,102.99462,111.03758,123.690094,111.03758,121.60746,154.7989,124.69522,118.61037,123.690094,120.256355,111.03758,118.30067,135.0001,128.65984,136.8476,146.97614,160.20103,172.40544,178.21013,172.14677,157.3801,143.13002,139.89915,139.89915,143.13002,145.0079,148.24057,150.2552,152.35411,153.43501,153.43501,153.43501,150.2552,154.44008,164.57777,173.99109,180.0,185.49223,189.95056,192.42593,191.68935,189.46225,185.7105,181.273,177.06439,170.27249,165.96373,162.89719,161.14674,162.80138,165.32356,167.90526,171.86998,177.27374,180.0,178.56793,175.4861,173.99109,174.2895,174.80566,177.6141,185.49223,194.03627,197.52565,194.5345,187.12492,177.45525,170.53775,165.20319
2025-11-10 00:52:28+00:00,2025-11-10 00:00:00+00:00,319.68597,325.92276,328.39255,334.1337,329.3494,322.12494,309.09384,297.64587,294.44394,286.92758,284.5345,284.03625,283.57043,282.09473,298.21725,312.70938,323.56903,323.13,330.8325,325.954,322.59457,318.01285,313.87677,309.47244,290.85452,299.74478,310.36444,270.0,273.01273,247.61981,256.75946,270.0,50.194473,51.842735,54.782326,52.431335,68.96242,44.999897,41.63345,210.57915,217.26648,218.79657,217.208,215.21768,210.61853,209.8759,212.47118,210.52963,202.98874,189.0902,175.03035,168.23174,163.30067,162.47433,169.6952,165.96373,171.86998,168.11136,161.56496,161.56496,170.53775,174.80566,198.43504,237.99466,285.25516,307.87503,299.0545,330.25522,352.87506,16.699326,28.610369,28.610369,56.3099,85.60138,105.25517,131.98714,126.027466,118.30067,119.74479,119.74479,119.357666,128.15727,128.15727,135.0001,128.65984,125.21768,126.25393,131.63345,138.01286,148.67137,152.59251,150.75127,154.2901,157.249,146.76828,141.07245,137.38599,146.3099,147.26479,148.49579,149.42085,141.34016,153.43501,158.5522,170.53775,168.0239,165.96373,166.37299,168.9965,171.25392,174.55975,182.29056,191.88864,199.3349,199.90384,201.10492,199.72237,197.02061,190.78426,176.72958,163.30067,158.83867,161.56496,164.62369,166.9081,171.15826,172.56868,172.23492,170.31128,168.11136,164.87595,160.64091,158.45895,158.19853,159.59003,159.71736,157.3801,154.35904,152.56036,153.8385,155.69547,157.1263,157.71437,157.6713,161.91646,178.53123,210.37904,234.09018,232.12495,218.36752,215.3113,242.7005,264.40076,273.57626,276.3401,277.1249,276.70975,276.3401,275.80664,274.46707,273.41653,272.4895,272.45398,272.4895,273.46817,274.46707,275.52744,277.47147
2025-11-11 00:49:49+00:00,2025-11-11 00:00:00+00:00,288.43503,289.9832,291.3707,277.4313,270.0,244.98314,135.0001,62.24156,75.37909,78.11137,71.564964,68.62931,61.389645,73.61038,55.304783,219.80553,223.60289,220.39983,221.85495,222.5104,220.50276,215.3113,210.96368,174.80566,130.91429,60.255207,283.13403,266.0549,289.6539,306.86996,320.7106,290.13638,270.0,63.435013,44.999897,36.027473,44.999897,41.98713,36.86999,333.43503,255.96373,289.6539,330.9455,294.44394,315.0001,351.2539,23.198618,39.805527,71.564964,111.03758,135.0001,128.65984,129.28938,130.23628,132.5104,135.0001,130.23628,129.80553,132.5104,141.84273,128.15727,130.60121,137.4896,137.4896,158.74942,177.95464,190.3048,207.21602,203.38524,201.03758,189.16228,166.60748,158.19853,153.43501,154.7989,150.64235,152.10283,152.10283,158.19853,155.77226,146.3099,153.43501,141.34016,144.78232,144.78232,144.16226,150.9455,174.09395,182.93561,199.65392,207.12122,202.89058,200.28264,197.6502,191.88864,177.79745,154.5367,152.35411,156.50142,158.96242,153.43501,151.1893,149.9315,147.72438,146.3099,149.9315,153.43501,153.43501,149.9315,148.57048,149.53453,178.15244,184.39862,196.82149,200.85454,199.57321,196.9276,193.73628,187.69595,175.76369,159.77505,153.43501,158.19853,160.0168,160.82089,161.56496,164.3577,166.50426,168.69011,170.53775,167.19574,160.70985,157.1663,164.74483,173.6599,183.69131,197.44728,208.30066,211.37296,203.55228,184.76355,164.74483,155.55606,152.10283,151.50446,154.05775,158.19853,164.40714,171.34753,177.6141,183.50346,187.12492,188.47105,190.08054,189.0394,186.78888,185.31445,183.57626,182.12105,183.87845,191.12915,201.47685,209.21915,215.6399,224.32605,229.51407,230.52757,226.2188
2025-11-12 00:49:04+00:00,2025-11-12 00:00:00+00:00,171.25392,322.43134,284.47034,307.6943,266.0549,173.6599,320.90613,309.28937,7.59456,62.10283,50.710617,35.537766,51.34017,52.431335,42.27363,83.659904,194.03627,251.56496,288.43503,16.699326,39.289394,32.005356,32.905247,21.801476,30.963696,64.440094,62.10283,71.564964,56.309914,52.124958,41.185837,44.999897,49.398785,60.64234,53.13002,49.76371,67.75093,60.255207,62.354122,87.3975,123.02387,169.11452,199.09358,210.25635,203.70265,204.10223,195.7087,171.46931,165.96373,153.43501,152.10283,149.53453,154.65387,157.1663,153.43501,154.5367,156.80139,153.43501,156.0375,154.65387,156.80139,154.5367,154.65387,181.9091,194.38142,203.70265,213.36638,215.9422,212.73521,210.96368,204.56715,192.5288,177.5105,173.99109,163.61038,159.77505,163.30067,161.56496,160.82089,160.82089,160.0168,164.05453,161.56496,162.3498,160.82089,160.0168,166.60748,187.59456,199.53674,208.30066,215.53777,221.08165,221.08165,220.73201,217.14677,212.34741,201.37068,194.03627,185.7105,177.39749,173.15732,168.23174,167.19574,160.70985,159.77505,160.70985,162.47433,166.60748,161.56496,156.80139,159.77505,177.79745,182.20255,195.06854,205.1148,207.25525,208.61037,207.29948,202.93213,194.03627,176.42374,161.56496,152.10283,149.9315,156.50142,168.31065,172.87508,172.40544,169.11452,165.37909,162.3498,162.3498,163.0724,166.50426,171.57312,181.9091,198.9705,213.31064,221.63345,224.19316,226.63654,227.6426,231.34016,239.0363,251.56496,266.98727,285.52417,300.06848,309.28937,311.63345,313.0251,312.08908,308.8845,307.47626,306.86996,306.15826,306.86996,306.46933,308.991,310.36444,315.0001,320.7106,327.99466,340.20102,355.42615,9.865748,23.629398,48.814175
2025-11-13 00:49:25+00:00,2025-11-13 00:00:00+00:00,53.13002,67.06787,73.300674,69.44387,90.0,68.19853,52.431335,53.74608,50.194473,50.194473,67.3801,36.253937,42.510403,49.085716,52.695976,106.699326,174.80566,207.29948,204.30453,195.12405,198.00426,202.8337,191.6336,175.23645,177.39749,167.00539,97.12492,87.5105,80.13426,71.564964,70.01681,55.0079,57.528828,77.00539,90.0,93.17977,81.02746,60.255207,67.3801,213.6901,221.53168,219.20718,217.87505,207.07199,204.0755,204.86368,198.43504,189.16228,172.23492,169.6952,171.86998,169.21574,166.60748,164.74483,160.0168,160.0168,164.05453,165.96373,164.74483,163.0724,161.56496,163.0724,167.19574,189.46225,199.44012,209.7448,217.30403,223.36346,222.64667,218.85338,217.40543,214.15974,200.22495,183.17976,177.27374,170.9098,173.15732,172.87508,172.23492,172.23492,174.2895,176.82024,172.87508,169.3804,162.64589,147.52882,138.81418,149.74365,131.63345,120.96369,122.471176,140.19447,170.53775,187.43132,169.6952,150.9455,135.0001,122.00535,119.05451,117.64589,124.992096,115.64096,119.24873,120.256355,122.471176,124.992096,128.2902,131.63345,135.0001,135.0001,143.74608,167.4712,184.76355,201.5015,215.21768,219.47243,221.18582,222.95459,226.27295,230.52757,233.13002,221.98714,206.56499,196.38962,193.24052,194.93147,202.6199,232.12495,270.0,282.5288,284.03625,278.13,278.13,284.03625,292.83368,299.0545,302.90524,302.00534,303.6901,302.7352,301.60745,302.47116,318.81415,341.56494,14.036275,66.801384,108.43504,119.357666,119.05451,117.75845,114.22774,113.198616,112.24908,112.24908,113.962494,120.256355,126.027466,124.3804,122.34742,121.42952,119.53869,115.20109,102.5288,96.340096,98.74608,104.03627,105.52418,110.22495
2025-11-14 00:49:34+00:00,2025-11-14 00:00:00+00:00,147.99466,139.89915,126.027466,112.93214,112.93214,98.74608,83.15732,57.528828,40.10085,47.12111,62.10283,62.447273,67.3801,77.00539,75.25639,209.53868,212.00534,208.00908,208.85556,206.56499,203.07043,199.9832,192.65256,170.53775,153.43501,128.65984,111.3707,93.366394,57.528828,83.659904,97.12492,67.3801,10.304792,289.6539,279.46225,270.0,265.10098,271.78986,262.5687,216.60716,225.83023,230.35587,225.78473,223.31535,221.08165,222.27362,221.63345,211.75943,200.22495,182.60251,172.56868,173.41815,175.42616,171.86998,180.0,183.57626,183.3664,180.0,174.80566,186.3401,188.13002,104.03627,60.94549,68.19853,79.21575,90.0,91.97489,96.91113,96.70974,85.23644,73.61038,78.366394,85.71093,96.63242,104.38144,106.55715,109.440125,108.43504,111.16133,105.25517,105.945465,113.19862,110.13639,111.44781,114.775116,118.1785,119.24873,121.26367,124.69522,127.568665,140.82635,143.13002,138.36655,124.992096,109.53674,102.72436,113.749504,120.96369,120.46546,127.568665,114.775116,102.09474,100.30479,360.0,360.0,243.43501,291.80148,289.9832,289.9832,288.43503,303.6901,309.28937,318.01288,338.9624,338.19852,343.3007,353.6599,14.036275,56.3099,76.75947,87.614105,96.340096,104.03627,110.32322,111.801476,112.24908,111.25058,102.99462,69.44387,54.46224,86.63361,100.95402,107.10281,112.38018,121.328636,132.87889,126.86998,105.945465,90.0,78.6901,69.44387,74.47583,96.84268,113.198616,121.865944,131.49637,157.1663,198.43504,284.03625,6.70975,19.798973,38.290207,76.60749,107.74477,125.311295,141.34016,151.8215,161.56496,183.814,210.96368,192.99461,171.46931,168.23174,190.78426,226.73567,244.35904,240.2552,218.65984
