forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:39:24+00:00,2025-11-05 00:00:00+00:00,10.787993,9.387651,12.55879,10.163227,7.928177,8.891343,7.928177,7.653705,8.404285,9.1641035,8.39657,6.9247384,5.8603754,5.0911684,1.9386592,1.5273507,6.1094027,10.630672,13.324863,12.229406,12.88981,11.726277,10.948973,9.114471,7.92,8.311245,6.87779,7.653705,8.089993,7.9932976,5.5887027,5.0911684,3.096837,2.5455842,2.0991426,1.609969,2.52,3.7064266,4.5820518,14.186923,15.30741,14.76439,13.513193,14.480773,15.778518,16.62249,16.394829,12.879752,11.183201,7.8954163,6.638072,4.8433046,5.6002855,4.6102495,5.815978,9.007196,8.557102,6.130579,5.8603754,4.829907,0.35999998,5.4119864,7.5942073,12.7279215,14.113652,12.7279215,14.84318,13.324863,13.75558,13.1041975,13.779114,14.565548,10.514218,8.404285,8.404285,7.6367526,7.928177,6.6087217,5.4833565,5.154415,5.3999996,4.2136917,3.2399998,1.8,2.3051248,0.8049845,1.08,1.9386592,4.68,7.2359104,7.754637,9.422101,10.315115,9.605998,11.726277,9.885262,11.090103,14.578888,19.35314,14.529915,7.8954163,9.565437,17.713316,17.377226,16.641972,20.364674,19.64228,22.26477,21.603,21.518847,20.268991,21.746502,23.110205,21.53089,20.799152,20.945072,20.945072,20.291357,18.35647,16.09969,13.53236,11.183201,8.942214,7.42159,6.792466,7.10031,7.24486,7.0911775,6.9527545,6.830519,6.489992,6.151683,5.815978,6.28713,6.9247384,7.729527,8.217153,8.891343,9.19939,9.659814,10.365251,10.041354,8.049845,5.3999996,3.671294,3.4152596,3.671294,4.0249224,3.7585104,3.5455887,3.096837,2.8116899,3.219938,3.319036,3.6,3.6179552,4.0249224,4.3349743,5.04,6.2145634,8.089993,10.315115,12.4811535,14.386494,16.434305,16.42247,13.570615,9.178235
2025-11-06 02:30:57+00:00,2025-11-06 00:00:00+00:00,4.39436,4.2136917,7.0911775,6.1305785,6.87779,6.489992,8.28,6.6185193,5.0528407,4.198285,4.1046314,4.6938252,5.0528407,6.519877,7.289445,13.684735,13.746156,13.246826,11.808878,14.182355,15.596767,17.651016,16.09969,12.074766,10.829958,8.287822,7.491114,7.6367526,7.42159,8.654986,10.137692,9.793058,10.464798,8.287822,6.9527545,6.1305785,3.319036,5.95906,5.6002855,14.654254,14.512064,14.8257065,14.20062,15.141414,12.904882,12.413477,11.808878,8.0899935,8.209263,7.4128532,6.297428,4.8433046,5.3517847,5.1165614,4.6938257,3.219938,3.8268526,2.3051248,2.0991426,2.2768397,1.5273507,2.3051248,2.0364676,5.495161,6.439876,8.654986,10.538843,11.681987,12.387348,13.089354,15.226764,14.044615,17.31746,22.915916,23.469128,20.883102,18.193361,14.05845,12.229406,12.979984,13.324863,14.77755,15.807239,16.434305,18.514643,17.595861,20.12461,20.929594,24.014996,23.34455,23.507753,23.358423,22.90743,21.794127,19.67195,18.581022,18.289274,17.283749,16.199999,16.075521,15.1884165,15.141414,15.0038395,13.584932,13.584932,12.287555,10.990322,9.504272,9.726664,9.693296,12.031756,11.720751,11.457958,10.703569,10.44,10.514218,10.883676,10.315115,8.049845,4.6800003,2.5455842,2.2768397,3.396233,4.3349743,4.6102495,4.6800003,4.802999,5.0528407,5.0911684,5.2416787,5.4833565,5.634891,6.151683,8.28,12.313893,15.978484,18.532135,20.969807,22.104116,21.599998,20.172853,18.472595,16.676977,14.77755,13.18308,12.599998,12.261157,11.988594,11.525623,11.090103,10.1887,8.534353,6.0347,4.73506,4.3349743,4.73506,5.2416787,6.151683,7.0911775,7.9036193,7.8954163,7.7879906,8.225035,8.557102,8.534353,8.587338,8.404285,8.4963045
2025-11-07 02:28:54+00:00,2025-11-07 00:00:00+00:00,10.805998,14.081477,17.31746,14.118243,10.028439,9.028754,8.287822,8.373386,7.8954163,8.4042845,7.42159,7.208994,7.289445,6.379216,2.8799999,9.339208,14.8257065,13.779114,12.229406,9.585739,12.641076,13.708391,11.269782,7.968939,7.127636,6.489992,6.3690495,5.6233797,6.638072,6.9247384,9.1641035,7.386582,2.8799999,5.0528407,3.0758414,3.396233,2.6208394,2.9024127,1.08,2.5959969,5.3517847,9.47012,13.783817,16.746773,17.414476,19.164719,17.935081,13.32,18.947083,18.581022,22.691423,21.261345,13.513193,12.88981,10.97262,9.793059,13.551501,16.610792,17.555307,18.03237,17.418196,19.914217,20.345573,16.73516,21.175835,20.037485,20.730501,20.46941,22.33161,21.129885,19.33639,18.204042,16.92383,16.267857,15.463246,13.684735,12.413477,11.983188,10.883676,11.246759,10.44,9.220499,8.209263,7.5942082,7.729527,7.42159,10.009036,10.703569,10.739832,10.948973,11.304229,10.883676,9.793059,10.1887,8.373386,3.6179552,2.5959969,3.0547013,3.8773184,5.154415,4.6800003,5.2416787,5.04,5.5887027,6.2145634,6.28713,6.2145634,6.151683,5.6920996,6.151683,11.874544,17.388409,20.073025,21.817902,22.493519,22.218153,21.479664,19.453327,16.135872,11.808878,8.4963045,7.10031,7.0911775,6.9527545,6.28713,5.634891,5.00128,4.510787,4.3498964,4.3498964,4.3498964,4.510787,4.6938257,4.8433046,5.154415,6.28713,7.69592,9.178235,9.885262,9.531505,8.4042845,6.924738,5.4477882,3.6,2.5455842,2.968636,3.671294,4.452954,4.2136917,4.0249224,3.6,3.319036,2.9024127,2.6208394,2.5455842,2.5959969,3.096837,3.7585104,4.68,5.8603754,6.9527545,8.0899935,8.714677,8.435069,7.42159,6.9153743,6.989936,7.5942082
2025-11-08 02:17:45+00:00,2025-11-08 00:00:00+00:00,4.510787,7.928177,6.989936,5.154415,7.10031,5.154415,5.1165614,4.2136917,3.9763298,1.08,2.8116899,5.1165614,2.7416782,3.6179552,0.71999997,1.609969,5.8603754,10.182337,14.118243,16.595179,20.326454,20.907913,23.34455,25.189713,20.767975,19.881649,19.602652,17.057314,18.089775,15.7908325,16.831684,18.440998,17.555307,20.447239,19.969458,20.316889,21.868332,21.370783,27.105392,26.089447,27.212759,27.06472,25.376808,23.86341,24.863466,24.962307,25.071098,20.68356,18.775303,14.973577,14.654254,13.217443,13.479583,12.88981,11.885453,11.753876,11.720751,11.988594,12.261157,12.475961,11.525623,11.808878,14.264361,15.696165,16.299694,15.379206,15.192682,14.904173,14.291592,13.237038,11.019764,6.696387,4.39436,4.379589,4.0249224,4.1046314,4.8433046,4.8433046,4.6800003,5.0528407,5.771239,5.506941,5.5887027,5.937272,6.28713,5.95906,7.5942073,16.267857,19.67195,20.808498,20.808498,20.592503,18.947083,18.218275,17.429354,14.84318,11.200571,8.714677,8.78872,10.296251,10.44,6.297428,5.3517847,4.5820518,5.00128,4.198285,5.1165614,4.8965297,4.896529,4.3349743,3.319036,9.793058,10.315115,11.480557,11.200571,11.480557,11.246759,10.514218,9.085988,7.5685663,6.0347,5.3517847,4.829907,4.39436,4.1046314,3.8939953,3.396233,3.219938,2.9024127,2.4149535,1.609969,0.35999998,1.0182338,2.3051248,3.396233,4.6102495,6.1305785,7.5942082,8.699793,9.107359,8.825508,8.707238,8.049845,7.628263,7.0911775,6.6185193,6.0347,5.5887027,5.6920996,5.95906,5.8048253,4.1046314,2.0991426,1.484318,1.835647,2.8116899,3.8268526,3.8268526,3.096837,2.5455842,5.1165614,9.793059,13.479583,15.408671,15.7908325,15.546833,12.819235,9.19939
2025-11-09 02:38:52+00:00,2025-11-09 00:00:00+00:00,9.360001,3.563818,14.20062,20.767975,27.257967,18.709612,17.10284,16.075521,18.089775,20.929594,22.553936,19.08,22.9724,21.068459,20.188908,21.485697,24.33664,28.017622,27.41678,27.047956,27.047956,26.260265,24.48,22.104116,19.694992,18.359999,19.469976,17.673029,15.575981,11.269782,11.983188,14.57889,11.988594,11.966954,11.212135,12.031756,14.4,13.551501,16.78156,20.316889,20.991426,20.68356,19.878391,18.947083,18.864824,18.626305,17.148247,11.592894,7.24486,4.896529,4.68,5.0911684,4.896529,4.510787,4.510787,4.6938252,5.4119864,5.506941,5.3517847,5.815978,6.0347,5.95906,7.072878,15.315873,21.068459,22.392464,20.969807,21.868332,18.971008,19.469976,17.283749,15.575981,12.538134,10.195057,10.799999,11.246759,12.682018,9.957108,6.489992,5.95906,4.6938257,3.319036,3.8939953,4.1046314,4.198285,4.8433046,2.8799999,8.049845,9.83268,8.891343,8.4963045,7.928177,7.386582,7.145796,3.671294,2.6208394,2.4149535,1.835647,1.1384199,1.8,0.71999997,0.0,3.2399998,2.9024127,2.9024127,2.1897945,1.9386592,2.7416782,2.7416782,3.396233,4.3498964,5.4833565,7.289445,8.669949,9.793059,10.805998,11.770403,11.966953,10.829958,8.557102,6.9247384,6.489992,6.3690495,6.638072,6.4096174,6.193674,5.904439,5.6002855,5.3999996,5.495161,5.692099,5.904439,6.489992,8.427383,10.948973,14.044615,16.981165,19.770523,21.749481,21.542923,20.240196,18.72,16.595179,14.154915,12.783802,13.138765,14.154915,14.830076,14.830076,14.830076,14.471821,13.75558,12.682018,11.928989,12.245294,12.6462,13.797912,15.273505,16.700275,18.175545,19.416653,20.082708,20.620806,20.176065,19.562946,18.532133,17.643673,17.377226
2025-11-10 02:31:00+00:00,2025-11-10 00:00:00+00:00,16.199999,15.7908325,15.379206,12.7279215,11.119281,13.217443,13.70839,13.891522,14.693999,12.538134,17.283749,18.472595,15.986593,16.279802,19.576189,18.971008,18.278645,17.709658,17.782686,17.786331,17.654688,17.072504,15.03835,9.585739,7.289444,7.771331,6.924738,4.452954,1.4399999,4.829907,3.563818,1.0182338,4.510787,4.1046314,7.145796,7.127636,7.145796,8.669949,10.365251,14.154915,17.076298,21.611996,22.782625,22.782625,22.288042,20.991426,17.287498,8.350138,8.225035,7.5685663,7.42159,5.937272,6.28713,5.3517847,5.815978,4.198285,2.52,3.7064266,4.0249224,4.3498964,5.2416787,5.04,4.1046314,9.021574,8.78872,8.714677,8.891343,8.0899935,6.989936,6.489992,4.73506,4.68,4.1046314,3.9763298,3.219938,2.4149535,0.8049845,1.835647,1.835647,2.1897945,2.6208394,2.968636,3.6179552,4.2136917,4.452954,5.2416787,5.315336,8.913181,9.726664,10.233123,11.119281,13.0447235,14.512064,14.24163,13.479583,11.246759,8.699793,8.373386,7.289445,7.7879906,7.10031,6.489992,6.28713,7.145796,6.1094027,6.1305785,6.1094027,6.6087217,8.311245,10.538843,14.04,16.09969,18.556595,17.873554,20.380579,20.380579,20.176065,18.861387,16.454008,13.698934,12.245294,12.964998,14.417988,15.517629,15.137133,13.679999,12.620554,11.901798,10.823973,10.464798,10.182337,10.739833,11.525623,13.493999,16.23596,18.374111,18.751125,18.448023,18.289274,19.242327,20.771093,22.104116,23.090569,23.710857,24.162947,25.11758,25.600533,24.315327,19.33639,12.599998,6.9153743,6.2145634,11.753876,16.92383,19.813087,22.734219,24.881702,24.490587,22.691425,21.626984,22.366402,24.187069,25.2924,25.264202,24.881702,24.50381,24.144165,23.78453
2025-11-11 02:20:16+00:00,2025-11-11 00:00:00+00:00,5.2416787,6.638072,4.32,4.379589,2.5455842,2.968636,3.8773184,4.6938257,4.8433046,7.42159,7.653705,8.714677,9.449572,10.1887,12.522619,15.629972,19.513195,20.304129,21.67487,21.67487,20.972897,19.770523,13.891522,7.2,9.028754,8.942214,8.4963045,7.628263,8.049845,7.42159,3.96,2.5455842,3.671294,3.0758414,1.609969,3.7585104,0.8049845,4.1046314,3.6179552,7.491114,5.8048253,2.6208394,0.8049845,1.484318,1.484318,2.8116899,4.8433046,3.8268526,4.3498964,1.9386592,1.9386592,1.9386592,2.2768397,2.3051248,2.6208394,2.4149535,2.8116899,3.219938,2.6208394,3.8773184,3.7064266,4.6800003,4.3349743,4.5820518,6.489992,7.4128532,7.5170207,8.427383,9.114471,11.525623,11.928989,8.287822,6.28713,6.193674,4.8433046,4.5820518,4.3349743,4.8433046,2.7416782,3.6,3.6,3.7064266,3.7064266,3.8939953,3.563818,4.072935,3.319036,5.4119864,7.8625183,10.028439,11.91812,14.168641,15.459054,14.168641,9.659814,5.0911684,6.379216,5.937272,5.4833565,5.634891,5.154415,4.829907,5.0142193,5.95906,6.439876,6.763786,6.9247384,6.297428,5.991594,5.95906,5.315336,11.252519,13.450708,14.118243,15.844089,16.179985,15.716793,14.689589,12.496719,9.72,7.69592,6.638072,6.162207,5.771239,5.8048253,5.937272,6.0347,6.151683,6.489992,6.489992,6.151683,5.6920996,5.506941,6.849467,9.0,10.966713,12.413477,13.779114,13.979872,12.783802,10.787993,9.793058,9.885262,10.823973,11.879999,13.004921,14.205182,14.973576,15.5843,15.4800005,15.137133,13.324863,10.823973,9.178235,9.605998,10.739833,11.874544,12.758432,13.32,14.003029,15.281989,16.454008,17.339897,18.014393,18.289274,18.214718,17.595861,17.309975
2025-11-12 02:23:06+00:00,2025-11-12 00:00:00+00:00,4.6938257,4.3498964,7.172949,8.287822,1.1384199,7.754637,2.16,2.4149535,1.08,1.609969,1.1384199,0.35999998,0.8049845,4.198285,0.35999998,0.35999998,4.3349743,7.386582,6.3690495,4.8433046,4.6102495,6.4096174,4.6102495,2.9024127,5.8048253,7.7043357,7.4128532,7.2805495,6.489992,4.73506,2.0364676,2.0991426,4.452954,3.0758414,2.0991426,1.484318,2.4149535,1.609969,1.1384199,3.8268526,5.3999996,6.989936,8.891344,11.183201,12.605142,13.363711,12.224107,8.28,8.287822,5.991594,5.3517847,4.198285,4.0249224,4.6800003,5.0142193,5.0142193,5.5887027,5.0142193,5.0142193,4.452954,4.510787,4.510787,3.396233,7.729527,11.304229,12.229406,14.021525,15.124284,16.489416,14.77755,10.883676,5.0911684,5.4119864,5.1544156,5.4477882,5.3999996,5.4119864,5.4119864,5.8048253,6.2145634,5.5887027,4.802999,5.4477882,5.1544156,6.28713,6.8399997,10.495713,14.4,14.799459,16.323528,17.884428,18.626305,19.64228,15.273505,14.003028,8.14587,6.1305785,6.297428,6.379216,6.379216,7.9932966,7.42159,5.904439,4.3349743,4.1046314,3.563818,3.319036,3.6,2.9024127,1.8,1.08,0.8049845,3.5455887,2.0364676,5.0911684,6.162207,6.849467,7.208994,6.519877,5.8603754,4.73506,4.3349743,4.198285,5.0911684,5.6002855,6.1094027,6.1094027,6.1305785,6.297428,6.12,5.8048253,5.3999996,4.8965297,5.8603754,8.707238,11.384199,14.168641,16.87398,18.504139,18.440998,17.10284,15.021105,12.599998,9.904906,9.726665,11.792404,14.689589,16.73516,17.992796,18.919704,19.191748,19.022177,18.79255,18.335276,16.80857,14.799459,13.392774,13.397612,14.512064,14.799459,13.979871,12.979984,12.261158,11.966953,11.966953,11.252519,9.779817,7.5685663
2025-11-13 02:40:58+00:00,2025-11-13 00:00:00+00:00,1.9386592,0.35999998,2.4149535,1.609969,2.5959969,0.71999997,1.2979984,1.9386592,1.9386592,1.609969,2.0991426,0.35999998,3.4152596,1.8,1.0182338,2.5455842,4.6938257,6.3690495,9.178235,11.090103,10.703569,11.440979,10.464797,9.726664,8.161764,7.928177,8.217153,8.404285,8.404285,7.8954163,6.12,7.072878,6.489992,6.6185193,7.42159,8.654987,9.422101,9.178235,6.9153743,11.165805,13.32,16.375053,19.296135,19.969458,20.172853,18.709612,15.379206,8.759178,8.64,5.771239,6.162207,6.2145634,6.162207,6.162207,6.87779,6.489992,5.771239,5.7599998,6.4799995,6.12,7.2359104,7.42159,10.464797,14.618837,15.7908325,17.339897,19.881649,21.479664,19.95972,16.595179,15.629971,12.313894,8.161764,7.42159,7.10031,7.145796,8.404285,7.7879906,5.6920996,5.154415,2.7416782,3.319036,5.154415,6.519877,6.489992,5.8603754,7.7043357,10.739832,10.495713,10.787993,10.538843,10.495713,10.105681,10.931203,9.605998,7.69592,9.0645685,12.7279215,12.496719,12.371645,11.720751,12.57426,13.450708,12.661564,12.758432,12.849528,12.9249525,11.620809,12.0694,12.864649,11.841756,15.379206,11.720751,12.096214,9.693296,10.805999,13.661038,15.137133,12.7279215,8.217153,4.510787,3.0547013,2.6208394,1.835647,2.5959969,7.628263,11.043261,10.966713,9.511088,7.928177,6.8777895,5.692099,5.00128,5.495161,6.193674,6.638072,6.3690495,5.3517847,4.8433046,4.3349743,3.8939953,3.6,3.563818,4.198285,5.0142193,6.2145634,7.92,9.028754,8.707238,7.6367526,6.924738,6.519877,6.162207,6.130579,5.771239,5.771239,5.8048253,6.830519,8.534353,9.693296,9.659814,9.0,8.4042845,8.209263,8.049845,8.287822,8.587338,8.534353
2025-11-14 02:24:08+00:00,2025-11-14 00:00:00+00:00,6.763786,8.587338,7.9036193,8.217153,7.771331,7.0911775,5.771239,5.771239,4.896529,4.8965297,5.1919937,6.618519,5.0528407,5.4119864,5.0528407,5.8048253,6.519877,11.090103,14.003029,16.071491,18.161278,18.0036,14.264361,8.707238,8.905908,8.654986,8.427383,8.217153,8.287822,7.145796,6.638072,7.145796,7.8954163,6.9153743,8.435069,9.178235,8.942214,8.913181,6.9153743,6.439876,10.587918,11.304229,11.792404,13.217443,13.527572,14.512064,10.685391,7.928177,7.653705,5.8048253,6.439876,5.8048253,5.315336,4.6102495,6.151683,4.510787,4.5820518,5.1919937,7.2805495,7.771331,5.937272,5.3999996,6.28713,8.435069,9.693296,10.383987,11.090103,11.119281,11.792404,12.10157,9.565437,7.172949,6.87779,6.849467,6.87779,6.638072,7.208994,8.4042845,9.114471,7.771331,9.693296,11.367109,11.792404,12.57426,12.768586,13.779114,15.141414,17.114204,17.238699,17.068707,17.287498,17.57744,17.84816,16.548256,12.738099,9.449572,9.826088,11.631956,11.043261,9.007196,9.726665,7.24486,8.049845,6.638072,6.28713,6.489992,5.815978,4.829907,5.904439,6.6087217,7.10031,8.654986,8.473393,7.771331,7.342588,7.342588,7.42159,7.42159,7.2805495,7.5685663,7.928178,8.707238,9.885262,10.661107,10.239453,9.3876505,8.64,7.5942073,6.5693827,6.162207,8.473393,12.245293,13.684735,9.6932955,5.991594,6.830519,5.6233797,6.519877,9.659814,9.511088,7.5685663,6.439876,7.42159,9.178235,10.703569,10.990322,11.792404,12.24,8.669949,2.9024127,1.484318,6.9153743,15.281989,20.390114,18.584509,13.044722,8.587338,5.3999996,3.4152596,3.5455887,5.3999996,6.989936,7.7043357,6.193674,5.0528407,5.1165614,3.8773184,3.7064266
