forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:49:44+00:00,2025-11-05 00:00:00+00:00,18.139,16.889,16.338999,16.039,14.889,13.738999,13.139,12.839,12.738999,12.589,12.188999,11.988999,11.889,11.889,14.488999,17.439,20.289,22.389,23.639,24.838999,25.588999,25.789,25.439,23.389,20.689,19.338999,18.439,18.039,17.088999,16.489,15.938999,15.539,15.238999,14.988999,14.488999,13.938999,13.589,13.238999,15.988999,18.489,21.289,23.489,24.838999,26.432999,26.932999,26.932999,26.133,22.833,20.432999,19.333,18.333,17.432999,17.083,16.432999,16.083,17.083,17.483,17.682999,17.983,17.932999,18.032999,19.233,20.133,22.233,24.333,25.983,27.233,27.932999,28.233,28.282999,27.633,23.983,21.333,19.782999,18.682999,17.733,16.682999,15.733001,15.083,14.383,13.833,13.283,12.733001,12.283,11.883,11.783,14.583,17.782999,20.233,21.983,23.583,24.932999,25.383,25.133,24.532999,20.932999,18.733,17.583,16.733,15.833,14.633,14.083,14.083,13.933001,13.033,11.933001,12.633,11.983001,11.133,9.183001,7.883,7.9830003,9.383,10.733001,11.533,11.933001,11.933001,11.333,9.833,7.783,5.983,4.8329997,3.9829998,3.2329998,2.533,1.933,1.433,0.98300004,0.583,0.233,-0.317,-0.867,-0.617,0.98300004,3.333,5.633,7.5829997,9.433001,10.933001,12.083,12.833,12.783,11.383,9.133,7.383,6.633,6.3329997,6.033,5.533,5.033,4.5829997,4.283,4.033,3.783,3.283,2.833,3.1829998,4.8329997,7.233,9.733001,12.283,14.883,16.932999,18.432999,19.432999,19.383,17.682999,14.933001
2025-11-06 00:48:47+00:00,2025-11-06 00:00:00+00:00,21.338999,19.889,19.039,18.389,17.789,17.338999,16.639,15.938999,15.389,15.139,14.789,14.238999,13.789,13.639,16.539,18.989,21.338999,23.539,25.039,25.789,25.989,25.838999,25.489,23.539,21.439,20.338999,19.739,18.989,18.389,18.088999,17.739,17.289,16.838999,16.539,16.489,16.189,16.088999,15.789,17.689,19.739,21.739,23.389,24.789,27.333,27.733,27.782999,27.083,23.782999,21.383,20.083,19.032999,18.282999,17.532999,16.833,16.532999,16.233,15.783,15.233001,14.833,14.383,14.033,14.033,16.383,19.083,21.532999,23.383,25.383,26.432999,26.633,26.782999,26.282999,22.983,20.682999,19.532999,18.532999,17.432999,16.583,16.782999,14.833,13.183001,11.933001,11.033,10.933001,11.333,10.933001,10.883,10.783,11.183001,12.183001,12.983001,12.883,13.133,12.783,11.933001,11.083,9.083,7.0829997,5.883,4.683,3.383,2.4329998,1.933,1.5830001,1.133,0.683,0.43300003,0.283,0.083000004,-0.167,-0.26700002,2.533,5.283,7.3329997,8.983001,10.283,11.433001,12.233001,12.283,10.983001,8.883,7.133,6.233,5.733,5.283,4.8329997,4.483,4.133,3.783,3.4829998,3.2329998,2.783,2.333,2.6829998,4.3329997,6.733,9.233001,11.783,14.383,16.432999,17.833,18.733,18.633,16.983,14.383,12.233001,11.133,10.483001,10.133,10.183001,10.583,10.833,10.783,10.633,10.533,10.283,10.033,10.433001,11.783,13.783,15.933,18.282999,20.833,22.782999,24.032999,24.782999,24.633,23.133,20.833
2025-11-07 00:49:10+00:00,2025-11-07 00:00:00+00:00,21.989,21.139,20.639,20.139,19.189,18.539,18.139,17.689,17.588999,17.439,17.289,17.289,17.489,17.689,18.439,19.539,20.989,22.789,22.739,24.088999,24.289,24.389,24.088999,22.939,20.338999,18.838999,17.889,17.039,16.389,15.839,15.238999,14.889,14.488999,13.988999,13.139,12.339,11.789,11.539,14.688999,17.389,20.989,22.989,24.338999,26.682999,26.833,27.032999,26.532999,23.182999,20.682999,19.383,18.383,17.333,15.783,15.833,15.983001,14.783,14.033,13.183001,12.033,11.983001,11.683001,10.683001,10.983001,11.983001,12.783,13.133,14.283,13.883,12.833,12.633,11.233001,9.483001,8.083,7.283,6.5829997,5.283,4.233,3.2329998,1.9829999,1.0830001,0.533,0.083000004,-0.36699998,-0.667,-1.017,-1.117,1.733,4.433,6.383,8.033,9.483001,10.583,11.283,11.583,11.233001,7.933,6.033,5.533,5.033,4.533,4.0829997,3.583,3.283,3.133,2.883,2.533,2.4329998,2.2329998,2.1829998,2.283,5.433,8.883,11.833,14.283,16.233,17.782999,18.833,18.883,17.233,14.633,12.483001,11.433001,10.883,10.583,10.583,10.883,10.983001,10.683001,10.233001,9.783,9.183001,8.583,8.833,10.433001,12.883,15.283,17.583,19.883,21.682999,22.983,23.833,23.782999,22.333,20.032999,18.083,17.083,16.432999,15.833,15.183001,14.533,14.033,13.683001,13.483001,13.333,13.033,12.733001,13.083,14.433001,16.432999,18.432999,20.333,22.182999,23.633,24.532999,25.032999,24.983,24.133,22.733
2025-11-08 00:45:18+00:00,2025-11-08 00:00:00+00:00,19.739,18.689,18.139,17.739,17.239,16.289,15.238999,14.839,14.589,13.688999,13.089,13.188999,12.839,12.188999,14.289,17.389,21.088999,23.539,24.338999,25.588999,26.338999,26.289,25.088999,22.838999,20.389,18.689,18.289,16.838999,15.089,13.988999,12.688999,11.438999,10.639,10.639,10.039,9.539,8.839,8.389,9.988999,10.938999,11.688999,12.438999,12.539,13.383,13.583,13.483001,12.783,11.183001,9.333,8.283,6.983,5.683,4.433,3.083,1.933,1.133,0.633,0.133,-0.26700002,-0.567,-0.76699996,-0.917,1.933,4.433,6.233,8.433001,10.083,11.433001,12.233001,12.383,11.883,8.833,6.3329997,5.183,4.383,3.6829998,3.2329998,2.9329998,2.883,2.783,2.7329998,2.583,2.383,2.2329998,2.1829998,2.333,5.383,9.033,12.083,14.583,16.483,18.133,19.083,19.383,18.983,16.633,13.483001,12.233001,11.783,11.483001,12.233001,12.883,12.933001,12.783,12.283,11.183001,10.833,10.533,10.433001,10.583,12.983001,16.532999,19.333,21.333,22.733,23.182999,22.932999,22.383,21.682999,20.682999,19.782999,18.983,18.282999,17.833,17.782999,17.983,17.983,17.633,17.133,16.682999,16.233,15.833,15.683001,15.883,16.333,16.932999,17.682999,18.532999,19.432999,20.583,21.782999,22.182999,21.233,19.532999,18.083,17.333,16.833,16.483,16.282999,16.282999,16.233,16.182999,16.133,16.032999,15.533,14.983001,15.083,16.282999,18.182999,20.233,22.483,24.833,26.583,27.383,27.532999,27.233,26.282999,24.833
2025-11-09 00:52:08+00:00,2025-11-09 00:00:00+00:00,22.289,20.739,19.789,18.838999,19.189,17.639,16.088999,14.839,13.639,12.389,11.988999,11.289,10.688999,9.988999,10.839,10.488999,11.438999,11.988999,11.738999,11.889,11.639,10.889,9.839,8.139,6.789,5.689,4.689,3.839,2.989,2.239,1.689,1.389,0.839,0.33900002,-0.111,-0.56100005,-1.111,-1.461,0.439,2.139,3.6890001,5.239,6.439,10.083,10.933001,11.133,10.733001,7.683,5.233,4.133,3.4329998,2.9329998,2.4829998,2.2329998,2.133,1.9829999,1.8330001,1.783,1.633,1.683,1.683,1.783,4.933,8.683001,11.733001,14.333,16.282999,17.782999,18.583,18.833,18.333,16.083,12.883,11.533,10.933001,10.783,11.383,12.283,12.283,12.533,12.083,10.883,10.483001,10.233001,10.233001,10.283,12.483001,16.032999,18.932999,21.383,23.333,24.633,25.333,25.483,25.083,21.633,20.282999,19.133,18.282999,18.633,18.983,18.932999,18.633,18.383,18.182999,17.983,17.932999,17.932999,17.932999,17.932999,18.282999,18.733,20.133,22.583,25.583,26.483,26.633,26.282999,25.133,23.432999,21.932999,20.883,20.032999,19.483,19.333,19.483,19.432999,18.932999,18.282999,17.583,16.682999,15.783,15.633,16.782999,18.682999,20.633,22.532999,24.483,26.032999,27.083,27.733,27.532999,25.983,23.682999,21.833,21.032999,20.682999,20.432999,20.182999,19.983,19.733,19.333,18.883,18.233,17.133,15.833,15.333,16.133,17.733,19.483,21.583,23.932999,25.333,25.182999,24.133,23.133,22.583,22.032999
2025-11-10 00:52:30+00:00,2025-11-10 00:00:00+00:00,9.639,8.488999,7.439,6.639,5.839,4.989,4.039,3.139,2.539,1.939,1.389,1.089,0.289,-0.011,2.089,3.639,5.039,6.439,7.489,8.589,9.289,9.539,9.238999,7.939,5.739,4.639,3.789,3.139,2.589,1.7390001,1.4890001,1.439,0.73899996,0.23900001,0.439,0.389,0.489,0.589,3.489,7.089,9.938999,12.188999,14.139,17.583,18.383,18.633,18.083,15.883,12.683001,11.383,10.833,10.633,11.533,12.183001,12.033,11.883,11.783,10.783,10.183001,9.833,9.683001,9.883,11.933001,15.033,17.932999,20.182999,21.733,23.083,23.733,23.932999,23.733,20.083,17.983,16.833,16.133,15.633,15.283,14.783,14.233001,16.333,16.883,17.032999,17.083,17.032999,17.032999,17.032999,17.682999,18.532999,19.483,20.432999,20.983,21.532999,22.383,23.932999,23.633,21.833,21.032999,20.883,20.432999,18.383,17.682999,17.633,17.583,17.532999,17.133,16.782999,16.233,15.583,15.533,15.733001,17.682999,20.182999,22.532999,24.383,25.682999,26.682999,27.233,27.032999,25.532999,23.233,21.483,20.833,20.682999,20.483,19.983,19.432999,18.883,18.233,17.583,17.032999,16.583,16.282999,16.282999,16.833,17.782999,18.682999,19.583,20.532999,21.032999,20.883,20.333,19.782999,19.333,18.932999,18.733,19.083,19.682999,19.583,18.333,16.383,14.633,13.233001,11.983001,10.983001,10.183001,9.583,9.483001,10.033,11.083,12.183001,13.433001,14.733001,15.783,16.583,17.083,16.883,15.533,13.483001
2025-11-11 00:49:50+00:00,2025-11-11 00:00:00+00:00,7.789,6.489,5.489,4.589,4.189,3.289,2.9390001,2.889,2.639,1.539,1.7390001,2.139,2.239,2.4390001,5.389,8.988999,11.889,14.339,15.639,17.088999,18.139,18.539,18.389,16.088999,13.988999,13.039,12.389,11.738999,11.339,11.039,10.988999,10.789,10.589,10.389,10.188999,9.539,9.238999,9.238999,11.639,14.839,18.239,20.338999,21.989,23.432999,24.083,24.432999,24.083,20.233,17.932999,16.883,16.282999,15.733001,15.083,14.533,14.233001,13.733001,13.683001,13.683001,13.533,13.433001,13.333,13.333,15.683001,18.733,21.432999,23.432999,24.932999,25.983,26.682999,26.833,26.182999,22.733,20.733,19.733,18.733,17.833,17.383,16.983,16.932999,16.682999,16.032999,15.383,14.883,14.583,14.333,14.283,16.432999,19.782999,22.333,24.233,25.532999,26.383,26.833,26.883,26.282999,23.233,20.782999,19.633,18.782999,18.133,17.983,17.733,17.432999,16.333,15.633,15.233001,14.683001,14.483001,14.383,14.133,16.282999,19.333,21.633,23.432999,24.583,25.432999,25.833,25.483,23.983,21.782999,20.083,19.532999,19.532999,19.432999,18.983,18.432999,17.833,17.083,16.282999,15.633,14.933001,14.383,14.583,16.182999,18.532999,20.432999,21.282999,21.682999,21.883,21.932999,21.833,21.682999,21.432999,21.133,20.983,21.182999,21.532999,21.633,21.133,20.333,19.733,19.583,19.583,19.633,19.583,19.583,19.733,20.182999,20.833,21.532999,22.233,22.932999,23.883,25.532999,27.383,27.932999,25.983,22.782999
2025-11-12 00:49:06+00:00,2025-11-12 00:00:00+00:00,16.088999,15.039,14.188999,13.688999,13.389,13.039,12.488999,12.139,11.789,11.438999,10.988999,10.488999,10.089,10.089,12.488999,15.339,18.539,20.588999,21.539,22.739,23.439,23.689,23.439,21.139,18.889,17.789,16.789,14.988999,14.589,13.889,13.839,13.738999,13.688999,13.339,13.339,12.889,12.539,12.289,14.889,17.439,19.838999,22.239,23.939,26.032999,26.682999,26.833,26.083,22.883,20.483,19.282999,18.633,17.983,17.233,16.932999,16.782999,16.583,16.483,15.583,14.833,14.383,14.183001,14.083,16.532999,19.733,22.383,24.333,25.782999,26.682999,27.133,27.032999,26.282999,23.182999,21.083,19.983,19.133,18.583,18.032999,17.483,17.182999,17.333,17.532999,16.932999,16.383,15.683001,14.983001,14.533,16.782999,19.833,22.282999,24.282999,25.782999,26.633,26.833,26.682999,26.083,23.282999,21.133,20.133,19.432999,18.833,18.282999,18.083,18.032999,17.932999,17.782999,17.532999,16.932999,16.432999,16.032999,15.633,17.983,20.633,23.233,25.432999,27.032999,28.233,28.983,28.883,27.483,25.282999,23.583,22.983,22.833,22.633,22.182999,21.682999,21.133,20.583,19.983,19.483,19.032999,18.682999,18.782999,19.682999,20.983,22.182999,23.083,23.833,24.333,24.532999,24.532999,24.383,24.083,23.583,23.133,22.782999,22.432999,21.932999,21.233,20.333,19.083,17.182999,14.983001,13.083,11.683001,10.683001,10.283,10.683001,11.683001,13.033,14.883,17.083,18.833,20.133,20.983,20.932999,19.432999,16.983
2025-11-13 00:49:26+00:00,2025-11-13 00:00:00+00:00,20.289,18.588999,18.039,17.289,17.239,16.588999,15.589,15.039,14.389,15.438999,15.988999,15.589,15.039,14.688999,16.639,18.239,20.639,21.838999,22.939,24.139,24.838999,25.539,25.239,23.039,20.739,19.789,19.338999,19.039,18.189,17.639,16.939,16.489,15.839,15.238999,15.188999,15.339,15.238999,15.339,16.789,18.489,20.489,22.739,24.639,26.032999,26.483,26.532999,25.833,22.733,20.383,19.233,18.432999,17.833,17.282999,16.733,16.233,15.883,16.633,16.532999,16.233,15.633,14.983001,14.933001,16.932999,19.633,22.083,24.182999,25.682999,26.633,27.182999,27.083,26.432999,23.733,21.233,20.233,19.483,18.682999,18.182999,17.782999,18.032999,18.432999,17.883,17.583,16.932999,16.432999,16.133,16.032999,18.133,20.733,23.182999,25.333,26.883,27.883,28.532999,28.682999,28.182999,25.432999,23.282999,22.383,21.633,20.932999,20.432999,20.133,20.233,20.383,19.932999,19.432999,19.083,18.833,18.432999,18.133,20.282999,22.932999,25.333,27.483,29.133,30.233,30.782999,30.733,29.833,28.282999,26.833,25.682999,24.532999,23.483,22.383,21.282999,20.483,20.133,20.083,19.983,19.583,19.133,19.083,19.583,20.532999,21.733,23.483,25.583,27.182999,28.182999,28.682999,28.383,26.682999,24.133,21.983,20.833,20.133,19.483,18.682999,17.932999,17.333,17.032999,16.883,16.883,17.083,17.432999,17.583,17.383,16.983,16.782999,16.883,17.182999,17.432999,17.633,17.833,17.932999,17.782999,17.532999
2025-11-14 00:49:35+00:00,2025-11-14 00:00:00+00:00,22.489,21.539,20.889,20.088999,19.439,18.739,18.338999,17.939,17.239,16.889,16.539,16.338999,16.189,15.889,17.689,20.289,22.689,24.439,25.338999,26.338999,26.789,26.838999,26.439,24.439,22.189,21.289,20.739,19.989,19.338999,18.789,18.389,17.989,17.539,17.039,17.039,16.539,16.239,16.239,17.789,20.039,21.989,23.489,24.689,26.583,27.032999,27.032999,26.333,23.833,21.233,20.383,19.782999,19.083,18.583,18.032999,18.432999,18.583,18.032999,17.282999,16.383,15.883,15.583,15.383,17.483,20.383,22.833,24.833,26.483,27.583,28.182999,28.233,27.583,25.083,23.883,22.432999,21.833,21.432999,21.182999,20.432999,19.682999,19.233,18.682999,17.932999,17.182999,16.932999,16.932999,16.983,18.833,21.633,24.083,26.182999,27.932999,29.432999,30.282999,30.333,29.532999,27.383,25.833,25.233,25.233,25.233,24.432999,23.233,22.083,21.032999,21.032999,19.833,19.032999,18.782999,18.583,18.282999,19.583,21.782999,23.833,25.932999,27.633,28.782999,29.532999,29.282999,27.583,24.932999,22.532999,20.833,19.383,18.282999,17.633,17.282999,17.032999,16.833,16.782999,16.633,16.333,16.032999,15.683001,15.383,15.083,14.833,14.633,14.483001,14.483001,14.733001,15.083,15.283,15.083,14.733001,14.533,14.583,14.833,15.133,15.533,16.032999,16.633,17.682999,18.883,19.333,18.383,16.682999,15.383,14.983001,15.033,15.083,14.933001,14.883,15.233001,16.633,18.432999,19.432999,18.733,17.233
