forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:50:11+00:00,2025-11-05 00:00:00+00:00,977.7362,977.285,977.2241,976.5629,977.76306,978.20087,977.8691,977.4602,977.8529,977.6825,977.14825,976.8675,976.868,977.95874,978.72,979.59784,981.0076,981.3154,980.7423,980.24164,979.84973,979.75555,979.5994,978.3055,977.19916,976.74713,977.2759,976.79266,976.3015,976.4379,976.6959,976.81445,975.8825,975.43787,975.09546,975.125,975.1666,975.34515,975.3654,975.7564,976.60675,977.2369,977.00555,975.603,974.542,973.57025,973.13226,972.83746,972.59265,973.1308,973.55493,973.49817,973.595,973.7879,973.512,973.1657,973.0113,973.0622,972.7738,972.6387,972.89465,973.0543,973.4895,974.0108,974.4611,974.46,974.30396,973.5387,972.5801,971.6802,971.24225,970.7673,970.5098,970.7845,971.1897,971.3186,971.4411,971.87714,971.9224,971.8579,971.8132,971.8771,971.64594,971.61365,971.7863,972.14514,972.5998,973.704,974.2556,974.1386,973.77716,973.3,972.52747,971.92816,971.7788,971.70715,972.1116,972.5014,973.2981,973.49817,973.7166,974.3072,974.5638,974.70465,975.26874,975.2364,975.2876,975.42175,975.8569,976.4907,977.31683,978.0109,978.5643,978.97363,978.96405,978.4718,977.6579,977.0705,976.8657,976.7796,976.96936,977.4348,978.0793,978.6394,978.93524,979.15393,979.27594,979.39124,979.5063,979.62756,979.7484,979.7793,979.9323,980.2906,980.6751,981.0227,981.1788,981.19946,980.9101,980.10626,978.9933,978.10547,977.52185,976.97253,976.7826,976.9455,977.2747,977.55115,977.61523,977.6217,977.6217,977.4935,977.3526,977.20496,977.1402,977.0757,977.2224,977.59393,978.17737,978.5374,978.60895,978.54425,978.1567,977.4348,976.3981,975.4974,974.89526,974.4301
2025-11-06 00:50:27+00:00,2025-11-06 00:00:00+00:00,977.63104,976.4145,975.72406,976.6979,976.9242,976.9249,976.79846,975.52496,975.5825,975.04156,974.9464,975.0364,975.28326,975.2008,975.28253,975.54376,976.91846,977.5373,977.0309,976.4541,975.76825,975.36707,975.0906,974.4885,974.0735,974.0439,974.2173,973.4327,972.7293,973.1801,973.44464,973.36444,972.4681,972.284,972.1685,971.9083,971.77124,971.7436,972.25745,972.8001,973.647,974.33325,974.2855,973.3,972.23267,971.34467,970.9005,970.52167,970.2647,970.6358,971.1311,971.1388,971.45355,971.6788,971.8069,971.74927,971.77454,971.8382,971.5304,971.485,971.74097,972.2023,972.67645,973.6078,974.2682,974.24744,974.07837,973.7037,973.0147,972.5055,972.35626,972.2784,972.39374,972.70026,973.18933,973.4726,974.1785,974.60834,974.9225,974.88403,975.05054,975.4287,975.39026,975.53723,975.953,976.38165,977.1181,977.81866,978.46814,978.88995,979.16907,978.6456,977.8072,977.347,977.40796,977.486,977.4937,978.1484,978.7466,979.01636,979.3898,979.692,979.60925,979.6863,979.6986,979.81335,979.73505,979.6633,979.8995,980.14856,980.58966,980.8937,981.0955,980.9748,980.65393,979.838,978.80927,977.91595,977.4348,977.09,977.00836,977.17725,977.4226,977.6923,977.83344,977.81396,977.8846,977.9223,977.8514,977.8824,977.9199,977.9638,978.03375,978.32214,978.63,978.9007,979.0697,979.0065,978.8126,978.17554,977.21124,976.38873,975.7802,975.21173,974.8354,974.8434,975.12683,975.24286,975.2109,975.10205,974.9804,974.73663,974.48645,974.24286,973.9157,973.6911,973.67786,974.15857,974.7487,975.3967,975.8521,976.2675,976.354,975.9014,975.1222,974.48566,974.1599,973.977
2025-11-07 00:49:41+00:00,2025-11-07 00:00:00+00:00,973.41534,973.03754,972.9351,972.24664,973.2032,973.5512,972.73865,973.3174,973.9985,974.0198,972.18915,971.03015,970.8588,972.1961,972.5316,972.67664,973.5015,974.0057,974.5237,974.20996,972.9156,972.5268,972.1602,971.8469,971.6369,971.5177,971.53796,971.26086,971.0519,971.4009,971.64575,971.67523,970.8751,971.1447,971.2557,971.29065,971.30457,971.59265,972.48413,973.4104,974.4658,975.24347,975.34985,973.79987,972.9246,972.1329,972.09204,972.0081,972.0464,972.52014,973.02203,973.4207,973.9028,974.5057,974.7173,974.7621,975.04407,975.5055,975.6978,976.0115,976.06213,976.7533,977.5988,978.389,978.85895,979.3836,979.604,979.06775,978.2884,977.7196,977.7029,977.7029,977.73303,978.25287,978.95337,979.4733,980.057,980.4808,980.4876,980.77625,980.89124,981.0189,980.84503,980.79266,981.0227,981.07947,981.3152,981.8503,981.9878,981.8533,981.6024,980.5808,979.53906,978.4595,977.9317,977.35425,977.0398,977.3773,977.49976,977.6217,977.67316,977.7113,977.57007,977.448,977.41595,977.281,977.1326,977.18353,977.41974,977.6884,977.9813,978.36957,978.72455,978.8846,978.64557,977.8221,976.67737,975.7651,975.35516,975.18414,975.0968,975.19507,975.4788,975.67847,975.7047,975.65356,975.60864,975.77515,975.94836,976.12115,976.1725,976.2168,976.3764,976.74805,977.3379,977.7876,978.2307,978.634,978.70886,978.05835,976.9972,976.16846,975.7588,975.684,975.68665,975.95197,976.2937,976.66644,976.91,977.08966,977.26263,977.2176,977.1661,977.11456,977.06915,977.0301,977.1964,977.6577,978.32385,978.8632,979.23083,979.47437,979.38855,978.85315,977.90063,977.18036,976.6745,976.40753
2025-11-08 00:45:42+00:00,2025-11-08 00:00:00+00:00,971.44745,970.2619,970.38983,970.24744,971.16534,971.6361,971.7845,970.6966,970.78784,970.72003,970.371,970.64606,971.0852,971.8464,972.34674,973.0949,974.6684,975.44147,975.2096,975.00464,974.3059,974.02576,973.96606,973.55646,973.521,973.4023,973.8972,973.86304,974.0315,974.4494,974.57513,974.6267,974.5191,974.74664,975.02124,974.98035,975.46063,976.1398,976.6476,976.8857,977.81934,979.002,979.1737,978.6393,977.9749,977.49005,977.1606,977.0705,976.9383,977.27814,977.876,978.357,978.7545,979.0759,979.3138,979.5514,979.57733,979.60925,979.4488,979.66614,979.877,979.9339,980.2795,980.88403,981.1289,981.20483,980.8632,980.1291,978.9779,978.00586,977.47156,976.99036,976.8699,977.1317,977.26733,977.38995,977.49976,977.62823,977.37164,977.3137,977.2751,977.06335,976.9287,976.9925,977.04944,977.0236,977.25336,977.7044,978.26917,978.04956,977.8996,977.05,975.9575,975.15936,974.7275,974.54114,974.4209,974.6491,975.0674,975.0688,975.1784,975.3967,975.2559,975.2304,975.26874,975.3196,975.5696,975.5437,975.5943,976.1323,976.77264,977.37714,977.7434,977.8445,977.70715,977.16504,976.3019,975.5751,975.1655,974.8028,974.7157,974.8917,975.3434,975.63306,975.7875,975.781,975.76196,975.7109,975.55096,975.49304,975.4417,975.30054,975.4669,975.92834,976.4987,977.03784,977.4038,977.6394,977.5458,977.00977,976.0501,975.33594,974.84247,974.4918,974.31537,974.51056,974.9818,975.2659,975.2738,975.1914,975.1212,974.9739,974.8393,974.70465,974.5633,974.42224,974.3964,974.66547,975.1462,975.4994,975.76886,975.9977,975.8139,975.0852,974.0415,973.13434,972.6472,972.39307
2025-11-09 00:52:30+00:00,2025-11-09 00:00:00+00:00,974.3123,972.80615,973.5894,973.4849,974.46204,974.8871,975.1184,974.6603,974.5932,974.6151,974.8224,975.11053,975.19305,976.0166,976.6483,977.60675,979.73047,980.4831,980.34094,979.8577,978.8964,978.5842,978.5181,978.27716,978.1582,978.26117,978.7505,978.89746,979.6538,980.17523,980.42145,980.4809,980.16864,980.43195,980.5365,980.4075,980.5175,980.64124,981.3405,981.69727,982.6331,983.24457,983.02234,979.96387,978.6207,977.72687,977.2889,977.0002,976.98737,977.53687,977.94806,977.96765,978.01294,978.17316,977.9487,977.99976,977.743,977.5186,977.4095,977.35114,977.58746,977.85,978.0533,978.69086,979.2567,979.33295,978.8886,977.94336,976.8887,976.1746,975.82684,975.532,975.2431,975.44574,975.88885,976.08777,975.9609,976.0765,976.1276,975.7303,975.6853,975.8201,975.7237,975.89655,976.0568,976.2871,976.74805,977.6404,977.9741,978.15845,977.8095,976.9599,975.96985,975.4357,974.9976,974.70276,974.6007,974.8102,975.2533,975.45966,975.5951,975.839,975.6791,975.53796,975.26874,975.0376,974.89655,974.85126,974.92126,975.19684,975.5555,975.98016,976.22375,976.2989,976.03394,975.29297,974.1353,973.2162,972.6265,972.27594,972.09283,972.173,972.4259,972.4982,972.30023,972.01215,971.65314,971.3196,971.0118,970.69727,970.47284,970.2481,970.21594,970.2796,970.542,970.7278,970.933,971.068,970.9211,970.2361,969.2746,968.5438,968.2938,968.2744,968.3438,968.61127,969.0702,969.4387,969.8197,970.1174,970.42145,970.53265,970.548,970.67224,970.8031,971.0504,971.4002,972.0452,972.80646,973.4308,973.9718,974.47644,974.56134,974.111,973.2489,972.5393,972.0587,971.73083
2025-11-10 00:53:02+00:00,2025-11-10 00:00:00+00:00,978.7266,977.63214,977.5899,977.9772,979.1784,979.19507,980.04706,979.9137,980.2535,980.8936,980.1124,979.7288,980.15393,981.04565,981.3477,981.7524,982.7575,983.3408,983.2587,982.7963,981.75854,981.1583,980.7074,979.98456,979.5742,979.4281,979.75085,979.45197,979.42065,979.3371,979.52496,979.2589,978.78,978.6511,978.56934,978.4869,978.8368,978.99457,979.04913,979.0771,979.65204,980.44214,980.56995,977.7382,976.6839,975.675,975.2372,975.03235,974.7119,974.88257,975.23566,975.49896,975.57654,975.62775,975.5316,975.3778,975.0376,975.2494,975.4799,975.4994,975.6978,975.9272,976.46094,977.0569,977.59595,977.57477,977.33484,976.6712,975.51355,974.6966,974.4326,974.1439,973.7596,973.78326,974.30396,974.4067,974.4852,974.5043,973.9535,973.67206,973.5694,973.595,973.37103,973.36487,973.2941,973.4029,973.64,974.2558,974.6322,974.5969,974.0483,973.08905,971.92426,970.95135,970.41675,969.9705,969.69006,969.8827,969.88525,969.8226,970.17566,970.0998,969.81256,969.6781,969.3514,969.1144,968.9732,968.70416,968.8892,969.1897,969.6621,969.8889,970.13385,970.35236,970.0548,969.5571,968.8035,968.18933,967.88135,967.80963,967.82074,967.99725,968.3451,968.61597,968.9265,969.1676,969.50476,969.8486,970.1027,970.5422,971.0434,971.6267,972.25073,972.9297,973.7394,974.39795,975.0148,975.6715,975.929,975.6851,975.13153,974.64075,974.29553,974.10333,973.9679,974.15717,974.49866,974.76953,974.99744,975.149,975.2047,975.15735,975.10986,974.9732,974.85016,974.8363,974.9394,975.34393,975.86487,976.23444,976.2865,976.2818,975.8638,975.0275,973.97174,972.9726,972.2034,971.6773
2025-11-11 00:50:18+00:00,2025-11-11 00:00:00+00:00,978.70483,978.15985,978.5901,978.20856,979.0294,979.26117,979.6411,977.9694,977.6693,977.3956,977.21075,977.0533,977.0533,977.4301,977.965,978.439,979.3542,979.6674,980.608,980.29425,978.922,978.4366,977.9738,977.15466,976.78033,976.65875,976.82056,976.1404,975.63513,975.7187,975.48926,975.32635,974.9217,975.1563,975.37036,975.65186,975.549,975.67334,976.037,976.3851,977.05725,978.12866,978.3699,976.68634,975.67786,974.77783,974.6226,974.23773,974.1033,974.165,974.6078,974.7105,974.7622,974.9739,974.8523,974.7173,974.5059,974.37744,974.4097,974.1083,973.9924,974.36414,974.8188,975.339,975.7685,975.7534,975.513,974.76556,973.8837,973.0791,972.63495,972.44867,972.03375,972.39905,972.5221,972.68115,972.81067,972.5945,972.2287,972.01733,971.87024,971.627,971.15314,970.6977,970.3581,970.4153,970.8703,971.0505,971.2488,971.95996,971.2604,970.61255,969.72144,968.62714,967.7299,968.3774,968.3438,967.8666,968.86224,969.5806,969.1815,969.0834,969.13727,969.09076,968.8171,968.12445,968.4952,967.90533,968.4154,968.6969,969.09485,969.4857,969.9446,970.51245,970.79895,970.58435,970.1707,969.929,969.9357,970.11475,970.48566,971.05536,971.8241,972.47,972.897,973.2075,973.4079,973.4916,973.4717,973.4651,973.49225,973.4508,973.6152,974.07434,974.63654,975.15826,975.5571,975.818,975.77563,975.245,974.3223,973.64716,973.39874,973.3091,973.38525,973.6139,974.0073,974.3181,974.4565,974.50525,974.56067,974.52,974.38336,974.25995,974.13684,974.02014,974.1162,974.41815,974.8433,975.1993,975.424,975.4957,975.2576,974.601,973.5331,972.72046,972.15015,971.73315
2025-11-12 00:49:31+00:00,2025-11-12 00:00:00+00:00,976.7829,975.5828,975.64716,975.5688,975.5628,975.54645,974.9862,974.32294,974.8123,975.3283,975.1158,975.1022,974.96,976.1059,976.6822,977.1061,978.1777,978.69226,978.8078,978.65485,977.5906,976.9252,976.46857,975.74585,975.3646,975.2096,975.44214,975.52997,975.6022,975.81134,975.63214,975.5117,974.9168,974.8359,974.8572,974.50104,974.35706,974.4601,975.42053,975.98865,976.79895,977.4297,977.14276,975.8052,974.8399,974.0352,973.675,973.3863,973.14514,973.44464,973.6053,973.95886,974.11304,974.0051,973.7938,973.5314,973.4159,973.46716,973.3325,973.2619,973.21674,973.3959,973.8066,974.49945,974.95355,974.99646,974.81464,974.12573,973.2198,972.67944,972.2046,971.9688,971.7667,972.0391,972.3361,972.4007,972.4904,972.6702,972.5435,972.3256,971.9283,971.4352,970.9925,970.5182,970.6208,970.6851,971.1016,971.6656,972.03754,972.28687,971.9765,970.6653,968.8837,967.51935,969.7702,969.6967,970.33,970.5919,970.9564,971.407,971.9667,972.19543,972.2022,972.36127,972.2418,972.34717,972.2667,972.0968,972.17255,972.43365,972.6949,973.03033,973.3774,973.59393,973.5213,972.96704,972.1176,971.41364,971.02905,970.79114,970.7326,970.8657,971.2675,971.49634,971.649,971.80804,971.77466,971.63196,971.3931,971.15436,971.0178,970.98444,971.067,971.38214,971.8201,972.2579,972.6957,973.04376,973.01434,972.4272,971.46204,970.7523,970.3678,970.0531,970.0271,970.2125,970.5905,970.9619,971.128,971.1846,971.2476,971.1252,970.91327,970.8041,970.9895,971.175,971.4501,971.5959,971.7348,971.8376,972.0466,972.21136,972.1566,971.47217,970.569,969.832,969.4409,969.2165
2025-11-13 00:49:48+00:00,2025-11-13 00:00:00+00:00,975.9357,974.8829,974.4868,974.61383,975.04755,975.2941,975.3676,974.91656,974.3497,974.667,974.5932,974.58636,974.5883,975.227,975.46735,975.6922,976.90845,977.5899,976.9143,976.62524,976.0346,975.64514,975.3933,974.7422,974.3747,974.3058,974.5127,974.1514,974.1169,974.1604,973.8299,973.5248,973.17633,973.17236,973.48926,973.22424,973.3076,973.5959,974.0139,974.27484,975.1489,975.8196,975.7486,974.6781,973.58594,972.76935,972.39703,972.19196,972.10815,972.4449,972.779,972.88165,972.8955,973.02985,972.8517,972.634,972.3132,972.08246,971.71075,971.47974,971.3708,971.8004,971.9416,972.9093,973.52484,973.74304,973.8069,973.69666,972.5305,971.7592,971.5538,971.20306,971.1642,971.45764,971.6478,971.97986,972.301,972.3311,972.46686,972.3481,972.18567,972.04297,971.8177,971.84436,971.74146,971.5959,971.692,971.8842,971.3664,971.6953,972.3548,972.655,971.9514,971.6059,971.34186,971.40546,971.44916,972.0862,972.68616,972.9145,973.25214,973.1158,973.1093,973.1652,973.0556,972.973,972.8384,972.9544,973.00385,973.1761,973.5472,973.8419,974.2501,974.5484,974.4287,973.6992,972.6484,971.7899,971.41187,971.21967,971.3027,971.66113,972.19165,972.6262,972.7589,972.78894,972.74225,972.7223,972.7223,972.79846,972.84784,972.97986,973.221,973.48224,973.8531,974.2575,974.736,975.2475,975.3273,974.73065,973.7993,973.08,972.89453,973.01733,973.20953,973.35504,973.57623,973.9068,974.2711,974.7447,975.0329,975.12213,975.2182,975.12213,974.93,974.7447,974.6486,975.0126,975.46594,975.8569,976.00714,976.09436,975.88654,975.19135,974.19403,973.4648,973.0803,972.9512
2025-11-14 00:50:07+00:00,2025-11-14 00:00:00+00:00,974.44,973.38324,973.7369,973.56256,973.98145,974.1611,973.84894,973.08936,972.71405,972.81006,972.77655,972.6062,973.0865,973.9995,974.43945,974.96,975.72546,975.94684,976.23694,975.8668,975.2653,974.91437,974.67487,973.5793,973.03046,972.7555,973.43524,973.69495,973.7166,973.67413,973.50726,973.427,973.0089,972.9417,972.69543,972.7305,973.0056,973.49274,973.7741,974.336,975.48926,976.3277,976.3015,973.46075,972.1914,971.63947,971.72345,972.04755,971.6807,971.74603,972.41394,972.8052,972.9059,972.6327,972.2388,971.7614,971.29706,971.181,971.1248,970.83655,970.5884,970.46564,970.5085,970.88605,971.49304,971.75824,971.96375,971.26074,970.75867,970.5224,970.9526,970.824,970.9313,971.45294,971.66895,971.7813,971.7682,971.7482,972.05334,972.5339,972.27136,971.923,971.8468,971.55194,971.7642,972.16425,972.481,972.91046,972.84515,973.0208,972.8486,971.9505,970.7311,969.77313,969.44214,969.09076,968.8588,968.93506,969.50476,970.2802,970.78735,970.8767,970.96216,970.66925,970.38275,970.0553,969.8499,969.5963,969.7128,969.9733,970.3982,970.8783,971.5718,972.1823,972.4834,972.0915,971.40405,970.7923,970.46155,970.21344,970.2269,970.5085,971.0448,971.3619,971.32306,971.0504,970.83093,970.5977,970.41943,970.24097,970.0697,970.00793,970.0147,970.35077,970.8512,971.22156,971.6129,971.8664,971.9062,971.41754,970.7165,970.18677,970.0213,970.0281,970.2068,970.5374,971.0332,971.44617,971.68036,971.7356,971.88684,972.03815,972.0931,972.2579,972.3333,972.5116,972.80646,973.3071,974.0206,974.6583,975.145,975.6512,975.75256,975.24994,974.52136,973.918,973.75696,973.7117
