forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:49:57+00:00,2025-11-05 00:00:00+00:00,-11.000507,-11.6872,-11.654693,-11.001362,-10.162491,-9.693427,-8.97185,-8.149924,-7.9555354,-8.391702,-10.583747,-11.438174,-11.94925,-11.864057,-11.653146,-9.658571,-7.9777646,-7.0922995,-6.3783646,-7.082384,-7.5369067,-8.030116,-7.2498264,-8.437702,-9.219846,-10.86295,-8.963826,-8.242559,-7.693891,-6.8516407,-5.709331,-5.733676,-5.8235173,-5.7607627,-5.913362,-5.526125,-5.535508,-5.5989213,-4.936566,-3.8099866,-3.4336915,-3.8130884,-3.817664,-4.709931,-4.1564407,-3.9861803,-4.1564407,-3.8997946,-3.7434154,-4.073819,-4.0201383,-3.865601,-3.4426026,-3.4087393,-3.2641022,-3.1420748,-3.135698,-3.0106049,-3.0956314,-3.1858046,-3.1869745,-3.3749642,-3.795581,-3.500472,-4.4385195,-5.830568,-7.3170586,-7.466406,-6.33154,-5.5955896,-5.262099,-4.965462,-4.0928226,-4.4577136,-4.660888,-4.7430377,-4.881343,-5.0757036,-4.965717,-4.9998565,-4.9977145,-5.094801,-5.018251,-4.994607,-5.2229214,-5.014505,-4.9657297,-3.9595227,-3.593748,-2.992673,-2.919586,-2.8526573,-3.077097,-3.135179,-3.3053381,-3.1625774,-2.113284,-2.427882,-2.849983,-2.894977,-2.8245394,-3.0516832,-2.9241917,-3.0775616,-3.4882355,-3.9254785,-4.1531005,-4.5173373,-4.6084046,-4.446733,-4.9271684,-4.65048,-5.2725983,-5.9201427,-5.8860354,-5.931306,-5.8723984,-5.7472053,-5.262099,-4.916003,-5.225895,-5.486818,-6.190764,-6.608321,-6.6026397,-6.6907773,-6.778919,-6.6103644,-6.831492,-6.675182,-6.61881,-6.618022,-6.707349,-6.5286975,-6.396221,-5.8322425,-5.1599307,-5.146075,-4.868543,-4.924414,-5.515563,-5.39115,-4.7566776,-4.24158,-4.0172515,-4.44204,-4.6646914,-5.372536,-5.8587275,-5.991348,-6.1239777,-6.345047,-6.1871195,-6.040131,-5.732052,-5.4611797,-5.225708,-4.9998565,-4.457904,-4.0431147,-3.826403,-3.844665,-4.5453196,-4.787821,-5.017978,-5.059437,-4.5051084,-3.9861803
2025-11-06 00:50:14+00:00,2025-11-06 00:00:00+00:00,-9.137693,-10.305903,-9.446865,-9.140674,-8.143485,-7.9768796,-7.4322886,-7.444201,-7.6630445,-7.515268,-7.248348,-6.9487,-7.0371637,-6.8371563,-6.7367907,-4.999974,-4.75249,-4.8185196,-4.1397133,-3.9706786,-3.2405407,-3.1476202,-4.141545,-4.5672817,-4.8301105,-6.5499997,-6.8721046,-7.4365096,-7.7839327,-8.322988,-8.746694,-9.358091,-10.113463,-10.130878,-10.040092,-9.924725,-10.097985,-10.271264,-10.444561,-10.141302,-7.6422377,-7.0167537,-7.1939282,-5.5536304,-5.6637526,-5.3299923,-4.4188704,-4.113877,-3.7893882,-4.0145273,-3.940002,-3.8967419,-3.863585,-3.9751217,-3.820328,-4.0957274,-3.990261,-4.06276,-3.8158681,-3.8627343,-3.82364,-3.512498,-3.6234064,-2.528584,-3.0467765,-3.168602,-3.5049891,-3.8465915,-4.0212064,-4.798608,-4.8405433,-4.5453196,-2.9575129,-3.226459,-3.4940836,-3.8519976,-4.165223,-4.088,-4.0651574,-4.2902627,-4.2321286,-4.408947,-4.954689,-5.4161334,-5.97401,-6.046869,-6.0919285,-5.6356716,-6.1495237,-6.1574955,-6.182944,-6.519021,-6.582053,-6.4567895,-6.665567,-6.686987,-5.8771296,-6.9307075,-7.055216,-7.40395,-7.6219463,-7.8399715,-7.8096848,-7.6185093,-7.7942543,-7.616483,-7.83696,-7.716264,-7.607281,-7.7848754,-7.8292766,-6.6026397,-6.9714556,-6.352637,-6.2671094,-6.3868265,-6.31294,-6.106741,-5.3717093,-5.3042765,-4.9587965,-5.3554473,-5.9223356,-6.2131867,-6.3382516,-6.514507,-6.3008304,-6.231483,-6.542062,-6.440736,-6.2607493,-6.09035,-6.0455585,-5.9559813,-5.732052,-5.6396055,-5.2915545,-5.5580225,-5.889338,-6.8079653,-7.059163,-7.1001625,-6.469838,-5.9370666,-5.5580225,-5.657779,-5.7481146,-6.0595665,-6.3219705,-6.3219705,-6.4531875,-6.117958,-5.920955,-5.6803145,-5.6424885,-5.821621,-5.8664064,-5.4349813,-5.2104263,-4.836578,-5.193017,-5.8771296,-6.9809837,-7.8399386,-8.533508,-8.370439,-6.884975,-5.6739955
2025-11-07 00:49:29+00:00,2025-11-07 00:00:00+00:00,-5.7600226,-7.385032,-8.0281315,-7.717351,-8.020139,-8.452796,-8.261763,-8.04276,-7.5630846,-7.9555354,-8.391702,-8.174361,-8.174339,-8.231836,-8.527222,-8.615454,-5.563297,-5.1244187,-5.0722017,-5.1503987,-5.0786533,-5.774334,-5.774334,-5.2473407,-5.6321816,-6.333919,-6.5682783,-6.6913023,-6.2417207,-5.931667,-5.490544,-5.579534,-5.579534,-5.2183166,-5.575407,-5.671596,-5.6887565,-5.8058157,-6.1212177,-5.706694,-2.8095965,-2.0229862,-1.9220724,-4.826164,-5.7889385,-5.930373,-5.930373,-5.7472053,-3.571895,-4.0383196,-4.2076454,-4.165223,-4.433739,-4.492006,-4.6266913,-4.56042,-4.5933795,-4.9095225,-5.1805363,-5.4054084,-5.586629,-5.639924,-5.655923,-5.371086,-5.928381,-5.8771296,-6.1405263,-5.9370666,-6.2671094,-6.1831517,-6.225131,-6.686987,-6.0922127,-6.5406713,-6.7400513,-7.135304,-7.1756124,-7.528301,-7.748767,-7.8810573,-7.760514,-8.07029,-7.9180827,-7.821222,-7.8657694,-7.954867,-6.4456925,-6.778919,-7.395274,-7.3170586,-7.0925965,-7.3461943,-7.3518195,-7.7713466,-7.609592,-7.433274,-5.129978,-6.1061354,-6.190764,-6.432695,-6.7400513,-7.003543,-7.135304,-6.8229923,-7.087452,-7.1853495,-7.207755,-7.153124,-7.0646996,-7.2434006,-7.300056,-6.521922,-6.928604,-6.612372,-6.4985437,-6.5604277,-7.2296495,-7.066777,-7.059163,-6.3732896,-6.5701566,-6.7554493,-6.995894,-7.060942,-7.1859827,-7.021911,-7.2844605,-7.5470533,-7.3988543,-7.6624436,-8.013959,-7.969258,-8.101565,-7.969258,-7.572391,-7.4595194,-7.4694667,-7.33026,-8.00514,-8.288914,-8.337676,-8.094929,-7.8406386,-8.207731,-7.881884,-7.44311,-7.625971,-7.352609,-7.2541885,-7.2346044,-7.1969404,-7.0433717,-7.141115,-7.207755,-7.2421904,-7.1987243,-7.1987243,-6.8413486,-6.171439,-5.787887,-5.5348806,-6.1159096,-7.217188,-8.166637,-9.003992,-8.843315,-7.9628754,-7.2587204
2025-11-08 00:45:33+00:00,2025-11-08 00:00:00+00:00,-7.0620613,-7.427897,-7.2416587,-7.393087,-6.9190884,-6.410955,-6.373787,-6.1085024,-5.949788,-5.9800467,-6.425155,-6.3882313,-6.3882313,-6.6570315,-6.8120165,-6.0298824,-4.077108,-4.3832912,-4.131601,-4.2592936,-4.1841116,-4.472348,-4.9943194,-5.4582276,-6.5074964,-7.4974546,-7.6536407,-7.3015013,-7.7839327,-8.366256,-8.479005,-8.30521,-8.173603,-8.319744,-8.042523,-7.52379,-7.7007766,-8.438066,-8.889088,-8.087991,-7.4543962,-7.465672,-7.568936,-5.5955896,-5.6637526,-5.2465677,-5.4551425,-5.469718,-4.5782905,-5.1599307,-5.5012784,-5.4167295,-5.637716,-5.991348,-6.009672,-6.3202157,-6.2626796,-6.2607493,-6.439378,-6.662685,-5.1336045,-5.2242017,-5.2242017,-5.549318,-6.0290165,-6.519021,-6.3868265,-6.7722044,-6.8632197,-7.1648993,-7.1648993,-6.985351,-4.659275,-5.486818,-5.2915545,-5.6864805,-6.1032987,-5.949815,-6.2131867,-6.2501307,-6.2758484,-6.082135,-6.3947177,-6.359113,-6.288505,-6.136989,-6.0919285,-5.5463905,-5.58557,-5.348841,-5.7214723,-6.013354,-6.5262947,-6.8632197,-7.066777,-6.31294,-5.519264,-6.0627484,-6.270831,-6.0376005,-6.2060733,-5.9653144,-6.1291466,-6.126787,-6.1799345,-6.4039106,-6.333437,-6.692924,-6.587644,-6.7679305,-6.8580804,-6.1291466,-6.392259,-6.352637,-6.540297,-7.3461943,-8.9638195,-9.723398,-9.606753,-9.430814,-8.75485,-8.217589,-7.9144964,-7.9920216,-8.19008,-8.18887,-8.11614,-8.013959,-7.83696,-7.672015,-7.696076,-7.3774343,-7.1207952,-6.5581093,-6.0189347,-5.6803145,-5.642595,-5.900549,-6.7490873,-7.510247,-8.175838,-8.843315,-8.742386,-7.963836,-7.4851317,-7.6684494,-8.000258,-8.078541,-8.146636,-8.363863,-8.58112,-8.841866,-8.7123575,-8.930524,-8.816814,-9.07964,-8.673238,-7.925158,-7.3078623,-6.5644126,-6.2626195,-6.3168836,-6.8492255,-7.1482096,-8.120591,-8.040319,-7.8522305,-7.592282
2025-11-09 00:52:21+00:00,2025-11-09 00:00:00+00:00,-6.4420376,-8.788954,-7.7405005,-7.0941076,-7.693891,-8.348656,-8.086374,-8.013252,-7.9985776,-7.7774286,-7.568035,-7.2809944,-7.1820693,-7.093738,-7.2724395,-7.292434,-7.08916,-7.2564464,-7.441277,-7.59649,-8.07513,-9.137693,-9.302005,-9.354455,-9.236462,-9.906084,-11.426323,-12.822412,-13.538305,-14.283717,-14.979856,-15.795095,-16.080389,-16.284216,-16.32499,-15.677262,-15.882468,-15.274429,-15.35703,-15.224738,-13.741306,-13.263816,-13.062857,-7.469231,-7.3518195,-7.6500278,-8.321296,-7.811787,-5.2210355,-5.7481146,-6.314399,-6.1032987,-6.0814953,-6.3887916,-7.1531806,-7.1792254,-7.6624436,-7.970015,-7.8810573,-8.057462,-7.6516776,-7.331261,-7.288077,-6.4089513,-6.2796936,-6.7345176,-7.166774,-7.3444777,-8.085129,-8.574276,-8.86383,-8.492735,-7.2035446,-7.5125265,-7.6459875,-7.6688414,-7.5347447,-7.5908217,-7.3078623,-6.8970685,-6.796899,-6.423302,-6.5383067,-6.513173,-6.7175174,-6.752015,-6.5297704,-6.1871195,-6.053012,-6.0922127,-6.0732827,-6.1831517,-6.677388,-5.3019075,-4.3600764,-4.614287,-4.198217,-4.103158,-3.7625134,-3.5494435,-3.367644,-3.141335,-3.351337,-3.625142,-3.8076947,-3.7882044,-3.9712384,-4.1085224,-4.050932,-4.142686,-4.2803235,-3.33376,-3.0841691,-2.9238498,-3.370147,-3.9010584,-4.0212064,-4.105914,-2.982015,-2.3330917,-1.750127,-1.9053069,-2.201151,-2.3720472,-2.0597668,-1.299747,-0.59111756,-0.23715648,0.05055028,0.71173084,2.0407372,3.590919,4.51192,4.986612,5.2105083,5.0617666,4.220918,2.9654887,1.2372668,-0.88484627,-3.8076947,-6.707852,-9.068924,-10.388518,-10.86059,-10.439583,-9.5310135,-8.983965,-8.674806,-8.301668,-8.15958,-8.004465,-8.029697,-8.1669035,-8.649375,-9.2870655,-9.745198,-10.026484,-10.40466,-10.49985,-10.617072,-10.954949,-11.85674,-12.638785,-13.029514,-13.341787,-13.596389,-13.252322
2025-11-10 00:52:49+00:00,2025-11-10 00:00:00+00:00,-7.167036,-7.5011086,-8.843126,-9.472419,-9.771538,-9.529787,-10.113463,-10.3272085,-10.927291,-11.140137,-11.8851185,-12.564822,-13.182233,-13.266187,-13.39213,-12.915998,-11.662996,-11.926712,-12.666478,-12.515224,-12.890171,-12.734811,-12.929017,-12.515224,-13.5784025,-14.427667,-15.466836,-15.226262,-15.667356,-16.028399,-16.309303,-16.670582,-16.327667,-16.570477,-15.677262,-15.06796,-15.150544,-14.742367,-14.408969,-14.074786,-11.321265,-11.4843445,-10.960255,-8.2073965,-8.499544,-8.459073,-8.620957,-8.288914,-7.0768437,-8.248822,-8.386245,-8.115483,-8.03528,-7.755703,-7.634593,-7.4867144,-7.3078623,-7.318064,-7.096881,-6.8083105,-6.796682,-6.752015,-6.930475,-6.0983944,-6.6515684,-6.6920805,-7.333888,-7.509609,-7.469231,-7.469231,-6.8079653,-5.7634373,-5.172778,-4.8917437,-3.8705602,-3.6277964,-3.389978,-3.645216,-3.458175,-3.820328,-4.141132,-4.0165243,-4.277348,-4.289682,-4.4010825,-4.291578,-4.4746466,-3.7325306,-4.312559,-4.198217,-4.2314925,-4.0287437,-3.4617946,-3.0343592,-2.7403858,-2.0502381,-2.2815497,-3.1492758,-3.1809587,-3.1456137,-2.849983,-2.0597668,-1.3285533,-0.96013045,3.1899147,4.18498,3.9253259,4.551935,4.2057376,4.106823,3.8767812,3.8222268,-0.10102293,-1.5985643,-1.0292455,-2.8776999,-5.0872965,-7.048727,-8.028126,-8.04902,-8.192872,-8.320781,-8.786662,-9.168685,-10.113359,-11.265358,-12.165305,-12.236549,-12.31568,-12.083219,-12.137177,-12.197676,-12.289923,-12.505304,-12.49636,-12.361355,-12.047824,-12.102062,-12.1190405,-12.063652,-11.997373,-11.867818,-11.321052,-10.828602,-10.495219,-10.596914,-10.78631,-10.788702,-10.802689,-10.938915,-11.07515,-11.006849,-11.188989,-11.082738,-11.028956,-10.935946,-10.844187,-10.385433,-9.83925,-9.27722,-8.716155,-8.7191305,-8.66803,-8.46014,-7.7278414,-7.0838466,-6.3219705,-5.4616218
2025-11-11 00:50:09+00:00,2025-11-11 00:00:00+00:00,-12.224117,-13.781666,-13.983497,-14.144992,-14.468055,-14.831622,-14.491877,-14.817532,-14.446841,-15.469139,-15.632103,-16.449062,-15.917355,-16.284216,-15.841424,-14.655133,-11.975409,-11.443369,-11.504977,-10.786368,-11.280471,-11.003516,-11.043079,-11.517928,-12.663855,-14.384729,-13.781666,-13.23092,-12.726571,-13.013094,-14.003586,-13.170196,-13.582483,-13.455312,-13.098281,-12.775765,-12.438274,-12.054662,-12.269561,-11.334242,-9.32062,-9.189066,-8.685961,-5.931306,-5.7472053,-6.511346,-7.220646,-7.798643,-6.456961,-6.7380133,-6.910921,-7.01753,-6.5644126,-5.8621097,-5.8588915,-5.7696004,-5.7249565,-5.8766,-5.8588915,-5.6841054,-5.8588915,-5.8588915,-5.903538,-5.019021,-5.571394,-5.044385,-4.826164,-5.3019075,-5.971862,-5.888887,-5.008292,-4.924744,-5.00159,-5.368718,-5.4911647,-5.281087,-4.9261074,-4.881343,-4.9261074,-4.9409904,-5.1499505,-5.595109,-6.231483,-6.978156,-6.5205054,-5.77032,-5.061215,-3.0063014,0.44718012,0.3845502,-1.1622603,-2.3759954,-2.3759954,-0.8794422,-0.59876657,0.17920999,2.6692426,2.9654887,1.871459,2.0050032,2.9484198,2.335815,2.4583592,3.024739,2.6556957,2.6802495,2.8132563,2.632475,1.9886682,1.8857042,1.9650087,1.3111812,1.126283,1.089724,0.42224437,0.04916765,-0.8668089,-1.6389709,-2.1062102,-2.129671,-2.3084183,-2.3803096,-2.360931,-2.284825,-1.8367823,-1.079691,-0.6770027,-0.3942436,-0.1992096,-0.06974459,-0.11963006,-0.35357985,-0.49375543,-0.5909603,-0.6401639,-0.4966219,-0.29735452,0.062731646,0.28011295,0.32501125,-0.03951552,-0.27541733,-0.5548413,-0.74770635,-0.67835474,-0.30459186,0.13010286,0.29163122,0.3926524,0.3512363,0.39294982,0.18760563,0.03002626,-0.21940109,-0.46882907,-0.668372,-0.7681435,-0.8679151,-0.9584293,-0.9380931,-0.8202542,-1.1192807,-1.730364,-2.0197084,-2.0310738,-1.8922267,-2.1236413,-2.416928
2025-11-12 00:49:21+00:00,2025-11-12 00:00:00+00:00,-12.249069,-13.741306,-13.741306,-13.1902685,-13.556184,-13.217801,-13.709252,-13.500013,-12.822412,-13.323206,-13.573682,-13.266187,-13.476101,-13.071144,-12.47862,-12.563428,-9.994072,-9.364221,-10.754082,-9.78118,-8.478468,-7.4138656,-8.315411,-8.439638,-8.906644,-10.613033,-10.205449,-9.699394,-9.867774,-9.682974,-9.8522415,-10.063855,-10.173822,-9.959113,-10.3272085,-10.754796,-10.169493,-9.738201,-10.474468,-9.315172,-7.9508767,-7.386387,-7.5349507,-6.1793265,-6.4366765,-6.93617,-6.6016793,-5.9976034,-5.732323,-6.6515713,-7.300031,-7.1531806,-7.135304,-6.8278785,-7.003543,-6.919951,-6.915709,-7.3282247,-7.7122717,-8.251596,-8.641619,-8.01336,-7.019532,-5.2399597,-3.6085007,-3.088471,-2.9419594,-3.068257,1.2924204,2.952989,3.1445525,2.4444308,2.8722727,2.830889,2.3962343,1.958906,1.1811852,0.9961083,1.0431477,0.993411,1.4185116,2.1323035,2.6813602,2.952989,2.6813602,2.6513062,2.084824,2.2517805,2.6287158,1.8427235,1.7903695,1.6055901,1.4685956,1.5266132,2.331425,4.94009,5.255447,4.7347074,3.9218297,3.712326,4.391727,4.997038,3.9744785,2.5790358,2.324731,1.7760019,1.4125859,1.215492,1.1336843,1.0950544,0.6241968,0.25682163,0.404262,0.731575,-0.0825735,-0.11135302,-0.19930246,-0.10299326,0.03356603,0.3244987,0.45696455,0.50137115,0.5861142,0.7119489,0.82129735,0.97826844,1.1336843,1.1886513,1.089724,0.99079555,0.99079555,0.99079555,0.88667667,0.7809142,0.67347217,0.4879541,0.28514102,0.03356603,-0.26603594,-0.8066352,-1.7872584,-2.1145825,-1.3932557,-0.2997165,0.30799112,0.5698015,0.32944056,0.33038053,0.0896205,-0.34361988,-0.3437695,0.38885516,1.2355413,1.9545811,2.0636802,2.1130152,2.1623507,2.2610207,2.5662694,2.6556957,2.7786574,2.941739,2.9727807,2.6692426,2.3042681,1.9471717,1.8610601,2.0621226
2025-11-13 00:49:39+00:00,2025-11-13 00:00:00+00:00,-7.146528,-8.583258,-8.545648,-8.831661,-7.7405005,-6.8516407,-6.3295226,-6.915514,-7.181624,-7.5630846,-8.522574,-8.670087,-8.871616,-9.188589,-9.220813,-9.5226,-7.4707627,-7.7789383,-6.386529,-5.958587,-6.1648035,-6.3723016,-6.5383277,-7.11959,-7.4704223,-9.075282,-9.744888,-7.6422377,-5.5394692,-6.8315864,-7.8247075,-7.9119253,-7.487966,-6.8075666,-6.7634935,-5.994146,-4.7313843,-3.9593642,-3.7196991,-3.170754,-3.4783993,-5.266807,-4.296259,-4.7837844,-5.051243,-5.0934124,-4.709931,-4.0286727,-2.855202,-3.1818705,-2.715005,-2.0534542,-1.5998504,-1.2075421,-1.0061809,-0.8680326,-0.7498441,-0.84148663,-0.7825008,-0.82843673,-1.2080889,-1.2531364,-1.6049279,-0.84148663,-0.90709424,0.18971854,0.19339254,0.37471163,-0.26727474,0.89520323,3.1689086,4.1022744,4.229425,5.1972675,4.3314757,4.9272714,3.2803192,3.2165737,3.315492,3.3649502,3.623896,3.7726438,4.0737658,4.424025,4.0481462,3.6423454,3.4638686,3.2298129,3.0742614,2.8726952,2.9484198,3.3343027,3.475146,2.832968,2.2865474,2.721975,2.6156669,2.409025,2.0789812,1.6961308,1.5209826,1.3729712,1.1376542,0.45209235,0.062731646,0.6182986,-0.18062752,0.13891824,0.7163249,0.4879541,0.6396659,1.3312881,1.3024654,0.96748304,0.55789196,1.0504948,1.6616287,2.1370986,2.0883667,1.685144,1.6365534,1.8447077,2.2143605,2.3037999,2.1242845,1.9421661,1.8067659,2.0228868,2.3314195,2.5330498,2.1216846,1.5345867,1.1376542,1.0668069,1.3823692,1.4802538,1.7455487,2.0093555,1.9905895,1.6985093,1.2347572,0.86002016,0.71415436,0.64422554,0.7237954,1.0278265,1.2818875,1.3925767,1.3429898,1.291405,0.88667667,0.23817818,-0.60773605,-1.2073888,-1.4142766,-1.426319,-1.4404284,-1.7014232,-2.1302643,-2.3488321,-2.6029224,-3.1554015,-3.1424363,-1.8340721,-0.4101074,0.53703415,0.830253,0.83727473
2025-11-14 00:49:51+00:00,2025-11-14 00:00:00+00:00,-8.775694,-8.836958,-8.156784,-7.1325746,-7.760603,-7.8038554,-7.5317335,-7.7811007,-8.174873,-8.173603,-8.478949,-6.9594183,-6.65965,-10.498228,-10.799599,-8.279719,-7.4707627,-8.4372425,-4.6443,-3.9599133,-3.6178408,-3.660594,-3.412305,-3.8418036,-3.817664,-4.9076533,-6.2120166,-7.1325746,-7.1271358,-7.163852,-6.1272287,-7.4004335,-8.086374,-8.319744,-7.5569587,-5.119554,-5.940305,-6.346532,-5.7973137,-5.3294373,-4.825374,-5.3030066,-4.9505534,-1.4903164,-0.5001613,1.7618042,3.0487964,3.063447,2.8118858,4.3662505,5.0068736,5.051999,5.085805,4.7318397,4.3740454,4.475896,4.1244717,3.663675,4.9065127,4.9065127,4.18498,2.654802,0.7993876,1.0048487,0.7637255,1.1488962,2.925695,2.4252105,2.4304664,1.1750604,-0.4962736,-2.003849,-2.507758,-1.4506025,-1.1054524,-0.85218513,-0.35391578,-0.045819584,0.09623194,-0.34840688,-0.59222853,0.25099036,0.25134766,-0.7223507,-0.98219675,-1.1821843,-0.8847029,0.18071158,0.4879541,0.6263178,-0.26603594,-0.60100424,-0.028656507,0.5654143,1.242761,1.0453163,1.7959752,2.4019458,1.829439,2.1363688,1.9876118,1.4359688,0.5861142,0.6328967,0.13949712,-0.9594214,-0.14487585,-0.83891183,-1.8800153,-3.4788477,-3.4801745,-3.4673266,-5.4901633,-6.2197056,-6.553797,-7.5244145,-8.604367,-9.1685915,-8.983577,-8.262543,-7.277854,-5.9619145,-4.8646636,-4.154064,-4.176171,-4.484569,-4.7832074,-4.9823008,-5.081848,-5.1316214,-5.0444455,-5.094276,-5.094276,-5.2809424,-5.419049,-5.5859995,-5.828415,-6.6594353,-7.7567697,-8.322028,-8.162645,-8.139976,-8.367384,-8.138692,-8.106711,-7.874736,-7.520609,-7.3035536,-7.1745505,-7.0710187,-7.063343,-7.0656657,-7.028754,-6.902874,-6.637813,-6.2812514,-5.883709,-5.543722,-5.059301,-4.799865,-4.682608,-4.78578,-5.0040765,-5.185072,-5.515097,-5.8601885,-5.9987125,-6.0924006
