forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:50:19+00:00,2025-11-05 00:00:00+00:00,-7.69357,-7.5754128,-7.808951,-8.863504,-9.2543955,-9.215185,-9.500183,-8.556203,-8.556203,-8.142188,-7.60869,-6.610971,-6.181259,-6.097774,-6.777026,-5.0345635,-3.281359,-1.924398,-4.5360637,-3.098238,-2.3995953,-2.0892634,-2.1280484,-2.3995953,-2.6838953,-3.251669,-4.2907515,-4.436189,-4.277295,-3.0553558,-3.8328912,-4.1642694,-3.7674596,-3.4074452,-2.671708,-2.1110783,-2.0585334,-2.1021607,-2.06525,-0.72101796,-0.4427059,0.14763878,0.9480533,-0.6559896,-1.8407799,-2.5686333,-2.5686333,-4.071821,-2.7349236,-3.1026456,-2.8314123,-1.8440001,-1.5017517,-1.2418237,-1.0467112,-0.27933794,-0.15924422,-0.46311677,-0.31690592,-0.53483784,-1.0710306,-1.2881964,-1.331633,-0.27868193,-1.8490204,-2.0462248,-1.7242327,-1.741089,-1.9766598,-1.49805,-1.3784328,-1.5379248,0.20757511,-0.2702484,-0.061956856,0.032031093,0.7021707,0.84426785,0.9689393,0.5785018,0.6852301,0.3367275,-0.15924422,-0.5819827,-0.8903424,-1.2779574,-1.0576802,-0.06541038,-1.5182787,-1.064552,-0.78157717,-0.7118062,-0.8970261,-1.3784328,-1.2189645,-1.3385623,0.41262844,0.32973853,0.35716933,0.61684644,0.6271731,0.88746834,1.2513932,0.9030064,0.99514383,0.68908185,0.80937815,0.5460293,0.07679802,-0.09817957,-0.6367836,0.6271731,-0.644222,-0.61299354,-0.5499051,-0.33469382,-0.5415101,-0.30251637,0.26746848,0.29967886,0.074312635,-0.53090996,-0.7689039,-1.4675152,-1.65933,-1.5863093,-1.4967315,-1.5162624,-2.0713778,-2.0305781,-2.0534737,-2.484482,-2.656921,-2.484482,-2.5455203,-2.0713778,-1.9117228,-2.255862,-2.626077,-2.909005,-1.682625,-1.0897735,0.34773105,1.683148,2.5832207,2.0369442,1.4122586,0.39938924,-0.14956117,0.07447382,-0.18019848,-0.4773743,-0.19337001,-0.4919838,-0.40108088,-0.37367362,-0.5028264,-0.33062655,0.18585779,0.67000085,0.9059178,1.4319884,1.2144924,0.86928517,0.8518163,1.2097921,1.7513244,1.6334008
2025-11-06 00:50:38+00:00,2025-11-06 00:00:00+00:00,-4.6466312,-4.9214034,-5.943814,-6.2979846,-6.5553555,-4.680844,-5.414997,-4.06322,-3.2626626,-3.5723274,-3.4074452,-2.8377802,-2.542945,-2.8434095,-2.3964434,-1.016954,-0.104790494,0.5213723,-1.4572477,-1.0969903,-2.2135255,-3.0205867,-2.0959685,-4.762053,-5.0807123,-5.364046,-4.5974517,-5.4445014,-4.661502,-4.9296007,-5.304965,-5.889092,-6.431741,-6.1159873,-6.45184,-6.249354,-6.03024,-5.8772216,-5.8346024,-5.2767386,-4.7818904,-4.610681,-4.4891872,-2.1362467,-2.4340935,-2.03851,-1.9594142,-1.1791013,-0.21091177,-0.18715945,-0.019946324,-0.23403433,0.4986779,0.24165887,0.671457,0.2825634,0.3615516,0.46742472,-0.11583856,-0.098999195,-0.31690592,-1.0576802,-0.8846831,-0.15071537,-0.8520327,-0.85927683,-0.6592676,-0.7118062,-0.93720394,-1.3385623,-0.33469382,-0.6559896,0.87690777,0.77799875,0.96546954,0.87261117,0.75565505,1.4026519,1.2949374,1.3011527,1.3798313,1.0726849,0.76548904,0.87215257,0.3704452,-0.18615827,0.07530448,0.83122176,-0.17156933,-0.03105304,-0.17016092,0.17835064,0.1470644,-0.30251637,0.46811286,0.18720123,0.9455948,-0.020996558,-1.2677566,-1.5093417,-1.5752097,-1.5863093,-1.7091908,-1.6870439,-2.1995115,-2.2880285,-2.7601323,-3.146509,-3.4900353,-3.747733,-4.0054746,-3.197285,-4.042479,-3.5983725,-3.4312592,-3.8595264,-3.7454526,-3.2353144,-2.47366,-0.6308524,-0.12058299,-0.020996558,-0.8402827,-1.4069866,-1.3749288,-1.5440305,-1.7554364,-2.136048,-2.5167663,-2.8552697,-2.6869063,-3.027139,-2.5839782,-2.370373,-1.430033,-1.0467112,-0.4874847,-0.31179532,-0.7408069,-1.2184942,-1.2986948,-0.97981113,-1.3385623,-0.5094333,-0.78157717,-0.6918164,-0.923896,-0.91000575,-0.8170795,-0.36399782,-0.4919838,-0.27251184,-0.6153879,-0.7868574,-1.2601254,-1.5392215,-1.8400077,-1.6708692,-0.9020174,-0.7409817,-0.97673583,-1.1078035,-1.9766598,-1.9198678,-2.255065,-2.059138,-1.3663924,-1.1791013
2025-11-07 00:49:51+00:00,2025-11-07 00:00:00+00:00,-1.0553371,-1.7580854,-1.5984738,-4.1960764,-1.1295111,-2.2604055,-2.1115255,-0.97070384,-1.7200061,-2.9130228,-2.5891788,-1.955039,-1.9989939,-1.9110837,-2.0869093,-1.0117735,-0.98441416,-0.6417284,-2.140848,-0.6937499,-0.857865,-0.5391191,-1.443071,-1.7988672,-2.2136548,-2.9379537,-2.0119452,-1.7643131,-2.6797583,-2.683469,-1.9647014,-2.880514,-3.179674,-2.999265,-3.1325006,-2.8500202,-2.7630694,-2.625794,-2.5470645,-1.2855909,-0.64466846,-0.517058,-0.41224456,-1.4194615,-0.7363285,-0.33469382,-0.25438517,-0.6559896,0.16656078,-0.35334444,-0.061956856,0.28666615,0.10518366,0.88746834,0.83880407,0.9030064,0.55455,0.68908185,0.33923146,0.07679802,-0.18567571,-0.22942394,-0.31690592,-0.06541038,-0.08800545,-0.77717704,-0.2924184,-0.26663667,-0.3748503,-0.42200655,0.1354882,-0.063581765,1.2324765,0.7264641,-0.60266286,-0.8402827,-1.3838675,-1.4490403,-1.459476,-1.0893922,-1.4735696,-1.3442605,-1.7731729,-2.202207,-2.6313608,-2.5275898,-2.5289083,-1.9859616,-2.6406298,-2.9854276,-2.8273141,-3.2653413,-3.3530142,-2.7646663,-3.5277896,-3.5277896,-0.4962093,-1.8449295,-1.0075152,-1.196737,-0.6472159,-1.114387,-1.5392215,-2.220643,-2.3898504,-2.686008,-2.8144844,-2.498532,-2.7121572,-3.027139,-3.011283,-1.882296,-2.4613836,-2.2916028,-1.8617252,-1.7772114,-2.1176138,-1.9989624,-1.4581752,-1.3792648,-1.5621793,-1.3109307,-2.0971363,-1.9695195,-1.8696536,-1.4172016,-1.0719103,-1.004033,-0.9583438,-1.3442605,-1.5587018,-2.1140873,-2.5168211,-2.1767101,-2.1783454,-1.8275857,-1.4756708,-2.3726797,-2.5353248,-2.5132294,-2.9215224,-2.8038764,-2.2362814,-2.21605,-1.6026918,-1.3930689,-2.1384947,-2.0532067,-2.1641614,-2.0514584,-1.836682,-2.0491905,-2.6436954,-2.8129525,-3.2785177,-3.3249102,-3.4525437,-2.9846048,-2.6436954,-2.0379345,-1.6420275,-2.6159477,-2.774849,-2.67152,-2.9999611,-2.8038764,-2.196724,-2.1362467
2025-11-08 00:45:50+00:00,2025-11-08 00:00:00+00:00,-3.3421676,-3.9122477,-2.0533006,-3.4047768,-4.474933,-3.6351452,-3.2372742,-4.0143127,-4.2922974,-4.684382,-4.2606807,-3.991362,-4.034512,-4.0776625,-4.1639667,-3.0941942,-2.4273527,-2.2887092,-0.99276227,-0.53308177,0.14947227,-0.49928543,-0.5391191,-0.8977164,-1.4572477,-1.5548962,-1.3484237,-2.0139143,-2.3017886,-2.0041344,-1.9647014,-2.2233012,-2.3964434,-1.9276515,-2.1457899,-1.8900756,-1.7352773,-1.9110837,-2.4512327,-1.5027845,-1.1942141,-0.85458404,-0.9117842,-0.21423309,-0.22286576,0.21510875,0.17529853,0.38785994,1.6192774,1.7497184,1.4122586,0.32973853,0.4838235,-0.23403433,-0.4874847,-0.91000575,-0.4919838,-0.7868574,-0.40903515,-0.9764716,-1.3210317,-1.2348841,-1.3172121,-0.5296611,-0.8820884,-1.0234939,-1.8617252,-1.5778025,-1.6430899,-2.0983224,-1.7849135,-1.824085,0.27800113,-0.9824381,-0.56110585,-0.272028,0.20179386,0.019888764,0.027442021,-0.3153664,-1.0294366,-1.114387,-1.2174394,-1.0440938,-1.019536,-1.1918132,-1.019536,-0.35000563,-0.2702484,-0.8631255,-0.46896437,-1.3385623,-1.5244961,-2.0199606,-1.9416019,-2.2942548,-0.7927646,-0.8983788,-0.42229652,-0.60821104,0.019888764,0.2844978,0.027442021,0.14282317,-0.41672343,-0.2361081,-0.80421877,-1.3871454,-1.258492,-1.9005494,-1.5587018,-0.4773743,-0.93969464,-1.6432031,-1.3390695,-2.1176138,-2.4510329,-2.255065,-1.682625,-1.6176802,-0.95470196,-0.695082,-1.394273,-1.2165852,-1.196737,-0.8677478,-0.60475326,-0.53464633,-1.004033,-1.388187,-1.7724422,-2.0286674,-1.9859616,-2.0066857,-1.7131522,-1.8021646,-1.5596154,-2.0078807,-2.255954,-2.196724,-1.5244961,-1.2873491,-0.7008695,-0.61582303,-0.0071718493,0.21664023,-0.5195509,-0.48213246,-0.09530187,0.4130111,0.48706162,0.58504426,0.2825634,0.02324772,-0.3225688,-0.6252219,-0.5819827,-0.5889321,0.2288895,0.31839874,0.2320879,0.21664023,-0.5094333,-1.1791013,-1.4059157,-1.1687995,-0.6211874,-0.57565624
2025-11-09 00:52:37+00:00,2025-11-09 00:00:00+00:00,-2.1338532,-2.1662347,-1.2236837,-2.055518,-2.1616347,-2.2591808,-1.9216102,-1.9636258,-2.7836745,-2.5696034,-2.7860792,-2.3639576,-2.1966398,-1.8231789,-2.2404404,-1.8785182,-1.0680814,-1.1024979,-1.0332507,-1.6011846,-2.1668386,-2.840444,-2.7636685,-3.0708036,-4.8774877,-5.078628,-5.5624967,-6.2118673,-6.4133925,-6.5345683,-5.8216076,-6.2690544,-6.051025,-6.5836697,-6.870581,-6.5769277,-6.6524816,-7.1922693,-7.7322946,-7.072066,-5.4776907,-5.410957,-6.054126,-2.631945,-2.7254562,-2.176691,-3.0617428,-3.1393976,0.3716208,-1.6805953,-1.7663268,-0.98651934,-0.60475326,-1.0294366,-1.5017517,-1.882296,-1.9668753,-2.0916948,-2.1767101,-2.5593393,-2.3276556,-2.202207,-2.416768,-1.0294366,-1.6422968,-1.3525335,-0.95470196,-0.8166746,-1.9989624,-1.4849677,-2.372641,-2.6470406,-1.076171,-1.3109307,-1.1876249,-0.9657055,-0.98651934,-1.0075152,-0.57197833,-0.31851268,-0.9444885,-1.2808334,-0.9945248,-1.8858404,-1.8440001,-2.349289,-2.4298627,-1.6836202,-1.1049771,-2.143264,-1.8170975,-1.9989624,-2.1571681,-1.6430899,-1.4059157,-1.4059157,0.45363343,-0.8983788,-1.0183053,-0.71487194,-0.27627265,-0.61422825,-0.82549137,-1.1635798,-0.9945248,-1.4910958,-1.2903857,-1.5863093,-1.3692725,-1.3692725,-1.5817112,-0.61422825,-0.8157487,-0.4146888,-0.6559896,-0.66102684,-1.1687995,-1.1292832,-0.58134794,0.3401183,0.82262385,1.9530516,2.3821578,2.8617544,3.337088,3.706908,3.8303654,3.4411607,2.809162,2.3886535,2.644866,3.4189937,3.7252743,3.950241,3.86624,3.8303654,3.4690452,3.1662474,3.4828908,5.5430756,7.736807,9.521582,10.066974,9.496708,8.306913,6.093533,3.0163944,0.3265458,-0.53570026,-0.5077391,-0.4496895,-0.31614026,0.2280092,0.4648439,0.4558609,0.48842654,0.44588867,0.44900614,0.21574274,0.09953644,-0.21506914,-0.65351814,-1.4302914,-1.7660612,-2.3738532,-2.4130914,-2.4130914,-2.2451158
2025-11-10 00:53:13+00:00,2025-11-10 00:00:00+00:00,-0.5391191,-1.1952249,-1.8805156,-4.642856,-5.049179,-4.6591444,-4.6591444,-4.904648,-4.763218,-5.092777,-4.9516516,-4.9713016,-5.471831,-5.3186893,-6.181259,-5.200404,-4.4803686,-4.1708026,-5.431018,-5.8283396,-6.151644,-5.700935,-5.625841,-5.9262557,-7.7312145,-8.6498165,-8.16033,-9.332594,-8.663583,-7.908855,-7.1644998,-7.4495664,-7.612497,-7.32159,-7.649711,-7.113336,-6.8185453,-6.431741,-6.4734917,-6.2057147,-6.0095797,-5.324359,-5.314234,-1.8569854,-2.27584,-1.8407799,-1.7221615,-2.078061,-0.6592676,-1.7216771,-1.1846004,-1.196737,-0.60475326,-0.51983243,-0.7906578,-1.1320729,-1.4967315,-2.0800083,-1.6285877,-1.7516857,-1.836682,-1.6443464,-1.7297425,-1.0367875,-1.2677566,-1.148587,-1.4596596,-2.4340935,-2.9215224,-3.6443403,-3.4112551,-2.5686333,-0.95470196,-2.0870435,-1.6009543,-1.6420275,-0.71487194,-0.98651934,-0.9945248,-2.0950522,-2.2624464,-2.7655115,-2.8904045,-2.9736733,-3.0159905,-3.225385,-3.4767046,-2.5157616,-2.2503326,-2.1030395,-1.8569854,-2.078061,-2.6862476,-2.4118361,-2.333448,-1.7221615,-1.076171,-1.4341398,-0.46408945,-0.48213246,-1.1126459,-0.51983243,-0.015403419,-0.27251184,-1.156865,-0.5773118,0.27192163,0.9306675,2.0004005,3.308274,2.5011365,3.0731428,7.787549,10.489831,9.948669,8.811057,6.717096,4.234183,2.5221024,0.3471689,-0.85913324,-1.5181789,-1.5549288,-1.5532877,-1.5068424,-1.1263347,-1.0801474,-0.97382575,-0.84956634,-0.9813145,-1.1200869,-1.4432374,-1.4432374,-1.2115742,-1.2480894,-1.1671909,-1.5472052,-2.3744721,-3.4470901,-4.6911764,-5.224044,-6.208187,-6.331913,-6.1154246,-6.1420207,-5.914282,-5.534905,-5.5480704,-5.6922708,-5.681043,-5.5987086,-5.9047675,-5.7505536,-5.970004,-6.321181,-6.2703996,-6.2703996,-5.741758,-5.3117366,-5.0279036,-5.4064813,-5.8666754,-6.996026,-8.179193,-8.108637,-8.5465765,-7.7505174,-7.4569407
2025-11-11 00:50:26+00:00,2025-11-11 00:00:00+00:00,-5.5704217,-6.716653,-6.9673467,-7.310608,-7.4144235,-6.838798,-7.2052174,-7.8279653,-7.32159,-7.154609,-7.3609915,-7.6086974,-7.3168693,-7.2338023,-6.8717775,-6.361927,-5.7402744,-5.4434204,-6.3795614,-5.942534,-6.4146814,-6.038941,-6.226788,-6.790604,-8.672974,-8.4251,-9.507744,-10.127013,-9.412622,-9.69948,-10.138079,-8.876026,-8.34728,-8.34728,-8.590588,-8.876026,-8.916812,-8.753686,-8.388327,-8.101433,-7.6685677,-6.716653,-6.666133,-2.27584,-3.1568563,-2.8038764,-2.6862476,-2.03851,-1.2381498,-1.1877357,-1.1463008,-1.1430244,-0.3607528,-0.23403433,-0.90244174,-1.8084061,-1.7252132,-2.0580146,-1.9276791,-2.4298627,-2.639163,-3.0159905,-3.0997443,-2.099621,-2.7376008,-3.0144286,-3.823961,-2.960741,-2.4510329,-2.176691,-2.059138,-1.4454409,-0.047916617,-0.941383,0.4000836,0.064070635,0.45639718,1.5623131,1.1898359,1.3194039,1.4026519,1.1034516,0.8010679,1.382021,2.0816803,2.600705,2.468218,2.9586096,2.852661,3.6774442,3.5042133,2.1551497,2.385889,3.4357722,3.4657574,6.5270143,9.610553,10.433081,11.303741,13.006411,13.103914,13.411348,12.9594755,12.649722,13.724593,13.203074,12.70043,12.359946,11.241956,9.627936,7.691629,7.350022,7.643299,7.526836,7.2104964,6.987104,6.662138,6.3716745,6.812893,7.7659802,8.079786,8.324304,8.364259,8.272876,8.139215,7.9271865,7.547931,7.1622524,6.818845,6.516986,6.3875003,6.30463,6.219466,6.1319637,5.901294,5.657338,5.3539495,4.74275,4.1532373,3.912405,3.5328355,3.4633605,3.4173317,3.1370397,3.3265545,3.761567,4.5132318,4.712507,4.5973577,4.5701966,4.3361716,4.1021323,3.8680773,3.6808212,3.4935584,3.1025107,3.1025107,3.1959565,3.1742976,3.4731433,3.7738202,4.0360193,3.7524412,2.8209453,1.4460171,0.5843423,1.233026,2.5451424
2025-11-12 00:49:39+00:00,2025-11-12 00:00:00+00:00,-4.057168,-4.0331354,-4.602231,-5.3336945,-4.9516516,-4.4799557,-5.0130053,-4.038147,-3.7904048,-4.2499347,-4.4289017,-4.885495,-4.885495,-5.489864,-5.152451,-4.846199,-3.7751055,-3.3482945,-5.93726,-5.146895,-6.7530055,-7.7217402,-9.435355,-10.166729,-10.47138,-9.719963,-9.585128,-8.824424,-8.544126,-8.377502,-9.061876,-10.177961,-10.217844,-10.217844,-10.616775,-10.696578,-10.896118,-10.8162985,-9.341495,-7.0194054,-4.3152556,-2.3822286,-2.075689,-2.960741,-0.6211874,-0.26269022,-1.0502607,-1.4454409,-0.9142151,-2.0870435,-1.8903701,-1.6348287,-1.15469,-0.8183694,0.79848,1.8608989,2.087787,2.0004005,1.7746532,1.4675776,1.3359561,0.81589985,0.8639806,1.5353291,1.2434996,0.97551936,2.1785822,1.8060294,0.1470644,-0.501674,0.18720123,1.0109723,2.2079132,2.8745623,2.8945963,3.790956,3.0064003,3.4845622,4.1413794,4.0766573,4.1658034,4.4475193,4.849887,4.1212296,3.1777751,2.3831587,1.9044269,2.1397014,1.6912934,1.5118295,1.0585264,2.3444302,5.245982,6.156032,8.707204,10.4284935,11.510905,13.555749,14.970629,14.329897,14.335577,14.136128,13.121509,12.006316,11.485726,10.977351,10.20243,9.289569,9.306173,9.382994,9.484246,9.194437,9.029911,8.172304,7.844516,7.098861,6.6377935,6.4845004,7.1496825,8.020858,8.578315,8.438662,7.846629,7.661221,7.6937504,7.725925,7.8084373,8.127383,8.220511,8.378322,8.200158,8.162725,7.911601,7.898201,7.8616815,7.6998086,7.5075374,6.9135046,6.2834554,5.962617,5.661839,5.841116,6.368343,7.2408166,7.8008723,7.6172266,7.177749,7.086139,7.131943,7.177749,7.5457025,8.378396,9.179415,9.584024,9.462218,9.0845995,8.84555,8.5875025,8.522492,8.425049,8.260678,7.9667983,7.5691657,7.3670096,7.2300386,7.501778,8.328352,9.3583765
2025-11-13 00:49:57+00:00,2025-11-13 00:00:00+00:00,-4.925064,-4.610681,-3.4324367,-4.0865154,-2.598847,-3.3606431,-3.8036516,-4.6886473,-4.5200315,-5.2767386,-5.0259433,-5.7382593,-6.348241,-6.777026,-7.2784343,-6.29683,-4.0456233,-3.4691167,-0.6134139,1.5954335,3.8954718,3.169591,3.5750613,2.4433384,-0.332284,-1.1869267,-2.2070596,-2.549668,-2.6381335,-2.8771389,-4.47097,-5.587283,-5.9691033,-4.2703576,-2.6668649,-1.055086,-0.31429082,0.7426531,1.0948346,1.7199306,2.6623743,3.3696449,3.5529754,1.7017345,2.1963608,1.9288971,1.4586651,1.9288971,2.6659713,2.3636854,1.7831233,2.4266713,2.612015,2.0785265,3.0291498,5.399346,6.1014247,5.7378736,4.9922886,3.1637447,1.563402,0.85945445,0.7287876,1.1034516,0.4416057,0.56806046,0.56806046,1.074718,2.2930608,4.4922123,7.026895,7.692338,7.4082723,7.601465,7.453585,6.819065,6.9817004,7.468635,7.753927,7.3609605,6.698822,6.8306913,7.1445494,8.285083,9.1508465,10.118022,10.259383,11.100668,11.63515,11.577168,10.532858,9.315502,9.654176,10.211304,10.114121,9.081698,7.9563184,8.634496,9.259529,9.371605,9.558989,9.817853,9.624586,9.576268,9.823536,10.191661,10.045372,9.530847,9.526224,9.567605,9.331744,9.415229,9.275523,8.866184,7.2076654,6.2596354,5.095759,4.7549863,4.832063,5.296163,5.9289947,6.5572395,7.475803,7.913366,8.279883,8.425411,8.661832,8.472644,8.130496,7.930168,8.083445,8.378177,8.519864,8.330943,8.279883,8.164942,8.312574,8.624864,8.538088,7.784099,6.7739954,6.2444415,6.800912,7.452563,8.214503,9.034088,9.605474,9.848513,10.112491,10.211279,10.162814,10.114346,9.967316,9.822137,9.963793,9.935976,10.081594,10.03255,10.179683,10.01939,9.713683,9.044753,8.788923,9.093074,9.811067,10.131314,10.200589,9.866169
2025-11-14 00:50:16+00:00,2025-11-14 00:00:00+00:00,-1.4557827,-1.924398,-2.45203,-2.819582,-3.514176,-2.887907,-2.3027062,-3.18099,-2.9192393,-2.2396617,-2.1567223,-2.0939841,-1.8770761,-2.1367395,-1.622306,0.47305524,2.489035,3.5393353,2.7941773,2.6108646,1.9086229,0.8716941,0.63100827,-0.17167442,-1.6984692,-2.3703651,-2.1773705,-3.0048485,-3.3459568,-3.8041723,-2.671708,-1.4476758,2.4551091,3.7100194,3.0039506,1.3574744,0.64432883,0.1861681,-0.36915055,0.109667085,0.67404884,0.3186097,1.0195122,2.8750508,5.538933,6.1213446,6.9372964,7.143904,6.9815106,7.1404567,7.1925006,8.459982,9.777761,10.18343,10.371144,10.40875,10.464997,10.511925,10.275804,9.793466,10.275804,11.467452,12.28979,12.491618,11.967183,11.148319,9.917988,8.276841,7.31764,7.465152,7.921125,7.7419925,7.056165,7.7549624,9.171437,9.939343,10.267771,10.378244,10.590873,10.508147,10.442403,10.604296,10.442403,10.538389,10.253685,9.8139,9.542069,9.416442,9.1508465,8.91252,8.197525,7.456856,6.1396246,5.183649,5.5131207,5.9924545,7.3742714,7.844516,8.493198,8.84555,9.077409,9.271205,9.7704525,9.844225,9.718569,9.399327,9.367309,9.435776,9.569069,8.268561,7.2382493,6.66713,6.1627603,4.854491,5.20884,4.3296638,3.4631104,2.8022363,2.7912333,3.2714336,3.654811,4.082155,4.4482107,4.5786953,4.6735997,4.768505,4.815957,5.1151886,5.30616,5.484474,5.5450754,5.801904,5.999874,6.4140162,7.0404944,7.1837487,6.991441,6.2681046,5.853944,5.7080107,5.6225533,5.5919323,5.4007034,5.4032393,5.490147,5.7818494,5.899483,5.9293194,5.689169,5.3406186,5.148802,4.8131084,4.6804333,4.5441346,4.4524913,4.2114954,4.259695,4.200024,4.4154153,4.468039,4.406857,3.912405,3.4633605,3.2752726,3.8233898,4.9470534,7.351843,9.382994
