forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:50:19+00:00,2025-11-05 00:00:00+00:00,26.5875,23.637499,21.5375,19.5375,18.3375,17.5875,16.4375,15.9375,16.4375,16.0875,15.537499,14.987499,14.537499,14.8875,14.6875,15.9375,20.5375,23.9875,27.0875,27.887499,28.4375,28.887499,29.0375,28.4375,26.4875,23.637499,20.8375,19.4875,18.637499,18.137499,18.1875,17.637499,16.9375,15.9375,14.8875,14.8875,14.737499,14.237499,13.8375,15.537499,20.137499,23.4375,25.9875,25.8975,26.4475,26.6475,26.5975,25.9475,23.6975,20.8975,20.0475,19.5475,18.7475,18.4475,18.0975,17.2475,16.6475,16.6975,16.1475,15.747499,15.3475,14.997499,14.8975,18.8475,21.2475,22.5975,23.7475,24.7475,25.4475,25.9475,25.8975,25.4475,23.3475,20.5975,19.9975,19.5475,18.8475,18.3475,17.5975,17.0475,16.6475,16.2975,16.1475,15.9475,15.8475,15.3475,15.0475,18.9975,21.6475,22.8975,24.0475,25.0475,25.6475,25.9475,25.9475,25.5475,23.5475,20.9975,20.0975,19.5475,19.3975,18.8975,18.2475,17.3475,16.8475,16.2975,16.0475,15.9475,15.997499,15.747499,15.9475,19.0975,22.0475,23.8475,24.9975,26.0975,26.7475,26.8475,26.2975,25.1975,23.8975,22.1975,20.2975,18.7475,17.8975,17.4475,16.9975,16.3975,15.8475,15.2975,14.6975,14.1475,13.997499,14.1975,14.7975,16.0475,18.4475,21.4975,24.0975,25.8975,27.2475,27.7975,27.1975,25.7975,24.3975,23.2475,22.0975,21.0975,20.3975,19.8475,19.3975,18.9975,18.6475,18.3475,17.9975,17.6475,17.6475,17.9975,18.6475,19.8475,22.0975,24.9475,27.1975,28.4475,29.1475,29.1975,28.4475,27.1475
2025-11-06 00:50:38+00:00,2025-11-06 00:00:00+00:00,26.9875,23.7375,21.0375,19.7375,18.9875,18.637499,18.137499,18.2375,18.137499,17.2875,16.5875,15.787499,15.5875,14.987499,14.537499,15.787499,20.137499,23.5375,25.8375,26.9875,27.6875,28.1875,27.9875,27.2375,25.2375,21.637499,19.7375,18.4375,17.4375,16.4375,15.787499,15.3875,15.0875,14.6875,14.537499,13.987499,13.8875,13.8875,13.5875,14.537499,19.137499,23.0375,25.4375,25.2475,25.9475,26.2475,26.0975,25.7475,23.6475,21.0475,20.3975,19.9975,19.3975,18.6975,17.8475,17.2975,16.8975,16.4975,16.2475,15.9475,15.5975,15.497499,15.5475,18.8975,21.3975,22.7975,23.9975,24.8475,25.4975,25.8475,25.8475,25.3475,23.2975,20.7975,20.0975,19.7475,19.3975,18.8475,18.2975,17.5975,16.9975,16.6975,16.4475,16.2975,15.997499,15.7975,15.8475,19.0475,21.9475,23.6975,24.7475,25.5475,26.1975,26.5975,26.7475,26.4475,24.1475,20.9975,19.4975,18.7475,18.0475,17.2975,16.5975,16.0975,15.5975,15.0475,14.4475,13.997499,13.5975,13.247499,13.0475,15.1975,18.2975,20.5975,22.7475,24.4475,25.6975,26.2475,25.7475,24.4975,23.1475,21.7975,20.3475,19.2475,18.7475,18.5975,18.3975,17.8975,17.3975,16.8975,16.4475,16.0475,16.0475,16.4975,17.2975,18.4475,20.1975,22.2975,24.0475,25.3475,26.2975,26.5475,25.6475,23.9975,22.3975,20.9975,19.6975,18.6475,18.0475,17.7475,17.4975,17.2975,17.1975,17.1475,17.1475,17.2475,17.5475,17.9975,18.5975,19.6475,21.4475,23.5975,25.3975,26.5975,27.3975,27.5975,26.8975,25.5475
2025-11-07 00:49:52+00:00,2025-11-07 00:00:00+00:00,25.3375,21.8375,20.2375,18.7375,17.4875,16.637499,15.987499,15.3375,14.6875,14.3875,14.037499,14.0875,13.8875,13.5875,13.0875,14.487499,19.0375,22.6875,24.887499,26.4875,27.2875,27.7375,27.7375,27.0375,25.0875,21.5875,19.7875,18.4375,17.5875,16.5875,15.8375,15.987499,14.787499,14.487499,13.987499,14.5875,14.1875,13.3875,13.4375,14.737499,19.3375,22.7375,25.0875,25.0475,25.5975,25.8975,25.7975,25.2975,23.2975,20.9975,20.2975,19.8475,19.3975,18.8975,18.2975,17.6975,17.2975,16.8975,16.5475,16.5475,16.3975,16.1975,16.0975,19.0975,21.6475,23.3475,25.2975,26.7975,27.2975,27.4975,27.4475,27.0475,24.5475,22.0475,20.6475,19.7475,19.1475,18.3475,17.7475,17.1975,16.6975,16.1475,15.7975,15.3475,14.7975,14.4475,14.1475,16.4475,19.6475,21.8475,23.7475,25.3975,26.4475,27.0975,27.2475,26.9475,23.6475,20.8975,20.4975,19.9475,19.4975,19.0475,18.4975,17.8475,17.2975,16.4975,16.0475,15.9475,15.7975,15.2975,14.997499,18.6475,21.5975,23.1975,24.6475,25.7475,26.4475,26.4975,25.7475,24.4475,23.0475,21.5475,19.9475,18.7475,18.3475,18.3475,18.1975,17.6475,16.9475,16.3975,15.997499,15.6975,15.8475,16.4975,17.4975,18.8475,20.7475,22.9975,24.7975,25.8975,26.5975,26.6475,25.8475,24.4475,22.9975,21.6475,20.2475,19.1475,18.4475,17.9975,17.5975,17.0975,16.6475,16.2475,15.7975,15.3475,15.3975,16.0475,17.1475,18.5475,20.4975,22.7475,24.5975,25.7975,26.5975,26.7475,26.0475,24.7975
2025-11-08 00:45:51+00:00,2025-11-08 00:00:00+00:00,24.7875,21.2875,19.2875,18.6875,17.3375,16.5375,16.5875,15.8375,15.3375,14.737499,13.9375,13.3375,13.1375,13.287499,13.237499,14.4375,19.0875,22.887499,25.2375,26.5375,27.2875,27.8375,27.6875,27.0875,25.0375,21.4875,19.637499,18.2375,17.387499,16.387499,15.6375,15.037499,14.6375,14.237499,13.5875,12.987499,12.3375,12.0875,11.8875,14.287499,18.7875,22.9375,26.387499,26.2975,27.2475,27.9475,28.1975,27.9475,25.0975,22.6475,22.1975,21.3975,20.3475,19.8975,19.1975,18.5475,18.0475,17.4475,16.9475,16.5475,16.0475,15.747499,15.3975,17.5475,20.8975,23.1475,24.8475,26.3475,27.2975,27.8475,27.9975,27.8475,24.4975,21.6975,21.1475,20.7975,19.7475,19.0975,18.9475,18.0975,18.0475,17.3975,16.6975,16.2975,15.9475,15.997499,16.0475,19.4475,22.4475,23.9975,25.2975,26.2975,26.9975,27.4475,27.1975,26.5475,23.7975,20.8475,20.5975,20.2975,19.1475,18.4475,18.5475,17.9975,17.4475,16.8475,16.3975,16.1975,15.997499,15.7975,15.5975,19.1975,22.4475,24.0475,25.2475,26.4475,27.2475,27.3975,26.6475,25.2975,23.8975,22.5475,21.1475,20.0475,19.4975,19.1975,18.9475,18.5475,18.0975,17.7475,17.3475,16.9975,16.9975,17.5475,18.4475,19.6975,21.5475,23.6975,25.4475,26.5975,27.3475,27.4975,26.8475,25.5975,24.2975,22.9975,21.6975,20.5975,19.9475,19.4975,19.0975,18.5475,18.0475,17.5475,16.9975,16.4975,16.4475,17.0475,18.0975,19.4975,21.3975,23.5975,25.3975,26.6475,27.5475,27.7475,26.9975,25.5975
2025-11-09 00:52:37+00:00,2025-11-09 00:00:00+00:00,25.387499,21.6875,19.7375,18.387499,17.1875,16.4375,15.887499,15.4375,15.237499,14.4375,13.5875,13.0875,12.537499,12.6875,12.787499,13.9375,19.3375,23.387499,26.5875,29.0875,29.6875,29.887499,29.7875,29.2875,26.7375,23.9375,21.9375,19.9375,18.387499,17.637499,17.4375,16.2375,15.3375,14.787499,14.6875,13.3375,12.6875,12.1875,11.3875,14.3375,19.137499,22.7875,26.387499,25.9975,26.9975,27.4475,27.3975,26.9975,23.9475,21.2975,21.0975,20.3475,19.6975,19.0475,18.3975,17.3975,17.4975,17.0475,16.7975,16.3475,16.1975,16.1475,15.2975,18.8475,21.7975,23.3475,24.6475,25.7975,26.6975,27.1475,27.0475,26.2975,23.3975,20.9975,20.6975,20.2475,19.6475,19.6975,19.5475,19.0975,17.9975,18.7475,18.1975,18.2975,17.4975,18.0975,17.9475,19.9975,22.2975,24.4975,25.7975,26.5975,26.3475,26.9975,27.0475,26.7975,23.2475,20.8475,20.5475,20.6975,20.2975,19.7975,19.1475,18.6475,18.5975,18.5475,17.9975,17.6975,17.3475,17.3475,17.2475,19.9975,22.8975,24.5475,26.0475,26.9475,27.2975,27.1475,26.4475,25.2475,23.8975,22.2475,20.4475,18.9975,18.1975,17.7475,17.3975,17.1975,17.0975,16.8975,16.3975,15.8475,15.6475,16.0475,16.7475,17.5475,18.3475,19.2475,19.9475,20.5975,21.0975,20.9475,19.7475,17.8975,16.3475,15.5475,15.0475,14.5975,14.1475,13.747499,13.3475,13.0975,12.8975,12.3975,11.3475,9.997499,9.0975,8.8975,9.1975,9.747499,10.747499,12.0475,13.1975,14.1475,14.9475,15.3975,15.3475,14.8975
2025-11-10 00:53:13+00:00,2025-11-10 00:00:00+00:00,27.4375,24.0375,21.9375,20.2375,19.387499,18.1875,17.5375,16.9875,16.0875,14.987499,13.5875,13.487499,12.1375,11.987499,11.6875,14.487499,20.1875,23.6875,26.3375,28.5875,29.387499,29.637499,29.3375,28.7875,26.0875,23.0875,21.0875,19.9375,18.4875,16.637499,15.9375,15.037499,14.3375,13.6375,12.987499,12.6375,12.3875,11.8875,11.6875,14.1875,19.0375,22.9875,25.6875,25.4975,26.2475,26.6975,26.7975,26.0975,23.3975,21.1975,20.2975,19.3975,19.0475,19.3975,18.0475,17.4475,17.6975,17.7975,17.6475,17.0975,16.9975,16.1475,16.2475,19.1475,21.7975,23.7975,25.0975,25.9975,26.5475,26.9475,26.9975,26.5975,23.7975,21.2475,20.8975,20.5475,21.2475,20.3975,19.8475,19.2475,18.5475,18.5975,18.2475,18.3475,17.1975,16.9975,16.9975,19.8475,22.7475,24.2975,25.4975,26.3475,26.6975,26.7975,26.6975,26.2975,23.7975,20.9475,20.3975,20.1475,19.9475,19.1475,18.0475,17.4975,17.1475,17.7475,17.2975,17.3975,17.3475,17.2475,16.8475,17.8475,18.3975,17.8975,17.1975,16.3975,15.2975,14.4475,13.997499,13.6975,13.3475,12.747499,12.0475,11.3475,10.5975,9.7975,9.1475,8.6475,8.2975,7.9474998,7.4474998,6.9975,6.9474998,7.5975,8.6975,9.8975,11.247499,12.6975,13.9475,14.8475,15.5475,15.8475,15.6475,15.0475,14.247499,13.1975,11.997499,10.997499,10.3975,10.0475,9.747499,9.5475,9.4475,9.3475,9.0475,8.747499,8.7975,9.2975,10.1475,11.2975,12.8975,14.8475,16.4975,17.8475,18.8975,19.3975,19.0475,18.0975
2025-11-11 00:50:26+00:00,2025-11-11 00:00:00+00:00,26.387499,23.5375,21.7875,20.3375,18.2875,16.4875,15.887499,15.1875,14.6375,13.9375,13.3875,13.1875,12.8375,12.487499,12.287499,14.6875,19.387499,23.1875,25.7375,27.637499,28.6875,29.2875,29.2375,28.387499,25.7375,22.137499,19.9375,18.5375,17.7875,16.887499,16.2375,16.3375,16.2875,15.8375,15.537499,15.537499,14.987499,14.6375,14.487499,15.3375,19.5375,23.8375,27.3375,26.1975,26.2475,26.5975,26.6475,26.1475,23.7475,22.1975,21.8475,21.1475,20.0975,19.9475,20.1975,20.1475,19.9475,19.5975,18.8475,18.4475,18.2475,17.5475,17.4975,20.0475,23.0475,24.3475,25.5475,26.5975,27.0975,27.1975,27.0975,26.7475,24.2475,22.2475,21.0475,19.8475,19.4975,18.8975,18.2975,18.4975,17.8975,18.1475,17.5975,16.9475,16.8475,16.6975,16.5975,18.7475,21.7975,23.2975,24.2975,25.1475,25.2475,24.2975,23.0975,20.4475,17.9475,16.4475,17.1475,17.8975,17.4475,16.9475,16.5475,16.2975,15.0975,14.2975,12.0975,12.0475,12.0475,11.8975,10.6475,10.2975,10.5475,11.497499,11.3975,12.2975,13.2975,13.747499,13.1975,12.0975,10.997499,9.997499,9.0475,8.3475,8.0975,8.1975,8.1975,8.0475,7.8975,7.7974997,7.7475,7.7475,7.8475,7.9975,8.247499,8.6975,9.5475,10.5975,11.5475,12.3475,12.997499,13.4475,13.6475,13.5975,13.3975,12.9475,12.3475,11.7975,11.4475,11.1975,10.9475,10.6975,10.497499,10.2975,10.0475,9.7975,9.747499,9.997499,10.4475,11.1975,12.4475,13.997499,15.3975,16.5475,17.4975,17.9475,17.4975,16.4975
2025-11-12 00:49:39+00:00,2025-11-12 00:00:00+00:00,25.4875,21.887499,20.137499,17.5875,16.7375,16.5875,16.9375,16.4875,15.8375,14.9375,14.487499,13.9375,13.9375,13.9375,13.8875,14.487499,19.387499,23.4375,25.3375,27.3375,28.637499,28.887499,28.887499,28.1875,25.387499,21.9875,19.7375,19.0375,18.387499,17.7375,17.8375,17.1875,17.2375,17.3375,16.7375,15.6375,14.8375,14.1375,14.5875,15.787499,20.3375,24.1875,27.1875,26.6975,26.8975,26.9975,27.0475,26.7975,24.1475,21.7475,20.9975,20.5475,20.2475,19.8475,19.2975,18.7475,18.3975,18.2475,17.4975,16.6975,16.3475,16.4975,16.0475,19.1475,21.8475,23.3975,24.7975,25.5475,26.0975,26.6475,26.6475,25.7475,23.2975,21.2475,20.4975,19.7975,19.3475,18.9975,17.4475,16.8975,17.3475,17.3475,17.0475,17.1975,17.8975,18.4975,17.5475,18.8975,19.5975,20.1475,23.6975,24.4975,25.4975,24.9475,20.6475,20.7975,19.3475,16.8975,15.9475,17.1475,16.4975,16.5975,14.8975,14.0475,14.0975,13.497499,13.247499,13.5975,12.5975,11.997499,11.6475,12.5975,13.7975,14.997499,16.3975,17.1975,17.7475,17.8975,17.3975,16.4975,15.7975,15.6475,15.747499,15.5975,15.0475,14.3475,13.6475,12.997499,12.3475,11.8475,11.4475,11.1475,11.1475,11.497499,12.1475,12.997499,14.247499,15.747499,16.8975,17.5475,17.8975,17.9975,17.7475,17.1975,16.7975,16.6475,16.5975,16.5975,16.7975,16.9975,16.8975,15.997499,14.747499,13.9475,13.9475,14.3975,14.8475,14.997499,15.1475,15.5975,16.6975,18.0975,19.1475,19.5475,19.5975,19.3475,18.5975,17.5475
2025-11-13 00:49:58+00:00,2025-11-13 00:00:00+00:00,25.1875,21.8375,19.5375,18.2875,17.387499,16.4875,15.6875,15.6875,15.5875,15.1875,14.787499,14.6875,13.8375,13.237499,13.237499,15.037499,19.5375,23.4375,27.3375,28.137499,28.9875,29.2375,29.0875,28.8375,26.1875,23.2375,22.1875,21.0375,20.2375,18.4375,17.4875,16.9375,16.4875,15.9375,15.287499,15.287499,15.0875,14.987499,15.037499,15.6375,19.0875,22.7875,24.4375,25.0475,25.5475,25.8475,25.8975,25.5975,23.2475,20.7975,19.9475,19.3475,18.3975,18.1975,17.8475,17.1975,16.8475,16.4975,16.0975,16.1475,16.5975,16.6975,16.3975,18.5475,20.7975,21.9475,21.8475,21.3975,20.2975,19.5975,18.4975,18.1975,17.9475,17.5975,18.4975,18.4975,18.3975,18.0475,16.8975,17.4475,15.8975,17.3475,17.6975,16.1475,16.1975,16.3475,16.5475,15.997499,16.1475,16.1975,17.8475,17.7475,17.3975,17.3975,17.3975,17.5475,17.0475,16.3475,14.997499,14.5475,12.8475,12.2975,12.1475,11.997499,11.997499,11.9475,11.8475,11.8975,11.8475,11.747499,11.5975,13.747499,14.997499,16.8975,18.0975,19.0975,19.7975,20.0475,19.5975,18.6975,17.6975,16.6475,15.497499,14.6475,14.3475,14.3975,14.4475,14.497499,14.5975,14.6475,14.5475,14.3475,14.2975,14.3975,14.5975,14.8475,15.1475,15.5475,16.0975,17.0975,18.2475,18.6975,17.8475,16.3475,14.997499,14.1475,13.4475,12.9475,12.747499,12.747499,12.6975,12.4475,12.1475,11.8475,11.5975,11.3475,11.2975,11.497499,11.8475,12.1475,12.2975,12.2975,12.2975,12.0975,11.8475,11.7975,12.1475,12.6475
2025-11-14 00:50:16+00:00,2025-11-14 00:00:00+00:00,26.2875,22.887499,21.0375,19.5375,19.887499,19.387499,17.9375,17.8375,17.2875,16.8375,16.137499,15.787499,14.787499,14.537499,14.3375,15.537499,20.0375,24.7375,25.7375,26.637499,27.387499,27.9375,28.0875,27.3375,24.9375,21.5375,20.5375,18.5375,17.2375,16.5875,16.2375,15.287499,15.237499,14.737499,13.8875,13.0875,12.287499,11.4375,11.3375,13.237499,17.887499,22.0375,24.387499,24.3475,24.8475,23.4475,21.0975,20.7475,20.2975,19.7475,18.8475,18.6475,17.1475,16.4975,16.7475,16.3475,16.9975,17.5475,17.4475,17.8475,17.1975,16.3475,14.997499,14.6975,14.8475,14.7975,15.2975,16.0475,16.7975,16.4975,17.1975,17.3475,16.8475,16.5975,16.2475,15.497499,13.497499,13.247499,13.8975,14.1975,14.247499,14.1475,14.1975,14.1475,14.1475,14.2975,14.4475,14.747499,15.497499,16.8975,17.9975,19.1975,19.0975,19.3475,19.0975,18.1475,17.3975,16.2475,15.4475,14.247499,13.6475,13.0975,13.247499,13.0475,12.997499,12.747499,12.2975,10.8475,9.997499,9.5975,10.7975,10.8975,10.9475,9.747499,8.2975,8.247499,8.5975,8.9475,9.247499,9.5475,9.6975,9.6475,9.4475,9.3475,9.4475,9.6475,9.747499,9.5475,9.247499,8.997499,8.8475,8.7975,8.6475,8.3475,7.9474998,7.7974997,7.9474998,8.247499,8.6975,9.2975,9.997499,10.497499,10.6975,10.747499,10.6475,10.497499,10.1975,9.8975,9.5475,9.1475,8.7975,8.5975,8.4475,8.2975,8.0475,7.7974997,7.7974997,8.0975,8.5975,9.4475,10.7975,12.3975,13.7975,14.9475,15.8475,15.9475,14.497499,12.2975
