forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:51:22+00:00,2025-11-05 00:00:00+00:00,904.5885,903.1669,902.2443,901.7404,902.3623,902.25726,902.17816,901.7254,901.5833,901.02856,900.32025,900.01025,899.977,900.53107,901.1727,902.3806,904.8887,906.0615,906.1386,906.3456,906.2302,906.18854,906.26025,905.2538,904.2876,903.13184,903.0318,902.20496,900.92584,900.73254,900.70496,900.5128,899.182,898.6903,897.9826,897.4891,897.4246,897.3911,897.2486,897.93774,899.62976,901.0161,901.3761,899.8873,899.1345,898.3842,897.9244,897.5395,896.9443,896.5928,896.60736,896.5593,896.7609,896.92914,896.7609,896.23816,895.7339,895.41943,895.2176,894.88934,894.9334,895.03424,895.464,897.7925,898.45746,898.5932,898.4719,897.90027,897.2187,896.48615,896.09576,895.6918,895.07935,894.67786,894.9662,895.27466,895.3337,895.55396,895.2608,895.14886,895.0416,895.0876,894.798,894.7418,894.65515,894.8767,895.39453,897.3644,898.31635,898.3978,898.27637,897.7602,896.97534,896.4395,896.314,896.3695,896.09186,895.89935,896.4853,896.91364,897.3438,897.65594,897.48785,897.3189,897.3268,897.52997,897.682,897.8336,898.1115,898.5277,899.20416,901.14105,901.7937,902.09283,902.2551,901.7891,901.11,900.4702,900.17285,900.10583,900.1218,900.46545,900.91986,901.3337,901.5279,901.53564,901.56177,901.54944,901.5746,901.5991,901.5155,901.47015,901.6276,902.1658,902.8183,903.4203,903.7952,903.98175,903.87213,903.35425,902.6514,901.93304,901.34955,900.7543,900.4061,900.46106,900.77155,901.0764,901.17426,901.27783,901.1857,901.0381,900.6943,900.4386,900.10785,899.88336,899.9531,900.6252,901.5883,902.3205,902.6761,902.6821,902.5153,901.918,900.966,900.2336,899.7602,899.3104
2025-11-06 00:51:43+00:00,2025-11-06 00:00:00+00:00,904.6732,902.2279,901.8076,901.48254,901.08307,900.5307,900.0337,899.5116,899.12354,898.41754,897.7108,897.5024,897.22876,896.89886,896.7148,897.77344,899.99475,901.28467,901.21594,901.24133,901.1672,900.7908,900.8282,900.3231,899.6648,898.58484,898.19855,897.51276,896.9195,896.83484,896.552,896.02,894.9176,894.5078,894.10297,893.66626,893.2794,893.08777,893.4446,894.42523,896.4697,898.2287,899.0296,897.79016,896.96765,896.3083,895.8832,895.479,894.93744,894.56915,894.85626,895.0791,895.26373,895.3399,895.38666,895.46545,895.2608,895.2187,894.76044,894.6101,894.7247,894.782,895.3822,897.62634,898.5438,898.52155,898.4186,898.08044,897.2782,896.9028,896.9202,896.8689,896.6957,896.25165,896.5151,896.9838,897.2739,897.6001,897.7347,897.63556,897.64307,897.92163,897.83997,897.8714,898.23126,898.4707,899.0393,901.3515,901.9529,902.27045,902.4328,902.2512,901.57227,901.2688,901.25287,901.081,900.8122,901.0152,901.47705,901.6927,901.78015,901.8839,901.7264,901.6752,901.62305,901.6276,901.5125,901.5931,901.635,901.892,902.29517,903.179,903.6972,903.6507,903.40564,903.01984,902.3751,901.7833,901.27045,900.79675,900.5324,900.6526,900.87036,901.13727,901.1784,901.18866,901.12836,901.04944,900.89984,900.7687,900.5807,900.4113,900.5185,901.1551,901.9584,902.65906,903.05835,903.12573,902.99963,902.38824,901.49286,900.6206,899.95245,899.3035,898.86273,898.7336,898.7551,898.73737,898.6565,898.4939,898.331,898.131,897.8424,897.66064,897.3718,897.08264,897.2086,897.8752,898.9368,899.7895,900.556,901.1006,901.3653,901.021,900.3212,899.6618,899.3124,899.0008
2025-11-07 00:50:57+00:00,2025-11-07 00:00:00+00:00,899.9283,897.4676,896.6406,896.1885,896.65704,896.7318,896.0767,896.18353,896.36884,896.13727,894.5013,893.2816,893.0597,893.73285,893.756,894.27386,896.0451,897.304,898.5163,899.0391,898.7591,898.822,898.7532,898.47485,897.8344,896.68494,896.3,895.84686,895.5502,895.6832,895.27527,894.7809,893.98193,893.82526,893.939,893.8188,893.5517,893.64453,894.2669,895.3667,897.53296,899.0609,899.8134,898.0086,897.3121,896.8124,896.7062,896.4596,896.12726,895.98804,896.574,896.8621,897.18536,897.51624,897.5764,897.5845,897.7562,897.8521,897.80817,897.8903,898.37683,898.9699,899.50055,901.61725,902.32587,902.6626,902.699,902.42773,901.8372,901.42554,901.5144,901.5736,901.3495,901.7755,902.1977,902.4805,902.7831,903.1083,903.0971,903.11676,903.0471,902.945,902.6843,902.6002,902.64246,902.7423,903.0379,904.046,904.41956,904.4755,904.19006,903.6413,902.8011,902.28,901.77936,901.4602,900.479,900.304,900.4131,900.59503,900.6385,900.6483,900.49927,900.33093,900.21875,900.1249,899.90485,899.64056,899.7668,899.9124,900.35474,902.0684,902.83057,903.00104,902.8232,902.2136,901.3193,900.46454,899.86505,899.3749,899.058,898.99866,898.9947,899.0025,898.9517,898.85834,898.7647,898.7031,898.55273,898.54706,898.4525,898.41473,898.68616,899.49976,900.6204,901.5141,902.1094,902.5359,902.61127,902.16437,901.2719,900.5956,900.13776,899.82184,899.678,899.7213,899.8596,899.95844,899.95807,899.9478,899.86707,899.7161,899.40674,899.20465,898.996,898.8054,899.0013,899.80524,900.9914,901.9302,902.63574,903.06573,903.23285,902.80554,901.9495,901.21936,900.8488,900.5143
2025-11-08 00:46:55+00:00,2025-11-08 00:00:00+00:00,897.8709,896.22345,895.03815,895.49725,896.055,895.2468,895.19116,894.3842,894.0946,893.85693,893.0352,893.1289,893.3678,894.0864,894.5627,895.8783,898.4374,899.78864,899.5824,899.9666,900.029,900.21436,900.30334,899.8118,899.47095,898.58374,898.6763,898.03815,897.8134,897.97797,897.6423,897.5569,897.25555,897.0222,896.93243,896.68396,896.87585,897.13586,897.77356,898.75305,900.431,902.60187,903.20337,902.24695,901.6164,901.22125,901.16656,901.22363,900.5146,900.4492,901.3606,901.813,902.1015,902.3033,902.2705,902.255,902.0667,901.89667,901.58093,901.7133,901.8766,902.2924,902.72284,903.854,904.15814,904.11285,903.96136,903.4069,902.7578,902.1084,901.81854,901.4652,900.85046,900.22125,900.4009,900.42505,900.5024,900.4386,900.35944,900.17267,900.0927,899.7465,899.62024,899.43774,899.3941,899.62177,899.9497,901.41815,902.3557,902.48663,902.0932,901.67505,900.7417,899.9926,899.60736,899.2078,898.827,898.7619,898.799,898.74866,898.611,898.6207,898.34076,898.0647,898.027,898.0347,898.04785,897.95337,898.04834,898.37683,899.01495,900.9865,901.8363,902.05945,901.91766,901.3972,900.5922,899.933,899.4397,899.09064,898.89813,898.84045,898.9298,898.99603,898.9097,898.72327,898.5741,898.3169,898.11554,897.8954,897.70685,897.4985,897.7134,898.5337,899.82336,900.7573,901.3684,901.703,901.66907,901.22076,900.4162,899.66815,899.1746,898.71875,898.454,898.3607,898.4344,898.46826,898.364,898.2294,898.0428,897.8743,897.5845,897.3832,897.01776,896.67084,896.70886,897.4209,898.5321,899.37616,899.9332,900.30066,900.3172,899.7589,898.75507,897.88007,897.228,896.7935
2025-11-09 00:53:41+00:00,2025-11-09 00:00:00+00:00,899.8979,898.104,898.2873,897.8308,898.7032,898.4439,898.4442,897.6186,897.15405,896.92114,897.1611,897.059,897.3674,897.9058,898.08563,899.33386,902.1149,903.8991,903.8448,904.631,904.34186,904.1639,904.14655,904.0624,903.6841,902.91724,902.4921,901.779,901.32495,901.5432,901.2856,900.8704,900.30145,900.0535,900.27563,900.0345,899.647,899.8161,900.2807,901.82434,903.94196,905.2071,905.69446,903.2675,902.231,901.6923,901.1567,901.0155,900.39026,900.3786,900.9354,901.36975,901.48474,901.04865,900.95123,900.9794,900.76,900.6479,900.1569,900.0308,899.8931,900.4168,900.72736,902.6224,903.33044,903.41046,903.0532,902.38824,901.49286,900.65515,900.35614,900.02716,899.3597,899.2191,899.36444,899.55347,899.5647,899.32416,899.5132,899.1694,899.0213,898.9097,898.9654,898.7511,898.8158,898.81824,899.2927,901.0269,901.9958,902.1478,901.98895,901.3821,900.36554,899.7938,899.57916,899.33356,898.6852,898.4595,898.69214,899.0735,899.0847,899.1839,898.9097,898.87256,898.7795,898.397,898.1637,897.8743,897.85004,898.0027,898.4829,899.8529,900.7552,900.85175,900.6736,900.0827,899.1365,898.2298,897.59503,897.0144,896.6601,896.6553,896.8748,896.9499,896.7809,896.4747,896.14954,895.7868,895.3168,894.8833,894.468,894.0715,893.9265,894.2295,894.80334,895.2421,895.4077,895.3417,894.9984,894.14923,893.03064,892.14056,891.72546,891.55316,891.55457,891.94336,892.543,892.98145,893.0508,892.8226,892.6816,892.53955,892.416,892.31116,892.2744,892.23663,892.4039,892.97266,893.8155,894.6178,895.32837,895.97363,896.2035,895.8923,895.18616,894.64545,894.3428,894.2261
2025-11-10 00:54:19+00:00,2025-11-10 00:00:00+00:00,903.609,902.1391,902.03766,901.6488,902.6097,902.0569,902.2515,901.3628,901.4519,901.5274,900.29974,899.75446,900.1464,900.93463,901.01526,902.393,904.64166,905.49524,905.92554,906.2393,906.1413,906.0823,906.134,905.4642,904.74976,903.9142,903.4885,902.83136,902.15875,901.8375,901.7792,901.56555,901.1232,900.9641,900.7463,900.4542,900.33875,900.2146,900.3529,900.91876,902.7829,904.40656,905.3923,902.0022,901.05426,900.3582,899.8982,899.53015,899.1644,898.6893,899.08636,898.9776,898.74677,899.44965,898.6861,898.2095,898.34076,898.5229,898.3357,898.31165,898.345,898.4782,899.04675,901.00116,901.8867,901.9336,901.6874,900.99207,900.0827,899.35077,899.15375,898.8541,898.2231,897.7295,897.8912,897.9846,898.1539,898.16815,897.99536,897.4417,897.1849,896.8764,896.61884,896.2533,896.52484,896.68286,897.0496,898.9483,899.7068,899.64386,899.3414,898.5388,897.3808,896.75696,896.33154,896.10406,895.39923,895.1374,895.1618,895.0642,894.8579,894.9094,894.6437,894.3699,893.83014,893.5927,893.30365,892.74915,892.7251,892.85913,893.13226,893.9981,894.6727,894.39484,894.1165,893.8032,893.30945,892.703,891.95636,891.20715,890.8275,891.0422,891.66095,892.22266,892.52405,892.747,892.8991,892.96136,892.9335,893.0119,893.08887,893.2041,893.5657,894.3418,895.3837,896.25806,896.981,897.68823,897.9781,897.7256,897.2357,896.82196,896.58887,896.5037,896.43024,896.50616,896.6585,896.70544,896.74744,896.6896,896.58136,896.316,896.0012,895.7064,895.37146,895.0362,895.09564,895.717,896.6404,897.3905,897.73706,897.8126,897.6554,897.1637,896.3789,895.7097,895.08716,894.5648
2025-11-11 00:51:29+00:00,2025-11-11 00:00:00+00:00,903.7838,903.06445,902.09576,902.0643,902.6689,902.63446,902.36896,901.1086,900.2381,899.87213,899.38525,898.949,898.7702,899.1472,899.4852,900.40875,902.2367,903.4678,905.17883,905.66565,904.9425,904.8995,904.687,903.80554,903.04205,902.1195,901.84406,900.7989,900.3643,900.4088,899.94507,899.3942,898.89777,898.722,898.7786,898.79767,898.60724,898.35913,898.9277,899.5622,901.0885,902.93396,904.1476,901.0089,900.11456,899.5056,899.3277,898.96027,898.24097,898.05225,898.16034,898.4751,898.6824,898.28973,898.1081,898.16815,897.91223,897.95825,897.2086,897.19476,897.43243,897.5907,898.1221,899.6855,900.5793,900.65656,900.1771,899.53595,898.7693,898.2173,897.8278,897.58185,896.97833,896.91315,897.02014,896.98785,897.15027,897.043,896.6108,896.011,895.84796,895.5915,895.4518,895.06885,894.76044,894.9188,895.01465,896.0853,896.56744,896.8134,896.6948,895.6834,894.618,893.7825,893.7818,893.8663,893.5269,893.4736,893.8981,893.717,893.7231,893.35974,892.9957,892.2641,891.78406,891.5399,891.3819,891.08624,891.0475,891.5562,892.22015,892.9183,893.3572,893.58844,893.65375,893.18506,892.4241,891.96625,892.1345,892.5868,893.039,893.5208,894.07086,894.4831,894.74786,894.8947,894.96344,894.92395,894.9125,894.89075,894.97894,895.09784,895.37335,895.834,896.45154,896.9232,897.17,897.2669,897.16437,896.7927,896.1525,895.7293,895.47034,895.45135,895.4769,895.6844,895.93225,896.16473,896.1773,896.1593,896.02246,895.9245,895.7088,895.5813,895.4145,895.228,895.3163,895.72815,896.1991,896.70825,897.0731,897.3534,897.3432,896.72394,895.84674,894.97943,894.3699,893.8769
2025-11-12 00:50:44+00:00,2025-11-12 00:00:00+00:00,902.6835,901.1798,900.38403,900.1751,900.324,900.02826,899.6794,898.7881,898.702,898.7974,898.5197,897.94324,897.7711,898.5978,898.97424,899.74493,901.9855,903.4483,903.9527,904.42206,903.87964,903.29144,902.95294,902.2831,901.6404,900.9115,901.1362,901.364,901.20844,901.1991,900.63403,900.1082,899.2223,898.92224,898.9107,898.6205,898.5638,898.68396,899.3539,900.01636,901.59033,902.66895,903.0457,900.141,899.1795,898.64526,898.27216,898.13184,897.7608,897.4796,897.62524,897.75183,897.7767,897.791,897.65094,897.3482,897.2179,897.0502,896.391,896.03876,895.8497,896.29193,896.87933,898.6378,899.3102,899.375,899.20013,898.488,897.52606,896.9928,896.42584,896.10815,895.82385,896.0767,896.4365,896.3159,896.24835,896.2907,896.2533,895.913,895.60504,895.0822,894.8679,894.44403,894.99963,895.7453,895.9504,896.4395,896.5854,897.01807,897.2096,896.3405,895.22034,893.5687,893.3653,893.3918,893.9827,894.5292,895.5029,895.9829,896.3744,896.33704,896.01025,895.7847,895.8224,895.0597,894.73596,894.7289,895.1158,894.98303,895.2234,896.1741,896.5821,896.809,896.69116,896.1227,895.2821,894.6291,894.2484,893.9468,893.83795,893.92267,894.20026,894.3563,894.4683,894.46063,894.4528,894.42566,894.3788,894.2626,894.01917,893.618,893.5599,893.8637,894.4412,894.99713,895.35956,895.6917,895.6698,894.9718,893.8396,893.04285,892.70746,892.70746,892.95435,893.66254,894.599,895.1761,895.154,894.769,894.4637,894.47076,894.57965,894.624,894.4153,894.1603,894.0188,894.1071,894.3989,894.6668,895.003,895.3259,895.29663,894.7582,893.82367,893.18475,892.89404,892.7202
2025-11-13 00:51:06+00:00,2025-11-13 00:00:00+00:00,901.8672,899.9002,899.6606,900.0065,900.0098,900.12085,899.94507,899.19,898.30273,898.1651,897.5971,897.6098,897.80566,898.14056,898.5133,899.0877,901.26917,902.47046,902.6737,902.8613,902.41315,902.18097,902.02435,901.52747,901.0206,900.17816,900.0403,899.5851,899.16077,899.0407,898.69104,898.27057,897.77936,897.39484,897.2433,896.58575,896.42084,896.4643,896.68396,897.1991,898.5406,900.0656,900.71906,898.73785,897.7058,897.0292,896.5498,896.37463,896.00134,896.1811,896.7543,896.6703,896.7325,896.6865,896.393,896.1873,896.0048,895.683,895.3367,895.0525,895.16534,895.6078,896.1577,897.3482,898.0927,898.481,898.7022,898.4359,896.86096,896.7938,896.12146,895.83417,895.9228,896.37836,896.7292,896.8845,896.9467,896.84955,896.42554,896.77966,896.7696,896.4626,896.1369,895.20496,895.6508,895.5193,895.9299,896.2008,895.4874,895.22186,894.7173,894.74817,893.9981,893.70374,894.28125,894.3894,894.78973,895.10315,895.07074,895.3328,895.65924,895.6094,895.2592,895.1517,894.7901,894.9638,895.436,895.66547,895.7659,896.1578,896.02405,896.62366,897.26447,897.43677,897.371,896.74414,895.7028,894.8684,894.38165,894.01166,893.9605,894.4307,895.2405,895.81696,896.06445,896.09534,896.0933,896.1551,896.0974,896.12823,896.1011,895.9852,896.1427,896.612,897.2656,897.7993,898.09247,898.2815,898.26587,897.8145,897.09216,896.54224,896.27203,896.19244,896.14417,896.1082,896.102,896.1697,896.2126,896.24347,896.2548,896.25854,896.2228,896.225,896.158,896.0411,896.0903,896.4138,896.9229,897.2248,897.2,896.96533,896.79724,896.6957,896.6433,896.50885,896.4664,896.3231
2025-11-14 00:51:21+00:00,2025-11-14 00:00:00+00:00,901.6382,900.2022,899.62213,899.5264,899.6768,899.2938,898.691,897.7917,897.4927,896.9771,896.69354,896.31464,896.30115,896.6601,896.96063,897.6665,899.5448,900.8925,901.057,901.3553,901.2081,900.9745,901.0811,900.2507,899.06726,898.16656,898.43274,898.2602,897.9224,897.90784,897.57025,897.2238,896.5294,896.0984,895.7615,895.88074,896.023,896.5835,896.72437,897.4486,899.474,900.9478,901.8548,897.6372,896.74915,895.51733,895.84,895.94543,895.6354,895.99896,896.77576,896.7809,896.3979,896.8621,896.7404,895.7733,895.7356,895.6551,895.36273,895.12103,894.5781,895.0876,895.1897,895.2592,895.2782,895.08453,894.95807,895.1675,895.0974,894.5772,894.7914,894.5656,894.8784,895.3306,895.8892,895.82416,895.41223,895.25195,895.18677,895.48254,895.26733,894.89764,894.6023,894.27924,894.2518,894.2626,894.6073,895.7321,896.4116,896.7472,896.38837,895.5739,894.7158,894.3457,893.84784,893.64307,893.37317,893.05096,893.1828,894.13635,894.47076,894.4637,894.72394,894.14105,894.0028,894.1867,894.05273,893.55005,893.88043,893.84204,893.2911,893.52295,893.88043,894.29395,894.7563,894.4897,893.9882,893.47577,893.0739,892.7667,892.54504,892.60486,892.8385,892.86237,892.5897,892.1982,891.98254,892.23663,892.6257,892.87714,892.7803,892.44037,892.3343,892.62897,893.0704,893.2959,893.05115,892.61,892.15894,891.7767,891.4728,891.2565,891.15796,891.23596,891.4709,892.0396,892.6964,893.35315,893.82306,894.1356,894.3122,894.2857,894.12024,894.0304,893.9891,893.91833,894.12317,894.8484,895.78125,896.6279,897.29755,897.86835,898.1101,897.73175,896.96735,896.3918,896.23883,896.2741
