forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:50:15+00:00,2025-11-05 00:00:00+00:00,900.75836,899.87024,899.2683,898.88824,900.0173,900.73126,900.47504,899.8128,900.1806,899.90955,899.3356,899.2606,899.38074,900.19604,900.2785,900.9209,902.908,903.7945,903.26953,903.5452,902.7491,901.86176,901.89734,900.9018,899.973,899.16797,899.3192,898.8816,898.555,898.4936,898.62225,898.2696,897.2341,896.81696,896.3494,896.23535,896.2784,896.85876,897.1239,897.93494,898.9277,899.54767,899.5859,899.6686,898.6069,897.54285,897.0814,896.8155,896.57916,896.17,896.61774,896.8459,896.6539,896.5992,896.4293,896.1511,895.81,895.7529,895.51917,895.3166,895.50525,895.7322,896.0474,896.9344,897.9874,898.1079,898.0547,897.5138,896.6842,895.81586,895.31915,895.0173,894.19336,893.88257,894.30365,894.3993,894.1814,894.3803,894.2809,894.1865,894.03546,894.1049,894.0671,893.90295,894.07336,894.26807,894.8554,896.20776,897.5763,897.7628,897.68787,897.26843,896.7033,896.34894,896.4373,897.09485,896.7012,896.43066,896.6615,896.98517,897.4703,898.16846,898.30255,898.42346,898.52484,898.892,899.1196,899.1325,899.67615,900.1621,900.73645,901.4638,902.5866,903.2789,903.4202,903.1281,902.38556,901.836,901.605,901.4793,901.4755,901.64197,901.9397,902.19995,902.33026,902.3627,902.3763,902.3334,902.36,902.33527,902.32916,902.44934,902.60754,902.90466,903.2585,903.70013,904.27386,904.8288,905.00824,904.51685,903.6479,902.8663,902.28015,901.67535,901.3339,901.1986,901.21234,901.20703,901.0347,900.8526,900.6893,900.3997,900.12885,899.965,899.8012,899.7447,899.8331,900.0986,900.4903,900.861,901.3929,901.9578,902.04376,901.5152,900.53955,899.6338,898.745,897.94214
2025-11-06 00:50:32+00:00,2025-11-06 00:00:00+00:00,900.6841,899.0824,898.67035,898.4948,899.05365,898.97876,898.783,897.26306,897.4214,897.26495,897.0759,896.85486,896.93677,896.9244,896.8234,897.0562,898.4851,899.2831,899.02435,899.05634,898.95795,899.10376,899.03436,898.8569,898.2844,897.54816,897.478,897.10114,896.79407,897.1482,897.52094,897.1154,896.5799,896.56555,896.45404,896.277,896.0767,896.277,896.79407,897.4377,898.1722,898.7682,898.89624,897.23114,896.1875,895.3545,895.07074,894.8398,894.1085,893.52826,893.8124,893.85065,894.1764,894.41785,894.3371,894.06024,893.947,893.8524,893.8714,893.7579,894.15546,894.48395,894.8812,896.2702,897.7798,897.8567,897.9213,897.696,897.1831,896.704,896.70337,896.7569,896.50684,896.4487,896.75,896.9297,897.3396,897.72095,897.94324,897.88684,898.0959,898.4439,898.6586,898.8482,899.35364,899.55566,900.1366,901.20483,902.4514,902.9979,903.1903,902.9326,902.3682,901.9249,901.9068,901.8892,901.3522,901.1335,901.4892,901.4494,901.5471,901.7887,901.6011,901.48804,901.46356,901.49536,901.2806,901.3438,901.5838,901.773,902.03156,902.6705,903.6339,904.1796,904.2275,903.8246,903.06146,902.3509,901.69415,901.0706,900.674,900.5915,900.6257,900.58716,900.46606,900.279,900.09106,899.8652,899.638,899.4672,899.22656,899.1311,899.1311,899.4034,899.859,900.3453,901.13257,901.95245,902.27264,901.8166,900.98346,900.13116,899.49146,898.8316,898.3466,898.0547,898.0074,897.8536,897.7389,897.7164,897.46094,897.0043,896.40155,895.92926,895.7524,895.77673,895.97815,896.33203,896.7744,897.3533,898.04175,898.85254,899.18536,898.79816,897.9288,897.2009,896.6678,896.34534
2025-11-07 00:49:46+00:00,2025-11-07 00:00:00+00:00,897.3599,896.50006,896.14575,895.5359,897.37665,897.3579,896.9992,896.4819,897.17145,897.0914,895.8713,895.1023,895.3641,896.6825,896.66376,896.91364,897.7582,898.5868,899.33844,899.2693,898.46985,898.39734,897.9884,897.51044,897.0317,896.417,896.4262,896.4418,896.31396,896.47003,896.8609,896.75085,896.1757,896.43774,896.55945,896.5779,896.66266,897.0496,897.8424,898.54486,899.7681,900.5579,901.0961,897.8036,897.1303,896.63275,896.68536,896.7216,896.3991,896.3206,896.8018,897.01825,897.4281,897.93536,898.15796,898.24066,898.4439,899.0251,899.3223,899.4234,899.8781,900.5094,900.99475,901.9499,903.30884,903.8594,904.05707,904.1388,903.5402,902.99066,902.9548,902.79504,902.31,902.20013,902.56683,902.6054,902.87994,903.1917,903.20496,903.1997,903.1564,903.2201,902.9993,902.90466,902.94867,902.94183,903.2194,904.0293,905.15424,905.25665,905.12964,904.6569,903.7362,902.88385,902.2086,901.87115,901.0319,900.95624,900.8914,900.6614,900.5408,900.32996,900.16077,899.7201,899.49927,899.4234,899.3598,898.81024,898.658,898.7585,899.11206,900.048,901.42633,901.9262,901.9897,901.5689,900.5931,899.7582,899.17206,898.72577,898.3466,898.1226,898.1228,898.0521,898.0061,897.98254,897.97784,898.0612,898.09357,898.0882,897.83044,897.5721,897.58484,898.1028,898.892,899.6407,900.49243,901.2694,901.6374,901.2673,900.5751,899.9359,899.61597,899.4188,899.3073,899.20715,899.1675,899.09174,899.11487,899.17944,899.2253,899.08765,898.8611,898.6904,898.5069,898.46893,898.59534,899.20197,899.954,900.84424,901.7711,902.8207,903.31903,903.05927,902.3332,901.6052,901.0897,900.6433
2025-11-08 00:45:46+00:00,2025-11-08 00:00:00+00:00,897.42163,895.49005,895.3576,894.5571,896.43317,896.62537,896.729,895.9431,895.9911,895.8061,895.28455,895.13074,895.6994,896.397,896.6008,897.8564,899.9404,900.8403,900.7951,900.76117,900.2985,900.2446,900.227,899.8374,899.4099,898.6836,898.97534,899.18915,899.32983,899.84924,900.3183,900.3498,900.4879,900.57367,900.6926,900.70795,901.00336,901.3353,901.66296,901.88556,902.6672,903.8541,904.5937,903.5898,903.0075,902.5286,902.4218,902.3333,901.92145,901.7623,901.9176,902.13416,902.44214,902.66547,902.6467,902.59064,902.38983,902.45404,902.2147,902.0828,902.20306,902.28546,902.5252,903.37103,904.56085,904.65955,904.70746,904.16174,903.2926,902.4218,901.9234,901.6928,901.1057,900.4031,900.3523,900.32587,900.11694,900.177,899.75616,899.57916,899.4286,899.1952,899.13837,898.7536,898.52594,898.3424,898.25946,899.3588,901.1517,901.36206,901.15533,900.644,899.75775,899.0481,898.7816,898.4796,897.6746,896.91254,897.2365,897.45624,897.4979,897.41235,896.9965,896.8459,896.7702,896.82697,896.78253,896.66833,896.6613,896.97656,897.3612,898.40594,900.25934,900.9871,901.20935,900.89386,899.98895,899.2787,898.8522,898.5127,898.25793,898.11993,898.04175,897.9642,897.91656,898.0559,897.981,897.7927,897.49634,897.345,897.25006,897.2121,897.4269,897.926,898.58936,899.3023,900.17725,901.0845,901.5102,901.1422,900.2911,899.54504,899.06573,898.7803,898.45624,898.21356,898.0122,897.7919,897.7073,897.7019,897.62714,897.42584,897.2619,897.07916,896.7702,896.5303,896.4923,896.79553,897.4397,897.994,898.639,899.31396,899.5954,899.1366,898.2843,897.5205,896.97034,896.4192
2025-11-09 00:52:33+00:00,2025-11-09 00:00:00+00:00,900.2086,898.0607,897.8877,898.2236,899.7178,899.98364,900.61035,900.20074,900.3231,900.3015,900.58234,900.4865,900.53424,901.24286,901.64874,902.6496,904.1857,904.78815,905.1581,905.36005,905.1482,905.0766,904.88086,904.57935,904.1882,903.64026,904.2248,904.5132,904.6317,904.9262,905.1188,905.403,905.11536,905.308,905.4447,905.33777,905.29694,905.40015,905.82025,906.0836,906.70514,907.30365,907.507,904.1969,903.257,902.5462,902.10175,901.90686,901.4755,900.8213,900.84296,900.59686,900.6893,900.5713,900.40186,900.1433,899.97925,899.35364,899.3978,899.09454,898.6701,898.57465,898.8442,899.9286,901.85443,902.0149,902.059,901.61945,900.7692,900.2019,899.9353,899.29486,898.6092,898.38855,898.7394,898.5834,898.31824,898.2705,898.11237,897.5837,897.3575,897.64777,897.6098,897.2818,897.62286,897.59106,898.3554,898.91644,900.24146,900.596,900.90845,900.4665,899.9704,899.1358,898.6736,898.05005,897.7604,897.7231,897.7389,898.1157,898.01495,898.3415,898.1596,897.9315,897.5677,897.34265,897.0529,896.7442,896.65576,896.6438,896.98474,897.57605,898.7465,899.19354,898.9856,898.22614,896.89545,895.70514,894.9569,894.3655,893.8945,893.68365,893.60834,893.39343,892.9972,892.55493,892.0937,891.716,891.4771,891.1117,890.63837,890.2152,889.8599,889.76074,889.88544,890.1325,890.7486,891.469,891.9151,891.6193,890.9435,890.4251,890.1027,889.82996,889.72546,889.8678,890.1738,890.4658,890.777,891.0984,891.3112,891.3756,891.4193,891.52234,891.66547,891.7402,892.1127,892.83,893.64856,894.5391,895.4026,896.153,896.5324,896.32806,895.6701,895.12177,894.82495,894.5535
2025-11-10 00:53:08+00:00,2025-11-10 00:00:00+00:00,903.72626,902.05524,902.58167,903.32196,904.6182,904.0266,904.86127,904.4361,905.07245,905.562,905.0971,904.828,905.1789,905.75867,905.52563,905.98016,907.0313,907.66547,907.79333,907.70654,906.99554,906.729,906.39136,905.6278,904.8975,904.1518,904.4461,904.3728,904.4432,904.0853,903.8645,903.7721,903.0595,903.1811,903.13995,902.81866,902.7628,902.74,902.62805,902.7585,902.9669,904.2089,904.7533,901.15936,900.1841,899.4208,898.90576,898.3544,897.7565,896.9459,897.69354,897.7449,897.8617,897.908,897.51654,897.15753,897.16754,897.147,896.85175,896.61194,896.8206,896.6818,897.5029,898.09357,899.9199,899.7296,899.71985,899.36633,898.5862,897.78705,897.1108,896.6652,896.2509,895.8806,896.3544,896.1671,896.5177,896.17,895.71405,895.4064,895.18695,895.09344,894.9111,894.43115,894.2995,894.275,894.3575,895.1683,896.2504,896.23285,895.6885,894.87463,893.89886,893.2241,892.62,892.12134,891.583,891.28595,890.77264,890.3664,890.05493,889.5473,888.96875,888.54004,888.35767,888.96497,889.40076,889.52045,889.6687,889.52545,889.70337,890.2325,890.14197,890.329,890.6146,890.24023,889.58746,889.208,889.1532,889.2676,889.4755,889.6418,889.8766,890.20325,890.56555,890.93713,891.30786,891.7264,892.21234,892.669,893.14526,893.6612,894.29803,895.0351,895.8929,896.80164,897.7693,898.6916,899.24347,899.17444,898.8293,898.3998,898.1155,897.8756,897.7861,897.8455,898.08954,898.23065,898.2608,898.261,898.1232,897.91693,897.6218,897.3665,897.2675,897.188,897.2566,897.58044,898.0521,898.45654,898.8384,899.1403,899.01245,898.27844,897.19495,896.2637,895.537,894.9266
2025-11-11 00:50:22+00:00,2025-11-11 00:00:00+00:00,904.00977,902.36005,902.4802,902.14105,903.8255,904.0396,904.08203,902.1257,901.557,901.642,901.2614,901.1543,900.88446,901.21576,901.5655,901.98,902.3137,903.6101,904.8428,904.61456,903.44305,903.3008,903.01636,902.253,901.6108,900.9155,900.3685,899.8147,899.6153,899.8257,899.80725,899.41174,899.0206,899.09045,899.1605,899.1934,898.965,899.24475,899.7201,899.7201,900.4753,901.90295,902.36975,899.68414,898.9583,898.17773,897.982,897.7148,896.9244,896.4914,896.9752,896.888,896.888,897.11615,897.0694,897.30664,896.82245,896.9297,896.8823,896.63934,896.5693,896.2028,896.53284,897.32587,898.438,898.509,898.1225,897.5199,896.41956,895.621,894.964,894.58984,894.0324,893.8945,894.00104,894.25916,894.292,893.96686,893.40814,893.2638,893.29156,892.611,893.04443,892.6258,892.7089,890.85944,890.56665,890.1219,891.0034,890.66205,890.38684,889.87604,889.0928,888.5205,887.7207,887.905,888.25073,888.5629,889.47675,890.16394,890.43176,890.7738,890.4042,890.23846,889.9949,890.0651,889.8407,889.82104,889.7812,889.9763,890.28955,890.42444,890.7987,891.0937,891.09467,890.64435,890.0354,889.48474,889.2006,889.0842,889.14374,889.5758,890.20325,890.7717,891.1038,891.2197,891.3739,891.3911,891.3593,891.3476,891.3075,891.3756,891.5918,892.2006,893.0054,893.7735,894.36633,894.8784,895.0826,894.7638,894.0504,893.55396,893.3772,893.2434,893.2976,893.46954,893.739,893.9076,894.03546,894.0454,894.055,893.9764,893.8292,893.6624,893.5638,893.3572,893.3659,893.5908,893.85535,894.19,894.5747,894.93427,894.9952,894.38025,893.3843,892.55756,891.9703,891.5719
2025-11-12 00:49:35+00:00,2025-11-12 00:00:00+00:00,901.09155,899.5957,899.35333,899.23883,899.2903,899.48584,899.05756,898.2893,898.8991,899.11316,898.75073,898.82056,898.8906,899.939,899.9717,900.25134,901.4648,902.7716,902.8297,903.1723,902.2152,901.79034,901.4712,900.88434,900.0435,899.6745,900.05725,899.9991,900.1506,900.17596,900.18585,900.11145,899.5246,899.49176,899.15625,898.87195,898.65314,898.8347,899.6642,900.11615,900.7229,901.4231,901.3398,899.065,898.26654,897.5209,896.899,896.3112,896.00476,895.77094,895.824,896.20026,896.3811,896.5545,896.17,895.8628,895.7884,895.8628,895.0663,894.809,894.9588,895.2294,895.4949,896.0956,896.79736,896.9343,896.77106,896.31824,895.5315,895.1485,894.9567,894.4769,894.4546,895.1176,895.2433,895.28357,895.6076,896.8704,896.72534,896.9659,896.5492,895.58276,894.4135,893.35803,892.96643,892.56274,892.7276,892.5195,892.2835,892.3671,891.0658,889.991,889.592,889.6878,890.18933,890.1177,890.5669,890.713,891.2313,891.1297,890.93567,891.01495,891.0255,891.09424,891.30035,891.4182,891.3792,891.2614,891.1038,891.3292,891.8396,892.22205,892.73145,893.1317,893.14056,892.89276,892.34106,891.90735,891.68097,891.46576,891.40796,891.5768,891.7755,891.9242,891.9155,891.8572,891.81824,891.7883,891.8854,891.79706,891.6028,891.2223,891.1146,891.3204,891.62415,892.0459,892.5048,893.00885,893.16693,892.854,892.2676,891.76227,891.617,891.535,891.52155,891.5767,891.70013,891.8112,891.8304,891.9265,891.8768,891.81903,891.7034,891.5684,891.3557,891.0345,890.9866,891.2315,891.6626,892.1219,892.68604,893.16693,893.37213,892.87384,892.1031,891.41455,891.05505,890.9731
2025-11-13 00:49:52+00:00,2025-11-13 00:00:00+00:00,899.69977,898.7918,898.8737,898.22754,899.3004,899.543,899.543,898.8489,898.7229,898.9701,898.8302,898.54584,898.63434,899.09576,899.4545,899.4219,900.3462,901.2912,901.09436,900.99054,900.601,900.4058,900.24585,899.69434,898.74603,897.9394,897.8732,897.77673,897.4835,897.09235,897.02686,896.7753,896.12317,895.98157,896.2035,895.98315,895.8795,896.18787,896.42084,896.6863,897.66986,898.3643,897.6998,897.48627,896.46967,895.702,895.5583,895.12585,895.3361,895.27594,895.62067,895.62067,895.3344,895.4283,895.2479,895.192,895.192,894.6374,894.1012,893.24884,893.305,893.29156,893.2998,893.3022,893.6429,893.32654,893.3511,891.94507,890.39856,890.88403,891.09174,891.2603,892.2205,892.7768,892.55914,892.77435,893.0523,893.1105,892.5701,892.3075,892.16077,892.1024,891.96625,891.4768,891.79706,891.513,891.4667,892.02563,892.39703,892.2021,892.3005,892.2114,891.89136,891.98425,892.3375,892.2606,892.10657,892.2296,892.6034,893.12366,893.41785,893.55505,893.4963,893.7998,893.47675,893.1336,893.2121,893.03564,892.8592,893.3965,893.6808,893.85736,894.35504,894.86053,895.1562,894.67175,893.8262,893.03076,892.4244,891.9373,891.53845,891.4043,891.42737,891.469,891.5107,891.5517,891.58185,891.65936,891.68726,891.7064,891.4742,891.2121,891.1538,891.5948,892.24176,892.8197,893.3976,893.926,894.1506,894.0019,893.56903,893.235,893.06934,893.1105,893.11224,893.25085,893.45734,893.6821,893.8085,893.906,893.98303,894.14856,894.2256,894.30237,894.27075,894.1508,894.17865,894.4232,894.8835,895.3081,895.79486,896.30914,896.4566,896.07306,895.2379,894.5703,894.0322,893.5535
2025-11-14 00:50:12+00:00,2025-11-14 00:00:00+00:00,899.1949,897.13525,897.33417,897.7107,898.242,898.22754,897.3602,896.7325,896.6955,896.4212,896.28156,896.50977,896.65424,897.4641,897.79395,898.2009,898.9133,899.48895,899.85425,899.9006,899.52783,899.6375,899.65674,898.7849,898.30084,897.89636,898.27856,898.57794,898.4156,898.14636,897.96185,897.76215,897.15686,897.16473,896.7736,896.5925,896.3327,896.7382,897.0689,897.5163,898.40625,898.83435,898.1624,894.84344,893.63135,892.1209,891.742,890.49774,890.0527,890.7592,891.3035,891.37744,891.98425,892.31055,892.1109,892.126,891.746,891.5349,891.4849,890.9118,890.30725,890.81744,891.3081,891.3081,891.66504,891.8382,891.8151,891.6842,891.414,891.04175,890.73834,890.624,890.25604,890.4401,890.65814,890.98346,891.2693,891.4667,891.8788,891.6829,891.59467,891.7124,891.10474,890.9382,891.0363,890.45807,890.6639,891.05566,891.8528,892.3335,892.2404,891.7174,891.0034,890.4612,889.89294,889.4373,888.682,888.77673,888.76807,889.12115,889.2801,888.4783,887.95807,888.2981,888.41473,889.1706,888.935,888.5967,888.9855,888.98126,888.99646,889.253,889.8815,890.28754,890.4963,890.2522,889.75244,889.2821,889.03687,888.90955,888.9,888.9683,889.17236,889.30707,889.5206,889.6853,889.78186,889.80994,889.6619,889.60205,889.5699,889.4972,889.5928,889.8367,890.31714,890.7425,891.38763,892.0813,892.5159,892.3887,891.91693,891.5235,891.2587,891.0539,890.9866,891.19293,891.5158,891.7882,891.98224,892.0391,892.09607,892.0244,891.97217,891.98016,892.1764,892.4527,892.8173,893.3177,893.8383,894.4186,895.03015,895.6316,895.76044,895.2018,894.19214,893.4079,893.0936,893.0729
