forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:49:53+00:00,2025-11-05 00:00:00+00:00,842.1443,840.8967,840.8432,840.5956,841.1452,841.86285,841.8079,841.0897,839.9235,839.9569,838.82465,838.9676,838.73517,839.254,839.85474,842.08374,844.3973,845.4384,845.342,845.1763,845.22516,845.4191,845.467,844.5318,841.99164,841.15436,840.8316,841.15436,839.95404,838.7227,838.50146,838.0265,836.9381,836.4676,835.47815,836.463,836.4268,836.52924,836.31995,837.29584,839.5143,841.0357,841.7932,838.7175,837.812,836.907,836.7713,836.622,836.6732,837.29,837.2179,837.57916,837.99347,837.88544,837.749,837.55646,837.47253,837.1936,836.80304,836.5774,836.71063,836.8976,837.2533,838.03723,838.1302,837.9695,838.0769,837.8172,837.3334,836.8288,836.4439,836.20306,836.16364,836.42035,836.45166,836.39886,836.45496,836.6201,836.2337,836.1777,836.0103,836.0085,836.0074,836.06067,836.44385,836.65985,837.0985,838.4034,838.7681,838.8203,838.8144,838.50275,838.298,838.3173,838.4804,838.84607,839.27496,840.1412,840.0625,840.63904,841.5199,842.4265,841.81757,842.0904,842.2227,843.4018,842.8982,842.5868,843.3135,843.68646,844.3952,845.4654,846.1521,846.55615,846.42474,846.0964,845.6546,845.26746,845.18536,845.26917,845.3523,845.40607,845.5954,845.6174,845.5284,845.4943,845.40515,845.4,845.4517,845.5028,845.3861,845.21155,845.26196,845.5629,845.9783,846.3212,846.5646,846.80524,846.73016,846.0404,845.0997,844.32434,843.8559,843.55554,843.4208,843.4229,843.5887,843.6423,843.4193,843.1406,842.8067,842.58246,842.35767,842.1606,841.8242,841.4869,841.37366,841.62354,842.1513,842.4644,842.58704,842.51276,842.29297,841.8709,841.1901,840.62384,840.1322,839.6789
2025-11-06 00:50:07+00:00,2025-11-06 00:00:00+00:00,840.9244,839.62036,839.1539,840.3145,839.98706,839.7686,839.2453,837.53375,837.9731,837.11206,835.3861,835.6966,836.4408,835.9872,836.26953,836.4374,839.12836,840.78815,841.52106,842.14655,842.1505,841.8751,841.3844,840.8436,839.28937,838.4476,838.58344,838.39087,837.89343,838.274,838.85156,838.32446,837.5789,837.30347,835.6713,835.0215,834.9278,835.1419,835.5858,836.2628,838.0784,839.1359,839.26825,837.7764,837.00977,836.4499,835.8994,835.2786,835.4132,835.8661,835.9797,836.01,836.14966,836.1239,836.28973,836.0694,836.014,836.0398,835.7062,835.64935,836.00616,836.63806,837.15967,838.3509,838.6855,838.463,838.5934,838.6647,838.1834,838.0929,838.0929,838.20776,838.77637,839.1776,839.31885,840.08954,840.49884,841.0189,841.6246,841.70416,842.1962,842.62933,842.46014,842.61774,843.1324,843.59235,844.5424,846.0258,846.34534,846.2167,845.8678,845.59906,845.1593,844.9098,844.9631,845.2933,845.3244,845.7098,845.817,845.67584,845.69836,845.776,845.35754,845.2968,845.34607,845.2583,845.2525,845.3292,845.3763,845.5307,845.7164,846.65686,847.18085,847.0273,846.7297,846.1509,845.29236,844.5713,844.13025,843.9126,843.69556,843.56036,843.5337,843.4494,843.22614,842.86505,842.53094,842.36127,842.21875,841.9936,841.65674,841.34784,841.2628,841.53845,842.03796,842.434,842.6975,842.73425,842.7317,842.49835,842.1185,841.5803,840.926,840.11786,839.60754,839.53174,839.7291,839.84143,839.81445,839.7595,839.6769,839.5654,839.3431,839.2031,839.0916,838.87067,838.95325,839.28326,839.83435,840.33276,840.75037,841.1354,841.2385,840.8694,840.2228,839.6377,839.09454,838.50275
2025-11-07 00:49:23+00:00,2025-11-07 00:00:00+00:00,837.9922,837.1257,835.3911,836.95844,837.3972,837.8603,837.3876,837.71576,838.48773,837.9011,836.14874,834.9746,835.01764,835.9187,835.6558,835.72565,837.99286,839.6316,840.2588,840.4608,840.05615,839.739,839.4572,838.7537,837.08685,836.3272,836.05066,835.9125,835.58,836.2133,836.29285,836.04004,835.4,835.5066,836.2243,836.49554,836.5119,836.94684,837.46356,838.91833,840.98096,841.72473,841.94165,838.3066,837.828,837.4915,837.5983,837.7374,838.3894,838.9295,839.2913,840.11707,840.6945,841.3523,842.06244,842.1138,842.13837,843.20856,843.44965,843.5838,844.07294,844.6729,845.5192,846.85583,846.9574,846.9663,846.6424,846.5923,846.20496,845.70306,845.78687,845.5697,845.683,846.3427,846.699,846.5852,846.6641,846.82434,846.5709,846.28876,846.1166,845.9689,845.7696,845.62695,845.6739,845.3335,845.3506,846.54297,846.9293,846.3897,846.122,845.54504,845.0136,844.7233,844.334,843.7084,843.14374,843.3402,843.0651,842.8442,842.67664,842.42444,842.0343,841.6187,841.2555,841.0604,840.6416,840.44385,840.1888,840.2939,840.50946,841.5833,842.37335,842.40393,842.12616,841.7566,841.15857,840.6209,840.1322,839.681,839.44507,839.4784,839.7298,839.9243,839.9248,839.95184,839.89575,839.8941,839.7809,839.69464,839.46906,839.2703,839.2945,839.68066,840.3182,840.8762,841.381,841.90796,842.0419,841.6755,840.9482,840.4178,840.1714,840.1241,840.1041,840.24805,840.5553,840.6956,840.7512,840.6682,840.6119,840.6657,840.7466,840.7992,840.60223,840.2939,840.3182,840.84106,841.7803,842.4751,842.97943,843.34064,843.44543,843.04926,842.4014,841.9232,841.86993,842.01636
2025-11-08 00:45:29+00:00,2025-11-08 00:00:00+00:00,836.1783,834.62024,834.6736,834.58984,835.60693,835.6292,835.7647,835.1826,834.66895,834.2687,834.46497,834.7148,835.038,835.7757,836.234,838.05676,840.3975,841.5322,841.85895,841.9588,842.03253,841.9163,842.055,841.7053,840.6777,839.792,840.2047,839.9801,839.94,840.0368,840.6111,840.392,840.0059,840.27875,840.71906,840.96625,841.45435,841.83124,842.0714,843.57043,845.1077,845.5766,846.2152,845.683,845.3214,845.09235,845.47107,845.307,845.15405,845.5999,846.01373,845.9858,845.92896,846.0093,845.64905,845.5347,845.4477,845.0839,844.7477,844.6889,844.68115,844.64435,844.7205,845.9588,846.2829,845.92993,845.6002,845.18146,844.69446,844.1267,843.59686,842.94464,842.4712,842.67365,842.48505,842.1836,841.99054,841.96185,841.5745,841.2698,841.04675,840.5476,840.04803,839.8234,839.8475,839.6783,839.53723,840.71265,841.4121,841.2445,841.0687,840.7978,840.1176,839.47406,839.1758,838.9959,838.6067,838.97705,839.2847,839.3148,839.317,839.4832,839.31854,839.40155,839.3736,839.4275,839.31616,839.06476,838.9772,839.218,839.79126,840.991,841.9081,841.8785,841.6793,841.1716,840.3593,839.77124,839.5254,839.5066,839.5154,839.66156,839.94415,840.0867,840.11646,840.1175,840.0073,839.97906,839.8391,839.7541,839.5855,839.44403,839.5794,840.1024,840.9027,841.5687,841.9063,842.1276,842.1475,841.7493,841.15594,840.67737,840.43134,840.3593,840.3147,840.4065,840.63446,840.69415,840.6409,840.47546,840.33655,840.25195,840.1945,840.0819,839.8581,839.63403,839.60406,839.93396,840.4588,840.9336,841.19086,841.2445,841.0656,840.3593,839.32135,838.42957,837.6104,836.9116
2025-11-09 00:52:17+00:00,2025-11-09 00:00:00+00:00,841.1994,839.7673,839.3224,838.98254,839.554,840.6494,840.20416,840.2815,839.81525,840.11395,840.51984,841.6446,841.8885,841.9169,842.37897,844.086,845.86865,846.5396,847.042,847.703,848.16187,848.34186,848.30597,847.7349,846.2426,845.35846,845.2705,845.10266,844.8501,845.0658,845.0638,844.7858,844.56464,844.4466,844.3819,844.06506,844.1157,842.96344,843.34015,844.9451,846.3687,847.27325,847.70184,845.1847,844.48553,844.16595,843.7443,843.3105,842.8084,842.95355,842.8172,842.67896,842.5394,842.39856,841.95465,841.5938,841.2341,840.78876,840.5352,840.392,840.0833,839.91595,840.2427,841.3661,842.23724,841.79767,841.5455,841.33325,840.8964,840.3631,840.1143,839.6827,839.354,839.6417,839.59106,839.70306,839.48413,839.23566,839.2351,838.90393,838.87476,839.12146,839.09283,839.00793,839.19653,839.5296,840.5489,841.3523,841.5224,842.0152,841.8964,841.35815,840.74164,840.0142,839.9046,839.9397,839.60236,840.0469,840.164,840.2774,840.44366,840.61017,840.58466,840.50287,840.0345,840.00555,839.81055,839.45074,839.5855,839.8581,840.3252,841.18884,841.6872,841.6497,841.46545,840.86664,839.9383,839.23737,838.9055,838.63763,838.4824,838.2999,838.2024,838.01776,837.801,837.4452,837.03577,836.4641,835.9203,835.3194,834.689,834.0855,833.7561,833.894,834.25134,834.27814,833.6983,832.7042,831.62683,830.3006,828.837,827.7351,827.2446,827.0319,827.03894,827.1258,827.3426,827.691,828.14825,828.7436,829.11847,829.1918,829.0996,829.17456,829.471,829.90674,830.28503,830.59644,831.0119,831.3591,831.90125,832.56616,832.92194,832.8561,832.5125,832.2985,832.3528,832.5125
2025-11-10 00:52:44+00:00,2025-11-10 00:00:00+00:00,844.9764,843.8403,844.1147,844.8042,844.80054,844.7096,844.21277,844.5688,844.86633,844.96967,843.9098,842.43054,841.80225,842.62415,842.84143,843.6658,846.17816,847.5851,848.3663,848.30725,848.1551,847.89374,847.5572,846.48694,844.3136,843.4579,843.4797,843.28375,843.09076,842.7312,842.8991,842.2344,841.56323,840.773,840.37726,839.8661,839.39825,839.75165,839.57825,839.5204,841.561,843.1545,844.0111,840.4924,840.22516,840.1236,839.89856,839.43976,839.05695,839.1757,839.20703,839.12604,838.98816,839.0419,838.81915,838.76263,838.679,838.62054,838.7016,838.5352,838.7531,839.13556,839.46326,840.3839,841.24603,841.24603,841.4311,840.86334,840.2979,839.57007,839.40424,838.9748,838.3121,838.4858,838.7612,838.6532,838.57227,838.7086,838.29834,837.7765,837.8592,837.9142,837.5834,837.38995,837.4991,837.1936,837.4098,838.13306,838.3516,837.9538,837.64905,836.6773,835.66565,834.55194,834.054,833.5607,832.4587,832.5622,832.4044,832.2188,832.1689,831.7338,831.21484,830.7188,830.1443,829.29285,828.30585,827.2074,827.0149,826.9298,826.6805,826.3246,827.1728,828.42737,829.3225,827.88403,825.61304,824.06586,824.2825,825.2193,826.0432,826.25226,826.2871,826.34717,826.5004,826.55023,826.73505,826.96844,827.14294,827.31604,827.24146,827.05396,827.1764,827.90784,828.8915,829.9472,831.0267,832.0605,832.8084,832.9683,832.7645,832.7169,832.9608,833.2798,833.84424,834.6832,835.68524,836.57996,837.15015,837.5319,837.8023,837.9851,838.056,838.156,838.2851,838.496,838.7128,839.1001,839.4638,839.7573,839.7901,839.6636,839.4192,838.81104,838.0035,837.43353,837.2406,837.4004
2025-11-11 00:50:00+00:00,2025-11-11 00:00:00+00:00,842.7997,841.77155,841.3779,840.99005,841.21295,842.015,841.7622,841.04034,840.4328,839.8436,838.74927,838.04816,837.38257,837.94214,838.27563,838.0736,840.2585,841.66644,843.48846,843.48157,843.5194,843.74567,843.8927,842.7803,840.48236,839.4917,838.88074,838.07697,837.5228,837.71576,837.8543,838.02094,837.8015,838.0784,838.06995,837.0171,836.5482,836.8729,837.29224,838.4293,840.42615,841.86206,842.8695,841.1292,840.36633,839.8058,839.50415,839.1911,838.82806,839.1397,839.4723,839.3947,839.6993,839.48175,838.9332,838.85077,838.71204,838.6562,838.29767,838.32385,837.963,838.31976,839.0065,840.0334,840.3923,840.4679,840.39954,839.6644,838.81744,838.55475,838.2192,837.7891,836.94836,837.3421,837.26483,837.35077,837.29803,837.1598,837.0756,836.7786,836.55975,836.233,835.5188,835.271,835.4363,835.38104,835.4912,835.84937,835.4618,835.1269,835.33453,835.01715,835.2895,834.8782,834.50934,833.2507,832.8978,832.2417,831.5553,830.7532,830.5281,831.13776,831.05426,830.94275,830.6976,830.4493,830.31305,830.2019,830.613,830.33264,830.7488,830.47095,830.3073,830.0057,829.5122,828.6043,827.39343,826.48456,825.905,825.4901,825.43243,825.8163,826.39276,826.941,827.1841,827.316,827.47546,827.6118,827.7764,827.9409,828.1596,828.4319,828.67596,828.9704,829.1533,829.3428,829.26733,829.22644,829.07513,829.0356,829.0741,829.133,829.3532,829.5722,829.9276,830.4749,831.1303,831.6477,831.891,832.0795,832.1854,832.34784,832.5099,832.6435,832.69147,832.68225,832.7574,832.97217,833.2973,833.5229,833.62225,833.6987,833.54834,833.09033,832.46246,832.05084,831.94055,831.9956
2025-11-12 00:49:16+00:00,2025-11-12 00:00:00+00:00,839.35284,837.6192,836.7586,837.3876,837.5789,837.4185,837.3624,837.77484,837.77185,837.2093,836.5633,836.28217,835.6146,836.1492,836.3485,837.5639,839.6062,841.06055,842.5494,843.086,842.87646,842.58765,842.555,842.06647,840.69476,839.9331,839.7143,840.20984,840.0996,839.6525,839.3439,839.5116,839.14923,839.2037,839.0614,838.6971,838.1565,837.94434,838.62787,839.04663,841.2989,842.33,842.6862,841.263,840.66156,840.10065,839.6631,839.3978,838.9583,839.1363,839.30676,839.2553,839.44904,839.3403,839.23145,839.01373,839.09644,839.043,838.6304,838.40924,838.2699,838.43494,838.9564,839.4825,839.73175,840.2183,840.17786,839.4304,838.8653,838.27954,838.1138,838.03375,837.72485,837.9216,838.1194,837.6303,837.60645,837.44366,837.03143,836.70276,836.3172,836.3166,835.98553,835.544,835.71014,835.90295,836.1223,836.6472,836.9224,836.9992,836.96246,836.6439,836.1071,835.35864,834.83484,833.7507,833.4558,833.8158,833.3605,833.6371,833.79956,833.44586,833.41486,832.89874,832.1868,832.10376,832.2157,831.3305,831.0109,832.2355,831.77814,830.97626,831.20996,832.09283,831.9854,831.7337,831.14325,830.85785,831.05615,831.4248,831.788,832.1177,832.3612,832.5761,832.6514,832.61505,832.6062,832.6252,832.7003,832.75024,832.8325,833.02936,833.2798,833.7198,834.3241,834.825,835.1133,835.37683,835.38794,835.0639,834.5722,834.2995,834.35645,834.68744,834.93494,835.1522,835.33923,835.4704,835.63104,835.737,835.7887,835.8402,835.9199,835.91693,835.9142,835.9112,835.90796,836.0125,836.0879,836.1735,836.2181,836.3207,836.2245,835.8193,835.2987,834.8848,834.6644,834.66504
2025-11-13 00:49:35+00:00,2025-11-13 00:00:00+00:00,840.0152,838.55743,838.80475,838.6074,839.24194,839.0964,838.71027,838.29297,838.3957,838.1366,837.8528,837.6471,838.28064,838.5777,838.6779,839.47437,841.8855,843.0746,843.12195,843.21277,843.3281,843.2589,842.8406,841.7791,840.276,840.3652,840.50476,840.4789,839.92786,839.51904,839.5175,838.72266,838.22687,837.53143,837.5555,837.2755,837.131,837.2093,837.3741,838.3831,839.4385,840.7017,841.50653,839.9986,839.4012,838.9467,838.69794,838.3829,837.9981,838.2257,838.3137,838.4822,838.4291,838.4314,838.1308,838.1588,837.85754,837.63885,837.3636,836.75714,836.78485,836.64685,836.9771,837.61127,837.9669,838.1768,837.9732,837.21893,836.46533,835.93866,835.36707,835.1533,834.8089,835.40906,835.7961,835.9886,835.96387,835.0442,835.28705,834.8817,835.2354,835.1269,834.6883,834.1676,833.702,833.4261,834.05994,833.5071,833.066,832.4879,831.7161,830.34143,829.12885,828.7743,828.386,829.95624,830.0803,830.77405,831.7418,833.004,833.4975,833.5992,833.7269,834.32416,834.1507,834.64465,834.7269,835.4848,835.67816,835.7148,836.1735,836.9561,837.35895,837.4547,837.1581,836.58484,835.8167,835.26764,835.32404,835.57214,835.90234,836.1208,836.39185,836.5528,836.5774,836.4654,836.3809,836.1859,835.9369,835.76996,835.7135,835.7394,835.76526,835.7887,835.78345,835.809,835.7297,835.59814,835.4403,835.0902,834.62946,834.413,834.69,835.2415,835.8193,836.3127,836.80426,837.1846,837.4264,837.50275,837.6061,837.6834,837.7063,837.7003,837.4721,837.16113,837.04315,837.3108,837.85394,838.1785,838.1455,837.97656,837.84546,837.92316,837.9788,838.07733,838.08167,838.08167
2025-11-14 00:49:46+00:00,2025-11-14 00:00:00+00:00,839.91437,838.79926,837.81305,838.83276,838.77734,839.3829,839.02356,838.4475,837.38916,836.55,836.4676,836.4153,837.30347,837.4587,836.92096,837.6819,838.9097,840.09985,842.04004,842.53156,842.53156,842.6779,842.4817,841.5585,839.76697,839.20807,839.40643,839.8182,839.57184,838.6951,838.6676,838.3916,837.9791,836.1737,835.69525,835.4178,835.4076,835.6743,835.34674,835.80743,838.22253,839.98706,840.58185,837.43555,836.5688,835.8165,835.6541,835.3911,834.8296,835.33044,835.63464,835.1487,835.3969,835.83264,835.8561,835.7262,835.3998,834.9626,834.41656,834.0323,833.83954,833.5636,833.3156,833.26135,833.09607,831.693,830.7847,828.41626,826.3383,826.91833,828.6534,829.01404,829.2318,830.28217,830.9061,831.4248,832.0773,832.1547,832.03876,832.24854,832.13153,832.53577,832.668,832.5535,832.7141,833.18274,833.4541,834.07733,834.3153,834.54803,834.6462,834.1612,833.5852,833.11707,832.73254,832.817,833.03754,833.22736,832.77875,832.46967,831.5962,831.68396,831.6272,831.7069,831.48553,831.2801,830.91223,831.65015,832.3853,832.2655,832.2289,832.5715,832.1662,830.642,830.5799,829.69824,828.8412,828.3692,828.6423,829.21875,829.7363,829.80536,829.72894,829.7344,829.88586,830.12305,830.2248,830.18567,830.0642,829.9713,829.88354,829.7959,829.76666,829.7611,829.8665,829.9543,830.11176,830.30206,830.32556,830.0178,829.489,829.1696,829.22327,829.4068,829.6467,829.94696,830.35815,830.6296,830.76166,830.7535,830.7163,830.59644,830.4471,830.297,830.0642,829.9422,829.878,830.08923,830.552,830.94464,831.32996,831.72235,831.83044,831.4343,830.6758,830.2422,830.2138,830.40045
