forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:49:56+00:00,2025-11-05 00:00:00+00:00,-8.491948,-10.300088,-11.788781,-11.734857,-11.932828,-13.044341,-12.883673,-13.280143,-12.763022,-11.219769,-10.184763,-10.036111,-10.243002,-9.717088,-9.01169,-7.364538,-5.7532673,-4.7478547,-4.599883,-5.539827,-4.9107947,-5.5762405,-5.303724,-4.7143087,-4.8799043,-5.932637,-6.572605,-6.392224,-7.473691,-7.181053,-7.0051146,-7.1964808,-7.2384934,-6.913416,-6.994682,-6.7609925,-7.0168886,-6.719936,-6.677093,-5.6920276,-3.2447174,-3.1057186,-2.155214,-3.5436304,-5.347928,-6.7593513,-5.580912,-5.229976,-3.783982,-3.8812542,-3.4389613,-3.6563585,-3.8572843,-4.2849574,-4.683973,-4.6754146,-4.599126,-4.3658466,-4.29366,-4.512929,-4.4996204,-4.76374,-4.058241,-4.5401382,-5.3185787,-5.184993,-6.2058597,-5.9932723,-6.252724,-5.701873,-5.229976,-4.44575,-3.1811264,-3.6354802,-3.4436088,-2.734091,-2.7795846,-2.713074,-3.1478648,-3.1866965,-3.1100817,-3.5483518,-3.5315104,-3.5725174,-3.8816001,-3.7597423,-3.493915,-2.836968,-3.8449755,-3.7024398,-3.9168277,-3.8245757,-3.175263,-3.5436304,-3.2617157,-3.3825276,-2.4607198,-2.5925012,-2.8906114,-2.8798978,-2.4957209,-2.6628916,-2.924774,-3.2740135,-2.6455786,-2.6080885,-2.7852209,-2.96237,-3.0869205,-2.689708,-1.8275632,-0.78907365,-1.63538,-1.0804299,-0.7232272,-1.0197316,-1.5917022,-1.5085251,-1.1038158,-1.3603505,-1.2258382,-1.6265962,-2.058679,-2.2925797,-2.430972,-2.316161,-2.2568867,-2.3871737,-2.5287979,-2.6812608,-2.8440979,-3.2953973,-3.3856683,-3.4462354,-3.5052676,-3.5382166,-3.2740135,-2.7940419,-2.4232697,-2.1699579,-2.3779845,-1.8403378,-1.3837683,-0.851579,-0.6382994,-0.6921187,-1.005347,-1.1796467,-1.445652,-1.5089514,-1.4544759,-1.7190994,-1.4571259,-1.6341516,-1.6943299,-1.4484353,-1.1388077,-0.9122034,-0.5844047,-0.41068003,0.24047954,-0.0014991697,0.08788169,-0.6043738,-1.2296444,-1.7728555,-0.8545628,1.164622
2025-11-06 00:50:11+00:00,2025-11-06 00:00:00+00:00,-5.2739615,-6.9624944,-8.366659,-8.090428,-9.068944,-9.436016,-8.98737,-8.093119,-6.9444404,-7.040101,-8.121055,-8.969852,-7.969501,-7.272833,-6.462892,-5.435161,-3.0762846,-3.0645907,-4.7198834,-5.539827,-5.809891,-8.436673,-7.2275558,-8.104964,-6.02822,-7.3318386,-8.869093,-9.15053,-9.72178,-9.732614,-9.45701,-9.3841915,-9.550628,-9.88357,-9.597545,-9.130432,-9.088359,-9.723122,-9.491729,-8.667704,-6.0296335,-6.120935,-7.525214,-5.675631,-5.7805476,-6.0093226,-4.2078886,-4.0048966,-2.699422,-2.8287241,-2.8480818,-3.0450447,-3.180428,-3.251542,-3.0174165,-3.012078,-3.0224416,-3.4168594,-3.0869205,-3.4400694,-3.3610144,-3.6268237,-2.7471879,-2.1302466,-3.0579891,-3.4230077,-3.6043284,-3.3854399,-4.2285943,-3.7450447,-4.284752,-3.6241918,-2.0908854,-3.2497709,-3.0182076,-2.7940419,-2.6496956,-2.669602,-2.7501805,-3.012078,-2.424947,-2.386696,-2.2717376,-2.4494357,-2.6080885,-2.6080885,-1.8275632,-0.78907365,-1.1637247,-0.5635241,-0.51091635,-0.22516453,-0.8936142,-1.4402088,-1.070175,-1.2753841,-1.4842937,-1.7134894,-2.3218606,-2.8434997,-2.8471725,-2.9986439,-3.183829,-3.249273,-3.282195,-3.111965,-3.3562245,-3.5210805,-4.548124,-4.862411,-4.9971194,-4.764974,-4.4690905,-4.1138725,-3.9047365,-3.7611752,-3.3397098,-2.798398,-2.253658,-1.6619908,-1.3792225,-1.8928609,-2.173528,-2.756548,-2.968425,-2.934804,-2.8717315,-2.7338388,-2.866236,-2.696653,-2.8493145,-2.7001793,-2.7001793,-2.2123199,-1.5456359,-1.1829904,-1.1827674,-1.8187526,-2.699422,-2.7696388,-3.245676,-2.8463178,-1.8777996,-1.2202728,-0.8936142,-1.2753841,-1.8070619,-2.1302466,-2.0083592,-2.0148852,-1.9484459,-1.895536,-2.1602223,-1.988253,-1.8719763,-2.0940554,-1.9608054,-1.3390857,-0.7049464,-0.19110677,-0.14057355,-1.2299538,-2.1650336,-2.5263371,-1.75624,-0.7322453,-0.44021636,0.5473289
2025-11-07 00:49:27+00:00,2025-11-07 00:00:00+00:00,-0.256539,-2.024051,-3.222216,-3.778916,-4.3322587,-4.3653727,-4.721794,-5.0656805,-5.581654,-5.3309884,-5.7213345,-5.4924774,-5.8408837,-6.1022377,-5.0397735,-3.806105,-2.3752394,-3.4759526,-4.465618,-4.996227,-6.1604843,-5.7709465,-6.600475,-6.8704267,-5.9885077,-8.0054035,-8.545273,-8.661122,-8.093119,-7.9288425,-7.4905934,-7.251272,-6.909793,-6.974237,-6.571097,-6.397876,-6.3546624,-6.241943,-6.1022377,-4.940736,-2.8004506,-2.626894,-2.3656065,-2.9768488,-3.7047594,-4.04487,-3.060395,-3.012995,-2.1324916,-2.5501897,-2.5322819,-2.3461142,-2.3653245,-2.270142,-2.4528818,-2.3440816,-2.336701,-2.0496378,-2.0340617,-1.9848051,-2.2083337,-2.5243087,-2.298146,-0.87443286,-1.1657923,-0.9011332,-0.5631069,-1.0405475,-0.63549495,-0.46927056,-0.926436,-1.4402088,-0.75211734,-0.8328383,-0.7930798,-1.5426803,-2.0719895,-2.298146,-1.9894997,-2.0295088,-1.8266019,-1.8404813,-2.618482,-3.31122,-3.5362492,-4.0094523,-3.8063147,-3.704975,-3.3858693,-3.3159754,-3.1234431,-3.256416,-2.8744855,-2.946145,-3.4263058,-2.9872706,-1.8311268,-2.4935904,-2.9927945,-3.0826988,-3.1478648,-3.2303553,-3.3292034,-3.2235837,-3.487518,-3.5283666,-3.704975,-3.4715085,-3.8040502,-3.8926704,-3.8040502,-2.5631084,-3.3761132,-3.536803,-3.5080447,-4.564687,-4.366456,-4.9941163,-4.7233276,-3.5810375,-3.6043284,-3.7562616,-3.5236359,-3.7717612,-3.6828814,-3.4522867,-3.5359898,-3.5483518,-3.899046,-4.162112,-4.512929,-4.411589,-4.279551,-3.487518,-2.6281116,-2.061102,-2.2759688,-3.2980604,-4.596138,-5.9535613,-6.016605,-6.7497907,-6.1740103,-5.3649263,-4.961806,-4.2823434,-4.092263,-4.3799424,-4.254236,-4.3301144,-4.3824067,-4.4094024,-4.3658466,-4.29366,-4.411589,-4.851789,-4.8077636,-3.9274926,-2.8909879,-2.1480184,-2.8055532,-3.909517,-6.1657996,-6.9220505,-8.303387,-8.071603,-7.4908757,-6.5493965
2025-11-08 00:45:31+00:00,2025-11-08 00:00:00+00:00,-6.107649,-8.0054035,-7.8459353,-7.762717,-7.845731,-8.136642,-7.9243956,-7.6166596,-7.5047207,-8.054025,-7.886317,-8.098696,-7.7848554,-7.1736813,-7.4750643,-6.291554,-4.2171235,-3.681689,-2.2422986,-2.7647705,-3.6403975,-5.1859446,-5.028707,-4.599597,-4.6672077,-6.7056956,-6.7720695,-7.0149426,-6.9633436,-6.491215,-6.7400346,-6.505141,-6.1640773,-6.2487226,-5.965786,-5.3618436,-5.6280007,-5.7591643,-6.1893635,-4.708831,-2.3562744,-3.0645907,-2.645183,-0.72445107,-1.75624,-2.456664,-2.0804267,-1.1789467,-1.0617737,-0.7090606,-0.22023714,-0.5702686,-0.58635724,-0.70491284,-0.67317605,-0.9203037,-1.0909318,-1.2732834,-1.5567781,-1.5358349,-1.7047815,-2.066665,-2.1119044,-2.1210587,-1.7134894,-1.63538,-1.7766865,-1.8412687,-1.6749566,-1.7952167,-1.6308894,-1.877387,-1.2299538,-1.5926836,-1.6135358,-1.9138587,-1.7029995,-1.5528952,-1.3686191,-1.8514262,-1.7669319,-1.8275632,-1.7667041,-1.1521043,-1.33195,-1.3103476,-1.8561103,0.31224144,-1.7852584,-2.4654007,-3.8245757,-4.2047853,-5.9703684,-7.7279477,-8.033212,-6.6718197,-5.2367086,-4.862527,-4.7252293,-4.7943797,-4.242184,-3.98489,-4.1223817,-3.4168594,-3.5315104,-3.2634866,-3.4496136,-3.8040502,-3.7382228,-2.8876512,-3.9160528,-1.4413021,-3.9287837,-4.304054,-4.433658,-5.755031,-5.7805476,-6.515895,-6.016605,-5.3248982,-5.043082,-4.406646,-4.260825,-4.50767,-4.254236,-4.157493,-4.0790467,-4.0612955,-4.016384,-3.9867299,-4.1035132,-4.234899,-4.1465683,-3.5315104,-2.3214707,-1.496269,-1.63538,-2.6735137,-4.027566,-4.6446815,-5.8592277,-5.6625414,-5.1993623,-4.4301414,-4.0394907,-3.909517,-4.0545053,-4.1165047,-3.9000442,-3.0826988,-2.7501805,-2.7595441,-2.6518595,-2.959689,-3.0427814,-3.4842174,-3.3959222,-2.8277557,-1.7521392,-0.9750513,-1.0804299,-2.626209,-4.0270896,-5.6625414,-5.9314165,-6.836486,-6.2430897,-5.2787256
2025-11-09 00:52:20+00:00,2025-11-09 00:00:00+00:00,-4.3849897,-4.875668,-5.2937016,-5.098893,-5.7315884,-5.5099006,-5.6952496,-5.524802,-5.221141,-5.317877,-5.6345825,-5.836182,-6.138609,-5.022615,-4.7101364,-3.0374846,-1.8437539,-2.108198,-3.7483897,-3.6979277,-3.8207858,-4.199988,-4.0400724,-4.6398797,-4.997565,-5.313603,-5.097628,-5.5628386,-6.195752,-6.7445183,-6.909793,-7.187513,-7.5770755,-8.121084,-8.430295,-8.717136,-8.718029,-9.023473,-9.499565,-7.1044693,-6.5278635,-6.48329,-6.3801303,-2.881662,-2.708962,-2.6583073,-2.3705392,-2.534969,-1.4505996,-2.1502855,-2.5616455,-2.6929898,-2.669602,-2.6628916,-2.9786222,-2.7837794,-2.866236,-2.9180815,-3.0066597,-3.27242,-3.2048297,-3.0592582,-2.8809257,-1.7029995,-2.6771216,-2.798398,-3.3854399,-4.6846814,-5.623208,-6.9522038,-6.8750587,-7.6082253,-5.519156,-4.945433,-4.892962,-4.209654,-4.199411,-3.98489,-3.85545,-3.3613338,-3.2992444,-3.472502,-3.5158176,-3.9727068,-3.4087937,-3.92903,-3.4923246,-2.1306162,-4.53096,-4.612096,-4.393041,-3.5810375,-3.664474,-3.3825276,-3.2214494,-3.012995,-1.7515432,-2.0848718,-1.4379069,-1.6265962,-1.9307401,-1.4018713,-1.7083529,-1.6847355,-1.895536,-1.943987,-2.1210587,-2.386696,-2.430972,-2.77797,-2.386696,-1.4379069,-2.323644,-2.0076737,-2.9768488,-3.6241918,-4.8026524,-4.683671,-4.2047853,-3.45929,-2.5020907,-1.6619908,-1.5273724,-1.3143162,-1.322179,-0.9839071,-1.0093818,-0.7354298,-0.83740866,-0.52904415,-0.34318432,-0.398384,-0.18730882,0.08684451,0.111341216,0.6009171,1.3206202,1.5288752,1.9761564,2.6235778,3.5233026,5.0443993,7.2503853,8.972933,9.498398,9.145376,8.185065,7.3634586,6.5749273,5.5061483,4.7897086,4.493751,4.5993133,4.4503226,3.9324107,3.3991258,3.005848,2.957411,2.9675379,2.9525409,2.2078176,0.90510803,-0.8675226,-1.8605379,-2.5391896,-3.3378007,-3.85545,-4.3824067
2025-11-10 00:52:47+00:00,2025-11-10 00:00:00+00:00,-3.8051488,-4.049476,-4.508649,-4.8740525,-5.4675,-5.524802,-5.520779,-5.5386515,-5.620201,-6.8495345,-6.614028,-7.22886,-7.624221,-7.843904,-7.843904,-5.9340653,-4.4209585,-4.4597144,-5.0572925,-4.4287844,-4.264065,-4.599883,-5.2739615,-5.670864,-6.762059,-7.474564,-6.6709967,-6.4824905,-6.4067893,-6.8289638,-7.1448536,-7.748564,-7.7381115,-8.127427,-8.108842,-8.238158,-8.456264,-8.805292,-8.7787075,-7.6310577,-5.8159695,-5.630415,-6.0408196,-3.5810375,-3.5436304,-3.964924,-4.5647025,-5.3872495,-3.1517875,-3.9287837,-3.486156,-3.137492,-3.1221628,-3.4671965,-2.4528818,-2.23387,-2.7837794,-3.1795988,-3.3995357,-3.135615,-3.355546,-3.8394897,-3.7932854,-1.5397102,-4.1729527,-4.221711,-4.6773877,-5.404954,-5.635934,-6.2133656,-7.1007547,-7.1007547,-4.284858,-4.945433,-4.9768395,-4.167085,-3.7387135,-4.168303,-4.4988422,-3.602456,-3.9057257,-4.278854,-4.5834823,-4.4532237,-4.97523,-4.9775777,-4.97523,-3.2160056,-4.448082,-4.366659,-3.2628467,-3.3781316,-3.5436304,-3.884982,-3.100658,-2.8913112,-1.4587338,-1.4646033,-1.355061,-1.6974995,-1.2267642,-0.57223845,-0.6287903,-0.74215883,-0.73348945,-0.6576024,-0.6340208,-0.25227234,-0.14161453,0.017542649,0.42977956,0.8268441,1.6384857,1.3451686,1.0214251,2.9503963,5.1291556,6.331647,6.5078363,5.7235394,4.9807773,3.7586946,2.468345,1.1232814,0.12632708,-0.76784533,-1.3805114,-1.7988809,-2.1503363,-2.4151528,-2.400279,-2.587817,-2.4981053,-2.587817,-2.447172,-2.63578,-3.159122,-4.352633,-5.671898,-6.3823605,-7.045171,-7.159513,-7.411597,-7.5942845,-7.4059405,-7.4371724,-8.089356,-8.199776,-8.433598,-8.112592,-8.125611,-8.106806,-7.701388,-7.6250024,-7.6031427,-7.917876,-8.073287,-7.9660044,-7.8920827,-7.720054,-7.4802313,-7.254471,-6.865477,-6.8538365,-6.5294895,-6.0758166,-5.048453,-3.571255
2025-11-11 00:50:08+00:00,2025-11-11 00:00:00+00:00,-6.641817,-7.8866816,-7.8040113,-6.87981,-7.762627,-8.091611,-8.4344425,-8.821028,-9.288621,-9.236586,-9.492928,-9.969036,-9.877525,-9.893847,-9.802025,-8.47761,-6.2305884,-6.564055,-6.8228083,-7.3691373,-6.4332643,-7.0633044,-8.104964,-7.256224,-9.497295,-11.860651,-12.063285,-13.180771,-11.814038,-11.524145,-11.462697,-11.422659,-11.70677,-10.783466,-10.308109,-10.513714,-11.151214,-11.665793,-11.995174,-10.133338,-8.100187,-7.311268,-3.9201565,-5.3977795,-6.8667636,-7.6082253,-7.4152246,-7.569622,-5.1560245,-5.168997,-4.6967316,-3.396626,-3.4436088,-3.571255,-4.2849574,-4.469089,-4.3301144,-4.200647,-4.157493,-4.4164333,-4.243801,-5.14068,-5.0978804,-3.396626,-4.468756,-4.0394907,-1.6749566,0.7868169,0.3385094,0.70284534,0.2967407,0.7448314,1.6739365,0.86859965,1.1456586,1.661267,1.7222762,1.4540262,1.5044942,1.1882823,1.4289962,1.1539683,1.47442,1.4289962,1.3835713,1.574556,2.2114005,2.9201992,3.2619739,3.537586,1.1372807,-0.45531344,-1.261601,-1.9184748,-1.17587,0.6257984,2.5983894,2.6591718,3.0146825,3.8807008,4.0622115,4.109982,4.804523,5.356102,5.2609625,4.720432,4.720432,5.271622,5.6018386,7.248349,8.838854,9.138548,6.8203435,6.962804,5.604366,5.0616302,4.7560253,4.7560253,4.739072,5.0164347,5.2075143,5.587961,6.060856,6.1715727,5.418787,4.4192953,3.487868,3.1560292,2.7636635,2.7261057,2.8876767,3.1748257,3.0754712,2.733186,2.1918426,1.7629703,1.7914943,1.9100853,2.0624506,2.1309907,2.1200345,2.0525596,2.0525596,2.1191788,2.1966686,2.2391133,2.4209569,2.287581,2.222592,1.9830972,1.9450282,1.8555712,1.9558381,1.905172,2.0370648,2.1588893,2.207477,2.3175228,2.3397958,2.1133895,1.3023325,-0.52288103,-2.8909879,-4.039414,-4.7520037,-4.3706684,-3.5152326,-1.8338599
2025-11-12 00:49:19+00:00,2025-11-12 00:00:00+00:00,-7.759376,-8.493561,-9.009213,-9.233508,-9.395513,-9.191323,-8.588897,-8.510773,-8.133418,-7.3779907,-6.205892,-5.922585,-5.7065916,-6.1408243,-6.097805,-6.1202354,-4.7746534,-4.7881794,-6.2086444,-6.4332643,-5.965695,-5.6541166,-6.909001,-7.179051,-9.187832,-10.260946,-10.745629,-3.3108687,-4.213624,-2.574275,-1.6213832,-1.6105283,-1.9658353,-1.81131,-1.6697003,-0.69715935,-0.7638596,-1.0794721,-0.8991172,-0.62346226,0.3400408,0.62390816,1.1368529,2.288627,1.8850998,1.8360118,1.9199127,1.8850998,2.4509573,2.2663088,2.4333284,2.5253568,2.2622004,2.2410328,2.0648556,2.0161731,1.6974007,1.6854995,1.54851,1.4115127,1.4571794,1.6203369,1.5936357,2.1684704,1.9658821,2.235156,0.45089945,-0.60052663,-1.6295512,-2.3236277,-3.2617157,-2.647981,-1.0197316,-1.0918505,-0.58635724,-0.48377305,-0.25234202,-0.51950014,-0.33212823,-0.38792127,-0.5677055,-0.792456,-0.9045278,-1.1071453,-1.1521043,-1.2284575,-1.1521043,-0.20781846,-0.26398602,-0.7778548,-0.013805801,1.5353107,2.8176987,4.011635,5.4341903,6.148643,6.6166105,6.7847495,7.111071,7.632294,8.659896,9.394917,9.641907,8.992389,9.4251795,9.425291,9.4251795,8.230542,8.083948,7.7461867,7.5530553,7.121793,6.9202666,6.446241,4.7586803,3.8070438,2.7730021,2.1683195,2.283913,3.2370775,3.5206106,3.7285419,3.750424,3.889729,4.0533924,4.1996994,4.318016,4.548865,4.739072,4.8204513,4.5977845,4.5196815,4.3524575,4.5754685,4.739072,4.8461976,4.5782475,3.6036673,2.6442266,2.2944143,2.7126062,2.8821814,3.0705266,3.4460084,3.518429,3.53773,3.2644153,3.222476,3.8089204,4.934698,5.5265865,5.747286,5.9083996,5.912344,5.9616838,6.0082965,6.0082965,6.056714,6.0100255,6.045762,6.172758,6.0952463,5.7231126,5.0198016,4.236501,3.818559,4.1019454,4.792377
2025-11-13 00:49:38+00:00,2025-11-13 00:00:00+00:00,-6.4841776,-8.1751,-6.112102,-6.0602374,-6.35072,-5.309759,-4.6728826,-6.0207067,-6.796281,-5.721915,-4.5069056,-3.6180835,-2.5773883,-2.6081078,-2.474387,-0.65540093,1.8072023,4.5284023,4.741847,4.661881,4.3776383,4.547715,5.0462685,3.824747,3.166502,1.7654715,1.8837327,2.1736224,1.9935411,1.7276332,1.7333871,2.4728765,2.206539,2.021639,1.7823017,1.71739,1.5800503,1.2595623,1.289449,2.8158627,3.455779,3.0640206,2.9517317,1.4583956,0.018902307,-1.2215959,-2.3641653,-2.2009354,-0.9776914,-0.57989025,-0.3513366,0.0027205807,0.059297796,0.11519219,0.15134363,0.5649374,0.20238581,0.3307794,0.1029379,-0.115911625,-0.4322109,-0.61355454,-0.94961494,-0.6164723,-1.0918505,-1.7465577,-1.8828689,0.2409078,2.4152074,3.891346,4.011635,3.9319415,4.219733,4.428456,5.005988,5.356102,6.0039535,5.862679,4.9626975,4.9086957,5.188418,6.610914,7.8672247,8.314833,8.7329645,8.813291,9.000645,9.067856,8.34086,8.34086,7.995087,7.1142488,6.975482,7.527456,8.82865,9.434827,8.916488,8.573977,8.33456,7.360155,7.161164,7.308824,7.3612533,7.2100577,6.924313,6.8639016,7.4922915,7.601902,7.2906346,6.234139,5.607928,5.3336983,4.8873787,4.8006935,4.850366,4.837863,4.528946,4.754494,4.59466,4.515025,4.93819,5.8734064,7.1726246,7.605896,7.653448,7.316438,7.0109816,7.2360544,7.17022,7.2402925,6.9191675,6.491504,6.227574,6.1178875,6.371652,6.4055614,6.3909807,6.5338416,6.3991723,5.9337306,5.34524,4.8230886,4.8962083,5.1228957,5.4212503,6.2620707,6.9808683,7.458384,7.5196323,7.514946,7.5384035,7.42812,7.358409,7.1718845,6.8837957,6.4871736,6.2310996,6.369384,6.6882906,6.878119,6.5829935,5.5445266,4.1626406,3.3276067,2.9246626,2.531527,2.5645404,2.6032777
2025-11-14 00:49:49+00:00,2025-11-14 00:00:00+00:00,1.8479891,1.2755071,1.070005,1.5778272,1.8994597,1.9935411,1.7110856,0.09370194,0.61399156,0.3364613,0.38039225,0.6166755,1.197418,0.8647099,-0.11945395,1.661558,3.4450836,4.1545215,2.0818188,2.0088427,1.19672,0.09806155,-0.06601993,-1.3390712,-1.7940277,-1.5300767,-3.3289437,-2.0164201,-1.6213832,-3.1169887,-4.2490797,-4.7134027,-5.0274506,-4.3322496,-4.2742686,-4.3622932,-4.2742686,-4.802481,-5.1547084,-4.244548,-1.8668823,-0.43524033,-0.5102878,-0.011124979,2.1597106,3.333142,3.8314023,4.498378,5.0390573,4.8143578,5.0795693,5.0227923,5.1669188,5.2348766,5.5627637,5.740144,5.7872214,5.86083,6.07304,6.410812,6.343286,6.3441033,6.403685,6.92052,7.6324735,8.227172,7.959779,7.340389,7.068309,7.481631,6.1409426,5.8188677,5.961327,6.210888,5.8734064,6.120699,6.0735326,5.9374166,6.348408,6.6071105,6.7036157,6.641643,6.686774,6.5268235,6.3489633,6.413058,6.326855,6.9180417,7.007849,6.210888,4.5950327,3.6896906,2.8375819,2.6973226,2.3008294,2.461778,2.9494946,3.9673991,4.5009246,4.749598,5.0299454,5.2068257,5.026784,4.5464025,4.2698164,4.1123466,4.0536056,3.9324107,3.7200544,3.543655,3.6880338,4.2655168,3.6682177,2.1443355,0.9883456,-0.007489091,-0.80597925,-0.44043416,0.653405,1.9865568,2.7850883,3.0466952,3.1481795,3.3844378,3.5281842,3.5442007,3.6028605,3.6028605,3.3448925,3.4417598,3.7329037,3.9599254,4.172648,4.172648,4.257867,4.1757517,4.2052593,4.2814817,4.3794775,4.4505887,4.4705486,4.439203,4.2916064,4.0948086,3.8809488,3.812723,3.7914875,3.7680638,3.693541,3.6168718,3.4216945,3.3014736,2.9631717,2.7515101,2.356328,2.1587338,1.8929918,1.9154366,2.0063686,2.240502,2.6308305,2.861331,3.0535376,2.753798,2.618023,2.694927,4.0698056,5.5061483
