forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:51:46+00:00,2025-11-05 00:00:00+00:00,169.3804,108.43504,128.15727,135.0001,149.8587,151.38963,109.359085,127.95429,102.5288,79.59235,97.69597,340.70987,263.88458,214.15974,188.13002,194.93147,184.08554,228.69148,235.6196,221.00899,238.81508,247.69374,242.7005,267.27374,204.44394,235.30478,240.94548,114.775116,175.60138,186.70975,61.92762,94.39862,96.00892,98.13002,236.3099,33.6901,322.12494,276.70975,304.9921,303.6901,354.80566,146.3099,243.43501,206.56499,203.9625,206.56499,243.43501,243.43501,245.55606,264.80566,262.8751,315.0001,101.3099,90.0,106.699326,74.054535,90.0,102.5288,116.56499,111.801476,90.0,44.999897,333.43503,90.0,296.56497,279.46225,296.56497,255.96373,280.30478,281.3099,298.61035,301.60745,299.74478,307.56866,330.25522,4.398633,4.763556,354.80566,66.037506,20.556128,18.435053,38.65983,10.304792,39.805527,50.194473,9.462248,57.99466,59.03632,36.86999,63.435013,180.0,168.69011,246.0375,218.65984,254.05453,249.44386,258.6901,284.03625,44.999897,59.03632,66.801384,54.46224,63.435013,60.255207,56.309914,60.255207,63.435013,54.46224,69.44387,69.44387,63.435013,66.801384,66.801384,90.0,135.0001,213.6901,234.46223,245.55606,257.00537,265.60138,275.19434,291.80148,56.309914,77.4712,74.74483,68.19853,60.94549,53.13002,40.601215,35.537766,35.537766,39.805527,44.999897,44.999897,50.194473,56.309914,59.03632,75.96373,90.0,270.0,278.13,280.30478,279.46225,280.30478,282.5288,303.6901,351.87,12.528798,26.564985,33.6901,51.34017,50.194473,44.999897,40.601215,40.601215,35.537766,39.805527,56.309914,69.44387,82.875084,90.0,90.0,90.0,270.0,270.0,262.8751,255.96373,236.3099
2025-11-06 00:52:19+00:00,2025-11-06 00:00:00+00:00,208.61037,165.96373,173.6599,143.13002,57.094753,61.69934,82.875084,108.43504,116.56499,102.99462,100.619606,105.25517,90.0,125.537766,255.96373,323.13,333.43503,100.30479,90.0,132.27362,196.69933,190.6196,159.77505,131.42357,144.6887,131.18582,136.97493,51.34017,73.61038,147.52882,127.875046,90.0,180.0,345.9637,101.3099,123.6901,132.27362,146.3099,111.801476,33.6901,342.64587,3.179772,349.5626,300.96368,303.6901,294.44394,292.6199,312.27362,296.56497,326.3099,347.00537,360.0,26.564985,4.398633,57.99466,20.556128,32.005356,50.194473,26.564985,26.564985,23.198618,38.65983,36.86999,74.054535,44.999897,104.03627,254.05453,44.999897,198.43504,243.43501,218.65984,224.9999,260.53775,303.6901,18.435053,50.194473,44.999897,56.309914,59.03632,39.805527,35.537766,50.194473,56.309914,51.34017,60.255207,56.309914,51.34017,60.255207,59.03632,44.999897,180.0,236.3099,246.0375,252.89719,255.96373,257.4712,261.87,303.6901,360.0,30.963696,44.999897,56.309914,35.537766,26.564985,51.34017,60.255207,50.194473,44.999897,33.6901,50.194473,60.255207,44.999897,51.34017,56.309914,251.56496,243.43501,248.19853,251.56496,270.0,285.94547,303.6901,338.19852,18.435053,44.999897,49.398785,54.46224,50.194473,50.194473,51.34017,44.999897,44.999897,44.999897,26.564985,33.6901,38.65983,44.999897,53.13002,90.0,213.6901,224.9999,233.13002,239.0363,247.3801,254.05453,261.2539,262.8751,270.0,78.6901,80.53775,80.53775,78.6901,68.19853,56.309914,50.194473,44.999897,44.999897,44.999897,51.34017,63.435013,90.0,90.0,315.0001,236.3099,202.6199,195.6423,191.9761,183.814,167.19574
2025-11-07 00:51:30+00:00,2025-11-07 00:00:00+00:00,163.30067,158.19853,165.96373,138.01286,128.991,133.36346,85.03035,60.94549,49.899166,47.290634,84.55976,87.614105,97.12492,138.01286,63.435013,56.309914,338.19852,104.03627,345.4655,354.2895,3.0127327,10.304792,360.0,350.9098,354.55975,327.26477,342.8972,360.0,44.999897,29.744795,81.86999,360.0,326.3099,360.0,90.0,56.309914,14.036275,135.0001,129.80553,56.309914,360.0,96.340096,135.0001,180.0,240.2552,246.0375,251.56496,284.03625,255.96373,18.435053,39.805527,44.999897,50.194473,54.46224,38.65983,44.999897,44.999897,50.194473,44.999897,39.805527,44.999897,26.564985,50.194473,57.99466,56.309914,26.564985,284.03625,258.6901,258.6901,263.6599,270.0,270.0,288.43503,324.46225,7.12493,26.564985,44.999897,39.805527,32.005356,29.054508,50.194473,51.34017,53.13002,59.03632,44.999897,50.194473,63.435013,68.19853,14.036275,56.309914,135.0001,236.3099,251.56496,240.94548,233.13002,234.46223,258.6901,296.56497,344.7448,15.945477,44.999897,29.054508,51.34017,50.194473,44.999897,36.86999,49.398785,30.963696,26.564985,66.801384,51.34017,44.999897,39.805527,63.435013,251.56496,224.9999,201.80147,198.43504,230.19447,253.30067,265.23645,270.0,26.564985,66.801384,63.435013,63.435013,54.46224,57.99466,53.13002,56.3099,56.3099,57.99466,57.99466,57.99466,49.398785,54.46224,56.309914,71.564964,126.86999,176.186,185.7105,188.74608,194.4208,203.7495,212.90524,203.19862,180.0,151.38963,141.34016,138.01286,135.0001,135.0001,137.4896,144.46223,157.61983,171.86998,174.2895,147.52882,78.6901,60.255207,55.713078,58.240574,64.65388,90.0,128.15727,149.9315,153.43501,150.64235
2025-11-08 00:47:20+00:00,2025-11-08 00:00:00+00:00,3.0127327,350.53775,335.22488,322.43134,333.43503,344.05453,44.999897,21.801476,14.036275,53.13002,53.13002,56.309914,333.43503,270.0,111.801476,206.56499,90.0,116.56499,119.74479,180.0,90.0,143.13002,143.13002,80.53775,108.43504,99.46225,338.19852,224.9999,146.3099,44.999897,140.19447,80.53775,90.0,108.43504,90.0,116.56499,168.69011,129.80553,128.65984,126.86999,90.0,111.801476,99.46225,288.43503,258.6901,255.96373,265.60138,270.0,288.43503,330.25522,348.6901,32.005356,35.537766,44.999897,50.194473,29.744795,60.255207,50.194473,50.194473,50.194473,33.6901,56.309914,36.86999,30.963696,44.999897,101.3099,224.9999,254.05453,246.80138,246.0375,259.69522,274.76355,284.03625,326.3099,355.60138,20.556128,30.963696,26.564985,33.6901,63.435013,35.537766,14.036275,33.6901,29.744795,26.564985,51.34017,44.999897,56.309914,56.309914,36.86999,243.43501,216.86998,224.9999,209.7448,243.43501,251.56496,278.74606,299.74478,56.309914,59.03632,66.037506,57.99466,63.435013,68.19853,66.037506,60.255207,69.44387,66.037506,60.94549,63.435013,57.99466,57.99466,75.96373,63.435013,189.46225,197.35411,198.43504,199.44012,200.55612,203.7495,202.8337,187.59456,157.3801,129.28938,118.30067,108.43504,104.03627,99.46225,99.46225,99.46225,94.76356,85.23644,84.805664,97.12492,143.13002,171.86998,164.74483,156.80138,157.61983,170.53775,189.46225,202.38017,201.03758,187.12492,143.13002,123.690094,123.6901,126.027466,129.28938,135.0001,140.19447,144.46223,143.74608,147.09476,149.9315,152.35411,155.55606,160.70985,165.96373,176.186,180.0,182.4895,182.12105,181.9091,183.69131,183.69131,184.23631,188.13002
2025-11-09 00:54:04+00:00,2025-11-09 00:00:00+00:00,44.999897,75.96373,18.435053,224.9999,90.0,73.300674,81.86999,44.999897,135.0001,108.43504,116.56499,119.74479,74.054535,71.564964,105.945465,161.56496,206.56499,146.3099,116.56499,123.690094,104.03627,116.56499,114.44395,90.0,153.43501,164.05453,123.690094,270.0,90.0,113.19862,129.80553,33.6901,198.43504,161.56496,116.56499,128.65984,80.53775,161.56496,113.19862,116.56499,141.34016,153.43501,123.690094,255.96373,246.80138,240.2552,251.56496,262.8751,291.80148,322.12494,348.6901,18.435053,30.963696,26.564985,18.435053,51.34017,21.801476,26.564985,30.963696,44.999897,56.309914,44.999897,36.86999,44.999897,57.99466,26.564985,270.0,251.56496,243.43501,237.52882,251.56496,241.38963,261.87,260.53775,243.43501,296.56497,78.6901,50.194473,80.53775,68.19853,60.255207,66.801384,66.801384,66.801384,44.999897,97.12492,18.435053,97.12492,84.2895,248.19853,224.9999,166.75948,188.88058,175.71092,171.02745,174.95764,208.61037,206.56499,165.96373,169.8754,158.19853,149.74365,139.39879,155.77226,139.89915,130.60121,124.21575,113.962494,318.81415,23.198618,180.0,214.50858,182.29056,183.3664,200.32323,233.13002,290.55612,308.15726,308.36752,293.6294,264.2895,257.4712,275.19434,280.30478,270.0,248.19853,206.56499,165.96373,135.0001,116.56499,105.945465,98.13002,90.0,90.0,90.0,105.945465,135.0001,168.69011,175.60138,172.40544,168.69011,160.34608,145.0079,122.00535,96.340096,82.875084,71.564964,68.19853,75.96373,90.0,104.03627,90.0,75.96373,63.435013,63.435013,75.96373,90.0,90.0,44.999897,360.0,18.435053,53.13002,59.03632,63.435013,63.435013,90.0,116.56499,123.690094
2025-11-10 00:54:53+00:00,2025-11-10 00:00:00+00:00,180.0,90.0,333.43503,224.9999,180.0,90.0,75.96373,90.0,33.6901,194.03627,180.0,135.0001,116.56499,123.690094,126.86999,126.86999,135.0001,116.56499,116.56499,135.0001,90.0,135.0001,143.13002,135.0001,98.13002,90.0,44.999897,360.0,135.0001,143.13002,71.564964,90.0,111.801476,135.0001,126.86999,108.43504,135.0001,119.05451,108.43504,156.80138,95.19434,206.56499,116.56499,224.9999,231.34016,229.39879,254.74483,282.5288,243.43501,243.43501,44.999897,63.435013,90.0,71.564964,69.44387,70.01681,74.054535,74.74483,53.13002,90.0,90.0,98.13002,135.0001,116.56499,114.775116,173.6599,188.13002,127.694305,164.2913,185.7105,195.12405,184.08554,176.906,162.07199,161.07526,130.23628,141.58191,127.99879,124.43905,193.13403,246.3706,224.9999,169.21574,223.26433,201.80147,191.30989,201.80147,206.56499,238.57048,236.3099,203.9625,237.52882,234.46223,239.53453,254.05453,254.05453,239.74365,237.52882,254.74483,264.2895,270.0,315.0001,63.435013,108.43504,68.19853,69.44387,119.74479,90.0,116.56499,83.659904,71.564964,75.96373,56.3099,100.30479,71.564964,77.4712,90.0,96.340096,90.0,82.875084,74.054535,74.054535,81.86999,81.86999,80.53775,75.96373,63.435013,44.999897,360.0,333.43503,341.56494,360.0,14.036275,33.6901,63.435013,75.96373,90.0,270.0,251.56496,243.43501,243.43501,233.13002,233.13002,224.9999,213.6901,180.0,104.03627,90.0,98.13002,105.945465,113.19862,105.945465,90.0,80.53775,90.0,198.43504,206.56499,191.30989,180.0,173.6599,168.69011,165.96373,168.69011,183.17976,208.07239,229.39879,239.53453,244.65387
2025-11-11 00:51:53+00:00,2025-11-11 00:00:00+00:00,170.53775,63.435013,333.43503,44.999897,180.0,180.0,123.690094,90.0,135.0001,153.43501,126.027466,53.13002,194.03627,161.56496,116.56499,161.56496,110.55613,279.46225,99.46225,180.0,113.962494,68.19853,203.19862,135.0001,110.55613,284.03625,248.19853,80.53775,278.13,180.0,44.999897,321.34018,257.90524,230.19447,281.3099,251.56496,213.6901,224.9999,311.63345,246.80138,270.0,341.56494,176.05489,186.5197,192.38075,196.14441,201.16133,197.87878,187.35228,199.65392,181.84756,164.57777,138.01286,128.92755,117.47435,132.27362,126.86999,127.694305,157.3801,149.65683,153.94656,206.56499,192.99461,153.43501,200.77234,212.47118,174.80566,205.01686,235.6196,204.77512,224.9999,218.65984,214.9921,210.96368,206.56499,135.0001,121.60746,116.56499,143.97253,160.0168,130.60121,150.2552,120.96369,100.30479,102.5288,119.05451,101.3099,84.2895,63.435013,104.03627,144.46223,174.2895,185.7105,221.18582,236.3099,246.0375,270.0,284.03625,284.03625,360.0,33.6901,44.999897,33.6901,30.963696,8.130019,38.65983,26.564985,21.801476,38.65983,8.130019,30.963696,9.462248,63.435013,146.3099,285.94547,293.9625,308.65982,309.8055,303.6901,293.9625,291.25058,299.74478,321.34018,344.7448,354.2895,352.87506,350.53775,360.0,14.036275,26.564985,26.564985,33.6901,33.6901,56.309914,78.6901,90.0,104.03627,135.0001,194.03627,215.53777,219.28938,222.70937,222.87889,227.12111,229.39879,233.74606,240.64233,241.69934,210.96368,111.801476,97.12492,96.340096,270.0,274.76355,286.6993,326.3099,360.0,5.7105074,360.0,350.53775,338.9624,327.26477,321.8427,319.7637,320.1945,327.52884,350.53775,17.102825
2025-11-12 00:51:10+00:00,2025-11-12 00:00:00+00:00,289.44012,82.875084,135.0001,11.3098955,291.80148,255.96373,141.34016,81.86999,180.0,284.03625,246.80138,233.97253,90.0,321.34018,236.3099,203.9625,71.564964,291.80148,189.46225,195.94547,195.59286,202.6199,192.09474,200.22495,204.22774,202.24907,65.55606,62.10283,242.24155,259.69522,347.90527,248.19853,213.6901,90.0,43.26433,90.0,88.09089,90.0,224.9999,151.92761,145.30478,158.19853,183.814,186.3401,177.27374,172.23492,176.30869,223.1524,228.36655,198.43504,175.60138,159.44388,171.86998,151.69934,120.96369,119.05451,97.12492,90.0,84.2895,52.124958,66.801384,77.4712,65.55606,35.537766,14.036275,71.564964,81.86999,99.46225,113.19862,164.05453,111.801476,125.537766,56.309914,14.036275,5.19435,29.054508,35.537766,49.398785,29.054508,40.601215,33.6901,19.983198,26.564985,23.198618,20.556128,5.7105074,360.0,350.53775,18.435053,350.53775,335.22488,317.29062,307.56866,285.94547,290.55612,277.59454,275.19434,291.80148,306.86996,329.74365,355.23645,344.7448,333.43503,345.9637,341.56494,326.3099,7.12493,329.03632,38.65983,18.435053,90.0,99.46225,101.3099,146.3099,186.3401,184.76355,180.0,176.6336,173.6599,167.4712,160.55988,151.92761,140.71062,126.86998,117.89718,113.49858,115.64096,127.30403,146.97614,160.70985,155.22488,105.945465,44.999897,11.3098955,340.0168,326.3099,325.30478,325.30478,325.30478,317.29062,313.0251,311.18582,319.0857,332.1028,340.55988,333.43503,311.98712,298.61035,303.6901,323.13,343.3007,349.69522,344.7448,349.69522,360.0,26.564985,35.537766,18.435053,354.80566,345.9637,345.9637,360.0,180.0,251.56496,278.13,289.9832,293.1986,293.6294
2025-11-13 00:51:30+00:00,2025-11-13 00:00:00+00:00,95.19434,28.610369,144.46223,149.03632,186.3401,53.13002,26.564985,56.309914,90.0,156.0375,146.3099,133.99501,84.95764,96.17008,51.34017,63.435013,94.39862,196.38962,219.0355,187.76508,83.29026,174.55975,192.5288,210.25635,136.63654,125.70678,162.55272,140.19447,143.61555,136.63654,131.87779,146.3099,113.198616,39.805527,79.69521,28.072395,351.4693,308.65982,288.43503,313.0251,304.82455,322.59457,24.775122,98.13002,206.56499,246.80138,274.76355,282.09473,278.13,308.65982,337.3801,353.6599,19.983198,35.537766,41.185837,26.564985,30.963696,26.564985,19.983198,69.44387,17.102825,8.746089,14.036275,8.130019,354.80566,4.763556,270.0,239.0363,296.56497,307.56866,292.3802,284.03625,282.99463,319.39877,344.05453,14.036275,360.0,296.56497,146.3099,101.3099,135.0001,90.0,165.96373,165.96373,172.87508,180.0,228.81418,187.12492,156.80138,180.0,162.89719,165.96373,90.0,129.80553,114.44395,116.56499,106.699326,97.59455,93.814,96.70974,83.659904,81.86999,95.19434,102.99462,71.564964,59.743652,65.55606,68.19853,74.74483,41.185837,355.60138,351.87,340.3461,317.1211,311.18582,309.8055,310.10083,311.82007,313.26434,315.0001,317.4896,320.7106,323.97253,327.52884,327.52884,323.97253,320.7106,318.01288,318.01288,315.0001,315.0001,318.01288,318.01288,321.34018,329.03632,333.43503,333.43503,335.55606,331.38962,317.72638,306.25394,299.0545,291.25058,280.6196,274.08554,289.9832,325.0079,347.00537,360.0,12.528798,29.744795,35.537766,36.86999,36.86999,36.86999,40.601215,44.999897,50.194473,50.194473,51.34017,53.13002,75.96373,116.56499,194.03627,206.56499,214.9921,228.01286,243.43501
2025-11-14 00:51:49+00:00,2025-11-14 00:00:00+00:00,160.55988,145.78424,147.38077,147.99466,148.57048,118.30067,135.0001,164.05453,41.185837,360.0,347.4712,123.690094,251.56496,78.6901,342.64587,171.25392,321.34018,78.6901,6.3401003,288.43503,94.76356,98.74608,165.96373,222.5104,261.46933,285.94547,305.53775,344.05453,315.0001,59.03632,323.13,251.56496,71.564964,128.65984,299.0545,71.564964,281.3099,192.5288,41.98713,97.12492,339.44388,143.13002,258.6901,278.13,328.39255,299.74478,298.0724,298.30066,276.3401,311.63345,336.8014,330.9455,21.801476,39.805527,63.435013,288.43503,296.56497,288.43503,251.56496,71.564964,96.340096,245.55606,189.46225,159.44388,135.0001,126.86999,184.76355,123.690094,123.690094,104.03627,78.6901,270.0,251.07526,104.743614,90.0,130.60121,214.9921,194.93147,175.60138,167.00539,195.25517,224.9999,224.9999,194.03627,191.30989,253.30067,266.186,260.53775,239.0363,270.0,125.537766,224.9999,32.005356,53.13002,60.255207,38.65983,329.03632,360.0,258.6901,282.5288,326.3099,336.8014,288.43503,71.564964,63.435013,270.0,63.435013,90.0,66.801384,59.03632,69.44387,56.309914,56.309914,345.9637,116.56499,180.0,270.0,291.80148,305.53775,315.0001,320.1945,323.13004,329.03632,336.0375,345.9637,360.0,9.462248,18.435053,15.945477,23.198618,29.744795,39.805527,44.999897,38.65983,30.963696,26.564985,44.999897,108.43504,146.3099,194.03627,236.3099,246.0375,243.43501,243.43501,224.9999,198.43504,153.43501,143.13002,135.0001,116.56499,63.435013,44.999897,44.999897,36.86999,36.86999,26.564985,26.564985,33.6901,56.309914,71.564964,44.999897,360.0,341.56494,319.39877,302.47116,295.01685,289.44012,286.38962
