forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:52:00+00:00,2025-11-05 00:00:00+00:00,20.870687,18.709612,16.039202,18.204042,17.447933,17.935081,18.228943,19.48661,21.479666,22.007162,23.452555,24.098497,26.282465,29.237675,28.054604,27.607563,29.723444,29.44307,28.835976,26.368616,26.400545,24.144165,21.542923,18.998314,15.226764,12.313893,9.346143,9.504273,9.585739,8.350138,8.654986,9.346143,11.966953,14.168641,16.263872,13.830749,12.229406,10.1887,9.422101,7.968939,13.0447235,23.598541,29.28418,9.0,10.182337,8.587338,9.957108,8.587338,5.991594,5.8048253,9.227524,10.24578,11.631956,12.10157,12.413477,12.879752,12.55879,12.287555,13.049689,13.570615,14.182355,13.849477,13.584932,12.287555,10.8955765,11.183201,11.620809,11.298495,10.495713,10.948973,10.24578,9.793058,8.557102,9.0,10.787993,10.805998,10.495713,10.086427,10.086427,10.009036,9.686609,9.220499,9.585739,10.883676,12.10157,11.183201,11.808878,10.464797,9.227524,9.3876505,9.028754,7.968939,8.714677,11.792404,12.879752,12.303366,10.703569,8.427383,8.714677,8.669949,9.422101,10.464797,11.246759,11.988594,11.988594,11.457958,11.457958,11.212135,10.703569,10.44,10.44,9.686609,7.5170207,7.928178,7.69592,9.360001,11.298495,12.181624,10.739832,8.404285,5.904439,2.9024127,3.096837,5.937272,7.172949,7.24486,7.7879906,7.9932966,7.9932966,8.209263,8.435069,8.669949,8.913181,9.931042,10.948973,10.703569,8.39657,6.130579,6.297428,7.8954163,9.793059,10.685391,10.1887,8.287822,5.8603754,3.2399998,5.4833565,8.759178,9.422101,8.350138,7.9932976,8.669949,10.086427,10.799999,10.823973,10.538843,10.041354,9.028754,8.0899935,7.42159,7.8625183,9.3669195,11.440978,13.450708,15.379206,16.418526,16.071491,14.494192
2025-11-06 00:52:41+00:00,2025-11-06 00:00:00+00:00,20.5484,14.003029,13.397612,12.074766,10.966713,10.587917,11.090103,12.015589,9.746631,9.346143,9.387651,10.829958,11.885453,11.480557,12.261157,11.720751,13.979872,12.879752,6.0347,6.519877,4.6938252,4.072935,5.1165614,5.4833565,6.87779,7.342588,11.440979,18.388212,25.277023,21.38897,19.61587,18.440998,17.339897,15.30741,12.984975,12.738099,12.475961,11.988594,13.044722,12.387348,15.683774,17.447933,19.242327,12.303366,12.10157,11.503113,11.043261,10.587917,9.885262,10.308831,11.269782,11.592895,11.269782,11.019764,10.883676,10.739832,10.464797,10.464797,10.195057,10.703569,11.525623,12.313894,12.496718,11.480557,8.217153,7.8625183,6.130579,6.989936,8.654987,10.44,13.089354,11.792404,8.669949,7.7043357,11.770403,11.808878,12.261157,11.480557,11.457958,11.457958,11.720751,11.720751,11.966954,11.720751,11.720751,11.457958,10.948973,10.703569,8.049845,8.12197,8.28,10.483357,12.074766,13.570615,11.659777,4.6938252,1.4399999,6.924738,10.495713,7.42159,6.3690495,6.696387,7.289445,6.9153743,7.145796,8.714677,9.220499,9.220499,10.009036,10.296251,10.587918,9.793059,6.763786,6.519877,6.9527545,8.209263,10.182337,10.703569,9.673221,7.42159,5.815978,5.4119864,6.763786,7.653705,7.7879906,7.5170207,7.9526596,8.64,9.3669195,9.746631,10.182337,10.661107,10.739833,11.090103,11.440978,10.587917,7.928177,7.9526596,10.703569,13.049689,14.658676,15.175612,13.661038,11.304229,9.3876505,8.891344,10.009036,10.97262,11.090103,11.183201,10.883676,10.233123,9.957108,9.793059,9.793059,9.957108,10.182337,10.464797,11.090103,10.739832,9.826088,10.823973,13.207634,13.450708,12.287555,11.542478,10.853866,9.746631
2025-11-07 00:51:50+00:00,2025-11-07 00:00:00+00:00,10.105681,2.7416782,5.4119864,14.291592,19.602652,19.09358,26.250393,23.4,23.0653,20.674156,17.10284,18.278645,17.10284,17.974781,17.49615,15.349684,19.08,21.096123,20.150354,20.724247,19.0392,16.676977,15.034041,14.587776,14.241629,13.70839,11.480557,12.979984,11.988594,10.703569,11.592894,13.004922,11.808878,11.480557,13.0447235,11.808878,11.480557,11.753876,13.493999,13.044722,12.10157,15.596767,14.759999,8.311245,8.891343,11.384198,13.202726,14.118243,12.144331,10.464797,12.031756,12.229406,12.229406,11.966954,11.709688,12.218805,11.966954,12.218805,12.218805,12.475961,12.261157,12.261157,11.753876,11.592894,10.30883,10.829959,13.849476,15.5843,15.484185,15.856356,15.124284,13.039754,7.342588,11.246759,12.313894,11.457958,10.703569,10.464797,10.233123,10.009036,10.009036,10.799999,11.681987,11.792404,12.10157,12.287555,12.387348,12.096214,9.83268,9.826088,9.3876505,9.904906,10.383987,10.703569,9.931042,7.9932966,7.072878,8.049845,8.654987,8.209263,8.854829,8.225035,9.904906,9.6932955,9.779817,9.3669195,10.661107,10.308831,10.587917,10.587917,10.739833,10.483357,7.2,9.028754,11.298495,14.168641,16.263872,16.746773,14.372974,10.390226,7.928178,7.628263,8.891343,9.957108,10.182337,10.195057,10.233123,10.514218,10.799999,10.799999,10.739832,10.948973,11.200571,11.480557,12.096214,11.808878,10.799999,10.594036,12.371645,14.241629,15.716793,16.179985,14.458382,11.525623,9.028754,8.12197,8.587338,9.673221,10.233123,10.587918,10.685391,10.685391,10.883676,10.883676,10.883676,10.383987,10.383987,10.495713,11.119281,10.383987,9.085988,9.72,12.181625,13.854155,14.81259,14.81259,13.708391,11.726277
2025-11-08 00:47:37+00:00,2025-11-08 00:00:00+00:00,13.896187,13.479583,11.720751,12.031756,11.480557,11.753876,11.246759,10.587918,11.709688,10.97262,12.387348,12.738099,11.720751,12.738099,12.7279215,12.313894,13.18308,15.941944,14.24163,13.32,12.0694,7.072878,3.219938,3.219938,5.4119864,11.681987,13.570615,9.957108,7.653705,12.031756,11.4862,10.009036,11.246759,12.7279215,14.264361,15.021105,16.135872,16.992609,17.238699,16.75064,19.022177,19.191748,19.64558,14.440443,15.629971,16.24394,16.23596,16.862455,10.829958,12.538134,12.599998,11.720751,11.212135,10.464797,9.686609,9.422101,10.195057,10.739832,10.799999,10.883676,11.090103,11.592894,11.525623,11.525623,8.699793,7.9932976,7.5170207,7.928177,10.30883,10.464797,10.00256,8.0899935,4.3349743,4.6102495,8.373386,8.427383,8.64,9.6932955,9.565437,9.6932955,10.308831,11.620809,9.178235,11.177405,11.27553,10.966713,12.181625,10.464797,8.217153,9.826088,11.177405,13.37825,16.981165,17.447933,16.92383,12.864649,8.647496,9.422101,10.630672,11.269782,10.1887,10.233123,10.685391,11.609651,10.739832,10.587918,11.183201,11.183201,11.113451,10.799999,10.464797,10.514218,8.473393,9.885262,11.177405,14.039999,16.746773,17.551615,15.463246,11.503113,8.350138,7.072878,7.653705,9.085988,9.826088,10.00256,9.693296,9.585739,9.0,8.714677,8.287822,8.373386,8.427383,9.346143,10.041354,9.565437,6.8777895,6.5693827,9.885262,12.096214,13.18308,13.281023,12.10157,9.659814,7.072878,5.3517847,6.6087217,8.905908,9.178235,8.557102,8.311245,8.654986,9.0,9.346143,9.346143,9.255571,9.255571,9.6932955,9.793058,9.028754,6.8777895,7.208994,9.504273,10.495713,10.883676,10.296251,9.726664,8.669949
2025-11-09 00:54:17+00:00,2025-11-09 00:00:00+00:00,16.42247,12.904882,9.746631,10.163227,11.480557,13.896187,14.336861,14.618837,16.418526,16.831684,16.08761,16.418526,18.440998,17.974781,18.043148,19.826164,21.413193,20.833395,21.915693,23.584808,24.216522,17.935081,14.05845,13.138765,8.707237,8.427383,9.47012,8.161764,12.313893,12.682018,10.948973,10.97262,12.496718,12.738099,12.738099,15.124284,12.904882,14.277983,15.778516,11.983188,13.849477,14.372974,13.905509,8.669949,9.826088,11.298495,8.404285,6.989936,6.489992,6.9247384,9.0,7.754637,7.92,8.427383,9.449572,9.227524,11.013882,11.27553,11.525623,10.483357,9.511088,11.841756,11.91812,11.269782,9.387651,10.08,11.304229,14.759999,17.309973,15.192682,12.429127,11.966953,8.891344,10.464797,10.233123,10.296251,10.195057,10.97262,10.495713,10.799999,11.212135,10.799999,10.97262,10.685391,10.685391,10.948973,10.163227,11.753876,11.252519,11.212135,13.708391,14.05845,13.979871,13.084402,12.964998,14.113653,11.792404,10.8955765,11.592895,11.165805,11.792404,11.91812,11.983188,12.313894,11.770403,11.983188,13.0447235,12.24,13.896187,12.904882,13.684735,12.7279215,14.044615,16.394829,17.731598,20.774214,24.087738,25.922499,25.812277,24.216522,23.051247,22.007162,21.542923,21.2522,21.986542,24.031178,25.764534,26.072052,25.729298,24.379204,22.805367,20.570463,18.733839,16.23596,13.324863,11.159999,10.823973,11.966953,12.371645,11.885453,11.304229,11.620809,13.627795,16.299694,18.03237,17.673029,16.263872,15.188415,14.799459,14.044615,13.684735,13.004921,12.015589,11.090103,9.904906,8.373386,7.2,6.9247384,7.9526596,8.12197,5.6002855,6.151683,9.673221,10.97262,11.019764,10.464797,9.931042,9.585739
2025-11-10 00:55:13+00:00,2025-11-10 00:00:00+00:00,15.188415,10.495713,6.849467,9.387651,8.714677,10.829958,11.269782,13.479583,13.783817,14.982228,15.349684,12.819235,13.392774,15.986593,14.654254,13.37825,12.43434,11.874544,10.587917,9.726665,8.287822,8.473393,9.0,10.365251,9.793058,10.028439,9.983106,9.220499,7.2,3.396233,2.7416782,4.2136917,4.452954,5.0142193,5.6920996,5.0528407,4.3349743,4.3349743,4.379589,5.4477882,8.534353,7.0911775,8.647496,14.458382,17.076298,16.73516,15.725037,13.910169,10.308831,9.178235,9.693296,10.587918,10.799999,10.464797,10.691453,10.97262,10.195057,11.440979,10.464797,10.009036,9.659814,10.685391,10.464797,11.177405,10.041354,12.849528,13.276144,13.797913,13.896187,18.345877,18.391735,16.65754,12.9249525,10.823973,11.177405,11.966953,12.413477,12.4811535,12.287555,11.983188,11.681987,11.435313,12.287555,11.983188,11.792404,12.287555,12.413477,11.770403,13.339445,15.463244,17.873556,23.441502,25.849905,26.554728,27.943514,24.248613,19.881649,18.014393,19.839235,25.582806,19.416653,24.967499,24.280659,22.91026,28.054604,24.993439,22.065973,15.484185,7.8954163,5.1544156,1.5273507,7.5599995,9.107359,9.178235,11.885453,13.397612,14.986553,15.937878,16.071491,15.629971,14.685176,13.363711,12.287555,11.525623,11.043261,10.495713,9.659814,8.587338,6.8777895,5.00128,3.8773184,6.28713,9.255571,10.137692,9.693296,9.028754,7.2805495,6.6185193,7.6367526,9.0,9.793059,10.009036,9.422101,8.39657,8.12197,8.311245,9.227524,10.00256,9.793059,8.942214,8.404285,8.404285,8.435069,8.435069,8.14587,7.42159,6.989936,7.127636,7.729527,7.072878,3.4152596,4.829907,9.449572,11.304229,11.792404,11.91812,11.841756,11.177405
2025-11-11 00:52:07+00:00,2025-11-11 00:00:00+00:00,12.413476,12.72283,11.183201,9.957108,3.96,10.948973,8.913181,9.360001,12.144331,13.049689,13.905509,13.797912,10.805999,9.3876505,8.654986,6.638072,6.6185193,5.634891,9.72,10.538843,10.440001,12.224107,12.0694,14.693999,11.91812,7.69592,6.638072,10.182337,12.984975,11.503113,11.928989,14.587776,12.074766,12.015589,10.823973,13.009903,14.182355,12.413476,11.269782,11.435313,13.684735,13.722565,15.158522,12.641076,12.661564,14.707222,11.212135,11.183201,10.739833,9.3669195,10.636766,11.298495,10.464797,9.83268,9.83268,10.00256,10.630672,11.019764,11.019764,11.792404,12.181624,12.096214,12.4811535,12.55879,13.441071,15.328561,15.986595,16.595179,18.584509,20.674158,22.027763,19.164719,18.72346,13.32,12.324414,13.207634,12.245294,14.021525,13.910169,18.58451,17.873556,17.238699,13.004921,13.084402,18.430452,18.998314,26.27753,25.812277,24.363249,22.039528,27.36947,25.744402,26.654589,23.068108,20.345573,21.313093,22.104116,19.917469,22.19773,13.202726,9.746631,9.339208,9.021574,8.209263,5.7599998,5.0911684,4.1046314,1.8,3.0758414,7.5942073,9.422101,9.007196,9.72,11.304229,11.609651,15.137133,19.443333,21.626984,20.172853,16.93531,14.154915,12.661564,11.770403,10.990322,10.233123,9.673221,8.942214,8.209263,7.7043357,6.989936,6.151683,6.12,6.379216,6.439876,6.4096174,6.193674,6.924738,8.759178,11.043261,12.181625,12.758432,12.9249525,12.496719,11.367109,10.538843,10.105681,10.24578,10.630672,10.805998,10.948973,10.966713,11.043261,11.367109,11.609651,11.570515,11.212135,11.212135,11.252519,11.720751,12.074766,13.004921,14.044615,14.830076,15.273505,15.273505,14.917212,13.797912,12.620554
2025-11-12 00:51:26+00:00,2025-11-12 00:00:00+00:00,8.311245,8.707238,8.350138,11.165805,10.799999,10.739833,12.758432,14.007655,15.034041,13.441071,13.905509,12.783802,12.24,9.9571085,11.609651,13.0447235,15.137133,14.458382,17.193533,15.941944,18.0,14.764389,12.979984,14.044615,14.044615,10.739833,12.413477,11.726277,12.413476,13.276144,14.799459,15.629971,17.709658,15.111424,18.709612,17.339897,19.110542,15.119999,16.039202,17.654688,19.839235,19.881649,20.892412,15.542662,16.595179,17.811815,21.175835,19.829433,11.966953,10.446206,11.620809,12.10157,12.55879,12.287555,11.298495,11.983188,11.720751,12.783802,12.758432,13.1041975,12.641076,14.458382,14.081478,13.358861,14.044615,12.261158,13.797912,16.167967,13.797913,15.158522,11.874544,9.178235,9.007196,8.427383,8.707237,5.8603754,6.6087217,0.71999997,7.342588,2.8799999,5.154415,8.089993,8.209263,8.714677,8.942214,7.771331,5.0142193,8.4963045,11.019764,8.942214,11.966954,19.134262,19.852295,21.434364,14.759999,16.645864,15.5843,14.494192,15.141414,14.264361,15.905319,15.84409,15.226764,15.4800005,14.081478,14.417988,13.75558,12.620554,12.324414,10.390226,10.483357,12.9249525,14.458382,13.75558,14.440443,14.799459,15.158522,15.158522,14.081478,12.287555,10.853866,9.779817,9.028754,8.669949,8.707238,9.114471,9.531505,9.47012,9.3876505,9.3669195,9.422101,9.255571,9.449572,9.793058,10.308831,10.8955765,11.901798,12.959999,13.698934,14.512064,14.973576,15.03835,13.75558,12.261158,11.367109,11.013882,11.212135,11.525623,11.885453,12.261158,12.287555,10.823973,8.647496,7.2,6.87779,7.42159,7.628263,7.24486,5.991594,4.6102495,2.2768397,2.2768397,4.5536795,6.1094027,8.557102,10.308831,10.594036,9.779817
2025-11-13 00:51:44+00:00,2025-11-13 00:00:00+00:00,15.111424,12.6462,12.979984,14.332341,15.629972,16.595179,16.919998,17.015474,18.057508,17.106628,17.771753,16.394829,18.0036,18.861387,18.709612,19.35314,20.598795,22.366402,24.122683,25.223133,24.858253,25.323128,24.967499,23.847115,23.686249,21.96,20.696085,21.41319,23.587555,22.702845,24.023088,21.629978,26.052162,27.397867,26.368616,30.955812,33.709534,35.10323,32.409996,26.758923,29.339449,32.402,27.0,12.224107,11.720751,11.659777,11.631956,13.039754,10.853866,6.519877,5.5887027,3.7064266,4.072935,10.495713,3.9763298,5.04,2.16,1.609969,5.1544156,5.04,3.671294,7.2,12.245293,9.885262,11.923557,19.386593,16.279802,22.884789,18.709612,20.674158,20.06334,19.0392,16.520823,15.905319,14.764389,11.966954,12.224107,11.212135,9.028754,8.473393,9.255571,4.896529,9.255571,5.0911684,9.021574,5.95906,6.1094027,8.217153,11.659777,12.6462,15.226764,15.484185,15.856356,16.199999,18.692286,13.910169,14.512064,13.339445,16.93531,18.844202,15.484185,13.849476,14.917212,15.941944,15.876775,15.328561,14.345898,11.440979,12.287555,13.363711,13.910169,14.764389,12.979984,14.440443,15.5843,16.23596,17.28,18.057508,18.64369,18.59845,18.899143,18.345877,17.651016,17.106628,17.462784,18.532133,18.129137,15.84,12.9249525,11.298495,10.041354,10.086427,10.308831,9.3876505,8.905908,9.360001,10.041354,11.525623,13.084402,13.797913,14.039999,13.849477,13.0447235,11.440979,9.565437,6.9899354,4.379589,3.319036,3.5455887,4.1046314,4.0249224,3.2399998,2.0991426,2.4149535,3.7064266,5.692099,7.2,8.209263,8.942214,9.0,8.225035,8.287822,9.255571,11.043261,12.979984,14.003029,13.358861,12.371645
2025-11-14 00:52:05+00:00,2025-11-14 00:00:00+00:00,22.691423,17.551615,17.283749,15.629972,19.486609,21.316135,19.35314,20.523157,11.91812,13.397612,17.992796,21.437386,23.263912,21.734581,21.659916,25.277023,29.035288,27.038372,22.702845,20.724247,22.530937,19.06301,21.03152,23.806318,24.967499,24.066206,19.486609,26.099379,21.758419,26.282463,21.749483,22.314194,19.493261,19.245697,24.023088,34.268143,31.367552,26.220753,25.86494,23.14103,28.47643,43.956867,27.059933,9.885262,7.172949,19.386593,17.551615,22.61419,27.021591,22.751316,18.0036,16.575644,16.93531,17.643673,19.45333,18.72,15.876775,15.876775,14.044615,13.910169,13.004921,14.440443,14.561099,15.188415,15.84409,20.188908,20.929596,21.349546,19.443333,14.561099,14.05845,13.722565,11.525623,11.525623,11.252519,10.8955765,10.1376915,9.746631,10.948973,12.57426,14.205182,13.722565,14.113653,13.797912,13.202726,13.039754,12.9249525,14.039999,13.5515,16.954432,17.339897,17.377226,23.143827,24.023088,25.14852,26.042212,25.050413,24.905132,16.263872,18.792551,18.448023,17.727943,16.454008,15.941944,13.339445,14.799459,13.202726,12.57426,12.7279215,12.964998,12.979984,12.245294,12.287555,11.928989,14.081478,13.797912,13.556282,13.202726,13.441071,14.05845,14.044615,12.605142,10.446206,8.647496,7.5942073,6.924738,5.6920996,4.3349743,4.6938252,6.439876,7.491114,7.8954163,8.669949,9.726664,10.799999,10.685391,9.028754,6.849467,5.634891,5.95906,7.9526596,9.793058,9.83268,8.39657,6.638072,4.0249224,3.0547013,5.2416787,6.489992,7.10031,7.7043357,8.14587,8.435069,8.587338,8.534353,8.089993,7.8625183,7.42159,6.9899354,6.87779,8.28,10.182337,12.144331,14.345898,16.45007,17.399586,16.516901,14.332341
