forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:40:52+00:00,2025-11-05 00:00:00+00:00,9.021574,5.4477882,4.829907,6.8777895,4.452954,5.0528407,7.2,8.12197,9.885262,11.165805,13.202726,12.538134,11.91812,13.5515,21.96295,21.288757,20.188908,20.16,23.14103,24.387177,24.251284,21.96295,16.700275,19.245697,10.30883,3.4152596,5.991594,7.072878,6.763786,6.28713,7.928178,7.342588,5.4833565,2.8116899,4.8433046,8.854829,8.049845,8.217153,6.989936,5.6233797,1.8,6.1094027,11.384198,13.281023,13.70839,13.684735,14.05845,12.229406,9.449572,6.618519,5.5887027,6.193674,5.6233797,4.8433046,5.1165614,4.3349743,4.6102495,3.396233,4.68,0.35999998,3.6179552,0.71999997,1.8,2.968636,2.3051248,4.1046314,6.489992,9.565437,10.30883,10.685391,10.495713,12.538134,11.212135,8.714677,7.5170207,6.849467,6.379216,4.896529,4.6102495,1.484318,3.5455887,3.5455887,2.16,1.0182338,1.9386592,5.4833565,4.198285,5.315336,3.4152596,4.39436,5.04,7.491114,8.209263,7.754637,8.905908,6.87779,2.4149535,3.5455887,2.5455842,5.8048253,5.1544156,5.4477882,5.6920996,5.5887027,5.8603754,6.849467,6.519877,5.0911684,4.896529,4.1046314,4.73506,4.73506,2.9024127,1.484318,3.7064266,5.154415,6.0347,6.28713,6.130579,5.5887027,4.6938257,3.0758414,3.563818,5.4833565,6.0347,5.6920996,5.5887027,6.28713,6.638072,6.9899354,6.2145634,5.1544156,4.379589,4.3349743,4.3349743,3.96,2.1897945,0.8049845,2.6208394,3.9763298,5.3999996,5.8048253,5.5887027,5.154415,4.1046314,2.968636,3.319036,5.00128,5.815978,5.937272,5.8603754,5.0911684,3.6179552,2.8799999,3.2399998,3.9763298,4.6938252,5.0528407,4.896529,4.829907,4.072935,3.4152596,3.6,4.452954,5.495161,5.6233797,3.0547013,1.484318
2025-11-06 02:32:40+00:00,2025-11-06 00:00:00+00:00,10.97262,9.957108,5.3517847,7.072878,7.172949,7.5170207,5.5887027,5.4477882,4.072935,4.6800003,7.7043357,2.5455842,3.319036,3.0758414,2.6208394,2.5455842,1.835647,3.219938,7.342588,9.346143,11.4862,11.457958,9.220499,8.891343,9.387651,6.6087217,7.92,7.2805495,5.2416787,3.096837,3.6179552,5.506941,2.5455842,1.1384199,1.08,0.5091169,1.484318,1.1384199,2.1897945,5.771239,1.609969,2.0364676,4.829907,10.086427,12.0694,12.24,12.475961,12.4811535,12.594856,8.942214,7.771331,7.2359104,5.771239,5.4833565,4.198285,2.7416782,2.968636,2.6208394,2.16,3.9763298,4.452954,3.7585104,5.3517847,5.3517847,2.1897945,3.4152596,3.8268526,5.3999996,5.8603754,8.089993,8.64,6.87779,4.802999,2.9024127,3.8939953,4.6800003,5.4477882,5.8048253,5.506941,5.4477882,4.73506,5.0528407,5.1544156,3.8773184,4.896529,4.802999,5.4477882,6.130579,3.0758414,3.6,5.1544156,6.4799995,6.8399997,7.5942073,6.379216,6.763786,5.3517847,5.1544156,5.692099,5.154415,5.0142193,5.3517847,5.6920996,5.5887027,4.452954,4.6800003,4.6800003,5.3517847,4.3498964,4.1046314,4.6938252,3.6179552,1.9386592,1.2979984,5.0142193,5.937272,6.162207,6.130579,6.28713,6.28713,5.1919937,2.9024127,2.8116899,5.1544156,5.8048253,5.8048253,5.4477882,5.4119864,5.3999996,5.3999996,5.04,4.6938252,4.3349743,4.32,4.3349743,3.671294,1.484318,1.08,3.2599385,3.9763298,4.1046314,4.3498964,5.0142193,5.5887027,4.802999,1.484318,2.9024127,6.2145634,7.69592,7.69592,7.69592,7.2805495,6.130579,5.4119864,5.0911684,4.802999,4.5536795,4.0249224,3.6,3.396233,3.9763298,5.2416787,6.489992,7.9932966,10.137692,11.212135,9.0645685,6.193674
2025-11-07 02:30:39+00:00,2025-11-07 00:00:00+00:00,11.480557,5.692099,7.208994,6.638072,8.759178,8.373386,3.319036,1.609969,1.8,1.8,3.5455887,4.829907,6.0347,4.2136917,4.379589,4.73506,3.0758414,6.830519,10.30883,9.504272,13.104198,15.03835,13.324863,13.324863,12.313894,8.209263,6.9899354,4.802999,1.1384199,1.08,1.9386592,1.484318,1.4399999,1.9386592,2.5455842,3.5455887,4.452954,2.6208394,4.6938257,6.379216,7.072878,4.6102495,5.634891,6.638072,7.42159,8.64,7.928178,6.87779,5.771239,3.8773184,5.4833565,4.802999,5.4477882,5.506941,5.506941,6.28713,4.68,4.6938252,5.506941,5.2416787,4.73506,4.6938252,4.3349743,5.0911684,2.4149535,2.5455842,4.6938252,5.4119864,6.28713,7.5170207,7.754637,7.5942082,5.991594,4.3349743,5.3517847,5.0142193,5.1544156,5.506941,5.1544156,6.2145634,6.28713,5.8603754,5.0911684,4.802999,4.452954,4.802999,5.506941,6.130579,1.5273507,3.2599385,4.1046314,6.28713,7.172949,7.42159,6.830519,7.5685663,5.3999996,3.8773184,6.297428,5.1544156,6.162207,6.130579,6.5693827,5.506941,5.506941,5.0911684,6.9899354,5.3999996,6.130579,5.771239,6.5693827,4.802999,4.802999,1.2979984,5.00128,5.634891,5.4833565,4.896529,4.379589,3.9763298,2.7416782,0.8049845,4.3349743,7.2,7.928178,7.2805495,6.9899354,6.924738,6.87779,6.849467,6.849467,6.849467,6.519877,6.5693827,6.379216,5.2416787,2.5455842,2.968636,5.991594,8.209263,10.233123,10.464797,9.1641035,6.489992,3.8773184,0.35999998,4.0249224,7.2805495,7.9932976,7.5942073,7.208994,6.8399997,6.4799995,6.130579,6.519877,7.342588,6.5693827,2.968636,4.0249224,6.1305785,2.968636,5.3999996,10.390226,12.57426,13.849476,13.556282,12.24,12.096214
2025-11-08 02:19:18+00:00,2025-11-08 00:00:00+00:00,11.966954,12.7279215,10.829958,6.489992,5.0142193,7.10031,6.9153743,6.12,3.671294,4.3349743,4.3349743,6.5693827,6.5693827,5.0911684,5.4119864,9.72,8.4042845,3.7585104,7.42159,7.754637,6.638072,7.6367526,6.5693827,6.8399997,6.28713,4.802999,2.7416782,3.5455887,2.0991426,1.8,3.9763298,5.8603754,11.440979,11.726277,13.039754,14.205182,13.441071,13.37825,13.202726,13.527572,10.636766,2.8799999,6.130579,9.028754,8.209263,8.905908,11.090103,9.511088,8.161764,5.0142193,5.8603754,5.4833565,5.5887027,6.638072,5.5887027,5.506941,5.506941,5.4119864,5.0911684,4.5536795,5.3517847,4.452954,5.0911684,5.0528407,2.1897945,3.9763298,5.4119864,5.506941,7.92,6.924738,8.557102,5.00128,4.510787,3.319036,5.1165614,5.937272,5.4477882,5.8048253,5.506941,5.937272,6.130579,4.6938252,5.0142193,5.0528407,4.802999,4.73506,5.8603754,5.4119864,3.2599385,1.4399999,5.8048253,6.763786,6.5693827,6.519877,6.519877,3.6179552,3.8773184,1.1384199,5.8603754,5.8048253,7.5942073,7.208994,7.2805495,7.6367526,6.87779,6.638072,6.638072,6.5693827,6.87779,7.5942073,6.12,5.4119864,5.0528407,2.2768397,5.6233797,7.7043357,9.220499,9.726664,9.0,7.7879906,5.495161,1.5273507,3.671294,7.172949,8.209263,8.049845,7.5942073,6.8399997,5.4119864,4.379589,3.6,3.7585104,4.0249224,5.0142193,6.2145634,6.130579,2.6208394,3.6,7.24486,7.8954163,6.6185193,5.3517847,4.73506,3.9763298,3.0758414,0.8049845,2.5959969,4.198285,3.219938,0.8049845,0.35999998,1.4399999,4.452954,6.0347,5.3517847,3.7064266,2.8116899,3.0547013,3.8268526,4.6102495,5.3999996,6.1305785,5.8603754,3.8939953,2.0991426,3.0758414,2.5959969,2.1897945
2025-11-09 02:40:25+00:00,2025-11-09 00:00:00+00:00,8.209263,5.4833565,3.0547013,4.0249224,5.04,2.3051248,2.7416782,6.5693827,9.605998,10.390226,11.592895,14.039999,14.05845,14.039999,14.182355,14.007655,12.57426,3.0758414,9.47012,8.049845,7.9526596,8.707238,9.6932955,6.489992,9.178235,6.618519,5.4119864,5.6233797,7.9932976,13.708391,12.57426,11.090103,10.296251,14.039999,13.53236,13.1041975,13.363711,13.684735,13.608762,14.480773,8.049845,2.4149535,3.8268526,9.3876505,9.826088,11.440978,9.693296,9.19939,7.928177,3.6,5.3999996,4.1046314,5.1544156,5.771239,3.7064266,5.0528407,5.04,5.506941,5.506941,5.0911684,4.896529,3.6179552,5.771239,5.0528407,2.5455842,3.5455887,4.510787,2.3051248,7.491114,5.6233797,7.491114,5.0528407,3.2599385,2.968636,3.8773184,6.2145634,5.8048253,7.9526596,9.007196,6.9899354,6.12,6.8399997,5.8048253,6.2145634,6.12,6.4799995,6.849467,5.4119864,1.4399999,1.1384199,5.6233797,9.178235,11.966953,10.829958,10.538843,11.525623,8.891344,2.4149535,5.815978,5.00128,7.628263,7.7043357,7.7879906,9.178235,6.8777895,9.290511,15.1884165,20.26899,26.674032,37.017033,40.392254,37.017033,38.988182,20.633371,8.78872,11.165805,11.609651,11.753876,11.753876,11.753877,11.966954,11.720751,10.538843,9.726665,9.028754,8.209263,7.5685663,7.10031,6.4096174,6.1094027,6.193674,6.28713,6.489992,6.379216,6.489992,6.763786,7.7043357,9.449572,10.990322,12.43434,14.05845,14.917212,14.081478,12.605142,10.446206,8.049845,5.8048253,5.00128,4.6938252,5.3517847,5.991594,6.489992,7.10031,7.24486,7.0911775,6.9527545,6.489992,6.379216,6.638072,5.5887027,2.9024127,2.5455842,5.4833565,7.5170207,8.557102,9.255571,9.0,8.089993
2025-11-10 02:32:43+00:00,2025-11-10 00:00:00+00:00,10.144082,5.00128,3.096837,1.8,5.0528407,9.826088,6.28713,5.771239,13.084402,14.241629,14.372974,14.48972,14.182355,14.007655,12.879752,13.363711,10.028439,3.0547013,4.3349743,8.707238,11.525623,11.090103,10.163227,9.931042,6.9153743,6.763786,5.771239,6.8777895,5.4477882,11.440979,13.441071,13.049689,13.237039,13.1041975,13.1041975,13.1041975,13.32,13.441071,13.1041975,13.441071,9.605998,5.771239,3.7585104,7.928177,9.227524,10.440001,6.162207,5.95906,6.924738,1.484318,3.319036,7.5942073,6.849467,6.489992,7.2359104,7.6367526,7.208994,7.342588,6.130579,6.4799995,6.4799995,5.04,5.4119864,4.3349743,4.3498964,3.5455887,7.072878,12.144331,13.779114,13.698934,13.708391,12.682018,9.605998,3.671294,4.39436,4.8433046,9.36,13.138765,12.72283,20.12461,24.122686,27.267473,32.917862,39.91944,29.354902,19.13426,7.928177,7.386582,3.219938,2.0991426,5.0142193,6.193674,10.195057,8.669949,8.714677,9.826088,12.496719,9.107359,7.289444,2.0991426,4.896529,6.379216,5.815978,6.28713,6.6087217,6.618519,5.815978,5.00128,5.2416787,6.439876,6.193674,6.3690495,5.3999996,5.0911684,6.989936,6.489992,6.489992,6.830519,6.9247384,6.489992,5.3999996,3.396233,1.1384199,1.484318,1.484318,2.5959969,3.8268526,3.8773184,3.96,4.1046314,3.6,3.8939953,4.072935,2.7416782,3.096837,3.8268526,2.968636,4.8433046,7.5942082,8.707237,8.891343,8.891343,9.021574,8.699793,7.5685663,4.8965297,2.52,3.8939953,4.802999,5.7599998,6.2145634,6.638072,6.2145634,6.2145634,6.162207,6.519877,6.489992,7.2,7.5685663,7.2,4.802999,2.9024127,3.8773184,5.1919937,5.904439,6.4096174,6.4096174,6.1305785
2025-11-11 02:21:44+00:00,2025-11-11 00:00:00+00:00,9.227524,6.763786,3.219938,1.8,3.563818,5.0911684,6.849467,9.0645685,10.137692,12.661564,14.05845,13.556282,13.905509,12.9249525,12.413476,12.413476,9.9571085,5.8048253,4.6938257,8.714677,11.440979,10.028439,9.826088,7.754637,7.5942073,0.5091169,9.028754,4.8965297,4.3349743,6.4799995,1.835647,2.7416782,1.2979984,4.3498964,0.5091169,7.289445,4.1046314,5.991594,11.631956,6.2145634,3.96,2.5455842,7.342588,5.95906,10.495713,19.137648,17.555305,17.015474,14.440443,3.7064266,5.8048253,6.379216,10.182337,9.227524,17.84816,15.158522,14.869351,17.076298,18.692286,30.302078,30.758411,30.684587,34.882866,40.762745,38.445908,41.493805,38.400375,44.565907,38.96823,21.485697,18.64369,20.466246,8.225035,8.647496,6.9247384,5.506941,3.2599385,3.6179552,2.8799999,1.484318,1.4399999,3.9763298,3.6179552,5.1919937,6.2145634,4.1046314,4.3349743,5.5887027,3.8268526,0.5091169,2.968636,4.1046314,5.4833565,7.92,8.766573,9.885262,7.7043357,6.9527545,4.379589,4.802999,5.991594,6.193674,6.618519,5.991594,5.6002855,5.6002855,5.495161,5.1919937,5.1165614,4.3349743,2.9024127,3.671294,0.8049845,1.8,4.452954,5.8603754,6.519877,6.849467,6.12,5.0528407,3.319036,0.8049845,3.2599385,5.7599998,6.849467,7.5942073,7.5942073,7.2359104,6.519877,6.130579,6.12,6.4799995,6.849467,7.2359104,7.2805495,6.2145634,3.319036,0.35999998,3.671294,5.2416787,6.489992,6.9527545,7.289444,7.289444,6.151683,2.8116899,3.4152596,6.87779,7.9526596,7.9932976,7.69592,8.557102,9.227524,8.049845,3.6,4.896529,9.028754,9.178235,7.4128532,5.904439,5.1544156,4.896529,5.3517847,5.315336,5.4477882,5.8048253,5.506941,4.379589
2025-11-12 02:24:38+00:00,2025-11-12 00:00:00+00:00,7.69592,4.3349743,1.5273507,9.36,10.308831,7.2,5.506941,9.422101,6.130579,4.829907,4.0249224,3.0758414,3.5455887,5.8048253,2.4149535,1.08,5.771239,5.8603754,15.226764,11.720751,11.304229,19.164719,19.562946,17.884428,12.7279215,4.1046314,7.653705,10.8955765,7.968939,0.8049845,3.2599385,6.162207,9.957108,11.525623,8.942214,10.144082,11.090103,14.494192,28.930204,31.222609,34.17157,29.07989,29.07989,28.137634,28.277763,18.448023,15.856356,12.413476,9.449572,19.734436,13.049689,8.4963045,8.654986,6.489992,6.6087217,11.304229,8.759178,6.519877,4.1046314,2.0991426,3.8773184,8.4042845,1.8,5.8048253,4.8965297,8.373386,7.386582,5.4119864,2.6208394,6.792466,7.42159,7.771331,9.449572,6.9527545,7.5599995,6.87779,6.830519,5.3517847,5.1919937,5.1919937,3.8939953,3.96,4.0249224,1.835647,2.4149535,5.815978,1.8,5.1544156,2.1897945,6.8399997,4.6938252,6.8399997,7.771331,6.519877,6.12,2.5455842,4.6800003,5.3999996,7.8954163,6.9247384,7.4128532,5.6233797,7.386582,10.883676,13.104198,10.514218,10.383987,9.585739,10.315115,9.178235,8.78872,9.178235,8.209263,11.753877,15.484185,16.171976,16.071491,15.379206,13.896187,11.620809,9.904906,8.854829,8.209263,8.161764,8.4963045,9.290511,9.793059,10.296251,10.799999,10.739832,9.422101,7.9036193,6.9527545,6.9527545,6.9247384,6.638072,5.815978,7.072878,7.968939,7.289444,11.753877,15.978486,15.463244,12.224107,9.449572,8.049845,7.653705,7.2,6.28713,5.8603754,5.0528407,4.1046314,2.8116899,2.5959969,3.096837,3.8268526,4.39436,4.6800003,4.73506,4.32,3.0758414,2.4149535,2.0991426,3.319036,6.9153743,9.673221,10.233123,9.826088
2025-11-13 02:42:27+00:00,2025-11-13 00:00:00+00:00,9.9571085,6.9153743,3.671294,3.6179552,10.308831,10.829959,11.298495,10.587918,8.4963045,7.9932966,11.304229,11.901798,14.512064,12.57426,11.480557,11.620809,15.629971,13.905509,12.7279215,27.402597,24.144167,29.07989,26.61323,23.828083,22.870626,26.099379,27.212759,24.18707,16.87398,18.59845,14.241629,7.10031,9.449572,11.609651,7.754637,2.9024127,3.319036,8.12197,4.802999,0.8049845,2.6208394,4.802999,7.4128532,8.427383,7.4128532,11.525623,9.1641035,5.3999996,7.172949,4.6102495,5.1919937,4.2136917,4.32,5.5887027,3.319036,6.725354,4.198285,2.6208394,4.6938252,4.3349743,3.096837,3.8773184,3.0758414,5.6233797,4.2136917,3.6,5.315336,6.849467,5.8048253,6.8777895,7.9932976,11.183201,13.441071,14.021525,15.124284,14.336861,12.397806,9.178235,10.00256,10.805998,12.768586,14.021525,14.021525,14.77755,12.904882,12.43434,15.778516,13.755579,12.096214,13.0447235,15.807239,16.92383,17.193533,18.214718,17.193533,14.587776,13.32,10.829958,9.220499,9.178235,8.161764,10.296251,14.48972,18.03237,17.49615,18.504139,19.353138,24.387178,29.59235,24.485292,18.161278,13.089354,13.358861,9.605998,7.69592,7.5599995,7.6367526,7.9932976,7.5942073,8.534353,9.686609,10.44,11.212135,11.480557,11.212135,10.703569,9.931042,9.673221,9.673221,9.1641035,7.928177,6.439876,5.8603754,6.4799995,7.208994,7.2805495,5.6920996,3.6,2.5455842,3.319036,5.154415,6.6185193,7.4128532,7.8954163,7.7043357,6.28713,4.6938252,4.39436,4.8965297,5.315336,5.4833565,5.3517847,4.896529,4.452954,4.73506,5.0528407,5.3999996,5.4119864,5.4477882,4.379589,2.1897945,2.4149535,4.8433046,5.8048253,6.0347,6.2145634,6.519877,6.162207
2025-11-14 02:25:42+00:00,2025-11-14 00:00:00+00:00,11.885453,19.469976,17.287498,16.516901,7.7879906,13.237038,7.5599995,3.7585104,12.245293,10.182337,11.720751,8.647496,4.0249224,5.6002855,1.8,3.5455887,3.319036,2.9024127,4.802999,2.2768397,4.6800003,6.9247384,6.638072,6.489992,9.531505,3.0758414,5.0142193,5.4119864,4.5536795,3.9763298,3.8773184,2.5959969,3.7585104,5.3999996,2.3051248,0.8049845,2.52,2.6208394,1.4399999,3.219938,0.8049845,2.0991426,7.6367526,12.10157,13.746156,14.799459,16.870138,19.373219,15.876775,7.42159,7.9932966,8.534353,8.0899935,13.479583,14.264361,12.229406,12.313894,11.298495,11.304229,9.511088,11.159999,10.1376915,7.754637,8.4963045,9.885262,10.799999,15.379206,19.0392,19.386593,21.129885,19.826164,18.514643,17.447933,15.629971,19.171478,18.59845,20.188908,21.659916,22.288042,22.427162,22.366402,18.581022,10.195057,7.2359104,9.449572,8.311245,7.5599995,6.519877,6.849467,9.422101,12.413476,9.531505,10.966713,11.542478,9.659814,6.9247384,8.404285,9.511088,8.089993,6.9247384,6.3690495,6.12,5.4833565,5.2416787,5.00128,4.8965297,4.896529,5.1544156,4.510787,4.8433046,4.6938257,4.510787,3.7064266,2.5455842,2.8799999,3.563818,5.6920996,6.87779,6.5693827,5.904439,5.8048253,5.506941,5.0911684,5.154415,5.1165614,5.1919937,5.4833565,5.6920996,6.0347,6.0347,5.937272,5.8048253,5.771239,6.12,6.4799995,5.7599998,3.2399998,0.35999998,2.9024127,4.6938252,5.8048253,6.519877,6.489992,5.7599998,4.3349743,1.9386592,2.0991426,4.452954,5.506941,5.8603754,5.8048253,5.0528407,3.96,3.2399998,3.0758414,3.8268526,4.198285,3.319036,1.9386592,1.9386592,1.835647,0.71999997,0.8049845,3.319036,6.4096174,7.7043357,5.634891,2.6208394
