forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:51:55+00:00,2025-11-05 00:00:00+00:00,1012.4612,1012.5467,1012.73474,1013.7241,1014.6162,1014.6119,1013.9076,1013.0056,1012.5024,1012.69977,1012.99646,1012.99927,1012.2056,1012.8091,1013.2123,1013.9177,1015.2121,1016.205,1016.2995,1017.0002,1017.2041,1017.7025,1018.10474,1018.40424,1018.30475,1018.7028,1019.6986,1020.29694,1020.89435,1021.5893,1022.4846,1022.984,1022.5816,1022.67944,1022.6775,1022.5739,1022.7706,1023.07056,1023.07214,1022.771,1022.87555,1022.8824,1023.1902,1021.22394,1020.6297,1019.83575,1019.1375,1018.93854,1018.53534,1018.7217,1019.01636,1019.3133,1019.1107,1019.2055,1019.20135,1018.99976,1018.99817,1018.99756,1018.7051,1018.60425,1018.4071,1018.4052,1018.40204,1018.60077,1018.9104,1019.2215,1019.1299,1019.0365,1018.2432,1017.3492,1016.5517,1015.9514,1015.2481,1015.1368,1015.43146,1015.3285,1015.22516,1015.12177,1015.0179,1014.71454,1014.81177,1015.3088,1015.4063,1014.904,1014.1034,1014.2017,1013.89996,1014.59845,1015.40765,1015.31836,1015.12915,1015.0389,1014.1492,1013.6564,1013.1603,1012.96136,1012.76,1013.0443,1013.8383,1014.0347,1014.23126,1014.62573,1014.9227,1014.92114,1015.11804,1015.1161,1015.7148,1015.81305,1016.0117,1016.4101,1016.8082,1017.10736,1017.41833,1017.7287,1017.83905,1017.5489,1017.15735,1016.7631,1016.5651,1016.46356,1016.46014,1016.65344,1017.0448,1017.43713,1017.83203,1018.2286,1018.52576,1018.72327,1018.82117,1018.919,1019.11676,1019.2145,1019.4125,1019.6089,1019.706,1019.90656,1020.21405,1020.52563,1020.5369,1020.0476,1019.159,1018.46576,1017.86676,1017.46326,1017.1587,1017.2525,1017.44476,1017.63873,1017.63525,1017.63306,1017.5313,1017.42914,1017.2279,1017.02704,1016.82605,1016.62573,1016.4251,1016.4235,1016.4216,1016.42194,1016.42664,1016.43365,1016.1418,1015.35266,1014.2646,1013.3721,1012.6735,1012.0707
2025-11-06 00:52:33+00:00,2025-11-06 00:00:00+00:00,1018.11176,1018.2069,1018.6039,1019.00226,1020.0967,1020.295,1020.59326,1019.99335,1020.2925,1020.79517,1020.9954,1021.3945,1021.39026,1021.4863,1021.1843,1021.5775,1021.687,1022.0018,1022.2913,1022.0102,1021.4216,1021.2274,1020.83124,1020.6319,1020.32983,1020.31805,1020.4108,1020.10333,1019.89624,1019.8931,1020.2909,1020.18756,1019.58716,1019.384,1019.28296,1019.08234,1018.98157,1018.88385,1019.28613,1019.2881,1019.5956,1019.5047,1019.319,1018.33856,1017.2467,1016.3514,1015.5527,1015.2519,1014.947,1014.7359,1014.9313,1015.0284,1014.9244,1014.82135,1014.8172,1014.6137,1014.3114,1014.1092,1014.5063,1014.00494,1014.00336,1013.802,1014.1995,1014.49866,1015.10815,1015.41876,1015.1301,1015.1399,1014.34955,1013.65674,1013.35974,1013.16003,1012.95593,1013.2428,1013.4386,1013.93524,1014.2332,1014.629,1014.62494,1014.42267,1014.71936,1014.91705,1015.1148,1015.11383,1015.31256,1015.7101,1016.00824,1016.60724,1017.2168,1017.5268,1017.3361,1017.14465,1016.5523,1015.8583,1015.6611,1015.5609,1015.4548,1015.44196,1015.8372,1016.1338,1016.43054,1016.7278,1016.92523,1016.92267,1016.9211,1017.0193,1017.01807,1017.0165,1017.2146,1017.4129,1017.611,1017.81006,1018.21826,1018.5299,1018.63965,1018.1487,1017.4576,1016.7631,1016.36505,1015.96375,1015.8604,1015.954,1016.2452,1016.538,1016.634,1016.7316,1016.72974,1016.52747,1016.22546,1016.0235,1015.9224,1015.8212,1015.7206,1015.71893,1015.81714,1015.8191,1015.82574,1015.6356,1015.34564,1014.65533,1013.7648,1012.87164,1012.0749,1011.37524,1010.87256,1010.7661,1010.95624,1011.14777,1011.1427,1011.13885,1011.136,1011.034,1010.8324,1010.6318,1010.43207,1010.1332,1010.03314,1010.02997,1010.0261,1010.2258,1010.6323,1011.24225,1011.35156,1010.859,1009.866,1009.0698,1008.3706,1007.8679
2025-11-07 00:51:43+00:00,2025-11-07 00:00:00+00:00,1019.63745,1018.3271,1019.01855,1018.61285,1019.9043,1020.79675,1020.69403,1019.89276,1019.991,1019.9875,1019.38654,1018.7864,1018.5857,1019.2832,1019.08234,1019.28064,1018.8938,1019.1037,1019.6192,1019.22815,1018.4371,1017.9439,1017.447,1016.9481,1016.4477,1016.33545,1016.3249,1015.91925,1015.8143,1015.61145,1015.908,1015.7049,1015.20135,1015.0963,1014.8925,1014.69037,1014.6875,1014.9826,1015.5783,1015.57733,1015.9888,1016.30383,1016.3144,1015.0389,1014.4478,1013.75464,1013.15875,1013.0595,1013.0542,1013.2415,1013.5359,1013.83386,1014.22974,1014.726,1014.92346,1014.82074,1015.0185,1015.3168,1015.71515,1015.613,1015.8117,1016.31006,1016.8075,1017.60614,1018.3159,1018.7274,1018.7376,1018.64825,1017.95703,1017.16376,1016.86743,1017.06805,1016.9625,1017.1468,1017.7408,1018.23645,1018.63324,1018.92993,1019.4266,1019.3241,1019.62103,1019.9187,1020.01666,1019.81464,1019.71265,1019.7113,1019.7098,1020.00824,1020.6172,1020.7302,1020.6415,1020.35126,1019.8598,1018.7673,1017.97205,1017.47284,1017.06616,1017.1497,1017.2455,1017.1427,1017.3386,1017.6349,1017.5335,1017.4305,1017.32654,1017.0241,1017.12164,1016.6197,1016.71796,1016.6164,1016.515,1016.4149,1016.5236,1016.6337,1016.5437,1016.15173,1015.4591,1014.86395,1014.3661,1013.86597,1013.5632,1013.45703,1013.548,1013.6402,1013.735,1013.83093,1013.9276,1013.9251,1013.9228,1013.82104,1013.7194,1013.61725,1013.6157,1013.7127,1014.01,1014.2116,1014.41943,1014.63153,1014.64325,1014.354,1013.86365,1013.4703,1013.1731,1013.07196,1012.96857,1013.06085,1013.3502,1013.6408,1013.9356,1014.3317,1014.6284,1014.9246,1015.12177,1015.4194,1015.6184,1015.8181,1016.1182,1016.51794,1017.0177,1017.51825,1018.01935,1018.52167,1018.72485,1018.3319,1017.5405,1016.9463,1016.7463,1016.6435
2025-11-08 00:47:31+00:00,2025-11-08 00:00:00+00:00,1015.64514,1015.53455,1015.4264,1015.22205,1015.2175,1015.6137,1015.2102,1014.1067,1013.6033,1013.7983,1013.7944,1013.8914,1014.0876,1014.58484,1014.5829,1015.1784,1015.88635,1016.20404,1015.52155,1015.23413,1014.8449,1014.85443,1014.55804,1014.16003,1013.857,1013.93933,1014.1283,1014.12054,1014.31555,1014.71075,1015.1068,1015.30176,1015.4979,1015.9942,1016.0905,1016.08856,1016.18665,1016.4838,1016.9804,1016.8796,1017.59125,1018.3124,1018.6314,1018.7487,1018.0582,1017.16473,1016.9676,1016.9676,1016.96155,1017.44574,1018.0397,1018.2362,1018.53284,1018.82916,1019.12573,1019.1238,1019.1213,1019.4182,1019.41626,1019.5149,1019.5136,1019.6118,1019.6102,1020.0096,1020.3183,1020.431,1020.342,1020.0524,1019.16113,1018.26843,1017.6712,1017.3717,1016.9637,1016.9491,1017.145,1017.44196,1017.4385,1017.7357,1017.5335,1017.53094,1017.0286,1016.9272,1016.82635,1016.42413,1016.42194,1016.3196,1016.11725,1016.3144,1016.426,1016.63586,1016.3463,1015.7559,1014.86456,1013.7724,1013.0768,1012.7775,1012.37146,1012.15625,1012.4507,1012.54645,1012.6415,1012.5372,1012.73315,1012.6304,1012.62823,1012.72614,1013.02374,1012.82153,1012.919,1012.91724,1012.91565,1013.0161,1013.32513,1013.63635,1013.64777,1012.95807,1011.86786,1010.9743,1010.37756,1009.87805,1009.7747,1010.06665,1010.75507,1011.34515,1011.9391,1012.53503,1012.8316,1012.7287,1012.426,1012.22375,1012.2219,1012.4196,1012.618,1012.8151,1013.1127,1013.3133,1013.52,1013.6297,1013.5375,1012.9416,1011.94415,1011.2461,1010.84753,1010.5484,1010.5474,1010.84344,1011.4374,1012.03235,1012.6294,1013.3271,1013.8255,1014.1244,1014.22394,1014.3231,1014.22235,1014.1213,1013.92065,1013.72003,1013.6198,1013.62115,1013.92535,1014.4309,1014.83594,1014.8404,1014.7441,1014.64655,1014.74603,1014.8437
2025-11-09 00:54:12+00:00,2025-11-09 00:00:00+00:00,1013.7582,1013.6424,1013.63007,1014.2221,1014.8163,1015.8101,1015.6063,1014.904,1014.9011,1015.0967,1015.49225,1015.7891,1016.18665,1016.8829,1017.0818,1017.6777,1018.78125,1019.10974,1018.82214,1018.64185,1018.0569,1017.9654,1017.77203,1017.6745,1017.6678,1017.9472,1018.4339,1018.52484,1018.8163,1019.209,1019.6032,1019.6995,1019.4977,1019.6957,1019.6871,1019.48364,1019.48206,1019.6829,1020.17896,1020.27136,1020.78143,1021.0066,1021.1279,1020.05176,1019.2608,1018.0662,1017.5692,1017.0704,1016.8623,1016.84924,1017.04517,1017.54205,1017.6381,1017.9351,1017.53326,1017.2311,1017.32837,1017.12585,1016.92426,1016.42377,1016.3208,1016.2223,1016.31824,1016.6191,1016.6273,1016.8346,1016.6404,1015.94946,1015.1578,1014.46674,1013.47125,1012.9705,1012.56573,1012.4523,1012.64905,1012.74194,1012.93805,1012.9337,1013.0297,1012.52765,1012.3249,1012.22253,1012.4196,1012.617,1011.91595,1012.1128,1012.1116,1013.0101,1013.7181,1013.1292,1013.438,1012.947,1011.85425,1011.458,1010.6608,1009.86383,1009.5586,1009.4502,1009.647,1009.9377,1009.9317,1009.527,1009.32477,1008.8227,1008.02405,1007.32495,1006.94226,1006.446,1005.6475,1005.0464,1004.4357,1004.6285,1006.1243,1008.2168,1009.8125,1010.21405,1010.0179,1009.82104,1009.72284,1009.6239,1009.6223,1009.7162,1010.00714,1010.00055,1009.5977,1009.0972,1008.8966,1009.19556,1009.7945,1010.4924,1011.0888,1011.7841,1012.37994,1012.87524,1013.3709,1013.7706,1014.2777,1014.78864,1015.09766,1015.0017,1014.6033,1014.30444,1014.105,1014.00494,1013.9041,1014.00104,1014.19763,1014.39435,1014.5934,1014.7931,1014.8923,1014.99084,1014.9889,1014.9873,1014.9854,1014.8837,1014.9819,1015.3786,1015.9751,1016.37537,1016.58167,1016.7916,1016.8005,1016.7077,1016.41455,1016.2188,1016.1199,1016.1192
2025-11-10 00:55:06+00:00,2025-11-10 00:00:00+00:00,1017.3666,1017.14874,1017.7357,1018.0266,1018.91864,1019.5114,1019.40643,1019.4,1019.896,1020.2925,1019.7908,1019.29095,1019.4871,1020.0775,1020.073,1020.46844,1020.97876,1021.30963,1021.7247,1021.645,1020.66034,1020.469,1019.87354,1019.2745,1018.96655,1018.94617,1019.13434,1019.22754,1019.11676,1019.0097,1019.2039,1019.20233,1018.8987,1018.98956,1018.9829,1018.8782,1018.57574,1018.3723,1018.06934,1017.56824,1017.68085,1017.90405,1017.6257,1015.8528,1014.7585,1013.9676,1013.06726,1012.76953,1012.26526,1012.3525,1012.34894,1012.7433,1012.33887,1012.73376,1012.7322,1012.3299,1012.12616,1012.0244,1012.0222,1012.019,1011.8165,1011.6149,1011.51416,1011.81464,1012.42175,1012.5306,1012.6405,1011.749,1010.9578,1010.0657,1008.3688,1008.6654,1008.1643,1007.8509,1008.34753,1008.04205,1008.04144,1008.13934,1008.03894,1007.44495,1008.74536,1009.5405,1009.6264,1009.3197,1009.71173,1010.1095,1010.80835,1011.4086,1011.608,1012.1106,1012.71436,1012.52203,1012.0263,1011.72974,1011.4302,1011.6273,1011.9191,1012.109,1012.50165,1012.8959,1012.8924,1012.8918,1012.9903,1012.78754,1012.78436,1012.8836,1013.18146,1013.2787,1012.9761,1013.17615,1013.4762,1013.77856,1014.08374,1014.3918,1014.59784,1014.4013,1014.10376,1013.9041,1013.90216,1013.99854,1014.19507,1014.4936,1014.7927,1015.0922,1015.3914,1015.691,1015.89087,1016.09125,1016.19135,1016.2915,1016.29114,1016.19073,1016.29,1016.7878,1017.5852,1018.18506,1018.6885,1019.1937,1019.29956,1018.90594,1018.313,1017.7179,1017.3195,1017.11884,1016.9169,1016.9128,1017.107,1017.20215,1017.1986,1017.1961,1017.19354,1017.0904,1016.8876,1016.6854,1016.384,1016.1831,1015.8829,1015.68396,1015.48584,1015.2891,1015.1946,1015.0023,1014.70886,1014.0151,1013.0208,1012.1248,1011.3269,1010.6271
2025-11-11 00:52:02+00:00,2025-11-11 00:00:00+00:00,1018.0629,1017.64325,1017.7322,1018.22314,1019.2157,1019.6102,1019.9043,1018.202,1017.6972,1017.4923,1017.18774,1017.0841,1017.1807,1017.5778,1017.1766,1017.2762,1017.0867,1017.40845,1017.9264,1017.44476,1016.25507,1016.06085,1015.46356,1014.76575,1014.36127,1014.3445,1014.4366,1014.0294,1013.8183,1013.9092,1014.2027,1014.002,1013.7,1013.9028,1013.90094,1014.0026,1014.0026,1014.40094,1014.6993,1014.7985,1014.90533,1015.1158,1015.22516,1013.0443,1012.15155,1011.2574,1010.56335,1010.1649,1009.3621,1008.7502,1009.5497,1009.7443,1010.2423,1010.53925,1009.3409,1009.63916,1009.23987,1007.741,1006.7502,1007.1502,1006.9384,1005.3484,1005.13983,1005.03595,1004.0392,1006.93726,1007.53973,1007.4323,1007.1218,1007.3252,1007.42346,1007.81995,1008.3207,1008.9156,1009.4126,1009.8081,1010.4058,1010.905,1011.0045,1011.0055,1011.3059,1011.304,1011.4003,1011.1978,1011.2961,1011.09576,1011.3937,1011.6919,1012.29596,1012.6018,1012.5084,1012.51465,1011.81964,1011.02386,1010.8252,1010.9246,1010.92114,1011.311,1011.6066,1011.90295,1012.49915,1012.6957,1012.8924,1013.0905,1013.2873,1013.2847,1013.4826,1013.4803,1013.7782,1013.9763,1014.1741,1014.37274,1014.78,1015.1893,1015.29865,1014.9071,1014.31555,1013.72125,1013.3238,1013.0234,1012.9213,1013.11615,1013.40936,1013.7029,1013.7985,1013.7951,1013.79224,1013.88916,1013.98584,1014.0831,1014.0812,1014.0793,1014.17755,1014.27484,1014.4726,1014.6738,1014.9816,1015.1934,1015.20416,1014.7133,1013.9212,1013.22723,1012.8297,1012.43036,1012.2285,1012.22253,1012.21423,1012.3071,1012.3027,1012.39996,1012.3983,1012.3996,1012.3023,1012.2035,1011.9008,1011.4967,1011.29315,1011.492,1011.99115,1012.49054,1012.98914,1013.38806,1013.7878,1013.9896,1013.9931,1013.99506,1013.8955,1013.69495
2025-11-12 00:51:21+00:00,2025-11-12 00:00:00+00:00,1014.257,1013.6412,1013.2323,1013.6281,1013.92255,1013.8193,1013.7152,1012.9118,1012.9054,1012.7993,1012.79834,1012.6937,1012.9973,1014.1957,1014.8966,1015.29596,1015.70306,1015.71356,1015.421,1015.3281,1014.63446,1014.24084,1013.6424,1013.2434,1013.0434,1012.6351,1013.1305,1012.82367,1012.8167,1012.51697,1012.4142,1011.81464,1011.0159,1010.6096,1010.113,1009.62177,1009.1301,1008.733,1009.03284,1009.5308,1010.2236,1010.92175,1011.91095,1007.73785,1007.4329,1007.82825,1007.42444,1007.5218,1008.12036,1008.31793,1008.81384,1009.3105,1009.61224,1010.01184,1010.5123,1010.2103,1010.7082,1010.90717,1011.3069,1010.8058,1010.706,1010.1066,1010.60767,1010.60767,1011.31,1012.0118,1012.1207,1013.1245,1012.3309,1012.93243,1012.93396,1012.2349,1012.03076,1012.32007,1012.6158,1013.11365,1012.8104,1013.30707,1013.00464,1013.0025,1012.6012,1012.89844,1011.59906,1010.99884,1010.29834,1009.2992,1008.4986,1008.8966,1008.20416,1007.6146,1006.72565,1006.0353,1004.944,1003.6521,1002.85846,1002.3596,1002.24945,1002.7317,1003.02795,1003.7243,1004.5202,1004.9169,1005.21423,1005.611,1006.11053,1006.21063,1006.7092,1006.90845,1007.10754,1007.3088,1007.61017,1007.80676,1008.2121,1008.6211,1008.72833,1008.4326,1007.73596,1007.2368,1006.9344,1006.63116,1006.428,1006.2268,1005.9266,1005.7267,1005.42645,1005.1267,1004.92664,1004.7274,1004.62775,1004.4281,1004.22784,1003.92737,1003.826,1004.0232,1004.3192,1004.71606,1005.11475,1005.51434,1005.71436,1005.6145,1005.4144,1005.21423,1005.1134,1005.0121,1005.01074,1005.30963,1005.709,1006.10864,1006.5089,1006.81,1007.1104,1007.30975,1007.5085,1007.60767,1007.7075,1007.7079,1007.8074,1008.0055,1008.3034,1008.6031,1008.90643,1009.212,1009.31744,1009.12317,1008.82874,1008.6325,1008.53406,1008.4334
2025-11-13 00:51:39+00:00,2025-11-13 00:00:00+00:00,1011.7515,1011.6402,1011.23486,1011.53186,1012.4266,1011.9277,1011.9251,1010.7269,1010.02734,1009.628,1009.52985,1009.2306,1008.9283,1008.6304,1008.1343,1008.22784,1009.92145,1010.22424,1008.02655,1007.7315,1006.93506,1007.1354,1006.7376,1006.14014,1005.8262,1006.1237,1006.8166,1007.51575,1008.71246,1009.30927,1009.80554,1010.3035,1010.3018,1010.4993,1010.99817,1010.6965,1010.196,1010.995,1011.49475,1011.6882,1012.2934,1012.60046,1012.8081,1013.3296,1012.8339,1012.3385,1012.14166,1012.04285,1012.0378,1011.8247,1012.3204,1012.21906,1012.7166,1012.6158,1012.516,1012.0133,1011.2159,1010.41534,1009.2139,1008.51184,1008.30963,1007.21124,1007.40857,1006.3095,1006.01385,1005.5222,1004.631,1003.93933,1003.1485,1002.55457,1002.35486,1002.55493,1003.14795,1003.8376,1004.9307,1005.7207,1006.0195,1005.9178,1005.8176,1005.41925,1005.51874,1006.01886,1006.4185,1006.61847,1006.6182,1006.7193,1006.81885,1007.4159,1007.81464,1008.2183,1008.7217,1008.72833,1008.0326,1007.53534,1007.4351,1007.4314,1007.3293,1007.3268,1007.42535,1007.12244,1007.415,1007.4124,1007.3145,1007.41364,1007.2128,1006.9123,1006.8115,1006.4103,1006.1073,1006.0085,1005.90704,1005.9083,1006.00824,1006.2091,1006.32025,1006.1218,1005.72284,1005.3229,1005.02057,1004.717,1004.61365,1004.711,1005.0086,1005.2067,1005.40533,1005.6047,1005.7043,1005.7036,1005.5033,1005.50275,1005.6022,1005.9014,1006.2006,1006.5993,1007.0977,1007.59784,1008.29956,1009.0032,1009.507,1009.61163,1009.41724,1009.3209,1009.5219,1009.82104,1010.11865,1010.5139,1011.0074,1011.4019,1011.7981,1012.1946,1012.5917,1012.98816,1013.2851,1013.68225,1013.9789,1014.3756,1014.67285,1014.9692,1015.2661,1015.566,1015.971,1016.27905,1016.38684,1015.99457,1015.20197,1014.6074,1014.20966,1013.80994
2025-11-14 00:52:00+00:00,2025-11-14 00:00:00+00:00,1008.63,1008.22314,1008.8218,1008.92096,1010.21985,1010.41907,1010.5174,1010.41693,1010.11646,1011.01465,1010.8137,1010.81244,1010.91064,1011.10626,1011.6019,1012.399,1012.80597,1013.3162,1013.1124,1013.5114,1013.31586,1013.71967,1013.62115,1012.5207,1012.31476,1012.2124,1013.2088,1013.5089,1013.4081,1013.3061,1013.1066,1012.8028,1011.80414,1011.70337,1011.304,1010.70374,1010.30414,1009.5049,1008.20575,1006.9069,1007.01086,1006.1158,1005.6201,1006.0378,1004.44604,1003.1545,1002.06036,1001.86224,1002.15576,1002.6434,1003.03735,1003.4355,1003.93427,1004.3327,1004.5302,1004.7261,1005.12384,1005.22235,1005.62085,1005.5201,1005.6201,1005.72095,1005.4208,1005.92,1006.41974,1006.82007,1007.3227,1007.2264,1006.53827,1005.9358,1005.3389,1005.0388,1004.43695,1004.43036,1004.527,1004.521,1004.42,1004.11914,1003.91986,1003.6213,1003.01385,1002.611,1001.8126,1001.2156,1000.6144,1000.81256,1000.71045,1001.8067,1002.4066,1003.1104,1003.11426,1002.51685,1002.4183,1002.41486,1002.71844,1003.0201,1003.3174,1003.9094,1004.40607,1004.99976,1005.69855,1006.39636,1006.79047,1007.1898,1007.488,1007.7824,1008.08057,1008.27905,1008.3775,1008.6761,1008.97723,1009.3793,1009.88135,1010.38434,1010.6901,1010.3966,1009.9038,1009.40906,1009.21136,1009.0117,1009.00977,1009.1058,1009.3996,1009.6947,1009.99164,1010.2898,1010.4883,1010.5858,1010.68353,1010.7811,1010.8793,1010.9776,1011.1753,1011.47107,1011.7664,1012.1654,1012.67096,1013.1805,1013.48926,1013.2962,1012.8028,1012.3074,1011.9096,1011.6101,1011.5087,1011.9055,1012.5004,1013.09625,1013.3931,1013.591,1013.7893,1013.88794,1013.98645,1013.98584,1014.0853,1014.0851,1014.18494,1014.28436,1014.4841,1014.4847,1014.2869,1014.0894,1013.493,1012.49756,1011.2029,1010.2065,1009.70764,1009.507
