forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:51:40+00:00,2025-11-05 00:00:00+00:00,4.6938252,7.2359104,9.422101,9.178235,7.653705,3.096837,5.00128,10.538843,8.311245,6.638072,6.9153743,6.9527545,9.085988,8.669949,9.793058,7.5685663,7.9932976,11.384198,19.06301,17.373497,16.87398,13.493999,11.592895,11.304229,9.178235,2.9024127,3.671294,2.8116899,4.1046314,7.2,9.3669195,5.8048253,3.7064266,4.8433046,8.373386,8.435069,12.88981,10.1887,12.538134,3.319036,13.084402,9.885262,10.105681,17.713316,16.375053,15.778516,17.0763,18.278645,16.610792,12.181624,12.819235,12.4811535,12.682018,12.229406,12.181624,12.819235,12.475961,11.753876,11.304229,10.495713,10.1887,9.339208,9.511088,7.2359104,5.0911684,3.5455887,2.9024127,4.379589,7.2805495,10.08,11.542478,12.599999,11.165805,8.427383,4.73506,1.0182338,4.6938257,6.696387,8.942214,9.686609,10.195057,11.212135,9.885262,8.0899935,7.6367526,9.085988,7.8954163,6.12,2.1897945,1.0182338,1.08,2.2768397,1.8,1.484318,1.484318,2.0364676,2.6208394,4.0249224,6.6087217,6.3690495,3.96,2.6208394,3.7064266,2.8116899,1.1384199,4.452954,4.6102495,3.219938,2.5959969,1.9386592,0.71999997,0.71999997,0.35999998,2.6208394,2.8116899,2.7416782,2.16,2.5959969,3.096837,3.8773184,4.802999,5.506941,5.8603754,6.2145634,5.8048253,5.4119864,5.0528407,5.4477882,5.937272,6.489992,6.9247384,7.491114,7.928177,7.928177,8.209263,7.7043357,6.638072,5.6233797,5.00128,5.815978,7.072878,7.628263,7.42159,8.699793,9.9571085,9.565437,8.4963045,8.161764,7.2,6.638072,6.8399997,5.8603754,5.3517847,5.991594,6.3690495,6.792466,7.42159,6.763786,5.692099,4.3349743,3.4152596,3.4152596,3.8268526,4.6938252,6.6185193,7.9036193,7.42159,6.130579
2025-11-06 00:52:11+00:00,2025-11-06 00:00:00+00:00,8.669949,7.7043357,5.8048253,5.5887027,5.1919937,3.2599385,7.2805495,4.510787,2.5455842,3.6179552,6.193674,6.28713,8.089993,8.373386,8.089993,7.8625183,12.224107,12.758432,16.73516,14.707222,12.413477,12.4811535,14.336861,15.042659,14.799459,9.983106,9.178235,9.028754,8.699793,7.628263,7.42159,7.0911775,4.3349743,6.9899354,6.1305785,6.2145634,7.754637,7.5942082,2.52,6.151683,10.041354,12.682018,13.039754,5.0142193,6.725354,8.311245,10.805999,12.261158,10.948973,8.435069,6.9899354,3.319036,2.2768397,2.7416782,5.495161,8.4963045,10.195057,9.0,8.669949,9.1641035,6.9153743,7.386582,6.489992,5.315336,3.319036,3.0547013,5.0528407,3.396233,2.6208394,3.0547013,2.968636,1.1384199,2.9024127,4.198285,4.6102495,3.319036,3.5455887,2.6208394,2.968636,3.219938,3.9763298,2.9024127,1.8,1.609969,2.52,2.4149535,2.3051248,3.8268526,3.2399998,4.5820518,2.5959969,1.484318,2.0991426,2.4149535,3.9763298,2.8116899,3.6,6.130579,6.379216,5.4833565,6.439876,7.24486,7.729527,8.225035,8.534353,8.4963045,8.942214,9.178235,8.942214,8.669949,7.8954163,7.7879906,5.8603754,4.6938257,4.6102495,4.6102495,5.3517847,5.904439,6.439876,7.072878,7.6367526,7.2805495,6.725354,6.151683,5.95906,6.297428,6.297428,6.12,5.815978,5.6920996,5.815978,6.6087217,6.489992,4.8965297,2.5959969,1.0182338,1.484318,3.0758414,3.4152596,1.0182338,4.3349743,7.2,6.297428,4.2136917,2.5455842,2.3051248,2.4149535,2.9024127,3.8939953,6.28713,7.6367526,6.638072,4.6800003,3.319036,2.5455842,1.8,1.8,2.5959969,4.2136917,5.5887027,6.830519,8.089993,8.654986,9.0,10.163227,11.592894,11.988594,11.966954
2025-11-07 00:51:22+00:00,2025-11-07 00:00:00+00:00,9.19939,7.8954163,8.225035,7.729527,7.42159,8.287822,7.7043357,7.9036193,8.217153,7.7879906,7.7879906,7.24486,6.792466,6.638072,6.989936,6.989936,10.163227,12.522619,14.408997,14.332341,14.561099,14.830076,14.05845,12.964998,11.183201,6.924738,6.9899354,7.5942082,7.127636,2.3051248,7.127636,3.219938,5.0142193,8.373386,9.178235,6.725354,6.638072,5.0911684,4.6938252,3.219938,7.2,6.5693827,4.1046314,2.2768397,1.08,1.835647,3.6,3.2399998,3.319036,5.6002855,7.7043357,7.5685663,5.634891,4.0249224,4.8433046,4.379589,3.671294,3.2599385,2.8116899,3.319036,3.319036,3.219938,2.6208394,2.6208394,1.8,2.9024127,3.7064266,4.3349743,5.0911684,6.3690495,7.6367526,7.9036193,8.557102,9.726665,7.9526596,6.6185193,7.2,8.287822,8.587338,8.049845,8.089993,7.5170207,6.989936,7.42159,7.42159,8.14587,6.4096174,5.904439,4.510787,3.8268526,3.8939953,4.6800003,4.8433046,6.9153743,7.072878,7.42159,7.42159,8.287822,8.427383,5.815978,2.2768397,3.6179552,3.6179552,3.8939953,2.6208394,4.3349743,5.6233797,1.8,3.219938,2.8799999,3.8939953,2.7416782,2.968636,4.68,3.8268526,2.0991426,1.4399999,3.4152596,2.9024127,1.8,2.52,2.1897945,1.1384199,0.0,1.2979984,2.7416782,3.8773184,3.7585104,3.2599385,2.9024127,2.7416782,2.5959969,2.8116899,3.4152596,4.32,5.3999996,5.815978,7.127636,8.707237,9.255571,10.086427,10.948973,10.538843,9.72,9.028754,8.350138,8.373386,8.209263,7.145796,5.1165614,3.396233,2.16,2.8116899,4.198285,6.439876,8.699793,9.826088,9.504272,9.0,8.427383,7.92,8.089993,8.707237,8.699793,8.473393,8.28,7.9932976,7.342588
2025-11-08 00:47:14+00:00,2025-11-08 00:00:00+00:00,10.464798,6.0347,6.792466,7.342588,5.8603754,5.95906,5.154415,6.519877,5.1919937,8.854829,5.506941,3.396233,7.342588,6.162207,2.5455842,4.3349743,6.379216,4.0249224,2.7416782,3.563818,4.3349743,5.4477882,5.8048253,6.489992,6.12,4.6800003,3.7064266,4.68,4.6102495,4.896529,4.510787,8.12197,6.87779,6.638072,5.0911684,6.725354,1.8,1.2979984,1.4399999,2.9024127,2.968636,3.7064266,1.9386592,6.3690495,6.8777895,7.7043357,7.729527,7.5685663,8.311245,9.605998,8.12197,8.287822,7.5942082,7.754637,8.534353,8.534353,8.225035,8.587338,8.714677,8.287822,7.653705,6.4096174,5.6233797,5.692099,4.8965297,4.829907,5.1919937,4.3349743,6.3690495,8.225035,9.021574,8.699793,9.449572,10.1376915,7.9526596,6.9527545,5.95906,5.6920996,5.5887027,5.815978,4.3349743,2.9024127,3.6,3.5455887,2.9024127,3.8773184,2.0991426,3.4152596,1.2979984,0.8049845,2.9024127,4.379589,4.5536795,4.3498964,4.8965297,4.0249224,3.671294,3.96,4.3349743,4.6800003,4.8433046,6.5693827,6.2145634,6.489992,7.2359104,7.5685663,6.0347,4.39436,0.8049845,1.5273507,6.9247384,6.379216,4.68,7.2359104,7.5685663,8.64,9.007196,9.028754,8.669949,7.928178,6.849467,6.439876,7.2,8.225035,7.0911775,4.8965297,3.7064266,3.9763298,5.0911684,5.506941,5.0528407,4.8965297,4.8433046,2.9024127,2.8116899,5.0142193,5.991594,6.696387,7.754637,7.8625183,7.6367526,7.2,6.638072,5.95906,5.1919937,3.8773184,3.219938,4.198285,5.3517847,6.2145634,6.519877,5.4119864,3.6179552,2.6208394,3.0758414,4.1046314,5.1544156,5.8048253,6.12,5.8603754,5.315336,5.1919937,5.8603754,6.162207,6.6185193,7.10031,6.9247384,6.379216
2025-11-09 00:53:58+00:00,2025-11-09 00:00:00+00:00,3.6,5.6233797,6.9527545,6.4096174,8.12197,6.638072,1.484318,3.8773184,8.435069,6.9247384,6.379216,3.96,0.5091169,1.0182338,1.835647,2.52,1.9386592,3.7064266,0.35999998,0.8049845,0.8049845,1.609969,3.7064266,5.315336,6.28713,5.506941,6.130579,2.5455842,8.049845,9.9571085,9.360001,6.638072,5.6233797,6.6185193,6.9899354,5.4477882,4.6938252,4.39436,4.6938252,5.2416787,2.6208394,0.35999998,2.2768397,5.8048253,7.172949,5.8048253,7.145796,9.1641035,9.360001,9.904906,7.6367526,6.638072,6.379216,5.1544156,5.6920996,6.28713,4.0249224,4.39436,3.6,4.1046314,5.6233797,1.1384199,0.8049845,4.452954,2.8799999,4.2136917,4.1046314,5.1919937,2.2768397,4.198285,0.5091169,0.5091169,2.0991426,0.0,2.3051248,2.5455842,4.3349743,6.0347,4.8433046,4.802999,5.0528407,9.114471,4.3349743,5.2416787,4.8965297,6.6185193,8.287822,9.686609,8.942214,12.904882,16.595179,18.03237,18.03237,22.17144,18.58451,17.713316,8.699793,10.787993,10.495713,11.966954,11.525623,2.1897945,8.64,8.209263,7.127636,7.628263,6.489992,7.928178,7.8625183,10.195057,9.449572,10.691453,9.114471,13.276144,14.277983,16.434305,18.204042,17.414474,13.849477,17.992796,23.838959,22.148046,16.489416,10.636766,5.771239,4.5536795,8.049845,10.538843,11.885453,12.7279215,12.57426,11.841756,11.113451,9.659814,8.049845,6.792466,7.127636,8.0899935,8.557102,7.6367526,6.638072,5.991594,5.1165614,3.319036,1.609969,1.9386592,4.68,6.4799995,6.924738,6.6185193,6.792466,6.6087217,5.95906,5.6920996,5.5887027,5.506941,5.0528407,4.452954,4.3349743,4.896529,5.0911684,5.8048253,7.145796,8.404285,9.449572,10.009036,10.296251,9.885262
2025-11-10 00:54:44+00:00,2025-11-10 00:00:00+00:00,7.9932976,9.028754,9.565437,9.511088,9.360001,7.754637,6.763786,9.9571085,7.8625183,5.315336,5.937272,6.8777895,6.989936,2.8116899,6.638072,4.6938252,0.35999998,1.8,0.71999997,1.2979984,2.2768397,5.0911684,6.725354,7.24486,5.991594,8.78872,9.028754,9.83268,8.287822,7.072878,7.8954163,4.8433046,5.95906,7.6367526,3.0758414,1.9386592,3.7585104,4.39436,6.519877,4.39436,3.0758414,2.1897945,1.08,3.671294,5.154415,2.2768397,1.8,3.8268526,3.5455887,3.6,4.0249224,4.39436,6.638072,7.42159,8.373386,10.495713,9.422101,8.435069,7.072878,6.696387,8.942214,11.304229,9.585739,9.504272,8.557102,8.825508,11.304229,13.479583,20.46941,23.042812,20.929594,18.335276,18.723461,16.595179,15.575981,12.096214,6.849467,3.8268526,4.39436,5.0911684,9.114471,11.5199995,16.263872,17.917007,18.72346,19.008545,14.512064,18.899143,17.477621,19.008547,13.1041975,15.716793,8.311245,23.34455,20.056877,22.19773,13.339445,6.5693827,3.671294,11.525623,10.163227,11.246759,14.8257065,18.289274,18.79255,17.373497,15.778516,17.429354,17.884428,15.629971,12.783802,9.793059,11.808878,14.081477,12.313894,11.200571,9.585739,8.089993,6.924738,5.771239,5.506941,6.162207,7.208994,8.049845,7.968939,7.5685663,6.989936,5.8603754,4.6938257,4.1046314,4.0249224,4.379589,4.802999,5.2416787,6.151683,6.763786,7.2,8.435069,9.290511,9.726664,9.422101,9.504272,9.387651,9.19939,9.021574,8.891343,9.0,8.714677,7.289445,6.0347,5.04,4.73506,4.802999,4.3349743,3.7064266,5.154415,5.937272,3.396233,3.096837,5.00128,2.7416782,1.5273507,4.510787,4.802999,4.73506,5.00128,4.8433046,4.2136917
2025-11-11 00:51:47+00:00,2025-11-11 00:00:00+00:00,6.1094027,7.7043357,7.2805495,5.815978,1.835647,8.473393,8.209263,8.287822,7.491114,8.209263,7.2359104,5.5887027,2.2768397,4.510787,3.096837,4.6938257,2.3051248,3.671294,1.835647,4.8965297,4.829907,1.835647,3.7064266,1.1384199,4.1046314,6.763786,7.24486,8.287822,8.14587,8.427383,7.2,7.928177,8.669949,7.5685663,4.68,5.506941,6.4096174,3.8268526,10.636766,8.78872,12.57426,13.276144,6.849467,12.72283,14.799459,19.469975,20.326454,21.26744,15.546833,12.387348,11.681987,10.239453,5.506941,2.3051248,2.5455842,4.829907,7.42159,9.114471,9.605998,8.311245,8.161764,6.830519,8.4042845,11.480557,6.130579,6.6087217,14.205182,10.966713,18.692286,12.413476,15.617529,11.753876,16.075521,13.049689,15.629971,13.779114,9.114471,10.137692,10.144082,14.336861,11.298495,12.261157,10.630672,9.746631,10.028439,14.529915,14.480773,12.768586,13.004922,14.182355,13.70839,12.313894,13.32,17.283749,15.546833,6.2145634,2.1897945,4.829907,12.57426,9.028754,7.9526596,7.42159,3.671294,4.6800003,3.0758414,3.7064266,4.3498964,7.5942073,9.0,10.383987,9.673221,9.178235,9.693296,10.514218,8.854829,8.427383,8.12197,7.2359104,6.12,4.73506,3.219938,2.6208394,4.2136917,5.692099,6.1305785,5.6233797,5.6233797,6.193674,6.792466,7.10031,6.193674,5.0911684,4.39436,4.3349743,4.8965297,5.1919937,4.8433046,4.510787,4.802999,5.0528407,4.68,4.68,4.3349743,3.671294,3.4152596,2.7416782,2.4149535,2.3051248,2.8116899,3.563818,4.3349743,5.3999996,6.6087217,7.729527,7.9036193,7.491114,7.928177,10.464797,13.513193,12.738099,4.39436,8.373386,15.778516,14.565548,11.966953,11.841756,9.83268,6.0347
2025-11-12 00:51:04+00:00,2025-11-12 00:00:00+00:00,3.2399998,3.319036,7.653705,4.6938257,5.634891,9.726664,8.78872,8.707237,8.161764,8.209263,8.287822,8.707237,10.931203,8.825508,1.8,6.439876,3.8268526,9.726665,5.0142193,5.6920996,7.9932976,5.4119864,1.1384199,7.491114,12.074766,12.879752,9.290511,7.8954163,4.5820518,4.510787,6.725354,8.39657,8.209263,6.4096174,9.504273,10.703569,9.3876505,9.983106,9.422101,8.654987,13.202726,14.799459,16.746773,13.084402,15.034041,13.627795,12.43434,11.177405,8.669949,17.654686,8.28,7.172949,13.556282,12.397806,11.631956,11.298495,9.504272,8.4042845,17.068707,13.32,11.966954,15.596767,18.532133,18.03237,18.388212,15.827721,15.379206,10.948973,10.440001,5.8048253,7.4128532,9.693296,7.289444,7.289444,5.4119864,3.9763298,6.379216,7.289444,9.449572,8.587338,9.19939,14.168641,12.594856,14.255272,16.489416,12.475961,8.654987,8.891343,10.163227,15.072783,12.413477,9.178235,10.195057,8.404285,3.219938,12.620554,16.954432,13.32,13.397612,13.783817,14.336861,13.551501,14.529915,14.565548,15.349684,17.072504,16.199999,17.477621,17.174677,15.9134655,15.30741,15.021105,14.76439,16.87398,15.496736,14.973577,13.708391,12.522619,11.792404,11.183201,10.799999,9.746631,8.905908,8.373386,8.0899935,8.287822,8.435069,9.178235,10.296251,10.883676,10.883676,10.233123,10.182337,10.990322,12.979984,14.458382,14.904173,16.75064,19.137648,18.345877,15.379206,11.119281,3.8773184,8.707238,13.698934,9.826088,1.609969,5.95906,7.8954163,10.483357,13.363711,14.154915,14.05845,13.708391,13.104198,13.281023,14.182355,14.8257065,15.815435,15.9134655,13.527572,11.183201,10.703569,10.990322,11.304229,12.261157,14.84318,18.079027
2025-11-13 00:51:24+00:00,2025-11-13 00:00:00+00:00,7.7043357,7.8625183,7.8954163,5.771239,8.435069,6.379216,3.396233,1.5273507,6.3690495,7.208994,6.924738,5.815978,6.193674,7.4128532,8.404285,7.7043357,6.1305785,8.707238,2.6208394,6.8399997,6.725354,10.805998,15.192682,14.494192,19.881649,12.031756,13.896187,12.287555,7.754637,12.387348,8.905908,10.105681,12.287555,11.609651,16.279802,9.0,12.144331,12.245294,5.3999996,3.7064266,2.52,1.2979984,2.5959969,5.8603754,4.1046314,5.8603754,1.484318,3.2599385,3.5455887,4.896529,6.297428,5.3517847,2.5455842,7.653705,6.9247384,7.42159,9.957108,12.879752,10.315115,11.246759,15.315873,17.31746,17.811815,15.137133,15.986593,14.003028,7.9932966,13.104198,9.346143,6.519877,11.212135,8.209263,9.1641035,14.081477,16.595179,13.684735,11.113451,10.00256,9.504272,9.449572,8.669949,8.161764,7.9932966,8.891344,6.696387,4.510787,4.6938252,6.162207,6.9899354,7.69592,7.5170207,8.942214,9.220499,10.315115,10.163227,11.119281,10.009036,11.246759,10.97262,10.144082,9.339208,9.0,7.289444,7.342588,9.0,6.638072,5.5887027,10.105681,15.137133,16.167967,16.946787,19.513195,13.70839,19.353138,17.072504,12.313894,10.636766,15.077082,14.917212,12.261158,10.661107,10.182337,9.826088,10.365251,11.592895,12.879752,12.904882,10.195057,7.289444,6.519877,6.162207,5.8048253,5.154415,3.8268526,2.9024127,3.0758414,2.4149535,1.08,1.1384199,2.7416782,4.510787,5.8048253,5.495161,4.3349743,3.8268526,4.6102495,5.6233797,6.696387,7.7879906,8.39657,8.854829,7.968939,6.87779,6.4799995,6.87779,7.968939,8.854829,8.217153,6.989936,6.193674,6.193674,6.4096174,6.9153743,7.42159,7.8954163,8.161764,7.7043357,7.289445
2025-11-14 00:51:42+00:00,2025-11-14 00:00:00+00:00,10.703569,9.178235,5.00128,4.2136917,3.6,8.534353,11.91812,9.227524,5.2416787,7.2805495,8.12197,11.620809,6.9153743,6.489992,6.9527545,3.319036,4.5536795,5.904439,11.4862,12.594856,14.654254,10.446206,10.137692,11.165805,10.144082,12.55879,11.631956,12.303366,13.755579,12.245293,11.620809,7.6367526,12.783802,11.183201,11.609651,17.057314,16.485485,12.7279215,13.896187,4.8433046,7.5599995,6.379216,5.1544156,15.408671,12.979984,18.448023,6.638072,9.826088,7.289444,8.209263,6.3690495,9.686609,8.854829,11.119281,10.464797,13.746156,21.485697,24.522314,22.45315,22.771244,21.38897,23.358423,22.159746,20.304129,15.986593,17.935081,17.610588,14.113652,10.703569,13.75558,15.986595,17.533146,15.192682,12.738099,11.631956,12.015589,11.609651,10.009036,13.237038,12.904882,13.202726,13.18308,16.24394,23.906818,16.199999,11.966953,15.629971,18.556595,15.905319,17.015474,12.979984,7.5942082,13.339445,12.287555,8.209263,10.195057,8.427383,2.9024127,3.8773184,1.609969,2.1897945,2.8799999,5.8048253,5.2416787,6.0347,6.193674,6.696387,6.989936,6.193674,5.4477882,3.9763298,3.2599385,2.4149535,3.96,4.829907,3.319036,1.835647,3.096837,4.0249224,4.3498964,5.00128,6.1305785,7.928177,9.220499,9.178235,8.854829,8.654986,8.311245,7.5685663,7.10031,7.289445,8.0899935,7.9036193,6.9527545,5.8048253,4.6938252,2.52,1.08,2.3051248,2.1897945,3.219938,4.3349743,4.8965297,5.00128,4.3498964,3.0758414,1.484318,0.71999997,2.3051248,4.072935,5.0911684,4.6102495,3.4152596,3.2599385,4.2136917,5.154415,5.495161,4.6102495,3.096837,2.8799999,4.829907,7.289445,8.0899935,5.8603754,5.3517847,8.209263,10.483357,12.10157
