forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:52:01+00:00,2025-11-05 00:00:00+00:00,-6.8943405,-7.7298217,-5.957855,-6.6088276,-6.3438725,-3.8460996,-2.9902515,-3.5095146,-3.0730956,-2.3683078,-2.147583,-3.4492838,-2.776411,-1.7817705,0.21690206,1.9112465,3.9607866,6.9844403,6.407283,5.355982,4.0233197,3.4405057,3.8269486,2.1810057,3.9976587,4.124373,4.1195946,5.2858396,5.0998087,5.118387,6.187354,6.94419,7.7042513,8.349319,8.837097,8.928667,8.87176,8.628275,8.275618,8.523382,8.778338,8.932031,8.766547,7.7612395,7.260542,6.86111,6.3816395,6.261231,5.8643303,5.9363446,5.553306,6.0206575,6.1351585,6.503164,6.439991,6.843428,7.2605114,7.324679,7.3716507,7.223002,7.2453375,7.179324,7.0138726,6.974749,6.847721,6.7502794,6.6130443,6.036658,5.829463,5.2006226,4.612215,4.111569,4.111569,4.293132,4.1783733,4.4408007,4.570014,4.212344,4.433398,5.043906,5.5384607,5.935936,6.0185075,5.8652487,5.7993207,5.885679,5.6512485,5.8926954,5.441698,5.3423643,4.485218,3.459381,2.056815,0.881716,0.9486895,0.44297174,0.7836684,1.0609474,1.1665038,1.074635,1.087092,1.4809179,1.6081935,1.5448531,2.0702784,2.049568,2.1917331,1.9708673,2.2630138,2.040659,2.1475039,2.3964157,2.7316942,2.4967492,2.3110867,1.6964873,1.2786684,0.30814275,0.389608,0.10445975,0.36095804,0.28846386,0.5694626,0.26317036,0.21952705,0.8189034,0.91581345,1.0351034,0.69098634,0.8330357,0.82752603,0.71746516,0.7651664,0.8418563,1.036879,1.0173937,1.1311635,1.2024838,0.6112193,0.53608936,0.022978082,-0.19623391,-0.11531958,-0.39854786,-0.14000544,-0.17227684,0.17587799,-0.14064907,-0.282951,0.23319796,0.22203022,0.2733599,-0.15509395,0.0025266034,0.14167605,0.3068771,0.13328962,0.08989194,0.22008368,0.18489136,0.18768029,-0.16054277,-0.18243241,-0.5373287,-0.4184649,-0.62909937,-0.38452685,-0.42528442
2025-11-06 00:52:42+00:00,2025-11-06 00:00:00+00:00,-2.1396995,-1.0490417,1.0699037,2.1282716,3.107489,3.488532,4.3547525,4.8701253,5.7045417,5.866892,6.2344246,6.518112,6.7357316,6.320385,5.907632,6.34356,6.295991,6.216649,8.4527645,7.8723354,6.792406,5.1966915,4.3849773,3.5005674,2.3098133,0.4434254,-0.5080435,-0.32961345,1.4315734,4.865376,4.575874,5.2458024,4.9919953,4.625136,4.4972887,4.3782606,4.343544,4.0519376,3.853431,4.5636497,6.4625363,6.3815145,6.4915953,5.945975,5.3745584,4.8842387,4.346969,4.2419763,3.818086,4.1304007,3.985353,4.1825066,4.2879276,4.346475,4.568339,4.902894,5.470552,5.793746,5.8408794,5.9584217,5.846009,5.868295,5.8387933,5.7720733,5.6245584,5.2294326,4.7073045,3.7202818,2.6080785,2.0260396,0.86618084,0.6479827,1.0311942,0.5694626,0.76832753,0.6999239,1.0442735,0.6588673,0.6479678,0.7034289,0.3145421,0.14167605,-0.29057676,-0.21393771,-0.06675103,0.06542587,-0.19705121,0.37159607,0.35903895,-0.15690315,-0.15641555,0.53608936,-0.56042683,-0.98783016,-0.94764966,-1.1485643,-1.0866992,-1.1162863,-1.1570426,-1.0291123,-0.9347653,-1.3947394,-1.2917665,-1.1745675,-1.5972993,-1.4652902,-1.7202394,-1.2696403,-1.5698518,-1.2891544,-1.633784,-1.0307341,-0.9130583,-1.5696585,-1.6091188,-1.9778904,-1.8319658,-2.14662,-1.9870337,-2.186523,-1.7917556,-1.8563199,-1.5680393,-1.2369863,-1.3110948,-1.2076666,-1.0900373,-0.95553046,-1.2953509,-1.1004894,-0.9694888,-1.355409,-1.1599407,-0.9824233,-1.1986871,-0.89592797,-1.1431693,-1.0394897,-1.5290265,-1.4037483,-1.6079249,-1.2815539,-1.1999778,-1.3223488,-0.911001,-0.826489,-0.9459729,-1.1438257,-1.3758665,-1.0404774,-1.1431693,-0.8837431,-0.9266154,-0.5570708,-0.46351302,-0.9824233,-0.8651838,-0.5897598,-0.5897598,-0.24106933,-0.24734929,-0.02654342,-0.106337644,-0.16054277,-0.49305785,-0.85115296,-0.43316337,-0.09886778
2025-11-07 00:51:51+00:00,2025-11-07 00:00:00+00:00,2.9685526,0.48625788,-0.12842426,5.6076946,5.5612016,4.865376,4.4942093,4.5371084,4.5342207,3.974364,3.5965502,3.3449175,3.4343343,3.5716176,3.6960702,4.2895775,6.0568748,6.329687,5.45356,5.2435513,4.3363338,2.5386288,0.69991064,0.11365047,-0.7480315,-3.4191763,-3.568794,-3.2708287,-1.9090127,2.4942594,2.4425852,2.4649959,2.3696337,2.4147303,2.507083,2.418788,2.3256109,1.9015099,1.8972071,1.8544811,4.1573353,4.40251,3.6322186,4.4370265,2.3958316,1.2967267,0.606985,0.10445975,0.44297174,0.81999576,0.8949449,0.7423504,0.56313235,0.74452204,0.31620175,0.26073384,-0.08355379,0.05523396,-0.24734929,-0.17052862,-0.4309914,-0.32823476,-0.5025809,-0.7661906,-0.6582572,-0.6421422,-1.2394743,-0.95527935,-1.0462059,-1.2289417,-1.8274676,-2.026925,-1.8721801,-1.9343898,-2.0610597,-2.0251772,-1.9440186,-1.4179182,-1.470466,-1.3378338,-1.2285361,-1.5700545,-1.5698518,-1.9988278,-1.8492162,-2.1508703,-1.9774747,-1.8923057,-1.5127429,-2.480163,-2.1432512,-2.6264887,-2.515815,-2.7053792,-3.1964383,-3.0776532,-2.0330515,-2.4242623,-2.0251772,-1.9024202,-1.8130394,-2.2733264,-2.0909472,-2.3855035,-2.273941,-2.3585427,-2.357809,-2.6979635,-2.868069,-2.6805382,-2.728368,-2.7232637,-1.9647291,-2.9243479,-3.4377809,-3.3209128,-3.5840597,-3.224505,-3.0248096,-2.1537204,-1.5322015,-1.2407645,-1.9343898,-1.9788752,-2.1906056,-1.8548776,-1.5127429,-1.5502677,-0.8837431,-0.7292976,-0.46351302,-0.5499853,-0.21393771,-0.19748941,-0.24079698,-0.06580633,-0.1176631,-0.23368485,-1.1122581,-1.6501943,-1.8935746,-1.5671223,-1.3223488,-1.2815539,-1.4855245,-1.4037483,-1.6117029,-1.1856407,-0.70971596,-0.2897716,0.13163409,0.098454736,0.5432256,0.5902556,0.62240624,1.1313477,1.3023691,1.4179404,1.2844718,1.2136804,1.1051569,0.8762388,0.23319796,0.13716185,0.485941,0.46656665,0.16463158,-0.4595026
2025-11-08 00:47:38+00:00,2025-11-08 00:00:00+00:00,-1.240706,-2.6526995,-3.0181773,-3.649887,-2.6280472,2.9472456,3.844564,3.6735923,3.386345,3.3591208,3.4077687,3.2975395,3.1080225,2.8885741,2.561188,3.0606425,5.389559,5.7208576,4.9550257,3.5263898,2.1958168,0.97469574,0.4291123,0.34765357,-0.17350633,-1.3541735,-2.3446827,-2.614191,-2.4292119,-2.281462,-2.2566674,-2.3792295,-2.6410697,-2.3433726,-2.358761,-2.5859478,-2.8516495,-2.49739,-2.2939494,-2.275397,-0.5058877,0.3132451,0.093894415,-0.91450393,-1.5505111,-1.9072455,-1.4685417,-2.4048135,-1.3897148,-1.5263255,-1.5680393,-1.5703628,-1.5696585,-0.99744815,-0.70071906,-1.1254299,-0.8870999,-1.2712215,-1.226761,-1.1168692,-1.4614607,-1.2851989,-1.5880307,-1.0256732,-0.70071906,-1.444895,-1.8556094,-1.6487266,-1.6132227,-1.8721801,-1.470109,-1.470109,-1.2891788,-0.44724923,-0.39136964,-0.85115296,-0.7452312,-1.1656215,-1.0900373,-1.3013732,-1.2103893,-1.1858538,-1.4652902,-1.4840713,-1.5045394,-1.633784,-1.241941,-0.9824233,-0.5884037,-0.78726256,-1.1954089,-1.0330747,-1.5671223,-1.6132227,-1.8319658,-1.3897148,0.2789403,0.31887832,-0.40569454,-0.19891721,-0.62521046,-0.6582572,-0.8444225,-0.42791516,-0.46351302,-0.30075526,0.06542587,0.09562015,0.111766525,-0.02042953,0.37096292,0.4240991,0.3068771,0.23052163,-0.32949373,-1.0291123,-1.4448172,-1.5263255,-2.0184152,-1.2815539,-1.5671223,-1.4037483,-2.2665477,-1.6944361,-0.54071313,0.44471064,1.3480124,1.7705535,1.8071154,1.8294653,1.7941579,2.1296065,2.1921148,2.2440848,2.375769,2.2888415,2.321973,1.9366381,1.4295833,1.3785326,1.0189686,0.9869932,0.6741579,0.7571851,0.5080866,0.97699416,0.9544432,1.087092,1.1641273,0.9490821,0.6479678,0.6170167,0.5238339,0.41253442,0.32786107,0.22732826,0.28801566,0.3356742,0.54840714,0.4683092,0.41533187,0.26073384,-0.2872559,-0.696584,-1.4855245,-1.3296769,0.6479827,3.409521
2025-11-09 00:54:18+00:00,2025-11-09 00:00:00+00:00,-0.83417374,-1.8620665,-2.6931684,-3.3550541,-3.4601283,-3.8904169,-3.7601893,-4.1038585,-3.9201696,-3.4740324,-3.394944,-3.0696404,-3.1531305,-3.5603683,-3.6270876,-3.7712076,-1.9491941,-0.7564187,-2.8747232,-3.5053446,-3.5936832,-3.9923835,-3.7960904,-5.016501,-5.367589,-6.506361,-6.3239803,-6.7619557,-6.9214377,-7.0039697,-6.999164,-7.0965004,-6.808785,-7.020998,-6.808785,-6.978552,-7.085989,-7.341945,-7.3893194,-7.2459817,-4.6207995,-4.281896,-3.8555017,-2.0568368,-1.9778904,-2.073272,-2.5856214,-2.4658742,-1.3701811,-1.1157211,-1.2369863,-1.2692777,-1.6457038,-1.3758665,-1.7123288,-1.7241435,-1.8052304,-1.6554463,-1.9543594,-1.9988278,-1.9988278,-2.1508703,-1.9341956,-1.8492162,-1.5502677,-2.2352657,-2.7598624,-2.7918043,-2.7075925,-2.9585402,-2.8780296,-2.6365385,-1.730339,-1.5703628,-1.5696585,-1.4365635,-1.3758665,-0.9130583,-0.95553046,-1.3378338,-1.0151283,-1.0552409,-1.3125257,-0.8584753,-0.34416378,-0.15390697,0.28412542,0.32540193,0.7841432,0.2646728,0.09515622,-0.015309732,0.15179788,0.026471943,0.11002247,0.44417775,1.0637481,1.5151949,2.0417383,2.6403322,3.2081585,3.452093,4.011456,4.086263,4.4814897,4.527467,4.8241262,5.0059443,5.181735,5.332405,5.239015,5.212977,5.055016,4.3131323,2.8541756,1.7816253,0.7336513,1.0320148,2.8069434,5.112258,6.478685,7.541958,8.744171,9.306542,9.901968,10.510186,10.207195,8.590188,6.145345,4.1974583,3.2004702,2.4980905,2.1330616,1.7618332,1.4788347,1.0563185,0.41033,-0.5328198,-1.3193318,-1.9376893,-2.2778337,-2.248194,-1.876762,-1.7823088,-1.151168,-0.6827691,-0.08069956,0.24891709,0.45642108,0.7835906,1.0460817,1.2444677,1.4264613,1.6878139,2.0304275,2.6168814,3.0259387,3.3285239,3.3795125,3.226602,2.7438624,1.9829272,1.1751229,0.3626579,-0.7544869,-1.5634087,-2.3342848,-2.4292183
2025-11-10 00:55:14+00:00,2025-11-10 00:00:00+00:00,-4.227706,-5.620047,-6.405357,-6.0551977,-6.334949,-6.3211036,-5.8421273,-6.34854,-5.8921385,-5.7613893,-6.020003,-5.6943326,-5.733372,-6.1653967,-5.834987,-5.7807784,-3.6045167,-2.869345,-2.153294,-2.6377463,-2.3473396,-2.6038487,-2.406003,-2.7225728,-4.3466315,-5.5796876,-5.4510775,-5.7665925,-6.251949,-6.3211036,-6.6344943,-6.432962,-6.517388,-6.728475,-6.8551445,-6.5742164,-6.7893457,-6.5547442,-6.597541,-6.4342136,-4.4040766,-3.2096236,-3.4746954,-2.4650931,-2.5859413,-2.3021433,-2.7975276,-2.3951025,-0.8699495,-0.9875417,-0.9459729,-1.403311,-1.7776242,-1.3758665,-0.9980056,-0.7590798,-0.45508254,0.3145421,0.18489136,0.4560969,0.5432256,0.4560969,0.6662967,1.0712155,1.3480124,1.9990386,1.5057347,1.1448954,0.64112455,1.6753197,2.0144324,1.7809298,2.1415782,2.0240157,2.067212,2.6657174,2.9866498,3.1288025,3.5335858,3.668421,3.9461687,4.4355407,4.4482856,4.6400704,4.541999,4.4842663,4.467371,4.530768,4.186943,2.9592419,2.3136566,1.8683316,2.0853755,4.4342394,7.0408425,7.7301493,8.9004755,9.634528,9.944496,10.261538,9.805291,6.0985303,4.043151,2.0513935,1.4979895,2.3694963,2.5154872,3.1579616,1.8634728,2.114397,0.48197925,-0.8497188,-1.5014092,-3.1360784,-3.8924887,-4.3882613,-3.8601704,-3.5961819,-3.4166713,-2.7681396,-2.594733,-2.414093,-2.0015435,-1.8085891,-1.4128034,-0.9012873,-0.45599306,-0.07610799,-0.009635789,0.05201555,0.015275492,-0.31276762,-0.5471028,-0.7345826,-0.8283241,-0.78982985,-0.96605283,-1.1952567,-1.5451173,-2.1441333,-2.5406134,-3.4062274,-3.7589014,-3.877381,-3.7918591,-3.228685,-3.0813348,-2.8677657,-2.8924012,-3.200272,-3.5081942,-3.3725243,-3.6374202,-3.4704351,-3.7362597,-3.6257532,-3.8035734,-4.0258703,-3.7937055,-3.8480306,-3.9921782,-4.272757,-4.433389,-4.5176835,-4.870736,-4.817846,-4.8820066,-4.426121
2025-11-11 00:52:08+00:00,2025-11-11 00:00:00+00:00,-5.0530763,-5.539331,-6.1205626,-6.311171,-6.5501137,-6.1541266,-6.298596,-6.7184844,-6.592504,-6.3063316,-6.4693103,-6.1896167,-6.6408114,-6.312239,-6.4342136,-6.092366,-4.4040766,-3.4648805,-3.9541388,-4.127836,-4.1880703,-4.1101756,-4.4718966,-4.5496755,-6.262571,-7.5721498,-7.60293,-4.7174554,-3.865929,-4.2011957,-3.2484603,-3.4223366,-3.237375,-5.884322,-4.81557,-4.6141186,-4.1359167,-4.3085356,-4.100714,-3.9090223,-2.3683066,-1.1267049,-0.5316039,0.026471943,0.06824825,-0.07333409,0.46656665,0.6741579,0.9869932,1.548131,1.6007998,1.7400001,2.1107333,2.421101,3.3299773,3.6310015,4.056576,4.3160872,4.52722,4.7113104,4.9177995,4.866768,4.886794,5.0422525,4.737131,4.2084775,2.9472136,2.3018095,2.2584686,1.9380475,2.840469,4.1550355,5.156371,5.045469,5.4098163,7.2575564,7.270672,7.973112,8.434446,9.291793,9.4498005,9.52375,10.004807,9.306928,8.911119,8.922566,9.211034,9.45069,9.273792,8.495512,6.884777,2.7178268,1.7069771,2.8142998,1.8574446,1.4497883,1.5393653,2.3756235,2.5771086,2.5093937,2.7431135,2.939497,2.9843936,3.1568244,2.9340935,2.9810908,2.7901814,3.3766527,3.7656548,4.0533876,3.7135403,3.5056398,3.2674406,2.83604,2.3427012,2.0930684,1.8474299,1.3167943,0.579516,-0.09517949,-0.2945945,-0.13970003,0.7419105,1.180513,1.5530384,2.05209,2.3444545,2.5296304,2.2959666,2.3107667,2.2738516,2.1850805,1.9969764,1.8088621,1.7618332,1.5613756,1.2127156,0.7506326,0.040355496,-0.33897477,-0.51915973,-0.5897598,-0.89592797,-0.46351302,-0.04031335,0.860701,1.8370471,2.6227732,3.34602,3.9080625,4.4416356,4.9568954,5.2932906,5.599828,5.8788238,6.1806684,6.2719126,6.0707703,5.5930176,5.3104916,5.025366,4.588934,4.2343364,3.9465876,4.0218396,4.0035233,4.159746,4.501196
2025-11-12 00:51:27+00:00,2025-11-12 00:00:00+00:00,-4.504692,-5.620047,-5.957855,-5.942478,-6.0551977,-6.1123834,-6.3211036,-5.5046263,-4.3063436,-4.4905763,-3.8338795,-4.0064645,-4.1440477,-4.86968,-4.4311604,-4.1265593,-2.844532,-1.5713346,-4.4539657,-4.822481,-5.09433,-2.501598,-3.0113358,-2.6829965,-3.1857612,-3.601332,-3.8306637,-0.845704,-0.5945201,0.5014839,0.50697905,0.72450465,0.9412113,1.4613196,1.86049,0.67822355,0.4067377,0.33812535,0.1475318,0.8024661,3.156509,3.9941483,4.063732,3.0679445,2.840469,2.7975092,2.4565945,2.1396961,3.0123003,4.4370265,5.0625944,5.1570888,6.1807413,6.6868825,7.324679,8.135477,8.64929,8.780069,8.972254,8.828982,8.12402,7.1513524,7.4124546,7.50657,7.4794207,8.105782,8.5062275,9.532446,9.400403,9.905762,9.936572,9.889644,10.195773,10.528217,11.816026,12.046717,11.88551,11.876498,11.690495,11.164445,11.216415,11.166506,11.606005,11.290569,11.37594,11.941905,11.687204,11.967486,11.278141,11.312187,11.340284,9.45807,9.483755,8.303619,9.360171,8.406024,7.802906,7.0694265,6.973385,7.081443,6.3178225,6.1742306,6.408004,6.3598986,6.047405,6.1792474,5.580619,5.216859,5.1211133,5.2801957,5.328149,5.340454,5.759713,5.8817267,5.812172,5.3527594,4.724725,4.2985535,4.4357557,4.9410987,5.5194645,5.8652487,6.274135,6.661562,7.0839458,7.3418436,7.4662337,7.3219395,6.9103956,6.700715,6.6528554,6.6528554,6.6528554,6.6528554,6.6528554,6.5838895,6.483653,6.050829,5.8513255,5.539128,5.285888,4.920505,4.402361,3.8610916,3.8549216,4.0035233,4.5474877,5.0989246,5.6709404,6.4995522,7.0357256,7.1654663,7.177643,7.1385202,6.8976207,6.656713,6.3676133,5.9339395,5.403855,5.0183134,5.262146,5.641512,5.9736395,5.980964,6.130791,6.1792474,6.408004,6.766573
2025-11-13 00:51:45+00:00,2025-11-13 00:00:00+00:00,0.02521743,-0.65953237,-0.19922903,-0.24864362,0.3748114,0.526671,0.71293783,0.99539745,0.95199555,0.7248196,0.6339421,0.36129522,0.44469252,0.47517827,-0.07307451,0.19345184,2.9260228,3.2880366,1.1732341,1.4142609,2.5280306,3.0865076,4.2509036,4.327211,4.6984944,5.0441327,6.397993,6.2630925,5.5317597,7.493917,8.49364,11.398024,11.86325,11.841808,11.841808,11.1463,9.710946,9.6093645,9.650869,10.214819,11.359689,11.215701,11.182874,9.577277,9.3733425,9.514158,9.317471,9.962432,10.358945,10.349262,10.400106,10.611734,10.552743,11.116058,11.314227,11.158023,11.21283,10.880233,10.7289715,11.241739,11.339397,11.766281,11.437054,11.508067,12.040524,12.230214,9.944479,8.548958,8.173792,7.5621305,8.017035,8.380016,8.269815,7.8492403,7.10942,6.727221,6.8442936,6.700715,6.631667,6.7186313,7.0479364,7.0990586,7.0477204,7.042025,7.033626,7.1199903,6.9251676,6.6535363,6.060919,5.477834,4.886794,4.4022083,4.0374136,3.4247978,2.7363203,3.33453,4.128653,5.6125617,5.757363,5.4754567,5.5796676,5.572543,5.5490193,5.7007856,5.509975,5.3191586,4.931073,4.8170667,5.025366,5.472007,5.7434335,5.8076634,5.9627423,6.143298,5.856661,6.1668873,6.6049953,6.7812986,6.814515,6.774997,6.7024207,6.368564,6.058308,5.5326753,4.769443,3.820092,3.078796,3.0725026,3.2849336,3.4357631,3.4296362,3.3137643,3.3285239,3.3794026,3.3763964,3.2828367,3.07391,2.493459,1.9360902,1.4444112,0.7746371,0.04511197,-0.38473248,-0.72367984,-0.51996666,-0.18152475,0.59145164,1.2662219,1.8564882,2.373176,2.6468616,2.493459,2.3829823,2.0981183,1.7657571,1.697456,1.4596055,1.482238,1.339267,1.3168886,1.3223785,1.0460817,0.70292634,0.4703307,0.40049425,0.12775545,-0.09445513,-0.53111446
2025-11-14 00:52:06+00:00,2025-11-14 00:00:00+00:00,3.2678685,2.8491411,3.0163927,3.1720588,3.002772,2.9269245,3.7232127,4.891676,5.4499273,8.804729,11.487126,11.603016,11.586007,10.8520565,10.459721,11.151471,11.016896,11.884049,12.726926,12.303527,13.321021,14.325677,14.60903,14.425282,14.226513,13.828972,13.616445,13.77928,13.501645,13.048217,12.653234,12.455742,12.525365,12.857274,12.642612,12.525365,12.228732,12.24658,11.932091,12.460734,12.75814,13.434655,13.266937,12.373721,12.242585,12.422758,12.373721,7.370716,7.1823053,7.609984,7.0138726,6.774997,6.9253645,6.365685,6.058308,6.0953526,5.9648614,5.975043,5.7247124,5.4240546,5.340454,5.403855,5.21391,4.9561706,4.720235,4.069971,3.065802,2.4685178,2.950862,4.467371,4.866768,5.5875626,6.0985303,6.2269363,6.483653,6.679444,6.766573,6.877342,6.973385,6.7964354,7.081443,6.985242,6.6004224,6.7583847,7.0962067,7.2848215,7.2661057,6.905414,6.905414,5.6266212,6.5673814,6.132329,4.800638,4.112785,2.1583197,1.45115,0.39087284,-0.48296827,0.5757535,0.37934595,0.161458,0.20953378,0.816021,0.2930578,0.37607285,0.05689377,-0.2652228,-0.6374331,-0.7786114,-0.41547433,0.056092437,0.27017447,0.37607285,-0.4486569,-1.0912023,-1.2859643,-1.3603815,-1.6472331,-2.1462371,-2.4976141,-2.6317613,-2.0080764,-0.98571134,-0.39358655,-0.05463789,0.53071433,0.5859049,0.39477968,0.19859298,0.09214033,0.028678473,0.008592639,0.03225348,0.052348576,0.0689703,0.0046784496,-0.2391367,-0.7430558,-1.1388623,-1.4702395,-1.546715,-1.91786,-2.1910825,-2.318765,-2.2740557,-2.1013927,-1.7825431,-1.4510863,-1.3193318,-0.89429617,-0.7370147,-0.5399742,-0.34865335,-0.39469418,-0.44073552,-0.44073552,-0.48677742,-0.3012857,-0.16735058,0.14669737,0.42482406,0.25245363,0.3878937,0.27084666,0.12708981,0.13542895,0.53718644,1.3425725
