forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:51:28+00:00,2025-11-05 00:00:00+00:00,15.118,13.218,12.468,12.318001,12.318001,12.568001,12.068001,11.568001,11.618,11.318001,11.118,10.418,10.368,10.318001,10.418,9.368,9.368,9.568001,9.418,9.568001,9.768001,10.068001,10.218,10.268001,10.318001,10.318001,10.418,10.368,10.418,10.318001,10.268001,10.168,9.868,9.818001,9.768001,9.668,9.068001,8.568001,8.218,8.018001,9.568001,11.418,12.168,14.318,15.467999,15.768,15.418,14.818,13.768,10.668,11.368,10.518,11.618,11.818,11.268,11.118,11.018,10.868,10.467999,9.717999,9.818,9.967999,10.168,10.318,10.768,11.217999,12.668,14.368,17.668001,17.868,17.518002,17.168001,15.668,11.768,11.168,11.118,11.168,10.967999,10.818,10.768,10.668,10.717999,10.618,10.568,10.618,10.668,10.717999,10.568,13.118,17.318,20.468,22.118,22.568,22.018002,20.718,19.768002,17.768002,14.318,14.217999,14.268,13.918,13.768,13.518,13.318,12.918,12.717999,12.418,12.467999,12.568,12.518,12.618,12.768,14.568,17.718,20.818,21.868,22.168001,21.918001,21.018002,19.618,18.268002,17.118,16.068,15.268,14.818,14.618,14.418,14.168,13.967999,13.818,13.768,13.768,13.768,13.418,13.018,13.568,15.918,19.218,21.918001,23.518002,24.468,24.568,23.418001,21.418001,19.568,18.168001,16.868,16.018002,15.768,15.867999,15.967999,15.967999,15.967999,15.818,15.368,14.768,14.418,14.318,14.467999,15.268,17.268002,19.918001,21.718,21.968,21.368,20.518002,19.568,18.368
2025-11-06 00:51:52+00:00,2025-11-06 00:00:00+00:00,10.668,10.368,10.268001,10.468,10.468,10.518001,10.518001,10.318001,10.268001,10.368,9.968,9.918,9.318001,9.018001,8.718,8.618,10.168,12.118,13.218,13.368,13.718,13.868,13.618,13.268001,12.718,11.268001,10.768001,10.718,10.518001,10.818001,11.018001,11.018001,11.118,11.118,10.968,11.018001,11.118,11.218,11.318001,11.318001,11.518001,11.868,12.768001,16.968,17.068,17.918001,17.868,17.268002,15.618,12.068,11.418,11.268,11.068,11.018,10.818,10.768,10.717999,10.668,10.518,10.568,10.568,10.418,10.368,10.518,13.217999,17.468,20.468,22.018002,22.218,20.268002,20.368,19.818,18.018002,14.768,14.868,14.818,14.768,14.467999,13.818,13.318,12.918,12.618,12.467999,12.467999,12.268,12.318,12.318,12.467999,14.318,17.718,20.968,23.368,23.818,23.218,22.868,21.468,18.468,16.218,15.668,15.217999,15.168,14.818,14.368,14.368,14.118,13.967999,13.868,13.768,13.818,13.518,13.268,13.368,15.268,19.368,22.318,23.468,23.768002,23.468,22.418001,20.768002,19.268002,18.068,17.018002,16.218,15.818,15.668,15.467999,15.168,14.818,14.568,14.368,14.268,14.118,13.668,13.268,13.717999,15.818,18.818,21.118,22.218,22.718,22.618,21.868,20.518002,19.068,17.368,15.568,14.217999,13.768,13.768,13.768,13.467999,13.168,12.967999,12.967999,13.118,13.318,13.418,13.518,14.118,15.618,17.618,19.068,19.668001,19.718,19.468,18.868,17.968
2025-11-07 00:51:05+00:00,2025-11-07 00:00:00+00:00,13.468,12.668,11.668,11.318001,11.218,11.318001,11.818001,11.768001,11.718,11.768001,11.918,12.218,11.468,10.968,11.518001,11.818001,12.618,13.968,14.168,14.918,15.168,15.268001,15.368,15.418,14.968,13.418,12.718,12.668,12.568001,12.868,12.718,12.668,12.568001,12.918,13.368,14.718,14.418,14.118,14.318001,13.368,14.268001,16.768,18.718,22.568,23.018002,22.668001,21.818,20.268002,16.918001,15.118,15.118,14.967999,14.217999,14.018,13.568,13.118,12.967999,12.668,12.368,12.518,12.768,12.768,12.717999,12.518,14.467999,18.618,22.068,24.268002,25.368,25.268002,24.668001,23.168001,20.118,16.968,16.418001,16.218,15.768,15.368,14.868,14.568,14.018,13.768,13.717999,13.768,13.768,13.668,13.568,13.668,15.418,19.918001,23.268002,24.868,24.918001,24.818,24.218,23.018002,19.768002,17.018002,16.318,16.118,15.918,15.618,15.418,15.118,14.818,14.318,14.217999,13.518,13.717999,13.768,13.668,13.368,15.318,18.918001,21.368,22.368,22.518002,22.268002,21.568,20.368,19.018002,17.318,15.368,13.967999,13.467999,13.418,13.368,13.118,12.868,12.618,12.418,12.217999,12.068,11.568,11.118,11.618,14.068,17.518002,20.168001,21.368,21.768002,21.618,20.868,19.618,18.168001,16.518002,14.668,13.368,12.967999,13.068,13.168,13.118,13.068,13.068,13.168,13.318,13.467999,13.467999,13.467999,13.668,14.268,15.118,15.768,16.318,16.668001,16.518002,15.368,13.717999
2025-11-08 00:47:01+00:00,2025-11-08 00:00:00+00:00,15.568001,14.068001,13.468,13.518001,13.518001,13.318001,13.968,13.518001,14.118,14.318001,13.718,13.718,14.218,14.418,14.518001,14.718,15.568001,17.568,19.968,20.418001,20.368,20.168001,19.818,19.218,17.818,16.568,16.468,16.168,16.318,16.468,16.618,16.268,16.618,16.668001,16.868,16.868,16.418,16.418,16.168,15.968,16.668001,19.118,21.568,24.818,25.368,25.218,23.718,22.018002,19.518002,16.768002,16.468,16.068,15.618,15.217999,15.018,14.818,14.518,13.967999,13.868,13.618,13.418,13.368,13.217999,13.467999,15.568,19.118,22.118,23.818,24.668001,24.368,23.918001,22.818,19.368,16.768002,16.168001,15.967999,15.768,15.268,14.918,14.868,14.467999,14.418,14.168,13.818,13.618,13.518,13.168,12.768,14.967999,19.818,22.118,22.068,22.218,22.568,22.218,21.768002,19.168001,15.717999,14.618,14.118,13.868,13.668,13.418,13.168,12.967999,12.717999,12.568,12.318,12.168,12.018,12.068,11.918,13.967999,17.818,19.768002,21.118,21.818,21.868,21.118,19.718,18.168001,16.518002,14.717999,13.418,12.967999,13.068,13.118,13.018,12.868,12.717999,12.568,12.418,12.268,11.768,11.268,11.668,14.018,17.318,19.468,19.618,18.668001,17.268002,15.268,12.768,11.068,10.768,11.168,11.568,11.668,11.768,11.818,11.768,11.668,11.668,11.818,12.068,12.217999,12.217999,12.168,12.118,12.118,12.168,12.217999,12.217999,12.217999,12.168,12.018,11.868
2025-11-09 00:53:46+00:00,2025-11-09 00:00:00+00:00,19.018,17.018,17.218,16.418,16.368,16.318,15.868,15.518001,15.718,16.418,16.668001,16.218,16.318,16.568,16.418,16.418,17.318,19.418001,21.418001,23.318,24.018,23.518,23.118,22.968,21.618,19.118,18.568,18.418001,18.568,18.618,17.718,17.268,17.418001,17.618,17.368,17.018,16.368,16.518,16.618,16.418,17.168001,19.268,22.018,23.668001,23.518002,23.468,22.968,22.018002,19.118,16.568,15.967999,15.418,15.467999,15.168,14.967999,14.967999,14.717999,14.568,14.168,14.018,13.967999,13.518,13.418,13.518,15.018,18.368,20.318,20.018002,21.718,21.468,21.068,20.518002,18.018002,14.467999,13.618,13.268,12.967999,12.868,12.717999,12.568,12.318,12.217999,12.018,11.818,11.717999,11.818,11.918,11.868,13.818,16.368,17.518002,18.768002,17.718,16.718,16.418001,16.768002,15.618,12.168,12.068,11.868,11.967999,12.668,11.268,10.668,11.018,10.518,10.918,11.217999,9.418,9.118,9.168,9.068,9.368,9.418,8.918,8.618,8.217999,7.818,7.4179997,7.068,6.7679996,6.618,6.568,6.368,5.9179997,5.368,4.9179997,4.718,4.618,4.4179997,4.068,3.568,3.168,2.7180002,2.2680001,2.2680001,3.118,4.368,5.2679996,5.4179997,5.218,4.968,4.718,4.468,4.2679996,4.1679997,4.1679997,4.218,4.318,4.5179996,4.6679997,4.868,5.068,5.068,4.618,3.918,3.368,2.918,2.568,3.0180001,4.868,7.5179996,9.618,10.768,11.418,11.618,11.217999,10.418
2025-11-10 00:54:27+00:00,2025-11-10 00:00:00+00:00,21.818,19.118,18.668001,18.468,18.318,18.318,17.918001,17.368,17.518,17.618,18.068,17.518,16.718,16.518,16.518,16.318,17.218,19.318,21.918001,23.618,24.418001,24.618,24.468,23.968,22.668001,19.918001,18.718,18.468,18.068,17.968,17.918001,17.568,18.218,17.668001,17.868,17.868,17.368,17.018,16.868,16.668001,16.518,17.468,19.968,21.268002,21.768002,21.718,21.268002,19.668001,17.968,15.318,14.368,13.868,13.518,13.368,13.118,12.818,12.668,12.518,12.418,12.168,12.168,12.068,12.268,12.618,14.168,16.568,17.518002,18.418001,18.668001,18.868,18.168001,17.668001,16.068,13.418,11.717999,11.768,11.318,11.818,12.368,13.568,11.268,10.268,9.967999,9.918,9.768,7.718,7.6679997,7.5179996,7.7679996,7.818,7.9679995,7.918,7.4179997,7.118,6.9179997,7.6679997,7.218,5.4179997,5.2679996,4.568,4.118,4.4179997,3.818,4.218,4.568,4.568,4.7679996,4.7679996,4.468,4.1679997,4.118,4.118,4.718,5.5179996,6.318,6.818,7.118,7.118,6.568,5.718,5.068,4.818,4.718,4.6679997,4.618,4.6679997,4.718,4.868,5.0179996,5.218,5.468,5.718,5.9179997,5.968,5.968,6.368,7.4179997,8.818,10.118,11.368,12.518,13.118,12.818,11.918,10.868,9.668,8.318,7.2679996,6.818,6.718,6.618,6.4179997,6.218,6.118,6.068,6.068,6.2679996,6.818,7.568,8.268,8.868,9.318,9.568,9.318,8.868,8.418,8.168,8.018
2025-11-11 00:51:35+00:00,2025-11-11 00:00:00+00:00,22.218,19.318,18.418001,18.368,18.318,18.418001,18.018,17.568,16.918001,16.718,16.718,16.468,15.968,15.718,15.668,15.768001,16.668001,18.618,20.418001,21.518,22.368,22.218,21.718,21.818,20.418001,17.968,16.968,16.118,16.068,15.368,14.668,14.318001,14.018001,13.718,12.968,11.268001,10.568001,10.068001,9.868,9.868,10.918,12.168,13.168,19.318,19.418001,19.218,18.718,17.718,15.918,12.518,11.868,10.918,11.118,11.418,11.967999,12.568,11.518,10.418,10.518,10.868,11.118,10.268,10.318,10.467999,10.668,11.168,10.568,10.418,10.618,10.168,9.467999,8.717999,8.318,7.618,7.568,7.5179996,7.218,7.068,6.7679996,6.5179996,5.868,5.6679997,5.2679996,4.568,4.718,4.618,4.568,4.318,6.368,7.5179996,8.368,9.467999,9.818,9.918,9.868,9.568,8.768,5.6679997,5.068,4.6679997,4.368,4.068,3.8680003,3.7180002,3.668,3.5180001,3.418,3.368,3.368,3.368,3.368,3.4680002,5.868,9.967999,12.918,14.168,14.568,14.368,13.518,12.068,10.717999,9.618,8.568,7.818,7.468,7.368,7.218,6.9179997,6.568,6.2679996,5.968,5.718,5.468,4.968,4.5179996,4.7679996,6.368,8.717999,10.568,11.568,12.118,12.268,11.818,10.918,10.118,9.568,9.168,8.868,8.868,9.018,8.967999,8.467999,7.718,7.068,6.618,6.318,5.968,5.618,5.2679996,5.0179996,5.0179996,5.118,5.218,5.2679996,5.368,5.468,5.718,5.968
2025-11-12 00:50:50+00:00,2025-11-12 00:00:00+00:00,18.868,17.168001,16.518,16.018,15.868,15.918,15.068001,14.568001,13.968,13.618,13.418,13.018001,12.368,11.868,11.368,10.568001,12.118,13.818001,13.918,14.068001,14.118,14.118,14.018001,14.018001,12.968,11.618,12.018001,12.668,10.918,10.868,11.018001,11.768001,12.118,11.768001,12.118,11.968,11.918,11.418,11.218,10.618,10.568001,10.568001,10.268001,11.418,11.668,11.217999,11.118,10.768,10.768,10.318,9.568,9.467999,9.168,8.918,9.018,9.268,9.018,8.717999,8.318,7.568,6.868,7.1679997,7.468,7.218,8.268,9.068,10.418,10.118,10.618,12.018,12.268,12.318,11.418,8.967999,8.618,8.217999,7.918,7.7679996,7.718,7.818,7.918,7.918,8.068,8.018,8.118,8.418,8.518,8.268,10.217999,13.268,16.568,19.068,20.418001,20.768002,19.618,17.268002,14.118,11.268,11.168,11.018,10.518,9.967999,9.268,8.568,8.368,8.018,7.6679997,7.368,7.368,7.718,7.5179996,8.717999,9.068,9.118,9.318,9.418,9.518,9.518,9.518,9.418,9.318,9.118,8.918,8.768,8.768,8.818,8.868,8.918,8.918,8.918,8.768,8.618,8.467999,8.418,8.467999,8.467999,8.467999,8.518,8.418,8.168,7.818,7.568,7.4179997,7.318,7.2679996,7.1679997,7.068,7.068,7.318,7.6679997,7.918,7.918,7.818,7.6679997,7.618,7.618,7.368,6.468,5.368,5.218,6.968,9.668,11.818,12.868,13.418,13.467999,12.918,11.967999
2025-11-13 00:51:12+00:00,2025-11-13 00:00:00+00:00,13.818001,12.868,11.868,11.968,12.768001,13.268001,13.018001,12.668,12.818001,13.118,13.168,13.218,13.318001,13.268001,12.968,12.468,12.218,11.518001,11.418,11.018001,11.068001,12.118,11.768001,11.518001,11.468,10.368,9.968,8.718,8.168,7.768,7.368,7.4179997,7.1679997,6.9179997,6.968,7.018,6.968,7.018,7.368,7.368,8.068,9.018001,9.918,13.168,13.818,13.768,13.018,12.618,12.018,9.568,8.967999,8.967999,8.918,8.818,8.717999,8.467999,8.618,8.967999,8.918,8.768,9.068,8.918,9.217999,9.518,11.118,13.967999,17.068,18.718,19.618,19.218,20.018002,18.868,15.068,12.818,11.918,11.168,11.118,11.118,10.668,9.568,9.018,9.068,9.168,8.967999,8.768,8.618,8.618,8.618,8.318,8.318,8.418,8.568,8.467999,8.518,8.518,8.418,8.118,8.018,8.217999,7.868,7.818,7.868,8.068,8.068,7.2679996,7.0179996,7.4179997,6.9179997,6.618,6.7679996,6.868,6.7679996,6.818,7.1679997,7.568,7.9679995,8.368,8.568,8.418,8.068,7.618,6.968,6.1679997,5.6679997,5.718,6.068,6.2679996,6.218,6.0179996,5.818,5.5179996,5.118,4.9179997,4.9179997,5.118,5.5179996,6.368,7.468,8.368,8.818,9.068,9.118,9.118,8.967999,8.518,7.5179996,6.1679997,5.218,4.968,5.068,4.968,4.368,3.5180001,2.868,2.568,2.5180001,2.418,2.0180001,1.568,2.118,4.468,7.818,10.268,11.118,11.168,10.768,10.018,8.868
2025-11-14 00:51:27+00:00,2025-11-14 00:00:00+00:00,11.118,10.868,10.518001,10.068001,10.218,9.918,9.768001,9.618,9.318001,9.418,9.468,9.518001,9.468,8.968,8.018001,7.318,8.368,9.118,9.768001,10.168,10.718,10.968,11.768001,11.618,11.118,10.168,10.418,10.818001,11.118,10.718,10.968,11.018001,11.268001,12.468,12.818001,13.218,13.368,13.718,13.768001,13.318001,13.468,15.268001,17.268,17.268002,20.718,21.518002,21.318,20.818,17.918001,14.918,13.918,13.018,13.467999,13.268,12.318,11.518,10.467999,10.618,10.368,9.818,9.668,9.518,9.418,8.967999,8.618,8.568,8.568,8.568,8.518,8.518,8.118,8.018,8.118,8.268,8.368,8.168,7.4179997,8.068,7.818,7.068,7.618,7.0179996,6.9179997,6.4179997,5.818,5.718,5.2679996,5.5179996,5.618,5.6679997,6.318,6.5179996,5.968,5.718,6.468,6.4179997,5.818,5.2679996,4.818,4.7679996,4.818,4.7679996,4.118,4.468,4.618,4.618,4.4179997,3.7680001,4.0179996,4.468,4.468,4.468,4.6679997,4.968,5.218,5.618,6.0179996,6.2679996,6.2679996,6.068,5.718,5.068,4.218,3.5180001,3.0180001,2.668,2.418,2.2680001,2.168,2.068,1.968,1.8679999,1.7179999,1.2179999,0.71799994,1.018,2.9680002,5.7679996,7.918,8.918,9.268,9.217999,8.668,7.6679997,6.6679997,5.6679997,4.618,3.8680003,3.618,3.668,3.7180002,3.618,3.5180001,3.5180001,3.618,3.7680001,3.918,3.8680003,3.7680001,4.068,5.068,6.4179997,7.5179996,8.068,8.318,8.318,7.9679995,7.318
