forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:09:12+00:00,2025-11-05 00:00:00+00:00,5.31803,4.0244436,2.724341,2.3792682,1.0710257,0.3891075,0.75163,0.6156916,-0.116772175,-0.92192286,-1.4023873,0.7775818,2.4343884,3.516026,3.8583465,4.235237,5.0388994,5.7898955,7.623034,9.039296,9.095205,9.095205,9.498197,9.3937645,9.850515,9.946582,10.199679,10.6025,10.5025,10.402501,10.099919,9.702536,7.286074,6.7760897,5.2140694,3.735433,2.439002,1.7760602,0.75257605,0.40693313,1.9963883,3.5815256,4.38963,7.566119,7.566119,7.4527273,7.5124507,7.6928215,8.043225,8.044927,7.8734355,7.6281705,6.5589523,4.65385,3.1311438,1.9004949,1.0990152,0.3987601,0.28184012,0.58304816,0.53702223,0.9642625,1.1914154,1.4592057,2.261877,3.4993837,6.146162,7.6004705,8.05723,8.5506315,8.672111,8.511198,8.65738,8.657206,8.544029,8.349235,7.8350916,6.648756,5.878642,5.304721,4.9424825,4.6726522,4.171412,3.8924506,3.516079,2.9957097,2.6136038,2.2874207,2.5539012,3.373857,4.848987,5.2064676,5.961195,6.948802,7.635637,8.560982,9.461719,9.401379,8.599574,7.4715104,6.5202823,6.066668,5.670459,5.22416,4.8209295,4.2345395,4.003866,3.4351988,3.2348595,3.1889913,3.1431205,3.3265972,4.399208,3.8717809,3.4931657,2.971468,2.7909014,3.2242837,4.0487914,5.0118546,5.6060634,5.52349,4.9137793,4.4133077,4.0939817,3.8720138,3.643355,3.4164243,3.1894739,3.0078979,2.7286937,2.532794,2.2840579,1.9688675,1.9006026,1.847823,2.1481647,1.8091807,1.2651886,1.2885661,1.7630316,2.4974205,3.384409,4.218149,4.611409,4.1849174,3.463592,2.893971,2.577943,2.509167,2.3865438,2.431433,2.1205614,2.1653178,1.9351249,1.7399975,1.4016925,1.0912867,0.6921255,0.5231289,0.7756578,1.0454241,1.007034,1.4735087,1.979558,2.7218924,3.3087707,4.0971036
2025-11-06 00:53:04+00:00,2025-11-06 00:00:00+00:00,6.377415,7.851987,7.2217827,8.323716,8.701187,7.781873,7.8305755,7.5077014,7.743158,8.0619955,7.440953,6.9539037,7.705455,7.2816086,6.478702,5.8224583,8.853255,9.838106,10.260665,11.2934675,12.24708,11.77459,11.778495,11.954132,11.667099,10.5192175,9.509233,8.4636755,7.5625873,6.7731147,6.171587,5.1967993,4.6533012,3.909369,2.6301684,3.0594432,2.871116,1.9496498,0.96985066,0.69120455,2.2874992,5.1204524,6.744138,5.5108285,7.0259886,7.4778914,8.009455,8.213113,9.08374,9.043786,8.844549,8.272434,7.4170833,6.425036,5.542815,4.8624578,4.2186913,3.657385,3.2777922,2.8951426,2.3071842,1.4430022,0.6326292,0.09862172,0.36065385,1.3116771,2.9530773,3.5275066,4.095604,4.662863,5.534288,6.392323,7.6461506,7.756047,7.2343826,6.037582,5.457128,5.0999064,4.7900486,4.3211145,4.1367993,3.6191113,3.2807298,3.2348595,2.7540863,2.451141,2.096771,1.7324386,2.718318,2.362834,2.5921583,2.7489812,2.6232052,3.182151,3.422572,3.7068918,5.388257,4.8728876,4.6296573,4.6296573,4.6753874,4.4589186,4.4133077,4.09952,3.5979707,3.1814005,2.554188,2.554188,2.2518766,1.9415315,1.8967716,1.4888821,2.3242164,1.8126694,1.0991952,0.616825,0.82180625,1.1648344,2.7186081,3.8646026,4.0971036,3.750308,2.9165223,2.1653178,1.8520112,1.712015,1.4286144,1.2506598,0.98369956,0.76120543,0.62769777,0.15978402,-0.22856914,-0.6268868,-0.9478699,-1.1896776,-1.0203999,-1.122161,-0.7575116,-0.6034938,0.41243377,0.987068,2.1499162,2.6999557,3.264558,3.2073035,2.6892376,1.9136057,1.4153627,1.1778922,1.0230333,0.9047461,0.506809,0.4051642,0.20415014,-0.051672887,-0.09589483,-0.23956819,-0.2077118,-0.07372015,0.5673387,0.92469466,1.2258078,1.5682673,2.1820648,3.0478804,3.8800673,4.4323254
2025-11-07 00:52:13+00:00,2025-11-07 00:00:00+00:00,9.594293,9.49832,8.658468,8.366278,7.2151246,6.4254417,6.8371544,6.5887756,5.442714,4.463841,3.6233144,3.117929,1.8941453,1.2137734,1.351134,1.2799907,3.2276752,5.422955,8.415629,10.0837555,11.563154,11.846894,12.036976,11.9128,12.141589,11.2317,10.500319,9.935221,9.302301,7.287878,7.350318,6.633234,6.205921,5.4958797,4.89986,4.422366,4.191949,4.227005,3.9774196,3.0712042,4.757052,6.853858,9.166338,4.9844356,5.9915624,6.1387367,6.748488,7.2762647,8.527341,8.256297,7.92314,7.2818103,6.131347,4.6511807,3.998556,3.7110636,3.1659076,2.770663,2.4154956,2.054411,1.6871432,1.2682432,1.2230672,1.0680829,2.025642,2.362834,2.381385,2.8029,2.6651347,2.5823863,2.5406914,3.0978827,5.446416,4.9137793,4.7325897,4.4133077,4.721118,4.6296573,3.9175158,3.4164243,3.045597,2.668242,2.668242,2.532794,2.577943,2.7286937,2.7739685,3.2348647,4.223073,3.95084,3.469508,3.2664187,3.2938654,2.8742194,3.21005,3.676597,5.191978,4.9591365,4.7325897,4.2764587,4.185224,3.643355,3.3171968,2.7792706,2.554188,2.668242,2.4424925,2.2759016,2.3211856,2.0041847,2.0041847,1.7437037,2.1996481,2.120292,2.3202505,2.5754824,2.660212,2.9588382,3.452098,3.991582,4.4978065,4.2677836,3.9156415,3.3489206,2.937125,2.461025,1.9588964,0.81490934,-0.39615816,-1.2902929,-1.8615696,-1.9939069,-2.0821352,-2.3027265,-2.8818457,-2.5943787,-1.6641845,-0.64806783,-0.13062301,0.1858446,0.476529,0.95526344,1.5801569,2.6789303,3.2225418,3.4295294,3.362459,3.0286407,2.4795027,1.6002403,1.0423594,0.572499,0.48238188,0.27580574,-0.029059561,-0.106441125,-0.5964602,-0.89818466,-1.7305981,-1.7525363,-0.93426937,0.018343318,0.51469463,0.38670725,-0.029896075,-0.11626388,-0.15930822,0.27389538
2025-11-08 00:47:54+00:00,2025-11-08 00:00:00+00:00,11.530941,11.002703,10.964688,10.362724,9.537098,8.018089,7.7817707,7.4338884,7.145778,6.809633,6.1820636,5.633525,5.0688634,4.225133,3.9436913,3.2559018,3.4616456,5.2981405,8.696126,10.39937,10.87386,10.597126,10.170434,9.705692,9.260426,7.055449,1.5993142,0.046110153,0.046110153,0.3974003,0.26619172,-0.40537676,-0.36196563,-0.5790379,-0.34610778,-0.038495846,-0.21498626,-0.12749155,-0.30248848,-0.21498626,0.8302734,4.1545215,3.654581,2.5393505,2.62408,2.7074633,3.2519574,3.8035934,5.5782223,5.555077,5.086917,4.4589186,4.4133077,3.7341204,3.074536,2.554188,2.509167,2.1171987,1.8072472,1.8967716,2.2069864,2.4191258,2.668242,2.893971,3.8974602,3.6667998,3.1684945,3.350676,2.7074633,2.6657746,2.457297,2.845047,5.0948796,4.719971,4.1450152,3.7341204,3.362459,2.8242812,2.8242812,2.554188,1.9862895,1.6227622,1.4442506,0.470334,-0.007451284,-0.67096823,-0.980562,-1.3764181,-0.20352055,-0.5067209,0.45419937,0.9970132,1.6585453,1.7844094,2.297069,2.618294,4.541928,4.0971513,3.6899927,3.280403,2.5993063,2.0041847,1.7777314,1.6418495,1.1778922,0.7076699,0.27580574,0.14100954,-0.03873084,-0.47685933,-0.5216698,-1.0641674,-0.6228914,-0.6931108,0.5252273,0.22737598,0.39348343,0.78826624,1.8974444,3.3087707,4.1007123,4.136482,3.6444867,2.9596326,2.409092,1.550297,1.00763,0.68089736,0.7260838,0.39226058,-0.03873084,-0.9224792,-1.4205272,-2.1931102,-2.9282677,-3.14573,-2.5297759,-1.3701226,-0.8829239,-0.42313358,-0.23085304,0.32825175,0.8832725,1.6619563,2.5442615,3.5981848,4.748135,5.5503106,6.2000623,6.578239,7.1139555,7.3815174,7.7896676,8.099971,8.425369,8.643458,9.04684,9.428013,9.9206,10.374875,10.91434,11.338777,11.611508,11.195875,10.1739025,9.587831,10.031709,10.955124
2025-11-09 00:54:32+00:00,2025-11-09 00:00:00+00:00,11.981831,10.237886,8.978565,6.3465357,5.7725697,5.204602,4.0118966,2.2184386,1.4441848,-0.12749155,-2.0572827,-2.4181926,-2.672044,-2.2902124,-1.5448664,-1.3301079,-0.43524194,1.9122828,3.8928103,0.80800784,-0.8603704,-0.57702065,-1.5669943,0.2621226,1.3795053,-1.7883571,-4.175601,-4.710909,-6.60445,-7.1629715,-7.6041574,-7.8047605,-7.925143,-5.7532673,-5.917086,-6.4615135,-5.917086,-5.7410364,-5.3550706,-5.313603,-5.205258,-1.7114877,2.802126,1.3066823,1.2885661,1.9704095,1.9568114,2.8296592,4.9190865,4.202762,3.8150468,3.1648126,2.5212026,1.9351249,1.6955162,1.2061703,1.0726906,0.8502063,0.51469463,0.12520812,-0.31702235,-0.71505004,-0.67096823,-0.8160835,0.24871857,0.24338338,0.6676851,1.5184554,1.3463037,1.9369668,1.5583069,2.2529576,3.92745,3.9610202,3.820247,3.1431205,2.2228873,1.4153627,0.7076699,0.6357127,0.500147,0.69045985,0.645146,0.41856486,0.28260547,0.1013149,-0.26820064,-0.22299702,0.55905336,0.22802815,0.9163882,1.7503604,1.9230555,1.6640074,2.0521393,2.2123673,2.5998216,1.7566357,0.6477679,0.506809,0.500147,0.14633694,0.9329345,0.14958005,-0.5828072,-0.36125267,0.5983169,1.0013689,2.0494735,5.0248857,6.034697,6.6792035,7.071526,6.620906,7.318134,7.4575815,7.68449,7.5883956,7.289105,6.689254,6.238685,5.737782,5.1867094,4.790064,4.546371,4.2505593,4.0020213,3.5541356,3.0079327,2.5109475,2.211738,1.8079286,1.6039786,1.5111526,1.4162086,1.3569767,1.3588771,0.9813493,0.58995503,0.35895318,0.21968102,0.120244496,0.31358868,0.68222797,1.042862,1.3158213,1.3702714,1.1410973,0.40796587,-0.5301001,-1.2802577,-1.5736405,-1.6286365,-1.7344927,-1.676487,-1.7653649,-1.7136956,-1.61907,-1.5759703,-1.2802577,-0.623766,-0.48005056,-0.7654997,-0.5216698,-0.2077118,0.5902986,1.3276972,1.9702339
2025-11-10 00:55:36+00:00,2025-11-10 00:00:00+00:00,6.301508,4.9999776,4.4924884,2.0585117,-0.04411257,-1.4402233,-3.2514172,-2.6685195,-3.4904282,-4.175601,-4.2991123,-3.7096019,-4.9754415,-4.7932863,-3.2534478,-3.7929237,-4.4226375,-2.400171,-0.9312222,-0.9008557,-0.7794065,-0.6984473,-0.9413405,-0.68658257,0.5940996,-0.4209041,-1.3552545,-1.9501572,-4.5461726,-4.710909,-4.834478,-4.9580564,-5.246463,-5.45251,-5.534938,-5.1892095,-5.3550706,-5.988401,-6.3183036,-5.585731,-4.3428755,-1.1828603,-0.11599785,0.8191418,1.1549666,1.1129935,1.2848464,2.124601,3.750308,2.8692951,2.5993063,2.3699665,1.9635836,1.3134177,0.23998457,-0.118383214,-0.028804008,0.006203999,-0.21848798,-0.4432038,-0.6229912,-0.7578416,-0.8027941,-0.6229912,0.25785598,-0.3314856,0.14697714,0.37068424,0.4979764,-0.5670257,-0.30840126,0.112276584,0.92469466,0.5451509,0.38208988,0.5451509,1.2745321,2.1171987,2.6230934,4.0962477,5.7325034,7.5878215,7.6674237,8.069643,8.285756,7.969783,8.385468,9.184605,8.536147,6.9380646,6.929153,6.6245046,6.7854023,6.6394916,6.340917,5.831248,5.1971974,4.654592,4.2106314,4.111972,3.8357956,3.1990566,2.4116552,2.1132188,2.0635116,1.6167078,1.0200032,0.27454308,-0.7723404,-1.8310989,-2.1862159,-1.5620023,-0.26529846,-0.55595475,-0.20263435,-0.69403845,-1.3046046,-1.4477206,-0.6766996,0.17272635,0.8749097,1.3493441,1.6072251,1.6952525,1.88873,1.8965315,1.7997814,1.6525947,1.3845414,1.1100742,0.64135426,0.31703657,-0.14303356,-0.43333128,-0.44502938,-0.279463,0.42852914,1.5322311,2.2407856,2.8453434,3.2611449,3.9114814,4.5717664,4.78766,5.1397853,5.225404,5.322452,4.86412,4.148006,3.3653445,2.5849943,2.1712482,1.937098,1.7008896,1.5107874,1.6072251,1.6072251,1.7436223,1.7726907,2.025923,2.498957,3.0450213,3.2861397,3.5652452,3.9139528,4.4115214,4.7675548,5.092079
2025-11-11 00:52:23+00:00,2025-11-11 00:00:00+00:00,5.9514337,4.4479246,4.7298055,3.356198,0.46998084,0.4264646,-0.18728419,-0.44556883,-0.40251777,-0.7900095,-0.91919595,-1.1345288,-1.0001562,-1.2164208,-1.6945332,-1.7376213,-1.346195,0.858524,0.45553756,0.21821454,-0.1319071,1.6792796,1.510553,3.0602245,3.006614,0.9398762,-1.3301079,-2.484434,-2.9971788,-3.778916,-3.9917133,-4.6197953,-5.5628386,-5.6472116,-4.247113,-4.108741,-3.905379,-1.7173604,1.7495517,2.1255803,2.8994853,4.2468066,3.880997,0.455549,0.22965863,0.27188048,0.625258,1.7935356,2.6762774,2.8913674,2.6337285,2.6625624,2.5154593,3.67596,3.5008543,1.3350768,1.0279251,1.3116771,1.8289553,3.461811,3.0908659,3.4624507,8.438407,7.915289,7.959634,7.996154,7.3490567,6.6909113,8.062031,8.978702,9.46778,9.934761,9.635117,9.385413,7.538515,5.9925766,5.682509,5.5173025,5.7037687,5.5766306,5.443831,5.2465243,5.7151184,5.5759945,5.3850307,5.23629,4.8332253,4.641321,4.4429955,3.892353,4.231455,4.052687,3.8877604,3.4686058,3.4471974,3.9213262,5.0051656,4.0738306,3.5505128,2.9514465,2.302547,1.1918403,0.26807207,-0.14044896,-0.66743666,-1.226123,-1.5669274,-1.6429911,-1.6727817,-1.5757062,-1.5757062,-1.333022,0.09369495,-0.275811,-0.39115986,-0.36328742,-0.18098062,0.37344444,1.0478116,1.6110226,2.2440994,2.5327299,2.4033923,1.9230709,1.1390355,0.29239172,-0.6095514,-1.102311,-1.5572399,-1.8125072,-1.9077156,-1.7479839,-1.7956709,-2.0341125,-2.4313927,-2.236314,-1.4264606,-0.33636013,0.5025577,1.00763,1.9181684,2.588084,3.3072395,3.9425051,4.399898,4.4873147,4.306352,3.7523687,3.2616787,2.629721,2.0991259,1.7241733,1.7104113,1.6618209,1.8561814,1.9667581,2.472604,3.359819,4.2942495,4.79081,4.3849998,3.5478878,2.857417,2.857417,3.1062465,3.255543,3.255543,3.2057776
2025-11-12 00:53:14+00:00,2025-11-12 00:00:00+00:00,5.873549,7.5374565,6.4259114,3.6951203,1.4172113,1.6221249,0.7596332,-0.22974719,-0.869202,-1.6923077,-2.5564728,2.1157167,0.38848493,-0.5371668,2.3758185,6.821215,5.266566,6.5914564,4.6454997,5.706975,5.4493065,6.092544,6.435545,6.564701,6.603657,5.9426875,4.610356,4.0753994,0.9226308,-0.33758467,-0.33610362,2.3552606,3.8606048,4.986306,5.324459,5.448435,6.1342816,6.2503343,6.4209657,6.733323,7.4642024,9.72125,10.836865,6.7202682,8.469852,8.929584,9.142929,9.324961,9.099691,8.991353,10.108009,10.412744,10.354244,10.010111,10.157254,10.296522,10.371535,9.03496,7.535207,7.1333094,7.3262672,7.638277,7.936305,7.933297,7.7233768,7.5248227,7.1986837,7.2021575,7.4471655,6.225109,5.810527,6.0975003,7.1686587,6.802129,6.899398,6.1074243,5.050392,3.6781497,2.7016385,2.5947468,2.6905365,3.1333952,3.5171537,4.0549345,4.2600265,4.451817,4.451817,4.50017,5.304721,5.4105353,5.9263115,6.2384334,6.5344834,6.770127,6.854958,6.9297905,7.1078434,6.986005,6.7191567,6.6709,6.857364,6.789242,6.8384337,7.2481356,7.1109824,7.021125,7.0780706,6.9715486,7.0707035,7.061468,7.3262672,7.3262672,7.4255447,7.4080663,7.2514143,7.1117897,6.802129,6.6265597,6.6265597,6.7623167,6.8394446,6.857958,7.039515,6.9156523,6.8174043,6.696119,6.5729203,6.4477644,6.1914015,5.9626827,5.6704097,5.231985,4.890973,4.7448206,4.6473846,4.8254256,5.5186987,6.60527,7.2824135,7.1773486,6.9624395,6.592771,6.555817,6.5749264,6.586597,6.288387,5.990174,5.6881404,5.7320886,5.7151184,5.7037687,5.407427,4.9135127,4.4689803,4.1726193,3.8159902,3.618666,3.3226767,3.2835116,3.4213402,3.9977067,4.890973,5.515478,5.563447,5.4792733,5.3551226,5.7259693,5.998435
2025-11-13 00:52:00+00:00,2025-11-13 00:00:00+00:00,7.205608,6.853858,5.581087,4.186867,4.6136928,4.6136928,4.278801,4.014684,4.291164,4.708563,5.007485,5.256905,5.832063,5.474797,4.81965,4.975539,5.6401095,6.6444106,5.1940327,6.0362563,7.260014,6.9292827,7.0166793,10.540992,10.313805,9.632762,10.06691,10.294427,12.202499,9.6025,6.741012,6.6331663,5.643132,4.9677587,4.603672,4.9186287,4.53235,4.771236,4.799929,3.3420763,4.706733,6.876434,7.3635325,8.864486,8.876778,9.027816,8.796569,9.230766,8.787516,7.65249,7.768544,7.737204,6.7688746,6.056392,5.898709,6.082428,5.742462,6.034697,6.010965,5.463613,5.418788,5.7045627,5.849129,6.0455785,6.7780786,7.1962337,7.423167,7.460004,7.9292274,7.9085746,8.04128,7.9762683,8.138226,8.484342,8.336621,8.136888,7.9375696,7.9861264,8.13559,8.235235,8.436386,7.6737375,6.9624395,6.5663195,6.47577,6.686,6.9380646,6.987827,7.033908,6.8525286,6.824915,6.499891,6.3377447,6.3252516,5.993693,5.6875043,6.6651917,6.1989384,6.0357366,5.789112,5.49099,5.5671573,5.4900994,5.426843,5.642091,5.0371213,4.2467003,5.3086443,5.7874236,5.345655,5.145228,4.9464145,5.2957044,5.2461276,4.6978188,4.4001384,4.300609,4.1014457,4.2008553,4.4996667,4.7476435,4.6978188,4.4001384,4.300609,4.4001384,4.5494313,4.5494313,4.2008553,3.7024293,3.1042614,2.3076482,1.362763,0.6653554,0.16515419,-0.13860525,-0.075500354,0.44696602,0.85899997,1.1544737,0.9048844,0.9128099,0.9593615,1.7260892,2.3514118,2.9081461,2.9225094,2.719258,2.2581248,1.9638102,1.5111526,0.94546944,0.05561448,-1.2541231,-2.163734,-2.4926257,-2.3570213,-2.453667,-2.791937,-2.9981294,-2.8303728,-1.8300316,-0.7664883,0.018751873,0.5403575,1.1848512,1.983344,2.7606266,3.4471974
2025-11-14 00:52:25+00:00,2025-11-14 00:00:00+00:00,9.983283,10.028453,12.099676,11.949857,12.4025,12.602501,12.552498,11.502501,11.4025,11.2525,10.9025,9.941118,9.702921,10.34514,10.033256,9.900959,9.968148,10.3525,9.757636,10.182829,10.211248,10.687502,10.851169,10.693087,10.9025,10.952498,10.79352,10.098993,9.607327,8.239899,7.937673,8.010668,8.208312,7.4175906,8.02538,7.998953,8.234487,7.9492254,8.14294,7.900895,8.716964,9.335203,10.598304,7.850888,8.031419,8.210955,8.257911,8.839203,9.186992,8.9429455,8.815406,8.964314,9.013952,9.082194,8.735673,8.534163,8.583983,8.785554,8.177017,8.177017,8.127316,8.286739,8.037333,7.68816,7.5875373,7.239222,6.47577,5.936046,6.413043,6.1698575,5.9989085,6.519505,6.2062354,5.6086097,5.3294125,4.890973,5.6875033,6.318742,6.838541,6.440442,6.2911544,7.0881233,6.4888263,5.144157,4.7484884,4.2992263,3.8009813,3.452208,3.298469,3.5422592,3.2030826,3.6920853,3.597772,3.452208,3.4980042,3.398237,3.4481208,3.2485852,3.3483527,3.4023826,3.156012,3.3525581,3.255543,2.857417,2.7578852,2.754656,2.4114587,1.9143903,2.0570972,2.0072713,1.6161468,0.37610593,0.8359588,1.1410973,1.6132298,1.3638862,0.8749097,0.63500047,1.01738,1.5501314,1.8321515,1.9719424,1.770926,1.2581748,-0.049851872,-1.5962626,-2.9834175,-3.4821548,-3.613519,-3.7471998,-3.7954578,-3.7954578,-3.8437157,-3.9035115,-4.1935167,-3.8437157,-2.8728826,-1.8572081,-1.136119,-0.6188323,-0.3376035,0.17124563,0.98140115,1.7465842,2.0779338,2.0743654,1.6263843,1.3099345,1.0162737,0.55418444,0.3497695,0.18489672,0.29239172,0.3002099,0.3485141,0.3485141,0.5342835,0.6694198,0.572518,0.80228376,1.3216786,1.9860097,2.629721,3.1431944,3.6553485,3.9347105,3.9913943,3.9967568
