forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:52:03+00:00,2025-11-05 00:00:00+00:00,9.449572,7.771331,4.896529,6.12,5.1544156,3.8939953,3.4152596,6.830519,6.0347,5.937272,7.2805495,2.0364676,6.130579,5.315336,2.9024127,5.4833565,6.489992,6.12,6.151683,5.634891,14.081478,15.745627,17.313717,13.202726,11.770403,8.209263,5.95906,5.8048253,5.692099,6.193674,6.489992,6.9527545,6.763786,6.638072,6.9247384,7.0911775,6.696387,5.4477882,7.342588,4.3498964,3.096837,6.696387,7.5942073,13.237038,13.584932,15.778518,13.905509,12.496719,14.84318,13.049689,8.427383,7.968939,6.2145634,5.4833565,3.7585104,3.7585104,3.219938,2.5455842,1.8,0.35999998,1.835647,2.5455842,3.96,2.9024127,1.1384199,4.452954,8.287822,10.948973,10.464798,10.446206,10.105681,10.08,10.829959,6.489992,5.95906,4.510787,4.0249224,4.3498964,4.1046314,2.16,2.1897945,1.9386592,2.0991426,2.9024127,2.968636,1.484318,1.08,2.9024127,2.6208394,5.3999996,8.373386,10.144082,11.440979,12.074766,11.631956,9.255571,7.42159,6.725354,5.8603754,5.3999996,5.0528407,4.802999,3.8939953,2.5455842,1.9386592,2.6208394,3.6179552,3.6179552,3.4152596,2.9024127,2.6208394,2.5959969,2.8116899,3.8268526,5.991594,8.311245,11.183201,12.959999,11.885453,9.0645685,7.072878,6.0347,5.2416787,4.5536795,4.3498964,4.39436,4.3349743,4.0249224,3.671294,3.2399998,2.8799999,2.1897945,1.609969,1.08,1.5273507,1.5273507,1.0182338,3.9763298,6.8399997,9.779817,12.783802,14.264361,12.287555,9.0645685,6.9527545,6.489992,6.5693827,6.8399997,6.849467,6.4799995,5.7599998,4.68,3.6,2.52,2.1897945,1.9386592,2.4149535,3.319036,5.0528407,6.12,6.130579,5.771239,5.3999996,5.8048253,6.489992,7.42159,9.107359,10.739833
2025-11-06 00:52:45+00:00,2025-11-06 00:00:00+00:00,9.178235,9.686609,7.24486,5.1544156,6.151683,5.6002855,5.904439,6.830519,6.6087217,6.1305785,6.6185193,6.9527545,6.439876,6.4096174,6.8777895,5.0142193,5.8603754,10.931203,16.516901,19.319628,19.272614,19.296135,18.504139,16.418526,13.392774,10.685391,9.793059,9.021574,8.427383,7.208994,6.4799995,5.0911684,3.7585104,4.1046314,4.3349743,3.5455887,4.1046314,2.16,2.3051248,3.671294,0.8049845,3.6,9.360001,8.473393,10.105681,12.24,11.159999,9.47012,9.746631,9.255571,7.6367526,6.2145634,3.9763298,3.9763298,2.8799999,2.7416782,2.3051248,2.8799999,3.219938,3.096837,2.0364676,2.5959969,3.096837,2.8116899,3.8268526,5.8048253,7.2,9.826088,11.91812,12.641076,10.966713,9.6932955,7.9932976,6.87779,5.506941,4.802999,4.0249224,3.219938,3.5455887,3.319036,3.6,4.73506,4.510787,3.0758414,1.1384199,1.9386592,2.9024127,1.835647,2.5959969,4.379589,7.2805495,8.209263,9.47012,11.525623,12.324414,9.9571085,9.0,7.754637,5.991594,2.0991426,2.4149535,4.3498964,4.198285,4.6938257,3.671294,3.8268526,3.319036,3.8268526,3.563818,3.319036,3.8939953,4.6938257,4.198285,4.39436,4.0249224,5.3517847,8.049845,9.793058,9.9571085,9.0645685,7.928178,6.489992,5.1544156,4.2136917,3.8773184,3.8773184,3.8773184,3.7585104,4.1046314,4.0249224,3.671294,3.2599385,2.9024127,2.1897945,1.1384199,1.1384199,2.9024127,5.506941,7.6367526,8.28,8.4042845,8.654986,9.531505,10.464798,10.805999,9.3669195,6.489992,4.379589,2.7416782,1.5273507,1.1384199,1.1384199,1.5273507,1.9386592,2.1897945,2.5455842,2.968636,2.5455842,1.8,1.8,2.4149535,4.1046314,5.692099,8.209263,11.525623,13.722565,12.783802,10.390226
2025-11-07 00:51:54+00:00,2025-11-07 00:00:00+00:00,13.493999,9.885262,7.072878,5.6920996,5.8603754,5.95906,6.193674,6.379216,5.937272,6.12,6.519877,6.439876,5.95906,6.379216,6.6185193,5.0911684,0.71999997,4.379589,8.766573,12.904882,12.72283,10.948973,10.636766,10.829958,8.699793,6.439876,4.1046314,3.6,2.4149535,2.0364676,2.0364676,1.9386592,0.71999997,1.835647,1.4399999,1.609969,3.2599385,2.1897945,1.609969,1.1384199,4.510787,7.5685663,10.966713,10.30883,11.269782,11.753877,11.113451,9.6932955,9.422101,7.208994,4.3349743,3.96,4.32,4.3349743,3.6179552,4.5536795,4.379589,3.7585104,3.7585104,2.5455842,2.5455842,3.319036,3.563818,3.2599385,1.9386592,2.8116899,5.904439,7.9036193,9.565437,10.538843,11.901798,12.371645,9.178235,6.638072,5.3517847,5.00128,4.8433046,3.9763298,3.8773184,5.3517847,4.8433046,4.3349743,4.6102495,4.1046314,4.3349743,4.6102495,4.8965297,5.4833565,5.8048253,4.39436,4.198285,6.8777895,11.212135,10.739832,10.00256,10.661107,9.114471,6.28713,5.4477882,5.4119864,1.609969,1.8,3.0758414,2.52,2.3051248,1.4399999,3.396233,6.439876,3.5455887,1.609969,2.1897945,2.6208394,0.71999997,3.6179552,4.73506,6.924738,9.0645685,10.182337,10.182337,9.47012,8.759178,7.6367526,6.5693827,5.0911684,2.9024127,0.71999997,0.71999997,1.2979984,1.609969,1.835647,1.0182338,1.9386592,2.3051248,1.2979984,0.5091169,2.3051248,3.7064266,5.154415,6.830519,8.905908,11.304229,12.371645,11.304229,9.255571,7.5170207,6.489992,6.28713,5.95906,5.95906,5.95906,5.95906,5.495161,4.8433046,4.6102495,4.8965297,5.1919937,5.495161,5.00128,4.510787,4.198285,4.072935,5.00128,6.28713,8.699793,11.269782,13.217443,13.779114,13.783817
2025-11-08 00:47:40+00:00,2025-11-08 00:00:00+00:00,7.8954163,5.634891,4.1046314,3.5455887,4.072935,2.5455842,2.0991426,2.16,1.609969,0.8049845,1.8,2.6208394,3.8773184,4.5820518,3.563818,2.6208394,3.671294,3.6,9.085988,11.681987,12.682018,11.983188,11.983188,8.854829,7.5685663,5.3517847,3.7064266,3.4152596,3.219938,1.8,1.1384199,4.1046314,3.0547013,2.8799999,3.0758414,2.16,3.6179552,4.802999,4.896529,3.8773184,2.1897945,3.6,6.519877,9.114471,9.826088,10.1376915,11.525623,11.367109,9.6932955,7.172949,6.9899354,5.8048253,5.0911684,4.2136917,3.6,4.452954,4.3349743,4.3498964,4.0249224,3.6179552,3.2599385,2.9024127,3.6,3.5455887,3.7585104,3.319036,3.7064266,6.763786,8.654986,10.823973,11.304229,13.138765,3.219938,1.8,5.937272,5.4477882,5.04,2.0991426,4.8433046,3.6179552,2.2768397,3.319036,0.8049845,3.319036,1.5273507,4.8965297,5.1544156,4.1046314,2.3051248,2.5959969,5.506941,7.5170207,9.47012,10.853866,8.049845,9.826088,7.9526596,6.162207,4.68,4.68,2.9024127,4.3498964,3.6179552,2.2768397,3.5455887,4.73506,3.096837,2.5455842,1.4399999,6.130579,5.0528407,4.32,2.0364676,1.609969,6.12,6.8399997,7.208994,7.5599995,7.9526596,8.12197,8.311245,8.311245,7.8625183,7.172949,5.95906,4.8965297,4.3349743,4.5820518,5.692099,5.495161,3.319036,2.4149535,3.6,3.219938,4.0249224,6.3690495,7.6367526,8.669949,9.673221,11.090103,12.72283,13.905509,14.182355,13.53236,12.88981,12.229406,12.031756,11.384198,10.296251,9.178235,8.14587,7.386582,7.42159,6.989936,6.489992,6.489992,5.991594,5.495161,5.00128,4.829907,5.4833565,6.9527545,8.049845,9.178235,11.183201,12.72283,13.049689,12.55879
2025-11-09 00:54:20+00:00,2025-11-09 00:00:00+00:00,6.489992,3.563818,3.219938,2.5455842,1.9386592,3.7585104,2.5455842,3.319036,3.671294,2.52,2.6208394,2.5959969,3.6,2.5959969,2.0991426,2.5455842,1.835647,3.7585104,5.4119864,8.647496,12.620554,13.493999,11.659777,10.495713,10.390226,7.8954163,6.489992,5.6233797,5.4833565,5.771239,6.130579,6.130579,5.0911684,2.5959969,2.7416782,5.00128,5.495161,4.829907,4.8965297,3.9763298,3.2399998,2.5959969,8.707238,8.161764,10.315115,9.83268,8.311245,9.3876505,10.105681,4.0249224,3.96,5.0911684,2.968636,6.2145634,4.198285,2.2768397,2.16,2.5455842,2.16,0.35999998,3.8773184,2.8116899,4.6102495,2.9024127,1.08,3.396233,4.6800003,4.6938252,9.028754,9.114471,8.473393,7.968939,4.6800003,5.4119864,9.007196,2.3051248,0.35999998,7.2805495,3.5455887,1.1384199,3.319036,5.771239,4.0249224,0.71999997,2.968636,2.1897945,3.671294,5.04,0.71999997,6.5693827,8.311245,9.028754,8.707238,9.114471,11.525623,8.311245,8.311245,9.178235,7.69592,5.634891,6.519877,5.0528407,4.0249224,2.968636,4.198285,3.219938,3.2399998,3.6,2.968636,3.6179552,4.6938252,3.096837,1.8,5.00128,8.089993,10.30883,13.0447235,14.386494,13.896187,12.475961,12.181624,14.578888,18.0036,18.161278,13.513193,15.5843,22.862123,24.967497,23.990698,22.73707,21.42227,19.803272,18.847641,18.359999,18.35647,19.008547,21.129885,23.871555,26.141552,27.56058,28.33957,28.496904,28.01531,26.576681,25.294964,23.83624,21.734581,19.803272,17.709658,15.2947035,13.049689,11.631956,10.137692,8.350138,5.815978,6.0347,7.9932976,8.557102,7.9932966,7.386582,7.2,6.489992,5.3999996,4.39436,4.3349743,4.896529,5.692099,6.3690495
2025-11-10 00:55:17+00:00,2025-11-10 00:00:00+00:00,7.172949,8.766573,7.2805495,1.1384199,3.6,4.896529,5.154415,5.5887027,5.315336,4.6938257,5.0911684,4.072935,4.3498964,5.815978,5.2416787,4.896529,4.1046314,4.0249224,8.28,11.966953,13.584932,12.181624,11.525623,7.9526596,8.647496,7.8954163,3.219938,1.1384199,2.2768397,3.0758414,2.8799999,2.5455842,1.835647,3.4152596,3.2399998,5.4119864,5.4477882,3.7585104,5.1919937,4.1046314,1.9386592,3.096837,6.489992,7.342588,6.28713,6.638072,12.324414,11.525623,8.825508,5.1544156,6.4799995,5.7599998,5.8048253,4.73506,4.73506,3.2399998,0.71999997,5.4477882,1.0182338,5.0528407,4.0249224,3.319036,2.5455842,6.489992,5.771239,5.937272,7.208994,3.2599385,8.669949,12.261158,8.854829,8.4042845,8.049845,11.874544,10.163227,7.6367526,4.3349743,2.8116899,5.4477882,5.937272,6.151683,5.154415,5.4833565,5.315336,3.396233,2.9024127,3.096837,2.0991426,2.52,3.8773184,8.4042845,9.885262,12.224107,13.009903,14.003029,11.525623,14.277983,11.525623,12.9249525,16.09969,20.393293,21.794127,25.161398,24.36325,23.795427,24.248613,25.338476,24.20314,23.491207,24.798223,25.171696,25.516865,28.277763,28.33957,27.859905,28.220417,27.897097,27.553526,26.299719,24.344624,22.702845,21.120682,19.386593,17.782686,16.299694,14.48972,12.10157,7.8625183,3.2599385,2.5455842,4.8965297,6.8777895,7.386582,6.1305785,3.6,1.1384199,1.609969,4.3349743,6.618519,8.161764,9.726664,10.587918,11.298495,11.753877,11.592895,10.685391,9.422101,8.891343,8.049845,7.5685663,6.763786,6.489992,6.379216,5.937272,5.4833565,5.3999996,4.5820518,2.4149535,1.9386592,2.8799999,0.5091169,4.5536795,8.311245,10.137692,11.27553,12.0694,12.979984,13.237039
2025-11-11 00:52:10+00:00,2025-11-11 00:00:00+00:00,7.2359104,4.829907,2.5455842,4.1046314,3.096837,2.0364676,1.609969,4.6938257,2.1897945,2.52,0.71999997,2.6208394,1.609969,1.8,2.3051248,0.8049845,2.52,1.2979984,7.5685663,11.720751,8.28,11.440979,15.192682,14.973576,9.726664,5.6002855,5.4477882,6.9899354,4.73506,1.2979984,1.9386592,2.3051248,1.8,0.8049845,5.1165614,2.4149535,2.8116899,6.1305785,5.0142193,7.289445,1.5273507,4.73506,6.830519,6.9153743,8.217153,8.427383,10.8955765,12.7279215,13.358861,8.766573,5.6920996,7.9036193,6.725354,5.95906,2.3051248,3.9763298,6.849467,5.937272,4.5536795,5.1544156,5.4119864,4.32,3.319036,2.7416782,3.6,5.0911684,4.6938252,6.489992,9.9571085,9.255571,8.557102,10.931203,9.6932955,6.28713,9.028754,5.692099,7.0911775,6.489992,6.297428,8.311245,10.308831,11.177405,14.145756,18.374111,19.201874,16.992609,16.299694,13.493999,14.81259,17.106628,24.29133,19.13426,15.39184,20.892412,16.93531,20.633371,17.026896,16.09969,13.627795,13.441071,16.203999,14.830076,12.224107,7.968939,10.538843,7.754637,2.5959969,2.2768397,1.2979984,4.0249224,7.771331,6.489992,4.6800003,2.2768397,6.6087217,10.630672,14.182355,16.981165,17.873554,17.555305,16.418526,14.182355,11.720751,10.805998,9.227524,7.42159,5.506941,4.0249224,2.7416782,1.5273507,1.08,1.0182338,1.08,2.3051248,3.8773184,4.6800003,4.1046314,5.0528407,7.4128532,9.686609,12.261157,13.684735,13.779114,13.281023,11.983188,10.383987,8.4963045,7.145796,6.618519,6.3690495,5.904439,5.495161,5.0142193,4.73506,4.6938252,5.3517847,5.8048253,6.4096174,7.127636,7.653705,8.373386,9.826088,11.542478,12.224107,12.904882,13.363711,13.37825,13.5515
2025-11-12 00:53:00+00:00,2025-11-12 00:00:00+00:00,13.32,9.746631,5.1544156,3.5455887,3.96,3.6,3.219938,5.2416787,2.3051248,1.0182338,3.563818,0.8049845,8.311245,4.6102495,7.4128532,4.39436,1.8,2.3051248,5.0142193,11.542478,7.8954163,15.84409,14.039999,8.699793,10.799999,5.6233797,6.0347,8.209263,3.96,5.0142193,2.5455842,3.4152596,5.04,5.8603754,4.6102495,5.3999996,2.3051248,5.771239,5.2416787,5.8048253,7.5170207,5.904439,3.7064266,7.172949,10.829959,13.32,9.114471,10.105681,10.105681,7.2805495,6.28713,5.6920996,4.5820518,2.4149535,4.452954,6.12,5.495161,5.8048253,3.6179552,3.6,3.0758414,5.00128,5.937272,5.3517847,5.771239,11.27553,17.28,20.172853,17.373497,14.685176,13.722565,14.440443,17.057314,15.905319,14.471821,11.901798,7.69592,9.885262,8.557102,8.825508,9.779817,5.1919937,7.9932966,2.6208394,14.021525,4.39436,12.538134,16.595179,21.142147,12.303366,18.556595,19.969458,17.581125,18.947083,17.0763,16.92383,15.484185,13.684735,12.641076,13.1041975,12.413476,11.503113,10.495713,9.346143,10.661107,9.3876505,8.557102,7.5942082,6.519877,6.519877,6.638072,7.5685663,9.422101,11.27553,12.72283,12.979984,12.984975,12.88981,12.594856,11.753877,10.787993,8.854829,6.297428,4.6102495,3.8268526,3.319036,3.096837,2.8116899,3.4152596,3.319036,2.4149535,1.484318,2.0991426,3.096837,3.8773184,4.6800003,4.8965297,5.00128,6.924738,10.853866,15.815435,19.211996,20.478907,20.275383,19.803272,18.733839,17.057314,15.815435,15.141414,15.175612,14.973577,14.336861,14.021525,13.53236,13.53236,13.849477,14.021525,13.584932,13.104198,12.261157,9.931042,7.2,6.1094027,9.904906,16.75064,21.67487,22.007162,20.211363
2025-11-13 00:51:47+00:00,2025-11-13 00:00:00+00:00,12.245293,9.178235,6.696387,2.968636,4.8965297,3.563818,4.802999,2.8799999,3.4152596,4.5820518,1.8,2.2768397,5.1919937,4.802999,5.4477882,2.6208394,2.5455842,4.072935,7.24486,10.30883,13.891522,15.379206,10.233123,7.7043357,7.10031,5.904439,5.6920996,5.2416787,5.5887027,7.653705,9.504273,10.495713,4.8965297,8.39657,12.313894,10.829959,10.009036,10.97262,8.913181,8.707238,6.696387,8.647496,9.511088,9.605998,10.182337,9.904906,11.753876,10.948973,6.9247384,7.208994,4.0249224,4.3498964,4.1046314,7.072878,11.542478,14.04,12.57426,8.891344,9.220499,6.1305785,5.4477882,10.587918,23.210928,11.367109,14.182355,8.089993,10.948973,15.941944,18.079027,19.255793,18.03237,16.854767,15.629971,14.512064,12.7279215,13.441071,13.397612,12.4811535,13.004921,8.39657,6.439876,7.386582,8.049845,6.3690495,13.708391,10.24578,5.4119864,2.1897945,2.5455842,8.825508,11.753876,13.217443,12.57426,10.182337,9.565437,11.113451,13.32,10.703569,8.534353,10.587917,6.28713,3.8773184,5.904439,5.3999996,5.0911684,5.495161,7.771331,10.086427,11.525623,12.496719,12.224107,15.03835,19.70815,21.485697,22.3229,23.803596,24.29133,22.26477,16.704155,16.039202,20.275385,20.799152,18.03237,15.778518,14.654254,13.684735,12.245293,10.24578,7.9526596,7.6367526,9.9571085,13.910169,16.394829,16.65754,15.84409,15.484185,15.84,16.595179,16.981165,17.654688,18.0036,18.057508,17.373497,15.941944,14.154915,12.496719,10.24578,7.8954163,4.6938257,1.1384199,2.16,3.8773184,4.6938257,5.3999996,5.495161,5.4833565,5.2416787,5.0911684,4.6938252,3.9763298,2.7416782,2.1897945,3.396233,5.495161,8.427383,11.177405,13.358861,14.84318
2025-11-14 00:52:09+00:00,2025-11-14 00:00:00+00:00,9.693296,5.8048253,5.00128,2.9024127,5.3999996,11.966954,10.703569,9.422101,3.671294,8.64,8.647496,5.1544156,9.387651,9.6932955,3.7585104,8.427383,10.829959,10.8955765,7.342588,13.849477,8.78872,11.966954,12.313894,15.782622,14.33234,2.8116899,1.8,0.35999998,0.35999998,3.5455887,1.609969,8.39657,4.0249224,5.95906,6.6185193,4.8965297,2.5455842,10.661107,16.575644,22.314194,20.907913,23.584808,18.58451,21.933426,21.273533,6.763786,15.141414,17.595861,15.778518,13.570615,12.224107,12.074766,11.609651,9.746631,10.239453,9.72,10.464798,9.47012,9.028754,9.885262,10.829959,7.072878,5.991594,5.8603754,8.647496,9.114471,11.183201,12.313894,10.703569,12.181624,11.923557,11.620809,9.885262,7.6367526,6.9527545,4.3349743,4.1046314,4.0249224,4.1046314,4.510787,4.1046314,1.8,0.8049845,2.4149535,3.6,5.0911684,5.3517847,6.763786,8.473393,13.722565,17.76081,18.58451,22.553934,21.273533,20.945072,22.862123,20.61766,18.919704,18.25026,18.448023,17.654686,16.965895,15.815435,15.39184,14.973576,17.727943,16.75064,19.06301,17.873556,17.163355,15.226764,15.158522,15.84409,18.014393,18.733839,18.751125,18.089775,16.65754,13.324863,9.178235,6.696387,6.439876,7.2359104,7.9932976,8.557102,8.311245,7.42159,5.6233797,4.0249224,4.829907,5.692099,5.904439,5.6233797,5.0911684,3.8939953,3.7585104,5.0528407,7.208994,8.759178,8.557102,8.435069,9.504272,11.681987,14.77755,15.986593,15.30741,13.513193,11.681987,9.511088,6.9247384,4.829907,4.198285,4.8433046,4.8433046,3.8939953,2.968636,1.9386592,1.835647,3.096837,4.6102495,5.634891,7.072878,8.669949,10.440001,11.901798,13.397612,14.973576,16.167967
