forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:52:02+00:00,2025-11-05 00:00:00+00:00,1008.0505,1008.1022,1008.7669,1008.94257,1010.6057,1011.4781,1011.4746,1010.864,1011.1463,1011.14307,1010.6804,1010.56836,1010.5766,1011.4715,1012.47534,1013.502,1014.3462,1014.60333,1013.4346,1013.1811,1012.5109,1012.4118,1012.387,1011.66675,1010.93365,1011.089,1012.04626,1012.12274,1012.00586,1012.28375,1012.76105,1012.74805,1011.74426,1011.53937,1011.333,1011.1463,1011.0767,1011.0685,1011.0767,1011.19037,1011.2614,1011.215,1010.8596,1009.7886,1008.8242,1007.7434,1007.33936,1007.2201,1007.00165,1006.8539,1007.22815,1007.3142,1007.20715,1007.09705,1006.78845,1006.2835,1005.7818,1005.577,1005.17596,1004.7781,1004.5752,1004.47266,1004.4711,1004.719,1005.0954,1004.9515,1004.7874,1004.4216,1003.752,1003.0583,1002.63324,1002.11487,1001.8937,1001.9273,1002.5993,1002.7849,1002.7739,1003.1639,1003.0585,1002.85876,1002.66064,1002.65717,1002.2561,1002.05164,1002.04535,1002.3379,1002.6335,1003.36993,1003.846,1003.9046,1003.54944,1003.075,1002.7716,1002.36176,1002.65753,1003.0404,1003.1059,1003.7236,1004.1973,1004.5811,1005.0671,1005.4556,1005.5467,1005.24316,1005.141,1005.2384,1005.235,1005.12964,1005.51965,1006.0071,1006.49945,1007.03467,1007.415,1007.686,1007.6508,1007.17474,1006.47784,1006.0694,1006.0542,1006.2285,1006.5943,1007.1488,1007.79596,1008.2553,1008.4377,1008.5321,1008.6312,1008.7318,1008.7366,1008.7397,1008.54,1008.2379,1008.13885,1008.337,1008.6375,1008.8594,1009.0224,1009.0047,1008.8673,1008.2951,1007.6041,1006.999,1006.68085,1006.5485,1006.6094,1006.8624,1007.3081,1007.6671,1007.75037,1007.8448,1007.7425,1007.5348,1007.32874,1007.02515,1006.7264,1006.5282,1006.43225,1006.63196,1006.93396,1007.247,1007.4781,1007.6212,1007.46155,1006.9055,1006.0467,1005.36523,1005.1411,1005.0938
2025-11-06 00:52:44+00:00,2025-11-06 00:00:00+00:00,1010.72284,1010.78534,1010.65106,1011.1256,1011.70544,1011.8855,1011.9669,1010.9482,1010.6297,1010.32733,1010.52075,1010.61975,1010.62146,1010.51575,1010.504,1010.52716,1011.1319,1011.6162,1011.0674,1010.3168,1009.4325,1008.92456,1008.41516,1007.8963,1007.5693,1007.63367,1008.0157,1007.3924,1007.0825,1007.17664,1007.2677,1006.9642,1006.1858,1005.87427,1005.7426,1005.12244,1004.60425,1004.4108,1005.0088,1005.1078,1005.27313,1005.4474,1005.2176,1004.1152,1003.22626,1002.4228,1002.1223,1001.81116,1001.7819,1002.11487,1002.6827,1002.9689,1003.15607,1003.4436,1003.33655,1003.033,1002.8301,1002.7295,1002.52625,1002.2259,1002.3218,1002.5152,1002.8078,1003.7439,1004.4125,1004.46857,1004.4125,1004.2371,1003.7385,1003.43054,1003.42737,1003.51135,1003.57837,1004.0083,1004.4836,1004.76825,1005.3533,1005.6443,1005.7386,1005.63324,1005.52747,1005.5212,1005.4126,1005.40955,1005.7115,1006.10785,1006.60486,1007.24396,1007.7326,1007.817,1007.77106,1007.1717,1006.38947,1005.91473,1005.8939,1006.2648,1006.6233,1007.0187,1007.6763,1007.7694,1007.87915,1008.0774,1007.9613,1007.65295,1007.65295,1007.66235,1007.37585,1007.28156,1007.48285,1007.6795,1008.0758,1008.3101,1008.39496,1008.4949,1008.3559,1007.9713,1007.4593,1007.0423,1006.83075,1006.7137,1006.7859,1007.13403,1007.76807,1008.2158,1008.48486,1008.5665,1008.5574,1008.4567,1008.36237,1008.1658,1007.95807,1007.8463,1007.84,1008.1373,1008.5384,1008.957,1009.30585,1009.5705,1009.4195,1008.6419,1007.5484,1006.7435,1006.4279,1006.3014,1006.373,1006.8422,1007.5078,1007.8824,1007.7678,1007.45953,1007.2518,1007.1432,1007.1354,1007.1274,1007.11444,1007.1003,1007.19305,1007.49335,1008.0015,1008.31964,1008.5574,1008.70483,1008.6416,1008.1584,1007.5622,1007.0635,1006.8653,1006.8638
2025-11-07 00:51:53+00:00,2025-11-07 00:00:00+00:00,1007.2594,1007.01697,1007.4773,1006.5597,1007.53595,1007.5214,1007.2194,1006.6135,1006.6069,1006.48987,1005.2782,1004.4774,1004.17175,1005.1577,1005.14954,1004.7681,1004.5718,1004.4738,1004.96857,1004.5983,1003.50494,1003.1875,1003.06555,1002.9368,1003.09436,1003.35077,1003.6241,1003.4051,1003.28046,1003.46075,1003.94324,1003.9385,1003.1588,1003.2481,1003.33905,1003.1326,1003.12134,1003.3097,1004.3086,1004.8188,1005.34326,1005.79596,1006.1647,1004.0434,1003.5462,1003.0432,1002.93964,1003.0174,1003.38135,1003.917,1004.59216,1004.7808,1005.1677,1005.4587,1005.3533,1005.347,1005.3391,1005.6298,1005.52594,1005.42365,1005.8184,1006.4162,1006.814,1007.45154,1007.9479,1008.026,1007.88226,1007.61334,1007.01544,1006.59375,1006.70013,1006.8743,1007.3155,1007.7186,1008.58545,1008.87335,1009.06354,1009.364,1009.38776,1009.31024,1009.1092,1009.0981,1008.7961,1008.5919,1008.49286,1008.5902,1008.78845,1009.21906,1009.61615,1009.6104,1009.1871,1008.40137,1007.5748,1007.0673,1006.983,1006.6531,1006.8955,1007.0121,1007.38104,1008.0407,1008.1087,1008.51306,1008.32715,1008.02356,1007.89343,1007.7001,1007.2831,1006.9687,1007.06146,1007.2644,1007.57117,1007.9137,1008.1099,1008.25903,1008.08636,1007.5996,1006.8955,1006.38354,1006.0709,1005.9507,1006.0255,1006.28937,1006.74634,1007.0139,1007.1007,1006.9969,1006.89453,1006.7892,1006.6838,1006.5818,1006.4827,1006.2859,1006.3865,1006.7769,1007.36505,1007.8744,1008.12585,1008.39496,1008.34766,1007.9693,1007.4721,1007.0681,1006.9553,1007.13403,1007.3048,1007.76196,1008.31323,1008.6735,1008.754,1008.74603,1008.73816,1008.6312,1008.62646,1008.521,1008.4124,1008.401,1008.4953,1008.9924,1009.5948,1010.11755,1010.37714,1010.5552,1010.4121,1009.83124,1009.0291,1008.4208,1008.209,1008.2898
2025-11-08 00:47:39+00:00,2025-11-08 00:00:00+00:00,1001.8235,1001.88324,1002.3485,1002.1363,1003.41644,1003.79675,1004.0779,1002.8713,1002.46014,1002.26385,1001.96014,1002.25415,1002.6505,1003.7435,1004.34106,1005.13715,1006.1456,1006.67645,1005.97125,1005.8926,1005.38605,1005.4805,1005.4726,1005.17377,1005.24756,1005.5193,1006.3969,1006.5774,1006.8407,1007.2194,1007.2194,1007.2112,1007.00165,1007.10736,1007.22095,1007.1234,1007.12665,1007.4254,1007.81866,1007.523,1007.7407,1008.388,1008.6261,1007.9873,1007.4766,1006.8835,1006.88196,1007.0349,1007.19196,1007.6132,1008.3889,1008.96924,1009.3501,1009.34375,1009.14087,1008.9442,1008.8546,1008.75555,1008.5558,1008.4487,1008.3544,1008.4567,1008.7523,1008.9851,1009.3799,1009.36285,1009.2197,1008.9449,1008.42395,1007.6265,1007.1338,1007.0937,1007.4482,1007.7712,1008.5317,1008.8923,1008.76794,1008.45984,1008.25854,1008.381,1008.4959,1008.18915,1008.08057,1007.8744,1007.6577,1007.4548,1007.35394,1007.6873,1007.97095,1008.038,1007.96765,1007.3835,1006.5801,1005.97186,1005.876,1005.5798,1005.6307,1006.1205,1006.6838,1006.6838,1006.9751,1007.17487,1006.86957,1006.36,1006.5471,1006.6352,1006.33,1006.5282,1006.3378,1006.7279,1007.2119,1007.6339,1007.8114,1007.8687,1007.80664,1007.53796,1007.1568,1006.861,1006.7451,1006.71643,1006.88086,1007.2403,1007.6953,1008.0619,1008.25055,1008.35284,1008.3513,1008.337,1008.31805,1008.206,1008.1022,1008.00464,1008.00616,1008.2028,1008.5992,1008.8118,1008.9553,1009.013,1008.8597,1008.4879,1007.9057,1007.4114,1007.1005,1006.9752,1006.94604,1007.2077,1007.66235,1007.92804,1008.0128,1008.0094,1008.00464,1007.99677,1007.9888,1007.88184,1007.5764,1007.17377,1006.97235,1007.169,1007.4678,1007.78754,1008.0461,1008.3224,1008.3797,1008.0031,1007.4102,1006.9055,1006.59106,1006.36694
2025-11-09 00:54:19+00:00,2025-11-09 00:00:00+00:00,1004.46436,1004.2296,1005.11194,1004.7077,1006.2801,1006.8714,1007.1639,1006.1715,1005.97015,1006.06274,1006.2561,1006.5502,1006.64575,1007.0389,1007.32983,1007.71954,1008.9297,1009.30383,1008.8793,1008.7961,1008.1889,1008.0913,1008.00806,1008.08057,1008.4342,1008.9987,1009.76404,1009.86163,1010.24817,1010.54224,1010.5279,1010.3297,1009.7352,1009.5403,1009.5305,1009.2103,1009.1943,1009.5045,1009.9837,1010.0745,1010.43835,1010.67737,1010.71515,1008.67084,1008.0274,1007.733,1007.0748,1006.4208,1006.75714,1007.56854,1008.4354,1009.20514,1009.6724,1009.5435,1009.4349,1009.037,1008.64386,1008.35284,1007.8621,1007.77094,1007.94543,1007.733,1007.7251,1008.1595,1008.63525,1008.60236,1008.80975,1008.1998,1007.8506,1007.1324,1007.0667,1006.79846,1006.6655,1006.805,1007.5867,1007.7551,1007.74725,1007.8463,1007.45306,1007.16223,1007.0567,1006.9261,1007.2119,1006.9261,1007.41486,1007.40704,1007.9008,1008.716,1009.0778,1009.3229,1008.9603,1008.28345,1007.29565,1007.2056,1006.8916,1007.0715,1006.7555,1007.39,1008.0413,1008.21735,1008.5048,1008.8901,1008.49054,1008.3821,1008.26996,1007.96643,1007.5732,1007.7568,1008.0509,1008.0478,1007.9423,1007.9794,1008.23315,1008.57605,1008.6166,1008.1398,1007.4507,1006.8515,1006.63617,1006.61,1006.4871,1006.17596,1005.6679,1005.4587,1005.54364,1005.7272,1005.9128,1006.0008,1006.09015,1006.17816,1006.16046,1006.14087,1006.2254,1006.4188,1006.7177,1006.9237,1007.2421,1007.5701,1007.59247,1007.1098,1006.32336,1005.7289,1005.4221,1005.2081,1005.0946,1005.18414,1005.4716,1005.6635,1005.7559,1005.84875,1005.8472,1005.8535,1005.7657,1005.6729,1005.6714,1005.6666,1005.7626,1005.9573,1006.352,1006.6524,1007.05853,1007.4693,1007.58466,1007.10504,1006.23096,1005.5499,1005.2605,1005.26215
2025-11-10 00:55:16+00:00,2025-11-10 00:00:00+00:00,1007.49365,1007.0311,1008.89795,1009.87427,1011.1608,1011.057,1011.05066,1009.7625,1009.8423,1010.125,1009.3276,1009.2363,1009.33545,1010.5229,1010.81854,1011.20184,1011.7442,1011.8506,1011.1927,1010.79913,1010.0597,1009.97894,1009.5718,1009.0608,1009.013,1009.54004,1010.19885,1010.2738,1010.6558,1010.54224,1010.72253,1010.50665,1009.8928,1010.172,1010.2857,1009.9936,1010.0112,1009.8928,1009.766,1009.3842,1009.2912,1009.7034,1009.8827,1007.5532,1006.87744,1006.51105,1006.0725,1006.0303,1005.7954,1006.2339,1006.9921,1007.2799,1007.373,1007.1701,1006.97345,1006.56445,1006.58026,1006.5692,1006.5692,1006.8539,1006.94025,1006.8365,1007.43414,1007.55536,1008.19556,1008.13214,1008.26355,1007.8949,1006.92346,1006.7833,1006.8594,1006.847,1006.5247,1006.5894,1007.071,1007.6308,1007.90875,1007.9951,1008.28296,1008.17755,1008.16766,1007.7619,1007.5555,1007.4501,1007.44183,1007.53467,1007.92786,1008.4586,1008.1278,1007.78485,1007.92,1007.5452,1006.16406,1005.365,1005.3494,1004.9159,1004.5952,1004.77765,1005.259,1005.7386,1005.9223,1006.0071,1006.00555,1005.7976,1005.3823,1005.3644,1005.3612,1004.8564,1004.65826,1004.5607,1004.5573,1004.5592,1004.78436,1005.1106,1005.2192,1004.8323,1004.24255,1003.74713,1003.6418,1003.72815,1003.8143,1003.8017,1003.88794,1003.88007,1003.78253,1003.6913,1003.5954,1003.4916,1003.3862,1003.3812,1003.4819,1003.78253,1004.083,1004.48083,1004.9778,1005.4795,1006.0886,1006.7039,1006.9229,1006.35364,1005.38794,1004.7098,1004.5085,1004.4946,1004.6755,1004.9507,1005.42053,1005.6969,1005.88403,1005.9749,1005.96857,1005.8617,1005.7544,1005.64905,1005.54333,1005.43756,1005.337,1005.4328,1005.53345,1005.5515,1005.60297,1005.572,1005.3262,1004.6574,1003.7749,1003.08124,1002.67224,1002.5502
2025-11-11 00:52:09+00:00,2025-11-11 00:00:00+00:00,1007.39764,1007.63043,1009.1057,1009.3773,1011.3333,1011.32697,1011.7344,1009.63934,1009.1132,1009.08545,1008.5884,1008.39026,1008.28143,1008.87585,1009.1664,1009.5694,1009.42975,1009.46313,1010.6554,1010.3785,1008.83624,1008.46924,1008.4073,1008.3431,1008.3272,1008.50806,1008.6935,1008.28577,1008.18353,1008.4729,1008.7638,1008.6533,1008.43896,1008.3399,1008.2247,1007.9047,1007.6091,1007.8025,1008.1854,1008.3254,1008.5688,1009.1057,1009.44727,1007.88416,1007.1049,1006.3109,1005.8245,1005.8588,1006.21674,1006.5723,1007.35565,1007.4405,1007.5521,1007.9439,1007.64343,1007.14166,1006.9292,1007.20245,1006.9949,1006.99164,1006.6799,1006.9693,1007.45953,1007.98724,1008.444,1008.49286,1008.3363,1007.8595,1007.17053,1006.2787,1005.7645,1005.653,1005.6234,1005.5768,1006.0643,1006.05164,1006.1555,1005.93677,1004.95386,1004.56213,1004.169,1003.47217,1003.2375,1003.02673,1003.2297,1003.4372,1004.0317,1004.3353,1004.6216,1004.9172,1005.1264,1004.85626,1004.1658,1003.25665,1002.95447,1002.9277,1003.0075,1003.09375,1003.391,1003.5876,1003.7775,1003.67053,1003.0582,1002.7577,1002.5565,1002.34546,1002.2299,1001.72327,1001.71515,1002.1014,1002.69104,1003.2043,1003.64124,1003.97723,1004.11005,1003.7392,1003.06323,1002.57574,1002.4703,1002.5549,1002.83484,1003.3143,1003.9885,1004.56854,1004.8564,1004.9488,1005.03973,1005.12897,1005.1177,1005.1078,1005.1,1004.99426,1005.0899,1005.3839,1005.8809,1006.29193,1006.52936,1006.68146,1006.6257,1006.154,1005.4745,1004.88464,1004.68024,1004.56683,1004.6487,1004.8276,1005.2031,1005.4814,1005.6666,1005.7544,1005.74615,1005.7382,1005.73157,1005.62787,1005.329,1004.8317,1004.63354,1004.926,1005.41675,1005.81775,1006.03705,1006.1652,1006.09015,1005.6077,1004.92194,1004.33057,1004.0333,1003.92957
2025-11-12 00:52:59+00:00,2025-11-12 00:00:00+00:00,1006.8835,1007.2839,1007.86224,1008.2601,1008.45514,1008.25543,1008.4374,1007.7179,1007.7179,1007.4027,1006.8814,1006.57904,1007.1786,1008.2782,1008.7783,1008.8726,1009.33545,1009.69543,1008.93286,1008.7473,1007.5804,1007.3898,1007.4544,1007.1556,1007.2341,1007.59534,1008.5799,1008.87866,1008.9683,1009.0417,1009.21857,1008.8176,1008.2215,1007.92426,1007.7242,1007.6236,1007.63025,1008.33527,1009.3177,1009.81976,1010.04205,1009.6986,1009.0509,1007.9832,1007.10205,1006.39606,1005.98285,1005.8636,1006.03564,1006.18396,1006.5534,1006.7531,1006.93396,1007.0236,1006.9213,1006.31537,1006.12354,1006.5282,1006.1319,1005.82947,1005.2369,1004.933,1005.44763,1005.25574,1005.58936,1005.5969,1005.8866,1005.60156,1004.89856,1004.2996,1004.0083,1003.8133,1003.2677,1003.16235,1004.24756,1003.5473,1003.939,1003.6354,1003.1447,1002.05164,1001.3423,1001.16144,1000.65027,1000.63904,1000.53357,1000.1244,999.22485,998.92914,999.1464,998.8348,999.7601,999.89557,1000.09686,1000.28064,1000.6789,1000.97424,1001.259,1001.6235,1002.30414,1002.59015,1003.17206,1003.6656,1003.87024,1003.8672,1003.6576,1003.55035,1003.7371,1003.6639,1003.7485,1003.95636,1004.2745,1004.48395,1004.79254,1005.1106,1005.11536,1004.71594,1004.0141,1003.4149,1003.1243,1003.033,1003.03455,1003.21674,1003.49005,1003.6675,1003.85425,1003.94666,1003.94,1003.7325,1003.42706,1003.22064,1003.01605,1002.9122,1002.9103,1003.0094,1003.21094,1003.32446,1003.4595,1003.60516,1003.44196,1002.96106,1002.17303,1001.4794,1000.8818,1000.2791,999.9709,999.9536,1000.2317,1000.4123,1000.40247,1000.1978,1000.09406,999.9883,999.98206,999.8798,999.68787,999.40045,999.20233,998.88715,998.5642,998.54297,998.933,999.62463,999.92017,999.61835,999.01733,998.62103,998.5317,998.5464
2025-11-13 00:51:46+00:00,2025-11-13 00:00:00+00:00,1007.06433,1006.045,1007.2293,1007.1224,1008.2028,1008.29364,1008.3786,1007.1816,1006.985,1006.7738,1006.8424,1006.6265,1006.53064,1007.11523,1007.2973,1007.7112,1008.5814,1009.14374,1008.37463,1008.0094,1007.7215,1007.7092,1007.68427,1007.3774,1007.04846,1007.1287,1007.7169,1007.80963,1007.80334,1007.3013,1006.79156,1006.58044,1005.4682,1005.5559,1005.86285,1005.58026,1005.1839,1005.0832,1004.87683,1004.9759,1005.1741,1005.77673,1005.807,1006.5077,1005.10455,1004.298,1004.18475,1004.08246,1004.7651,1004.8405,1004.84204,1004.7446,1004.3513,1003.75684,1002.66064,1001.9619,1001.37054,1001.369,1000.97107,1000.471,999.488,999.0853,997.29083,997.6696,1000.4185,1002.60144,1003.0154,1002.9767,1002.11487,1001.4085,1001.3142,1001.3064,1001.58636,1001.8518,1002.2259,1002.51685,1002.9195,1002.9292,1002.8234,1002.51685,1002.1189,1001.8072,1001.6905,1001.19507,1001.3917,1001.4697,1001.46155,1002.1746,1002.7103,1003.0393,1003.4611,1003.1749,1002.3806,1001.99054,1002.0016,1001.9953,1001.9765,1002.2435,1002.6238,1003.2152,1003.69794,1003.9885,1003.7857,1003.7775,1003.3765,1003.1896,1002.9003,1002.6031,1002.507,1002.60144,1002.7917,1002.9931,1003.20416,1003.407,1003.3988,1002.91003,1002.12683,1001.438,1001.0435,1000.84344,1000.7381,1000.8245,1001.10583,1001.3868,1001.56885,1001.8482,1001.9343,1001.82715,1001.6258,1001.5252,1001.6258,1001.728,1001.92773,1002.21674,1002.5027,1002.8989,1003.41724,1004.0458,1004.2697,1003.8832,1003.0922,1002.4977,1002.2995,1002.39545,1002.587,1002.9688,1003.34406,1003.8218,1004.20483,1004.58826,1004.87537,1004.96625,1005.05865,1005.05237,1004.9467,1004.84094,1004.8358,1005.02747,1005.4171,1005.7259,1006.0642,1006.4188,1006.4655,1005.8026,1004.7348,1003.95197,1003.64484,1003.5252
2025-11-14 00:52:08+00:00,2025-11-14 00:00:00+00:00,1006.7429,1005.7024,1006.17096,1005.7462,1006.41925,1006.897,1007.4244,1006.94,1006.9416,1006.93207,1006.13934,1005.7272,1005.22394,1004.86224,1005.6235,1006.12354,1006.7718,1006.98584,1006.7876,1006.3247,1005.7273,1006.0305,1005.81537,1004.9961,1004.6878,1004.87494,1005.751,1005.8342,1005.6281,1005.0273,1004.8291,1004.3416,1003.2438,1002.95447,1002.35364,1001.76373,1001.4791,1001.4807,1001.77167,1001.4602,1002.5803,1004.02783,1005.2327,1000.5779,1000.24426,1000.46,1000.5684,1000.4773,1000.6437,1001.20966,1001.9991,1002.4831,1003.06946,1003.1525,1002.9493,1002.865,1002.347,1002.5482,1002.43945,1002.2268,1002.02686,1002.02875,1002.035,1002.54364,1003.1799,1003.517,1003.84143,1003.8654,1003.2882,1002.79584,1002.4955,1002.1888,1002.2624,1002.73425,1003.02826,1003.5237,1004.1053,1003.9968,1003.7089,1003.7089,1003.2997,1003.1928,1002.4831,1002.08374,1001.783,1001.5641,1001.5673,1001.7767,1001.8041,1001.90784,1002.20197,1001.81036,1001.35175,1001.03687,1000.94257,1001.0337,1001.1218,1001.58496,1002.1648,1002.4637,1002.8568,1002.8521,1002.6376,1002.5338,1002.4313,1002.4328,1002.2234,1002.02875,1002.0236,1002.1079,1002.303,1002.5125,1002.75464,1002.8713,1002.7949,1002.4049,1001.7081,1001.20966,1000.9124,1000.8133,1000.8101,1001.00165,1001.192,1001.37885,1001.36096,1001.3399,1001.22284,1001.0116,1000.8021,1000.69336,1000.68164,1000.6716,1000.7625,1000.9506,1001.3402,1001.74976,1002.3954,1003.05975,1003.4149,1003.1542,1002.58356,1002.09753,1001.989,1001.9651,1002.13806,1002.61127,1003.1814,1003.7551,1004.13666,1004.42413,1004.7115,1004.9018,1005.19086,1005.2833,1005.2782,1005.27356,1005.3726,1005.6729,1006.07587,1006.487,1007.10895,1007.8366,1008.0607,1007.375,1006.2835,1005.3886,1005.08984,1005.0851
