forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:52:14+00:00,2025-11-05 00:00:00+00:00,24.85,22.15,20.0,18.6,18.1,16.8,15.8,14.75,13.45,13.0,13.0,13.3,12.55,12.35,12.3,13.15,16.2,17.9,19.1,20.7,21.85,23.05,23.8,23.45,22.3,21.4,19.75,19.05,17.3,15.9,16.1,16.25,16.05,16.1,16.05,15.9,15.25,14.6,13.45,12.95,13.6,13.65,14.75,19.337,20.587,21.286999,21.786999,22.286999,21.937,18.987,17.786999,16.887,16.036999,15.487,15.087001,14.587001,13.987,13.237,12.837001,12.437,11.987,11.537001,11.437,11.987,14.137,16.437,18.036999,19.337,20.437,21.286999,21.786999,21.786999,21.387,18.137,17.137,16.687,16.237,15.737,15.237,14.837001,14.387,13.937,13.437,13.137,12.987,12.587001,12.237,12.737,15.387,17.887,19.487,20.987,22.137,23.187,23.887,24.087,23.286999,20.036999,18.637,17.987,17.487,17.137,16.887,16.637,16.286999,15.887,15.637,15.137,14.937,14.687,14.587001,15.187,18.337,21.036999,23.637,25.637,27.237,28.137,28.237,27.687,26.637,24.837,22.536999,20.786999,20.036999,19.837,19.637,19.387,19.187,18.887,18.487,17.987,17.587,16.937,16.387,16.687,18.637,21.437,23.937,25.786999,27.237,28.087,28.087,27.437,26.387,24.737,22.687,21.036999,20.087,19.587,19.237,19.187,19.337,19.286999,18.837,18.237,17.737,17.237,16.837,17.237,19.036999,21.687,23.987,25.687,27.036999,27.837,28.036999,27.687
2025-11-06 00:53:01+00:00,2025-11-06 00:00:00+00:00,22.4,20.85,19.0,19.1,18.95,18.75,17.55,17.05,15.95,15.05,14.5,13.75,13.35,13.05,13.75,14.2,15.0,16.65,17.5,18.9,20.25,21.2,21.5,21.25,21.15,19.45,18.05,18.4,17.45,16.1,15.15,14.3,13.5,12.7,12.0,11.15,10.6,10.15,9.85,10.0,12.05,14.45,16.55,19.837,20.837,21.536999,21.937,22.036999,21.536999,18.237,16.837,16.437,16.036999,15.687,15.437,14.937,14.487,14.037001,13.637,13.237,12.937,12.737,12.187,12.687,15.337001,17.587,19.536999,21.187,22.387,23.286999,24.087,24.286999,23.237,19.887,18.536999,17.786999,17.437,17.036999,16.536999,16.337,16.087,15.837001,15.437,14.987,14.737,14.487,14.187,14.737,17.786999,20.637,23.087,24.837,26.187,27.487,28.137,28.137,26.286999,22.536999,21.187,20.437,19.887,19.687,19.387,19.087,18.786999,18.536999,17.987,17.437,16.737,16.137,15.737,16.137,18.286999,20.637,23.087,24.837,26.286999,27.137,27.237,26.786999,25.837,24.187,22.036999,20.387,19.687,19.487,19.237,18.837,18.437,18.036999,17.687,17.286999,17.036999,16.637,16.337,16.737,18.487,20.987,23.036999,24.286999,25.087,25.487,25.387,24.887,24.087,22.887,21.387,20.337,20.087,20.187,20.237,19.987,19.687,19.337,18.987,18.687,18.487,18.437,18.536999,19.036999,20.237,21.837,23.387,24.837,26.137,26.887,26.837,26.187
2025-11-07 00:52:10+00:00,2025-11-07 00:00:00+00:00,20.75,19.35,18.2,17.65,17.4,16.2,15.85,15.2,15.6,15.65,15.05,14.05,13.0,12.15,11.5,11.15,12.9,15.4,16.45,18.3,19.65,20.55,21.1,21.2,20.8,19.0,17.5,16.4,15.6,14.9,14.4,13.9,13.45,13.55,13.7,12.85,11.5,10.9,10.85,11.25,13.65,16.4,18.55,21.437,22.786999,23.637,24.337,24.637,23.587,20.137,18.536999,17.737,17.237,16.637,16.286999,16.187,16.036999,15.687,15.387,14.887,14.537001,14.287001,13.937,14.537001,17.837,20.786999,23.286999,25.187,26.587,27.937,28.536999,28.337,26.587,22.687,21.187,20.237,19.637,19.087,18.687,18.286999,17.837,17.637,17.437,16.887,16.187,15.787001,14.887,15.237,18.087,20.887,23.337,25.137,26.536999,27.536999,28.187,28.237,26.587,22.487,21.036999,20.387,20.087,19.536999,19.187,19.237,19.087,18.337,17.937,17.637,17.237,16.536999,16.187,16.637,19.487,22.187,24.187,25.487,26.187,26.487,26.387,25.887,25.137,23.937,22.437,21.286999,20.786999,20.587,20.286999,19.687,18.937,18.437,18.286999,18.337,18.337,17.987,17.587,17.987,19.837,22.487,24.737,26.237,27.387,27.837,27.387,26.286999,24.987,23.587,21.987,20.637,19.687,18.987,18.437,18.036999,17.786999,17.737,17.887,18.187,18.437,18.487,18.536999,18.987,20.137,21.637,22.987,24.137,25.087,25.587,25.337,24.637
2025-11-08 00:47:52+00:00,2025-11-08 00:00:00+00:00,21.15,19.65,18.2,17.15,16.45,15.85,15.15,14.75,14.45,13.9,13.45,13.4,12.6,12.0,11.95,12.2,14.85,17.4,19.05,20.75,22.1,23.25,23.9,24.15,23.65,21.15,19.0,17.65,17.05,16.5,16.4,15.95,15.15,14.8,14.3,13.65,12.95,12.0,11.3,11.5,14.25,17.5,20.35,25.036999,26.387,27.587,28.036999,27.887,26.187,22.587,21.337,20.737,20.036999,19.437,19.137,18.887,18.487,18.087,17.536999,16.987,16.487,15.887,15.437,15.687,18.337,20.987,23.337,25.187,26.637,27.487,28.087,28.087,26.387,22.987,21.837,21.286999,20.387,20.087,19.937,19.587,19.087,18.786999,18.536999,17.687,17.237,16.987,16.887,17.036999,19.837,22.036999,23.887,25.337,26.687,27.487,27.937,27.937,26.187,22.937,21.587,20.937,20.437,19.887,19.786999,19.387,19.187,18.737,18.387,18.036999,17.687,17.237,17.036999,17.387,20.637,23.286999,24.887,26.536999,27.687,28.286999,28.286999,27.687,26.587,24.737,22.387,20.437,19.187,18.337,17.687,17.237,16.937,16.587,15.987,15.387,14.937,14.637,14.537001,15.237,17.437,20.437,22.987,24.687,25.937,26.637,26.687,26.187,25.286999,23.786999,21.837,20.286999,19.487,19.036999,18.737,18.587,18.536999,18.337,17.737,17.036999,16.487,16.137,15.987,16.587,18.587,21.337,23.637,25.087,26.036999,26.536999,26.536999,26.087
2025-11-09 00:54:31+00:00,2025-11-09 00:00:00+00:00,23.75,21.35,19.6,18.15,17.15,16.25,15.95,15.65,15.4,15.05,14.4,14.2,13.35,12.1,11.45,12.1,14.8,17.7,20.85,23.4,25.3,26.7,27.55,27.7,26.85,23.65,21.6,20.7,20.25,19.3,18.85,17.35,16.0,15.95,15.8,15.05,14.3,13.55,12.1,12.35,15.95,19.95,22.85,24.887,26.437,27.637,28.337,28.337,25.987,22.587,21.737,21.286999,20.536999,19.737,19.536999,19.337,18.887,18.337,17.937,17.237,17.337,17.737,17.036999,17.137,19.887,21.587,23.487,25.036999,25.837,26.487,26.637,26.737,25.036999,22.137,21.437,20.437,19.837,20.286999,20.487,20.237,19.687,19.137,18.937,18.487,17.687,18.187,18.036999,18.337,20.286999,22.487,24.286999,25.536999,26.286999,26.887,26.487,26.387,24.786999,20.987,19.286999,18.437,17.087,16.087,15.987,15.937,16.887,16.487,16.036999,15.637,15.737,15.137,15.937,16.737,17.837,18.137,15.837001,15.787001,15.837001,15.637,14.987,14.087001,13.387,13.187,13.137,12.887,12.137,11.187,10.437,10.087001,9.987,9.887,9.787001,9.687,9.537001,9.037001,8.437,8.387,9.387,10.937,12.337001,13.387,14.237,14.787001,14.987,14.937,14.587001,13.787001,12.737,11.937,11.637,11.637,11.687,11.887,12.137,12.087001,11.487,10.587001,9.887,9.487,9.337001,9.737,11.137,13.187,14.837001,15.837001,16.536999,16.887,16.987,16.737
2025-11-10 00:55:33+00:00,2025-11-10 00:00:00+00:00,26.5,23.35,21.35,20.15,19.45,17.35,16.65,16.45,16.7,16.0,14.25,13.05,13.25,12.8,12.1,12.05,15.25,19.4,21.8,24.35,26.45,27.85,28.5,28.45,27.25,24.0,21.75,20.85,20.15,18.45,17.55,17.8,18.05,17.95,16.6,16.15,15.05,14.3,14.3,12.95,15.7,19.75,23.2,25.137,26.337,26.187,26.187,26.637,24.937,22.387,21.087,21.036999,19.737,19.487,19.887,19.737,19.786999,19.786999,19.536999,19.237,19.237,18.737,17.837,17.337,20.237,22.137,24.036999,25.737,26.987,27.437,27.487,27.237,25.437,21.937,20.737,18.087,16.687,18.437,18.286999,18.187,17.587,15.787001,15.137,14.687,14.487,15.087001,15.837001,16.387,17.937,18.937,15.537001,21.036999,15.437,14.737,14.937,15.437,13.537001,12.637,12.387,11.837001,12.037001,11.337001,11.337001,10.987,10.687,10.887,10.137,8.937,8.137,7.637,7.287,7.387,8.987,10.437,11.487,12.637,13.687,14.337001,14.437,14.187,13.837001,13.487,13.087001,12.737,12.587001,12.487,12.187,11.437,10.537001,9.787001,9.437,9.337001,9.237,8.987,8.737,9.037001,10.337001,12.137,13.737,14.837001,15.637,16.187,16.437,16.337,15.887,14.837001,13.387,12.287001,11.937,11.937,11.887,11.537001,11.087001,10.737,10.487,10.287001,10.087001,9.587001,9.037001,9.237,10.837001,13.187,15.137,16.337,17.137,17.536999,17.437,16.987
2025-11-11 00:52:21+00:00,2025-11-11 00:00:00+00:00,27.25,23.95,21.45,19.7,19.45,18.65,18.0,17.7,17.45,17.0,16.3,15.75,15.55,14.2,13.85,14.8,16.7,20.4,21.0,23.8,26.15,27.35,27.5,27.5,26.4,23.6,22.1,21.55,19.65,19.35,19.2,17.45,17.7,18.05,18.15,16.35,16.55,16.9,16.6,16.75,18.2,20.7,21.55,25.887,26.987,27.637,28.087,27.837,26.237,22.587,20.987,19.737,18.087,17.137,16.536999,16.137,16.036999,15.587001,15.587001,16.387,16.937,16.536999,16.887,15.787001,17.887,18.587,19.786999,20.187,20.137,20.137,19.487,19.137,20.387,18.937,18.987,16.887,14.237,13.687,13.337001,12.837001,12.787001,13.187,12.837001,13.587001,13.337001,13.237,13.037001,12.687,13.187,12.937,14.437,14.987,12.487,10.587001,10.737,10.687,10.687,10.337001,9.637,9.587001,10.137,10.587001,10.837001,9.637,10.037001,10.087001,10.037001,10.087001,10.137,10.087001,9.937,8.937,10.137,11.387,12.587001,13.437,14.137,14.537001,14.637,14.537001,14.087001,13.187,11.987,11.087001,10.687,10.537001,10.387,10.087001,9.787001,9.487,9.237,8.987,8.837001,8.537001,8.287001,8.637,10.037001,12.037001,13.787001,15.037001,16.036999,16.687,16.887,16.687,16.187,15.287001,14.037001,13.037001,12.437,11.987,11.637,11.287001,11.037001,10.787001,10.587001,10.387,10.287001,10.037001,9.787001,10.187,11.937,14.337001,15.487,14.087001,11.487,9.787001,10.087001,11.287001
2025-11-12 00:53:12+00:00,2025-11-12 00:00:00+00:00,25.05,21.95,20.65,19.1,18.65,18.3,18.05,17.65,16.75,16.85,16.95,17.45,17.75,17.35,15.5,14.55,16.9,19.75,21.7,23.05,24.45,24.45,23.55,23.35,22.2,20.75,18.55,17.2,16.35,16.5,15.35,14.9,14.65,14.25,13.3,13.1,13.7,14.25,13.65,13.7,16.9,20.1,22.1,25.437,26.387,26.437,26.887,26.487,24.786999,22.987,22.536999,18.887,17.687,16.536999,17.687,18.387,18.437,16.587,16.536999,15.237,15.537001,14.887,15.087001,15.337001,15.437,14.787001,14.337001,14.137,15.487,15.487,14.937,15.387,15.287001,14.987,13.887,13.637,14.237,13.487,13.337001,13.787001,13.887,13.237,13.187,12.937,12.687,12.087001,11.737,11.487,11.587001,11.837001,12.237,12.187,12.337001,12.187,11.937,11.987,11.787001,11.587001,11.537001,11.637,11.887,11.987,12.137,12.237,12.137,12.137,12.287001,12.337001,12.387,12.487,12.287001,12.237,12.637,13.587001,14.187,15.187,16.237,16.887,16.837,16.437,15.937,15.537001,15.087001,14.637,14.237,13.837001,13.537001,13.287001,13.137,13.087001,13.287001,13.637,13.737,13.387,12.787001,12.387,12.087001,11.937,12.487,14.387,16.937,18.587,18.536999,17.587,16.487,15.337001,14.037001,13.087001,12.737,12.687,12.637,12.437,12.237,12.037001,11.937,11.837001,11.687,11.337001,10.937,10.987,11.987,13.437,14.587001,15.137,15.437,15.537001,15.587001,15.437
2025-11-13 00:51:58+00:00,2025-11-13 00:00:00+00:00,25.65,22.55,20.5,18.95,18.4,18.05,17.7,17.0,16.2,15.85,15.6,14.6,14.1,13.7,13.35,13.45,16.25,20.3,21.75,24.35,26.1,27.5,28.05,27.95,26.45,23.65,22.05,20.25,19.9,20.1,19.65,18.05,16.45,15.55,15.3,15.05,14.1,13.4,13.35,13.4,13.5,13.65,13.85,16.087,15.687,15.637,15.637,15.537001,15.587001,14.737,14.537001,14.437,14.237,14.337001,14.437,14.537001,14.187,13.887,13.887,13.887,13.837001,13.787001,13.637,13.537001,14.087001,14.437,13.987,13.987,13.437,13.237,13.137,13.537001,13.337001,13.137,13.037001,13.587001,13.737,13.437,13.137,12.837001,12.937,12.887,12.637,12.737,12.837001,12.187,11.587001,12.137,12.837001,12.987,13.237,14.387,14.387,14.137,14.337001,14.637,14.037001,13.637,13.637,12.437,12.287001,12.087001,11.987,12.787001,12.787001,12.937,12.037001,11.237,11.237,11.087001,11.537001,12.187,12.287001,11.487,11.787001,12.987,14.637,15.637,15.337001,14.387,13.437,12.587001,11.737,11.087001,10.787001,10.687,10.537001,10.287001,9.987,9.737,9.637,9.587001,9.487,9.087001,8.587001,8.587001,9.487,10.887,12.087001,12.887,13.537001,13.937,14.087001,14.087001,13.887,13.537001,13.087001,12.487,11.737,10.887,10.137,9.587001,9.087001,8.737,8.487,8.287001,8.137,7.837,7.537,7.787,9.037001,10.787001,12.337001,13.387,14.187,14.687,14.887,14.787001
2025-11-14 00:52:22+00:00,2025-11-14 00:00:00+00:00,26.7,23.65,21.9,21.0,20.1,19.55,19.35,19.2,18.05,16.75,16.05,16.25,16.25,16.25,15.8,15.55,15.5,15.75,16.3,17.35,16.4,16.2,16.3,16.2,16.05,15.65,15.25,14.95,14.65,14.25,14.25,14.1,13.9,13.9,13.85,13.5,13.2,13.15,13.2,13.4,13.7,14.0,14.6,15.237,14.687,14.487,13.887,13.337001,12.987,12.837001,12.937,12.987,13.187,13.237,13.087001,13.187,12.887,13.187,12.487,12.487,12.137,12.137,11.887,11.587001,11.737,11.987,12.037001,12.637,14.587001,15.137,15.437,15.037001,14.787001,13.787001,14.037001,12.687,12.987,13.537001,13.437,13.037001,13.137,12.737,12.237,11.787001,11.687,11.737,11.737,10.287001,11.087001,12.037001,11.987,11.687,11.437,12.037001,11.487,10.487,10.537001,9.137,8.987,9.287001,8.987,9.487,9.437,9.587001,9.587001,9.337001,9.137,8.787001,8.537001,8.587001,8.637,8.387,9.487,10.487,11.437,12.287001,12.987,13.437,13.487,13.237,12.737,11.787001,10.587001,9.637,9.137,8.887,8.587001,8.187,7.737,7.387,7.137,6.937,6.787,6.487,6.287,6.587,7.937,9.837001,11.437,12.387,12.987,13.337001,13.437,13.287001,12.887,12.087001,11.087001,10.287001,9.987,9.987,9.987,9.987,9.987,9.937,9.787001,9.587001,9.437,9.387,9.387,9.637,10.387,11.337001,12.137,12.587001,12.837001,12.837001,12.487,11.887
