forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:43:23+00:00,2025-11-05 00:00:00+00:00,23.4785,20.9785,18.6285,17.3285,16.2285,14.8785,14.0785,12.8785,11.8285,11.1285,10.5785,10.228499,10.0285,10.4285,11.8285,12.2785,12.978499,14.1785,15.1785,17.178501,17.778502,18.8285,19.178501,18.4785,17.3285,15.478499,14.228499,13.9285,13.4285,13.1285,13.0285,13.1285,13.0285,12.978499,11.978499,11.2785,10.9285,11.1285,11.3285,11.3785,14.8285,16.9785,19.278502,22.278502,24.9785,25.4785,25.6285,24.778502,23.4785,18.3565,16.6065,15.1565,14.2065,13.8065,13.6565,13.4065,13.0065,12.6565,12.356501,12.106501,11.9065,11.7565,11.7065,12.5065,15.9565,19.456501,22.2565,24.1565,25.5565,26.3065,25.9065,24.8565,23.8565,19.956501,17.6565,16.4065,15.7565,15.3065,14.9065,14.7065,14.7065,14.6565,14.6565,14.606501,14.5065,14.4065,14.2565,15.2065,18.8565,22.456501,24.7565,26.3565,27.5065,28.0565,28.0565,27.6565,26.6565,22.4065,20.2565,19.206501,18.706501,18.4065,18.206501,18.1065,17.8565,17.5565,17.206501,16.9065,16.8065,16.6565,16.456501,17.3065,20.8565,24.2565,26.3565,27.956501,28.8565,29.3065,29.4065,29.1065,28.0565,25.8065,22.9065,20.6065,19.5565,19.1565,18.8065,18.3565,18.0065,17.7565,17.6065,17.5065,17.5065,17.206501,16.956501,17.706501,20.3065,23.8565,26.7565,28.3065,29.1565,29.5065,29.456501,28.9065,27.706501,25.3565,22.3065,20.0565,19.3065,19.2565,19.206501,18.8065,18.3065,17.9065,17.6065,17.4065,17.2565,16.956501,16.706501,17.0565,18.456501,20.4065,22.1065,23.456501,24.5565,24.956501,24.3565,23.0565
2025-11-06 02:37:05+00:00,2025-11-06 00:00:00+00:00,18.678501,17.3285,15.2785,14.1285,13.2785,12.478499,11.978499,11.728499,11.5285,11.3285,10.8285,10.6285,10.728499,10.5285,10.5785,11.1785,15.0285,17.0785,19.0785,20.778502,22.8785,24.028502,24.8285,24.278502,22.528502,19.778502,18.028502,16.3285,15.7785,15.1785,14.728499,14.0285,13.6285,13.478499,13.0785,13.5285,14.1285,14.3785,15.0785,15.1285,17.9785,23.3785,25.6285,26.778502,27.928501,29.178501,29.278502,28.7285,27.0785,19.9065,17.706501,16.5065,15.856501,15.4565,15.106501,14.856501,14.7565,14.7065,14.606501,14.4565,14.356501,14.3065,14.2565,15.3065,19.0065,22.5065,24.956501,26.6065,27.8065,28.206501,28.4065,28.0565,26.8065,21.8065,20.4065,19.3565,18.8065,18.5065,18.206501,17.9065,17.6565,17.5565,17.3565,17.1565,16.956501,16.8065,16.6565,17.5065,21.1065,24.706501,26.956501,28.3065,29.1565,29.456501,29.456501,29.4065,28.0565,23.9065,21.9065,20.5065,19.7565,19.3565,19.0565,18.7565,18.5065,18.5065,18.456501,18.4065,18.1065,18.0065,17.8065,18.3565,21.6565,25.3065,27.206501,28.706501,29.5065,29.7565,29.6065,28.9065,27.6565,25.456501,22.706501,20.5565,19.6065,19.206501,18.956501,18.6565,18.456501,18.1565,17.5565,16.9065,16.5065,16.3565,16.456501,17.3065,19.456501,22.3565,24.6565,25.956501,26.6565,26.8565,26.456501,25.5565,24.1065,21.7565,18.9065,16.9065,16.5065,16.956501,17.206501,16.8565,16.3065,15.9065,15.7065,15.5565,15.606501,15.7065,15.9565,16.5565,17.8065,19.456501,20.8565,21.8565,22.5565,23.0065,23.206501,23.1565
2025-11-07 02:33:44+00:00,2025-11-07 00:00:00+00:00,24.0785,20.678501,18.8785,17.6285,16.2285,15.6785,15.0285,15.3285,15.228499,15.3785,15.978499,16.2785,16.5285,16.7285,16.7285,16.2285,18.3785,23.678501,25.8785,27.3285,27.928501,28.428501,28.678501,28.3785,27.028502,23.0785,21.3785,20.778502,20.0785,19.4785,18.2285,18.778502,19.3785,17.928501,17.8785,17.5785,17.678501,17.4785,17.028502,17.428501,20.278502,24.8285,26.0785,27.2285,28.028502,28.5785,28.778502,28.6285,27.928501,22.6065,20.4065,19.3565,18.9065,18.5565,18.3565,18.1565,17.8565,17.5565,17.3565,17.3065,17.206501,17.0065,16.9065,17.706501,21.2565,24.9065,27.1065,28.5065,29.2565,29.456501,29.5565,29.3565,28.0065,24.0065,21.9065,20.8065,20.3065,19.706501,19.1565,18.7565,18.456501,18.2565,18.1565,18.0565,17.956501,17.8565,17.6065,18.2565,21.8565,25.706501,27.8065,29.0565,29.9065,30.3565,30.6065,30.2565,28.4065,22.9065,21.3565,20.1565,20.206501,19.8565,19.5565,19.4065,19.0565,18.6065,18.1565,17.7565,17.206501,16.6565,16.5065,17.706501,22.0065,24.3565,26.1565,27.3065,27.6065,27.5065,27.0565,26.1065,24.706501,22.4065,19.6065,17.5565,16.8065,16.8065,17.0065,17.456501,18.1065,18.3065,17.5565,16.3065,15.5065,15.3065,15.4565,16.3065,18.1565,20.706501,22.8565,24.4065,25.6565,26.3065,26.3565,25.8065,24.6065,22.2565,19.3065,16.956501,15.9065,15.4565,15.2065,15.0065,14.9565,14.9065,14.6565,14.4065,14.3065,14.356501,14.6565,15.5065,17.456501,19.956501,22.0565,23.3065,24.1565,24.5565,24.6565,24.3065
2025-11-08 02:22:06+00:00,2025-11-08 00:00:00+00:00,26.8785,23.2285,20.9785,20.428501,19.5785,18.2285,17.9785,18.528502,18.4785,18.0785,17.7285,17.3285,17.178501,17.2285,17.6285,16.7285,21.278502,24.678501,26.2285,27.1285,27.928501,28.4785,28.778502,28.5785,27.778502,24.678501,23.028502,22.6285,21.8785,21.528502,21.0785,20.428501,20.028502,19.8285,19.8285,19.8285,19.778502,19.678501,19.7285,20.428501,22.8285,25.1285,26.278502,27.0785,28.0785,29.1285,29.8285,29.6285,28.6285,24.1565,22.1065,20.956501,20.456501,20.206501,19.9065,19.5065,19.0565,18.706501,18.456501,18.3565,18.206501,18.0065,17.8565,18.5565,21.956501,25.7565,27.9065,29.1065,29.956501,30.456501,30.6065,30.456501,27.7565,23.1065,21.3565,20.3565,19.956501,19.6065,19.2565,18.7565,18.3065,17.5565,17.2565,17.1065,16.3065,16.1565,16.2565,17.3565,21.7565,23.5565,25.206501,26.6065,27.5065,27.8565,27.6565,26.9065,25.706501,20.6565,18.6565,17.1565,16.8065,16.8565,16.2565,15.9065,15.3065,14.856501,14.5065,14.3065,14.4065,14.356501,14.6565,15.7565,18.956501,20.706501,22.706501,24.3065,25.456501,25.9065,25.5065,24.3565,22.8565,20.706501,18.206501,16.3065,15.606501,15.5065,15.5065,15.4065,15.356501,15.1565,14.6565,14.0065,13.606501,13.4565,13.5565,14.4065,16.6565,19.6565,22.1565,23.7565,24.8065,25.3565,25.3565,24.8065,23.5565,21.0565,17.8565,15.5565,15.0065,15.3065,15.5565,15.3065,15.0065,14.7065,14.4065,14.1565,14.0565,14.0065,14.106501,15.0065,17.3065,20.3565,22.956501,24.6565,25.8565,26.6065,26.9065,26.706501
2025-11-09 02:42:57+00:00,2025-11-09 00:00:00+00:00,28.028502,25.928501,24.1285,23.178501,22.4785,21.8285,21.4785,20.8285,20.4785,20.278502,19.8785,19.928501,19.8285,19.6285,19.3285,20.028502,22.8285,25.2285,26.4785,27.5785,28.5785,29.3285,29.9785,29.928501,28.928501,25.8785,24.7285,24.278502,24.0785,23.7285,23.178501,22.528502,21.8785,21.2285,20.6285,20.5785,20.8785,20.5785,20.8785,21.278502,23.8785,26.0785,27.5785,28.678501,29.178501,30.028502,30.278502,29.778502,28.6285,22.6565,21.3565,20.6065,19.9065,19.1065,18.956501,18.5065,18.4065,17.7565,17.6565,16.8065,16.3565,16.1565,17.3065,17.7565,21.5565,23.2565,24.6065,25.6565,26.206501,26.1065,26.0065,25.5565,24.2565,19.6065,17.6565,17.956501,17.4065,17.456501,17.456501,16.6065,16.8065,15.7065,15.5565,14.9565,14.7065,14.7065,15.7065,16.2565,18.2565,19.7565,20.8565,21.956501,22.206501,21.6565,21.956501,21.5565,20.8565,17.9065,15.9565,15.106501,14.356501,13.3065,13.4065,13.1565,13.7065,13.8065,12.8065,12.106501,11.9065,11.6565,11.106501,12.6565,15.2565,16.706501,17.7565,17.3565,16.0565,15.0065,14.5065,14.2565,14.0565,14.0565,14.1565,13.9065,12.9065,11.5565,10.4565,9.8065,9.4065,9.0565,8.7065,8.356501,8.2065,8.106501,8.1565,8.5565,9.4565,10.7065,11.856501,12.856501,13.7065,14.0565,13.5565,12.5065,11.5565,10.8065,10.106501,9.7065,9.856501,10.356501,10.7065,10.7565,10.7065,10.7565,11.0065,11.3065,11.4065,10.9565,10.356501,10.3065,11.356501,12.9565,14.5065,15.856501,17.1565,18.0565,18.5065,18.5065
2025-11-10 02:36:01+00:00,2025-11-10 00:00:00+00:00,29.1285,26.778502,25.4785,24.8785,24.178501,23.6285,23.1285,22.7285,22.3785,21.9785,21.3285,20.3785,19.678501,19.1285,19.028502,19.1285,23.6285,26.278502,27.8285,29.028502,29.8785,30.3785,30.528502,30.1285,28.928501,25.8285,24.428501,23.8785,23.1285,22.428501,21.928501,21.9785,21.6285,21.3285,21.178501,21.3285,21.5785,21.4785,21.428501,21.0785,22.678501,26.0785,27.8285,29.1285,29.6285,30.0785,29.778502,28.2285,25.778502,19.3565,17.956501,17.9065,17.1065,16.8065,16.6065,17.206501,16.0565,17.0065,16.1065,15.2065,15.2565,16.206501,15.7565,16.6565,18.6065,19.8065,20.0065,20.5565,21.7565,22.8065,23.0065,22.456501,21.2565,17.3565,15.4565,14.0065,13.0565,12.356501,11.9565,11.856501,11.8065,11.6565,11.5565,11.0065,10.8065,10.6565,10.606501,12.1565,15.2565,16.5065,17.4065,17.0065,15.9065,15.4565,15.0565,14.606501,14.0065,13.7065,13.7565,12.4565,11.0565,10.106501,9.5065,9.106501,9.6565,10.0065,8.9565,7.9564996,7.4065,7.1064997,6.8564997,7.5065,9.106501,10.4565,11.6565,12.6565,13.4065,13.856501,13.9065,13.6565,13.2565,12.7065,12.0065,11.4565,11.2065,11.106501,10.9065,10.4065,9.8065,9.356501,9.1565,9.0565,8.9565,8.5565,8.2065,8.5565,10.2565,12.7065,14.9565,16.706501,18.2565,19.206501,19.4065,18.956501,18.1065,16.5565,14.5065,12.9065,12.106501,11.7565,11.5065,11.356501,11.356501,11.3065,11.1565,10.9565,10.8065,10.5065,10.3065,10.856501,12.8065,15.5565,17.8565,19.3565,20.3565,20.706501,20.1565,19.0065
2025-11-11 02:24:17+00:00,2025-11-11 00:00:00+00:00,28.6285,25.4785,24.0785,23.3785,22.778502,22.178501,21.9785,22.0785,21.9785,22.1285,22.028502,21.278502,20.9785,20.7285,20.428501,20.7285,21.7285,25.778502,26.778502,28.428501,29.0785,28.7285,28.278502,26.928501,24.928501,22.2285,20.778502,19.8285,19.1285,18.0785,17.5785,17.178501,17.178501,16.6285,16.3285,15.9285,15.0285,15.1285,15.0285,14.6785,15.228499,16.8285,19.178501,19.678501,20.5785,20.6285,20.678501,20.4785,19.3785,17.9065,16.0565,15.0565,14.0565,13.7065,13.5065,13.2565,13.1565,12.856501,12.356501,11.9065,11.7565,11.5565,11.3065,12.7065,15.5565,17.206501,18.5565,18.0565,19.3065,19.706501,19.706501,18.9065,17.8565,15.3065,15.3065,14.6565,15.2065,15.1565,15.106501,14.9065,14.606501,14.2565,14.2065,12.7565,11.856501,12.0065,12.106501,12.2065,11.9565,12.4565,12.6565,9.5065,11.8065,12.606501,12.7065,11.9065,11.3065,10.5565,9.7565,9.3065,9.2065,9.9065,10.356501,10.356501,9.856501,8.9065,8.5565,8.0065,7.8065,7.6565,7.4564996,7.7565,9.7065,11.4065,12.7065,14.1565,15.4065,16.1565,16.2565,15.8065,14.9565,13.356501,11.3065,9.8065,9.3065,9.2565,9.3065,9.2565,9.2065,9.106501,8.856501,8.5565,8.4065,8.3065,8.356501,8.9565,10.5565,12.7065,14.5065,15.606501,16.4065,16.8065,16.9065,16.6565,16.0065,14.7065,13.0565,11.7565,11.1565,10.9565,10.7065,10.2565,9.8065,9.6565,10.0065,10.606501,11.106501,11.2565,11.3065,11.4565,11.856501,12.356501,12.856501,13.4565,14.0565,14.106501,13.1565,11.606501
2025-11-12 02:27:21+00:00,2025-11-12 00:00:00+00:00,25.9785,24.778502,22.7285,20.778502,20.6285,19.3785,18.0785,17.6285,17.3285,16.678501,16.678501,16.3785,16.4785,16.2285,16.0785,15.7785,17.3285,20.2285,22.1285,23.2285,22.9785,22.528502,22.028502,21.028502,19.5785,18.0785,17.0785,16.3285,15.728499,14.978499,14.4285,14.1285,13.6285,13.0285,12.6785,12.5785,12.3785,12.0785,11.6785,11.6785,14.6785,16.428501,18.0785,19.528502,20.5785,20.778502,20.7285,18.528502,17.6285,17.3065,16.0065,15.5065,14.7065,14.2065,13.7065,13.9565,15.4065,15.3065,14.0565,14.8065,14.2065,13.606501,13.3065,13.5565,13.5565,13.1565,13.3065,13.606501,13.606501,13.6565,14.3065,15.2565,15.0565,14.7565,14.606501,14.1565,13.9565,14.0565,13.7565,13.856501,13.6565,13.6565,14.0565,14.2565,13.356501,13.356501,13.0065,12.606501,12.7065,12.7565,12.6565,11.6565,10.0565,10.6565,11.606501,12.0065,11.8065,11.3065,11.106501,11.0065,11.0065,10.7565,10.5065,10.4065,10.2065,10.0065,10.0065,10.106501,10.356501,10.606501,10.856501,10.5065,11.3065,11.9565,12.4065,12.9565,13.4065,13.7065,13.7565,13.5565,13.2565,12.7065,12.0565,11.5565,11.4065,11.4065,11.5065,11.7565,12.106501,12.3065,12.106501,11.7565,11.5065,11.5065,11.6565,11.9565,12.4065,12.9565,13.5065,14.0565,14.5565,14.7565,14.356501,13.6565,13.0565,12.7065,12.4065,12.2065,12.0565,11.9565,11.8065,11.5565,11.2565,10.856501,10.2065,9.4565,8.9565,8.7065,8.606501,9.0565,10.4065,12.2065,13.4565,13.7565,13.5065,13.0565,12.4065,11.5565
2025-11-13 02:45:00+00:00,2025-11-13 00:00:00+00:00,21.278502,21.3285,18.8285,17.8785,17.2285,16.928501,16.5285,16.0285,15.228499,14.3785,14.0285,13.9285,13.978499,13.8785,13.8285,13.8785,16.7285,18.7285,20.178501,21.528502,21.7285,21.9785,21.8285,21.2285,19.678501,17.028502,15.8785,15.1285,14.728499,14.6285,13.8285,13.8285,13.478499,13.0285,12.8285,13.0785,13.4285,13.228499,12.5285,13.478499,13.6285,14.0785,14.5285,14.978499,14.478499,14.8785,15.478499,15.1785,15.1285,13.856501,14.356501,14.6565,14.7065,14.9065,15.106501,14.4565,14.2565,14.1565,14.356501,14.7065,14.6565,14.1565,13.856501,13.5565,12.9565,12.9065,12.5565,12.4565,13.0565,13.9565,14.4065,14.7565,14.0565,12.5065,11.856501,11.356501,11.1565,10.7565,11.356501,10.4565,10.1565,9.9065,9.856501,9.6565,9.606501,9.2065,9.0565,9.4565,11.1565,12.356501,13.356501,14.356501,15.1565,15.7565,15.606501,15.0565,14.106501,12.5565,11.5065,10.9565,10.8065,10.856501,11.1565,11.9065,11.9565,11.5065,11.0565,10.856501,11.0065,11.5065,11.4065,11.2565,11.1565,11.1565,11.106501,12.106501,13.5065,14.3065,14.0065,13.106501,12.1565,11.2565,10.3065,9.5565,9.0065,8.6565,8.5065,8.8065,9.3065,9.606501,9.356501,8.856501,8.5565,8.5065,8.606501,8.9565,9.7065,10.7065,11.606501,12.3065,12.9065,13.3065,13.5065,13.5065,13.1565,12.3065,11.1565,10.1565,9.606501,9.2065,8.8065,8.356501,7.8564997,7.5065,7.3065,7.2064996,7.1565,6.9065,6.7064996,7.1064997,8.606501,10.7065,12.5565,13.9565,15.1565,15.856501,16.0065,15.7565
2025-11-14 02:28:32+00:00,2025-11-14 00:00:00+00:00,20.028502,19.1285,17.528502,16.5785,16.178501,15.478499,15.1785,14.5785,14.4285,14.478499,14.728499,15.0285,15.6285,15.0285,14.478499,13.8785,13.8785,14.3785,14.6785,15.3785,14.5785,14.478499,14.4285,14.478499,14.4285,14.4285,14.0785,13.728499,14.0785,13.6785,13.228499,13.0785,13.1285,13.6785,13.9285,14.3785,14.3285,14.4285,14.2785,14.2785,14.5285,14.978499,15.228499,14.728499,12.478499,11.6785,12.0285,11.8285,10.9285,12.356501,11.7565,11.8065,11.9565,12.0565,11.7565,11.6565,11.1565,10.606501,10.4065,9.9565,9.9065,10.1565,10.1565,10.7065,11.0065,11.106501,11.356501,11.606501,11.6565,11.7565,11.6565,11.606501,11.5565,11.606501,11.5565,11.5565,11.5565,11.7565,11.7065,11.606501,11.4565,12.0065,10.856501,11.4065,11.356501,11.106501,11.0565,10.7565,10.9065,12.4065,12.9065,12.8065,13.2065,13.5565,13.106501,12.606501,11.606501,9.7565,8.9565,8.4065,7.9065,7.4065,7.0565,6.7565,6.5065,6.2064996,5.9564996,5.7565,5.4564996,5.2565,5.0565,5.7064996,7.6064997,8.7565,9.9565,11.0065,11.856501,12.356501,12.5065,12.3065,11.8065,10.856501,9.5565,8.5565,8.0565,7.7565,7.5065,7.1565,6.7565,6.4564996,6.2064996,6.0065,5.8564997,5.5065,5.1565,5.5565,7.2565,9.6565,11.7065,13.0565,14.0565,14.7065,15.0565,15.0565,14.4565,12.8065,10.5065,8.856501,8.356501,8.5065,8.7065,8.9565,9.3065,9.5065,9.4565,9.356501,9.2565,9.2565,9.3065,9.606501,10.4565,11.5065,12.3065,12.5565,12.5065,12.3065,11.856501,11.2565
