forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:43:32+00:00,2025-11-05 00:00:00+00:00,12.816127,11.806464,10.693161,8.474387,8.078484,10.2031,9.347024,8.868374,9.092991,10.624604,10.025676,9.797846,10.378374,9.935149,9.984397,10.082892,10.885061,10.763474,10.616987,11.633304,10.251777,10.230627,10.0556,9.927725,9.780798,9.690382,9.36896,9.444808,9.543037,9.444808,9.346579,9.199232,8.878483,8.703273,8.068825,7.7013364,6.8406854,7.126034,7.083116,6.9407554,9.74475,10.370095,11.060898,11.046568,11.771906,11.428771,11.3874235,11.505772,11.110762,9.294909,9.149267,9.241306,9.282261,9.745147,10.115887,10.449687,10.300973,10.040076,10.053114,10.003541,9.891552,9.728435,9.545343,9.4531975,9.843236,9.915264,10.207406,10.1067915,10.140695,10.011225,9.881779,9.946406,10.501013,9.674174,9.327912,8.764199,7.021601,4.348064,1.3702701,-0.3732918,-0.9828432,-1.0283104,-0.9828432,-0.6294812,-0.14481376,0.6264362,1.3309479,1.9612541,4.5958714,5.2597113,6.108134,7.1052566,7.3692994,7.861703,8.22206,8.834325,10.11073,8.654593,8.621134,8.38479,8.479257,8.380067,8.285237,7.9915137,7.241971,6.7278423,5.8780794,5.294887,4.7907076,4.837409,4.625827,4.625827,6.037099,7.1045513,7.736249,8.191678,8.703872,9.023482,9.825907,10.609448,10.934653,10.513249,9.843945,9.131554,8.522309,7.673594,7.0914364,6.748256,6.448408,6.191482,5.9304686,5.4419923,5.1677356,4.704058,4.190253,4.178133,5.122201,6.2445564,7.426072,7.9369392,8.58236,8.98763,10.1189995,11.006906,10.96458,10.028022,8.618192,7.157785,6.366138,5.786556,5.185675,5.094233,4.9570637,4.7741604,4.4997826,4.225376,3.7362955,3.4242213,2.8717575,3.1886437,4.4252706,6.222102,7.3940797,7.657254,7.1935964,6.91129,7.777109,8.826336
2025-11-06 02:37:19+00:00,2025-11-06 00:00:00+00:00,10.991703,9.846751,8.849152,9.935149,9.688908,9.272698,9.616976,9.36896,9.0746765,9.36896,9.095111,8.737989,7.9515057,7.279626,6.2144794,5.5387616,7.085987,10.3875265,10.8145,10.991703,11.658734,12.200399,12.342294,12.096767,11.855706,11.854013,11.591135,10.797297,8.222759,8.289492,7.616516,8.233535,9.761331,9.682845,9.87875,10.350645,10.181387,9.712285,8.640308,8.591467,9.957512,10.740255,11.1797285,11.705028,11.921101,11.639466,12.076944,12.359872,11.774838,10.55911,9.649928,8.162228,5.7147136,3.1912873,0.7784098,-1.4782993,-2.1704748,-2.549441,-2.4144826,-2.3245122,-1.6627147,-1.2061912,-0.6294812,0.10595036,3.225893,4.0556617,5.185675,6.153434,6.581236,7.3692994,7.5958686,8.817141,10.112682,8.38479,8.054143,7.9564776,7.8150387,7.9124284,7.953313,7.668791,6.9645476,6.3532224,5.4659047,5.0709057,4.7907076,4.8107586,4.4860134,4.5326185,6.3782115,7.1572633,7.8282957,8.247222,8.841513,9.296855,9.748032,10.632963,11.128521,9.991895,9.756729,9.37658,8.852148,8.03065,7.1968055,6.408927,5.9058094,5.630529,5.7666717,5.627527,5.5722537,5.3862987,5.4792767,5.3862987,7.141483,8.405858,8.679454,9.160445,9.66107,10.301543,11.2711315,12.11364,12.074344,11.076269,9.720678,8.119301,6.9259877,5.4430494,4.557444,4.1925216,3.7819216,3.767971,3.4934895,3.310489,3.2189827,2.8692496,2.9605308,3.0601058,3.970297,5.153062,6.2898183,6.762039,6.788366,7.2810955,8.320749,9.549271,9.830926,9.138081,8.077608,7.0444694,6.120937,4.9317183,4.2883945,3.7755065,3.7802887,3.5954993,3.5031028,3.5031028,3.5493026,3.3607051,3.2586293,3.3798044,4.1594315,5.122201,5.992992,6.06222,5.9641085,6.1454687,7.2563286,8.338271
2025-11-07 02:33:56+00:00,2025-11-07 00:00:00+00:00,11.5866785,10.953785,11.330692,11.682478,10.824831,8.771964,8.627226,9.067464,9.013188,9.360937,9.061431,9.39913,9.986641,9.044224,10.349864,9.780798,12.482221,13.601131,12.145103,12.311121,13.600347,13.782441,13.747226,13.684378,13.373459,12.29888,11.092364,8.973827,6.8576493,5.659981,4.9990807,4.1847944,3.2428339,1.9467158,0.3048122,-0.20084718,0.0692162,-2.1980894,-1.1686839,-0.9005864,1.7547839,4.028634,9.996645,11.4593525,11.401405,12.743679,12.825214,14.029031,15.571186,7.6383724,7.2650366,7.0949144,7.171697,7.279297,7.1489234,6.903566,5.864684,5.117282,4.3284864,3.959847,3.5345118,3.3505948,3.2224255,3.1302345,5.3967013,5.8806453,6.825449,7.687743,7.73475,8.046197,8.534828,9.651665,10.623648,9.138081,8.833398,8.445179,7.942288,7.528648,7.3432217,6.8796096,6.2783256,5.434137,4.709624,4.5720873,4.6377745,4.4998894,4.178133,4.2241015,6.0789075,7.413173,7.566135,7.908052,8.25057,8.830668,9.027171,10.252815,10.996629,9.559656,9.04439,8.198301,7.0185,6.2170544,5.6027822,5.094233,4.7741604,4.3168483,3.9051998,3.599412,3.3712578,3.2343574,3.051809,3.0061715,4.8471575,5.315226,5.743496,6.3847632,6.420014,7.0571404,8.048946,9.024652,9.376088,9.110475,8.145055,7.2982845,6.395877,5.0918274,4.195651,3.6878955,3.1302345,2.8997455,2.669239,2.4848216,2.3003922,2.0237255,1.7470335,2.0698395,2.8293467,4.1012807,5.057113,5.5631366,5.757753,6.1162815,7.188029,8.488597,8.804791,8.21847,7.392773,6.491125,5.880694,5.4072948,4.919734,4.638345,4.601426,4.507432,4.38953,4.4860134,4.64237,4.5958714,4.837409,4.951155,5.435559,6.301737,6.871988,7.154926,7.390693,7.7219186,7.988374,8.1816845
2025-11-08 02:22:16+00:00,2025-11-08 00:00:00+00:00,11.107996,11.203333,10.282525,8.944095,7.83632,6.994472,5.7556157,4.385781,3.377478,2.7766578,1.6181563,1.2136763,1.5603825,1.3045299,1.3953822,1.2110513,2.6215541,4.48236,9.768861,12.704625,12.0099745,12.854824,13.020238,14.41522,15.698198,13.868231,11.298947,9.422745,6.658297,5.028576,4.210134,3.746713,3.5656834,2.9022462,2.8463397,3.0677776,3.0677776,2.0082228,1.4948983,1.4948983,2.500509,4.9656506,12.353347,10.621575,13.935564,15.554953,15.74468,15.460084,16.583382,9.254121,8.664841,8.445179,7.8958335,7.296021,6.3551965,5.7406135,5.0973425,4.66378,4.225376,3.9051998,3.6764796,3.4934895,3.5849862,3.5081537,5.5805464,7.1052566,6.9160995,7.3706713,7.759599,8.001708,8.3576,10.617385,10.353273,8.991385,8.384926,7.9650087,6.833245,5.8025956,4.8013144,4.434541,4.1594315,3.599412,3.6307347,3.44774,2.9605308,3.0359619,2.5953853,2.6698818,4.1469026,5.0810404,5.8025723,6.0877523,6.3233657,6.811481,6.7227426,7.4154596,9.197009,7.6856213,7.478335,6.495187,5.5257673,4.190253,3.0359619,2.5497406,2.1845374,2.0475745,1.8192859,1.891803,1.9575692,1.7740027,1.6822139,1.5904222,3.104588,3.832144,4.1436567,4.57315,5.035949,5.731474,6.7803063,8.082744,8.406806,8.154217,7.437844,6.7751837,6.2543955,5.8334336,5.4570174,5.2683196,4.8422823,4.7010174,4.5597463,4.22544,4.1314354,4.08881,4.0415707,4.3246984,5.0135245,5.627527,6.0789075,6.5046043,6.780717,7.1700997,8.03902,8.949023,9.515796,9.968857,10.285056,10.584665,10.709495,10.510959,10.570481,10.678046,10.678046,10.833874,10.988288,11.03817,11.241202,11.391024,11.540848,11.690665,11.690665,11.640725,11.790547,11.979717,12.309833,12.531616,12.596064,12.723839
2025-11-09 02:43:06+00:00,2025-11-09 00:00:00+00:00,9.539518,9.519854,7.165925,7.2582116,5.9098997,4.3038025,4.030814,3.2571898,3.1661606,3.3937285,3.3027034,3.120931,2.8866975,2.3636515,2.228981,1.823126,1.9123683,2.4338048,10.500999,11.37876,12.787126,14.583555,15.162491,15.841034,17.258652,13.685238,8.826668,8.467352,8.192852,7.133724,6.0316772,5.1040096,4.6516623,3.4400175,2.398645,2.7153745,2.295477,2.3585203,1.8224338,1.7781008,2.3543277,5.094343,8.855221,10.554322,11.073666,11.867717,12.233198,12.652168,14.583555,9.511994,9.040687,8.312374,7.0483437,6.0007153,5.051389,4.66378,4.251137,4.0218644,3.599412,3.4625232,3.2343574,3.2343574,3.2189827,3.288068,5.111698,5.465304,6.06222,6.372151,6.295524,6.4646792,6.653966,7.304371,8.910665,7.4849935,7.384248,6.822527,6.1134505,5.4824495,4.9043584,4.5767484,4.4038367,4.1693163,4.178438,3.9904296,4.0755024,4.0417123,4.015064,4.0901136,5.0713596,5.3977766,5.464943,5.9045386,6.3245907,6.4511952,7.1059966,6.735368,6.509648,5.7666717,5.3028345,6.683391,6.9775114,6.159699,6.2588935,6.3532753,6.0047436,6.5895467,8.521552,9.7232895,8.199045,7.675216,8.393222,9.397398,9.842043,9.891552,9.771153,9.5489645,9.3079405,8.9305935,8.491185,7.86855,7.118904,6.4256954,5.612891,4.845585,4.2544174,3.7124982,3.2198267,3.0345757,2.995037,2.7480521,2.4022682,1.8998859,1.6431823,1.7295913,2.05942,2.4353163,3.0913374,3.958827,4.563828,4.6817517,4.400739,4.2477584,4.5475264,4.9769344,5.2671566,5.4353647,5.5968003,5.699913,5.699913,5.6464424,5.5417027,5.5417027,5.4353647,5.4353647,5.4848833,5.640863,5.6904416,5.6904416,5.4848833,5.5839176,5.8315024,6.019752,6.2055664,6.274149,6.2133894,6.33581,6.482779,6.923512
2025-11-10 02:36:14+00:00,2025-11-10 00:00:00+00:00,13.371735,8.262291,6.713929,5.5455213,5.797702,6.077512,5.666958,5.349985,4.061367,3.1401856,2.4969587,1.1412251,1.1905578,0.095784664,0.5845124,-0.42762196,2.7689807,5.3207126,9.121787,11.001026,13.148065,12.318078,12.882467,13.808139,15.498117,13.35122,9.304958,7.337193,6.3288617,5.1680694,4.4254575,4.044393,4.0182343,3.5480065,3.206415,2.403129,1.6451019,1.806272,1.1636078,0.5666599,1.5120959,3.1513155,8.758482,8.924507,8.629409,10.225333,11.27001,11.718329,12.290845,8.431841,8.073539,7.6589513,6.6367974,5.4191117,4.8575583,4.3236604,4.0901136,3.9682543,3.7810032,3.7810032,3.7402518,3.794051,3.794051,3.9946163,5.3602147,5.293318,5.72308,6.0789075,6.4268837,6.3741493,7.0458045,7.249769,7.4983764,7.076361,6.7626557,7.2492332,7.674587,7.4872594,8.633931,9.0846615,9.356778,8.8927,9.623405,10.858397,10.222878,8.51895,7.223563,7.2926393,6.9937057,7.727457,7.9064093,7.0622716,5.183115,4.2319074,3.9184878,4.213591,5.0880966,4.0373125,4.201825,4.156089,3.4658089,2.6880789,2.0286324,1.7842743,1.1709366,0.7793824,0.68149203,0.8556622,1.585448,1.7591133,2.1495297,2.295932,2.6391423,3.9095612,4.8396716,5.0620008,5.1346574,5.058211,5.0857315,5.035926,5.190422,5.4353647,5.5508046,5.750733,5.750733,5.652198,5.6502094,5.5968003,5.4921236,5.5417027,5.591282,5.6904416,5.7400217,5.7400217,5.6904416,5.682951,5.871392,5.9943047,6.256001,6.455591,6.7126412,6.827955,7.2125697,7.626514,7.727457,7.365618,6.84761,6.277149,5.9208455,5.698353,5.419701,5.1737213,5.042635,5.0571084,5.3037434,5.584513,5.929335,6.092953,6.2175646,6.4256954,6.712085,6.9807734,7.3085513,7.720591,8.195585,8.554776,8.674857,8.495385
2025-11-11 02:24:26+00:00,2025-11-11 00:00:00+00:00,15.267144,12.933528,10.855821,7.9502783,6.3288617,5.07711,4.153981,4.349297,4.435656,4.207575,4.3444276,3.985313,3.7577972,3.3932753,3.2571077,2.9612305,2.8137255,4.0289755,11.066444,10.578698,9.303419,10.179697,12.363749,12.666838,13.076433,9.528276,8.27433,6.8428974,4.6222506,4.210134,3.985313,5.3551497,5.7400265,3.3713377,2.7564852,3.1425724,3.7031412,5.425412,6.672287,4.9928846,9.395694,10.30082,10.86907,10.276164,10.371821,10.4169655,10.36897,10.08214,9.50234,7.953313,7.8964972,7.5610723,7.477417,5.8324986,6.4623013,7.817951,9.0515175,10.551314,9.345615,8.763934,9.029968,8.90095,8.955073,10.110027,10.7546425,11.315926,11.24282,10.931217,10.634172,10.173434,8.34536,8.210926,7.6366587,7.598482,7.928466,7.7809014,7.1691284,6.825263,6.4322658,5.7970037,5.0571084,4.7238464,4.4274907,4.0212054,3.6485598,3.402552,3.15654,4.1800547,4.743241,4.6210885,5.0936317,5.701664,5.4562154,5.4084272,5.5232368,5.5998297,6.00036,5.091898,4.859798,4.1723123,3.1037433,1.9745209,0.9398447,0.50634676,0.06341728,-0.23350564,-0.90051025,-1.4223794,-2.0854936,-2.5441172,-3.2590904,-3.708721,-2.2773104,-1.6649626,-0.2648398,0.47113356,1.1851201,1.7723382,2.7414627,3.729422,4.130826,3.6229744,2.4081268,1.6737933,1.4478096,1.4984547,1.5448114,1.6724584,1.78475,1.8348817,1.8709512,1.8936878,1.9519018,1.8534983,1.5578812,1.7029924,2.3851364,3.2388055,3.7534437,3.88787,4.019931,4.130826,4.6235523,5.124457,5.3123403,5.169481,5.01165,5.037591,5.5453234,6.256001,6.682016,6.4406953,5.9383383,5.4848833,5.3433833,5.351992,5.3038535,5.253853,5.1542053,5.053774,5.1790333,5.2321777,5.021691,4.374238,3.4294066,2.5957203,2.6422489,3.0319126
2025-11-12 02:27:32+00:00,2025-11-12 00:00:00+00:00,8.419215,6.968924,5.7557755,5.4801054,4.349297,3.158316,3.4751618,4.9832044,3.560279,5.0461664,5.234592,5.89629,6.0853286,6.0853286,6.486721,5.8741126,8.054133,11.238528,12.193999,14.662276,12.896127,11.689551,10.291919,10.122277,10.080998,10.409622,8.771964,6.4631104,8.048243,9.210956,7.993111,8.226999,7.3280363,7.999992,7.1371503,7.536646,10.251777,11.1415415,11.212836,11.261945,11.409271,11.829282,10.61476,10.303958,11.060898,10.695831,10.624604,10.207148,9.8859,10.1371155,9.926213,9.77788,9.693516,9.580099,9.327912,8.715149,8.446266,8.544501,8.397147,7.921436,7.7919745,7.9910183,8.591953,8.737429,8.591169,8.7242365,8.135771,8.280178,8.526508,8.169467,7.7428107,7.9882884,7.9284353,7.09154,6.403579,5.771854,5.2536373,5.0283823,4.6697335,4.2059584,3.640126,2.9575133,2.2842395,1.9271923,1.6724584,1.7333096,1.7806444,2.1098409,3.8007252,4.977377,5.6312375,6.2783256,6.6344543,6.562567,7.2471943,8.31659,8.526489,7.549978,7.121571,6.7751837,6.7278423,7.080755,7.457285,7.6489196,7.588028,7.500791,7.227383,6.909891,6.613183,6.4256954,6.2853894,6.531769,6.8746905,7.2592945,7.424667,7.572628,7.819229,8.131638,8.505267,8.872983,9.23503,9.334552,9.121165,9.111229,9.148908,9.119296,9.150818,9.01055,8.937443,8.937443,9.150818,9.24793,9.377741,9.228647,9.0218935,8.764208,8.565912,8.575162,8.417189,8.164465,7.9523764,7.7600894,7.97203,8.490645,8.703313,8.575162,8.234669,7.9364686,7.9364686,8.184968,8.334065,8.383766,8.227698,8.070161,7.7999954,7.637791,7.111528,6.372667,5.222917,4.860163,5.477137,6.4787107,7.1577897,7.150711,6.871988,6.7013826,6.903566,7.156545
2025-11-13 02:45:09+00:00,2025-11-13 00:00:00+00:00,11.204053,11.18977,9.797846,8.825446,8.385988,8.9225445,8.973827,8.198206,7.765306,6.604596,8.751748,8.771964,9.555498,9.554521,9.942019,11.215545,11.005143,10.813099,10.473965,11.687925,11.396433,11.872346,13.292128,13.224767,12.24964,12.475316,11.011328,10.30133,10.172581,10.00545,9.371063,9.94253,10.019899,9.265725,8.575124,8.5841875,8.142731,9.659587,9.344443,10.0595,9.853915,10.302298,10.22953,10.735971,10.626606,11.110468,11.0164,11.731357,11.655738,8.541723,8.158683,7.489633,6.7761407,6.162063,5.7113786,5.204826,4.787969,4.4595537,3.8290398,3.2250073,2.6449149,2.6449149,2.6925602,2.9706829,4.284522,5.7368484,6.191482,6.694695,7.302246,7.504775,7.966364,8.826336,9.236282,8.10439,8.199749,8.319675,8.760876,8.657832,8.129699,7.8383713,7.6366587,7.7239165,8.118769,8.495385,8.756285,9.319713,9.427441,9.061653,9.061653,8.7242365,8.34424,8.113529,8.199045,7.977063,7.8252845,7.27234,7.636017,7.6112266,7.9341006,8.326976,8.475887,8.119738,8.542135,7.7999954,7.6635556,7.6635556,7.7231293,7.891498,7.894454,6.909891,7.1282125,7.234931,7.439467,7.4831257,7.582404,7.830596,7.921436,8.020585,7.97951,7.787368,7.6426916,7.5457015,7.496614,7.346967,7.247204,7.0474796,6.896265,6.589616,6.3266644,6.1186585,5.970299,5.7724853,5.5746703,5.4353647,5.2938027,5.187776,5.402396,5.869975,5.970476,5.519513,4.6173177,3.6613896,3.1723778,3.0903296,2.9112303,2.322865,1.5681992,0.5904717,-0.42486057,-1.6144807,-2.418474,-2.9186757,-3.013389,-3.326431,-3.5951455,-3.819891,-4.095052,-4.1495824,-4.479301,-4.1495824,-3.3446412,-2.4624646,-1.7727517,-1.1309469,-0.8887694,-0.16454509,0.67234635,1.7352206
2025-11-14 02:28:42+00:00,2025-11-14 00:00:00+00:00,10.035257,8.825853,10.221577,11.110762,10.4270735,9.748939,9.372894,8.296151,7.799982,7.955992,8.78683,9.641268,8.731674,8.444238,8.323558,8.483122,9.462308,9.444808,10.305509,9.797846,9.531887,9.019141,8.736944,9.882644,9.580654,9.075964,8.190632,7.4800735,6.3128657,5.6942787,4.9979687,4.5198107,3.357777,2.1963346,3.5886247,3.6992998,3.3977256,2.823272,2.8306823,3.065762,3.9159632,7.0569534,11.354235,12.070636,11.833256,12.810571,13.509527,13.84701,14.409725,8.846872,8.442552,7.9613485,7.526523,7.195983,7.581272,8.273697,8.233458,8.442901,8.442202,8.343932,8.687652,9.233977,9.706106,9.865704,9.468619,9.000379,8.246275,8.265509,8.59362,9.198419,8.839208,8.567887,8.076026,8.09669,7.720591,8.279788,8.674435,7.3414764,7.2592945,8.078787,7.489633,7.276705,7.0198765,6.4322658,6.339575,6.3761806,5.4848833,5.633434,5.9484253,6.050302,5.4478755,5.3982344,5.7993174,5.9442883,6.0975304,5.88876,5.9383383,5.99393,5.8946486,5.9442883,5.7896,5.6904416,5.6904416,5.640863,5.6904416,5.5839176,5.633434,5.5839176,5.591282,5.4921236,5.4478755,5.1531796,5.591282,5.633434,5.7896,5.7970037,5.6989226,5.5320625,5.5453234,5.5453234,5.337207,4.841096,4.140564,3.3799021,2.77641,2.354261,1.9259,1.6114179,1.5135343,1.4156505,1.1489166,1.051166,0.73419714,0.39253557,0.0020509092,0.074579515,0.7256225,1.5578089,2.0970192,2.3819964,2.7200577,3.1387095,3.7406342,4.158708,4.3585477,4.1679873,3.6667733,3.220461,2.926037,2.80801,2.4195948,1.8778462,1.1497023,0.6387788,0.26468098,-0.02246424,-0.169872,-0.40986782,-0.7458778,-0.7991418,-0.54832643,0.095055446,0.46358895,0.59437716,0.59041095,0.79295605,1.3727331,2.1769333
