forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:10:40+00:00,2025-11-05 00:00:00+00:00,18.4,17.25,14.8,13.8,13.2,12.0,12.0,9.65,7.95,6.55,5.45,4.4,3.6,2.8,2.55,5.35,7.4,9.25,11.5,13.05,14.55,15.4,15.8,14.8,11.9,10.6,9.75,9.15,8.8,8.85,8.85,8.95,9.15,9.3,7.55,8.2,9.35,9.25,9.0,11.6,14.35,15.5,17.55,18.0135,18.6135,19.213501,19.213501,17.0135,14.1135,13.4635,12.8635,11.9135,11.063499,10.6135,9.9135,9.763499,9.4135,9.1635,8.4635,7.7635,7.1135,6.0135,5.8135,7.7635,9.8635,11.763499,12.813499,13.313499,14.1135,14.763499,14.763499,13.313499,11.6635,10.563499,10.4135,10.3635,9.6635,9.1635,8.763499,7.5635,7.1635003,7.1135,7.1135,8.9135,2.6634998,2.6634998,1.8635,4.8135,8.313499,9.013499,10.1635,10.4135,10.7135,10.263499,9.2135,6.4635,4.3135,2.8635,1.9135,1.1135,0.46350002,-0.4865,-1.4365,-2.4365,-3.2865,-3.9365,-3.9365,-3.7865,-3.8365002,-3.9864998,-3.4864998,-1.5365,0.6635,2.4635,3.8635,5.2635,6.3635,6.8135,6.1135,4.7635,3.5635,2.9134998,2.4134998,2.1135,2.0635,2.1634998,2.2135,2.1634998,2.1135,2.0635,1.9634999,1.9135,2.2135,2.8635,3.8135,5.2635,7.6635003,10.563499,12.9635,14.6135,15.813499,16.1135,15.013499,13.013499,11.513499,11.063499,11.063499,10.9635,10.6135,10.1635,9.763499,9.4135,9.1135,8.8635,8.6135,8.3635,8.313499,8.263499,8.4635,9.4135,11.8635,15.1135,17.8635,19.9135,21.463501,21.813501,20.1135,17.213501
2025-11-06 00:54:49+00:00,2025-11-06 00:00:00+00:00,11.7,10.35,9.55,9.05,8.5,8.2,7.8,7.05,6.6,8.85,8.55,8.85,9.05,9.05,8.7,10.35,13.0,16.9,17.75,18.15,17.5,17.05,16.15,14.65,12.15,11.15,10.2,9.35,8.6,7.9,7.15,6.8,5.75,4.7,3.5,2.7,3.05,3.1,3.0,6.95,9.7,12.25,14.9,14.013499,15.2135,16.1635,15.8635,14.2135,12.4135,11.563499,11.3635,11.013499,10.6635,9.2135,8.4135,7.3135,7.0135,8.313499,8.763499,2.8135,3.0135002,3.0635,4.3135,5.5635,8.1135,8.513499,9.4635,10.013499,10.1135,9.9635,8.9635,7.3635,5.1635003,3.4635,2.2135,1.7635,1.1135,0.5135,-0.1865,-0.7865,-1.2365,-1.8365,-2.2865,-2.7364998,-3.0865002,-3.2865,-3.1865,-2.0365,-0.6365,0.6635,2.2135,3.1634998,3.9135003,4.4635,4.4635,4.0135,1.9634999,1.7635,1.2135,0.7135,0.2635,-0.0365,-0.0365,-0.1865,-0.2865,0.0635,0.1135,0.16350001,0.2135,0.46350002,0.9635,3.5635,6.9635,9.813499,12.263499,14.1135,15.4135,15.913499,15.1635,13.6635,12.4635,12.1635,12.2135,12.1135,11.6135,10.9135,10.313499,9.813499,9.3635,8.9135,8.3635,7.8135,7.6635003,8.013499,8.763499,10.1635,12.563499,15.563499,18.1135,20.213501,21.8635,22.2635,20.463501,17.3635,14.7135,13.1135,11.9635,11.2135,10.9135,11.013499,11.063499,10.9135,10.7135,10.3635,9.6635,8.8635,8.513499,8.763499,9.4635,10.6635,12.7135,15.2135,17.213501,18.3635,19.0135,18.9135,17.7635,15.8635
2025-11-07 00:53:55+00:00,2025-11-07 00:00:00+00:00,13.95,11.95,11.1,10.3,9.25,8.2,8.05,7.55,6.95,5.95,5.05,4.4,4.3,4.45,4.3,7.0,8.85,11.5,12.2,14.0,15.25,15.85,15.9,14.4,11.6,10.75,10.35,9.1,9.5,8.05,7.35,8.2,7.1,4.65,2.9,1.5,1.0,2.65,2.75,3.5,5.0,6.2,7.0,9.4135,9.6135,9.6635,9.313499,7.9135003,6.5635,4.1635003,3.0635,2.3635,1.6135,1.1635,0.91349995,0.46350002,0.0635,-0.2365,-0.3865,-0.8865,-1.5865,-1.6365,-1.7865,-0.1365,1.4135,2.7135,4.1135,5.1135,6.0135,6.8135,7.1635003,6.4135003,4.0135,2.5135002,1.5135,0.91349995,0.3135,-0.1865,-0.1865,0.2135,0.5635,0.5135,0.6635,0.8135,0.91349995,1.0635,1.5135,3.9135003,7.1135,10.013499,12.263499,14.263499,15.513499,16.313501,16.5135,14.4635,12.6635,12.3635,11.8635,11.9135,11.563499,10.763499,10.2135,9.4135,8.763499,8.4135,7.9635005,7.9135003,7.8635,8.4135,8.813499,11.013499,13.513499,15.063499,16.463501,18.3635,20.1135,20.713501,19.2635,16.6135,14.4635,13.4135,12.8635,12.313499,11.7135,11.1135,10.513499,9.8635,9.1135,8.313499,7.1135,5.8635,5.3135,5.8635,7.1135,8.6635,10.563499,12.763499,14.7135,16.463501,17.9135,18.463501,17.4135,15.4135,13.6135,12.4135,11.4135,10.6135,10.063499,9.763499,9.4635,9.2135,9.013499,8.813499,8.513499,8.1635,8.1135,8.313499,8.813499,9.9135,12.1135,14.9135,17.1635,18.463501,19.213501,19.2635,18.3635,16.7635
2025-11-08 00:49:27+00:00,2025-11-08 00:00:00+00:00,11.4,9.9,9.25,7.6,7.15,6.6,6.15,6.85,5.15,2.9,2.25,2.85,2.05,1.75,1.5,3.75,5.65,6.65,7.65,8.3,8.4,8.25,7.8,6.75,4.4,2.9,1.9,0.9,0.25,0.0,-0.35,-0.85,-0.6,-0.45,-1.65,-3.3,-4.2,-4.65,-4.95,-1.75,0.35,1.85,3.35,6.0635,6.8635,7.4635,7.5635,6.7135,4.2135,3.0635,2.3635,2.0635,1.6135,1.0135,0.5635,0.1135,0.013500005,0.2635,0.1135,-0.1365,-0.086500004,0.2135,0.91349995,3.4635,6.5135,9.1135,11.7135,13.7135,15.1135,16.1135,16.4135,14.313499,12.1635,12.313499,12.4635,11.9135,11.4635,10.763499,10.3635,9.563499,8.6635,8.2135,7.9135003,8.2135,9.313499,9.1135,9.013499,10.9135,13.513499,17.2635,18.0135,19.6135,20.063501,19.6635,18.9135,16.313501,12.813499,11.9135,10.6135,9.563499,9.2135,8.763499,8.7135,9.1635,8.1135,7.9635005,7.5635,6.6635003,5.2135,4.9135003,5.4635,8.1635,10.6635,12.513499,13.9635,15.3635,16.463501,16.713501,15.563499,13.6135,12.063499,11.513499,11.4135,11.1635,10.513499,9.763499,9.1635,8.8635,8.7135,8.563499,8.313499,8.1135,8.1135,8.3635,8.8635,9.9135,12.013499,14.7135,16.963501,18.6635,19.9135,20.1135,18.4135,15.6135,13.4635,12.763499,12.763499,12.6635,12.2135,11.7135,11.263499,10.8635,10.4635,10.1135,9.763499,9.4635,9.4635,9.6635,10.1635,11.3635,13.8635,17.063501,19.713501,21.5135,22.713501,22.8635,21.2635,18.6135
2025-11-09 00:56:00+00:00,2025-11-09 00:00:00+00:00,5.85,4.55,3.05,1.85,0.65,0.65,0.85,1.25,0.1,-0.7,-0.9,-1.45,-2.05,-3.95,-4.35,-0.65,1.6,3.2,3.9,5.35,6.25,6.55,6.3,5.25,2.35,0.75,-0.4,-1.05,-1.95,-3.85,-4.15,-4.65,-4.75,-5.05,-5.35,-5.0,-5.1,-4.45,-3.85,-0.15,3.25,6.25,9.35,13.9135,15.4635,16.3635,16.6135,14.313499,12.1635,12.013499,12.1635,12.513499,11.9635,11.1135,10.3635,9.263499,8.763499,8.4635,8.513499,9.313499,9.763499,9.9635,10.1135,11.813499,15.013499,18.5135,19.713501,20.2635,20.8635,21.1635,20.5135,17.6635,14.013499,12.513499,11.8635,11.063499,10.763499,10.1135,9.3635,9.3635,9.513499,9.4635,9.263499,9.2135,9.313499,9.013499,9.063499,10.8635,14.4635,16.963501,18.6635,19.6635,20.313501,20.313501,19.8635,16.713501,13.4135,13.9635,14.063499,13.063499,12.4135,11.9135,11.763499,11.2135,11.2135,11.063499,10.013499,9.813499,10.263499,9.6135,9.313499,11.2135,14.1635,16.5135,18.1635,19.7635,20.8635,21.0135,19.563501,17.1635,15.1135,13.763499,12.813499,12.313499,12.7135,13.563499,13.9635,13.2135,11.9635,11.1135,11.063499,11.3635,11.813499,12.2135,12.813499,13.7135,15.2135,17.1135,18.8635,20.563501,22.1135,22.813501,22.213501,20.7635,19.3635,18.463501,17.6135,16.463501,14.6135,12.4635,10.6635,9.6635,9.013499,8.2135,6.9635,5.6135,4.4635,3.6135,2.9635,2.9134998,3.7635002,5.1635003,6.4635,7.5635,8.6135,8.9135,8.1135,6.6135
2025-11-10 00:57:19+00:00,2025-11-10 00:00:00+00:00,4.35,2.2,1.0,0.15,-0.4,-0.95,-1.35,-1.6,-2.55,-3.6,-3.2,-3.9,-3.5,-2.85,-2.9,0.85,4.35,7.95,9.85,12.35,14.15,15.15,15.45,13.5,10.15,8.85,8.45,8.65,8.9,9.1,8.2,7.55,7.2,6.7,7.1,7.3,6.9,6.45,6.3,8.4,11.95,14.7,16.25,19.6635,20.3635,20.6635,19.313501,17.1635,13.763499,12.3635,11.3635,10.9635,10.7135,9.9635,9.3635,9.063499,8.9135,8.063499,7.1135,7.8635,7.9635005,7.6635003,8.013499,10.013499,13.263499,16.0135,17.7635,18.5135,19.313501,19.813501,19.7635,16.6135,14.263499,12.813499,12.6635,12.4135,11.6635,10.813499,10.6135,10.4135,10.6635,10.4135,9.8635,10.2135,9.313499,10.4635,10.1135,11.313499,14.263499,16.6135,18.6135,19.6635,19.963501,20.213501,19.9135,17.463501,15.6635,15.013499,13.4635,12.563499,12.013499,11.563499,11.813499,11.4135,11.1135,11.1135,10.9635,10.7135,10.4635,10.6635,11.3635,12.9135,14.7135,16.4135,17.1635,17.9135,18.2635,18.3635,18.063501,17.463501,16.8635,16.563501,16.313501,15.6135,14.013499,11.9135,10.1635,9.2135,8.6135,7.8135,6.4135003,4.8135,3.5135002,2.6135,2.0135002,1.9135,2.6135,3.8135,4.8635,5.7135,6.3635,6.5635,5.9135003,4.7135,3.7135,3.1634998,2.8135,2.4134998,1.9135,1.4635,0.9635,0.46350002,0.013500005,-0.3365,-0.6865,-0.8865,-0.6865,0.1135,1.3135,2.7635002,4.5635,6.5135,8.063499,8.9635,9.4635,9.4135,8.7135,7.5635
2025-11-11 00:53:53+00:00,2025-11-11 00:00:00+00:00,13.15,12.25,11.55,10.45,10.6,9.75,8.8,8.4,8.3,7.85,7.55,7.35,7.2,6.65,6.6,9.25,12.45,15.2,17.6,18.4,18.85,18.9,18.45,16.3,13.05,11.55,10.05,8.1,7.9,7.75,6.4,5.25,5.2,5.55,5.65,6.1,6.2,5.9,5.75,8.75,11.75,15.35,18.4,18.5135,19.3635,19.4135,19.0135,15.8635,13.063499,13.313499,13.9135,12.3635,11.9635,11.9135,11.813499,11.563499,11.3635,10.263499,9.7135,10.2135,9.2135,9.013499,9.313499,11.1635,13.563499,15.6635,17.813501,19.063501,19.563501,19.7635,19.6135,16.463501,14.6135,14.4635,14.4635,13.1635,12.4135,11.8635,11.513499,11.4635,11.313499,11.063499,10.563499,10.3635,10.1635,9.813499,9.6135,11.6135,14.763499,17.4135,19.563501,21.063501,21.4135,21.313501,20.5135,18.1135,15.3635,14.063499,14.513499,14.263499,12.6635,12.6135,12.263499,11.763499,10.9635,10.513499,10.313499,10.063499,10.1635,10.7135,10.3635,11.263499,13.1135,14.3635,15.1635,15.813499,16.1135,16.0135,15.263499,14.1135,13.1135,12.4635,12.013499,11.6135,11.313499,11.063499,10.813499,10.513499,10.2135,9.9135,9.7135,9.513499,9.263499,8.813499,8.263499,7.7135,7.2635,6.8135,6.4635,6.2135,6.0135,5.8635,5.8135,5.7635,5.7635,5.6635003,5.6135,5.6635003,5.9635,6.4635,6.7635,6.8135,6.7635,6.6635003,6.5635,6.4635,6.4135003,6.3135,6.2135,6.4135003,7.1135,8.1635,9.063499,9.8635,10.6135,10.8635,10.313499,9.313499
2025-11-12 00:54:46+00:00,2025-11-12 00:00:00+00:00,14.45,13.25,10.9,9.9,9.0,8.9,8.35,7.7,7.75,7.5,7.45,7.3,7.05,6.7,6.7,9.05,11.85,14.35,16.95,18.75,19.85,20.55,20.15,17.85,15.1,13.25,11.4,10.65,10.65,10.1,10.55,9.95,8.45,8.6,7.85,7.15,6.55,6.7,7.0,9.9,12.25,15.0,16.55,19.3635,19.7635,20.063501,20.4135,17.1135,15.563499,14.7135,14.4635,13.7135,12.763499,12.2135,11.6635,11.1635,10.813499,10.513499,10.1635,9.7135,9.2135,8.8635,9.1135,11.563499,14.3635,16.213501,17.813501,19.213501,20.3635,20.813501,20.3635,16.563501,13.813499,13.7135,14.4135,14.8635,14.6135,14.513499,12.8635,12.813499,12.8635,13.063499,12.6635,11.6135,11.813499,10.4635,10.2135,11.4135,13.4135,13.9635,16.2635,17.1135,17.9135,18.4135,18.313501,16.713501,15.9635,15.013499,14.4135,13.4635,12.7135,11.7135,11.063499,10.513499,10.263499,9.9135,9.6635,9.263499,8.763499,8.2135,7.8635,9.563499,12.4135,14.4635,15.9635,17.2635,18.063501,18.2635,17.563501,16.213501,14.7135,13.013499,11.1135,9.6135,8.813499,8.3635,7.8135,6.9135003,5.9135003,5.2635,5.2135,5.5635,5.9135003,6.3135,6.7635,7.0635,7.2635,7.3635,7.1135,6.2135,4.9135003,3.9135003,3.6135,3.6135,3.3135,2.3135,1.0135,0.013500005,-0.4365,-0.6365,-0.7865,-0.9865,-1.1865,-1.2365,-1.1865,-1.0365,-0.6865,-0.1865,0.5135,1.6135,3.4134998,5.6135,7.4635,8.7135,9.6135,9.8635,9.263499,8.013499
2025-11-13 01:10:29+00:00,2025-11-13 00:00:00+00:00,14.85,13.35,11.95,11.3,11.65,10.75,9.05,8.7,7.95,7.6,7.45,8.3,6.7,6.65,6.25,9.05,12.2,14.9,17.15,19.4,20.65,21.0,21.0,18.65,15.85,15.15,13.6,12.45,12.4,11.8,11.1,10.85,10.15,9.95,9.9,9.6,9.2,8.1,7.65,10.75,13.65,16.75,19.15,19.6135,20.313501,20.1635,19.6135,16.213501,13.8635,14.3635,15.6135,14.8635,14.2135,14.063499,14.063499,13.9635,12.7135,12.063499,11.9635,13.063499,13.1635,11.813499,10.813499,11.9135,13.4135,15.1135,16.563501,18.063501,18.813501,18.6635,18.3635,16.563501,15.6135,13.813499,13.013499,12.313499,11.3635,9.813499,9.813499,8.4635,8.013499,7.6635003,6.8635,6.4135003,6.1635003,5.8635,5.3635,6.6135,9.1635,11.9135,14.013499,15.4135,16.4135,17.1635,17.3635,15.6135,13.263499,11.6635,10.313499,9.313499,8.4635,7.9135003,7.5135,6.8135,6.6135,6.2635,6.3135,6.5135,6.8135,6.6135,6.3635,5.8635,5.6135,5.7135,6.5135,7.4635,8.6135,9.1635,8.6135,7.4635,6.2635,5.1135,3.9135003,3.0135002,2.4635,2.2135,2.1135,2.2135,2.5135002,2.7635002,2.8635,2.9134998,2.9635,2.9134998,2.9635,3.4635,4.9135003,6.8635,8.6135,10.063499,11.313499,11.813499,11.1635,9.763499,8.513499,7.6135,6.8635,6.2635,5.8635,5.5635,5.3635,5.1635003,5.0135,4.8635,4.5635,4.2635,4.1135,4.1135,4.2635,5.0635,6.8635,9.2135,11.3635,13.263499,14.8635,15.3635,13.9135,11.313499
2025-11-14 00:54:49+00:00,2025-11-14 00:00:00+00:00,17.95,16.05,16.1,15.7,13.8,11.95,11.35,11.3,11.7,12.7,9.55,9.8,8.8,9.0,8.6,11.2,14.7,17.9,19.3,20.9,22.25,22.55,22.3,19.9,17.4,16.0,14.8,13.75,12.75,12.1,13.4,12.3,13.15,10.05,9.15,10.9,8.4,7.1,6.65,9.0,13.95,15.9,18.75,18.3635,18.6635,18.8635,18.563501,16.6135,14.513499,13.763499,12.263499,11.3635,10.9135,10.9635,10.3635,9.7135,8.9135,8.6635,8.1635,7.8635,7.7135,7.3135,7.0135,8.813499,11.6135,13.9635,15.763499,16.8635,17.3635,17.5135,17.213501,16.0135,13.563499,12.7135,11.6135,10.513499,9.6135,9.013499,8.3635,7.5135,7.1635003,6.4635,6.0635,5.6635003,5.3635,4.9635,3.9135003,3.3135,3.9135003,5.2135,6.4135003,7.4635,8.263499,8.7135,8.6635,7.8135,6.0635,4.5635,3.2135,2.4134998,1.9135,1.6135,1.3635,1.2135,0.9635,0.6635,0.5635,0.5635,0.4135,0.4135,0.3135,0.8635,1.9634999,3.3135,4.8635,6.0635,7.0635,7.5635,7.1635003,6.2135,5.2135,4.2135,3.1634998,2.2635002,1.7135,1.3635,1.0135,0.6135,0.2135,0.013500005,0.013500005,0.2135,0.4135,0.5135,0.6135,1.0135,1.9135,3.1135,4.0635,4.6635003,5.0635,5.1635003,4.8135,4.1635003,3.5635,3.1135,2.7135,2.4635,2.4635,2.5635,2.5635,2.3135,1.9135,1.6135,1.4635,1.3635,1.3635,1.3135,1.3135,1.7635,3.0635,4.8635,6.3635,7.3635,8.1135,8.313499,7.7635,6.7635
