forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:09:19+00:00,2025-11-05 00:00:00+00:00,808.0408,807.5268,807.79956,807.60333,808.00397,808.58966,808.7153,809.3556,809.5194,809.5052,809.38965,809.34174,807.28015,806.17084,806.442,809.1045,812.0674,813.86847,814.61414,813.56415,812.8273,811.89624,810.8111,808.64026,806.3163,805.28107,804.7914,803.98047,802.69135,802.02277,801.625,801.0842,801.16327,801.3207,801.6063,801.9105,801.86304,802.18005,802.21094,803.77246,807.6073,808.49426,808.1191,804.45996,802.9787,802.85864,803.0089,803.17303,801.9848,802.74097,802.4236,803.7778,803.1842,802.6015,801.82416,801.572,801.9476,802.0436,802.1894,802.2056,802.25134,801.95184,802.92035,804.60297,805.2705,805.0343,805.0857,804.3979,803.8002,803.5175,803.44403,802.4115,800.2371,801.68665,801.5422,801.6866,801.27716,800.87915,800.6876,800.6025,800.43787,800.43146,800.4378,801.13025,801.6641,802.7597,804.35315,806.1216,806.8948,807.5033,807.7844,807.8996,807.95844,808.6282,808.44025,807.9868,808.21735,809.34766,811.04333,812.4647,813.0584,812.6651,812.65564,813.04944,812.94104,813.3308,812.7472,813.24713,813.56915,813.64844,813.8982,816.0895,817.8343,818.1675,818.1878,817.87085,817.087,816.2589,815.3003,814.2262,813.3455,813.04407,813.043,812.85986,812.41785,811.7961,811.3564,811.09796,810.9863,810.9192,810.7611,810.7611,810.8747,811.35834,812.1054,812.89667,813.8404,814.71326,815.1017,814.67096,813.8382,812.6662,810.90204,808.7907,807.38055,807.59503,808.65234,809.37335,809.09973,808.4109,807.7684,807.2372,806.73804,806.35046,806.07446,805.78467,805.8364,806.11694,806.624,807.3093,808.3842,809.52765,810.1789,809.9685,809.34296,808.73865,807.9961,807.1445
2025-11-06 00:53:17+00:00,2025-11-06 00:00:00+00:00,806.41364,805.2659,804.39325,804.2508,803.26404,802.3092,801.32263,801.9592,801.7523,801.4975,801.9901,801.7841,802.2925,802.1789,802.5622,804.8659,808.3018,809.2564,808.3178,808.15076,807.96045,807.64716,807.4272,806.9729,806.40234,806.415,806.6133,805.8826,805.2671,805.69183,805.16064,804.16724,803.4009,802.51733,800.69385,801.60956,801.1174,800.9556,800.5683,802.7028,804.94556,805.8545,805.3395,804.0431,802.86,802.4546,801.96204,801.4623,799.34827,799.5762,800.19305,800.2034,799.93317,799.895,799.38196,799.0384,798.89325,799.1744,799.38245,799.6016,800.1909,801.35297,803.0424,804.75635,805.3092,807.13727,807.7824,807.42975,807.42706,807.4949,807.8026,807.84924,807.8412,809.6524,811.60767,813.1564,814.15125,814.9585,815.28357,815.1862,815.60187,816.3848,816.10724,816.4078,816.5503,816.6577,817.53064,818.91925,819.30994,819.3514,818.83167,818.0762,817.60455,816.94666,816.96063,816.60706,814.85236,814.5579,814.7115,814.5535,814.4497,813.90717,813.3989,813.1865,812.92975,812.8992,812.54156,812.4756,812.66943,812.5576,812.7161,814.36554,816.10693,816.4104,816.032,815.43207,814.32,813.1271,811.8484,810.3559,809.35065,809.2997,809.7126,809.85474,809.27637,808.39307,807.7177,807.2841,806.94794,806.7567,806.7097,806.72833,806.8765,807.039,807.3778,807.6595,808.05304,808.4785,808.50714,808.2008,807.5641,806.7774,805.5611,804.2157,803.29706,803.3963,804.1443,804.7325,805.08093,805.3161,805.4558,805.40314,805.335,805.28455,805.4291,805.7355,806.0593,806.57324,807.2145,807.83777,808.6489,809.4314,809.81915,809.54816,808.84503,808.1453,807.35284,806.5851
2025-11-07 00:52:24+00:00,2025-11-07 00:00:00+00:00,805.5095,805.39996,804.83936,804.51636,804.9364,805.7092,805.0383,805.2203,805.2197,804.9258,803.20447,801.9754,802.2248,802.8699,803.2625,803.7336,804.594,805.9982,806.2086,805.5862,805.6399,805.02496,804.5887,804.44574,803.28894,803.12006,802.7867,801.08575,800.77606,800.82904,801.08105,800.6691,801.0518,801.7266,801.3846,802.6296,803.3698,804.16144,804.2548,806.5877,808.7433,809.82776,810.7507,807.5601,807.42975,807.5915,807.8671,808.87195,809.6848,810.04376,811.0314,811.9579,813.64044,814.38055,814.13544,814.38,814.47534,814.62976,813.88934,814.397,815.0823,815.3971,815.968,818.18567,819.19415,819.04254,818.7353,818.0497,817.46497,816.5165,816.3198,815.76086,814.68304,814.883,814.51953,813.71295,813.51044,813.1154,812.3909,811.9615,811.52216,811.19586,810.8824,810.6006,810.5911,810.2417,810.4334,811.68085,812.9193,813.3551,813.4726,812.7763,811.6131,810.2705,809.5974,807.9364,806.6415,807.4382,806.73883,806.08264,805.82715,805.4924,805.1852,805.2796,805.4751,805.3485,805.14026,805.0435,805.4582,805.6966,806.064,806.9781,808.052,808.8608,808.6075,808.6614,808.5316,808.0034,806.65393,804.84424,803.7403,804.34906,805.7639,806.8463,806.96173,806.7049,806.44196,806.41797,806.39624,806.4064,806.2711,806.20044,806.4248,807.31244,808.60236,809.5872,810.2708,810.61664,810.78186,810.61115,810.20874,809.5277,808.502,807.17395,806.32465,806.4354,807.0861,807.6732,807.95715,808.0663,808.20795,808.3168,808.3461,808.40765,808.3244,808.24115,808.353,808.7541,809.42944,810.0953,810.92163,811.7511,812.1347,811.9701,811.503,810.7155,809.3766,807.67993
2025-11-08 00:48:03+00:00,2025-11-08 00:00:00+00:00,802.9408,803.02454,801.106,802.0444,802.3529,802.70465,802.7886,803.0967,801.91705,802.8489,802.5928,802.89374,802.6592,803.0817,803.8081,807.22,808.95154,810.0427,809.15656,809.8751,810.5657,810.61505,810.61505,810.914,810.22815,811.33295,812.1347,813.3975,813.8175,814.3506,814.21747,813.38586,813.4871,812.7669,811.7773,811.70624,811.8064,811.2693,810.5722,813.4355,816.33466,817.6383,818.5204,817.87225,817.15497,816.728,816.1464,815.82404,814.56696,814.18524,813.9109,813.62665,813.6477,813.3969,812.7513,812.4353,811.62756,811.381,810.6055,810.2928,810.4425,810.1838,810.513,812.2033,813.38135,813.89264,813.60675,812.7054,811.83344,811.20135,810.84094,808.39905,806.0227,807.2789,807.2163,806.45233,805.8762,804.96173,804.33795,804.93585,804.648,804.2961,804.1347,804.4551,804.3581,804.3731,804.74054,805.7839,807.0188,807.6234,807.6737,806.95874,806.4564,805.9184,805.758,805.67236,804.9294,804.9355,805.68665,805.8954,805.44293,805.4972,805.4903,805.85065,806.0191,806.2195,806.1677,806.22205,806.1766,806.35425,806.3643,808.85175,809.84467,809.6891,809.0464,808.90216,808.5862,807.9961,806.95166,805.5925,804.7173,804.6499,805.0455,805.42596,805.5677,805.6472,805.67694,805.4939,805.0994,804.94476,804.9396,805.1775,805.6451,806.7053,808.0717,809.2505,810.1262,810.72375,810.94104,810.5392,809.7019,808.79236,807.77466,806.6813,805.9863,806.29346,807.0575,807.6142,807.67615,807.4193,807.1943,806.98315,806.6922,806.46515,806.2374,805.9628,805.94855,806.32056,806.98315,807.5829,808.30896,808.9653,809.1064,808.5948,807.5385,806.2831,804.49713,802.4418
2025-11-09 00:54:40+00:00,2025-11-09 00:00:00+00:00,811.5565,811.452,811.6038,812.3229,813.98944,815.12067,815.5125,815.6191,814.29736,813.0816,812.6125,812.62756,812.9568,813.34283,814.0431,816.7674,819.42126,820.25256,820.16046,819.9704,820.01526,819.3083,818.871,818.213,816.7015,816.7198,816.20123,815.1498,814.2659,813.52106,812.8705,812.01215,811.34076,810.88257,810.4385,810.0295,810.9354,812.0088,811.3821,812.017,815.58997,817.09875,817.6981,814.32965,813.2263,812.49945,811.7314,809.1125,807.3259,808.02655,807.82184,806.8167,806.0146,805.5326,805.30585,805.68146,805.55457,805.2819,804.8673,804.54694,804.52924,804.7467,805.4531,806.27704,806.9421,807.59875,808.4773,807.6028,806.9198,805.90173,805.44226,805.1613,803.0913,803.93744,805.27435,805.7513,805.8762,805.5974,805.3785,804.8984,805.1501,805.19104,805.26447,805.8967,806.4159,807.3531,808.3461,809.2842,809.3801,809.5785,809.26,808.617,808.1536,807.65497,807.49365,806.2766,805.36804,806.1182,807.3259,807.4547,807.36017,806.81836,806.7391,807.0416,806.7869,806.2723,805.7355,805.34576,805.46796,805.62225,806.0051,807.6275,809.1106,809.33966,809.0062,808.5559,807.648,806.7564,805.76245,804.7267,803.93677,803.6875,803.71185,803.69824,803.5073,803.20355,802.6931,801.8981,800.97644,800.1179,799.4184,798.75024,798.3368,798.4937,798.8196,798.9455,798.63934,798.00995,797.344,796.42816,795.45905,794.51825,793.8195,793.21106,792.5118,791.72174,790.7907,790.0058,789.29156,788.62006,788.0734,787.6389,787.333,787.2133,787.3515,787.70154,788.31036,789.38293,790.7223,792.11554,793.79944,795.53516,796.6486,796.6501,796.1393,795.6344,795.51184,795.38904
2025-11-10 00:55:48+00:00,2025-11-10 00:00:00+00:00,814.59326,812.9599,812.48315,811.7698,811.0501,811.6488,810.74414,810.3455,810.5035,810.6188,810.38367,810.06647,810.6358,812.01337,812.23114,812.95764,816.1659,817.80334,818.1639,817.4024,816.99274,816.0152,814.863,812.94556,809.8466,808.4224,807.62573,806.39606,805.7259,805.6594,806.1726,805.3266,805.697,806.2082,806.33545,806.5243,807.27454,808.0874,808.14984,808.0692,809.3449,811.58417,812.38007,807.3545,806.55273,805.5421,805.4119,804.4579,803.2669,804.39905,805.92694,806.8984,806.96124,806.7772,806.39996,806.51855,806.3643,806.4001,806.04407,806.0574,806.2558,806.3283,806.9626,808.5905,809.2689,809.28125,809.0383,808.554,807.7158,807.08466,806.1727,805.257,804.0087,804.42584,804.5385,804.36554,804.2072,803.98486,803.5396,803.8101,803.77826,803.76166,803.168,803.5688,803.31195,802.34314,802.6571,804.09607,804.62396,804.81116,804.55096,803.61597,802.6978,801.48596,800.37573,799.22534,797.6679,796.9394,797.07227,797.0131,796.998,797.00934,797.0642,796.572,796.22516,795.1825,794.21576,793.1848,792.74,791.97736,791.5481,792.60236,793.5717,791.9928,790.4708,789.6851,788.97296,788.5765,788.75305,789.3429,789.82184,790.1555,790.48224,790.5946,790.39923,789.95905,789.6714,789.40656,789.2116,789.50745,790.76715,792.5604,794.11694,795.0004,795.4882,795.871,796.01013,795.96277,795.84784,795.6988,795.51575,795.4832,795.56366,795.78577,796.1186,796.655,797.2327,797.8435,798.3633,798.8709,799.2661,799.5152,799.6512,799.5058,798.88385,798.0157,797.6565,798.0999,799.0683,799.957,800.69824,801.3835,801.9315,802.1684,802.35425,802.4672,802.4253,802.31085
2025-11-11 00:52:31+00:00,2025-11-11 00:00:00+00:00,807.6376,805.76434,805.9168,805.8251,806.89233,807.45874,807.42725,806.4774,806.8837,806.04626,806.393,806.66144,806.5544,806.5276,807.30774,807.7854,809.87537,811.00134,812.83954,812.1531,811.86597,811.5881,811.2373,809.94214,808.2418,808.1634,808.27734,807.76935,807.483,807.44934,806.86383,806.04675,806.56445,806.7274,806.29877,805.1544,805.0813,805.09467,805.2461,807.54144,810.4792,812.1531,812.3895,809.0282,808.2351,807.63257,807.2036,806.13635,804.13873,804.22394,804.89233,805.908,806.114,805.9104,805.59265,805.76764,805.4786,805.7324,804.847,804.6962,804.69257,805.3092,805.977,807.3579,808.1701,808.79144,809.1281,808.7238,807.6391,806.94666,806.6552,804.85596,803.2405,803.5058,804.54,803.93695,803.79285,803.2645,803.10394,803.0414,803.2351,802.6722,802.2428,802.0365,802.0876,801.73376,802.13477,803.3767,803.71344,803.70526,803.13824,801.67096,800.8185,800.1646,800.25244,798.46405,797.0302,796.9913,795.7785,795.4694,795.2184,795.2662,794.393,794.36053,794.2176,794.10693,793.9796,794.6158,795.5694,796.1256,796.5869,797.7868,799.0116,799.8838,800.3248,800.19604,799.59503,799.0552,798.4897,797.8039,797.4421,797.47235,797.875,798.3367,799.16364,800.16614,800.8661,800.8965,800.6515,800.56433,800.9758,801.5817,802.0758,802.4583,802.69653,802.48413,801.4914,799.95544,798.58276,797.38776,796.21027,795.5983,795.70245,796.2597,796.9956,797.7861,798.75604,799.4891,799.8724,800.0976,800.2771,800.4318,800.54,800.4816,800.1694,799.769,799.4555,799.4891,799.769,799.74054,799.23,798.5285,797.80145,797.098,796.4854,796.18475,796.27466,796.7053
2025-11-12 00:53:23+00:00,2025-11-12 00:00:00+00:00,808.05225,807.5675,807.33624,808.0073,808.27826,808.0228,806.6052,805.25757,805.68713,806.3808,805.57056,805.2064,805.3138,805.4538,805.8644,807.924,811.145,812.2296,812.852,812.5388,812.23346,811.4219,811.04395,810.266,808.4492,807.6587,806.85815,806.924,806.17694,806.46356,806.46234,806.3355,806.3995,806.47955,807.0366,806.5749,807.0527,807.7849,808.32623,808.8841,811.2543,812.9761,812.8162,809.0744,808.4471,807.87244,807.6527,805.8298,805.1163,804.11255,805.2427,805.4016,805.22455,805.00006,804.807,804.4526,804.2085,804.1692,803.8621,803.6337,803.9371,803.68964,804.2359,805.86084,806.8795,807.4388,807.3649,806.4914,806.1442,805.51935,805.5109,803.77673,802.04785,802.4575,802.7791,802.97266,802.83575,802.4092,802.3617,801.96356,801.89905,802.5351,802.23114,801.89935,802.246,802.7223,803.0254,804.3035,804.8634,804.7645,804.45825,803.9096,803.7737,803.2953,803.1967,801.7189,800.8646,799.89087,799.55994,799.9108,799.8956,799.7039,799.3993,799.2045,798.835,798.2705,798.01465,797.82324,797.5635,797.205,797.2562,798.9729,799.414,798.53485,797.505,796.9841,796.4548,795.7797,794.5529,793.06384,792.39136,793.07336,794.6438,795.9047,796.56494,797.1202,797.27454,797.02277,796.5112,796.10834,795.8482,795.68524,795.98035,796.8343,798.0331,799.2895,800.44147,801.5952,802.3287,802.4969,802.2666,801.96783,801.5024,801.0081,800.7548,801.1731,801.87067,802.6077,803.1841,803.6469,804.0758,804.4149,804.6405,804.75275,804.71747,804.60223,804.76013,805.4407,806.4242,807.1754,807.50397,807.69525,807.5596,807.137,806.5138,805.875,805.2585,804.7234
2025-11-13 00:52:09+00:00,2025-11-13 00:00:00+00:00,807.5268,805.9001,805.5241,805.5865,805.4596,806.1927,805.65173,806.0657,806.17676,806.36786,806.6384,806.623,806.9408,807.1311,807.8807,808.0874,811.20715,812.557,813.30273,812.75104,812.31665,811.7933,811.3235,810.146,808.302,808.25555,807.8888,807.2895,806.79803,806.2082,805.4417,805.3005,805.25385,804.77594,805.79205,805.18994,804.55304,804.4884,804.7122,806.65607,808.93976,810.01544,810.3812,807.2036,806.42944,806.01666,805.66876,803.7557,802.7107,802.7859,803.10626,803.0614,803.01416,803.2052,802.9016,803.1556,802.74164,803.4262,803.37775,802.31085,802.5128,803.0254,803.5052,805.0356,805.4501,806.09894,806.31555,806.04297,805.2808,803.88983,803.57776,802.9633,802.2385,802.4575,801.88165,801.4547,801.5662,801.022,800.7804,800.77576,800.31146,800.2218,800.00806,799.82623,799.6953,799.18164,799.1162,800.84784,801.4867,801.5451,801.21405,800.6654,800.01666,799.1051,798.65704,797.6739,796.2118,796.32837,796.6962,795.3457,796.2851,794.9628,794.6438,794.5307,793.97986,794.3562,794.1219,795.2905,796.3789,797.4461,799.2026,802.1404,803.39655,804.6191,805.5924,806.2335,806.69934,806.8612,806.699,806.3726,806.02936,805.9628,806.0693,806.018,805.84564,805.6466,805.4013,805.20166,805.0015,804.80115,804.54553,804.28864,804.334,804.82825,805.5891,806.249,806.6304,806.92816,806.87946,806.4699,805.8211,805.2488,804.7261,804.28656,803.98486,804.035,804.4084,804.57587,804.48505,804.30066,804.0824,803.94244,803.91406,803.8392,803.7637,803.7207,803.91266,804.6094,805.5723,806.3218,806.84015,807.1834,807.3876,807.44464,807.29834,806.93506,806.1891,805.12646
2025-11-14 00:52:35+00:00,2025-11-14 00:00:00+00:00,807.4272,807.4084,806.79156,806.8544,806.72644,806.01575,805.6163,805.5235,805.1107,804.61633,805.3008,804.5055,805.2691,805.49255,805.50836,804.791,807.9366,809.493,810.1241,809.8037,809.7079,809.25555,808.9923,807.48303,805.33167,804.84076,804.47296,804.2596,802.6682,803.1499,802.4162,803.1147,804.373,803.9951,803.27997,803.83655,803.8685,804.87177,805.1422,805.2218,807.9188,809.80273,810.26544,805.98267,804.98035,804.13806,803.4993,802.347,801.6313,801.58344,801.7797,801.6893,801.39056,800.4843,800.5462,801.21515,800.5548,800.6112,800.0916,799.7983,799.6863,799.55566,799.64874,801.3104,801.8197,801.88293,801.9253,801.5935,800.3495,798.96,798.08405,797.0614,795.93616,794.899,795.1403,794.85443,794.0901,794.3429,794.96436,794.2007,793.6618,794.52057,794.03265,794.3328,794.0481,793.93176,796.2408,798.15125,799.09064,799.6244,800.37,800.9738,801.434,801.5021,801.93823,801.9408,800.99243,801.0696,801.67834,801.5324,801.77783,801.7386,801.7519,801.54645,800.3894,800.14545,800.0903,800.24976,800.3408,800.3519,800.5549,801.6688,801.7253,802.3141,804.1827,803.7056,802.69525,801.6842,800.7021,799.685,798.95844,798.7414,798.7349,798.69965,798.5248,798.4035,798.26965,798.1692,798.13574,798.03534,797.8119,797.7119,797.6673,798.11835,798.7832,799.12006,798.77747,798.071,797.22906,796.1546,795.0264,794.3404,794.5701,795.31964,795.9558,796.5456,797.05554,797.3394,797.15967,796.7533,796.2556,795.8828,795.45435,794.8661,793.68427,792.32404,791.65454,792.08234,793.1984,794.5358,796.27875,798.29095,799.7845,800.41876,800.52856,800.4021,799.8073,798.9242
