forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:09:20+00:00,2025-11-05 00:00:00+00:00,807.37726,806.6195,806.5207,807.55756,808.2439,807.8841,807.88605,807.96967,808.2413,809.03735,808.894,809.13165,809.55493,809.5397,809.57104,812.9962,813.23486,812.88654,813.90485,813.0473,812.33856,811.81946,811.247,809.68445,807.47626,806.37714,805.52637,804.52936,802.376,800.4517,799.7791,798.5056,798.0236,797.8588,799.63654,801.54126,803.1591,803.5258,803.0839,804.36237,807.32104,808.1863,807.83014,803.64185,802.61926,801.8291,802.0694,802.3306,803.0675,803.9026,804.73883,805.6076,805.8675,806.1416,805.68066,805.45435,805.21,804.8692,804.68915,804.4472,804.60596,804.9051,805.36285,806.3372,805.341,804.5664,803.8019,803.0959,802.253,802.55774,802.13416,802.28784,802.4648,802.84717,803.14606,803.3504,803.5714,803.492,803.4469,803.4469,803.03455,803.00226,802.8112,803.11206,803.6806,804.2192,805.4899,806.6469,806.53925,806.4289,806.2049,806.3439,806.18225,806.5328,807.1555,808.5131,808.8762,810.06006,811.41724,812.1156,812.8768,813.5988,814.01,814.26355,814.5051,814.74567,814.5555,814.7056,814.96857,815.4153,816.0456,816.92865,817.0759,816.7626,816.3688,815.62524,814.77234,814.1843,814.145,814.45294,814.7111,814.9757,815.35126,815.32947,814.7981,813.9041,813.3275,813.1934,813.37366,813.47125,813.49805,813.60144,813.735,814.07056,814.43665,814.5973,814.23047,813.5293,812.7807,812.0902,811.41626,810.8384,810.3195,809.9655,809.7704,810.1066,810.5529,810.8712,810.58344,810.02423,809.5452,809.2594,809.0541,808.86395,808.62524,808.434,808.2911,808.35535,808.546,808.7792,809.0953,809.26636,809.3273,809.0051,808.5851,808.24786,808.1241,808.0547
2025-11-06 00:53:18+00:00,2025-11-06 00:00:00+00:00,807.7928,806.7605,805.5628,804.40326,802.4881,801.1763,799.3947,799.1587,799.5961,800.57715,799.9688,800.43756,802.273,802.94025,802.9248,805.5914,807.7986,808.25525,807.76996,807.6998,807.47845,807.13873,807.0688,806.7587,805.9063,806.5962,807.6193,806.8389,805.56824,805.3905,806.9866,806.52875,804.46625,803.4096,802.7159,801.914,800.8869,800.5725,800.0767,801.8584,802.6317,802.65063,802.3198,802.9366,802.4125,801.6556,801.13666,800.9534,801.4918,801.5112,801.92316,802.4012,802.76666,802.5744,802.1414,801.6926,801.3225,801.23975,801.2689,801.8893,802.4593,803.30963,804.6394,806.0342,806.84283,807.52234,807.3589,806.989,807.28467,807.3848,808.10547,808.2757,808.7931,810.3112,811.7216,812.88574,813.7242,814.4872,815.60004,816.03485,816.6956,817.62726,817.6204,817.8844,818.4105,818.8136,819.2867,819.8782,819.331,818.8327,818.2002,817.1886,816.24274,816.0337,816.1003,815.9631,816.2557,817.14923,816.9564,816.67267,816.4444,815.662,814.65234,814.17444,814.0995,813.83136,813.8359,813.95087,814.36755,814.8362,815.36633,816.28735,816.52637,815.45685,814.2175,813.4616,812.72046,812.0744,811.6494,811.3439,811.1837,811.29974,811.52405,811.5722,811.33325,810.91925,810.5689,810.2504,809.9159,809.66095,809.51764,809.40546,809.35657,809.57794,809.91003,809.9343,809.3708,808.50073,807.73444,807.1568,806.66235,806.22,805.6545,805.2071,805.0651,805.54736,806.32324,807.0,807.3249,807.47235,807.5706,807.6999,807.8603,807.8293,807.62305,807.36804,807.3044,807.9097,808.7365,809.32056,809.49426,809.33154,809.1002,808.7363,808.2077,807.7769,807.47253,807.14825
2025-11-07 00:52:25+00:00,2025-11-07 00:00:00+00:00,804.90375,804.9178,804.4758,805.00934,806.5839,807.1266,806.8401,806.6067,805.30414,805.1524,803.5715,802.0246,802.08435,802.35706,802.1992,803.83887,804.60535,804.8907,804.4664,803.7366,803.41296,803.2092,802.8868,802.6716,802.683,803.3375,803.5589,802.8457,802.1123,802.6852,802.9072,802.65063,801.4193,800.8401,801.65967,802.04193,802.8214,803.8408,804.23,806.3023,808.4945,809.358,809.94073,806.09283,806.0599,806.5829,807.2684,807.8618,809.2801,810.3309,811.39636,812.0503,813.2953,814.52563,815.15027,815.4277,816.12836,816.5676,816.2469,816.0583,816.52527,816.7454,817.5067,818.5023,818.60474,818.30237,818.13934,817.47375,816.46564,816.1017,816.181,815.92334,816.3383,817.1119,817.1357,816.583,816.0641,815.4536,814.7859,814.3226,813.76917,813.32886,812.40216,812.2333,812.2553,812.0821,812.7347,813.24506,812.89404,812.3107,811.5713,810.62286,809.8349,809.3361,808.8937,808.5564,808.00574,808.5233,808.4139,808.4603,808.1434,808.03033,807.7284,807.6486,807.85187,807.78644,807.3706,807.50995,807.621,807.8116,808.25574,808.65656,808.7658,808.48267,808.05774,807.4973,806.74646,806.1751,805.7396,805.4218,805.43677,805.97675,806.8123,807.5184,807.96747,808.2878,808.5598,808.7521,808.8323,808.86456,808.8648,808.83295,808.976,809.42175,809.931,810.15466,809.89886,809.4295,808.8107,808.1858,807.4932,807.0377,806.91516,807.1037,807.3275,807.6999,808.19574,808.5942,808.84814,808.927,809.0221,809.1657,809.278,809.40594,809.5176,809.7086,809.96375,810.5211,811.17395,811.6019,811.6836,811.5203,811.1733,810.69055,810.0114,809.5004,809.1258,808.95636
2025-11-08 00:48:04+00:00,2025-11-08 00:00:00+00:00,801.4103,802.8289,801.22205,801.1503,801.2534,802.2885,801.96423,802.7434,802.9491,801.3679,802.11334,802.7926,802.82465,803.10126,804.0273,806.604,808.32983,809.639,809.1377,809.0155,809.5115,809.9748,810.2761,810.4145,810.0447,810.8591,811.71246,813.13885,813.20557,813.1971,813.47406,813.3401,813.57996,813.022,811.46094,810.55457,810.74774,811.26166,811.63367,814.248,815.91595,817.21967,817.92975,816.3716,815.712,815.3738,815.1492,815.5398,815.75464,816.4755,816.1853,815.634,815.40857,815.26135,814.6278,814.1072,813.75684,813.31506,812.6611,812.188,811.9395,812.2543,812.4967,813.1919,812.5627,811.89075,811.1375,810.0875,809.39685,809.1962,808.9687,808.3993,807.96747,808.131,807.86127,807.6066,807.5744,807.6368,807.1434,806.95123,807.04236,806.7235,806.30804,806.4167,806.77783,806.84045,807.14557,807.3431,807.1613,807.1137,806.5962,806.29114,805.7475,805.7861,805.744,805.30426,805.06494,806.7609,807.4811,807.60693,807.4892,807.9059,808.09827,808.434,808.4511,808.56177,808.51355,808.7513,808.9089,809.0964,809.34753,810.6006,810.51904,809.763,808.97034,808.20386,807.29034,806.6141,806.2817,806.24347,806.22833,806.1558,806.11066,806.20557,806.3482,806.6034,806.81067,807.0657,807.32043,807.57526,807.70245,807.82996,808.13245,808.88086,809.8362,810.53436,810.7917,810.66486,810.41833,809.8268,809.0493,808.45825,808.16254,808.07104,808.18176,808.64087,809.2845,809.7506,809.7688,809.5313,809.3251,809.30975,809.27795,809.2462,809.10297,808.9119,808.87964,809.2125,809.67084,809.96246,809.8169,809.446,808.7786,807.5686,806.1655,805.0121,804.405,804.0628
2025-11-09 00:54:41+00:00,2025-11-09 00:00:00+00:00,810.998,811.7918,811.45087,812.4277,812.9588,813.74286,814.55927,814.70013,814.22003,813.79224,813.54706,812.53894,812.6193,812.8266,813.84796,816.97815,819.593,820.689,820.66815,820.59393,820.4739,820.04926,819.60785,819.1452,817.9516,817.7396,817.1807,816.0438,814.9293,814.11945,812.9491,811.6898,810.33496,809.8971,809.5999,808.7153,808.8289,810.08795,810.632,811.97736,814.9498,816.3815,816.9592,812.60004,811.52576,810.7151,810.4813,809.8321,808.9089,809.2136,809.0233,808.6894,808.5454,808.27405,807.95544,807.85925,808.0135,807.6778,807.2478,807.04,806.94336,807.21405,807.67523,808.0439,807.8191,807.9335,807.7579,807.2256,806.7929,806.3622,805.59467,805.439,805.50653,806.6248,807.54114,808.04,808.48975,808.12994,807.6388,807.4476,807.2718,807.30145,807.21857,807.6955,808.12524,808.5249,809.3709,810.2662,809.8637,809.1537,808.5188,807.73224,807.0137,806.337,806.34875,806.7061,806.9168,807.64124,808.05707,808.1729,808.4268,808.52094,808.50415,808.3471,808.3471,808.37854,807.8909,807.7969,807.7179,808.03644,808.355,809.17584,809.9767,809.54987,808.5046,807.68756,806.78625,805.975,805.5535,805.4316,805.3413,805.56537,805.8621,805.9181,805.4626,804.7669,804.00525,803.35333,802.74774,802.07904,801.3326,800.5544,800.0137,799.79004,799.6122,799.4595,799.06195,798.58295,797.84827,796.82544,795.6835,794.7545,794.2678,793.9858,793.72577,793.5317,793.2838,793.04443,792.6881,792.23303,791.6656,791.0337,790.3205,789.8434,789.7929,789.89844,790.1924,790.57715,791.0705,791.7906,793.04956,794.491,795.4513,795.33954,794.7473,794.584,795.1986,796.09674
2025-11-10 00:55:49+00:00,2025-11-10 00:00:00+00:00,815.0544,813.53534,813.3649,812.2446,810.9675,811.05475,810.02515,810.1143,810.159,809.6767,808.84845,807.90216,809.9203,811.4521,811.78973,812.8166,816.0149,818.082,818.1365,817.97,816.9788,815.31744,814.3144,812.5695,809.49835,808.0797,807.43854,806.45966,805.792,805.73016,805.7178,805.8055,806.66077,806.55096,806.9149,807.1554,807.5537,807.6043,807.49304,809.01483,811.09033,812.2453,812.9781,806.4047,805.913,805.68335,805.53467,805.16846,805.5376,806.8292,807.88794,808.2649,808.5883,808.60657,808.434,808.4984,808.3521,808.60443,808.34644,808.4385,808.59436,808.6558,809.0239,809.8497,809.4534,808.6321,807.98145,807.22736,806.55804,806.08307,805.3658,805.3522,804.88745,805.49396,805.79584,805.6847,805.6847,805.4626,805.2405,805.12933,804.95544,805.02057,805.06885,805.35394,805.182,805.10547,805.4566,805.7474,805.4463,804.59406,803.8,802.6514,801.8099,800.93835,800.3789,800.03906,799.78094,799.9594,799.8908,799.56384,799.3601,798.7799,798.039,797.6301,797.5644,797.04144,796.2508,795.5541,795.0161,794.35004,793.9041,794.3067,794.29626,793.197,791.7886,790.55884,789.2192,788.5006,788.8003,789.7145,790.46295,790.838,791.1284,791.1131,790.75934,790.1773,789.71564,789.36224,789.0238,789.06494,789.6123,790.4609,791.3732,792.25226,793.1164,793.86163,794.4803,794.9292,795.2115,795.1677,794.88275,794.8005,795.0921,795.6928,796.22925,796.7695,797.32855,797.80756,798.16077,798.35535,798.5831,798.96814,799.3866,799.6804,799.8159,799.87244,800.019,800.4925,801.13354,801.4541,801.28326,800.77106,800.36176,800.12787,800.0629,800.2525,800.9867,802.05
2025-11-11 00:52:32+00:00,2025-11-11 00:00:00+00:00,806.5096,805.81165,806.1807,806.14935,805.925,807.2557,807.60297,806.38654,805.90826,805.7005,805.6376,805.44885,805.5154,805.4395,805.7231,807.9356,810.8195,811.8299,813.0598,812.53925,812.328,811.7258,810.88586,810.15985,808.63855,808.91345,809.02954,808.87213,808.5866,807.95416,807.91925,807.66174,806.8391,806.8538,807.0091,806.6834,805.67334,805.4564,805.85126,806.4778,809.1776,810.1246,810.6789,807.37024,806.4523,806.1174,805.9345,805.6184,805.4219,805.9383,806.5731,807.0969,807.23926,807.2081,807.1313,807.35364,806.9772,807.01276,806.82355,806.99945,807.1588,807.62024,808.35376,809.36176,809.49725,809.0232,808.64276,807.6155,806.686,806.4557,805.9849,805.7893,805.759,806.0703,806.12885,806.2139,806.0585,805.4557,805.3128,805.21674,804.90015,804.82056,804.1999,804.00793,804.0067,803.8487,803.7691,804.4262,803.87103,803.09235,801.92126,799.9943,798.9977,799.4666,798.93884,798.715,798.5828,798.6946,798.10443,798.1022,798.04004,797.9376,797.7598,797.5516,797.4407,797.50775,797.27356,797.40204,797.451,797.49084,797.7476,798.0624,798.3801,798.68146,798.6902,798.4751,798.10724,797.94727,798.05365,798.36194,798.69385,799.09454,799.6328,800.05414,800.3752,800.6306,800.7602,800.7636,800.6841,800.681,800.8534,801.23346,801.4692,801.76624,801.99744,801.9566,801.5453,800.82794,799.9235,798.6168,797.04694,796.2224,796.5521,797.5148,798.49725,799.29626,800.1151,800.8545,801.59344,802.1735,802.6412,802.80524,802.7449,802.6656,802.4034,802.12146,802.0029,802.148,802.4577,802.5019,802.0262,801.31036,800.57104,799.9688,799.4272,799.10803,799.14124,799.4434
2025-11-12 00:53:24+00:00,2025-11-12 00:00:00+00:00,807.56476,807.60583,807.2168,807.0155,807.5567,806.0949,806.882,807.2965,807.0215,806.7127,805.67975,805.8034,806.0126,806.233,806.44934,807.27185,809.66925,810.6032,811.31934,811.0949,811.0059,810.2643,809.483,808.66345,806.56226,806.2921,805.97943,805.726,805.72595,806.53595,806.15405,805.773,805.42377,805.7261,806.0123,806.2191,806.2356,806.888,807.5728,809.802,812.14844,812.96515,812.97003,807.8164,806.90625,806.5061,806.3959,806.17255,806.1219,806.7007,807.0171,806.93134,807.1555,807.0442,806.9497,806.82355,806.82355,806.7605,806.5858,806.4911,806.57074,806.68176,807.2699,808.00574,808.1694,807.8696,807.1047,805.75415,804.79333,803.9022,803.7517,803.4664,803.4735,803.8533,804.09753,804.0712,804.1866,804.3771,804.461,804.399,804.3367,804.65564,804.323,804.3608,804.63403,805.11487,805.4211,805.88666,805.55554,805.13904,804.24677,803.3641,802.70776,802.3489,802.17816,802.3326,802.472,802.66583,802.3813,802.35657,802.23834,801.923,801.73303,801.3684,800.8913,800.90717,800.89014,800.731,800.60443,800.5411,800.5094,800.8988,800.3879,799.04926,798.10364,796.8933,795.5573,794.6878,794.5061,794.70715,794.8573,794.68243,794.44794,794.6266,795.7065,797.18494,798.26544,798.3723,797.9975,797.749,797.8522,798.1646,798.6729,799.52167,800.5655,801.34015,801.6836,801.7505,801.76215,801.72205,801.6015,801.7261,802.2287,802.89185,803.58026,804.0506,804.5366,805.00006,805.72614,806.636,807.2281,807.50287,807.4602,807.4175,807.27325,807.1281,807.04944,807.18506,807.37695,807.3882,806.93494,806.1728,805.5067,804.9731,804.4472,804.15717,804.1544,804.3312
2025-11-13 00:52:10+00:00,2025-11-13 00:00:00+00:00,806.4027,805.30414,805.2299,805.7089,805.36005,805.7261,805.5497,806.54596,806.89105,806.65894,806.4083,806.53687,807.0786,807.1428,807.5408,809.7052,812.4285,813.3093,813.3612,812.57904,811.957,811.3955,810.7251,809.7827,808.07733,807.7591,807.4518,807.2168,806.2354,806.0597,805.46936,805.10364,806.43677,806.3068,806.103,805.85187,805.99335,806.56256,806.33813,806.3043,808.23773,809.27045,809.69214,807.04663,806.14514,805.5447,805.19415,805.11053,804.95416,805.4337,805.32104,805.36145,805.27246,805.33856,805.16534,805.29376,805.19666,805.46313,805.66724,805.5468,805.6301,805.7187,806.00824,806.8543,806.62445,806.39276,806.3344,805.3893,804.8118,804.00085,803.74774,803.82837,803.8533,804.3239,804.57214,804.2778,804.37787,803.8442,803.5923,803.34045,802.84827,802.65607,802.2565,801.87286,801.6948,801.53375,801.6926,802.3229,801.83795,801.2258,801.00024,800.51886,799.1083,798.0284,797.9784,797.7574,798.0237,798.4122,798.0042,798.5268,798.0044,796.6539,796.17633,795.75214,795.7055,795.6747,796.073,796.56555,797.2315,798.1319,799.3497,800.7372,801.4756,801.89343,802.08386,802.4604,802.9116,803.49414,804.4405,805.64514,806.71564,807.70154,808.60443,809.0416,808.7565,807.9708,807.3119,806.9732,806.6988,806.51056,806.4225,806.3889,806.4102,806.6109,806.8988,807.0342,806.79486,806.42505,806.0431,805.7759,805.57367,805.37354,805.0835,804.8692,804.7657,804.90155,805.2484,805.5154,805.49335,805.34436,805.26025,805.45154,805.66174,805.8389,805.77356,805.64294,805.6896,806.1051,806.73047,807.1541,807.2163,807.0657,806.9032,806.8718,806.828,806.7003,806.30505,805.8242
2025-11-14 00:52:36+00:00,2025-11-14 00:00:00+00:00,807.57355,807.2602,806.2878,806.9612,806.88806,806.38654,805.5432,805.816,805.49896,805.3728,805.02386,804.43567,804.19763,804.1471,804.4985,805.8682,808.6984,809.4974,809.79364,809.5095,809.2118,808.7175,808.2486,807.1971,805.15894,803.77844,803.2949,803.4686,802.9904,802.73083,802.6716,803.977,805.47723,804.9178,804.85223,804.27246,804.5746,804.7541,804.86633,806.0821,808.9373,810.2241,810.2545,806.3756,805.6629,804.7924,804.09283,803.5463,803.67633,804.0797,804.6609,804.7801,804.13544,802.84,802.54004,802.6681,802.38403,802.529,802.3537,802.2587,802.46564,802.64087,802.784,803.0309,801.858,801.30914,800.56775,799.1887,798.43774,798.22845,797.45685,796.87134,796.55756,796.144,796.27905,796.2478,796.4634,796.43365,794.7331,794.1648,793.5265,793.6553,794.1175,793.9271,794.4953,795.064,796.6537,797.96155,798.4899,798.96515,798.6772,798.41266,798.93054,799.37573,799.32935,799.36584,800.68304,802.005,803.1021,803.34814,803.5741,803.2395,803.1246,802.54364,802.033,801.8372,801.6032,801.7183,801.59595,801.61957,801.74396,801.5741,801.2533,801.045,801.02295,800.47186,799.7695,799.2647,799.0699,799.10504,799.18585,799.49817,799.9272,800.32355,800.5751,800.6678,800.7935,800.7935,800.7143,800.56946,800.3393,800.04266,799.84436,799.9828,800.2203,800.2402,799.7784,799.05005,798.2999,797.41754,796.40454,795.6403,795.32544,795.25256,795.3841,795.79724,796.34247,796.6956,796.598,796.2622,795.8802,795.51996,795.03516,794.66327,794.1783,793.72723,793.5695,793.829,794.46045,795.24866,796.2459,797.38947,798.1675,798.4397,798.3874,798.3587,798.46277,798.58844
