forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:09:17+00:00,2025-11-05 00:00:00+00:00,7.9932976,9.983106,6.2145634,11.252519,10.390226,4.2136917,12.074766,12.475961,14.386494,16.676977,15.277749,11.384198,12.57426,9.028754,7.072878,8.534353,9.360001,9.339208,10.00256,17.026896,17.651016,15.517629,13.202726,6.28713,0.35999998,3.2599385,6.725354,12.287555,4.829907,19.881649,29.522196,29.738703,26.405453,24.819122,19.008545,15.542662,15.84409,12.261158,13.698934,11.874544,16.279802,15.077082,17.0763,4.6800003,6.519877,9.0,16.62249,12.261158,11.542478,15.815435,9.693296,6.6087217,9.178235,8.534353,7.69592,7.5170207,9.19939,9.793058,10.239453,9.0,11.043261,10.390226,9.6932955,5.815978,0.8049845,8.12197,9.779817,7.928178,7.072878,7.628263,8.766573,9.114471,6.2145634,9.585739,9.826088,9.511088,10.00256,10.829958,11.269782,10.495713,15.034041,17.902534,21.129885,20.478907,18.289274,17.414476,13.324863,11.252519,13.556282,8.557102,8.435069,7.0911775,3.5455887,2.6208394,2.5455842,5.634891,16.179985,10.594036,7.2,5.4477882,7.6367526,7.5942073,6.2145634,6.379216,6.1305785,6.297428,5.8048253,3.8939953,3.671294,3.319036,1.835647,5.1919937,7.208994,8.647496,11.367109,11.874544,11.384199,9.904906,7.072878,3.2399998,1.484318,3.8773184,7.2805495,9.746631,11.183201,11.885453,12.605142,13.324863,14.05845,14.77755,15.137133,15.496736,15.496736,15.137133,14.440443,12.964998,9.47012,6.4096174,6.379216,7.5599995,8.311245,8.28,6.9527545,6.792466,9.0645685,11.165805,12.682018,13.849476,14.561099,14.512064,14.830076,15.158522,15.158522,15.496736,15.856356,15.84409,15.84409,15.84,15.4800005,14.417988,12.074766,9.028754,6.618519,4.73506,4.6102495,5.1919937,2.4149535,4.6800003
2025-11-06 00:53:12+00:00,2025-11-06 00:00:00+00:00,6.489992,5.4833565,6.489992,12.904882,13.009903,12.313893,31.698402,29.44307,18.1041,9.931042,17.026896,36.35109,35.945957,35.543507,33.672993,33.75756,36.258274,36.102455,33.202072,33.00436,33.58821,34.838253,35.80507,34.477398,34.366333,40.35213,43.498962,43.85651,35.68542,18.214718,18.11841,11.879999,11.631956,15.617529,10.703569,11.165805,11.901798,13.207634,30.096085,36.57501,40.03938,43.956867,45.05181,6.6087217,5.634891,5.4477882,3.7064266,7.0911775,4.379589,8.905908,10.948973,11.966954,15.03835,16.595179,17.227419,18.584509,21.791153,28.551426,34.2,35.64182,33.887836,29.528778,27.36947,25.56,23.78453,24.216522,20.780453,13.779114,11.090103,9.178235,7.9526596,7.5685663,5.1919937,3.4152596,9.422101,9.531505,8.12197,6.849467,6.297428,5.8603754,3.6,2.0364676,1.9386592,1.5273507,2.5959969,1.9386592,3.0758414,5.4833565,8.209263,11.252519,11.620809,13.684735,14.05845,12.324414,9.904906,8.217153,2.7416782,5.1544156,5.7599998,7.2805495,7.92,10.446206,9.3669195,11.901798,13.339445,14.417988,15.137133,15.496736,15.856356,16.215992,16.23596,14.081478,10.464798,9.220499,10.685391,11.269782,11.753877,11.384198,11.019764,11.966954,13.684735,14.77755,15.158522,15.546833,15.941944,15.986595,16.343367,16.65754,16.981165,16.954432,16.23596,15.546833,14.869351,14.869351,15.226764,14.471821,11.542478,7.5942073,5.6920996,7.24486,10.630672,12.074766,10.495713,7.342588,6.519877,9.255571,13.358861,15.978486,15.725037,14.345898,13.32,13.32,13.5515,13.797913,13.627795,13.493999,13.397612,13.397612,13.493999,12.429127,9.47012,5.3999996,2.0991426,2.3051248,5.154415,6.489992,5.0142193,2.3051248
2025-11-07 00:52:20+00:00,2025-11-07 00:00:00+00:00,28.664682,41.1425,45.40141,40.60347,36.997772,41.8855,34.711544,27.74103,13.5515,12.7279215,1.609969,25.570139,16.418526,11.792404,9.6932955,11.019764,15.021105,21.42227,29.655787,34.743263,40.729347,38.803257,41.90406,41.230606,39.763298,43.56595,46.193768,46.220413,43.63283,43.38112,34.651752,39.37353,35.68542,37.169018,41.266743,46.867798,49.45121,51.2466,49.15022,49.74387,49.02481,45.92364,35.036713,8.707237,7.172949,5.495161,9.511088,8.557102,7.2359104,12.599998,7.9036193,1.9386592,10.538843,7.8625183,4.8433046,4.5536795,4.8433046,4.452954,5.2416787,5.1544156,5.8048253,4.452954,4.379589,2.9024127,8.669949,10.948973,11.542478,12.24,11.874544,11.177405,11.090103,7.628263,4.68,5.5887027,8.4042845,8.669949,8.707238,9.3876505,10.464798,11.165805,12.620554,13.698934,15.137133,14.77755,15.137133,15.517629,16.23596,14.044615,11.013882,11.885453,12.738099,11.183201,10.990322,11.480557,10.587918,9.449572,14.764389,16.299694,16.343367,17.414476,17.771753,17.462784,17.698677,19.493261,17.373497,16.343367,15.905319,15.876775,16.65754,17.518356,18.448023,18.416384,16.199999,14.830076,10.594036,9.904906,10.315115,10.805998,10.587917,11.5199995,12.849528,13.708391,13.979871,14.264361,14.264361,13.910169,13.556282,13.493999,13.797912,13.75558,13.75558,13.75558,13.397612,12.6462,11.570515,9.3876505,5.8048253,1.484318,2.16,4.5536795,6.297428,6.4096174,4.1046314,2.0991426,4.6938252,7.208994,9.746631,11.183201,11.885453,11.879999,11.885453,12.245294,12.24,12.599999,12.959999,13.684735,13.684735,13.698934,13.363711,11.542478,7.208994,2.3051248,3.8939953,5.00128,5.506941,5.8048253,5.495161,6.12
2025-11-08 00:48:00+00:00,2025-11-08 00:00:00+00:00,10.1376915,19.803272,14.512064,13.104198,22.065973,25.455843,23.933907,33.617138,40.633778,40.5907,41.266743,47.867813,44.676273,45.05181,42.4861,41.760002,46.84982,44.52663,29.478264,11.792404,3.563818,1.4399999,2.2768397,5.0142193,18.218275,15.530151,15.175612,9.693296,10.00256,13.513193,12.819235,11.4862,10.1887,8.766573,12.819235,14.480773,10.495713,9.83268,11.384198,10.97262,11.659777,12.287555,12.641076,12.261158,12.429127,12.9249525,10.805999,8.225035,3.6,3.319036,4.3349743,5.771239,7.2359104,8.647496,9.0645685,11.183201,10.446206,11.901798,12.979984,14.081478,13.339445,14.440443,14.799459,12.24,8.654986,7.9932966,8.311245,7.69592,6.924738,5.937272,5.95906,7.5685663,13.324863,14.830076,15.5843,15.629972,15.683776,15.5843,16.299694,15.5843,14.869351,14.759999,14.05845,14.264361,14.05845,13.708391,14.799459,13.202726,9.028754,9.605998,10.233123,11.384198,12.096214,15.986593,20.037485,13.698934,12.758432,15.281989,14.345898,10.24578,10.587917,12.0694,12.413476,12.496719,13.202726,13.910169,13.979871,13.849476,13.441071,12.7279215,12.324414,7.9932976,1.1384199,6.849467,9.746631,10.823973,10.086427,7.92,4.452954,2.2768397,5.634891,8.4042845,10.805999,12.7279215,13.493999,13.441071,13.397612,13.363711,13.698934,13.698934,14.05845,14.081478,14.081478,14.113653,13.75558,12.324414,8.647496,4.0249224,2.4149535,3.7064266,5.8603754,7.9932966,9.504273,10.739833,12.287555,13.32,14.113653,14.561099,14.973576,15.273505,15.273505,15.273505,15.328561,15.328561,15.328561,15.328561,15.328561,15.328561,14.618837,13.276144,9.693296,5.6002855,3.9763298,2.5455842,0.35999998,2.3051248,4.2136917,7.208994
2025-11-09 00:54:37+00:00,2025-11-09 00:00:00+00:00,19.245697,16.039202,9.346143,11.966954,11.212135,11.874544,9.693296,7.7043357,8.854829,10.009036,10.495713,10.383987,11.183201,10.990322,11.183201,6.6087217,4.6800003,5.8048253,11.928989,13.722565,8.669949,5.634891,15.137133,10.308831,7.6367526,9.227524,7.5942082,6.830519,7.42159,11.013882,7.5685663,15.5843,18.089775,19.852295,23.576563,27.897097,25.630886,21.749481,19.011953,25.683926,27.834309,24.975283,22.415602,5.815978,5.8603754,7.289444,5.904439,8.557102,14.044615,15.5843,15.683776,16.09969,16.343367,16.981165,16.981165,16.520823,14.973576,14.332341,14.494192,13.708391,13.202726,13.797913,13.979871,12.661564,9.227524,6.2145634,6.489992,7.5685663,7.8954163,10.787993,10.1887,7.24486,10.137692,12.620554,13.910169,14.05845,13.556282,13.910169,13.493999,13.084402,12.964998,11.885453,11.928989,11.901798,11.928989,11.570515,11.542478,9.746631,6.489992,1.1384199,4.802999,7.5685663,7.208994,7.342588,7.172949,3.9763298,2.9024127,8.287822,8.350138,7.928178,7.9932976,8.64,8.707238,9.3876505,11.525623,12.605142,12.959999,12.620554,12.964998,13.004921,13.039754,11.183201,5.5887027,4.2136917,5.95906,6.1094027,5.0142193,3.96,2.7416782,1.484318,3.219938,5.771239,9.0645685,11.440978,12.313893,12.0694,12.181625,12.522619,12.758432,13.009903,12.57426,12.144331,11.367109,10.948973,10.239453,9.255571,7.24486,5.904439,7.0911775,10.383987,15.782622,19.881649,21.38897,21.638964,21.382906,19.8,18.057508,18.161278,20.870687,24.821732,25.537172,19.930477,11.525623,5.7599998,5.3999996,7.6367526,7.8625183,3.6,4.829907,9.114471,10.446206,9.9571085,8.217153,5.0142193,7.386582,11.770403,12.9249525,12.24
2025-11-10 00:55:44+00:00,2025-11-10 00:00:00+00:00,11.043261,9.178235,6.696387,12.819235,13.608762,15.530151,18.59845,21.707731,22.148045,23.177402,23.219301,24.826952,26.89419,25.952478,25.068514,22.19773,23.068108,21.485697,21.166653,19.174856,17.555307,16.171976,16.87398,14.205182,13.138765,17.163355,5.634891,23.675303,28.174456,31.526215,30.49818,33.092598,25.364037,22.461807,24.923338,22.553936,17.727943,16.263872,20.696085,17.31746,25.364037,28.961546,27.07669,9.565437,9.178235,11.620809,10.931203,8.049845,11.165805,13.084402,13.708391,12.429127,13.004921,12.979984,12.245294,11.901798,12.620554,12.261158,11.901798,12.287555,11.901798,11.542478,11.570515,9.114471,4.896529,2.3051248,3.319036,6.162207,6.28713,5.991594,5.0142193,3.5455887,5.2416787,9.028754,9.007196,9.726665,10.464798,10.823973,11.183201,11.570515,10.853866,11.5199995,12.24,12.261158,13.084402,13.138765,13.493999,10.594036,6.151683,5.315336,4.452954,3.319036,5.0528407,8.473393,9.360001,5.154415,3.4152596,10.182337,10.390226,10.390226,10.661107,11.090103,11.792404,12.144331,11.874544,11.874544,11.966954,12.224107,11.620809,11.503113,12.57426,10.144082,7.42159,8.209263,9.826088,13.479583,18.391737,20.898613,18.11841,13.18308,9.585739,9.957108,12.879752,15.256526,14.587776,12.57426,10.853866,10.308831,11.681987,13.755579,15.856354,17.673029,19.164717,19.008547,18.11841,17.654688,18.057508,18.847641,19.469976,20.421871,21.915691,22.26477,19.862083,16.279802,14.81259,16.1198,19.008545,20.65848,20.150354,18.668005,16.992609,15.496736,14.182355,13.207634,13.009903,12.9249525,12.496719,11.304229,9.3876505,7.6367526,6.297428,7.0911775,9.0645685,9.726665,9.47012,8.707238,7.2805495,6.638072
2025-11-11 00:52:28+00:00,2025-11-11 00:00:00+00:00,30.77737,26.00486,23.993399,22.077717,31.65135,29.175552,24.826952,20.767975,25.0064,30.068083,29.655787,21.915693,14.869351,16.981165,14.917212,15.716793,20.188908,19.881649,26.42753,27.959743,28.082308,26.574244,26.89419,25.44566,21.485697,14.241629,10.594036,10.805999,13.849476,17.057314,17.309973,12.641076,7.42159,6.28713,4.6938257,0.5091169,2.4149535,11.525623,11.609651,9.793058,8.311245,11.659777,16.92383,6.2145634,5.692099,5.495161,5.00128,3.096837,5.4833565,9.826088,9.726665,9.746631,9.422101,10.086427,11.159999,11.885453,11.901798,12.287555,12.245294,12.6462,12.287555,12.429127,12.429127,10.594036,6.0347,3.5455887,5.6233797,5.0911684,4.896529,6.193674,6.696387,4.0249224,4.379589,10.538843,11.609651,11.304229,11.367109,11.609651,11.659777,11.659777,11.659777,12.371645,12.429127,11.966953,12.015589,12.074766,11.659777,9.47012,5.0142193,3.096837,5.495161,6.725354,9.605998,9.793058,8.287822,4.379589,4.2136917,8.4042845,9.531505,9.9571085,11.928989,12.287555,12.261158,12.324414,12.682018,12.324414,12.261158,11.879999,9.007196,8.64,7.628263,6.28713,2.8116899,5.8048253,7.4128532,9.0645685,11.013882,11.770403,10.1887,6.8777895,5.2416787,5.4119864,5.937272,6.489992,6.763786,6.792466,6.696387,6.638072,6.618519,6.8777895,7.386582,8.161764,8.404285,8.39657,8.557102,9.0,8.905908,8.854829,8.39657,7.5170207,7.6367526,8.225035,7.968939,7.2359104,6.849467,6.12,5.0911684,4.6800003,4.8965297,5.6233797,6.763786,8.473393,10.823973,12.24,12.245294,11.165805,10.105681,10.182337,10.661107,9.6932955,5.634891,1.835647,4.6800003,5.154415,4.072935,3.4152596,2.8799999,2.3051248
2025-11-12 00:53:20+00:00,2025-11-12 00:00:00+00:00,15.7908325,10.1376915,9.693296,9.0645685,7.342588,3.8939953,1.4399999,1.8,7.0911775,10.041354,12.371645,7.5685663,5.0528407,9.449572,1.0182338,10.587918,9.449572,4.3349743,4.802999,9.726664,11.384198,7.289445,6.0347,10.799999,8.669949,8.161764,6.5693827,6.151683,4.198285,4.072935,6.489992,11.298495,10.365251,5.937272,4.452954,5.634891,4.1046314,5.3999996,5.2416787,2.52,5.4119864,22.657131,24.826952,1.08,1.8,3.219938,5.2416787,3.319036,5.4477882,10.661107,11.367109,11.440978,11.440978,12.074766,12.324414,13.084402,13.397612,13.441071,13.441071,13.797912,13.493999,13.441071,13.556282,10.948973,7.172949,4.198285,5.3999996,7.9036193,4.73506,4.6800003,5.95906,4.6938252,4.0249224,8.647496,10.446206,11.159999,11.525623,11.885453,12.245294,12.24,11.901798,12.599999,12.964998,12.245294,11.901798,11.885453,11.885453,9.72,2.5455842,5.2416787,5.0528407,7.2805495,8.209263,7.628263,5.937272,2.1897945,5.771239,9.72,10.086427,10.823973,11.165805,11.183201,10.805999,10.823973,10.464798,10.440001,9.746631,9.3876505,9.3876505,8.311245,7.6367526,4.1046314,4.5536795,6.9899354,11.183201,10.30883,10.144082,10.446206,5.3999996,8.942214,14.618837,12.496718,7.4128532,4.802999,5.1919937,5.3999996,5.904439,6.4096174,6.489992,6.792466,7.729527,8.699793,9.227524,9.449572,8.905908,6.924738,2.2768397,4.8965297,9.659814,11.503113,11.874544,11.659777,11.252519,10.105681,8.647496,7.208994,5.5887027,4.510787,4.1046314,3.8268526,3.0547013,1.484318,1.835647,3.2399998,3.6179552,3.7585104,3.8773184,4.2136917,4.2136917,3.0758414,0.8049845,4.32,7.5685663,9.3669195,10.086427,9.3669195,6.489992,1.9386592
2025-11-13 00:52:06+00:00,2025-11-13 00:00:00+00:00,9.360001,6.439876,3.7064266,5.904439,5.04,2.0991426,6.379216,6.379216,5.8603754,7.5170207,6.28713,5.6920996,3.4152596,1.08,6.6087217,6.151683,3.396233,15.844089,23.110205,20.858265,20.46941,19.721298,17.533146,13.708391,6.725354,10.805998,5.315336,10.799999,10.315115,10.636766,10.587918,11.090103,11.246759,14.57889,15.575981,14.693999,13.608762,13.608762,14.77755,10.703569,2.0991426,16.075521,18.218275,7.5942082,6.9899354,6.8399997,6.638072,3.219938,7.208994,11.165805,12.245294,11.901798,12.015589,12.371645,12.287555,12.620554,11.901798,12.245294,12.605142,12.24,12.245294,11.928989,11.183201,9.028754,4.0249224,5.8603754,7.208994,7.0911775,8.217153,6.6087217,4.0249224,1.8,6.12,9.47012,10.105681,11.183201,11.212135,11.570515,11.183201,11.525623,11.212135,10.853866,10.182337,10.239453,10.308831,10.239453,9.9571085,7.172949,3.6,7.127636,9.931042,11.480557,10.315115,11.367109,9.779817,8.12197,5.3517847,2.9024127,6.763786,9.885262,3.6,1.2979984,6.297428,5.904439,7.5170207,10.182337,10.1376915,8.28,7.2,7.5942073,7.92,4.68,2.3051248,6.489992,8.707238,10.823973,11.5199995,11.212135,9.107359,6.618519,5.506941,4.510787,5.2416787,7.2359104,7.69592,6.9899354,6.638072,6.638072,6.924738,7.2805495,7.6367526,7.6367526,7.6367526,7.2805495,6.924738,5.1544156,1.2979984,4.32,8.311245,10.182337,10.661107,10.137692,7.8954163,4.5820518,2.9024127,3.7064266,5.7599998,7.69592,8.311245,8.373386,8.217153,8.699793,9.227524,9.346143,8.905908,8.12197,7.342588,6.9899354,7.072878,5.3517847,1.2979984,5.04,9.3876505,11.5199995,11.966953,11.720751,9.779817,7.2359104
2025-11-14 00:52:31+00:00,2025-11-14 00:00:00+00:00,7.127636,11.119281,6.618519,6.2145634,6.87779,7.42159,5.3517847,1.08,9.673221,13.237038,12.738099,12.57426,12.783802,7.7879906,8.942214,7.5942082,5.1165614,11.525623,15.484185,18.36353,21.38897,21.316135,21.068459,19.33639,5.8048253,9.107359,5.904439,13.217443,10.233123,5.634891,14.332341,6.5693827,13.854155,10.990322,12.849528,12.879752,12.864649,11.923557,12.224107,14.618837,16.56,9.9571085,9.726665,3.6,5.6002855,3.096837,2.4149535,1.609969,5.506941,9.3669195,10.086427,10.495713,10.1376915,9.0,7.2359104,7.5685663,4.0249224,6.130579,8.311245,8.707238,8.311245,8.707238,9.0645685,6.519877,0.8049845,6.130579,9.726665,11.542478,11.304229,10.587917,9.339208,7.5942082,2.52,5.8048253,6.439876,5.3517847,8.049845,8.12197,10.390226,4.6938252,4.198285,3.7064266,1.484318,3.671294,3.563818,4.1046314,3.0758414,1.1384199,3.219938,6.6185193,10.390226,11.885453,13.084402,13.708391,11.726277,9.19939,6.696387,6.297428,6.725354,6.87779,7.42159,5.315336,3.219938,2.968636,2.968636,1.835647,1.1384199,1.1384199,2.2768397,2.5455842,2.9024127,3.096837,5.3999996,7.8625183,11.885453,12.605142,11.901798,10.823973,8.647496,6.151683,4.3349743,2.5959969,1.9386592,2.6208394,3.5455887,5.6002855,6.696387,6.193674,4.6102495,3.319036,2.3051248,1.1384199,0.5091169,1.2979984,3.0547013,4.39436,6.28713,8.473393,10.182337,10.8955765,10.8955765,10.594036,10.041354,9.227524,8.534353,8.0899935,7.289445,5.991594,4.1046314,3.219938,3.4152596,4.3349743,7.628263,10.948973,12.015589,12.074766,11.792404,11.090103,10.041354,8.905908,7.6367526,6.489992,5.3517847,4.5820518,4.802999,5.0528407,4.39436,6.162207
