forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:10:37+00:00,2025-11-05 00:00:00+00:00,15.4055,11.7055,11.0555,10.3555,9.5555,8.4055,8.3555,8.3055,7.8555,7.2055,6.4555,5.2055,5.5055,5.6055,5.0055,4.7055,8.4555,11.6055,14.9055,16.7555,19.7055,20.8055,20.3055,19.0055,16.1055,12.6555,10.9555,9.9555,10.5055,10.0055,10.1055,9.7555,8.4555,7.9055,7.3055,6.9555,7.6055,7.9055,6.7055,7.1055,9.0555,11.4555,12.0555,14.478,15.228,15.6779995,14.877999,13.6779995,11.6779995,9.627999,8.078,7.328,6.7780004,6.228,5.6280003,5.0280004,4.278,4.028,3.0279999,2.428,2.078,1.778,1.678,4.678,6.178,7.578,9.078,10.377999,11.278,11.778,11.778,11.278,8.228,6.678,6.2780004,5.8780003,5.678,5.478,4.828,4.528,4.578,4.978,5.078,4.178,3.9780002,3.7280002,4.228,6.0280004,7.8780003,9.528,11.127999,11.978,12.328,12.627999,12.6779995,12.328,9.328,8.6779995,7.078,5.978,5.5280004,5.078,4.428,4.1280003,3.7779999,3.3780003,2.828,2.578,2.078,2.078,1.8280001,3.9780002,6.3780003,8.128,9.578,11.028,12.127999,12.528,11.6779995,10.078,8.628,7.6280003,6.7780004,6.078,5.578,5.228,4.928,4.578,4.278,3.9780002,3.578,3.1280003,3.1280003,3.6280003,4.478,5.7780004,7.678,9.978,11.978,13.627999,14.9279995,15.328,14.228,12.228,10.478,9.478,8.728,8.128,7.578,7.178,6.7780004,6.328,5.8780003,5.5280004,5.1280003,4.828,4.828,5.178,5.7780004,6.928,8.9279995,11.478,13.528,14.978,15.978,16.178,15.028,13.078
2025-11-06 00:54:44+00:00,2025-11-06 00:00:00+00:00,14.8555,12.4055,10.6055,9.9555,8.9055,8.8555,8.155499,8.1055,8.3555,7.9555,7.2555,6.9555,6.8055,7.1055,6.2055,6.2555,7.5555,10.2555,11.6555,14.1055,14.0055,14.3555,14.2055,13.7055,10.7055,8.3555,7.3055,6.0055,4.8055,3.9055,3.6555,3.0055,1.8055,1.1555,0.6555,0.005499989,0.1555,-0.1945,0.005499989,0.6555,3.8555,6.4055,9.1055,9.278,10.978,11.978,12.127999,11.478,7.6280003,6.828,6.3780003,6.078,5.828,5.3780003,5.228,4.578,4.1280003,3.4780002,3.2779999,3.0279999,3.178,3.2280002,3.2779999,5.0280004,7.928,9.877999,10.828,11.278,11.478,11.828,12.078,11.9279995,8.1779995,7.6280003,7.8780003,5.928,5.428,4.678,4.328,3.928,3.328,2.8780003,2.328,2.078,1.628,1.5280001,1.178,3.178,5.428,7.078,8.778,10.028,10.978,11.528,11.828,11.6779995,7.6280003,6.928,6.478,6.0280004,5.6280003,5.178,4.7780004,4.428,4.078,3.7280002,3.428,3.1280003,2.8780003,2.628,2.378,5.428,8.528,10.078,11.6779995,13.377999,14.828,15.278,14.127999,12.028,10.278,9.4279995,8.877999,8.478,8.128,7.828,7.478,6.978,6.428,5.928,5.428,4.978,4.8780003,5.2780004,6.078,7.2780004,9.028,11.1779995,13.078,14.828,16.278,16.778,15.528,13.228,11.377999,10.528,10.127999,9.627999,8.828,7.978,7.328,7.078,7.0280004,6.928,6.478,5.928,5.728,5.978,6.578,7.578,9.328,11.478,13.228,14.478,15.328,15.4279995,14.328,12.528
2025-11-07 00:53:50+00:00,2025-11-07 00:00:00+00:00,12.2055,9.7555,8.3555,6.9055,5.7555,4.9055,4.2555,3.6055,3.2555,2.8055,1.8055,0.9555,0.3555,0.1555,-0.14449999,0.4555,4.1054997,7.0555,9.0555,11.8555,13.7555,13.8055,13.2555,12.9055,11.1555,9.7555,7.6555,6.9055,6.8055,6.2055,5.3055,4.2555,3.4555001,3.1055,2.9555001,1.8555,1.2555,1.2555,1.4055,3.8055,6.3555,8.2555,9.3055,11.228,11.9279995,12.377999,12.127999,11.627999,9.478,8.128,6.828,6.178,4.828,4.228,3.7280002,3.328,2.9780002,2.4780002,1.878,1.428,0.97800004,0.77800006,0.57800007,3.1280003,5.178,6.7780004,8.278,9.278,10.028,10.528,10.728,10.528,7.1280003,6.228,5.5280004,5.078,4.678,4.328,3.928,3.6280003,3.328,3.0279999,2.7779999,2.5279999,2.328,2.0279999,1.878,4.978,8.028,9.627999,11.278,12.778,14.028,14.528,14.278,13.028,9.328,7.978,7.5280004,7.478,7.2780004,6.828,6.478,5.978,5.478,4.7780004,4.528,4.1280003,3.828,3.578,3.578,6.178,9.028,10.377999,11.778,13.377999,14.778,15.127999,13.778,11.4279995,9.528,8.6779995,8.278,7.928,7.478,7.078,6.7780004,6.578,6.428,6.2780004,6.078,5.8780003,5.8780003,6.0280004,6.428,7.3780003,9.328,11.828,13.978,15.578,16.778,17.128,16.128,14.328,12.778,12.028,11.627999,11.078,10.278,9.377999,8.528,7.828,7.178,6.6280003,6.078,5.6280003,5.5280004,5.8780003,6.578,7.728,9.728,12.1779995,14.228,15.728,16.828001,16.978,15.478,12.978
2025-11-08 00:49:24+00:00,2025-11-08 00:00:00+00:00,9.2555,7.5055,6.4555,5.4555,4.5055,2.9555001,2.5055,2.6555,2.9555001,1.8055,2.6555,0.005499989,-0.6445,0.9555,1.8555,3.8055,6.9055,8.4555,10.3555,11.4055,12.1555,12.8055,13.0555,12.8055,10.1555,8.4555,6.5555,5.2555,4.8555,4.5055,3.1555,2.8055,2.4555001,1.8555,1.1555,0.6555,0.1555,-0.094500005,-0.8945,-0.29450002,4.2555,7.9555,10.3055,11.228,12.127999,12.828,13.078,12.828,9.078,8.1779995,7.6280003,7.178,6.7780004,6.328,5.928,5.5280004,5.178,4.828,4.528,4.228,3.9780002,3.7779999,3.5279999,6.428,9.4279995,10.6779995,11.978,13.478,14.627999,15.278,15.1779995,13.877999,10.4279995,9.028,8.4279995,8.028,7.578,7.2780004,6.8780003,6.478,5.828,5.428,5.5280004,5.3780003,4.7780004,4.528,4.478,6.828,10.028,11.877999,13.877999,15.228,15.877999,16.278,16.378,15.728,11.028,10.127999,10.278,9.377999,9.228,8.278,7.3780003,6.8780003,6.6280003,6.2780004,6.0280004,5.478,5.2780004,5.178,4.928,7.6280003,10.9279995,12.4279995,13.877999,15.4279995,16.578001,16.778,15.377999,13.028,11.127999,10.377999,10.127999,9.828,9.1779995,8.4279995,7.828,7.5280004,7.328,7.078,6.478,5.7780004,5.478,5.7780004,6.478,7.6280003,9.578,12.028,14.078,15.6779995,16.878,17.178001,15.877999,13.627999,11.728,10.728,10.078,9.528,8.9279995,8.4279995,7.928,7.3780003,6.8780003,6.3780003,5.828,5.328,5.178,5.428,6.0280004,7.1280003,8.9279995,11.228,13.278,15.1779995,16.778,17.328001,15.9279995,13.377999
2025-11-09 00:55:57+00:00,2025-11-09 00:00:00+00:00,10.2555,7.9055,6.1555,4.7055,4.3055,3.9555001,3.7555,2.6055,2.0555,1.7555001,1.0555,0.2555,-0.044499993,-0.14449999,-1.4944999,-0.7945,3.6555,7.0055,9.4555,10.8055,11.9055,12.5055,12.6555,12.3055,9.3055,7.6055,6.9055,6.3555,5.3555,4.5555,3.9555001,3.8555,3.5555,3.2055001,2.3555,1.6555,1.4555,1.1555,0.6555,0.9555,4.4555,7.6055,10.6055,13.328,14.4279995,14.9279995,15.127999,13.828,9.627999,8.728,8.528,8.328,7.7780004,7.3780003,6.5280004,6.078,5.728,5.228,5.328,5.5280004,4.6280003,4.6280003,4.8780003,6.8780003,9.778,11.127999,12.728,14.127999,14.978,15.6779995,15.778,14.778,9.877999,9.228,8.877999,8.528,8.228,7.5280004,7.3780003,7.5280004,6.678,6.478,6.078,5.6280003,5.478,4.8780003,4.428,7.328,10.528,12.1779995,13.627999,14.9279995,15.978,16.578001,16.178,15.078,12.528,11.778,11.377999,10.328,9.9279995,8.6779995,7.928,7.328,6.5280004,6.228,5.828,5.428,5.0280004,4.728,4.428,7.078,10.377999,11.877999,14.528,16.378,17.778,18.278,17.328001,15.478,13.778,12.478,11.328,10.478,9.978,9.778,9.9279995,10.778,12.028,12.828,12.877999,12.528,12.078,11.478,10.828,10.478,10.728,11.328,12.078,13.4279995,14.978,15.228,13.078,9.6779995,6.678,4.728,3.2280002,2.2280002,2.078,2.4780002,2.578,1.978,1.0280001,0.22800004,-0.37199998,-0.92199993,-1.3219999,-1.672,-1.8219999,-1.5719999,-0.5719999,0.92800003,2.178,3.1280003,3.828,4.228,4.078,3.6280003
2025-11-10 00:57:14+00:00,2025-11-10 00:00:00+00:00,9.8555,8.3055,7.3055,6.6555,5.8555,4.8555,4.2555,3.9055,3.7555,3.2055001,3.1055,2.4555001,2.0055,1.2555,1.4555,1.1555,4.6555,8.4055,10.8055,12.9555,14.6055,15.7055,16.3055,15.5055,12.0055,10.0055,8.9055,8.0555,7.4055,6.1055,5.4055,5.1555,5.0555,5.3555,5.6555,5.6555,4.9055,4.0055,3.5055,3.5055,6.7055,10.5555,13.2555,13.978,15.1779995,15.877999,15.778,14.778,10.1779995,9.578,8.9279995,8.528,8.128,7.728,6.928,6.5280004,6.078,5.7780004,5.6280003,5.828,5.578,5.478,5.078,7.178,10.478,11.828,13.1779995,14.078,15.228,15.778,15.877999,14.828,12.028,10.978,9.9279995,10.078,9.228,9.028,7.7780004,7.0280004,6.728,6.178,5.8780003,5.578,5.2780004,4.978,4.6280003,7.328,10.4279995,12.1779995,15.728,17.878,18.428001,18.178001,18.128,17.028,13.978,13.1779995,13.778,14.278,14.278,11.778,9.778,9.528,8.628,8.4279995,7.3780003,9.377999,10.627999,9.778,8.978,8.6779995,8.978,9.4279995,9.328,8.6779995,7.678,6.428,4.728,2.7779999,1.428,1.178,1.428,1.478,0.82800007,-0.07199997,-0.8219999,-1.022,-1.0719999,-1.5719999,-3.0219998,-4.9719996,-6.322,-6.772,-6.672,-6.072,-4.672,-2.7220001,-1.0719999,0.028000057,0.878,1.178,0.72800004,-0.27199996,-1.0719999,-1.522,-1.8219999,-2.072,-2.322,-2.572,-2.822,-3.1219997,-3.4719996,-3.7219996,-3.922,-4.022,-3.9719996,-3.7219996,-3.2719998,-2.6219997,-1.5719999,-0.3219999,0.92800003,2.2280002,3.4780002,3.9780002,3.178,1.678
2025-11-11 00:53:49+00:00,2025-11-11 00:00:00+00:00,10.8055,9.0555,7.5555,7.0555,6.7055,5.9555,4.8555,4.2555,5.2055,4.8555,4.5055,3.9055,3.3555,3.3055,3.1555,2.7555,6.1055,9.9055,11.6555,14.0555,15.6055,16.5055,16.7555,15.8555,12.7055,11.0555,10.0555,8.7555,8.4055,7.9055,7.5055,6.9055,6.2555,5.8055,5.3555,5.1555,4.8555,4.5055,4.4555,4.3555,7.5055,11.3555,13.9555,14.828,15.778,16.328001,16.178,15.127999,12.578,10.877999,10.6779995,11.1779995,9.6779995,8.328,7.5280004,7.0280004,6.478,6.178,5.728,5.478,5.228,4.978,4.728,7.478,10.6779995,12.328,13.978,15.4279995,16.978,18.078001,17.128,15.627999,10.978,10.877999,9.978,8.978,8.378,8.278,8.228,8.328,8.1779995,7.928,7.5280004,6.7780004,6.228,6.1280003,6.478,8.728,10.528,12.377999,15.578,15.828,15.978,15.377999,14.877999,13.578,12.377999,11.078,10.4279995,9.728,9.278,8.578,7.928,8.328,8.528,8.578,8.4279995,8.378,8.1779995,6.478,5.328,7.678,8.978,9.627999,10.4279995,11.377999,12.278,12.6779995,12.228,11.228,10.228,9.278,8.278,7.428,6.828,6.3780003,5.978,5.678,5.478,5.228,4.8780003,4.478,4.328,4.478,4.8780003,5.578,6.828,8.4279995,9.778,10.778,11.578,11.778,11.1779995,10.028,8.877999,7.8780003,6.928,6.1280003,5.578,5.178,4.828,4.428,4.078,3.678,3.178,2.678,2.4780002,2.678,3.178,4.1280003,5.678,7.678,9.4279995,10.9279995,12.1779995,12.6779995,12.028,10.578
2025-11-12 00:54:43+00:00,2025-11-12 00:00:00+00:00,12.9555,11.1055,10.0055,8.9555,7.8055,7.5555,6.6555,5.2055,4.4055,5.0055,5.5555,4.7555,4.1555,3.9055,3.8055,3.4055,6.0555,8.6055,11.7555,13.7555,15.4055,16.3055,16.7055,15.6055,12.9055,11.6055,10.3055,9.6055,8.8555,8.5555,8.3055,8.0055,7.1555,6.9555,7.4055,7.3055,7.0555,6.7555,6.3055,5.7555,9.0555,12.4555,14.9555,15.627999,17.128,18.178001,17.078001,15.978,11.1779995,10.9279995,10.228,8.828,7.928,7.5280004,7.328,7.228,6.978,6.5280004,6.328,5.978,5.928,5.678,5.3780003,7.978,11.127999,12.627999,14.028,15.978,17.128,16.478,16.228,15.627999,10.9279995,10.578,9.528,8.978,9.028,8.628,7.7780004,7.178,6.928,6.6280003,6.1280003,5.728,5.678,5.678,5.1280003,7.728,10.978,11.9279995,12.9279995,13.877999,14.828,16.328001,16.028,14.228,10.9279995,9.478,9.228,8.528,8.028,7.8780003,7.2780004,6.928,9.228,7.428,7.228,7.228,6.478,5.228,6.578,7.6280003,8.728,7.578,8.628,8.4279995,7.978,7.578,7.3780003,7.228,7.078,6.828,6.5280004,6.328,6.3780003,6.5280004,6.6280003,6.578,6.428,6.078,5.328,4.3780003,3.7280002,3.4780002,3.578,4.078,5.328,6.978,8.328,9.078,9.528,9.728,9.627999,9.278,8.628,7.578,6.228,5.178,4.678,4.428,4.178,3.828,3.4780002,3.2280002,3.0279999,2.928,2.9780002,3.178,3.4780002,4.178,5.478,7.1280003,8.528,9.578,10.4279995,10.778,10.328,9.377999
2025-11-13 01:10:25+00:00,2025-11-13 00:00:00+00:00,11.4055,10.1055,9.0555,8.5055,7.6555,7.7555,7.7555,7.1055,6.4055,5.8055,5.5055,5.0555,4.9555,4.5555,4.1555,3.8055,6.8555,10.4055,13.8055,15.7555,17.6555,18.9555,19.1055,17.9555,14.4055,11.5055,10.1055,9.5055,9.1055,8.6555,8.6555,8.155499,7.4555,7.1055,6.9555,6.3055,6.0055,5.0555,4.4055,4.3555,7.2055,11.1055,12.4055,16.078001,17.528,16.978,17.028,15.778,12.127999,12.028,10.9279995,10.877999,10.028,9.528,9.877999,8.578,7.578,7.2780004,7.228,6.3780003,6.078,5.7780004,5.7780004,8.1779995,10.978,12.328,13.528,14.328,14.978,15.478,15.528,14.6779995,12.578,12.728,12.377999,11.978,10.1779995,9.9279995,8.6779995,9.127999,8.1779995,9.778,9.528,9.528,9.578,7.328,8.728,8.328,8.628,9.278,9.278,8.528,7.478,7.0280004,6.578,5.828,5.7780004,5.578,4.978,4.6280003,4.428,4.228,5.978,6.228,6.478,5.6280003,5.428,5.578,4.6280003,4.328,3.8780003,5.328,7.728,9.4279995,10.578,10.9279995,10.6779995,10.1779995,9.528,8.628,7.928,7.578,7.428,7.1280003,6.578,5.928,5.478,5.3780003,5.478,5.5280004,5.428,5.2780004,5.228,5.228,5.2780004,5.7780004,7.0280004,8.728,10.127999,11.078,11.6779995,11.828,11.228,10.127999,9.127999,8.478,7.978,7.328,6.3780003,5.328,4.678,4.728,5.178,5.478,5.428,5.228,5.1280003,5.078,5.1280003,5.428,6.178,7.178,8.028,8.578,8.9279995,9.028,8.828,8.328
2025-11-14 00:54:45+00:00,2025-11-14 00:00:00+00:00,14.0055,11.6055,9.3555,9.0055,8.7055,8.3055,8.5555,8.2055,8.5055,7.8555,6.7555,6.2055,6.4555,4.8555,3.9555001,5.0055,8.155499,11.4055,14.3555,16.7055,18.3055,18.6555,17.9555,16.5555,13.8555,12.0555,10.0555,9.4055,8.8055,8.7055,7.9555,8.5555,7.1055,6.5555,6.8555,6.2555,5.8555,5.5555,5.2555,5.3055,7.8555,11.8055,14.4555,14.127999,14.778,15.228,15.478,14.4279995,11.778,11.478,11.328,10.9279995,10.478,8.978,8.328,9.278,8.378,8.128,10.4279995,10.1779995,9.9279995,9.828,8.578,9.278,11.828,13.578,11.828,11.377999,13.078,12.4279995,11.328,8.778,9.278,9.578,9.6779995,9.4279995,9.127999,8.778,8.078,6.478,6.3780003,7.228,5.978,4.8780003,5.2780004,4.528,3.078,4.7780004,7.078,8.828,9.478,9.4279995,9.728,9.728,9.4279995,8.378,7.1280003,6.478,4.978,4.228,4.528,3.7779999,3.578,4.328,4.228,3.7280002,3.9780002,3.7779999,3.9780002,4.278,3.928,4.228,5.328,6.828,8.628,9.778,10.6779995,10.778,9.478,7.3780003,5.728,5.228,5.228,4.928,3.9780002,2.7280002,1.678,1.0780001,0.67800003,0.32800004,-0.12199998,-0.52199996,-0.77199996,-0.872,-0.722,-0.12199998,1.428,3.4780002,4.978,5.5280004,5.5280004,5.178,4.428,3.328,2.328,1.628,1.0280001,0.47800004,-0.021999955,-0.472,-0.872,-1.272,-1.6219999,-1.972,-2.4720001,-2.9720001,-3.2220001,-3.072,-2.672,-1.8719999,-0.472,1.378,2.9780002,4.328,5.478,6.0280004,5.5280004,4.428
