forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:09:28+00:00,2025-11-05 00:00:00+00:00,815.0571,814.8468,814.8618,815.98535,816.4886,815.3061,815.90967,816.68616,816.2798,816.79333,817.11536,818.08435,818.69165,819.7708,819.0487,821.6206,822.9884,823.97046,825.82477,825.14545,824.4254,824.0725,823.84546,822.6653,819.30304,818.35834,819.191,818.75745,817.1369,815.85077,814.90393,814.69196,814.5879,813.46747,812.79236,812.6727,812.8848,813.1196,812.97003,813.8254,815.86053,816.9543,817.72,813.2985,812.4131,811.55206,811.52045,810.089,809.33704,809.7344,810.25806,811.71466,811.9091,811.837,811.6644,811.15735,811.47797,811.62354,811.48236,811.7962,811.94415,811.85376,812.398,814.6409,815.34814,815.3779,814.8781,813.61694,812.3242,811.4942,811.6186,811.08997,809.507,809.6162,810.77124,811.37115,811.6494,811.30133,810.6999,810.5929,810.65967,810.5659,810.22723,810.02563,810.34985,811.2461,812.3447,814.1342,815.12805,815.91516,815.8045,815.2103,814.95844,815.0185,815.0236,815.6055,816.3775,818.01276,819.9897,820.2743,820.62305,822.4441,821.2316,821.8293,821.6124,822.37604,822.93744,822.8841,822.95465,823.14795,824.16034,825.8644,826.4801,826.67957,826.677,826.26984,825.6275,824.91345,824.25775,823.5984,823.0624,822.9387,822.95984,822.9035,822.6585,822.33905,821.9396,821.4743,820.9619,820.5625,820.2569,819.9843,820.1723,821.12213,822.42786,823.40234,823.6487,823.52484,823.1845,822.7607,822.10736,821.26215,819.93726,818.45465,817.4538,817.69666,818.5563,819.02026,818.77924,818.17126,817.6051,817.20764,816.7749,816.42255,815.9134,815.45337,815.338,815.7888,816.54645,817.15027,817.37177,817.4444,817.36646,817.2899,817.10455,816.858,816.2507,815.4683
2025-11-06 00:53:30+00:00,2025-11-06 00:00:00+00:00,819.19574,818.07513,818.2998,818.0818,817.4389,816.28314,814.23895,814.38,815.03015,814.54315,814.00793,813.29016,813.02216,810.9551,811.5904,813.0183,816.0515,816.479,815.94617,815.76483,815.592,815.4859,815.3981,814.7146,813.46344,814.1688,814.62683,815.4057,815.88983,816.2116,815.3669,814.3838,813.3413,812.6614,812.44086,812.00946,810.8746,810.37823,811.0751,813.6828,815.47516,816.0504,815.7142,814.47375,813.2974,812.6959,812.4638,811.3647,809.5487,810.517,810.3116,810.70276,810.6035,810.4751,810.1406,809.9416,809.67896,809.72797,809.7592,809.77704,810.01166,810.68805,812.0797,814.78394,815.57886,815.50183,815.2999,814.7756,814.38196,814.72363,815.1237,815.7289,816.4849,818.4401,819.5273,820.71014,823.1595,823.542,823.72473,824.65094,825.0099,825.5453,825.3931,825.4775,825.9799,826.5945,827.7647,829.1163,829.17255,828.6983,828.38995,827.31854,826.32294,825.9204,825.616,825.0896,824.71985,825.0143,824.9238,824.35803,824.15204,824.68335,824.14374,823.53973,822.9346,822.30945,821.89026,821.8636,822.0028,822.16016,822.6624,824.3665,825.48816,825.27997,824.63947,824.03326,823.1314,822.23395,821.1139,819.935,819.094,819.02515,819.38495,819.53375,819.2868,818.9277,818.4692,817.9612,817.51526,817.03827,816.5476,816.0252,815.89575,816.302,817.09686,817.6609,817.92914,817.9529,817.6295,816.8947,815.80566,814.8479,813.91046,812.95557,812.4882,812.8032,813.48785,814.1419,814.4517,814.7598,814.87463,814.8766,814.8453,814.8068,814.73157,814.6693,814.8872,815.6249,816.6561,817.55524,818.1392,818.53345,818.5486,818.1431,817.467,816.6465,815.51215,814.08405
2025-11-07 00:52:37+00:00,2025-11-07 00:00:00+00:00,812.2527,812.1794,811.7049,812.4359,813.4031,813.7287,813.411,814.8015,814.5664,815.10205,814.8777,811.4347,811.28986,811.7699,812.2029,813.8053,815.45935,815.8856,816.4428,816.5448,816.2944,815.4851,814.81915,814.022,811.48004,811.6331,811.1273,810.6293,810.0672,810.5421,810.4502,809.08514,809.10333,809.9518,810.92206,811.6452,811.23834,812.0684,813.369,816.1224,816.51996,817.41754,817.53125,814.95624,814.50476,814.4231,814.7322,815.3077,816.0702,817.88385,818.918,820.16364,823.1655,824.0305,824.54193,824.3089,824.55786,824.33606,824.2647,823.9275,824.4973,824.8977,825.9053,827.51874,827.98193,828.01587,827.9118,827.4287,826.62085,826.11926,825.73486,825.66144,824.5225,824.94196,824.83136,824.12415,824.0111,823.4598,823.2977,822.6202,821.9894,821.57056,820.73883,820.3729,820.36456,820.1301,820.7613,821.8162,822.1517,821.932,821.75604,820.8348,819.9799,819.4039,819.242,818.1948,816.9632,817.16974,817.2612,816.8216,816.3108,816.05066,815.6055,815.0374,814.82104,814.55493,814.48114,814.17804,814.19037,814.19037,814.4437,815.733,816.9992,817.4513,817.6461,817.3619,816.8074,816.14087,815.3852,814.4743,814.001,814.23285,814.8865,815.4394,815.7093,815.8174,815.9249,816.05066,816.0949,816.0762,815.86914,815.5159,815.66266,816.78394,818.4758,819.5298,819.66376,819.1623,818.6423,818.1431,817.4381,816.8483,816.174,815.426,815.11896,815.5678,816.3808,817.1244,817.57654,817.84875,817.9366,817.57306,816.8906,816.409,816.1128,816.0043,816.3221,817.4623,819.00214,820.202,820.80176,821.0691,820.9257,820.41235,819.6801,818.8592,818.0277,817.1264
2025-11-08 00:48:13+00:00,2025-11-08 00:00:00+00:00,810.909,810.3512,810.02997,810.2305,811.08405,811.3961,810.9585,810.8911,810.724,809.446,809.10535,810.5825,810.71136,812.389,813.24066,814.8067,816.15295,816.8133,816.417,816.15027,816.0097,815.668,815.88983,815.88226,815.9186,817.165,818.40027,819.35474,820.3389,821.3051,821.8928,820.9269,821.69586,822.2915,822.503,821.6483,819.98285,820.48315,820.91473,823.56824,824.80634,825.67163,826.1752,826.68634,826.00116,825.4804,825.2569,824.8199,824.3838,824.4556,824.3165,823.36395,822.98645,822.959,822.9834,822.353,822.19324,821.70856,821.11633,820.5573,820.29,819.77765,820.4673,821.8503,821.9701,822.04926,821.70874,820.8375,820.0405,819.48083,819.06934,817.93414,816.55597,817.42224,817.1052,816.42194,816.4148,816.0197,815.1734,814.6846,814.3323,814.0108,813.51025,813.18884,813.3123,813.1392,813.3861,815.03674,815.34186,815.57715,815.7142,815.4111,815.0268,814.9534,814.9092,814.2343,812.8263,813.06464,814.0311,814.534,814.5683,815.0545,815.3147,815.5131,815.6374,815.63055,815.54785,815.338,815.2679,815.5139,816.45416,819.3436,819.8754,819.57477,818.9734,818.224,817.2929,816.3441,815.454,814.5204,814.0311,814.3188,815.05115,815.5415,815.4756,815.1364,814.9384,814.88196,814.8872,815.0036,814.94604,814.9992,815.3652,816.43945,817.8203,818.89404,819.4208,819.61993,819.55255,819.2032,818.61084,818.00977,817.2345,816.3105,815.82404,816.1368,816.89105,817.3527,817.38055,817.14716,816.9327,816.6753,816.46606,816.23694,815.9885,815.8332,815.92645,816.4596,817.18866,817.8577,818.3758,818.669,818.55914,817.8763,816.81323,815.56085,814.0937,812.4161
2025-11-09 00:54:49+00:00,2025-11-09 00:00:00+00:00,816.53375,817.3087,819.36194,820.73456,821.8726,822.0386,822.0584,822.2829,822.91284,823.56696,822.36774,821.3915,821.2323,820.6424,821.0739,824.88586,826.9884,828.17365,829.2702,828.8853,828.7843,828.1547,827.4657,826.9426,825.9955,825.75183,825.423,825.0987,824.5466,823.0932,821.64124,820.7674,820.3626,820.5277,820.6603,820.6464,820.2417,820.14246,819.9882,822.3095,824.39325,826.2119,827.07086,822.7469,821.8493,821.378,821.00946,819.736,818.2104,818.7523,818.2628,817.4676,817.072,816.34827,815.8408,815.5247,815.1282,815.04266,814.30676,813.9724,813.79364,813.9543,814.50543,815.681,816.2087,816.4377,816.7549,816.4457,815.93945,815.615,815.63043,814.933,813.7853,813.9793,813.80566,814.6986,815.3424,815.22235,815.24774,815.08636,815.14105,815.0528,814.96375,815.22235,815.4494,815.85077,817.007,818.7074,819.1089,819.3696,818.9366,818.26575,817.70905,817.2093,816.9562,816.37683,814.866,815.8953,816.1054,816.2339,816.789,817.34607,816.76953,816.9321,816.036,815.9086,815.2972,815.13,815.0735,814.99054,815.3429,817.6161,818.46533,818.32733,817.8668,817.21405,816.2639,815.39136,814.5981,813.7421,813.26843,813.37506,813.86975,814.15247,813.92096,813.5886,813.0347,812.35956,811.65344,810.8664,810.01776,809.168,808.7354,809.0024,809.5707,809.91974,809.8416,809.54,808.9082,807.77155,806.2897,805.1695,804.665,804.4668,804.292,804.28894,804.3065,804.19104,803.69165,803.00946,802.296,801.7221,801.03674,800.58014,800.1046,799.84973,799.9612,800.901,802.2145,803.241,803.5437,803.562,803.6296,804.0928,804.6363,805.0921,805.2392,805.39984
2025-11-10 00:56:01+00:00,2025-11-10 00:00:00+00:00,824.61993,823.7432,823.6462,823.2184,821.5824,819.64386,819.4726,819.2888,820.2735,820.7001,820.2675,819.70483,819.79706,820.2296,820.4276,822.9423,825.6247,827.9573,828.0662,827.7111,827.6051,826.6265,825.76544,824.34576,821.1717,819.65753,819.6647,819.04376,817.46814,816.90137,816.0083,814.946,814.3214,813.6914,813.3567,813.2995,813.92596,815.3224,815.2743,817.16016,820.11005,822.8149,823.0783,815.911,815.3837,815.4157,815.54596,814.72015,813.2297,813.7192,814.0854,814.9627,815.4955,815.3384,815.29083,815.6374,815.356,815.4183,815.7394,816.17194,816.06396,816.1503,816.8351,818.6984,819.8651,819.8704,819.2221,818.01685,816.85376,816.1928,815.80615,815.2895,814.24146,814.0904,814.5126,814.1048,813.80566,813.26855,812.8973,813.1739,813.10486,812.6937,812.71765,812.9398,812.5889,812.6137,813.3865,814.17224,814.38556,814.8293,814.4234,813.31824,812.66223,812.10614,811.77783,810.62964,809.29047,809.4086,809.2149,808.6549,808.4435,808.0712,807.9805,807.729,807.69836,807.29565,806.87244,806.5297,805.7163,805.0118,804.3368,804.47656,804.2027,803.4784,802.9943,802.0447,801.0203,800.38434,800.34186,800.67065,800.858,800.9551,800.9235,800.807,800.35406,799.7847,799.2406,798.96246,798.7102,798.6101,798.4874,798.48987,798.79553,799.6925,800.89276,802.0282,803.05023,803.97534,804.6569,805.03925,805.1866,805.34644,805.66833,806.0194,806.247,806.31836,806.3109,806.2776,806.2783,806.2672,806.35443,806.6534,807.085,807.48334,807.7951,808.15283,808.5381,809.0969,809.75934,810.2183,810.4628,810.6183,810.62915,810.54456,810.4873,810.4166,810.48364,810.4873
2025-11-11 00:52:40+00:00,2025-11-11 00:00:00+00:00,818.63007,817.6835,817.27466,817.0713,816.21954,816.08264,815.1857,814.8331,813.80493,813.18964,812.8157,813.3218,813.62274,814.65204,814.76953,816.0218,819.7645,822.1239,822.74854,822.07916,821.76263,821.0848,820.5571,819.8907,817.54236,817.0582,816.998,815.1693,815.11597,815.66003,816.4712,816.6127,816.1543,815.7741,815.91095,816.1336,816.4176,816.70874,816.73376,818.55884,821.1595,822.3723,822.3818,818.15,817.0657,816.5463,816.7747,815.6861,814.00903,814.68634,815.0289,815.3613,815.7242,815.47144,814.7931,815.1543,814.8058,814.252,814.1964,814.30786,814.06573,814.1071,814.94946,817.0217,817.8493,818.1218,818.0858,817.1491,816.38367,816.012,815.6543,814.7879,813.5433,813.92096,813.86847,813.71356,813.9163,813.461,813.05524,813.18536,812.78613,812.4029,812.39594,811.7237,811.1426,811.0496,811.5074,813.06464,813.5237,813.2045,812.70795,811.51196,810.73254,809.4512,808.84705,807.71387,805.4319,806.4081,806.9906,806.92377,806.72235,806.2886,805.5132,805.4219,805.3612,805.3306,805.1285,805.1978,804.96466,805.23663,805.6496,806.7729,807.90546,808.40155,808.2043,808.0075,807.5474,807.1709,806.78296,806.49786,806.42755,806.9619,807.80347,808.3043,808.05066,807.44366,807.0198,807.1753,807.5275,807.91034,808.20105,808.5224,808.92413,809.59753,810.40094,810.8706,810.8818,810.55743,809.8964,808.65796,807.1617,806.2531,806.36615,807.1502,808.04626,809.10187,810.2989,811.2228,811.6529,811.76465,811.71844,811.3388,810.6862,810.15894,809.838,809.69275,809.72504,810.12634,810.8944,811.3053,811.3505,811.13635,810.8333,810.3058,809.67053,809.12506,808.8056,808.5415
2025-11-12 00:53:33+00:00,2025-11-12 00:00:00+00:00,817.1623,816.26404,815.7864,816.8257,815.26526,814.53705,814.5602,814.7115,814.5632,814.7092,814.2857,815.0693,815.4161,815.3338,816.43677,818.39905,820.98395,821.4977,821.6935,821.31067,820.8687,820.22485,819.61865,818.6786,817.5589,817.70605,817.6029,817.71173,817.42865,816.9131,815.82947,815.0449,814.2254,813.61414,813.15955,813.20917,812.90546,813.18317,813.919,817.1695,820.459,822.14264,822.4744,816.7212,816.00946,815.4191,815.2407,814.5498,814.55597,815.1172,815.52203,814.9063,814.8433,814.52637,814.4343,814.28094,814.25726,814.1838,814.04175,813.9184,813.9988,813.66406,814.18964,815.9746,816.3192,816.4459,816.21765,815.2227,814.54346,813.9288,813.56116,812.5063,810.83813,811.3829,811.8159,812.2994,811.9767,811.81445,811.42975,811.3659,811.21277,811.1094,810.7336,810.46844,810.56165,811.3467,812.47144,814.0924,814.3988,814.7702,814.3896,813.30347,812.47626,812.15796,811.8985,811.16296,810.8353,811.13574,810.044,810.06165,809.5961,809.44336,809.6349,809.56226,809.29034,808.9153,808.48987,808.2558,808.07104,808.1207,808.2317,809.3388,810.1549,809.9212,809.2386,807.1803,804.3788,802.4505,802.3402,803.03296,803.7846,804.25464,804.7235,805.1218,805.2285,805.3157,805.452,806.0079,806.69183,807.089,806.9605,806.45917,806.44586,807.11725,808.20105,809.133,809.81946,810.33124,810.6278,810.63074,810.5503,810.4481,810.49054,810.60767,810.86816,811.3765,812.0135,812.4921,812.8001,812.95764,813.1923,813.5541,813.93225,814.3133,814.6983,815.05444,815.5077,816.0729,816.84674,817.41235,817.9325,818.1789,818.22754,817.78937,817.01587,816.366,815.78125,815.2784
2025-11-13 01:09:16+00:00,2025-11-13 00:00:00+00:00,817.22,816.8532,816.7431,816.4678,816.09845,816.0284,814.7017,814.0372,813.035,813.0893,813.273,813.20764,814.0496,814.3962,814.50684,816.31525,819.2387,820.9552,821.5893,821.99994,821.7702,821.36444,820.8641,819.7942,817.52844,817.07446,817.31915,815.6356,815.57465,815.1999,815.14154,815.0827,814.741,814.3078,813.9229,813.5901,812.80554,812.99225,813.31384,814.66046,816.8931,818.78107,819.42786,815.86456,815.3755,815.0346,814.7793,813.57526,811.35004,811.8462,811.7854,812.38983,812.7224,812.4997,812.2975,812.1867,811.8431,811.649,811.0022,810.9601,811.09766,811.62976,812.39594,814.3239,815.26855,815.6647,815.4661,814.48285,813.5921,812.91,812.5401,811.7579,809.88293,810.44446,811.2615,811.645,811.0441,810.68805,810.35034,810.2273,809.6406,809.721,809.39954,809.4184,808.9797,809.06573,809.30664,810.6677,811.48615,811.429,810.5097,809.2324,807.68335,806.6324,805.5245,804.8704,803.89465,804.7469,805.4439,803.8551,804.5158,804.7405,803.587,804.2761,804.12213,803.7706,803.4435,804.1793,804.5966,805.5092,807.2261,808.7136,809.8178,810.79865,810.83075,810.795,810.51733,810.19415,809.8832,809.4586,809.3267,809.7192,810.48126,810.9981,811.10986,811.0401,810.8875,810.8443,810.7505,810.71906,810.57355,810.37897,810.5712,811.3906,812.51,813.4085,813.9305,814.1297,814.1402,813.7529,813.1983,812.66925,812.1595,811.685,811.4576,811.8094,812.5952,813.0267,812.885,812.5151,812.28174,812.3954,812.6191,812.7942,812.7942,812.7141,812.8724,813.4288,814.2216,814.9233,815.5914,816.2175,816.3152,815.6664,814.6824,813.8593,813.6722,813.7164
2025-11-14 00:53:34+00:00,2025-11-14 00:00:00+00:00,817.4042,815.7324,815.29016,815.68463,815.52734,814.73267,813.603,813.7816,813.83154,814.1339,814.31683,814.24725,813.79407,813.36993,813.2212,815.3458,817.4881,819.01373,819.00836,819.1041,818.84674,818.27496,818.0242,816.86664,814.2587,813.8988,813.60443,813.0184,812.3758,811.5187,810.89264,810.5315,810.227,810.016,809.6917,809.6691,810.72217,812.10785,813.3954,814.1679,816.8089,818.4573,819.6381,815.04315,814.17645,813.5452,813.22125,812.3352,811.05774,810.7784,810.91644,811.9559,811.47687,810.6839,810.6269,810.8604,809.8939,809.5419,809.5234,809.64716,809.8201,809.6841,809.67725,811.03986,811.3195,811.4484,811.089,810.039,808.64307,807.8944,807.968,807.1613,806.3453,806.27277,806.7493,805.29144,805.26263,804.7587,803.89325,804.3961,803.622,803.1966,801.9938,802.2894,802.9363,803.7071,804.5841,806.1373,807.28,808.2522,808.75836,808.6724,809.00446,809.10626,809.00446,808.7503,808.76495,809.32446,810.0916,810.5304,811.16595,811.28357,811.21014,810.942,810.7349,810.81494,810.95917,811.183,810.8144,810.42664,810.73236,812.1234,812.7824,812.79803,812.9239,812.2648,811.2981,810.45624,809.93933,809.51666,809.38983,809.7914,810.5726,810.97906,810.9131,810.58624,810.10406,809.4204,808.718,808.16754,807.93085,807.932,808.0921,808.36426,808.7951,809.0784,809.20197,809.2698,808.983,808.28204,807.2458,806.4602,805.99817,805.7159,805.5354,805.6548,806.00885,806.0905,805.8047,805.2461,804.55865,803.62726,802.56006,801.7147,801.1944,800.87054,800.9363,801.43823,802.29553,803.38165,804.7507,806.17316,807.3668,808.1419,808.6329,808.83484,808.56305,808.0118
