forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:10:40+00:00,2025-11-05 00:00:00+00:00,324.24603,340.3461,10.124612,34.159744,33.178535,158.19853,111.501495,123.23173,132.27362,135.0001,111.801476,109.98319,124.50858,152.70052,155.55606,153.43501,165.17348,173.4803,166.55138,168.4399,172.23492,195.94547,201.57137,173.99109,154.7989,152.78398,148.78166,153.43501,155.69547,196.26028,233.56905,237.77127,248.19853,274.39862,295.82092,311.3477,289.9832,273.17978,259.9921,258.0239,276.98096,289.5732,283.29858,234.24602,259.69522,328.46524,10.007925,37.405437,345.06854,242.10283,258.11136,233.13002,197.92801,196.9909,212.57405,220.0302,219.40063,217.47626,216.57312,210.1413,213.23172,220.23628,224.9999,233.97253,241.1893,244.48618,252.58194,241.1893,238.8611,279.21094,290.85452,304.69522,318.01288,188.13002,211.32863,209.7448,208.7397,210.1413,206.56499,214.8754,214.43904,223.1524,239.03632,237.52882,240.94548,241.50446,244.1337,248.19853,271.63654,308.4181,293.9625,301.13892,334.05774,38.418083,69.59004,71.20003,75.677246,70.974304,98.13002,44.999897,8.746089,7.12493,23.198618,90.0,146.3099,315.0001,243.43501,306.86996,214.69522,222.5104,218.15727,217.40543,234.16226,258.6901,264.09396,295.34613,352.23492,15.42223,25.559923,42.27363,99.46225,192.5288,219.09384,224.9999,221.34767,216.86998,212.34741,211.50421,210.96368,210.96368,210.96368,210.1413,210.96368,211.26367,214.21576,217.6943,226.54811,239.42085,247.3801,249.67677,248.83867,247.52052,250.55988,18.435053,61.389645,105.945465,198.43504,208.30066,208.7397,207.25525,206.56499,207.89717,209.93143,212.00534,214.11452,216.57312,217.47626,217.18478,216.52895,218.36752,224.9999,236.97612,246.80139,250.0168,248.6293,244.5367,222.5104,171.86998
2025-11-06 00:54:48+00:00,2025-11-06 00:00:00+00:00,151.60707,157.69374,145.30478,143.74608,142.69597,208.61037,231.95291,237.99466,227.29063,253.30067,94.39862,33.6901,34.69522,39.55964,23.198618,11.689341,289.72235,284.03625,274.52875,278.04898,285.20245,291.92184,292.6199,302.00534,329.03632,302.1957,14.620926,21.54104,355.42615,22.61991,10.491434,57.724377,64.79892,145.49142,257.73523,298.0724,299.74478,214.9921,228.81418,289.9832,268.66782,266.12155,272.4895,239.74365,239.34941,291.16132,300.52963,293.9625,259.50858,256.50424,263.41815,247.93205,248.42863,241.0491,241.99092,243.43501,255.67725,261.87,259.69522,269.09064,266.24835,266.82022,272.96088,286.6993,288.06055,291.57138,299.1675,295.82092,293.53235,296.17523,298.9509,12.99463,70.559875,87.87895,70.01681,27.758451,19.440128,32.005356,5.19435,315.0001,270.0,228.81418,224.9999,217.56866,212.73521,209.7448,206.56499,213.6901,243.43501,282.09473,310.60123,304.50858,309.28937,21.25058,30.379045,46.54811,135.0001,216.86998,217.6943,218.04709,214.69522,216.15828,212.19571,216.15828,213.23172,212.34741,212.82854,212.00534,213.2749,212.00534,211.21834,217.18478,230.82635,241.11351,251.07526,253.14151,252.18102,247.3801,239.0363,226.8476,216.38445,213.11136,211.26367,210.69965,211.70139,212.15227,213.31064,213.31064,212.90524,212.90524,214.07724,214.07724,216.02747,215.70677,216.25392,220.426,229.76372,242.7005,249.62347,245.89777,239.47037,234.60512,233.42688,229.63554,227.12111,224.9999,224.9999,223.87679,222.79738,219.40063,218.15727,215.90982,214.11452,214.11452,215.90982,217.87505,220.0302,218.65984,217.23491,217.23491,222.39738,230.44037,237.38077,244.35904,252.25523,254.05453,241.38963,164.05453
2025-11-07 00:53:54+00:00,2025-11-07 00:00:00+00:00,296.98016,281.59213,192.72435,139.39879,183.57626,265.42615,271.63654,261.6342,266.00916,270.0,100.12462,136.73567,122.00535,223.36346,246.80138,262.5687,260.72748,252.18102,281.3099,287.03784,290.72565,289.6987,290.29764,293.6294,288.71182,281.76825,285.94547,280.78424,277.59454,270.0,317.6026,278.88058,344.87595,344.05453,322.12497,292.3802,6.842679,2.0453732,325.71307,344.7448,314.0907,304.21576,313.4519,319.68597,314.06088,299.1675,310.426,20.556128,101.003494,88.264336,80.53775,84.805664,61.69934,30.465475,23.629398,360.0,235.0079,227.12111,224.9999,214.3804,209.35765,207.89717,205.01686,234.46223,7.12493,9.462248,327.26477,336.0375,339.44388,28.610369,36.86999,64.2901,97.59455,176.186,212.47118,213.17853,213.17853,214.21576,212.61923,213.17853,215.13428,214.59235,215.90982,213.6901,212.82854,214.11452,212.00534,219.40063,233.13002,244.8852,250.25307,254.24875,252.1212,249.67677,245.22488,223.60289,219.17365,213.6901,215.36255,214.07724,215.83774,215.09589,212.27562,210.25635,204.67685,208.8107,213.31064,214.8754,217.74687,215.36255,214.50858,213.6901,212.00534,219.40063,224.9999,237.65257,255.17348,265.23645,263.4803,254.74483,247.249,241.92761,237.26477,233.47105,228.65231,224.9999,221.34767,217.56866,214.69522,213.17853,212.19571,213.6901,213.6901,213.17853,213.11136,215.53777,224.9999,236.3099,244.23071,249.07542,250.64091,252.03076,250.34608,241.92761,216.86998,204.44394,209.35765,212.27562,214.3804,219.47243,221.42357,218.2902,210.57915,208.44283,209.24873,210.96368,213.6901,214.82455,215.53777,220.10085,231.34016,242.52565,248.5522,250.9743,251.56496,253.49556,266.98727,307.87503
2025-11-08 00:49:27+00:00,2025-11-08 00:00:00+00:00,297.3498,305.4171,289.23077,290.37653,268.2101,322.76508,317.91092,293.05133,288.43503,285.4787,283.17255,285.0184,288.43503,291.4478,287.928,289.23077,293.4287,298.30066,302.7352,334.1337,336.61475,63.435013,73.300674,72.89719,86.63361,99.16227,79.56258,61.821507,5.7105074,37.405437,52.594578,360.0,334.53668,336.0375,14.534496,44.999897,10.491434,11.3098955,22.61991,108.43504,194.03627,233.97253,310.60123,352.23492,9.462248,26.564985,40.030197,49.085716,105.945465,204.44394,222.5104,219.80553,216.02747,213.6901,212.61923,213.6901,212.73521,216.15828,214.15974,213.23172,210.96368,212.34741,212.34741,220.0302,234.6887,243.43501,252.1212,254.05453,242.7005,235.17543,236.97612,220.81499,216.86998,212.00534,213.31064,215.83774,215.09589,214.04597,215.53777,214.07724,214.07724,217.99878,215.70677,217.99878,223.99501,224.9999,222.87889,228.01286,234.78232,236.68936,248.19853,250.76923,268.2101,297.55273,296.09537,289.23077,263.4803,222.39738,199.35909,215.36255,215.13428,211.26367,209.7448,207.40749,211.60745,210.65059,211.26367,211.82741,209.53868,207.29948,208.88649,212.47118,229.89915,236.3099,246.19405,248.68202,247.98866,244.91644,237.0306,221.34767,202.93213,199.09358,205.64096,212.00534,213.6901,214.21576,213.17853,213.17853,212.19571,212.19571,212.19571,212.19571,212.19571,213.17853,212.61923,216.46933,224.9999,235.30478,243.43501,254.74483,264.95764,273.6913,281.88864,306.86996,90.0,153.43501,191.30989,201.4478,204.30453,208.7397,210.1413,210.69965,208.61037,208.61037,208.61037,208.61037,209.35765,210.1413,209.53868,214.15974,224.9999,239.30035,248.45895,251.96562,253.41258,250.82089,242.176,223.72705
2025-11-09 00:56:00+00:00,2025-11-09 00:00:00+00:00,122.90524,84.68555,66.37061,44.999897,360.0,25.559923,26.564985,357.3975,347.4712,349.69522,33.111355,40.601215,3.5762644,32.005356,26.564985,7.12493,327.99466,285.25516,308.15726,330.25522,333.43503,59.03632,98.42689,104.5345,105.06854,111.801476,126.384445,156.50142,151.38963,143.74608,90.0,77.4712,82.875084,146.3099,224.9999,206.56499,99.46225,108.43504,173.6599,141.34016,262.8751,324.46225,341.99573,254.47583,237.99466,226.12321,216.86998,216.15828,214.9921,210.96368,211.86594,212.9694,211.60745,213.6901,210.73541,209.0545,208.92633,212.57405,215.70677,212.15227,213.2749,219.80553,218.41809,223.87679,234.09018,240.94548,244.91644,248.5522,237.99466,221.90585,275.19434,307.18478,234.46223,218.991,209.0545,205.82094,205.8663,214.15974,214.69522,214.15974,211.82741,209.53868,213.6901,209.7448,213.17853,214.21576,214.21576,218.991,228.01286,238.39255,242.52565,251.56496,253.81071,255.96373,245.37645,218.15727,198.43504,211.60745,215.21768,210.57915,209.24873,212.47118,212.61923,216.46933,216.86998,216.86998,218.65984,218.65984,214.15974,215.13428,213.23172,216.86998,232.12495,241.38963,245.05612,247.5572,249.04414,246.64441,237.09476,215.53777,198.9705,198.43504,204.77512,208.8107,210.52963,211.42952,212.90524,216.32692,217.87505,219.0355,217.34943,215.39488,213.6901,212.38066,212.47118,215.65541,226.30188,236.3099,239.53453,232.0012,219.62897,209.57774,203.10635,197.71588,197.40279,208.4741,224.9999,235.88548,237.99466,235.65384,234.94049,239.62096,246.57129,250.09616,244.39786,232.35231,220.426,221.42357,257.4712,347.4712,31.607454,50.194473,55.175446,41.82009,15.255177,350.53775,337.3801,328.24057
2025-11-10 00:57:18+00:00,2025-11-10 00:00:00+00:00,110.22495,128.65984,160.0168,128.65984,98.13002,85.76369,85.42616,74.47583,90.0,140.19447,212.00534,213.6901,120.256355,108.43504,112.38018,119.05451,243.43501,321.70978,329.8587,332.7005,325.30478,329.42084,328.39255,213.6901,143.97253,224.9999,232.59457,224.9999,123.690094,107.650215,241.69934,257.90524,292.98874,293.1986,35.537766,43.26433,338.19852,313.53125,14.036275,30.579157,360.0,298.00906,293.86017,252.42865,233.61555,251.93944,281.68933,282.99463,245.22488,201.03758,205.01686,203.42871,196.69933,202.93213,204.77512,220.81499,213.17853,213.17853,209.0545,215.75398,212.19571,209.7448,213.6901,218.991,231.009,240.94548,243.43501,240.94548,246.29735,251.99574,250.1447,234.16226,227.4896,214.69522,203.9625,207.64589,216.02747,213.6901,211.60745,214.69522,216.52895,216.52895,215.53777,217.56866,215.13428,212.73521,211.82741,217.23491,232.52374,242.35411,246.0375,246.50142,249.59003,251.56496,235.88548,227.9109,209.93143,207.69939,212.00534,213.6901,209.0545,207.18103,215.39488,216.32692,217.64769,214.9921,209.53868,209.53868,208.7397,206.56499,201.25058,209.4758,214.15974,219.2894,227.72636,228.57643,228.25731,224.9999,216.32692,205.6881,200.0373,202.67139,210.20316,218.78438,226.77144,234.6598,239.48984,238.39255,233.97253,231.91118,240.64233,264.09396,287.81897,292.1095,290.22495,289.6539,293.0255,299.74478,311.98712,329.42084,340.23273,341.80075,330.04648,303.9591,283.34872,278.6731,280.49142,282.01144,281.59213,280.954,274.76355,254.05453,233.13002,222.27362,221.18582,223.7812,227.38597,228.50363,230.59937,232.81522,239.85869,249.07542,255.5792,257.125,254.74483,254.57777,261.02747,296.56497
2025-11-11 00:53:52+00:00,2025-11-11 00:00:00+00:00,281.6336,296.56497,196.69933,183.3664,228.17992,266.42374,288.43503,26.564985,288.43503,269.01227,280.68484,315.0001,14.826528,47.489597,135.0001,84.805664,301.8274,294.77512,288.06055,292.3287,296.56497,303.6901,301.79886,300.96368,345.25638,121.75944,139.39879,150.9455,140.52757,136.8476,123.02387,132.70937,128.65984,143.13002,163.30067,127.875046,95.19434,81.86999,116.56499,115.20109,258.6901,263.04712,271.1691,251.11382,253.0091,250.64091,245.43285,242.44727,232.43134,209.0545,209.7448,213.6901,211.75943,208.61037,212.00534,210.96368,217.23491,218.04709,214.21576,210.65059,213.6901,213.6901,215.75398,217.30403,241.38963,246.19405,245.55606,244.35904,250.20103,254.53873,251.99574,253.49556,212.47118,209.0545,206.56499,205.76927,205.76927,211.26367,215.53777,218.92755,218.92755,216.25392,218.41809,216.86998,216.86998,220.426,219.40063,223.87679,236.3099,241.60707,246.16125,240.2552,240.70874,228.17992,207.95087,204.44394,206.02953,205.40767,210.69965,216.86998,217.87505,220.91429,217.47626,224.9999,222.79738,227.04541,218.04709,227.4896,212.47118,208.44283,220.10085,214.50858,220.23628,232.59457,212.27562,213.6901,251.56496,21.801476,66.801384,104.03627,121.60746,146.3099,203.9625,243.43501,315.0001,25.016869,28.442837,13.5704565,354.47253,344.2913,350.8377,10.124612,24.775122,29.054508,28.886486,28.739704,27.255245,25.90646,22.61991,15.124064,4.5139127,358.4926,1.6365454,9.16228,10.491434,352.5687,323.61554,304.28693,294.44394,282.5288,270.0,263.6599,264.55975,259.69522,244.65387,220.91429,209.0545,214.50858,227.29063,237.26477,236.3099,224.9999,218.65984,219.80553,223.02507,218.2902,205.55992,190.1246
2025-11-12 00:54:46+00:00,2025-11-12 00:00:00+00:00,20.323217,125.537766,132.39738,162.12122,146.3099,163.61038,141.34016,156.80138,171.86998,188.13002,174.80566,173.15732,155.37645,138.01286,123.6901,129.80553,169.6952,246.25049,259.46088,258.6901,272.6025,280.17545,290.72565,290.22495,93.366394,18.435053,270.0,315.0001,189.46225,189.46225,151.38963,180.0,104.03627,86.423744,126.86999,143.74608,183.57626,197.10281,240.2552,248.19853,275.7105,281.76825,280.08054,244.59233,247.1094,250.0168,257.27563,248.19853,211.26367,209.7448,213.17853,217.23491,213.6901,212.73521,211.50421,214.9921,214.11452,218.41809,217.18478,217.18478,218.41809,216.25392,214.9921,220.23628,229.39879,239.03632,239.23735,240.39565,236.3099,241.0491,239.47037,237.09476,218.65984,208.7397,212.00534,215.36255,220.426,217.87505,216.86998,217.87505,215.53777,216.86998,221.34767,224.9999,219.80553,219.80553,214.21576,218.65984,226.46873,232.3057,243.43501,245.69547,244.09354,239.47037,237.42595,223.72705,186.1154,203.9625,203.19862,212.19571,211.26367,214.69522,210.37904,215.13428,216.15828,216.15828,216.15828,216.86998,220.36446,215.53777,215.53777,209.7448,180.0,143.13002,226.97493,220.76352,217.23491,217.16455,220.60121,227.66306,235.09743,236.92932,235.71307,234.21094,234.60512,236.7251,234.86572,224.9999,213.2749,208.92633,211.60745,217.34943,222.43619,224.9999,226.08084,229.9698,236.82147,246.80138,252.18102,253.0724,244.98314,234.46223,90.0,59.743652,62.10283,71.564964,158.19853,206.56499,209.35765,210.0685,210.57915,211.60745,212.34741,214.50858,215.70677,217.74687,219.61066,221.63345,222.70937,226.12321,230.90614,235.9806,238.67136,240.75127,242.56035,241.14444,233.88057,216.52895
2025-11-13 01:10:28+00:00,2025-11-13 00:00:00+00:00,125.537766,140.44037,210.96368,15.255177,26.564985,78.6901,90.0,84.2895,101.88863,107.650215,98.97255,85.91447,90.0,113.962494,231.34016,143.13002,257.66092,263.79663,275.59924,275.59924,281.94415,277.66672,268.53122,258.6901,224.9999,160.0168,80.53775,189.46225,170.53775,111.03758,180.0,157.75093,152.59251,146.3099,139.39879,150.5242,136.33215,114.14554,117.47435,122.00535,239.9315,253.30067,253.39293,241.99092,242.04912,244.39786,242.81897,236.3099,215.3113,208.88649,210.37904,213.23172,213.23172,216.86998,215.36255,215.36255,218.15727,213.6901,220.23628,219.80553,220.81499,218.04709,215.3113,218.2902,226.63654,214.3804,223.36346,241.69934,251.11382,243.43501,228.36655,211.75943,187.12492,189.0902,216.86998,209.24873,209.98155,211.26367,208.88649,211.82741,214.15974,211.82741,216.52895,216.86998,216.25392,219.80553,219.2894,225.9391,235.6196,237.77127,239.0363,240.83249,218.48022,198.74144,202.6199,209.35765,209.24873,186.1154,204.22774,246.0375,278.61557,239.74365,242.10283,238.49579,230.19447,227.20262,214.50858,226.08084,221.49637,221.00899,218.36752,229.18501,232.12495,240.2552,240.94548,243.43501,246.3706,245.46228,236.3099,221.30852,210.73541,207.824,211.50421,215.53777,217.87505,220.60121,221.76021,222.79738,222.79738,222.70937,220.23628,218.92755,216.15828,216.86998,217.6943,221.98714,230.44037,237.65257,242.78397,247.93205,252.03076,252.55272,243.43501,223.45189,205.55992,201.03758,202.1664,204.90474,210.65059,218.36752,223.66785,222.27362,219.28938,217.6943,217.6943,217.6943,219.28938,221.98714,223.36346,229.63554,236.76828,241.78273,242.04912,236.853,228.99101,222.92996,219.3693,214.50858
2025-11-14 00:54:49+00:00,2025-11-14 00:00:00+00:00,299.0545,16.699326,348.6901,44.999897,78.6901,82.875084,81.86999,98.13002,128.65984,110.55613,96.340096,143.13002,118.442825,118.61037,127.694305,137.4896,226.8476,252.89719,257.0926,254.05453,252.58194,259.9921,264.40076,266.98727,272.86234,232.43134,243.43501,192.5288,192.99461,248.96242,333.43503,284.03625,210.96368,86.186005,153.43501,270.0,206.56499,180.0,145.0079,120.963684,213.6901,252.64589,257.34744,235.66972,238.10924,241.0491,242.87877,242.5925,218.991,209.7448,209.53868,212.82854,212.47118,213.23172,217.6943,222.13753,216.86998,223.53127,219.28938,216.86998,220.81499,215.3113,214.21576,214.9921,241.38963,228.57643,236.3099,231.58191,224.11868,206.56499,212.73521,213.94363,225.9391,194.03627,164.05453,100.619606,113.962494,235.1246,239.53453,303.02386,258.6901,232.3057,239.62096,231.009,226.33215,222.5104,218.92755,213.17853,230.38934,233.39284,231.34016,233.74606,234.34457,231.009,221.08165,204.22774,204.10223,203.02553,202.38017,218.65984,218.92755,220.76352,219.61066,214.15974,206.56499,208.30066,213.11136,217.30403,218.2902,228.36655,220.10085,223.53127,230.90614,229.76372,227.4896,224.9999,221.63345,216.6562,209.7448,199.29015,192.20045,191.9761,200.32323,207.55272,213.02386,218.2902,221.63345,221.82008,220.36446,218.991,221.98714,224.9999,228.17992,233.61555,240.94548,250.55988,266.186,291.03757,296.56497,261.2539,229.08571,216.02747,216.86998,219.55963,221.82008,219.80553,180.0,57.99466,61.389645,65.55606,77.4712,123.690094,212.00534,218.15727,214.3804,208.44283,209.0545,214.59235,219.80553,226.90913,234.46223,245.22488,254.74483,262.61404,267.3975,269.13196,268.727,257.90524
