forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:10:49+00:00,2025-11-05 00:00:00+00:00,1019.53656,1020.02606,1021.21796,1020.8128,1020.5906,1020.07806,1020.17163,1020.0666,1019.77026,1019.08405,1019.38196,1019.47205,1019.8603,1020.375,1021.2375,1021.3695,1021.19366,1020.5104,1019.42206,1018.8229,1018.4359,1018.6346,1018.13074,1018.095,1017.7756,1017.7657,1018.05286,1017.84564,1018.035,1017.744,1017.33954,1017.2331,1017.02594,1016.7424,1016.4537,1017.03876,1017.5289,1017.7593,1017.8708,1018.1885,1017.9085,1017.22375,1016.5366,1014.4704,1014.1614,1014.0513,1014.1375,1014.10345,1014.2928,1014.3906,1014.38934,1014.28906,1013.88983,1013.3937,1012.7984,1012.2997,1011.8009,1011.40436,1011.3059,1011.40753,1011.71875,1011.9374,1011.95514,1011.6731,1011.59784,1010.9007,1009.9113,1009.0955,1008.49774,1008.0979,1007.7924,1007.76874,1007.8627,1007.6678,1007.57074,1007.4685,1007.4679,1007.0682,1006.6672,1006.76044,1006.5574,1006.355,1006.3515,1006.7481,1007.14343,1007.8477,1008.17456,1008.50085,1008.4228,1007.8385,1006.85034,1006.156,1005.95135,1006.0394,1006.4171,1006.98016,1007.6622,1008.154,1008.44904,1008.74445,1008.9425,1008.94055,1009.0363,1009.4324,1009.3327,1009.3315,1009.5231,1009.8202,1010.4294,1011.1229,1011.93604,1012.4599,1012.37805,1012.09216,1011.79803,1011.69434,1011.7822,1012.1611,1013.1275,1014.4841,1015.7465,1016.81934,1017.79803,1018.57837,1019.0599,1019.3443,1019.6281,1020.0125,1020.49713,1020.98364,1021.3699,1021.85614,1022.25323,1022.76355,1023.18365,1023.4064,1023.13446,1022.5652,1021.9888,1021.6024,1021.20935,1021.1059,1021.4846,1022.15204,1022.72406,1023.20636,1023.69324,1023.9819,1024.0721,1023.8643,1023.7577,1023.5516,1023.3467,1023.2419,1023.2333,1023.3246,1023.5289,1023.95514,1024.394,1024.4313,1023.86456,1022.7952,1021.9189,1021.13416,1020.4425,1020.03955,1020.0188,1020.1876
2025-11-06 00:55:05+00:00,2025-11-06 00:00:00+00:00,1016.49097,1017.17145,1017.8564,1017.6492,1016.9372,1016.122,1016.3212,1015.81903,1016.11597,1015.71466,1016.40717,1017.0018,1017.5017,1017.7137,1017.17847,1017.01807,1016.9472,1016.56305,1015.8627,1014.96027,1014.54266,1014.55023,1014.04895,1014.4157,1014.8995,1014.9909,1014.5905,1013.8943,1013.69385,1013.1922,1012.7949,1012.39526,1011.9961,1011.8888,1011.4893,1011.88727,1012.0865,1011.9992,1012.1389,1012.0722,1011.9824,1011.09674,1010.09247,1008.7793,1008.18274,1007.7918,1007.5837,1007.3613,1007.45215,1007.6527,1007.75354,1007.45404,1007.25287,1006.8522,1006.65106,1006.4493,1006.34827,1006.14655,1006.3439,1006.7405,1007.3364,1007.9424,1008.4712,1008.6951,1008.519,1008.0353,1007.1464,1006.4524,1006.44775,1006.537,1006.8163,1007.1748,1007.6558,1007.9516,1008.35126,1008.7498,1009.0475,1009.0456,1009.2454,1009.24677,1009.33594,1009.3302,1009.4242,1009.7179,1010.212,1010.718,1011.0482,1011.3709,1011.39026,1010.9039,1010.39966,1010.98456,1011.77716,1012.2508,1012.82416,1013.9908,1015.559,1016.7239,1017.9079,1018.99286,1019.7677,1020.14374,1020.8264,1021.5159,1022.30365,1022.593,1022.88135,1023.46875,1024.257,1024.9564,1025.6744,1025.9955,1025.6205,1024.9464,1024.2661,1023.67737,1023.2812,1023.07654,1023.45703,1024.1277,1024.8019,1025.2861,1025.7742,1026.1625,1026.3494,1026.4366,1026.526,1026.5186,1026.5127,1026.6078,1026.8983,1027.3889,1027.7925,1028.1173,1028.354,1028.2919,1027.6302,1026.67,1025.6978,1024.8092,1024.0098,1023.5013,1023.4782,1023.64624,1023.82245,1023.8176,1023.92145,1023.826,1023.72784,1023.5293,1023.33014,1023.2292,1023.1267,1023.1238,1023.2157,1023.506,1023.7108,1024.0416,1024.3857,1024.3246,1023.75214,1022.87445,1021.99005,1021.1988,1020.3014,1019.795,1019.67395,1019.943
2025-11-07 00:54:09+00:00,2025-11-07 00:00:00+00:00,1013.7072,1013.5035,1014.897,1013.70337,1012.70575,1011.41064,1011.90814,1011.30914,1012.30096,1011.6902,1012.1848,1011.2837,1011.2812,1011.0951,1010.8499,1010.6812,1010.3921,1010.4829,1009.6896,1008.9032,1008.20197,1007.50085,1006.8926,1006.97455,1007.66565,1007.672,1007.27344,1007.16174,1007.0672,1006.6636,1006.4587,1006.44867,1006.5463,1006.7418,1006.943,1007.32855,1007.82404,1008.3266,1009.03766,1009.4539,1009.7712,1009.0905,1008.307,1006.64453,1006.537,1006.4241,1006.70245,1007.06683,1007.44995,1007.94366,1008.34155,1008.7426,1008.84344,1008.74445,1008.8422,1009.03827,1009.13544,1009.13226,1009.129,1009.4254,1009.82196,1010.329,1010.5603,1010.5901,1010.4076,1010.0189,1009.2224,1008.82324,1009.68994,1010.3676,1011.25073,1012.6174,1014.1703,1015.1434,1016.235,1017.2051,1017.58984,1018.07294,1018.5557,1019.2389,1019.5272,1019.81836,1020.5077,1021.19653,1022.08154,1022.87494,1023.38525,1023.4995,1023.52106,1022.94415,1022.36383,1021.87537,1021.57935,1021.77563,1022.2593,1022.82794,1023.8058,1024.3905,1025.1752,1025.2645,1025.4537,1025.3433,1025.5321,1025.724,1025.7179,1025.8134,1026.1066,1026.2021,1026.2994,1026.6166,1026.8593,1026.7977,1026.1353,1025.171,1024.1986,1023.41516,1022.6242,1022.2203,1022.39685,1022.7616,1023.13446,1023.22565,1023.1251,1022.9259,1022.5255,1022.02625,1021.72565,1021.6248,1021.6242,1021.7221,1021.9151,1022.10785,1022.3142,1022.64526,1022.9891,1023.027,1022.5545,1021.6776,1020.8921,1020.0984,1019.19727,1018.68884,1018.66907,1018.84283,1019.12146,1019.4114,1019.70764,1019.8048,1019.70026,1019.39734,1019.194,1018.99066,1018.78815,1018.685,1018.7776,1018.9702,1019.27435,1019.79834,1020.3329,1020.4665,1019.8959,1018.92426,1018.04376,1017.15485,1016.357,1015.85065,1015.92834,1016.1956
2025-11-08 00:49:38+00:00,2025-11-08 00:00:00+00:00,1007.76965,1006.762,1007.76276,1007.05774,1007.153,1006.4549,1006.6599,1005.95746,1006.1529,1005.65344,1006.3533,1006.94415,1007.43286,1008.1322,1008.4513,1008.96716,1008.7868,1008.80457,1008.40375,1007.9167,1007.51935,1007.21423,1006.80145,1007.16437,1007.84344,1008.0389,1008.63477,1009.0319,1009.5295,1009.42926,1009.3302,1009.4304,1009.3308,1009.3308,1009.7256,1010.5203,1011.2121,1011.7159,1012.603,1013.08276,1013.7842,1013.5022,1013.2176,1010.88165,1011.1711,1011.7565,1012.42755,1013.2909,1014.4651,1015.64075,1016.71716,1017.69073,1018.66644,1019.2459,1019.6303,1020.01886,1020.411,1020.70685,1021.29913,1021.7898,1022.87335,1024.0627,1024.1791,1024.4985,1024.4224,1023.94324,1023.0617,1022.67377,1022.57556,1022.3734,1022.85876,1023.5281,1024.0098,1024.792,1025.1758,1025.4586,1025.6449,1025.6368,1025.9266,1025.9193,1025.8124,1025.6085,1025.4065,1025.8014,1026.2957,1026.8115,1027.0503,1026.6935,1026.1324,1025.1704,1023.9968,1022.8081,1022.2062,1021.694,1021.96533,1021.8353,1021.92786,1021.8296,1021.73206,1021.6325,1021.13574,1020.7408,1020.34656,1020.1488,1020.14954,1019.9516,1019.9532,1020.05176,1020.34814,1020.76324,1021.21155,1021.357,1020.8858,1020.006,1019.12354,1018.23254,1017.43427,1016.9272,1017.006,1017.37616,1017.6524,1017.8412,1017.9353,1018.03174,1017.9279,1017.8258,1017.7239,1017.62305,1017.52344,1017.52405,1017.62524,1017.8264,1018.1307,1018.6374,1019.24695,1019.4616,1019.0848,1018.2121,1017.5345,1016.9504,1016.4611,1016.16223,1016.1463,1016.22144,1016.49835,1016.88385,1017.3721,1017.661,1017.75006,1017.7402,1017.6314,1017.52405,1017.4178,1017.41174,1017.7016,1018.09143,1018.59216,1019.1113,1019.7412,1019.8713,1019.3007,1018.4299,1017.5495,1016.8559,1016.1527,1015.74176,1015.8162,1016.08295
2025-11-09 00:56:10+00:00,2025-11-09 00:00:00+00:00,1007.1498,1007.9404,1008.5351,1008.6334,1009.2363,1008.43994,1008.93555,1008.63477,1008.93555,1008.8365,1009.03265,1009.7287,1010.32336,1010.72943,1010.95154,1011.3703,1011.18536,1010.9662,1011.1249,1011.6118,1011.7019,1011.9967,1012.27936,1013.25305,1014.5314,1015.80695,1017.1843,1018.05597,1019.0346,1019.4241,1019.5151,1020.2018,1020.7902,1021.17896,1021.56683,1022.45374,1023.2419,1023.84534,1024.9512,1025.1576,1025.4747,1024.7968,1024.014,1021.36707,1021.56555,1021.76056,1022.34467,1022.91534,1023.99695,1024.9802,1025.8622,1026.6461,1026.7339,1026.8196,1026.8083,1027.1993,1027.4915,1027.2871,1027.1836,1027.0817,1027.081,1027.395,1027.4414,1027.4839,1027.1267,1026.3685,1025.0914,1023.7028,1022.9065,1022.40173,1022.47534,1022.53314,1022.81866,1023.01434,1022.81384,1022.5179,1022.0233,1021.62836,1021.43463,1021.53705,1021.44226,1021.44226,1021.44165,1021.5393,1021.735,1022.0505,1022.2042,1022.2517,1021.9785,1021.19745,1019.9167,1019.1273,1018.4273,1018.2204,1018.1019,1018.2648,1018.5512,1018.6461,1018.9411,1019.0334,1019.12476,1019.12146,1019.21985,1019.12024,1018.82263,1018.5232,1018.62146,1018.6205,1018.72003,1019.0398,1019.4852,1019.6108,1019.2128,1018.6209,1018.0412,1017.44794,1016.85205,1016.44714,1016.5267,1016.89746,1017.1734,1017.26245,1017.258,1017.2539,1017.14923,1016.9451,1016.8417,1016.7379,1016.6342,1016.6304,1016.8222,1017.01447,1017.3182,1017.74274,1018.1782,1018.3088,1017.73315,1016.8532,1016.0651,1015.46674,1014.8613,1014.5496,1014.6305,1015.0045,1015.2846,1015.37506,1015.47156,1015.36835,1015.06573,1014.6637,1014.3623,1014.26074,1014.2594,1014.2579,1014.3525,1014.54626,1014.7503,1015.0714,1015.5021,1015.5279,1015.0443,1014.2552,1013.46204,1012.86096,1012.35486,1012.0478,1011.9405,1011.93195
2025-11-10 00:57:33+00:00,2025-11-10 00:00:00+00:00,1013.8784,1014.15344,1016.6309,1018.0966,1018.77057,1018.45795,1018.84467,1019.42957,1020.4145,1020.4052,1021.296,1021.6844,1021.87506,1023.08246,1023.5956,1024.2037,1024.0175,1023.7298,1023.2288,1023.2359,1023.5361,1023.8289,1024.0153,1025.1852,1026.3673,1027.3535,1028.441,1028.7341,1029.2241,1029.4158,1029.508,1029.5035,1029.3052,1029.2092,1029.0106,1029.3052,1029.801,1030.1165,1030.0383,1029.765,1029.6941,1029.0194,1028.0426,1024.3912,1023.39624,1022.892,1022.9692,1022.82574,1023.01654,1023.2135,1023.2151,1022.82086,1022.1264,1021.63385,1021.53705,1021.53644,1021.734,1021.73267,1021.7299,1021.92786,1021.92847,1022.2497,1022.6021,1022.6471,1022.17773,1021.4958,1020.3146,1019.1273,1018.52826,1018.32,1018.30115,1018.4609,1018.94556,1019.1388,1019.2333,1019.1302,1018.92645,1018.62335,1018.5209,1018.8185,1018.6173,1018.41455,1018.41205,1018.6099,1018.8092,1019.32556,1019.67004,1019.70844,1019.4361,1018.7566,1017.5664,1016.76935,1016.66296,1016.53687,1016.22144,1016.5085,1016.9834,1017.07184,1016.8615,1016.95917,1016.9525,1016.8475,1016.64496,1016.6415,1016.5387,1016.4342,1016.4305,1016.4276,1016.7245,1017.03815,1017.57385,1017.7079,1017.4349,1016.7499,1016.15466,1015.5549,1014.8491,1014.43835,1014.3199,1014.298,1014.38074,1014.3757,1014.4759,1014.3763,1014.07513,1013.5745,1013.1741,1012.8746,1012.67535,1012.47546,1012.472,1012.46814,1012.5684,1012.77496,1012.9866,1012.9019,1012.42444,1011.75085,1011.0695,1010.3765,1009.5769,1009.0712,1008.95605,1008.93555,1008.9236,1008.728,1008.4412,1008.0531,1007.6583,1007.2617,1006.7649,1006.26733,1005.76855,1005.2704,1004.57416,1003.8775,1003.47955,1003.57666,1003.8724,1004.0716,1004.07733,1003.98584,1003.7933,1003.4016,1003.0094,1002.8057,1003.0822,1003.64764
2025-11-11 00:54:03+00:00,2025-11-11 00:00:00+00:00,1024.5917,1025.0817,1026.3718,1027.6586,1028.0426,1028.3306,1029.1185,1029.0128,1028.5157,1027.1248,1027.2223,1027.2216,1027.3184,1027.8302,1028.2471,1028.8762,1028.2053,1027.3335,1026.5568,1025.9747,1025.1907,1024.5905,1023.9853,1024.2314,1024.7013,1024.4834,1024.378,1023.5782,1023.2833,1022.692,1022.49756,1022.3049,1022.11426,1022.3206,1022.32697,1022.8045,1023.1907,1023.41693,1023.8863,1023.6346,1023.678,1022.89496,1022.20526,1019.9136,1019.21674,1018.7108,1018.79034,1019.0452,1019.43024,1019.52423,1019.61957,1019.6167,1019.5145,1019.4114,1019.4088,1019.60614,1019.60455,1019.3051,1019.20294,1019.4014,1019.7972,1020.3079,1020.74677,1020.68134,1020.5126,1019.93427,1018.5509,1017.65485,1017.3514,1017.136,1017.2072,1017.4958,1017.79285,1017.88806,1017.87933,1017.9723,1017.8657,1017.64856,1017.6466,1017.34235,1017.33435,1017.12787,1017.02594,1017.2226,1017.7172,1018.32587,1018.565,1018.6991,1018.52826,1017.75385,1016.6684,1015.7697,1014.9692,1014.75726,1014.93384,1015.1939,1015.48267,1015.5769,1015.7716,1015.86523,1015.66,1015.3553,1015.05237,1014.94885,1014.7455,1014.64276,1014.8385,1014.9345,1015.5285,1015.8414,1016.2796,1016.3156,1015.8446,1015.1628,1014.4673,1013.8669,1013.3585,1013.046,1013.0273,1013.20557,1013.38763,1013.4803,1013.47736,1013.37585,1013.17346,1012.9701,1012.7676,1012.56433,1012.2609,1012.1579,1012.25183,1012.44495,1012.74896,1013.37274,1014.00574,1014.3316,1014.0429,1013.3467,1012.64874,1012.04974,1011.4481,1011.0445,1010.93854,1011.0296,1011.12415,1011.12415,1011.02637,1010.92676,1010.7211,1010.51276,1010.20886,1009.9112,1009.61676,1009.32263,1009.0263,1008.7299,1008.6354,1008.844,1009.156,1009.267,1008.8789,1008.2912,1007.6984,1007.19965,1006.7955,1006.48834,1006.47546,1006.55927
2025-11-12 00:54:57+00:00,2025-11-12 00:00:00+00:00,1023.3941,1023.2853,1023.1762,1023.07544,1022.17444,1021.4743,1021.7812,1021.6895,1021.8936,1021.79974,1021.8757,1021.97394,1022.6741,1023.0917,1023.47406,1023.82294,1023.46747,1022.5917,1021.5073,1021.11194,1020.51416,1020.0089,1019.49286,1019.641,1020.1155,1020.1062,1020.4029,1020.4029,1020.7009,1020.5982,1020.2958,1020.3949,1020.2964,1020.3955,1020.0851,1020.37213,1020.76855,1020.9817,1021.51495,1021.85376,1021.8766,1020.9938,1020.1201,1018.55414,1018.05334,1017.64465,1017.6182,1017.8749,1018.3689,1018.3632,1018.55255,1018.6428,1018.4382,1018.43463,1018.3313,1018.327,1018.12463,1018.22015,1018.3165,1018.41205,1018.807,1019.4174,1019.7572,1019.59326,1019.52325,1018.8459,1017.7589,1016.8629,1016.16223,1015.94775,1016.02155,1016.2853,1016.5757,1016.6708,1016.6661,1016.56067,1016.2551,1015.9515,1015.84796,1015.7442,1015.6415,1015.4397,1015.3372,1015.4349,1015.63184,1016.04376,1016.1812,1016.1152,1015.84265,1014.95905,1013.76984,1012.776,1012.2734,1011.9631,1011.84155,1012.00836,1012.29236,1012.385,1012.0815,1011.7787,1011.379,1010.9792,1010.8748,1010.77264,1010.5728,1010.3713,1010.26984,1010.46655,1010.963,1011.27264,1011.6093,1011.641,1011.06506,1010.18365,1009.397,1008.8005,1008.1976,1007.8876,1007.9667,1008.2387,1008.61676,1008.90796,1009.20526,1009.40454,1009.40326,1009.40326,1009.30237,1009.29987,1009.197,1009.2939,1009.38837,1009.6818,1009.9868,1010.6099,1011.3434,1011.6712,1011.1892,1010.4016,1009.70825,1009.40796,1009.20276,1009.2914,1009.56995,1010.0431,1010.5232,1010.819,1011.1223,1011.32465,1011.32465,1011.22375,1011.2219,1011.2181,1011.3126,1011.40753,1011.6994,1012.0919,1012.4939,1013.0126,1013.442,1013.66766,1013.2885,1012.7059,1012.11725,1011.71936,1011.31476,1011.2053,1011.58954,1012.1693
2025-11-13 01:10:39+00:00,2025-11-13 00:00:00+00:00,1019.618,1019.31055,1019.9047,1019.70416,1019.50494,1019.20483,1019.7006,1019.69147,1020.08826,1019.88586,1019.87823,1020.37634,1020.6703,1021.08185,1021.4259,1021.3701,1021.2984,1020.6182,1019.73755,1019.3415,1018.84467,1018.7374,1018.4321,1018.6892,1019.06885,1019.23895,1019.7211,1019.7055,1020.014,1019.8106,1019.6065,1019.7,1019.79486,1019.9855,1019.87885,1020.37634,1020.8709,1020.9768,1021.33356,1021.1635,1021.0959,1020.32184,1019.5357,1017.06396,1016.56146,1016.54736,1016.519,1016.7784,1016.96967,1016.5652,1017.0576,1016.9525,1016.6488,1016.4445,1016.14154,1016.0381,1016.034,1015.7296,1015.52625,1015.7223,1016.0171,1016.43243,1016.67584,1016.6151,1016.43665,1015.7503,1014.46027,1013.56354,1013.0615,1012.6551,1012.4368,1012.39874,1012.5875,1012.7835,1012.5815,1012.28186,1011.78253,1011.5808,1011.47925,1011.27936,1010.9805,1010.6769,1010.56934,1010.667,1011.1632,1011.6725,1012.0107,1012.14496,1011.9662,1011.18445,1009.6978,1008.8023,1008.3975,1008.38635,1008.4687,1008.93304,1009.4163,1009.80963,1010.00635,1010.00635,1009.90674,1009.9075,1009.9061,1009.8011,1009.89764,1009.79474,1009.89166,1010.1886,1010.38715,1011.0982,1011.4379,1011.96564,1012.0852,1011.29926,1010.407,1010.0091,1009.80536,1009.6953,1009.87463,1010.3464,1010.7256,1011.1191,1011.5201,1011.82086,1011.82086,1011.62164,1011.5208,1011.7174,1012.0126,1012.3082,1012.60114,1012.7953,1013.1969,1013.814,1014.4396,1014.8625,1014.68207,1014.1992,1013.80884,1013.5087,1013.2019,1013.1889,1013.5667,1014.2391,1014.81744,1015.3085,1015.8054,1016.1043,1016.10297,1016.00275,1016.0014,1016.19885,1016.49445,1016.78986,1016.9815,1017.1722,1017.4736,1017.99396,1018.5257,1018.8517,1018.5717,1018.0869,1017.5938,1017.2879,1016.9743,1016.85846,1016.94086,1017.2216
2025-11-14 00:55:01+00:00,2025-11-14 00:00:00+00:00,1017.955,1017.2485,1018.53564,1018.5311,1018.32587,1017.51996,1018.3169,1018.1151,1018.1109,1017.6096,1018.3,1018.7926,1019.28174,1019.8897,1020.1397,1020.46844,1020.2031,1019.52673,1018.84216,1018.4519,1017.85345,1017.5526,1017.34125,1017.5824,1017.75574,1017.5406,1017.9285,1017.7246,1017.91705,1017.29834,1016.7866,1016.5825,1016.37726,1016.3648,1016.18274,1016.4989,1016.79614,1017.0991,1017.12085,1016.87006,1016.32513,1015.7485,1015.05865,1013.1701,1012.5678,1012.15753,1011.9374,1011.9996,1012.1871,1012.183,1012.18225,1011.8828,1011.2844,1011.0839,1010.8809,1010.4801,1010.27893,1009.97815,1009.77423,1010.0699,1010.46655,1010.87555,1011.1146,1011.2469,1011.0689,1009.98566,1008.7961,1007.9996,1007.4949,1007.48083,1007.5625,1007.93353,1008.6155,1009.0101,1009.1051,1009.2015,1009.19836,1009.29736,1009.2954,1009.29315,1009.2912,1009.1904,1009.1898,1009.4887,1009.9861,1010.7954,1011.23083,1011.8615,1011.7834,1011.29987,1010.3099,1009.6099,1009.503,1009.69147,1009.87463,1010.34015,1010.9256,1011.32153,1011.6205,1011.82025,1011.92114,1011.72125,1011.9167,1011.9116,1011.907,1012.1043,1012.3054,1012.70264,1013.10175,1013.5089,1013.9445,1014.169,1013.8869,1013.3992,1012.9045,1012.5066,1012.2036,1012.1931,1012.5704,1013.14124,1013.6187,1014.0102,1014.30963,1014.5089,1014.6061,1014.50446,1014.50323,1014.50385,1014.4068,1014.4081,1014.5058,1014.6029,1014.80585,1015.1201,1015.5405,1015.6571,1015.3677,1014.8743,1014.4777,1014.27655,1014.1715,1014.162,1014.34564,1014.6249,1014.90875,1015.0039,1015.1036,1015.00586,1014.80853,1014.41315,1014.1168,1013.8192,1013.42194,1013.224,1013.1244,1013.1238,1013.32733,1013.739,1014.2533,1014.56555,1014.4735,1014.0786,1013.5816,1012.9813,1012.27844,1011.87427,1011.86786,1012.1591
