forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:10:58+00:00,2025-11-05 00:00:00+00:00,22.1695,22.5195,21.9195,21.219501,20.469501,19.5695,18.9195,18.4195,18.119501,17.619501,17.619501,17.3195,17.469501,20.719501,23.6695,25.119501,26.0695,25.4195,26.6695,27.5695,26.8195,25.619501,24.4195,24.1695,22.469501,21.869501,21.4195,22.0695,21.869501,21.719501,21.4195,21.2695,21.219501,21.119501,21.0695,21.0695,21.119501,22.719501,24.119501,25.6695,25.869501,24.869501,22.8195,25.989,25.439,24.939,23.939,22.739,21.939,21.588999,21.588999,21.838999,21.838999,21.838999,21.588999,21.689,21.889,22.189,22.239,22.189,22.139,23.389,25.389,24.939,24.989,24.789,26.889,27.088999,25.789,24.889,24.189,23.239,22.838999,22.489,22.289,22.088999,21.889,21.739,21.689,21.639,21.588999,21.489,21.439,21.489,21.539,23.289,24.739,26.039,27.139,27.989,28.689,28.889,28.689,27.889,26.239,24.989,25.239,25.289,24.939,24.489,23.939,23.289,22.838999,22.239,21.739,21.338999,21.139,21.039,21.139,23.039,24.989,26.489,27.789,28.789,29.439,28.639,27.139,25.989,25.789,25.889,25.689,24.739,23.389,22.289,21.639,21.189,20.789,20.289,19.789,19.439,19.189,19.039,19.088999,19.389,19.889,20.439,21.088999,21.838999,22.189,22.088999,21.689,20.889,19.489,17.739,16.239,15.339,14.738999,14.238999,13.738999,13.289,12.889,12.539,12.238999,11.988999,11.639,11.389,11.789,13.438999,15.738999,17.689,18.989,19.989,20.489,20.439,19.889,19.039,17.689,15.988999
2025-11-06 00:55:19+00:00,2025-11-06 00:00:00+00:00,22.1695,21.4195,20.8195,20.8195,19.969501,19.619501,19.5695,19.469501,19.3195,19.219501,19.219501,19.0195,19.219501,21.4195,24.0195,24.9195,25.8195,26.5695,25.719501,25.619501,25.5195,24.5695,23.0195,21.9195,21.5695,21.3195,21.219501,21.0195,20.8195,20.7695,20.619501,20.619501,20.619501,20.719501,20.7695,20.869501,20.869501,21.119501,21.219501,21.969501,22.4195,23.4195,23.7695,25.588999,26.588999,26.588999,25.289,24.039,23.039,21.889,21.539,21.588999,21.989,21.989,21.889,21.789,21.689,21.539,21.489,21.439,21.539,23.239,24.939,26.489,27.639,28.189,28.588999,28.739,28.539,28.239,27.039,25.189,24.489,24.039,23.689,23.489,23.289,23.039,22.838999,22.639,22.539,22.439,22.239,22.039,22.039,23.739,25.439,26.739,27.689,28.389,28.789,28.939,28.439,27.539,27.088999,27.088999,26.889,26.239,24.789,23.489,22.588999,22.239,21.838999,21.489,21.189,20.889,20.539,20.289,20.189,20.489,20.189,20.239,20.489,20.838999,20.838999,20.689,20.338999,19.588999,18.189,16.439,14.889,13.889,13.139,12.438999,11.688999,11.039,10.339,9.589,8.889,8.339,7.739,7.339,7.739,9.488999,12.089,14.488999,16.539,18.389,19.588999,19.939,19.588999,18.789,17.289,15.389,13.789,12.889,12.339,12.089,12.238999,12.639,12.889,12.789,12.539,12.389,12.139,11.988999,12.688999,14.938999,18.088999,20.489,21.539,21.939,22.088999,22.239,22.139,21.588999,20.289,18.588999
2025-11-07 00:54:22+00:00,2025-11-07 00:00:00+00:00,22.219501,21.619501,21.219501,21.119501,20.7695,20.8195,20.619501,20.2695,19.8195,19.719501,19.619501,19.1695,19.2695,20.6695,22.7695,25.0195,26.369501,27.0195,27.0695,26.9195,26.6695,26.3195,25.6695,23.9195,23.3195,22.8195,22.4195,22.369501,22.2695,22.0695,22.2695,22.3195,22.3195,22.3195,22.4195,22.1695,21.9195,23.1695,24.6695,26.119501,26.969501,26.8195,27.0695,29.789,29.639,28.739,26.989,25.639,25.639,25.189,24.239,23.739,23.588999,23.489,23.338999,23.088999,22.838999,22.639,22.439,22.239,22.439,24.389,26.039,27.289,27.989,28.239,28.338999,28.689,28.939,28.789,27.039,25.939,26.289,25.789,25.489,23.838999,22.689,22.139,21.689,21.338999,21.039,20.889,20.639,20.439,20.539,22.338999,24.139,25.039,25.639,24.088999,20.939,21.389,22.239,21.789,20.588999,18.789,17.289,16.239,15.139,14.089,13.188999,12.339,11.539,10.688999,9.889,9.188999,8.488999,7.839,7.289,8.889,11.988999,15.139,17.289,18.939,20.139,20.639,20.489,19.789,18.139,15.889,14.139,13.488999,13.339,13.238999,12.938999,12.688999,12.539,12.589,12.738999,12.889,12.688999,12.488999,13.139,15.339,18.389,20.889,22.389,23.338999,23.789,23.689,23.039,22.088999,20.588999,18.789,17.389,16.789,16.539,16.389,16.189,16.039,15.839,15.539,15.238999,14.938999,14.488999,14.089,14.488999,16.389,19.139,21.439,22.838999,23.739,24.189,24.189,23.789,22.889,21.289,19.239
2025-11-08 00:49:48+00:00,2025-11-08 00:00:00+00:00,24.1695,23.469501,23.119501,22.869501,22.469501,22.2695,22.3195,22.1695,21.969501,21.369501,20.969501,20.619501,20.369501,22.3195,24.2695,25.619501,26.7695,27.1695,27.2695,27.719501,27.869501,27.5195,26.619501,25.7695,24.719501,23.9195,23.6695,23.0695,22.869501,23.0695,22.719501,22.2695,21.8195,21.719501,21.7695,21.869501,22.219501,23.3195,24.2695,25.0195,25.2695,26.969501,26.7695,28.639,28.989,28.139,26.939,26.789,26.239,23.989,22.989,22.789,22.338999,21.939,21.639,21.439,21.189,20.889,20.639,20.489,20.189,20.789,19.139,20.039,20.439,20.739,21.088999,20.689,20.239,19.439,17.389,15.738999,14.789,13.988999,13.089,12.039,11.188999,10.289,9.488999,9.089,8.639,7.839,7.139,6.489,6.039,7.039,9.789,12.688999,14.238999,16.439,17.389,17.289,16.838999,16.239,14.938999,12.639,11.438999,10.938999,10.639,10.488999,10.339,10.389,10.438999,10.589,10.589,10.589,10.688999,10.789,11.089,13.488999,17.189,19.838999,21.639,22.838999,23.939,24.189,23.939,23.338999,22.338999,21.039,19.789,18.739,17.789,17.039,16.588999,16.389,16.088999,15.639,15.139,14.639,13.889,13.188999,13.438999,15.438999,18.389,20.838999,22.189,23.039,23.439,23.539,23.239,22.389,20.539,18.139,16.289,15.589,15.438999,15.389,15.289,15.238999,15.139,14.988999,14.839,14.639,14.139,13.589,13.889,15.738999,18.439,20.789,22.338999,23.539,24.239,24.389,24.039,23.189,21.489,19.289
2025-11-09 00:56:19+00:00,2025-11-09 00:00:00+00:00,25.2695,25.119501,24.5195,23.9195,23.4195,22.869501,22.5695,22.1695,21.8195,21.5695,21.2695,20.869501,20.6695,22.8195,25.1695,26.719501,27.3195,27.8195,27.869501,28.469501,28.5695,28.219501,27.369501,25.7695,25.219501,24.5195,23.6695,23.5195,22.869501,22.4195,23.0195,22.5195,22.0195,22.1695,21.4195,21.1695,20.8195,19.119501,18.3195,18.0195,18.0195,18.0695,18.1695,21.439,20.588999,19.338999,17.289,15.688999,14.639,13.389,12.039,11.488999,11.139,10.488999,9.188999,8.339,7.689,6.889,6.089,5.489,5.189,5.989,8.089,10.389,12.139,13.688999,14.988999,15.688999,15.188999,14.339,13.238999,11.589,10.488999,9.738999,9.339,9.389,9.289,9.289,9.139,8.988999,9.039,9.188999,9.389,9.438999,9.738999,11.438999,13.589,16.189,19.489,20.989,21.789,22.289,22.389,21.639,19.389,16.889,16.088999,15.488999,15.238999,15.039,14.938999,14.738999,14.589,14.488999,14.139,13.688999,13.289,13.039,12.839,14.938999,18.139,20.338999,21.639,22.689,23.389,23.489,23.139,22.239,20.539,18.289,16.539,15.688999,15.339,15.089,14.889,14.839,14.738999,14.639,14.488999,14.339,13.839,13.339,13.688999,15.688999,18.588999,20.989,22.489,23.539,24.139,24.439,24.289,23.588999,21.889,19.588999,17.838999,17.189,17.139,17.139,17.139,17.289,17.289,17.039,16.689,16.489,16.439,16.588999,17.389,19.489,22.289,24.489,25.639,26.189,26.389,26.289,25.838999,24.989,23.539,21.739
2025-11-10 00:57:47+00:00,2025-11-10 00:00:00+00:00,26.2695,25.469501,24.5195,24.0195,23.619501,23.2695,22.969501,22.6695,22.4195,22.0195,21.7695,21.4195,21.5195,21.3195,20.3195,19.619501,19.969501,20.119501,20.719501,20.5695,19.7695,18.8195,17.1695,14.919499,13.5195,12.4695,11.6195,10.669499,9.919499,9.4695,7.9694996,6.6695,5.6194997,4.5695,3.8195,3.3195,2.8695,3.9695,5.6194997,7.8195,9.9695,11.8695,13.1195,15.889,15.488999,14.688999,13.238999,11.438999,10.438999,9.589,9.089,8.938999,8.938999,9.039,9.188999,9.238999,9.289,9.238999,9.339,9.488999,9.539,11.938999,15.639,18.338999,20.239,21.338999,21.889,22.389,22.389,21.689,19.539,17.139,16.389,15.639,15.238999,14.988999,14.839,14.639,14.438999,14.089,13.639,13.089,12.688999,12.488999,12.289,14.339,17.739,19.939,21.489,22.389,23.039,23.239,22.989,22.088999,19.389,16.939,16.039,15.539,15.339,15.238999,15.188999,15.039,14.938999,14.938999,14.938999,14.839,14.639,14.389,14.089,16.139,19.289,21.588999,23.088999,23.989,24.739,24.639,23.939,22.989,21.588999,19.939,18.639,18.088999,17.939,17.889,17.838999,17.838999,17.739,17.338999,16.838999,16.439,16.039,15.789,16.389,18.489,21.389,23.739,25.039,25.789,26.139,26.088999,25.689,24.838999,23.338999,21.389,20.039,19.639,19.789,20.039,20.239,20.588999,20.789,20.838999,20.789,20.739,20.489,20.239,20.338999,21.189,22.389,23.489,24.289,24.939,25.439,25.939,26.338999,26.289,25.389,23.989
2025-11-11 00:54:12+00:00,2025-11-11 00:00:00+00:00,14.3695,13.5695,12.7695,11.9695,11.3695,11.169499,10.419499,8.9695,7.4195,6.5695,5.6695,4.7194996,3.9195,4.7695,6.4195,8.7195,11.0195,12.8195,13.169499,14.1195,14.419499,14.1195,12.919499,10.9695,9.8695,9.0695,8.419499,7.9694996,7.6194997,7.4195,7.2194996,7.1194997,7.1695,6.9694996,6.9694996,6.8195,6.9694996,9.8695,13.2695,16.5695,19.119501,20.2695,21.0695,22.689,22.539,21.489,19.039,16.838999,16.088999,15.639,15.188999,15.039,14.789,14.589,14.438999,14.089,13.639,13.238999,12.789,12.488999,12.289,14.589,17.889,20.088999,21.489,22.439,23.139,23.338999,23.189,22.389,19.689,17.139,16.088999,15.688999,15.389,15.188999,14.988999,14.789,14.889,14.738999,14.688999,14.488999,14.289,14.039,14.039,16.039,19.489,21.789,23.239,24.088999,24.689,24.989,24.739,23.639,21.689,19.289,18.389,17.939,17.789,17.588999,17.338999,17.039,16.789,16.539,16.289,16.139,16.088999,15.938999,15.738999,17.689,20.889,22.989,24.139,25.039,25.689,25.689,25.239,24.489,23.338999,21.889,20.639,19.789,19.139,18.639,18.338999,18.139,17.989,17.789,17.588999,17.439,17.039,16.689,17.189,19.189,22.039,24.338999,25.539,26.189,26.539,26.739,26.639,26.039,24.489,22.439,20.838999,20.088999,19.838999,19.639,19.439,19.338999,19.239,19.039,18.838999,18.689,18.389,18.139,18.588999,20.389,22.889,24.939,26.039,26.639,26.989,27.289,27.389,26.889,25.338999,23.239
2025-11-12 00:55:08+00:00,2025-11-12 00:00:00+00:00,10.4695,9.7695,9.2195,8.6195,8.3695,8.0695,8.1195,8.3695,8.7695,8.169499,8.0695,7.8195,7.6194997,10.0695,13.4695,16.5695,18.8195,20.3195,21.5695,22.0195,21.869501,21.219501,20.0195,17.619501,15.9695,14.9695,14.3195,13.7195,13.0695,12.5195,12.0695,12.8195,12.3695,12.169499,11.6195,11.419499,10.8695,13.2195,17.0695,20.3195,21.9195,23.119501,23.969501,22.939,22.789,21.989,19.389,16.838999,15.889,15.389,14.988999,14.889,14.639,14.589,14.488999,14.438999,14.389,14.339,14.089,13.889,13.688999,15.839,19.239,21.689,23.139,24.088999,24.739,24.939,24.789,23.889,21.789,19.289,18.239,17.739,17.539,17.289,17.139,16.889,16.739,16.489,16.239,15.889,15.589,15.289,15.139,17.239,20.389,22.539,23.939,25.189,25.789,25.939,25.789,25.239,23.039,21.088999,20.689,19.739,18.989,18.789,18.689,18.489,18.289,18.039,17.789,17.639,17.489,17.189,17.088999,19.139,21.489,23.389,24.289,24.889,25.189,25.189,24.939,24.439,23.588999,22.539,21.539,20.789,20.139,19.539,18.989,18.489,17.989,17.439,16.889,16.439,15.889,15.438999,15.839,17.739,20.439,22.838999,24.588999,26.039,26.889,26.989,26.439,25.539,23.989,22.088999,20.639,20.139,20.139,20.189,20.139,20.088999,20.088999,20.139,20.189,20.189,19.889,19.489,19.789,21.289,23.439,25.239,26.289,26.989,27.289,27.289,26.889,26.189,24.889,23.289
2025-11-13 01:10:48+00:00,2025-11-13 00:00:00+00:00,16.5195,15.2695,14.4695,14.0695,13.6195,13.0695,12.6195,11.9695,11.3195,11.169499,10.919499,10.6195,10.1195,12.7695,16.869501,19.8195,21.369501,22.5695,23.619501,24.119501,23.9195,23.3195,21.2695,17.969501,16.219501,15.0195,14.2695,13.669499,13.2195,12.669499,12.2195,11.7195,11.1195,10.8695,10.7195,10.8195,10.9695,14.3695,18.869501,21.8195,23.5195,24.6695,25.369501,24.939,24.588999,23.739,21.689,19.139,18.239,17.689,17.189,17.039,16.838999,16.689,16.439,16.239,15.938999,15.639,15.488999,15.339,15.389,17.939,21.639,23.889,24.838999,25.489,25.789,25.838999,25.539,24.588999,22.588999,20.489,19.739,19.389,19.088999,18.739,18.539,18.439,18.289,18.189,18.139,18.088999,17.939,17.939,18.088999,20.338999,22.289,23.639,24.489,25.039,25.439,25.588999,25.239,24.439,23.189,22.539,23.539,24.139,23.789,21.989,19.739,18.689,18.338999,18.088999,17.739,17.439,17.338999,17.088999,16.889,18.689,21.489,23.588999,24.838999,26.689,27.088999,27.439,27.338999,26.889,25.889,24.489,23.439,22.989,22.789,22.689,22.639,22.689,22.588999,22.189,21.639,21.189,20.838999,20.588999,20.838999,21.939,23.588999,24.989,25.989,26.739,27.139,27.039,26.588999,26.139,25.789,25.389,24.838999,24.088999,23.189,22.439,21.939,21.539,21.239,20.989,20.739,20.539,20.088999,19.639,19.939,21.489,23.789,25.789,27.239,28.389,28.989,28.789,28.039,27.039,25.689,24.088999
2025-11-14 00:55:12+00:00,2025-11-14 00:00:00+00:00,17.2695,15.7695,14.6195,13.8695,13.5195,13.1195,12.6195,12.0195,11.3695,10.8195,10.5695,10.4695,10.669499,13.6195,18.1695,21.619501,23.619501,24.7695,24.969501,25.369501,25.3195,24.5695,22.4195,19.7695,18.119501,17.219501,16.5195,16.0695,15.4695,15.0195,14.7695,14.3695,14.1195,13.9695,13.3695,13.169499,12.8695,15.8695,19.5695,22.4195,24.219501,25.4195,26.119501,26.289,25.889,24.789,22.789,20.439,19.639,19.338999,19.088999,18.789,18.639,18.639,18.588999,18.639,18.588999,18.239,17.739,17.389,17.039,18.889,21.239,23.039,24.239,25.189,25.789,26.088999,26.088999,25.489,23.439,21.439,20.889,20.289,19.338999,18.739,18.289,17.939,17.439,17.039,16.739,16.489,16.239,16.039,16.139,17.989,20.289,22.338999,24.139,24.939,25.289,25.539,25.439,24.689,22.588999,21.689,21.539,20.939,20.039,19.338999,20.789,21.139,21.139,20.739,19.739,19.588999,19.088999,18.689,18.489,20.439,22.838999,24.739,26.239,26.838999,26.989,27.139,26.939,26.389,25.239,23.689,22.639,22.588999,22.989,23.139,22.689,21.939,21.389,21.139,20.989,20.889,20.539,20.189,20.439,21.889,23.939,25.639,26.689,27.389,27.739,27.739,27.389,26.739,25.539,24.039,22.838999,22.289,22.088999,21.989,21.989,22.088999,22.088999,21.939,21.689,21.489,21.139,20.789,21.088999,22.588999,24.739,26.539,27.588999,28.239,28.539,28.539,28.189,27.539,26.289,24.739
