forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:11:36+00:00,2025-11-05 00:00:00+00:00,1016.0627,1016.4798,1016.53906,1017.20087,1016.47614,1016.1531,1015.9319,1015.61676,1015.49963,1015.08496,1015.47156,1015.65814,1015.7522,1016.56476,1017.0983,1017.2861,1016.5173,1015.6002,1014.1439,1013.08264,1012.9949,1012.79083,1012.54297,1012.34766,1012.2844,1012.124,1012.28064,1012.05884,1011.9315,1011.90643,1011.782,1012.25525,1011.93854,1011.4287,1011.10223,1011.5736,1012.051,1012.7203,1013.08124,1013.216,1013.2018,1012.35657,1011.3914,1009.9429,1009.4399,1009.31757,1009.4313,1009.63336,1010.1996,1010.56415,1011.1096,1011.26434,1010.83655,1010.32355,1009.9129,1009.80273,1009.59814,1009.2961,1008.9971,1009.0962,1009.29285,1009.5763,1009.5896,1009.0867,1008.3629,1007.32324,1006.0704,1004.9004,1004.11285,1003.50653,1003.1345,1003.1386,1003.60156,1003.2906,1002.98566,1002.8718,1002.55304,1002.4343,1002.2222,1002.12036,1002.2104,1002.114,1002.3246,1002.3305,1002.43884,1003.0637,1003.30414,1003.4257,1003.25696,1002.6886,1001.5583,1000.824,1000.5506,1000.51227,1000.7551,1000.9213,1001.7101,1001.9991,1002.3867,1002.78174,1002.773,1002.62067,1002.9029,1003.2079,1003.295,1003.28015,1003.5534,1003.82965,1004.31616,1004.76117,1005.14056,1005.20496,1004.8503,1004.08453,1003.6057,1003.30426,1003.18335,1003.34576,1004.08215,1005.19806,1006.3122,1007.3261,1008.33826,1009.162,1009.70667,1010.1647,1010.62756,1011.0964,1011.6727,1012.24725,1012.9123,1013.5773,1014.2656,1014.89746,1015.5521,1015.8099,1015.46735,1014.7277,1014.0738,1013.7044,1013.5205,1013.6101,1014.15533,1014.975,1015.60657,1015.9702,1016.1466,1016.3247,1016.4006,1016.37695,1016.35657,1016.43866,1016.425,1016.61096,1016.8862,1017.1607,1017.4666,1017.7266,1017.9168,1017.80164,1017.07404,1015.9409,1014.9913,1014.321,1013.835,1013.62256,1013.8692,1014.29126
2025-11-06 00:57:19+00:00,2025-11-06 00:00:00+00:00,1011.06604,1011.4178,1011.58044,1012.4506,1011.33685,1010.6101,1010.4888,1010.6663,1010.84045,1010.2364,1011.1105,1011.3833,1011.95197,1012.10785,1012.3627,1012.40326,1012.19415,1011.55884,1010.88226,1010.30774,1009.9184,1009.9099,1009.36316,1010.0483,1010.8753,1011.43176,1010.8063,1010.4638,1010.2263,1009.90045,1009.4819,1009.365,1009.16046,1009.0472,1008.8439,1008.8454,1008.74,1008.5995,1008.5585,1008.6823,1008.49506,1007.0829,1005.9412,1004.3962,1003.6086,1003.2007,1002.9334,1003.2406,1003.40765,1003.3898,1002.98126,1002.8702,1002.86426,1002.6883,1002.3926,1002.1958,1002.07715,1001.87146,1001.8774,1001.9706,1002.34125,1002.9902,1003.5689,1003.646,1003.68506,1003.13275,1002.16943,1001.36365,1000.94,1000.9457,1001.0137,1001.3484,1001.93756,1002.14746,1002.45215,1002.5353,1002.7075,1002.8457,1003.1103,1003.3898,1003.47974,1003.57166,1003.6616,1004.0475,1004.4379,1004.8723,1004.94226,1004.8112,1004.27844,1003.4329,1002.3763,1002.0772,1002.0121,1002.0569,1002.7015,1004.19763,1005.8137,1006.52673,1007.6032,1008.95337,1009.87006,1010.4003,1010.9492,1011.52094,1011.9983,1012.4752,1012.9491,1013.62103,1014.4858,1015.19617,1015.94025,1016.18646,1015.74524,1014.7899,1014.12036,1013.831,1013.6281,1013.9028,1014.74756,1015.87415,1016.8086,1017.36426,1017.72815,1017.99646,1018.1686,1018.24384,1018.3238,1018.5062,1018.79095,1019.0759,1019.4475,1019.9179,1020.4277,1021.1011,1021.7102,1021.91046,1021.39014,1020.36383,1019.51825,1018.85657,1018.18005,1017.77277,1017.71686,1017.83105,1018.061,1018.2325,1018.42413,1018.5165,1018.503,1018.4896,1018.37866,1018.2712,1018.0645,1018.0578,1018.33466,1018.8079,1019.122,1019.3039,1019.3239,1019.0308,1018.2181,1017.1944,1016.1501,1015.18616,1014.20374,1013.5909,1013.5286,1013.7359
2025-11-07 00:55:18+00:00,2025-11-07 00:00:00+00:00,1009.2955,1009.1475,1009.98987,1010.05945,1008.6327,1008.2061,1007.7876,1007.96814,1008.45087,1008.43634,1009.0243,1008.7144,1008.3325,1007.9519,1007.4465,1007.01404,1006.5345,1006.09753,1004.8607,1004.08167,1003.49243,1003.1836,1002.2426,1002.83844,1003.3854,1003.35986,1002.84625,1002.01843,1002.5169,1002.1235,1002.06085,1001.9328,1001.643,1001.84436,1001.74835,1002.0426,1002.23926,1002.2452,1002.4662,1002.974,1003.4137,1002.3736,1001.9058,1001.5252,1001.34955,1000.83234,1000.8054,1001.4519,1001.83997,1002.0267,1002.21185,1002.44916,1002.5702,1002.6326,1002.90015,1003.1824,1003.3523,1003.43005,1003.5188,1003.80817,1004.2063,1004.65137,1004.8387,1004.51685,1004.0788,1003.1315,1001.67645,1000.70593,1000.2115,1000.0871,1000.4346,1001.7482,1003.4061,1004.61957,1005.5805,1006.4974,1005.8652,1006.3355,1006.90015,1007.3684,1007.8544,1008.3338,1008.5858,1009.0633,1010.13367,1011.04004,1011.86896,1012.0101,1011.8537,1011.5945,1011.02527,1010.6383,1011.0299,1011.5993,1012.4435,1013.8687,1014.8155,1015.2864,1016.3515,1016.9193,1017.29034,1017.36584,1017.83923,1018.3177,1018.39435,1018.57043,1018.7529,1019.33514,1020.1155,1020.78436,1021.4756,1021.65125,1021.02014,1019.8811,1018.83734,1017.96936,1017.18604,1016.67773,1016.8281,1017.25275,1017.5936,1017.6694,1017.5639,1017.4566,1017.34235,1017.1292,1017.0167,1017.00684,1017.19635,1017.28864,1017.4684,1017.5506,1017.66815,1017.747,1017.75977,1017.4594,1016.5392,1015.30963,1014.1631,1013.2983,1012.5158,1012.0064,1011.8495,1011.9626,1012.09326,1012.36035,1012.7441,1012.93115,1012.9181,1012.80786,1012.6014,1012.1987,1011.79596,1011.4935,1011.5765,1011.9566,1012.17267,1012.34766,1012.55414,1012.3499,1011.62195,1010.48346,1009.5275,1008.75665,1008.16754,1007.95306,1008.2964,1008.9138
2025-11-08 00:50:37+00:00,2025-11-08 00:00:00+00:00,1002.4963,1002.974,1003.45746,1003.2396,1002.20905,1001.8857,1002.0606,1001.449,1001.73724,1001.1315,1002.1352,1002.6338,1002.42,1002.87213,1003.2893,1003.3058,1003.2849,1003.1,1002.2567,1001.6073,1001.3298,1000.92615,1000.4893,1000.9976,1001.6768,1001.7524,1002.1237,1002.38806,1002.86426,1002.74554,1002.526,1002.4132,1002.5002,1002.3978,1002.4117,1003.0021,1003.4977,1003.82837,1003.9908,1003.83704,1004.1829,1003.6173,1003.3461,1000.8268,1000.913,1001.15015,1001.7744,1002.8085,1004.2368,1005.1284,1005.8762,1006.8278,1007.67395,1008.2265,1008.6913,1009.26306,1009.44476,1009.82654,1010.4093,1010.98236,1011.94653,1013.0502,1013.4795,1013.62476,1013.4772,1012.9196,1012.14465,1011.8489,1012.1368,1012.8127,1013.46246,1014.39935,1015.2548,1016.21893,1016.8874,1017.4566,1017.8258,1018.0888,1018.2541,1018.42786,1018.3081,1018.09393,1018.5752,1018.9433,1019.4245,1020.6924,1021.1959,1021.27734,1020.45734,1019.3274,1017.49774,1016.4428,1015.8673,1015.6659,1015.59546,1015.6993,1015.96857,1015.9517,1015.8426,1015.83276,1015.7203,1015.51196,1015.6027,1015.49506,1015.58746,1015.58075,1015.3759,1015.3673,1015.55884,1015.7254,1015.9513,1015.7571,1014.8481,1013.5238,1012.2825,1011.3217,1010.4429,1009.9352,1009.98303,1010.40186,1010.83496,1011.1005,1011.3836,1011.4779,1011.4906,1011.31464,1011.22815,1011.1212,1010.9055,1010.88806,1011.0641,1011.3407,1011.6476,1012.0116,1012.30505,1012.2873,1011.74805,1010.7985,1010.0321,1009.54974,1009.15,1009.0246,1009.25195,1009.7511,1010.16626,1010.61774,1011.0879,1011.363,1011.3373,1011.2173,1011.0971,1011.1769,1011.35547,1011.53894,1011.81305,1012.1898,1012.60114,1013.07275,1013.57666,1013.6727,1013.15173,1012.32196,1011.57074,1010.9968,1010.4037,1010.0853,1010.12616,1010.2436
2025-11-09 00:56:56+00:00,2025-11-09 00:00:00+00:00,1001.8069,1001.68823,1002.4617,1002.1584,1002.44226,1002.35345,1002.7487,1002.4391,1002.73047,1002.5291,1003.2062,1003.682,1003.77203,1004.3165,1004.69366,1005.1258,1004.3856,1003.5387,1002.67664,1002.19666,1002.06885,1001.9174,1001.7907,1002.53345,1003.11066,1004.6154,1005.80237,1006.4333,1007.2617,1007.51544,1007.57214,1008.13885,1008.7118,1009.0816,1009.552,1010.61523,1011.2734,1012.0742,1012.90076,1013.0269,1013.56244,1013.10486,1012.33167,1009.74054,1010.1224,1010.5953,1012.0231,1013.2483,1014.70074,1015.5654,1016.2404,1016.92035,1017.5027,1017.78455,1018.0645,1018.14465,1018.41223,1018.48157,1018.5646,1019.2475,1019.5306,1020.5932,1021.10205,1021.17993,1020.7447,1020.00287,1018.56055,1017.50104,1016.8249,1016.6267,1016.3672,1016.2638,1016.53314,1016.6188,1016.50793,1016.4945,1016.2861,1016.2778,1016.2727,1016.3633,1016.4556,1016.4521,1016.44696,1016.34283,1016.5377,1016.911,1017.0482,1016.95905,1016.1506,1014.92236,1013.2802,1012.313,1011.6296,1011.3246,1011.1709,1011.3524,1011.71906,1011.99567,1012.38257,1012.4722,1012.56024,1012.45154,1012.44037,1012.42737,1012.18915,1012.00684,1011.9188,1012.02106,1012.22095,1012.43475,1012.66754,1012.6056,1011.9442,1010.88873,1010.02704,1009.36163,1008.89124,1008.69464,1008.8524,1009.385,1009.83466,1010.22833,1010.5393,1010.7392,1010.7084,1010.5658,1010.5297,1010.51385,1010.605,1010.79535,1011.07196,1011.34875,1011.65393,1012.1123,1012.6971,1012.87604,1012.442,1011.8033,1011.14465,1010.66504,1010.36755,1010.14594,1010.0853,1010.19806,1010.3274,1010.4931,1010.6758,1010.7592,1010.6367,1010.41473,1010.19586,1010.1817,1010.1721,1010.26324,1010.4438,1010.6261,1010.8402,1011.1133,1011.4178,1011.40875,1010.87683,1010.13257,1009.3733,1008.7987,1008.20996,1007.8951,1007.83936,1007.95734
2025-11-10 00:58:43+00:00,2025-11-10 00:00:00+00:00,1003.408,1003.70233,1004.68164,1005.887,1005.8952,1006.0132,1007.13983,1007.7931,1008.75305,1009.12665,1009.5923,1010.35645,1010.82513,1012.0342,1012.3581,1012.8885,1012.5299,1012.25903,1011.4647,1011.5717,1012.0576,1012.6211,1013.64966,1015.5623,1016.9188,1017.4944,1018.08014,1018.5653,1019.14404,1019.1267,1019.21216,1019.4952,1020.1746,1020.7498,1021.03986,1021.926,1022.5589,1023.05963,1023.14154,1023.11115,1022.77075,1021.8267,1020.8751,1018.37695,1017.6018,1017.30444,1016.94556,1016.85834,1017.03174,1017.1158,1017.20496,1017.19476,1016.7866,1016.8775,1017.1676,1017.25995,1017.45154,1017.24817,1017.3423,1017.34064,1017.3371,1017.4048,1017.3308,1016.94476,1016.33655,1015.2104,1013.6702,1012.6088,1011.7302,1011.5245,1011.4667,1011.8543,1012.2162,1012.4912,1012.77594,1012.7711,1012.95496,1012.84644,1012.85754,1012.5119,1012.2256,1012.13416,1012.2333,1012.2708,1012.44995,1013.1977,1013.7995,1013.4797,1012.94244,1012.2873,1010.8236,1010.1402,1009.7448,1009.7303,1009.64545,1010.0517,1010.60614,1010.8708,1011.1494,1011.33057,1011.2139,1011.2893,1011.4764,1011.6491,1011.63135,1011.5146,1011.79596,1011.98267,1012.4684,1012.92444,1013.33154,1013.4203,1013.00226,1012.26025,1011.5978,1011.0175,1010.3191,1009.9995,1010.04504,1010.2683,1010.5054,1010.7732,1010.95593,1011.0395,1010.8191,1010.4995,1010.28394,1010.1769,1010.07306,1010.0698,1010.2522,1010.4358,1010.64856,1010.9134,1011.1096,1010.99384,1010.1635,1008.9255,1007.8685,1007.0915,1006.49664,1006.0811,1006.03406,1006.26447,1006.40533,1006.37177,1006.24963,1006.13025,1006.00824,1005.7898,1005.57574,1005.4687,1005.2658,1005.0644,1004.7528,1004.34235,1004.0591,1004.12506,1004.31616,1004.19635,1003.45654,1002.4057,1001.83124,1002.12427,1002.8953,1003.26263,1002.8248,1002.0832
2025-11-11 00:54:50+00:00,2025-11-11 00:00:00+00:00,1014.9194,1016.3569,1017.60205,1018.673,1018.55664,1018.54095,1019.4154,1019.097,1019.177,1018.86414,1019.552,1020.5337,1020.9758,1021.6819,1022.45,1023.2154,1022.3812,1021.54095,1020.6853,1019.7254,1019.1519,1018.36096,1017.4496,1017.6649,1018.00793,1017.8734,1017.6499,1017.42786,1017.41095,1017.20764,1017.0146,1016.72565,1016.531,1016.625,1016.5142,1017.0009,1017.38354,1017.56586,1017.6233,1017.24713,1017.0382,1016.1166,1015.0689,1013.18994,1012.2138,1011.91046,1011.74884,1012.1422,1012.70056,1012.9804,1013.25555,1013.3435,1013.3291,1013.32275,1013.41205,1013.5032,1013.39575,1013.1882,1013.4787,1013.6706,1013.8655,1014.3201,1014.63116,1014.4207,1013.99066,1013.148,1012.08905,1011.2145,1011.02075,1011.0073,1010.82605,1011.1604,1011.6236,1011.9921,1011.9814,1012.24286,1012.1219,1012.1987,1012.2787,1012.1669,1012.0567,1012.0456,1011.8426,1011.9353,1012.5169,1013.06366,1013.46216,1013.25085,1012.92114,1012.07697,1010.7233,1009.7538,1009.1618,1008.95337,1008.9666,1009.4766,1009.9402,1009.9187,1010.1029,1010.0934,1009.7853,1009.47723,1009.36707,1009.45526,1009.44586,1009.6345,1009.9223,1009.916,1010.4052,1010.6649,1010.96063,1010.9445,1010.5174,1009.6708,1009.0043,1008.4211,1007.9181,1007.5989,1007.74915,1008.0817,1008.4257,1008.50055,1008.5876,1008.57404,1008.5509,1008.6269,1008.6054,1008.5896,1008.5772,1008.6652,1008.8449,1009.1247,1009.4331,1009.98663,1010.5657,1010.73895,1010.00275,1008.86145,1007.9035,1007.32764,1006.9352,1006.62036,1006.56793,1006.6923,1006.73016,1006.6983,1006.7791,1006.76355,1006.84595,1006.83203,1006.8197,1006.6073,1006.3967,1006.28656,1006.36865,1006.5495,1006.66125,1006.8225,1006.9116,1006.69104,1005.85504,1004.7121,1003.75244,1003.07574,1002.58435,1002.2712,1002.3226,1002.74927
2025-11-12 00:55:50+00:00,2025-11-12 00:00:00+00:00,1017.0976,1016.96155,1016.5397,1017.31,1016.59247,1016.0815,1015.7792,1015.5708,1015.85944,1015.85944,1016.0592,1016.35284,1016.53723,1017.0076,1017.1163,1017.1338,1016.1242,1015.2091,1014.5446,1013.9817,1013.2007,1012.7006,1012.3559,1012.8487,1013.0894,1013.0592,1013.3291,1013.60736,1014.1759,1014.05255,1013.6432,1013.6218,1013.607,1013.693,1013.5821,1014.0693,1014.46246,1014.62585,1015.17706,1015.49255,1015.7676,1014.3242,1013.2623,1011.9098,1011.7147,1011.69824,1011.80524,1012.2107,1012.58563,1012.95856,1013.13007,1013.41187,1013.30164,1013.00903,1013.1066,1013.2009,1013.1866,1013.36096,1013.45215,1013.62164,1014.10095,1014.55347,1015.04474,1014.92847,1014.59753,1013.9532,1012.6927,1011.713,1011.2145,1010.9997,1010.8153,1011.23315,1011.50134,1011.38074,1011.25806,1011.24097,1010.9341,1010.7232,1010.6066,1010.5939,1010.0889,1010.07935,1009.8716,1009.7694,1010.1641,1010.5154,1010.5257,1010.31836,1009.99066,1008.74615,1007.1878,1006.2109,1005.81714,1005.406,1005.1302,1005.15173,1005.4188,1005.1991,1005.08325,1004.7689,1004.4592,1004.3462,1004.4316,1004.31854,1004.114,1003.9019,1003.6927,1003.8799,1004.26373,1004.51355,1004.7158,1004.60175,1003.77313,1002.5296,1001.5672,1000.8901,1000.4965,1000.2795,1000.5236,1001.0433,1001.47766,1001.8441,1002.2269,1002.51215,1002.69684,1002.6874,1002.7742,1002.85944,1002.9432,1003.1275,1003.5055,1003.88464,1004.39124,1004.94885,1005.5331,1005.71014,1005.2707,1004.3243,1003.6605,1003.2797,1002.98224,1002.9636,1003.3096,1004.0308,1004.5673,1004.9383,1005.2265,1005.41406,1005.59406,1005.67163,1005.754,1005.8409,1006.02844,1006.2187,1006.5006,1006.9835,1007.29346,1007.6496,1007.9317,1007.9088,1007.17896,1006.04443,1005.1837,1004.6807,1004.3532,1004.3259,1004.71075,1005.39746
2025-11-13 01:11:28+00:00,2025-11-13 00:00:00+00:00,1011.9597,1011.8261,1012.11096,1012.5685,1012.5315,1012.9039,1012.8828,1013.0633,1012.94446,1012.7317,1013.21375,1013.8976,1014.1849,1014.5367,1014.8893,1014.901,1014.5901,1014.04504,1013.1751,1012.79504,1012.6024,1012.394,1012.4347,1012.8347,1013.2578,1013.69995,1013.97345,1013.9543,1014.23413,1014.0391,1013.8152,1013.8932,1013.8607,1014.12366,1014.1025,1014.8821,1015.3589,1015.71277,1016.1633,1016.15216,1016.42804,1015.49286,1014.63983,1012.123,1011.7232,1011.70575,1011.51245,1011.7168,1011.78314,1011.6593,1011.8385,1011.9077,1011.7785,1011.4653,1011.3566,1011.2449,1011.1358,1010.8306,1010.7252,1010.5188,1010.9088,1011.47156,1011.4022,1011.30804,1010.69214,1009.5539,1008.0974,1007.32166,1006.62915,1006.01544,1005.8209,1006.21466,1006.27435,1006.34717,1005.9353,1005.72003,1005.30963,1004.99976,1005.0896,1004.9779,1004.6712,1004.3612,1004.3376,1004.5152,1004.90533,1005.2689,1005.38495,1005.1861,1004.76013,1003.52234,1002.06696,1001.2911,1000.8973,1000.8844,1000.9361,1001.42957,1002.18384,1002.7512,1003.026,1003.30664,1003.58575,1003.7733,1003.95447,1004.13727,1004.4224,1004.512,1004.6004,1004.89307,1005.4814,1006.22345,1006.72864,1006.91583,1006.68195,1005.6349,1004.573,1004.19507,1003.9996,1003.9825,1004.2268,1004.7453,1005.17847,1005.5435,1006.0224,1006.3047,1006.48773,1006.67236,1006.75757,1006.94037,1007.0255,1007.30896,1007.7827,1008.3572,1008.9658,1009.5329,1010.033,1010.22,1009.687,1008.8437,1008.0834,1007.6075,1007.3142,1007.29877,1007.74426,1008.5641,1009.2983,1009.7654,1010.14703,1010.4308,1010.71173,1010.8935,1011.07776,1011.1664,1011.15717,1011.3462,1011.726,1012.2044,1012.6133,1013.0755,1013.564,1013.64545,1013.10706,1012.2605,1011.49866,1011.02124,1010.63007,1010.415,1010.5593,1010.9786
2025-11-14 00:55:58+00:00,2025-11-14 00:00:00+00:00,1011.6672,1011.7177,1011.686,1012.8562,1012.21674,1011.7927,1012.1682,1012.644,1012.52356,1011.9094,1012.4823,1013.0584,1013.53375,1014.2741,1014.73926,1015.375,1015.0903,1014.2581,1013.59106,1013.2122,1012.6218,1012.50934,1012.4468,1012.6457,1012.78064,1012.7434,1013.0046,1012.9743,1013.1119,1012.1793,1011.4631,1011.14264,1011.0258,1010.8158,1010.6047,1010.8918,1011.1792,1011.4222,1011.4296,1011.0781,1010.5798,1009.5526,1008.6927,1007.0084,1006.2153,1005.7006,1005.3979,1005.61237,1005.58966,1005.3651,1005.251,1004.84174,1004.42395,1004.42554,1004.2178,1004.0058,1003.98206,1003.5683,1003.5557,1003.64703,1003.84204,1004.09064,1003.99615,1003.6915,1003.2687,1002.12866,1000.87317,999.90295,999.6099,999.49915,999.54944,1000.04474,1000.8048,1001.3802,1001.66406,1001.94476,1002.1386,1002.44037,1002.4312,1002.51526,1002.60046,1002.6782,1003.05493,1003.53784,1004.4208,1005.2676,1005.84686,1006.2087,1006.2087,1005.3622,1004.3488,1003.88464,1003.79395,1004.0716,1004.51685,1005.16394,1005.85944,1006.5474,1006.73395,1006.9146,1007.0921,1006.954,1007.09766,1007.2791,1007.2639,1007.1508,1007.23926,1007.53064,1008.41797,1008.859,1009.2504,1009.3233,1008.6866,1007.63934,1006.8765,1006.4969,1006.3015,1006.3848,1006.7356,1007.36426,1008.0063,1008.48145,1008.9695,1009.3555,1009.5327,1009.70514,1009.7847,1009.97095,1010.16,1010.4494,1010.73157,1011.114,1011.4239,1011.7809,1012.0636,1012.13763,1011.6943,1010.9429,1010.3765,1009.9971,1009.80444,1009.78735,1010.0319,1010.55133,1010.982,1011.33984,1011.71063,1011.8859,1011.96106,1011.8403,1011.72754,1011.6252,1011.43304,1011.44385,1011.7536,1012.2673,1012.6943,1012.94366,1013.1039,1012.95874,1012.30084,1011.43585,1010.5606,1009.7776,1009.0835,1008.6738,1008.73883,1008.98846
