forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:11:10+00:00,2025-11-05 00:00:00+00:00,988.96204,988.6207,989.89575,989.69104,988.9124,988.4229,988.4345,988.2643,988.02203,987.6831,987.9357,988.09796,988.1636,988.885,989.51624,989.851,989.132,988.30646,987.6137,986.8796,987.0155,986.92444,986.3399,985.7905,985.88184,985.8724,985.7481,985.67035,985.70105,985.3694,985.0073,985.2485,984.91034,984.3912,983.8597,984.6675,985.5963,986.0925,986.59204,987.3134,987.6585,987.0676,986.4074,985.2072,984.8036,984.532,984.318,984.3356,984.7983,985.0172,985.043,985.0744,985.0505,984.725,984.38153,984.0319,983.9717,983.6277,983.5913,983.6517,983.51874,983.7243,983.6431,983.18164,982.33325,981.41125,980.0319,978.7555,978.01526,977.6811,976.73706,976.6418,976.7212,976.9433,976.6077,976.55597,975.95764,975.6001,975.30426,975.2253,975.26013,975.07275,975.3513,975.243,975.55505,976.2719,976.82935,976.7944,976.83746,976.4596,975.8215,975.3237,975.1413,975.39294,975.64954,975.7492,976.0162,975.90173,976.3156,977.03064,976.97833,977.02216,977.18024,977.3384,977.38196,977.23236,977.37256,977.5969,978.3946,979.0932,979.81213,980.37714,980.6288,980.6403,980.9302,981.4604,982.1053,982.83093,983.61896,984.5823,985.32074,985.9008,986.35767,986.718,987.046,987.27094,987.4827,987.6811,987.969,988.2628,988.64575,989.2342,989.7297,990.3973,991.0712,991.43176,991.0755,990.3116,989.66986,989.4237,989.3021,989.4023,989.6785,990.1776,990.52496,990.7871,990.99786,991.03516,990.8794,990.6337,990.5042,990.5807,990.6705,990.8566,991.003,991.1492,991.3122,991.6796,992.0625,992.00104,991.3641,990.2943,989.3549,988.6554,987.98535,987.52625,987.4929,987.6519
2025-11-06 00:55:38+00:00,2025-11-06 00:00:00+00:00,984.047,985.0794,984.86,985.43066,984.85913,984.38983,984.584,984.2344,983.7639,983.4442,984.3794,984.51196,985.2361,985.41156,985.9137,986.492,986.8686,987.0787,986.25323,985.46686,985.30145,984.9889,984.3657,984.40576,984.68695,984.83673,984.2891,983.5597,983.2484,983.1591,982.7919,982.9127,982.6474,982.3635,981.91046,982.1329,982.2487,981.9473,981.98206,982.09296,982.128,980.9543,980.05096,978.73364,978.0786,977.43774,976.8402,976.6132,976.68616,976.45245,976.68616,976.94324,976.2882,975.74286,975.3204,975.28564,975.3589,975.1327,975.33325,975.53784,975.7198,976.2774,977.0002,977.2722,977.17224,976.8381,975.94794,975.54614,975.4017,975.2179,975.35724,975.39606,975.95386,975.92535,976.3971,976.6647,976.7668,976.6067,976.9819,977.21967,977.0769,976.95123,977.4171,977.7416,978.17255,978.4972,978.98224,979.12915,979.21,979.58636,978.97784,979.7493,980.0814,980.8317,981.4902,983.0353,984.8343,985.7492,986.79175,987.249,987.3469,987.45715,987.7213,988.5568,988.85156,989.0363,989.3103,989.54004,989.98254,990.42773,991.00446,991.21173,990.9624,990.525,990.15753,989.8416,989.5839,989.55206,990.0039,990.77594,991.48175,991.9689,992.2954,992.5187,992.529,992.4426,992.37555,992.3355,992.4115,992.59076,992.9295,993.37067,993.824,994.37445,994.9294,995.1559,994.73474,993.8863,993.082,992.4142,991.787,991.352,991.22076,991.27496,991.4061,991.50287,991.49,991.4835,991.26483,990.9562,990.74347,990.7241,990.80115,990.87836,991.0124,991.1468,991.3083,991.5991,991.90857,991.8886,991.11206,989.9086,988.9265,988.259,987.6173,987.2751,987.16034,987.14044
2025-11-07 00:54:40+00:00,2025-11-07 00:00:00+00:00,983.24036,983.4382,983.0652,982.94244,982.09296,981.0502,981.2868,981.5054,981.814,981.4522,981.5852,981.1386,980.7101,980.61957,980.38776,980.09656,979.8854,979.61304,978.60895,977.91345,977.5819,977.352,976.387,976.14484,976.16693,976.3996,976.0589,975.6481,975.7909,975.73334,975.53424,975.45483,975.2715,975.2925,975.08405,975.59985,976.03015,975.9511,976.3029,976.8044,977.56525,976.9265,976.74756,975.6792,975.54736,975.78503,975.8501,976.13586,976.5446,976.39624,976.77234,977.0792,976.9998,976.5432,976.21893,976.4652,976.67474,976.6571,976.95123,977.2854,977.5403,977.9465,978.3415,978.5807,978.7285,978.49536,978.1428,978.30774,978.7222,979.0267,980.38434,981.19525,982.06946,982.4667,982.38055,983.48956,983.37146,983.745,984.19257,984.696,985.30804,985.3091,986.0878,986.8658,987.49475,988.1178,988.68567,988.9233,988.92725,988.7699,988.1507,987.693,987.86115,988.32477,988.70886,989.6506,990.5253,990.91705,991.3149,991.5129,991.56757,991.56476,991.8642,992.09326,992.1493,991.7503,992.03284,992.5214,993.0169,993.4501,993.9659,994.0228,993.5157,992.6463,991.8101,991.05115,990.44196,989.9226,989.7091,989.586,989.5205,989.5088,989.4704,989.43823,989.4963,989.5669,989.5413,989.5155,989.3995,989.3801,989.41187,989.4368,989.502,989.6052,989.7262,989.6077,988.90875,987.97656,987.07324,986.3147,985.49725,985.0641,985.0408,985.29926,985.5341,985.7261,985.89465,985.9787,986.0631,986.0569,985.95416,985.7365,985.42236,985.2106,985.2702,985.52246,985.78357,986.2161,986.7353,986.9238,986.65094,986.14795,985.6769,985.3244,985.10834,985.10785,985.38324,985.8808
2025-11-08 00:50:07+00:00,2025-11-08 00:00:00+00:00,976.24133,975.3202,976.1774,976.01154,975.7909,975.837,975.76904,975.1777,975.38245,974.99005,975.67694,975.9438,975.8512,976.4484,976.67316,977.4924,977.54834,977.0807,977.1158,976.33655,976.0003,975.71576,975.21155,975.491,975.837,975.73334,976.07513,976.1718,976.38074,976.0733,975.71985,975.4857,975.3539,975.1374,975.08746,976.18536,976.91437,977.157,977.3759,977.75604,978.7219,978.8913,979.4054,979.1968,979.62476,980.4692,981.46674,982.13403,983.1504,983.53955,984.2338,984.76294,984.8869,985.1784,985.09686,985.39325,985.9202,986.1825,986.86255,987.15594,987.56525,988.28656,988.93335,988.92957,988.90466,988.4793,987.7315,987.3897,987.4672,987.847,988.229,989.08435,989.74567,990.41266,990.6866,990.9531,991.26556,991.2483,991.28394,991.1676,990.961,990.85803,991.2436,991.5259,992.0078,992.70483,993.185,993.20734,992.69714,991.86847,990.3828,989.2386,988.62384,988.123,987.8765,987.62994,987.9268,987.5925,987.5732,987.734,987.5155,987.59265,987.59265,987.59265,987.48975,987.03284,986.89124,987.07764,986.9487,987.0136,987.2291,987.0676,986.4146,985.3721,984.52295,983.92786,983.36536,983.16656,983.4391,984.0745,984.56116,984.6684,984.53284,984.54486,984.6592,984.82184,984.88763,984.8448,984.7053,984.6564,984.8468,985.2175,985.6036,986.09814,986.7057,986.9705,986.65955,986.113,985.615,985.37177,985.1785,985.1875,985.42944,985.8668,986.1718,986.332,986.3667,986.4196,986.47217,986.5501,986.62177,986.6931,986.6617,986.7394,986.9719,987.21094,987.47974,987.8765,988.3897,988.5562,988.34393,987.7911,987.24054,986.6606,985.9892,985.56683,985.5858,985.7606
2025-11-09 00:56:30+00:00,2025-11-09 00:00:00+00:00,976.4624,976.05396,976.5428,976.74194,976.46857,975.9727,975.90344,976.0386,976.08875,975.47394,975.5413,976.1825,976.38153,977.1749,977.71906,978.25977,977.87305,977.5203,977.70856,978.0777,978.4098,979.1083,979.6961,980.61755,981.79266,982.5498,982.8489,982.87036,983.0591,982.8616,982.76605,983.2814,983.93726,984.0394,984.20667,984.6418,985.10205,985.42413,986.3645,986.86127,987.85944,987.6601,987.4224,985.61743,986.0417,986.5568,986.90405,987.8155,988.6243,989.453,990.038,990.4805,990.8331,991.269,991.32526,991.588,991.34863,991.2186,991.3017,991.2617,992.1023,992.9247,993.36505,993.3679,992.9232,992.2506,991.1398,989.97784,989.18335,988.69434,988.19434,988.0678,988.57654,988.345,988.3194,988.30005,988.2614,988.2486,988.242,988.22266,987.8241,987.40594,987.277,987.3604,987.6498,988.377,988.07294,987.8638,987.40546,986.4899,985.40717,984.5577,983.9859,984.1097,983.92285,984.6426,985.28937,985.581,985.61237,985.75757,985.93866,985.83026,985.83026,985.9268,985.9268,985.8122,986.02936,985.9268,986.41565,986.65674,986.9452,987.2657,986.9959,986.54694,986.0011,985.64264,985.32434,985.2333,985.41394,985.7147,985.9674,986.13184,986.25323,986.28937,986.3257,986.27094,986.22235,986.17944,986.04034,986.0033,986.1227,986.3445,986.5932,987.04956,987.6214,987.85486,987.5183,986.854,986.21063,985.68677,985.18646,984.9031,984.875,985.05853,985.21045,985.3151,985.4903,985.4726,985.3402,985.0148,984.79175,984.68304,984.67126,984.6591,984.7924,984.9194,985.1485,985.3819,985.7116,985.70483,985.2162,984.493,983.7232,983.01056,982.34485,981.8915,981.7866,981.89526
2025-11-10 00:58:04+00:00,2025-11-10 00:00:00+00:00,982.91144,982.57117,983.6364,984.3341,983.8791,983.1243,983.17645,984.14246,984.0657,984.2394,984.05255,984.45685,984.59753,985.02094,985.49164,986.38696,986.3937,987.00494,987.0173,987.9614,988.7858,989.08185,988.8815,988.9895,990.0221,991.0061,991.50134,991.8277,992.3327,991.873,991.2946,991.29895,991.4516,991.5211,991.32837,991.714,992.28546,992.93494,993.10535,993.0113,993.1144,992.59784,991.98987,990.93115,990.3172,989.8345,989.23737,988.8206,989.03326,989.014,988.98175,989.3356,989.2132,989.2066,989.2903,989.065,988.92957,988.50476,988.2859,988.1698,988.4399,988.96246,989.1034,988.68384,988.14825,987.1249,986.44666,985.5125,985.0777,985.1726,985.1907,985.25726,985.6977,985.8179,985.769,986.0176,986.1565,985.93134,985.7797,985.7302,985.687,985.7155,985.8405,986.0738,986.6992,987.1201,987.6106,987.94824,987.5327,987.3159,986.36896,985.7039,985.5783,985.5706,985.3996,985.3659,985.6908,985.7261,985.56805,985.85175,985.92957,986.08563,986.24176,986.6278,986.5842,986.4009,986.6466,986.81476,987.188,987.5495,988.14197,988.29755,988.02484,987.4045,986.6833,985.97284,985.27893,984.7954,984.67975,984.8712,985.0206,985.1061,985.1548,985.21497,985.0762,984.94946,984.8226,984.68335,984.6471,984.6471,984.78613,984.9554,985.1728,985.3583,985.58856,985.41797,984.7554,983.8853,982.957,982.2449,981.5623,980.99506,980.673,980.5574,980.4035,980.2799,980.12427,979.9014,979.6906,979.40674,979.14075,978.91583,978.6176,978.2605,977.6955,977.17316,976.79443,977.0962,977.5357,977.6919,976.96045,975.8426,975.0257,974.6244,974.5185,974.4738,974.48517,974.6496
2025-11-11 00:54:24+00:00,2025-11-11 00:00:00+00:00,990.76935,990.1514,990.3682,991.808,991.9068,991.714,991.9743,991.542,990.4582,989.2612,989.9759,991.2094,991.2226,991.9199,992.54645,993.6865,993.17883,992.46985,991.64374,990.91907,990.04724,988.91974,988.0201,987.861,987.8062,987.70465,987.3323,986.9853,987.04974,986.709,986.3679,986.14264,986.01385,986.38696,986.1809,986.1993,986.3856,986.4902,987.027,987.101,987.3908,986.9232,986.4178,985.80237,985.49725,985.3307,985.313,985.73413,986.19196,986.51056,986.7451,986.9074,986.77386,986.7489,986.82086,987.1697,987.3506,987.1918,987.3408,987.29736,987.6394,988.36865,988.9746,988.9441,988.84174,988.44275,987.39856,986.7566,986.32983,986.1829,986.3343,986.4337,986.58496,986.74164,986.77124,986.7466,986.60126,986.3774,986.359,986.3527,986.4185,986.1884,986.2912,986.2542,986.5438,987.12067,987.5619,987.5243,987.39294,986.60376,985.45483,984.8402,984.368,984.10693,984.0043,984.1393,984.51056,984.75323,984.82,984.7905,984.6759,984.3684,984.3504,984.43524,984.6104,984.5927,984.67126,984.7557,985.03955,985.17694,985.5533,985.5687,985.2214,984.48553,983.8977,983.36176,982.9694,982.69293,982.6794,982.6856,982.84753,983.0444,983.2026,983.2698,983.217,983.0674,982.9355,982.9355,982.95905,982.9531,982.96106,983.0411,983.23425,983.6294,984.2295,984.40314,984.00464,983.3772,982.60175,981.8724,981.09875,980.5321,980.41644,980.5078,980.6579,980.73456,980.8748,980.92444,980.8716,980.8243,980.6921,980.4809,980.27606,980.0708,979.9148,979.84906,979.79425,980.0315,980.2675,980.35486,980.05225,979.60614,979.1149,978.67554,978.28314,977.949,977.74677,977.59576
2025-11-12 00:55:21+00:00,2025-11-12 00:00:00+00:00,986.35675,986.33984,985.8652,986.4768,986.49664,986.2459,985.91797,985.9886,985.8598,985.3517,985.2488,985.7118,985.68445,985.9553,986.81537,987.4271,986.72095,986.1681,985.84393,985.96643,985.7576,985.3767,984.91876,985.26514,985.647,985.7254,985.9178,986.1282,986.53723,986.2825,986.04614,986.06177,986.1926,986.298,986.06726,986.5122,986.74475,986.9819,988.2351,989.32654,990.0689,989.1458,988.2603,987.57,987.4505,987.64655,987.36145,987.58093,988.0155,987.84546,988.08,988.09045,987.89734,987.82947,987.71423,987.89526,987.88275,987.95435,988.0321,988.1041,988.44025,989.1935,989.5487,989.36847,989.01294,988.22437,987.1782,986.26215,985.6765,985.51215,985.29407,985.33655,985.52606,985.4785,985.44275,985.4129,984.9908,984.8703,984.6532,984.48987,984.1285,983.80273,983.881,983.676,983.85095,984.39954,984.59033,984.3057,983.74927,982.8321,981.49347,980.59296,979.916,979.5595,979.2112,979.1767,978.8856,978.81616,978.9337,978.363,978.1902,977.75665,977.61285,977.5595,977.5182,977.3918,977.0783,976.8494,976.916,977.0528,977.4343,977.44336,976.9988,976.3186,975.661,975.2599,975.0939,974.9424,975.0394,975.14606,975.4021,975.6908,975.9463,976.2014,976.33673,976.28436,976.33417,976.3899,976.36066,976.5246,976.858,977.2876,977.71533,978.404,979.0859,979.44464,979.2658,978.67,978.11945,977.7067,977.245,977.08826,977.2775,977.7666,978.11444,978.39215,978.7213,978.8741,978.91864,978.87195,978.8488,978.9631,979.1909,979.41315,979.4984,979.6741,979.7824,979.94257,980.1376,980.2408,980.15564,980.0698,979.9555,979.90924,980.0171,980.2456,980.91187,981.78455
2025-11-13 01:11:01+00:00,2025-11-13 00:00:00+00:00,984.28705,984.55426,984.7296,985.59845,985.797,985.24084,985.36,985.68463,985.99634,985.63226,986.36707,986.8182,986.9801,987.519,988.3987,989.4012,989.5383,989.3637,988.46643,988.22186,988.2048,988.14185,987.93396,988.1239,988.46454,988.61066,988.671,988.6703,988.977,988.5234,988.28107,988.23773,988.40625,988.5559,988.3971,988.9513,989.4088,989.4026,989.9377,990.48413,990.85834,990.01904,989.1829,987.2007,986.8084,986.4562,985.9745,985.82764,986.0282,985.95667,986.18646,985.94543,985.6075,985.4746,985.2513,985.22076,984.907,984.593,984.472,984.1643,984.5443,984.90735,985.0231,984.6565,984.19836,983.2941,982.0813,981.0044,980.1564,979.7085,979.42773,979.562,979.4576,979.3029,978.9602,978.8578,978.14044,978.06146,977.7921,977.8968,977.7527,977.4691,977.1198,976.891,977.157,977.475,977.82666,977.82446,977.363,976.6219,975.58936,975.10846,974.8929,974.89594,975.1436,975.6398,976.3174,976.71576,976.96594,977.2273,977.3923,977.56244,977.5455,977.92035,978.1022,978.2726,978.2554,978.4314,978.89734,979.3184,979.8084,979.99066,980.1094,979.5817,978.3822,977.96423,977.67957,977.5173,977.73334,978.17584,978.56366,978.86475,979.21716,979.3817,979.4323,979.3919,979.4654,979.7553,980.0625,980.449,980.795,981.2259,981.6124,982.1884,982.7193,983.03284,982.90216,982.5607,982.3159,982.3037,982.2913,982.5014,982.8615,983.33984,983.7825,984.1631,984.61304,984.9316,985.0904,985.1181,985.1629,985.3272,985.40063,985.67316,986.02484,986.4729,986.9793,987.57306,988.12714,988.3837,988.14435,987.6079,987.2081,987.03125,986.9923,987.0908,987.26904,987.5804
2025-11-14 00:55:26+00:00,2025-11-14 00:00:00+00:00,986.7103,986.0733,986.8353,987.4697,986.72125,986.64844,986.9079,986.9372,986.7855,986.3441,986.989,987.416,987.63116,988.067,989.08124,990.1156,989.80115,989.439,988.9332,988.35236,987.60693,987.3911,986.92554,986.6777,986.57587,986.318,986.247,985.985,986.0211,985.09174,984.4217,984.2643,984.01,983.5689,983.00653,983.27136,983.4213,983.374,983.5164,983.66455,983.49115,982.5916,982.0381,980.50433,979.84955,979.0783,978.84216,978.6074,978.73126,978.3716,978.1377,977.86505,977.4437,977.0778,976.99554,977.2265,976.89545,976.2863,975.8763,975.6653,975.8287,976.1523,976.4408,976.3747,976.2892,975.40704,974.44275,974.03357,973.8423,974.0886,974.62915,975.4021,976.02106,976.4583,976.7021,977.1562,977.2795,977.475,977.58496,977.8151,978.1475,978.26245,978.67285,978.9982,979.7523,979.98865,980.9936,981.3551,981.29724,980.7067,980.2582,979.7633,979.8428,979.8768,980.3624,980.3037,980.8102,981.13165,981.3402,981.38727,981.0765,980.89703,980.958,980.95215,981.03076,981.09766,981.1643,981.7069,981.7605,981.87286,982.0605,982.0483,981.65106,980.84906,980.2916,980.1264,980.0298,980.28577,980.86066,981.5994,982.2751,982.84906,983.36707,983.771,983.8273,983.6726,983.6324,983.7405,983.9625,984.1733,984.42834,984.672,985.0641,985.64026,986.171,986.50714,986.27344,985.7539,985.274,984.9092,984.5802,984.59906,985.1303,985.89886,986.40906,986.40186,986.2296,986.069,986.0105,986.05426,986.10944,986.1706,986.3343,986.498,986.54694,986.69257,986.7832,987.0358,987.23334,987.2606,986.85016,986.0685,985.40393,984.7842,984.1805,983.7867,983.729,983.8757
