forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:11:09+00:00,2025-11-05 00:00:00+00:00,983.50665,983.5423,984.5035,984.51025,983.58344,982.97235,983.1021,982.8125,982.51556,982.0795,982.3576,982.62427,982.6599,983.34924,984.56506,985.22424,984.531,983.82324,983.0351,982.34894,982.3358,982.1306,981.6692,981.27,981.0534,980.7616,980.9144,980.57794,980.8513,980.3836,979.98376,980.2155,979.9671,979.3205,978.7982,979.63385,980.2634,980.8031,981.5937,982.4167,982.70825,981.9818,981.2009,979.997,979.49054,979.1003,978.6759,978.6012,979.1342,979.24603,979.3573,979.33154,978.9617,978.6187,978.0766,978.0356,977.80927,977.5483,977.38983,977.3482,977.49866,977.80927,977.8802,977.663,977.09827,976.16974,974.7774,973.71136,973.0504,972.724,972.00165,971.969,972.1277,971.9679,972.0004,971.7936,971.34814,970.97003,970.8761,970.62695,970.6593,970.5632,970.64655,970.6397,970.9527,971.5928,972.01984,972.11725,972.0136,971.6844,970.7577,970.2116,969.873,970.12616,970.44995,970.5372,971.0597,971.1796,971.5178,972.06793,972.1377,972.1939,972.44226,972.601,972.5608,972.3979,972.4958,972.7165,973.5062,974.1645,975.053,975.6872,975.8832,975.9361,975.9925,976.3335,976.6818,977.28766,978.1225,979.1148,979.9802,980.692,981.37195,981.87445,982.06647,982.16974,982.27985,982.4933,982.81696,983.2291,983.7063,984.27893,984.76587,985.4195,985.9846,986.2582,985.8563,985.1557,984.5727,984.3622,984.26624,984.3663,984.7071,985.135,985.52765,985.74786,985.8426,985.8557,985.79553,985.5584,985.4248,985.38684,985.4371,985.50275,985.61786,985.73303,985.9055,986.343,986.8264,986.85754,986.1835,985.16785,984.1688,983.49756,982.8456,982.4746,982.3947,982.4849
2025-11-06 00:55:36+00:00,2025-11-06 00:00:00+00:00,979.09204,980.00464,979.7882,980.6125,979.60345,979.08075,979.59454,979.1544,978.7211,978.19226,979.1311,979.4053,979.9604,980.16876,980.7627,981.4425,981.7645,981.5728,980.9956,980.0459,979.7952,979.69904,978.89825,978.9732,979.1849,979.2377,978.704,977.8971,977.6108,977.2345,976.80383,976.6944,976.61865,976.57764,976.1247,976.5291,976.48755,976.0631,976.3494,976.6986,976.94995,975.89026,974.8137,973.48083,972.91644,972.47455,971.98236,971.7953,971.74146,971.51117,971.8757,972.07117,971.61694,971.1796,970.87134,970.68585,970.74493,970.69025,970.76685,970.78845,970.8948,971.48126,972.2435,972.4761,972.4113,972.1009,971.14874,970.5563,970.3825,970.2202,970.32733,970.6999,971.2451,971.41174,971.7706,972.1425,972.07056,972.1992,972.211,972.3291,972.42926,972.3299,972.7177,973.01587,973.44336,974.14935,974.22925,974.408,975.0277,975.0539,974.9051,974.8918,975.62067,976.27026,976.87585,978.05945,979.54504,980.58496,981.78204,982.2979,982.66046,982.49316,982.8631,983.42413,983.7921,984.0938,984.5716,984.75366,985.3258,985.8435,986.36536,986.656,986.3837,985.8884,985.32587,984.9109,984.6305,984.55817,984.93677,985.6158,986.24713,986.5904,986.8905,987.10944,987.1365,987.1788,987.1326,987.19763,987.27814,987.4542,987.7833,988.1124,988.5889,989.2068,989.7627,989.98425,989.543,988.7723,988.02313,987.3945,986.88043,986.523,986.3252,986.3705,986.32434,986.29535,986.177,986.0664,985.9334,985.7119,985.5865,985.55695,985.63043,985.7042,985.82886,985.9534,986.1464,986.6121,987.12555,987.194,986.5795,985.52014,984.5681,983.7199,983.0733,982.5063,982.32794,982.3176
2025-11-07 00:54:38+00:00,2025-11-07 00:00:00+00:00,977.945,977.8749,977.5058,977.4657,976.5402,975.51855,975.8634,975.76794,976.11084,975.7537,975.9102,975.1961,974.83997,974.9301,974.95544,974.92175,974.8316,974.68524,973.6905,972.98413,972.7348,972.6006,971.75464,971.54236,971.9402,971.62897,971.1132,971.04346,970.8815,970.68616,970.42395,970.4706,970.39404,970.29156,970.2018,970.8946,971.2396,971.2791,971.5961,971.95844,972.7037,972.10767,971.65845,971.26794,971.19714,971.10706,970.7446,970.76324,971.26874,971.50684,971.7756,972.14557,972.1914,971.8854,971.8062,972.0448,972.10406,972.0513,972.27673,972.59436,972.84265,973.25116,973.6447,973.85333,973.9376,973.8173,973.3802,973.61584,973.9089,974.2026,975.35803,975.83923,977.1603,977.26105,978.3144,978.6135,978.77295,978.9966,979.78125,980.241,980.5752,980.6275,981.358,981.79205,982.64594,983.2366,984.02136,984.2138,984.18134,983.9922,983.1254,982.674,982.94055,983.28186,983.7375,984.6121,985.43164,985.8001,986.19,986.39557,986.6586,986.5648,986.72253,986.8911,986.69165,986.6611,986.92523,987.11707,987.87634,988.4704,989.1217,989.355,988.8079,987.8828,986.9058,986.0636,985.35046,984.8077,984.6318,984.611,984.5738,984.4352,984.3836,984.251,984.21405,984.29535,984.28046,984.36176,984.33936,984.4206,984.4423,984.5595,984.6491,984.84717,985.0918,984.979,984.43787,983.5421,982.74817,981.9695,981.2068,980.72943,980.6471,980.74615,980.9282,980.9942,981.0621,981.14417,981.24023,981.25415,981.16516,980.94507,980.61456,980.39435,980.4408,980.78925,981.06647,981.5673,982.084,982.3463,982.0157,981.245,980.6956,980.36285,980.151,980.1433,980.3682,980.7837
2025-11-08 00:50:06+00:00,2025-11-08 00:00:00+00:00,971.3885,970.57996,971.5774,971.20264,971.1132,970.86444,970.9538,970.45996,970.3442,969.92664,970.5692,971.017,971.0538,971.3055,971.686,972.491,972.63965,972.29346,972.152,971.73474,971.17664,970.75995,970.2478,970.6187,971.0457,970.9473,971.3685,971.299,971.5968,971.24805,970.8859,970.9415,970.805,970.63983,970.51,971.4708,972.5682,972.92,973.4349,973.9426,974.86176,974.99866,975.24603,974.6632,975.0305,975.68024,976.1135,976.5934,978.14777,978.826,979.5796,980.22974,980.06915,980.1815,980.5824,980.967,981.15906,981.56396,981.5988,982.4446,982.9289,983.83746,984.425,984.5679,984.3023,983.895,983.2287,982.79944,983.06573,983.1546,983.6079,984.40576,984.9656,985.62823,985.90643,986.2146,986.3151,986.4271,986.16956,986.11536,985.98883,985.88513,986.1957,986.6904,987.1696,987.8306,988.3152,988.2284,987.6925,986.82733,985.50995,984.4154,983.8126,983.3868,983.1068,982.7347,982.855,982.67114,982.40607,982.5461,982.42816,982.39874,982.4797,982.7012,982.88574,982.50916,982.4353,982.48676,982.5745,982.5932,982.7552,982.63306,982.06177,981.14355,980.19904,979.5357,978.99194,978.75354,978.8631,979.1719,979.5654,979.85364,980.12067,980.3333,980.4029,980.31354,980.16846,980.03754,979.8525,979.8315,979.98724,980.2166,980.5792,981.2096,981.87854,982.1984,981.83655,981.2266,980.6463,980.3841,980.3444,980.3085,980.4954,980.6705,980.9282,981.06915,981.19775,981.3402,981.4826,981.55023,981.61084,981.568,981.4361,981.49646,981.72,981.95026,982.32446,982.85114,983.422,983.7361,983.4611,982.9499,982.3437,981.6522,980.9725,980.4838,980.39453,980.48865
2025-11-09 00:56:29+00:00,2025-11-09 00:00:00+00:00,970.8498,970.7785,971.1418,971.73596,971.6437,971.19977,971.44183,971.339,971.5045,970.8812,971.02686,971.7488,971.7979,972.8169,973.4993,973.932,973.7984,973.4838,973.47687,973.7419,974.26733,974.8958,975.1706,976.00946,977.1418,977.9557,978.4988,978.5539,978.86646,978.5797,978.5727,979.02277,979.5303,979.7818,979.963,980.6623,981.00806,981.3685,982.3729,982.8849,983.8983,983.7003,983.1909,981.40857,981.83606,982.16864,982.8339,983.3863,984.27045,985.08093,985.78033,986.37585,986.54956,986.72253,986.6533,986.7184,986.48016,986.33044,986.5712,986.75543,987.52966,988.44025,988.8382,988.81915,988.3372,987.63025,986.31494,985.037,984.3595,983.76245,983.3244,983.149,983.5716,983.3875,983.03326,983.0849,983.06287,983.2177,983.2838,983.27637,983.10693,982.7825,982.88574,982.85596,983.23975,983.99097,984.0214,983.51056,982.92096,982.1898,980.9912,980.3351,979.7845,979.6754,979.73773,979.7305,980.2934,980.73883,981.02026,981.1163,981.39777,981.19196,981.0823,981.1715,980.96576,980.6636,980.8558,980.8626,981.2608,981.5075,981.91815,981.99066,981.6975,981.07404,980.7347,980.4084,980.19653,980.0926,980.15216,980.4106,980.6417,980.931,981.19196,981.35693,981.3913,981.3225,981.26056,981.0951,980.9368,980.8811,980.9964,981.2145,981.4695,981.9535,982.56915,982.8412,982.54095,981.8129,981.1976,980.6841,980.08765,979.78674,979.7209,979.8411,979.9388,979.9962,980.1343,980.0867,979.94293,979.71674,979.5863,979.45593,979.4288,979.3944,979.4147,979.5237,979.66833,980.0322,980.5132,980.6528,980.2017,979.51086,978.75415,978.04846,977.285,976.811,976.65625,976.59894
2025-11-10 00:58:02+00:00,2025-11-10 00:00:00+00:00,977.981,977.8803,978.603,979.5445,979.24493,978.69305,978.6151,979.399,979.9968,979.7743,979.6772,980.1852,980.19025,980.9951,981.26227,982.2678,982.3724,982.7344,982.6378,983.23566,984.27576,984.7487,984.69684,984.8858,985.96094,986.6601,987.0937,987.2286,987.7118,987.10876,986.5415,986.6373,986.8861,987.2901,987.00244,987.57764,988.24884,988.68555,988.8176,988.8735,989.0446,988.2087,987.6365,985.96216,985.278,984.7837,984.2632,983.71765,983.94055,983.94824,983.7862,983.9556,983.8523,984.02216,984.2064,984.3468,984.2215,983.94824,983.8744,983.93335,984.066,984.5218,984.61176,984.5947,983.92255,982.8827,981.8696,981.187,980.66315,980.55365,980.61615,980.5127,980.78625,981.0468,981.24005,981.31537,981.5075,981.391,981.3501,981.31573,981.0406,980.71545,980.8304,981.0621,981.47876,982.1959,982.6471,982.7124,982.67224,982.08167,981.0592,980.54095,980.2329,980.1284,980.006,980.0871,980.4579,980.416,980.4077,980.60516,980.4392,980.4042,980.53284,980.71063,980.6543,980.4266,980.583,980.92456,981.1912,981.67786,982.37244,982.7124,982.4765,981.94446,981.2857,980.69037,980.1133,979.63116,979.3829,979.3196,979.2355,979.30493,979.44916,979.504,979.3462,979.0027,978.7831,978.6184,978.48834,978.5091,978.6117,978.77496,978.9741,979.31195,979.6724,979.6025,978.968,978.01575,977.087,976.38763,975.8235,975.3555,975.0141,974.75604,974.5658,974.4107,974.2264,974.0965,974.0207,973.8965,973.67584,973.24915,972.7196,972.1632,971.5596,970.9362,970.7173,971.11475,971.8213,972.1632,971.67334,970.7223,969.9364,969.419,969.0604,968.82227,968.7405,968.76184
2025-11-11 00:54:23+00:00,2025-11-11 00:00:00+00:00,985.6001,985.3124,986.31683,987.1317,986.99786,986.6221,986.9173,986.5412,985.87,985.10297,985.76666,986.9098,986.806,987.6037,988.073,988.8297,988.52026,987.79395,986.9043,986.14453,985.2231,984.30505,983.2815,983.0432,983.18,983.02637,982.6875,982.3633,982.1423,981.98083,981.6344,981.406,981.33997,981.64996,981.67194,981.7899,981.9298,982.0768,982.7164,982.8286,983.2874,982.7075,982.19495,981.3959,981.1539,981.0246,980.95557,981.0884,981.4977,981.69464,981.7554,982.0366,981.94055,981.9474,981.94055,982.11127,982.3854,982.0901,982.2611,982.2329,982.48517,983.1139,983.75867,983.91455,983.80566,983.4212,982.20667,981.39996,980.9434,980.8122,980.69214,980.9718,981.17816,981.2944,981.4586,981.4992,981.36816,981.14136,981.2024,981.0924,980.9893,980.9964,981.0784,981.1674,981.35266,981.946,982.50836,982.5063,982.40546,981.4339,980.29987,979.58167,979.06854,978.66833,978.6901,979.18787,979.62225,979.7511,979.82025,979.9433,979.9338,979.72174,979.49854,979.4208,979.34595,979.31165,979.3873,979.35986,979.81305,980.18274,980.7229,980.9061,980.58844,979.90173,979.2084,978.6563,978.0346,977.6315,977.4904,977.56256,977.6962,977.7752,977.92053,977.9698,977.806,977.6491,977.50586,977.4855,977.3894,977.4719,977.5823,977.768,977.9805,978.5139,979.1582,979.3656,978.8942,978.09357,977.3238,976.7016,976.21405,975.82996,975.6752,975.6175,975.634,975.7055,975.75446,975.82336,975.79663,975.6937,975.5773,975.427,975.16003,975.0096,974.7558,974.6185,974.584,974.9318,975.48535,975.60254,974.9639,973.9957,973.148,972.705,972.3847,972.20593,972.0403,971.91724
2025-11-12 00:55:20+00:00,2025-11-12 00:00:00+00:00,981.58435,981.5288,980.97614,981.97235,981.66986,981.3454,981.08075,980.9189,981.0446,980.62415,980.7643,981.1996,981.3617,981.7158,982.31116,983.0552,982.6429,981.9808,981.56476,981.57495,981.33954,981.0446,980.6234,980.9132,981.1753,981.1881,981.3301,981.4849,981.8522,981.4935,981.0667,981.1878,981.28687,981.2751,980.9892,981.36743,981.67834,981.7669,983.2856,984.36615,985.24677,984.41614,983.2917,982.6744,982.37933,982.37695,982.0195,981.995,982.50226,982.5292,982.7488,982.83813,982.68646,982.3007,982.2727,982.4369,982.676,982.542,982.47125,982.72363,982.9831,983.669,984.17035,984.13904,983.889,983.2207,982.09406,981.2933,980.72253,980.37585,980.1324,980.1243,980.37384,980.4642,980.3136,980.27924,979.95703,979.73737,979.79913,979.4972,979.2023,979.003,978.79047,978.56384,978.9273,979.4767,979.807,979.5752,979.2465,978.2539,976.91364,976.00244,975.5088,975.0409,974.59033,974.22925,974.48737,974.30414,974.1411,973.8883,973.4633,973.2374,973.1902,972.9503,972.8134,972.8548,972.69055,972.4709,972.64233,972.7999,973.1682,973.25543,972.7583,971.98816,971.3139,970.81226,970.5298,970.358,970.5075,970.8453,971.15967,971.425,971.67334,971.8322,971.88806,971.86145,971.82794,971.88354,971.93274,972.0844,972.3941,972.7039,973.1358,973.76984,974.52057,974.8347,974.5731,973.8859,973.3265,972.90186,972.6132,972.5252,972.67487,973.01917,973.33405,973.49646,973.7249,973.8907,974.0894,974.23224,974.44446,974.6099,974.666,974.8315,974.9276,975.1333,975.2828,975.60803,975.9653,976.0765,975.6919,975.06946,974.7549,974.82,975.1996,975.6872,976.1971,976.9072
2025-11-13 01:10:59+00:00,2025-11-13 00:00:00+00:00,979.6717,979.6585,980.2333,980.79407,980.9019,980.5647,980.7214,980.65765,981.0243,980.71094,981.023,981.697,981.6393,982.20056,983.2488,984.2685,984.57513,984.44556,983.68536,983.36584,983.2632,983.377,983.0968,983.13416,983.3434,983.2676,983.43756,983.56,983.72894,983.31384,982.93365,982.9443,983.0718,983.08167,982.92096,983.33594,983.7722,983.9912,984.7614,985.36487,985.88794,985.05945,984.22107,982.06976,981.6528,981.37024,980.84894,980.61334,980.9242,980.8353,980.8626,980.7047,980.37524,980.3407,980.121,980.10706,979.695,979.46826,979.35126,979.1384,979.30945,979.9632,980.16656,980.0798,979.6884,978.6322,977.5035,976.49,975.8936,975.43866,975.06573,974.89545,974.8518,974.7983,974.4361,974.27954,973.89514,973.7364,973.4952,973.4751,973.4904,973.18335,972.8754,972.83453,973.08105,973.4228,973.7155,973.6859,973.39954,972.5972,971.62115,971.01086,970.6324,970.5883,970.7446,971.19055,971.70624,972.19073,972.41925,972.469,972.7305,972.71063,972.8762,973.1374,973.303,973.45935,973.5286,973.6673,973.9858,974.58777,975.20685,975.46985,975.56036,974.9557,973.8057,973.4773,973.1821,973.0943,973.24524,973.5077,973.8237,973.987,974.21576,974.3749,974.6632,974.8886,975.197,975.37604,975.53503,975.79016,976.10126,976.5078,976.9191,977.49756,978.0829,978.4523,978.2152,977.7762,977.33057,977.1254,976.9164,976.9954,977.37506,978.036,978.6065,979.0034,979.3167,979.63,979.7373,979.8507,979.9704,980.2123,980.4677,980.72943,980.9714,981.30914,981.6309,982.2778,982.91266,983.3327,983.1537,982.5749,982.11755,981.86017,981.6236,981.60004,981.82605,982.3617
2025-11-14 00:55:25+00:00,2025-11-14 00:00:00+00:00,981.51025,980.98285,981.3808,981.7979,980.993,981.169,981.5855,981.6038,981.31946,981.04877,981.5074,982.04016,982.1819,982.5989,983.6715,985.0679,984.8764,984.32275,983.84283,983.356,982.61835,982.3875,981.9053,981.7043,981.5876,981.13916,981.0516,980.763,981.0787,980.18585,979.39526,979.2783,978.96716,978.54535,978.0088,978.3715,978.5496,978.5524,978.9036,979.21136,979.08356,978.2379,977.57043,976.1178,975.4126,974.87415,974.21313,974.1196,974.0694,974.0295,973.7767,973.60474,973.34045,973.04565,972.8491,972.56976,972.81104,972.3389,971.9273,971.77594,971.803,972.17865,972.4093,972.45514,972.23883,971.41095,970.44806,969.8501,969.54895,969.67194,969.89813,970.80255,971.42993,971.5687,971.8024,972.12775,972.5055,972.6913,973.0558,973.32416,973.6623,973.8839,974.1881,974.2944,974.467,975.51025,976.10345,976.5197,976.5835,976.25305,975.42566,975.0469,974.5987,974.72705,974.7708,974.92865,975.18463,975.5773,975.5287,975.5151,975.43896,975.5893,975.7257,975.9044,975.97363,976.10345,976.3224,976.6867,977.0912,977.3708,977.6565,977.7715,977.5162,976.8597,976.3117,975.9517,975.703,975.7114,976.07245,976.6892,977.33044,977.93243,978.46423,978.7904,978.6861,978.4651,978.2763,978.4423,978.8269,979.1153,979.36383,979.6055,979.91406,980.4446,981.0396,981.3377,981.04376,980.5489,980.0919,979.85986,979.6738,979.71313,979.9462,980.4022,980.58636,980.4298,980.09955,979.79474,979.7149,979.7511,979.7937,979.93207,980.07043,980.22894,980.4699,980.72406,980.97076,981.27563,981.6707,981.64435,981.0629,980.1585,979.3108,978.527,977.71155,977.23035,977.2637,977.53467
