forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:11:27+00:00,2025-11-05 00:00:00+00:00,122.90524,106.38962,102.09474,120.256355,126.86998,150.9455,128.65984,135.0001,180.0,315.0001,44.999897,206.56499,201.80147,200.55612,213.6901,220.0302,221.76021,227.04541,233.61555,232.88306,236.65927,240.42226,252.89719,250.20103,231.009,229.89915,281.3099,283.49576,282.80426,279.09018,287.1028,277.4313,280.88547,277.4313,266.186,278.97253,284.6209,300.96368,311.82007,321.8427,339.44388,25.201094,33.6901,53.13002,66.037506,74.74483,74.47583,73.300674,73.300674,84.805664,97.43131,116.56499,116.56499,98.530685,108.43504,109.290146,114.22774,115.34614,102.5288,82.875084,90.0,94.08554,135.0001,161.56496,180.0,189.16228,196.38962,202.30626,200.72563,199.9832,196.9276,194.03627,216.86998,182.3859,204.22774,229.39879,224.9999,215.53777,223.91916,219.40063,231.58191,245.32315,257.66092,252.18102,220.91429,229.76372,220.23628,236.97612,242.52565,247.06787,255.52966,268.26434,262.09293,273.17978,227.72638,222.70937,284.03625,318.36655,326.3099,294.44394,270.0,270.0,266.98727,270.0,272.72626,270.0,272.6025,280.30478,280.30478,284.6209,297.21603,299.29126,295.08356,295.20108,299.51138,302.68054,308.10764,311.92245,314.39697,316.80872,318.6523,321.89236,326.05637,329.1986,330.85202,332.1028,332.52567,331.9909,331.38962,330.70874,329.9315,327.84772,326.3099,323.97253,322.59457,321.34018,318.57642,315.90927,312.27362,307.87503,303.34073,301.60745,304.7779,312.08908,317.0454,316.1232,313.72705,309.28937,307.30402,308.65982,310.10083,315.0001,320.1945,325.6196,322.59457,317.1211,312.8789,313.1524,313.4519,313.6029,313.66785,313.72705,312.5104,307.56866,303.6901,299.0545,298.4428,297.75842
2025-11-06 00:57:05+00:00,2025-11-06 00:00:00+00:00,223.36346,232.3057,246.80139,244.65387,261.2539,279.46225,292.16638,293.1986,296.56497,296.56497,298.4428,305.21768,320.1945,296.56497,357.27374,51.952908,83.99109,74.875946,88.31535,100.12462,109.09359,113.198616,100.619606,70.01681,79.69521,97.43131,87.5105,94.23632,111.501495,119.74479,120.0685,120.46546,94.39862,49.085716,49.398785,27.897186,30.963696,87.27374,119.357666,135.0001,167.00539,191.30989,205.2011,208.61037,205.90645,210.96368,202.8337,207.89717,201.25058,219.47243,220.91429,233.74606,243.43501,222.87889,220.91429,231.7098,234.78232,243.43501,227.12111,254.3577,260.53775,272.72626,246.80138,257.00537,230.19447,236.3099,240.01845,215.21768,232.43134,230.44037,216.86998,220.60121,246.0375,255.96373,214.69522,198.43504,203.19861,210.0685,215.21768,219.47243,232.12495,240.2552,249.14546,242.44727,252.47433,259.69522,273.814,280.71307,281.0409,279.65982,283.7608,286.22028,294.2744,298.85556,306.3046,318.81418,313.7812,309.69904,313.22855,315.0001,316.14566,316.80872,315.0001,316.93057,316.30188,312.8789,312.2072,312.33694,309.8055,310.91428,314.37048,317.77924,316.70132,315.0001,316.73566,318.07755,320.31458,322.4958,323.39282,322.76508,322.12494,322.59457,320.1945,319.89914,316.73566,309.47244,302.90524,296.56497,291.25058,287.52567,284.03625,278.53067,278.13,279.86575,285.6423,286.50443,285.94547,282.09473,280.1246,278.13,276.3401,272.20255,262.5687,244.65387,230.90614,224.9999,224.9999,226.73567,228.36655,228.17992,231.34016,235.0079,242.35411,246.80139,249.14546,251.56496,253.0724,255.96373,257.125,258.6901,260.9606,263.92764,265.13556,260.9606,253.85559,248.4985,248.19853,249.67677
2025-11-07 00:55:05+00:00,2025-11-07 00:00:00+00:00,87.3975,101.3099,104.743614,102.80426,100.00792,109.440125,136.63654,149.53453,135.0001,122.73522,115.20109,102.5288,111.801476,90.0,153.43501,184.76355,200.55612,208.7397,209.19739,203.83875,202.03629,209.42737,217.6943,200.85454,190.78426,207.64589,219.80553,209.4758,216.46933,220.23628,233.97253,230.71062,232.69597,274.23633,228.01286,282.5288,323.13,146.3099,233.13002,265.23645,261.2539,220.60121,202.93213,227.29063,224.9999,226.8476,208.30066,230.19447,224.9999,172.87508,174.2895,180.0,202.6199,217.56866,204.22774,200.85454,209.4758,230.52757,251.56496,245.77226,236.3099,227.12111,244.35904,246.80138,237.52882,244.8852,236.82147,264.50778,291.318,274.18484,290.43292,299.60434,303.91745,309.92032,304.24908,303.9591,310.50278,310.81497,312.2072,311.37842,311.55252,310.17917,310.0607,309.28937,308.0471,310.17917,312.33694,315.60303,315.0001,315.64368,316.30188,316.24527,315.62952,314.27487,315.0001,315.74396,318.09415,321.91116,327.03058,328.2986,328.17258,325.71307,320.52756,315.0001,315.0001,325.30478,333.43503,347.00537,319.39877,270.0,252.89719,246.3706,240.2552,231.7098,245.37645,249.44388,253.0724,254.74483,247.1663,233.13002,223.02507,221.18582,224.9999,226.73567,230.19447,239.0363,242.35411,242.35411,240.2552,240.2552,239.0363,241.1893,244.5367,250.9064,258.0239,261.2539,262.0566,263.92764,262.8751,260.13425,256.29303,253.0091,252.64589,255.96373,258.6901,260.53775,260.53775,260.53775,260.53775,262.8751,265.23645,270.0,274.76355,279.46225,279.46225,277.4313,279.46225,287.1028,295.76926,300.69965,302.47116,302.90524,302.90524,304.50858,307.18478,310.2363,315.0001,320.7106
2025-11-08 00:50:26+00:00,2025-11-08 00:00:00+00:00,198.43504,195.25517,202.47948,196.38962,209.7448,218.92755,215.53777,231.95291,227.60262,237.99466,238.24055,197.52567,360.0,135.0001,165.96373,187.59456,205.2011,203.19861,217.74687,220.31403,221.42357,223.21011,222.70937,213.02386,234.16226,247.75093,285.25516,245.55606,216.25392,222.87889,239.9315,255.37909,257.90524,245.22488,229.18501,227.29063,234.46223,265.03033,274.39862,268.977,270.0,271.6135,276.66656,285.6796,290.07162,292.20352,303.42484,309.47244,316.30188,312.97864,312.5104,313.7812,313.7812,314.40942,313.06943,309.09384,311.78442,312.27362,308.8114,309.55963,307.26648,307.45065,307.0566,310.78574,307.87503,309.17365,305.34018,304.15976,303.91745,303.42484,307.87503,310.97165,308.08884,321.34018,328.13406,325.4914,324.09018,324.6887,324.16226,321.34018,310.60123,293.6294,273.3664,263.9911,254.05453,260.13425,277.69595,282.875,281.00348,273.27042,273.27042,266.53183,257.27563,252.1212,226.97493,219.09384,224.9999,224.9999,224.9999,229.63554,235.0079,233.13002,238.24055,243.43501,244.44008,238.67136,245.37645,245.55606,238.24055,243.43501,247.1663,252.64589,254.19742,259.31512,258.4862,258.4862,257.00537,255.96373,254.98158,252.1212,248.19853,244.35904,241.8215,243.43501,250.9743,263.41815,277.1249,282.26477,285.25516,288.43503,288.43503,289.29013,292.24908,298.30066,302.00534,304.046,305.2725,306.02747,306.86996,307.97165,309.8055,313.0251,317.29062,320.44037,324.46225,323.61554,320.1945,316.73566,313.26434,309.8055,309.8055,309.8055,315.0001,318.57642,324.16226,332.24155,337.1663,344.47583,348.6901,345.9637,318.81415,284.03625,270.0,270.0,275.7105,275.7105,260.53775,239.03632
2025-11-09 00:56:47+00:00,2025-11-09 00:00:00+00:00,119.74479,220.60121,180.0,186.3401,238.39255,219.80553,213.6901,227.29063,237.26477,227.12111,235.0079,236.88864,234.6887,241.2603,243.43501,245.13632,256.46414,254.05453,257.36664,264.2895,263.5585,281.3099,283.0693,306.09836,303.9591,305.4334,305.4334,307.72504,308.36752,305.4334,302.68054,302.90524,301.8274,304.641,299.14798,301.47678,297.37762,304.46088,303.6901,301.75943,299.56024,298.49554,294.92844,299.4758,297.6129,302.2756,304.21576,310.3998,308.50067,305.07382,302.55,302.55,305.53775,308.2902,306.60718,304.8754,301.8274,292.6199,278.13,264.80566,255.37909,260.21765,277.9434,283.70697,276.48297,272.6025,272.72626,271.46878,265.23645,258.0239,234.78232,226.97493,224.9999,228.36655,224.9999,228.36655,233.61555,244.5367,243.43501,241.38963,233.97253,235.78424,239.74365,237.52882,235.71307,238.39255,252.40749,258.4654,260.36252,263.6599,262.99884,261.87,262.61404,262.40546,265.71094,258.23172,255.37909,261.2539,255.37909,240.94548,242.10283,244.7989,243.43501,244.65387,253.30067,255.2564,258.6901,255.96373,255.2564,261.02747,270.0,292.6199,267.70944,271.68463,283.70697,281.88864,280.6196,283.49576,297.75842,319.0857,334.65387,336.0375,331.9276,328.39255,328.39255,331.9276,336.3706,339.44388,346.75946,353.29025,356.82022,356.82022,360.0,7.12493,15.945477,18.435053,5.7105074,333.43503,311.18582,304.9921,302.47116,304.9921,303.6901,315.0001,123.690094,135.0001,180.0,224.9999,236.3099,255.96373,258.6901,260.53775,260.53775,260.53775,251.56496,251.56496,236.3099,224.9999,218.65984,214.69522,209.35765,202.8337,198.43504,192.26476,187.12492,182.29056,175.23645,167.73524
2025-11-10 00:58:30+00:00,2025-11-10 00:00:00+00:00,306.68982,312.614,313.85434,315.0001,313.22855,313.06943,312.45514,314.35632,307.07315,303.6901,305.1665,301.75943,297.18103,292.78244,298.4741,296.56497,294.37646,290.82095,293.82425,293.55228,295.20108,295.27768,297.25525,293.07043,281.113,305.13428,297.5119,296.1468,302.22873,302.00534,291.03757,286.31393,284.03625,280.78424,280.4374,271.78986,268.2101,268.66782,270.0,272.08252,270.0,268.12216,264.09396,271.5911,264.80566,258.6901,239.03632,222.87889,221.18582,223.26433,224.9999,233.13002,240.2552,245.55606,238.24055,233.97253,240.94548,241.69934,242.44727,231.34016,231.7098,237.52882,254.62369,264.17374,263.41815,260.53775,264.80566,262.99884,268.9584,272.43658,270.0,254.3577,253.73972,258.23172,267.6141,265.03033,262.8751,274.76355,285.94547,280.30478,300.06848,303.6901,300.06848,293.1986,298.8107,301.4295,306.15826,303.6901,304.50858,303.6901,304.07724,305.53775,309.28937,308.36752,307.87503,311.42358,319.89914,323.61554,329.53452,339.77505,353.9911,10.007925,14.931467,13.240531,17.354122,22.380184,32.73523,35.537766,44.999897,51.34017,48.366554,71.564964,98.13002,108.43504,135.0001,180.0,201.80147,201.80147,180.0,90.0,81.86999,105.945465,139.39879,158.19853,169.6952,174.2895,186.3401,203.19862,224.9999,243.43501,239.0363,224.9999,210.96368,213.6901,220.60121,221.18582,214.9921,201.03758,194.93147,186.70975,180.0,173.99109,164.47583,153.43501,143.74608,136.97493,131.42357,128.2902,129.80553,135.0001,138.81418,140.90616,143.13002,144.78232,142.12495,139.63554,139.18501,145.30478,153.43501,160.55988,167.79955,175.60138,178.56793,174.2895,165.96373,164.62369,176.09958,191.76826
2025-11-11 00:54:41+00:00,2025-11-11 00:00:00+00:00,296.56497,302.96942,294.77512,295.2531,296.56497,296.09537,297.09546,297.55273,295.97433,294.30453,277.59454,263.6599,264.14407,258.9965,266.56644,268.93912,268.9191,264.80566,264.40076,265.03033,254.98158,248.19853,234.86572,211.42952,210.0685,213.6901,220.36446,218.991,221.18582,223.72705,220.81499,223.72705,231.34016,241.92761,245.43285,241.8215,239.0363,236.97612,254.74483,258.6901,257.96942,256.18494,257.27563,261.87,265.68405,271.273,267.13766,257.90524,253.73972,255.96373,258.23172,260.53775,265.03033,265.03033,262.23492,270.0,283.39252,288.43503,290.85452,294.22772,289.9832,289.29013,301.60745,299.74478,300.96368,302.3474,303.6901,304.59235,300.37906,299.74478,306.86996,313.0251,320.90613,323.13,321.34018,321.8427,321.34018,325.30478,323.13004,318.01288,312.27362,323.97253,303.6901,303.6901,303.6901,296.56497,293.6294,287.52567,289.29013,293.1986,295.5599,304.82455,299.24872,301.32864,288.43503,277.59454,293.6294,308.15726,310.60123,308.15726,303.6901,308.15726,306.25394,308.65982,312.8789,312.8789,309.09384,308.65982,305.53775,309.8055,310.2363,307.56866,305.53775,296.56497,287.3541,280.0079,276.70975,273.3664,281.3099,291.03757,296.56497,270.0,180.0,171.25392,180.0,213.6901,235.0079,239.74365,243.43501,241.92761,239.03632,235.30478,232.43134,234.46223,239.53453,243.43501,243.43501,243.43501,244.1337,247.01126,251.0295,253.30067,253.49556,250.82089,248.19853,250.70985,257.19574,260.13425,262.23492,267.27374,267.13766,261.46933,256.60748,251.56496,250.70985,251.56496,254.47583,255.2564,257.19574,258.23172,254.93146,251.56496,250.34608,252.18102,255.4655,255.96373,243.43501,208.61037
2025-11-12 00:55:40+00:00,2025-11-12 00:00:00+00:00,209.0545,208.8107,226.73567,207.64589,213.02386,220.10085,226.33215,230.38934,235.0079,235.30478,231.34016,229.18501,223.36346,235.6196,258.05585,263.77426,261.3269,258.50348,255.73544,260.0959,263.5585,262.8751,258.40784,250.34608,258.31067,274.23633,280.88547,278.42688,282.99463,285.06854,277.4313,275.7105,280.78424,286.92758,280.30478,270.0,274.08554,278.13,300.06848,307.40543,296.56497,297.3498,301.21835,316.16904,317.4896,313.36346,310.91428,310.91428,306.86996,316.9749,321.8427,330.64233,345.25638,356.82022,3.3664,10.007925,7.12493,12.094739,12.094739,19.983198,19.983198,360.0,338.19852,284.03625,262.8751,261.2539,270.0,273.17978,273.3664,273.814,264.80566,235.0079,228.36655,239.74365,262.40546,281.3099,266.6336,259.3804,262.8751,253.61038,258.11136,264.2895,272.72626,272.6025,270.0,266.82022,274.57382,274.23633,271.97488,271.84756,271.73566,268.26434,264.64426,255.4655,244.65387,246.80139,243.43501,245.55606,239.42085,240.2552,252.3498,249.14546,254.74483,235.0079,250.0168,243.43501,246.50142,246.50142,242.44727,246.0375,255.61856,261.87,262.40546,265.13556,265.33322,263.92764,262.23492,260.07382,258.3664,254.05453,250.82089,250.0168,248.6293,249.44388,249.44388,251.56496,253.73972,257.73523,264.80566,267.27374,264.2895,258.6901,255.96373,259.21576,262.5687,263.15732,257.4712,248.5522,244.23071,242.6502,243.43501,241.69934,236.88864,229.89915,223.26433,223.26433,224.9999,226.73567,228.57643,228.57643,228.57643,229.89915,229.39879,231.63248,232.43134,234.09018,234.63745,234.29321,233.13002,235.92276,247.96371,261.08514,268.99493,270.0,268.8309,268.66782,275.7105,284.74362
2025-11-13 01:11:18+00:00,2025-11-13 00:00:00+00:00,264.09396,253.73972,257.90524,274.57382,274.76355,283.49576,277.4313,287.52567,298.61035,298.8107,291.80148,301.75943,299.74478,291.03757,313.66785,321.70978,327.6526,320.01315,309.61066,310.31403,312.08908,310.76352,296.56497,289.79895,303.17853,316.2188,325.17545,324.46225,327.52884,328.67136,326.88864,330.5242,328.24057,332.1028,336.8014,347.00537,354.80566,66.037506,74.054535,84.805664,116.56499,146.3099,189.46225,224.9999,251.56496,255.96373,230.19447,221.18582,221.18582,224.9999,224.9999,222.27362,230.19447,246.3706,256.75946,259.3804,255.96373,256.75946,260.53775,258.6901,264.55975,258.6901,258.23172,250.9064,249.22766,253.61038,254.74483,253.44284,251.99574,249.07542,244.2901,245.55606,238.24055,231.34016,239.42085,235.17543,237.99466,233.13002,243.43501,242.7005,248.83867,247.01126,251.56496,245.43285,244.7989,244.7223,251.1752,261.08514,265.68405,265.42615,262.18478,261.41647,264.61078,266.09958,261.2539,254.93146,245.55606,243.43501,243.43501,245.55606,247.75093,248.6293,246.80139,245.55606,243.43501,250.0168,243.43501,242.52565,241.55717,245.55606,251.56496,247.8905,241.92761,241.92761,247.01126,247.01126,247.8905,246.57129,243.43501,236.3099,228.57643,221.18582,215.83774,212.27562,214.3804,218.2902,223.36346,231.34016,235.71307,241.55717,241.38963,237.72438,237.72438,242.52565,247.61981,250.70985,254.05453,259.21576,262.69434,266.53183,272.3859,280.0079,274.76355,255.96373,231.34016,224.9999,243.43501,248.19853,240.2552,232.12495,236.3099,246.3706,255.96373,262.23492,264.55975,270.0,273.17978,279.46225,284.03625,287.6502,284.5345,280.0079,280.71307,285.94547,294.30453,303.17853,310.81497,321.009
2025-11-14 00:55:47+00:00,2025-11-14 00:00:00+00:00,302.00534,302.61923,316.3971,320.1945,334.65387,343.61038,329.03632,326.3099,344.05453,356.186,3.179772,342.8972,323.13004,348.6901,360.0,77.00539,93.366394,100.30479,68.19853,68.19853,180.0,209.0545,208.61037,214.28693,209.7448,177.27374,158.74942,165.06853,184.39862,212.73521,235.49141,251.56496,266.98727,250.0168,231.84273,233.13002,237.09476,241.69934,245.85446,244.09354,252.71841,250.11475,252.52513,258.6901,252.80138,248.19853,246.80138,243.43501,236.3099,234.46223,233.13002,239.34941,245.09526,245.22488,238.67136,236.3099,243.43501,244.7989,247.3801,245.55606,246.80139,250.1447,255.06853,266.6982,272.16104,270.0,272.16104,271.1233,271.1233,265.91446,264.14407,273.6913,301.32864,337.5205,323.61554,296.56497,266.82022,276.3401,287.3541,297.8972,295.20108,300.46545,305.21768,305.21768,302.00534,288.43503,301.4295,295.34613,292.24908,286.26028,285.6423,290.55612,281.76825,287.6502,326.3099,360.0,26.564985,35.537766,47.489597,90.0,116.56499,130.60121,137.4896,156.80138,199.65392,227.12111,246.0375,233.13002,230.90614,214.3804,236.3099,246.44772,250.70985,254.62369,258.9591,259.56256,259.9921,260.53775,263.15732,270.0,280.6196,296.56497,318.01288,337.3801,360.0,18.435053,34.69522,55.0079,95.7105,127.875046,138.36655,138.81418,138.81418,131.63345,123.690094,119.74479,113.19862,105.945465,98.13002,93.814,90.0,86.98728,80.13426,73.49557,71.564964,74.2913,79.69521,83.08887,80.53775,74.931465,70.8209,72.34979,74.054535,76.60749,74.054535,65.77226,69.14546,82.875084,100.491425,114.14554,130.426,145.92276,153.9967,154.59233,150.80261,146.76828,144.24602,143.97253
