forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:11:07+00:00,2025-11-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,266.0,458.25,600.5,668.75,701.0,651.0,537.0,368.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,287.0,462.0,618.0,693.0,712.0,613.0,551.0,388.0,192.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,270.0,455.0,597.0,681.0,700.0,651.0,540.0,377.0,184.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,238.0,426.0,566.0,651.0,664.0,475.0,274.0,232.0,147.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,251.0,430.0,570.0,453.0,673.0,514.0,295.0,148.0,84.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,288.0,452.0,594.0,701.0,742.0,706.0,599.0,430.0,220.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,279.0,440.0,578.0,681.0,720.0,683.0,578.0,414.0,210.0,45.0
2025-11-06 00:55:33+00:00,2025-11-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.25,245.0,439.75,581.0,649.0,688.0,581.0,488.0,322.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,235.0,306.0,556.0,655.0,642.0,650.0,542.0,379.0,185.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,249.0,427.0,565.0,610.0,546.0,370.0,164.0,57.0,74.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,254.0,437.0,579.0,664.0,685.0,638.0,447.0,276.0,135.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,286.0,484.0,636.0,725.0,747.0,706.0,599.0,430.0,220.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,282.0,445.0,584.0,688.0,727.0,689.0,583.0,417.0,212.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,271.0,429.0,565.0,669.0,709.0,673.0,569.0,406.0,205.0,44.0
2025-11-07 00:54:35+00:00,2025-11-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,191.75,448.5,559.25,586.5,690.0,629.0,239.0,389.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,40.0,244.0,518.0,528.0,655.0,488.0,268.0,57.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,250.0,430.0,571.0,654.0,674.0,594.0,524.0,331.0,143.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,274.0,467.0,617.0,710.0,738.0,693.0,579.0,408.0,200.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,281.0,476.0,625.0,712.0,732.0,690.0,584.0,418.0,213.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,271.0,429.0,566.0,670.0,710.0,674.0,571.0,408.0,206.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,257.0,408.0,540.0,640.0,680.0,645.0,545.0,388.0,195.0,41.0
2025-11-08 00:49:58+00:00,2025-11-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,108.5,229.0,212.0,455.5,475.0,476.0,388.0,259.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,154.0,376.0,447.0,597.0,647.0,500.0,132.0,46.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,280.0,479.0,632.0,724.0,745.0,695.0,580.0,409.0,200.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,280.0,474.0,623.0,712.0,733.0,683.0,567.0,397.0,193.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,266.0,457.0,602.0,687.0,705.0,664.0,561.0,400.0,201.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,236.0,377.0,508.0,618.0,667.0,637.0,539.0,384.0,193.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,265.0,422.0,558.0,659.0,697.0,660.0,557.0,396.0,198.0,41.0
2025-11-09 00:56:27+00:00,2025-11-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,144.5,395.5,472.75,554.5,461.0,420.0,278.0,298.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,290.0,492.0,597.0,704.0,746.0,699.0,583.0,411.0,201.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,280.0,473.0,622.0,710.0,731.0,681.0,566.0,396.0,192.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,266.0,455.0,600.0,685.0,704.0,655.0,543.0,378.0,180.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,245.0,427.0,568.0,652.0,671.0,543.0,351.0,185.0,70.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,245.0,391.0,521.0,623.0,664.0,632.0,535.0,381.0,190.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,245.0,392.0,522.0,623.0,663.0,631.0,533.0,379.0,188.0,39.0
2025-11-10 00:58:00+00:00,2025-11-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,272.0,473.75,625.25,715.0,742.0,689.0,569.0,391.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,295.0,487.0,635.0,721.0,737.0,678.0,563.0,395.0,192.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,266.0,456.0,601.0,687.0,705.0,656.0,543.0,378.0,180.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,244.0,428.0,569.0,653.0,649.0,628.0,520.0,361.0,166.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,248.0,433.0,576.0,662.0,683.0,645.0,545.0,388.0,194.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,246.0,394.0,525.0,627.0,669.0,636.0,537.0,381.0,189.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,244.0,379.0,442.0,431.0,363.0,250.0,127.0,47.0,16.0,3.0
2025-11-11 00:54:21+00:00,2025-11-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.25,277.0,472.75,622.0,709.25,727.0,673.0,553.0,376.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,272.0,455.0,598.0,680.0,696.0,657.0,544.0,379.0,181.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,248.0,432.0,573.0,658.0,677.0,630.0,521.0,362.0,170.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,243.0,427.0,569.0,655.0,676.0,631.0,524.0,364.0,172.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,243.0,426.0,567.0,652.0,673.0,635.0,536.0,381.0,190.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,243.0,392.0,523.0,625.0,667.0,635.0,537.0,381.0,189.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,229.0,358.0,420.0,414.0,373.0,326.0,264.0,176.0,76.0,12.0
2025-11-12 00:55:17+00:00,2025-11-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,258.0,445.75,591.75,682.75,705.0,653.0,537.0,363.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,260.0,442.0,560.0,659.0,659.0,635.0,526.0,365.0,172.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,251.0,437.0,581.0,668.0,689.0,643.0,533.0,371.0,175.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,248.0,433.0,576.0,661.0,681.0,634.0,524.0,363.0,170.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,239.0,421.0,563.0,648.0,668.0,624.0,519.0,365.0,182.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,237.0,383.0,513.0,616.0,659.0,626.0,528.0,374.0,184.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,227.0,367.0,493.0,590.0,610.0,536.0,400.0,241.0,90.0,10.0
2025-11-13 01:10:57+00:00,2025-11-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.75,237.5,417.5,564.0,647.25,672.0,618.0,501.0,337.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,264.0,448.0,589.0,672.0,690.0,641.0,532.0,370.0,175.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,246.0,431.0,575.0,661.0,682.0,637.0,528.0,366.0,172.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,239.0,419.0,559.0,644.0,665.0,619.0,512.0,354.0,164.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,229.0,408.0,548.0,633.0,655.0,619.0,521.0,369.0,182.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,228.0,371.0,498.0,599.0,641.0,610.0,515.0,365.0,179.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,226.0,368.0,496.0,596.0,638.0,608.0,513.0,363.0,178.0,35.0
2025-11-14 00:55:22+00:00,2025-11-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,247.75,435.25,580.25,668.75,697.0,644.0,526.0,355.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,260.0,443.0,584.0,667.0,682.0,639.0,530.0,367.0,172.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,238.0,419.0,557.0,639.0,662.0,618.0,511.0,351.0,164.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,227.0,406.0,546.0,629.0,650.0,606.0,486.0,337.0,158.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,224.0,404.0,543.0,628.0,648.0,612.0,516.0,365.0,179.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,160.0,262.0,357.0,436.0,472.0,451.0,381.0,274.0,140.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,221.0,361.0,487.0,585.0,613.0,543.0,413.0,273.0,139.0,31.0
