forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:11:07+00:00,2025-11-05 00:00:00+00:00,63.435013,34.69522,46.73567,86.05489,96.11541,109.09359,99.090195,97.43131,99.865746,100.784256,81.02746,71.564964,59.53454,90.0,116.56499,137.12111,156.0375,189.0902,188.97255,212.73521,246.80138,259.21576,245.22488,235.0079,237.72438,232.69597,253.73972,250.0168,270.0,263.6599,292.24908,312.8789,313.36346,325.6196,334.53668,337.3801,343.0724,348.6901,357.87894,5.19435,360.0,342.64587,347.00537,158.19853,157.3801,145.0079,138.81418,131.18582,118.30067,116.56499,131.63345,130.10085,118.442825,132.13753,141.95291,145.71307,141.7098,135.0001,138.57643,140.52757,136.8476,135.0001,145.71307,151.69934,163.81073,181.73567,193.24052,206.56499,218.8845,218.2902,208.39293,199.53674,205.76927,202.47948,203.19862,212.00534,213.11136,218.991,208.44283,203.7495,203.49858,198.43504,199.79897,192.99461,189.46225,199.44012,216.86998,222.70937,232.02834,248.42863,253.68607,246.44772,224.02907,209.0545,191.59215,200.80687,204.94388,198.43504,200.92458,205.82094,220.0302,226.39711,232.3057,231.009,235.71307,242.44727,242.44727,239.42085,238.24055,242.35411,261.6342,268.26434,272.79263,257.00537,261.87,265.33322,273.65216,285.25516,304.33026,321.78894,331.58743,337.3194,342.072,345.17346,346.56894,346.373,345.9637,344.89883,342.96216,341.56494,342.47433,344.7448,347.24246,351.57312,355.9859,359.01227,358.99493,355.91446,353.6599,351.57312,348.2749,346.75946,344.7448,342.5527,340.9743,339.6768,338.5522,339.22766,340.9743,340.9743,342.75845,342.18103,340.3461,339.6768,340.9064,342.8972,347.4712,352.6477,358.4926,360.0,356.00916,350.75397,346.60748,346.293,347.3196,349.5626,349.99207,352.14676
2025-11-06 00:55:33+00:00,2025-11-06 00:00:00+00:00,235.0079,239.0363,236.97612,238.57048,259.69522,263.41815,265.23645,233.97253,198.43504,116.56499,104.03627,23.962492,11.3098955,360.0,4.085537,19.653913,19.290138,59.03632,339.44388,360.0,153.43501,140.71062,139.08571,150.2552,3.179772,71.564964,360.0,81.86999,121.701385,111.25058,107.74477,113.749504,120.256355,124.992096,101.88863,86.63361,80.13426,103.24053,138.81418,165.96373,173.8846,203.9625,212.00534,205.01686,215.36255,212.9694,202.8337,205.82094,205.01686,205.76927,218.04709,223.45189,224.9999,226.63654,219.80553,218.2902,219.47243,212.27562,203.19861,190.3048,187.76508,197.52567,198.43504,211.50421,221.30852,225.8813,230.7106,235.22209,221.76021,202.47948,200.13638,192.20045,187.43132,191.59215,191.30989,195.25517,205.76927,218.04709,223.45189,226.63654,230.19447,233.61555,236.3099,236.3099,236.3099,238.57048,247.52052,249.07542,247.3801,249.90468,247.98866,249.92838,252.89719,254.64981,247.96371,300.17343,326.0409,327.05078,328.39255,330.3617,328.73633,330.4613,329.32278,328.89127,328.73633,328.44867,331.5259,329.03632,330.85202,330.5929,334.15567,332.72333,331.0909,332.76492,331.32693,329.57428,326.74564,325.40765,327.05078,331.14444,334.98312,337.9637,340.70987,342.47433,342.072,340.9743,338.9624,340.20102,342.25522,344.3577,349.11453,355.60138,2.0453732,7.3522935,11.633606,12.528798,9.727519,5.527458,360.0,355.42615,349.21573,343.61038,342.8972,343.3007,341.56494,288.43503,224.9999,209.0545,204.77512,203.6294,205.2011,210.96368,219.80553,233.97253,254.74483,275.19434,294.44394,296.56497,293.1986,287.3541,276.0089,264.80566,258.23172,260.53775,267.6141,270.0,261.87,244.65387
2025-11-07 00:54:35+00:00,2025-11-07 00:00:00+00:00,173.99109,194.7436,176.6336,141.34016,141.84273,171.25392,151.69934,124.992096,71.564964,56.309914,90.0,36.86999,90.0,75.96373,130.60121,180.0,181.78987,202.93213,221.76021,229.68597,236.3099,241.60707,236.88864,178.15244,198.43504,205.64096,196.26028,194.03627,195.6423,206.56499,186.58185,220.23628,165.96373,196.50444,171.02745,150.2552,153.43501,191.30989,217.47626,255.32356,241.69934,246.44772,242.87877,244.7223,255.17348,306.86996,191.30989,196.58742,193.0919,196.14441,206.56499,211.60745,218.04709,224.9999,228.01286,229.89915,235.6196,237.72438,234.16226,226.8476,228.57643,235.6196,244.98314,243.43501,235.56094,233.3658,236.88864,233.13002,236.59215,240.14108,213.40784,202.89058,223.99501,311.92245,315.74396,321.78894,337.21756,323.13,321.63248,316.88815,320.77435,321.48303,320.07965,320.1945,323.9016,320.90613,323.44745,323.2857,322.3343,322.52374,323.42688,324.0275,323.27582,323.42688,323.8417,325.75092,324.58286,329.03632,327.99466,331.0491,336.2505,335.6589,336.8014,338.83865,329.42084,331.38962,338.19852,349.69522,352.6477,358.15244,3.3664,14.470333,22.166399,13.5704565,15.42223,15.068549,15.255177,18.435053,23.629398,28.072395,36.86998,53.13002,98.13002,139.39879,149.74365,152.10283,154.65387,167.4712,195.94547,228.01286,248.19853,288.43503,311.18582,311.98712,299.74478,291.25058,280.78424,270.0,263.6599,261.87,261.57312,263.41815,265.42615,267.5105,267.3975,259.69522,250.82089,249.44388,260.9098,276.84268,289.79895,294.62354,296.56497,298.8107,302.27563,304.3804,306.38446,310.10083,315.0001,317.86246,316.3971,312.1375,309.55963,310.0302,311.63345,311.7602,310.2363,307.6943
2025-11-08 00:49:58+00:00,2025-11-08 00:00:00+00:00,193.49574,207.47435,198.43504,211.42952,199.09358,208.8107,208.07239,176.82024,147.09476,165.2564,176.186,171.25392,113.19862,158.19853,164.74483,225.85501,239.53453,237.42595,259.9921,274.89902,264.14407,259.56256,224.9999,204.14554,195.75124,203.6294,212.19571,217.23491,216.86998,220.81499,228.99101,233.84172,226.46873,229.63554,231.7098,233.61555,235.6196,252.75845,261.46933,256.82745,251.96562,261.15826,270.0,247.79646,285.25516,278.53067,235.17543,266.6336,308.50067,311.18582,322.76508,326.59216,334.2901,328.2011,326.3099,325.30478,325.53912,323.74606,321.66663,318.7154,320.57224,323.13004,324.74356,324.27252,322.3343,317.77924,312.37354,312.99045,311.45514,311.98712,315.0001,317.02136,325.24402,325.4374,328.24057,331.69934,332.74475,338.4985,335.85446,337.5205,331.55716,332.52567,321.34018,316.5481,326.3099,349.50858,3.46817,5.19435,3.3664,3.46817,356.186,347.4712,340.70987,327.26477,327.99466,345.9637,180.0,206.56499,212.73521,222.5104,239.03632,230.52757,217.87505,215.21768,216.86998,235.49141,266.98727,281.3099,278.97253,265.91446,237.09476,233.13002,232.76509,239.62096,242.7005,246.19405,247.93205,247.93205,240.64233,226.2188,216.15828,214.69522,218.36752,224.9999,236.88864,252.89719,263.88458,267.95465,267.87894,267.79745,267.70944,265.03033,270.0,282.80426,298.61035,308.0471,311.3477,313.91916,315.0001,318.69147,321.1466,325.6196,332.176,341.56494,352.40543,358.09088,1.8475709,3.5762644,5.3557334,7.12493,7.12493,7.3522935,7.3522935,9.782338,15.068549,22.249071,26.564985,27.645891,24.623547,21.037588,18.435053,15.945477,14.743609,14.036275,12.26477,16.26028,27.645891,44.999897
2025-11-09 00:56:27+00:00,2025-11-09 00:00:00+00:00,196.9276,198.43504,203.6294,200.55612,195.6423,204.44394,217.40543,212.90524,216.25392,226.97493,228.81418,228.81418,234.24602,240.64233,246.80139,250.76923,254.3577,250.86626,236.0035,237.6804,264.36942,283.32455,284.93146,291.99118,284.47034,300.96368,317.17474,319.51407,322.4958,320.7106,320.1945,321.66663,318.09415,315.0001,320.85602,313.0251,311.98712,315.61597,315.5456,307.5192,300.8276,295.1148,296.56497,307.25537,307.87503,310.31403,312.27362,314.48392,317.83417,318.50363,324.3601,327.38077,326.853,326.61145,324.16226,318.12222,313.72705,304.82455,294.77512,302.47116,310.36444,329.62094,339.14545,345.9637,351.87,353.6599,351.11942,348.6901,350.21765,351.2539,356.82022,360.0,153.43501,170.53775,180.0,192.5288,195.94547,200.22495,194.7436,200.22495,202.8337,220.23628,234.46223,255.96373,273.57626,250.34608,261.46933,243.43501,246.0375,255.52966,252.1212,250.46326,257.66092,261.11942,242.35411,236.97612,218.65984,214.15974,223.60289,226.46873,237.99466,245.37645,254.3577,259.1145,270.0,272.3859,277.4313,286.92758,276.0089,266.82022,262.23492,257.73523,262.23492,277.4313,292.24908,302.47116,312.1375,317.72638,322.3057,326.97614,333.43503,340.55988,346.75946,349.3804,340.3461,317.72638,307.56866,310.60123,315.0001,322.12494,327.72437,333.43503,341.56494,349.69522,360.0,7.7650824,10.304792,7.7650824,8.130019,5.7105074,6.0089183,6.3401003,13.240531,22.380184,32.005356,42.878906,51.34017,66.037506,84.55976,104.62092,116.56499,124.286934,135.0001,142.12495,146.3099,144.78232,147.09476,150.9455,153.43501,155.55606,154.44008,153.43501,153.43501,155.37645,156.50142,162.3498,177.39749,194.62091
2025-11-10 00:58:00+00:00,2025-11-10 00:00:00+00:00,247.1663,254.87593,288.08353,309.20718,317.5638,318.7154,321.34018,320.57224,320.4774,316.73566,318.57642,311.98712,319.26797,312.3574,315.0001,311.3477,303.45334,298.4741,295.20108,294.2613,294.03427,295.01685,299.1974,304.41843,315.53537,321.2156,318.28934,319.9698,317.4896,316.16904,312.7688,312.5104,309.8055,306.60718,297.3498,289.6539,288.43503,297.97937,314.11868,316.68463,318.57642,315.0001,315.9391,345.9637,346.50424,351.02744,360.0,60.255207,116.56499,147.52882,172.87508,186.00891,191.76826,193.39252,197.52567,224.9999,239.03632,250.55988,240.2552,235.30478,237.26477,240.2552,243.43501,245.22488,247.8905,255.5792,257.79956,259.82455,259.82455,255.61856,253.49556,252.25523,237.52882,216.15828,214.21576,222.13753,244.35904,252.89719,250.20103,259.50858,270.0,283.49576,282.26477,277.4313,270.0,248.74942,247.75093,256.50424,284.5345,304.69522,313.995,318.36655,315.0001,305.21768,287.1028,280.1246,276.58185,272.29056,275.44025,288.43503,303.6901,320.1945,347.90527,19.440128,36.38445,46.73567,44.999897,43.26433,43.26433,44.999897,53.61555,57.724377,60.94549,63.435013,81.25392,85.23644,81.25392,77.00539,70.346085,60.255207,61.92762,75.96373,96.70974,112.38018,116.56499,118.072395,119.74479,125.537766,128.65984,130.91429,132.87889,132.5104,135.0001,135.0001,137.12111,140.90616,148.57048,158.19853,164.05453,165.96373,163.61038,165.96373,183.17976,198.43504,205.55992,204.44394,200.22495,189.46225,171.02745,156.80139,147.52882,142.69597,141.34016,141.34016,142.69597,143.53067,147.26479,149.9315,151.63104,155.4099,167.074,183.814,192.8477,183.3664,158.87521,143.13002,143.8067,151.92761
2025-11-11 00:54:21+00:00,2025-11-11 00:00:00+00:00,306.02747,306.52896,316.27295,326.7934,331.31393,333.43503,322.43134,308.991,297.47433,290.77234,298.88647,305.75397,316.5481,319.7637,330.1012,327.61935,332.928,334.65387,336.0375,334.2307,332.44727,339.14545,341.56494,90.0,164.05453,174.55975,173.8846,172.87508,182.4895,180.0,177.6141,182.4895,180.0,186.3401,192.99461,210.25635,219.28938,204.44394,217.30403,237.99466,254.87593,263.6599,264.92047,262.30405,262.30405,262.30405,259.1145,258.23172,239.74365,222.5104,227.86247,226.39711,236.88864,270.0,285.06854,286.92758,281.76825,287.1028,282.80426,289.1791,297.75842,299.74478,304.3804,313.53125,313.53125,306.46933,307.23492,310.2363,311.3477,312.614,318.1799,310.2363,296.56497,303.6901,300.96368,300.96368,280.0079,280.6196,315.0001,335.22488,351.2539,352.40543,350.53775,349.3804,357.13766,3.0127327,8.97255,6.3401003,9.462261,3.0127327,360.0,9.462261,10.61961,11.3098955,23.962492,14.036275,23.198618,11.3098955,22.380184,31.607454,49.398785,106.699326,127.568665,140.71062,149.03632,90.0,44.999897,9.462248,18.435053,39.805527,36.86999,36.027473,39.805527,48.814175,59.03632,79.69521,100.30479,118.61037,135.0001,157.3801,167.90526,169.99208,171.02745,168.69011,166.75948,161.56496,159.44388,180.0,210.96368,224.9999,224.9999,210.96368,195.94547,196.69933,198.43504,200.22495,199.17911,199.09358,200.77234,206.56499,214.9921,218.65984,216.25392,210.96368,208.88649,215.75398,229.18501,240.75127,246.25049,246.50142,249.14546,255.2564,263.29025,270.0,265.23645,246.0375,216.86998,197.10281,186.00891,185.19434,195.25517,208.8107,221.42357,228.81418,235.49141,240.64233,243.43501,243.43501
2025-11-12 00:55:17+00:00,2025-11-12 00:00:00+00:00,224.9999,198.43504,205.4633,195.94547,188.13002,180.0,182.4895,189.46225,180.0,203.6294,232.12495,218.65984,204.44394,197.35411,217.87505,246.0375,262.69434,264.2895,267.20737,260.78903,254.87593,248.74942,248.19853,259.50858,254.3577,205.64096,221.98714,213.6901,231.009,251.56496,257.4712,248.6293,257.19574,258.11136,261.02747,252.64589,265.91446,293.1986,306.02747,302.47116,298.61035,306.15826,306.86996,316.2188,319.574,322.81522,333.43503,347.4712,360.0,8.746089,12.528798,9.462248,6.3401003,360.0,8.746089,14.036275,26.564985,26.564985,27.897186,33.6901,40.236294,40.236294,33.6901,33.6901,31.607454,4.763556,337.3801,333.43503,333.43503,343.61038,360.0,19.440128,33.6901,49.085716,47.489597,48.366554,75.96373,150.9455,148.39255,150.9455,165.96373,135.0001,116.56499,224.9999,270.0,279.46225,264.2895,258.6901,256.75946,262.23492,261.2539,257.4712,252.25523,248.6293,224.9999,223.1524,224.9999,221.00899,235.78424,229.39879,230.71062,236.3099,250.34608,253.49556,259.8754,263.15732,267.6141,267.5105,264.80566,266.98727,267.95465,266.3087,261.87,258.11136,257.3196,259.46088,262.23492,260.75397,248.19853,223.83095,208.7397,208.88649,219.55963,232.3057,241.55717,250.20103,257.00537,261.2539,263.41815,265.42615,267.6141,272.6025,272.72626,270.0,267.3975,260.13425,252.25523,245.09526,239.62096,237.26477,232.76509,227.72638,217.23491,208.7397,205.2011,208.7397,217.56866,226.33215,229.18501,229.18501,227.86247,223.53127,217.6943,213.11136,210.57915,209.7448,213.6901,222.5104,230.7106,235.37578,240.64233,245.22488,249.3255,252.25523,254.74483,254.87593,245.85446,224.9999
2025-11-13 01:10:57+00:00,2025-11-13 00:00:00+00:00,247.06787,197.10281,208.30066,211.60745,230.71062,244.35904,265.60138,243.43501,266.82022,260.13425,276.84268,286.6993,305.21768,306.86996,317.86246,322.43134,316.46872,312.27362,312.70938,305.9098,304.9921,307.18478,299.74478,284.6209,306.86996,328.24057,340.8209,344.7448,343.0724,350.13425,345.9637,340.8209,342.34976,345.3791,345.3791,343.0724,348.6901,353.6599,21.370695,32.275623,22.380184,8.530692,4.969664,40.236294,42.709366,42.27363,41.63345,44.999897,57.99466,66.037506,78.6901,98.13002,107.650215,129.80553,141.34016,150.64235,165.96373,180.0,183.3664,194.93147,195.94547,188.13002,199.44012,206.56499,216.38445,220.10085,229.39879,233.97253,233.53067,233.53067,235.0079,220.81499,208.1785,226.33215,222.39738,228.99101,234.24602,239.0363,240.75127,239.74365,248.19853,248.96242,248.19853,250.9064,252.25523,249.14546,254.74483,256.67545,262.23492,264.92047,262.40546,258.6901,260.9606,265.71094,230.19447,208.39293,207.97939,213.6901,227.12111,233.84172,234.24602,240.01845,244.35904,243.43501,248.6293,249.44388,253.0724,257.73523,249.77505,248.74942,252.3498,257.00537,248.96242,235.17543,224.9999,224.9999,227.4896,226.2188,217.87505,205.8663,199.8553,200.92458,207.3498,215.3113,220.60121,224.9999,228.17992,229.89915,231.7098,233.61555,234.16226,238.57048,237.09476,230.90614,223.1524,219.80553,218.65984,220.60121,220.81499,218.04709,216.46933,213.6901,212.61923,213.17853,215.75398,223.60289,235.17543,245.37645,250.82089,254.05453,254.47583,255.06853,261.2539,253.30067,224.9999,198.43504,191.30989,204.77512,228.01286,245.22488,248.96242,247.3801,243.43501,249.44386,258.6901,251.56496,180.0,170.53775
2025-11-14 00:55:22+00:00,2025-11-14 00:00:00+00:00,284.03625,325.6196,328.5705,327.72437,341.56494,349.21573,350.13425,350.9098,349.11453,342.25522,347.4712,350.53775,348.6901,353.9911,22.249071,24.227736,15.945477,360.0,356.6336,4.8990126,11.633606,20.772345,20.854538,12.99463,9.090207,57.094753,26.564985,23.629398,96.340096,101.88863,113.19862,172.87508,198.43504,224.9999,326.3099,329.03632,44.999897,33.6901,197.10281,215.53777,226.33215,241.69934,240.94548,236.3099,232.76509,235.84026,233.13002,213.6901,201.80147,213.6901,221.18582,231.63248,229.9698,236.82147,240.01845,242.5925,249.67677,247.06787,248.19853,248.96242,257.00537,257.73523,266.906,267.33704,265.51547,259.9921,257.82855,256.75946,257.82855,257.0926,234.29321,210.1413,208.1785,213.6901,234.29321,233.47105,235.78424,240.01845,240.75127,246.25049,252.25523,256.50424,253.73972,254.74483,260.13425,258.6901,264.09396,259.8754,254.05453,242.52565,236.3099,230.71062,229.63554,236.3099,229.39879,202.93213,205.8663,214.21576,203.9625,209.24873,219.28938,224.9999,226.63654,232.59457,243.43501,224.9999,220.91429,231.84273,224.9999,224.9999,218.15727,224.9999,214.82455,227.72638,232.43134,233.84172,236.3099,233.97253,224.9999,212.19571,206.56499,209.0545,216.02747,224.9999,228.57643,228.81418,231.34016,234.46223,239.74365,240.94548,231.34016,180.0,135.0001,124.992096,122.73522,125.21768,131.63345,141.009,146.3099,149.03632,150.75127,153.43501,161.56496,180.0,198.43504,195.94547,116.56499,81.86999,99.46225,115.20109,121.75944,126.46933,131.00899,133.72705,133.72705,132.27362,136.33215,145.0079,153.43501,157.79648,158.74942,160.09616,163.03377,172.99883,188.58354,199.88525,202.30626,198.43504
