forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:13:06+00:00,2025-11-05 00:00:00+00:00,13.889,12.789,12.238999,12.738999,12.139,11.238999,10.539,10.089,10.089,9.839,9.289,9.789,8.839,7.739,8.339,9.139,10.488999,11.589,11.639,12.389,12.988999,13.188999,12.589,9.889,7.739,6.239,5.139,4.339,3.739,3.389,3.389,3.089,2.589,2.489,2.289,2.239,2.089,2.389,4.439,7.389,9.438999,11.139,12.789,16.061,16.761,17.061,16.861,15.561001,14.361,15.011001,15.011001,14.811001,14.311001,14.161,14.111,13.111,11.361,10.711,10.161,9.461,9.411,9.061001,10.561001,13.311001,16.111,17.561,18.011,18.011,17.711,17.711,16.461,13.761001,12.011001,9.961,8.711,6.711,4.961,3.911,3.0609999,2.361,2.161,2.261,2.511,3.011,3.411,3.161,4.361,5.961,7.711,9.661,12.111,14.561001,15.111,13.961,9.261001,5.211,4.011,3.161,1.911,1.061,-0.389,-1.4890001,-1.589,-2.139,-3.1890001,-3.889,-4.489,-4.989,-5.239,-5.239,-4.239,-2.539,-0.639,1.161,2.461,3.3109999,3.761,3.661,2.711,1.2609999,-0.139,-1.2390001,-2.289,-3.139,-3.739,-4.139,-4.489,-4.839,-5.189,-5.389,-5.539,-5.639,-5.189,-4.089,-2.489,-0.68899995,1.411,3.661,5.461,6.611,7.311,7.161,5.661,3.3109999,1.461,0.661,0.311,0.061,-0.18900001,-0.33900002,-0.489,-0.68899995,-0.839,-0.98899996,-1.289,-1.539,-1.2390001,-0.039,1.7609999,3.711,5.911,8.311001,10.261001,11.611,12.561001,13.011001,12.661,11.811001
2025-11-06 00:57:36+00:00,2025-11-06 00:00:00+00:00,9.039,7.389,6.089,5.139,4.439,3.539,3.239,3.389,3.139,2.839,2.739,2.539,2.089,2.1890001,4.539,7.739,9.938999,11.488999,13.238999,14.639,15.988999,16.439,15.639,14.738999,14.639,14.738999,13.789,13.789,13.139,11.589,10.589,10.339,9.389,7.689,7.089,7.089,7.139,6.689,8.389,11.139,13.238999,14.789,15.889,17.811,17.811,17.611,16.511,13.161,10.961,9.761001,7.811,7.111,5.361,4.261,3.361,3.0609999,2.961,2.761,3.161,3.461,3.511,3.761,4.861,6.661,8.111,10.461,9.661,12.361,12.461,5.861,3.611,2.761,2.011,1.911,1.661,1.561,1.2609999,1.161,0.76100004,-0.489,-1.289,-2.289,-3.139,-4.089,-4.739,-5.239,-4.739,-3.339,-1.839,-0.439,0.51100004,1.211,1.461,0.961,-0.039,-1.889,-2.639,-3.139,-3.539,-3.839,-4.039,-4.339,-4.739,-5.389,-6.089,-6.889,-7.139,-7.289,-7.489,-7.639,-5.839,-2.6890001,-0.23900001,1.7609999,3.161,4.311,5.011,4.911,3.461,1.2609999,-0.439,-1.039,-1.189,-1.2390001,-1.439,-1.639,-1.589,-1.2390001,-0.639,-0.089,0.211,0.51100004,1.111,2.211,3.611,5.161,6.811,8.561001,10.161,11.761001,13.161,13.561001,12.161,9.761001,7.911,7.261,7.111,7.061,6.861,6.761,6.661,6.611,6.611,6.511,6.061,5.511,5.661,6.861,8.661,10.711,13.061001,15.561001,17.461,18.511,18.911001,18.511,16.761,14.211
2025-11-07 00:55:34+00:00,2025-11-07 00:00:00+00:00,14.289,14.039,13.639,13.688999,13.738999,12.389,11.488999,11.089,10.639,9.688999,9.039,8.389,8.539,8.188999,9.389,12.289,13.589,14.938999,15.988999,16.588999,16.588999,16.588999,15.389,12.789,10.789,9.488999,8.539,7.639,6.889,6.239,5.939,5.589,5.089,4.739,4.939,5.589,5.489,5.739,6.639,8.389,9.188999,10.988999,9.488999,8.461,7.361,6.611,4.961,4.361,3.611,3.161,3.211,3.211,2.8109999,2.761,2.411,2.0609999,0.81100005,0.011,-1.189,-2.539,-3.239,-3.839,-3.239,-2.239,-1.189,0.211,1.361,2.161,2.5609999,2.361,1.861,0.111,-0.889,-1.539,-2.139,-2.639,-3.139,-3.639,-4.089,-4.639,-5.039,-5.489,-5.689,-5.739,-5.839,-5.989,-4.089,-1.389,0.961,3.011,4.361,5.361,5.961,6.111,5.211,2.211,0.961,0.51100004,1.0109999,1.061,0.911,1.661,2.0609999,2.011,2.0609999,2.361,2.861,3.5609999,4.161,4.411,5.211,6.861,8.711,11.061001,13.661,15.461,16.861,17.211,15.661,12.961,10.861,9.961,9.661,9.361,8.961,8.561001,8.311001,8.161,8.161,8.061001,7.711,7.361,7.511,8.461,9.961,11.411,12.861,14.311001,15.261001,15.661,15.611,14.961,13.211,10.861,9.011001,8.211,7.911,7.711,7.511,7.411,7.211,6.811,6.361,5.911,5.311,4.711,4.661,5.511,6.961,8.561001,10.461,12.561001,14.161,15.111,15.611,15.311001,13.811001,11.561001
2025-11-08 00:50:50+00:00,2025-11-08 00:00:00+00:00,12.539,11.339,9.539,7.989,6.689,5.489,4.489,3.789,3.289,3.4390001,3.139,2.889,2.489,2.789,4.189,5.039,6.139,6.289,5.039,3.889,3.089,3.589,3.789,2.889,2.739,2.039,2.089,2.239,2.289,1.589,1.089,0.18900001,-0.56100005,-0.76100004,-0.961,-1.061,-1.461,-1.711,-1.5109999,-1.811,-1.461,-1.061,-1.211,0.56100005,0.76100004,0.311,-0.439,-2.339,-3.339,-3.839,-4.139,-4.439,-4.789,-5.089,-5.189,-5.289,-5.289,-5.539,-5.739,-6.089,-6.389,-6.689,-5.039,-2.239,-0.039,1.5109999,2.761,3.661,4.261,4.311,3.661,0.361,-0.93899995,-1.539,-1.589,-1.389,-2.089,-2.139,-1.839,-1.039,-0.23900001,0.211,0.41099998,0.861,1.311,2.111,3.511,5.111,7.061,9.161,11.111,12.161,13.661,14.461,13.311001,9.961,8.711,7.661,7.011,6.411,5.511,5.111,4.811,4.811,4.961,5.361,6.011,5.361,4.811,4.611,5.561,8.761001,10.711,12.111,13.111,13.811001,14.061001,13.611,11.961,9.561001,7.661,6.761,6.361,5.961,5.411,4.861,4.361,3.961,3.611,3.3109999,2.861,2.511,2.711,3.911,5.711,7.561,9.511001,11.561001,13.111,14.161,14.761001,14.561001,13.111,10.911,9.111,8.211,7.711,7.311,6.911,6.611,6.361,6.111,5.961,5.811,5.561,5.361,5.711,6.811,8.511001,10.561001,13.261001,16.361,18.811,20.511,21.561,21.561,19.811,16.961
2025-11-09 00:57:08+00:00,2025-11-09 00:00:00+00:00,2.789,2.289,2.089,1.839,1.839,1.639,1.589,1.139,-0.111,-0.611,-0.711,-0.961,-1.2609999,-1.7609999,-2.0609999,-2.0609999,-2.0609999,-2.011,-1.611,-1.711,-1.611,-1.611,-1.861,-1.961,-1.961,-1.611,-1.611,-1.661,-2.411,-2.5609999,-2.611,-2.161,-2.011,-2.161,-2.3109999,-2.3109999,-2.961,-3.611,-2.411,-1.361,-0.911,-0.311,0.039,3.111,3.8109999,4.011,3.361,0.361,-1.089,-1.589,-2.089,-1.839,-2.089,-2.6890001,-2.9390001,-1.9890001,-0.789,-0.33900002,-0.289,0.261,0.461,0.81100005,2.461,4.161,5.711,7.111,9.111,11.611,13.461,14.411,13.311001,9.811001,8.511001,7.811,7.511,7.411,6.961,6.261,5.611,4.861,4.011,3.5609999,3.211,3.111,3.011,2.761,4.461,8.111,10.961,13.211,14.611,15.611,15.961,15.561001,13.711,10.661,9.211,8.211,7.461,7.011,6.711,6.511,6.361,6.261,6.111,5.911,5.711,5.611,5.511,5.161,6.561,9.861,12.661,14.811001,16.311,17.461,18.111,17.911001,16.311,13.911,11.911,10.911,10.311001,9.911,9.611,9.461,9.461,9.611,9.911,10.161,10.161,10.061001,10.411,11.361,12.661,14.211,16.111,18.211,19.861,20.861,21.411001,21.561,21.061,20.111,19.361,19.061,18.961,18.961,19.011,19.161001,19.211,19.111,19.011,18.911001,18.911001,18.961,19.061,19.261,19.511,19.911001,20.611,21.461,22.111,22.711,23.111,22.561,20.311,17.061
2025-11-10 00:59:01+00:00,2025-11-10 00:00:00+00:00,-3.211,-3.211,-2.961,-3.711,-4.061,-3.911,-3.761,-3.961,-4.811,-5.111,-5.211,-5.311,-5.311,-5.511,-4.911,-3.711,-2.111,-0.861,0.98899996,1.889,2.539,2.6890001,2.289,0.589,-0.861,-2.261,-3.111,-3.5609999,-3.511,-3.511,-3.261,-2.911,-2.261,-1.911,-1.061,-0.81100005,-0.51100004,-0.211,0.839,2.6890001,4.639,6.939,9.238999,13.161,14.911,15.411,14.061001,10.411,9.061001,8.461,7.661,6.611,6.111,5.861,5.661,5.411,5.311,5.111,4.861,4.461,4.161,3.911,5.611,8.761001,10.961,12.861,13.911,14.661,14.911,14.661,12.811001,9.561001,8.411,8.011001,7.311,6.461,6.061,5.911,5.811,5.711,5.461,5.311,5.311,5.611,5.411,5.411,6.411,8.811001,11.361,13.261001,14.611,15.511001,15.961,15.911,14.911,12.661,10.661,10.011001,9.611,9.361,9.211,9.111,9.261001,9.361,9.411,9.461,9.461,9.361,9.111,9.061001,9.961,12.811001,14.911,16.861,18.311,19.361,20.011,19.961,18.711,16.711,15.461,15.611,16.461,17.111,17.111,16.911001,16.711,16.511,16.261,16.161001,16.261,16.461,16.811,17.411001,18.111,18.661001,18.861,18.861,18.711,18.311,17.711,17.211,16.961,16.761,16.461,15.911,15.261001,14.611,14.061001,13.511001,13.061001,12.661,12.311001,11.961,11.661,11.361,10.811001,9.811001,8.561001,7.611,7.211,7.111,7.011,6.861,6.711,6.611,6.461,6.361
2025-11-11 00:55:02+00:00,2025-11-11 00:00:00+00:00,-1.211,-2.761,-3.411,-3.3109999,-3.0609999,-2.761,-2.461,-2.461,-1.811,-1.111,-1.7609999,-1.361,-0.461,0.18900001,1.189,3.089,4.839,5.939,9.789,11.889,12.889,13.789,12.688999,9.488999,7.489,6.689,6.139,5.689,5.239,4.689,4.139,3.989,3.9390001,3.789,3.489,2.989,2.339,1.889,3.289,6.589,9.089,11.289,13.039,14.761001,14.961,14.611,12.961,10.261001,9.111,8.161,7.511,7.161,6.911,6.861,6.511,6.261,6.311,6.111,6.261,6.411,6.761,6.961,7.961,9.811001,12.111,13.911,15.411,16.361,16.711,16.461,15.111,11.761001,10.561001,9.861,9.311001,9.011001,8.861,8.711,8.661,8.511001,8.361,8.211,8.111,8.061001,8.011001,7.961,9.111,12.261001,14.961,17.161001,18.761,19.911001,20.511,20.461,19.111,15.661,14.511001,14.211,13.961,13.761001,13.611,13.461,13.211,13.111,13.161,13.311001,13.211,13.361,13.561001,13.811001,14.411,16.461,18.361,21.061,22.861,23.911001,24.411001,24.411001,23.761,22.661001,21.711,21.261,21.011,20.761,20.461,20.161001,19.711,18.911001,17.911001,17.061,16.411001,15.861,15.661,15.811001,16.211,16.911001,18.061,19.511,20.561,21.111,21.311,20.861,19.361,17.261,15.711,15.311001,15.511001,15.661,15.661,15.611,15.461,15.061001,14.511001,14.061001,13.611,13.261001,13.311001,13.911,14.911,16.111,17.711,19.511,20.461,20.061,18.861,17.611,16.511,15.361
2025-11-12 00:56:03+00:00,2025-11-12 00:00:00+00:00,8.688999,7.739,7.239,6.789,6.539,6.039,5.139,4.739,4.639,4.539,4.289,3.839,2.839,2.4390001,3.539,8.039,11.089,13.339,13.789,14.839,15.238999,14.938999,13.589,11.089,8.389,7.289,6.589,5.889,5.189,4.689,4.339,4.139,3.989,3.889,3.789,4.039,3.889,3.639,4.539,7.139,9.589,11.738999,13.639,16.811,17.111,16.961,15.961,12.661,11.661,11.061001,10.761001,10.461,10.161,9.911,9.961,9.911,9.861,9.661,9.461,9.211,9.011001,8.861,10.011001,13.061001,15.611,17.811,19.511,20.711,21.261,21.161001,19.311,16.061,14.811001,14.061001,13.611,13.161,12.811001,12.511001,12.261001,12.161,12.311001,11.911,11.611,11.311001,11.161,10.761001,12.061001,14.861,17.761,20.161001,22.261,23.211,22.261,20.811,18.661001,14.911,13.611,12.461,12.211,12.061001,11.461,10.761001,10.161,9.811001,9.361,8.511001,9.061001,8.911,8.461,8.311001,8.861,10.961,12.611,14.011001,15.011001,15.711,15.961,15.561001,13.961,11.661,9.761001,8.711,8.061001,7.561,7.111,6.811,6.811,7.261,7.961,8.411,8.411,8.161,7.911,7.661,7.411,7.061,6.511,5.961,5.561,5.711,6.061,6.061,5.261,4.061,3.111,2.711,2.611,2.611,2.661,2.861,2.911,2.911,2.8109999,2.411,1.211,-0.289,-1.139,-0.839,0.161,1.411,2.961,4.811,6.261,7.211,7.761,7.661,6.411,4.411
2025-11-13 01:11:40+00:00,2025-11-13 00:00:00+00:00,11.589,10.188999,9.289,8.289,7.589,7.489,7.089,6.489,6.089,6.039,5.289,4.639,4.189,3.9390001,5.139,9.039,11.839,13.738999,14.289,15.589,16.588999,16.838999,15.488999,12.539,10.839,9.889,9.139,8.488999,7.989,7.639,7.189,6.789,6.439,6.339,6.089,5.839,5.639,5.439,6.439,9.089,12.039,15.039,17.389,21.361,22.011,21.961,20.411001,16.711,15.511001,14.761001,14.211,14.161,14.211,13.911,13.261001,13.761001,14.261001,13.711,13.761001,12.961,12.111,11.811001,13.361,15.961,18.161001,20.111,21.711,21.311,20.461,19.311,17.711,15.011001,13.461,12.661,12.461,11.411,10.011001,9.161,8.261001,7.511,6.811,6.161,5.761,5.461,4.961,4.261,5.161,7.611,9.261001,10.511001,11.461,12.111,12.411,12.211,11.161,8.561001,6.961,7.061,6.311,5.761,5.561,5.161,4.761,4.511,3.8109999,3.3109999,3.361,2.911,2.361,3.761,4.361,4.911,4.811,4.061,2.5609999,1.611,0.661,0.011,-0.089,0.111,0.361,0.51100004,0.661,0.76100004,0.81100005,0.81100005,0.76100004,0.611,0.461,0.261,0.061,-0.089,-0.18900001,-0.18900001,-0.089,0.111,0.41099998,0.81100005,1.211,1.711,2.211,2.261,1.461,0.161,-0.789,-1.089,-1.039,-0.98899996,-0.98899996,-0.98899996,-0.93899995,-0.73899996,-0.539,-0.539,-1.039,-1.789,-1.9890001,-1.289,-0.039,1.211,2.361,3.461,4.361,5.011,5.361,5.461,5.011,4.261
2025-11-14 00:56:12+00:00,2025-11-14 00:00:00+00:00,13.539,12.539,11.639,11.039,10.589,10.238999,9.839,9.289,8.839,8.639,8.339,8.238999,7.939,7.389,8.789,11.589,15.188999,17.439,17.689,19.189,20.139,20.239,18.789,16.189,14.938999,14.688999,14.139,13.738999,13.188999,12.938999,12.539,12.389,12.539,12.089,12.589,12.188999,11.688999,11.688999,11.738999,14.089,15.889,18.338999,19.639,20.111,19.911001,19.961,18.811,15.961,14.161,12.561001,11.311001,10.411,8.811001,8.011001,7.411,6.861,6.361,5.911,5.611,5.311,4.911,4.411,5.511,8.161,9.961,11.161,11.911,12.411,12.611,12.311001,11.311001,8.261001,7.111,8.561001,8.511001,8.261001,8.311001,8.261001,8.211,8.011001,6.161,5.261,4.111,3.661,2.961,2.861,3.711,5.161,6.761,6.561,7.161,5.061,1.5109999,0.311,-0.139,-0.039,-0.039,0.061,0.061,0.011,0.011,-0.039,0.111,0.211,0.261,0.311,0.361,0.361,0.111,-0.33900002,-1.4890001,-0.889,-0.089,0.261,0.56100005,0.76100004,0.81100005,0.711,0.311,-0.23900001,-0.639,-0.73899996,-0.68899995,-0.639,-0.68899995,-0.73899996,-0.73899996,-0.68899995,-0.639,-0.639,-0.839,-1.089,-1.089,-0.68899995,-0.039,0.81100005,2.011,3.411,4.461,4.861,4.861,4.811,4.711,4.511,4.261,3.961,3.611,3.461,3.611,3.861,4.061,4.011,3.861,3.761,3.711,3.661,3.8109999,4.261,4.961,5.511,5.911,6.261,6.411,6.361,6.111,5.911,5.711,5.561
