forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:14:29+00:00,2025-11-05 00:00:00+00:00,858.80096,859.3958,859.3371,858.762,858.93054,858.58954,857.3354,856.5706,855.9619,854.8079,853.958,852.4143,851.94183,851.33105,850.91534,850.7208,851.8939,853.37164,855.482,854.8604,854.2779,854.5497,853.92847,852.62933,852.3811,853.9132,855.016,855.5977,855.7548,854.6943,855.7557,855.8976,856.1437,856.3505,856.51013,856.67426,857.0837,857.9189,858.0345,858.56506,859.2173,860.278,860.79926,856.35345,856.4781,856.622,856.30176,856.21716,856.1666,856.7911,857.24194,857.212,857.22797,857.57983,857.6008,857.51117,857.6794,857.3068,856.6426,855.8735,856.2179,855.5023,855.4802,857.0331,857.3021,857.1276,856.99725,856.13635,854.66736,854.30646,854.3347,854.0896,853.6434,853.70984,854.5059,855.0206,855.5936,855.73663,856.3483,857.08374,857.9893,858.7742,860.0204,860.22974,860.7427,861.05707,861.8985,862.89703,863.32263,863.6298,863.8414,863.5764,863.3283,863.1946,863.60333,863.6534,863.0184,863.2237,863.49036,863.5549,864.11945,864.6245,864.76855,864.96686,865.0827,865.3914,865.421,865.11554,865.256,865.39655,865.75934,866.22833,866.8953,867.314,867.3356,867.19305,866.72534,866.3999,866.0718,865.7982,865.59515,865.6241,865.84015,866.05066,866.25287,866.3938,866.535,866.51166,866.4879,866.46405,866.4133,866.389,866.41907,866.4488,866.4488,866.57495,866.88947,867.3278,867.37146,866.8217,865.84265,865.0147,864.3662,863.66925,863.20197,862.9558,862.8641,862.7394,862.49817,862.2513,862.0046,861.89966,861.9048,861.8574,861.67303,861.351,861.21857,861.36456,861.67413,861.90826,862.15594,862.2802,862.18066,861.7401,861.1527,860.5768,860.06757,859.5404
2025-11-06 00:59:11+00:00,2025-11-06 00:00:00+00:00,851.613,851.65137,853.27875,853.39575,855.63727,857.0005,856.32983,855.61334,855.4189,855.60547,856.084,856.3158,857.4613,857.05743,856.9631,857.40295,858.2186,859.463,861.46014,861.032,860.9599,861.1324,861.0298,860.5643,859.2126,858.83856,857.9164,857.8977,856.5814,856.0509,856.08997,856.14355,855.63715,855.2309,855.5164,854.9792,854.11835,853.0218,852.0837,851.4745,851.238,852.1087,852.6677,854.1889,853.7645,853.5077,853.7289,853.1118,852.86694,853.6841,854.3217,854.7588,854.6311,855.4361,856.0931,856.7997,857.09076,857.46136,858.21686,858.5564,859.4239,859.84436,860.65546,861.6838,862.7184,863.1865,863.2396,863.234,862.89825,862.8235,863.15436,863.18634,863.16394,863.75415,864.5811,864.7291,865.71045,866.1063,866.27905,866.36584,866.2568,866.7607,866.81665,866.8176,866.6517,866.7082,867.12714,867.7097,867.9539,868.10504,868.0192,868.01526,867.29614,866.91254,866.74396,866.71313,865.9366,866.252,866.379,866.30273,866.39044,866.4778,866.2059,865.9873,865.8258,865.68774,865.44183,865.3064,865.44183,865.49854,865.49854,865.56757,865.65497,865.2318,864.6145,863.9184,863.03815,862.2971,861.82227,861.4004,861.1359,861.1025,861.23047,861.29425,861.29425,861.39874,861.3668,861.23047,861.0419,860.8532,860.6904,860.46985,860.3069,860.0443,859.8646,859.7445,859.8523,860.1077,860.1642,859.9799,859.5274,859.03815,858.32983,857.5347,857.06036,857.0602,857.36017,857.507,857.3854,857.1141,856.79083,856.37036,856.0064,855.7454,855.7454,855.8759,855.98035,855.9079,855.8931,855.8238,855.9748,856.0486,856.0686,855.76196,855.2278,854.79456,854.32605,853.9275
2025-11-07 00:57:07+00:00,2025-11-07 00:00:00+00:00,858.34845,857.9824,857.49316,857.79834,857.5974,857.47437,856.95245,856.19226,856.0372,855.4085,855.2939,853.81384,853.871,854.12384,855.376,855.2748,855.84644,856.5793,855.8851,855.8317,856.0406,856.1968,856.2556,856.4566,856.69653,857.5741,857.93054,858.3179,857.93005,858.35266,859.09094,859.18,859.32587,859.16376,859.19324,858.7739,858.96796,859.30273,860.5314,861.7809,862.63947,863.1879,863.8074,863.14,862.85535,862.5594,862.6173,862.70734,862.576,863.64,864.1559,864.47266,865.1779,865.49225,865.86,865.8079,865.7266,866.2587,866.0091,866.122,866.28986,866.2345,866.45795,867.31934,867.8778,867.86084,867.75073,867.4499,867.1221,866.7458,866.6737,866.88855,866.19366,866.5349,866.77246,866.55835,866.6189,866.62225,866.3801,866.57184,866.43396,866.4102,866.16437,865.99945,866.0263,865.6394,865.6122,865.76556,866.07965,865.6898,865.24896,864.6769,863.83044,862.7852,862.40686,862.14856,861.41315,861.4157,861.15845,860.93774,860.74304,860.659,860.328,860.1119,860.06854,859.62665,859.4587,859.14026,859.0645,858.939,859.0268,859.33905,859.9597,860.05945,859.7327,859.303,858.6287,857.9731,857.56537,857.17737,857.0267,857.2095,857.6353,857.91644,857.94354,857.85284,857.8389,857.89716,858.11743,858.20154,858.2395,858.3093,858.40454,858.531,858.6253,858.862,859.2643,859.6993,859.7985,859.53345,859.0627,858.5093,857.9918,857.49426,857.2208,857.54083,858.18,858.67523,858.78186,858.71906,858.6296,858.5975,858.42786,858.4195,858.3785,858.4731,858.62024,859.077,859.67017,860.2913,861.0194,861.632,861.91284,861.59534,860.99994,860.39685,860.0385,859.6672
2025-11-08 00:52:16+00:00,2025-11-08 00:00:00+00:00,856.5022,856.71405,856.867,855.9935,856.90314,857.3169,857.41504,857.84143,858.4789,858.12463,858.102,858.15955,858.6617,858.2738,858.32745,859.3607,861.9597,863.8309,863.33685,863.957,864.44635,864.2519,864.06976,863.8567,862.938,862.4399,862.2466,861.8773,861.39594,861.7901,861.6559,861.2698,861.05334,861.11084,860.7504,860.3336,859.8905,859.27216,859.32635,859.58167,861.90735,864.49664,866.11035,867.4136,866.8353,866.4254,866.3339,866.5097,865.65814,865.94653,866.26996,866.084,866.0082,866.3669,866.2337,866.09644,866.0164,865.82526,865.60754,865.2217,865.3931,865.1176,864.95624,865.30206,865.55237,865.0145,864.5104,864.0347,863.1934,862.48364,861.93414,861.3033,860.55804,860.70856,860.69525,860.2932,860.26697,860.21497,859.6058,859.19696,858.97754,858.7358,858.40466,858.2463,858.3615,858.36633,858.60095,858.97614,859.9633,859.6128,859.4307,858.52734,857.8412,857.6997,857.5558,857.3504,856.3388,856.91986,857.2766,857.3995,857.4121,857.4244,857.11127,856.71313,856.7814,856.8176,857.00714,857.28046,857.15875,857.1995,857.4295,857.7157,858.617,858.6933,858.3933,858.07574,857.51587,856.9777,856.6665,856.3495,856.25946,856.35895,856.58405,856.82587,857.19574,857.5584,857.75977,857.75507,857.5617,857.39233,857.10565,856.84406,856.7709,857.1439,857.7059,858.2157,858.5392,858.70337,858.7194,858.5093,858.0779,857.54895,856.92706,856.28894,855.8364,855.85486,856.10767,856.3002,856.1115,855.7528,855.57275,855.56586,855.6541,855.7158,855.64166,855.5416,855.44135,855.45844,855.644,855.59314,855.2458,854.82733,854.4309,854.2383,853.98065,853.7651,853.2924,852.75525
2025-11-09 00:58:30+00:00,2025-11-09 00:00:00+00:00,862.71405,861.8711,861.25757,861.3826,861.4446,861.91833,861.3935,861.3918,860.1413,859.3309,859.5267,859.49664,859.29944,859.4099,860.0783,861.02997,863.1709,865.5566,866.8498,867.2649,867.69965,867.85547,867.7884,867.3315,865.8715,864.867,864.0852,863.5894,863.09375,862.37115,861.2621,860.49304,859.8846,858.88696,858.55273,858.07874,857.49304,857.1022,856.59985,856.99133,859.16864,860.58606,862.1001,863.91473,862.8301,862.14703,861.8599,861.2009,860.41675,860.63727,860.7078,860.5133,860.4554,860.2411,859.99457,859.7276,859.4434,859.44934,858.95135,858.51996,858.3615,858.06146,858.2341,858.9666,859.92377,859.3777,858.93317,858.1143,857.8781,857.64966,857.256,857.029,856.0647,856.3972,856.5107,856.51776,856.71173,856.64825,856.7772,856.6033,856.2924,856.6548,856.85535,856.8997,857.1259,856.9692,857.06464,857.851,858.2651,858.19055,858.11017,857.50104,856.7736,856.45557,856.38416,855.7417,854.8933,855.3234,856.01483,856.19214,856.2258,855.9978,855.4045,854.6653,854.19507,854.43494,854.2597,853.6893,853.6315,853.7273,853.9071,854.07794,854.63043,855.3475,854.48944,853.48737,851.91455,850.6334,849.777,849.0736,848.6094,848.4895,848.50476,848.17944,846.9816,845.4432,844.0332,842.8832,841.856,841.30164,841.5348,842.29004,842.8727,843.0899,843.20874,843.1823,843.1515,843.05896,842.9351,842.9106,842.85175,842.78235,842.5534,842.31177,842.31287,842.775,843.3732,844.02686,844.48724,844.9183,845.3719,846.12665,846.9071,847.6586,848.29724,848.85046,849.2673,849.38196,849.3869,849.221,848.9943,848.67883,848.3321,847.8956,847.455,847.10345,846.96625,846.868
2025-11-10 01:00:41+00:00,2025-11-10 00:00:00+00:00,863.63495,862.99713,862.29645,861.94824,861.6795,860.8721,859.7158,859.02277,858.413,858.3855,857.68805,856.71173,856.851,856.5443,856.3771,856.23895,857.97235,860.05133,861.907,862.56323,862.87585,862.9453,862.79694,861.61633,860.04956,859.3006,858.6877,858.07996,856.71625,856.56744,856.87256,856.3558,855.998,856.00653,855.9881,855.9042,855.91943,856.0739,855.9933,855.7718,857.0141,859.1863,860.9698,858.3586,857.6037,857.30743,856.9347,856.5619,855.53973,855.804,856.1106,856.27313,856.5644,856.3505,855.9483,855.6295,855.9101,856.02026,855.6119,855.4671,855.7657,855.5195,855.43536,855.81213,856.0824,856.1499,856.04956,855.04675,853.93866,853.4884,853.1887,852.6031,851.87354,851.8748,852.03564,851.98517,851.344,850.804,850.37317,850.2127,849.6683,848.91376,847.93164,847.32385,847.2137,846.9164,846.1789,846.0105,846.86127,848.15344,847.3238,845.847,844.7448,844.28687,844.9033,845.6444,846.3917,847.21985,847.8925,848.66254,848.2226,846.50977,844.929,842.249,841.82965,841.589,842.0913,842.2703,842.0288,842.1439,842.2684,841.986,842.00824,842.026,841.7789,841.9497,842.2229,842.542,842.95233,843.43384,843.82666,844.097,844.39215,844.79535,845.39105,846.0687,846.82635,847.6376,848.5034,849.4516,850.45496,851.4302,852.4884,853.6577,854.79785,855.63007,855.9315,855.92395,855.8854,855.81177,855.7034,855.6875,855.89026,856.2982,856.8689,857.7077,858.73804,859.5739,860.1313,860.52075,860.8832,861.2189,861.4706,861.7494,862.055,862.3304,862.6361,862.97186,863.1966,863.1966,862.7201,861.8234,861.14465,860.6481,860.364,860.0655,859.7707,859.5206
2025-11-11 00:56:25+00:00,2025-11-11 00:00:00+00:00,858.70654,857.9244,857.21246,856.62866,856.4798,856.1978,855.87616,855.4124,855.0,855.34265,855.04706,854.7335,854.7129,854.3869,854.61475,854.9759,857.09766,858.7545,860.5532,861.0542,860.97504,860.73364,860.5452,859.68964,857.8561,857.0242,856.33185,855.67126,855.6649,854.8485,854.69214,853.46893,852.7451,852.52405,852.6877,851.9907,851.8993,851.7658,851.46783,851.0947,852.2106,853.761,855.3766,856.1892,855.64264,855.18524,855.3335,855.01166,854.2863,854.4216,854.85126,854.8165,854.7814,854.59955,854.4338,854.4025,854.1694,854.15594,853.80554,853.42303,853.40265,853.10394,853.08325,853.61725,854.207,854.0962,854.2656,853.5358,852.1319,851.69183,850.82513,850.3085,849.1764,848.73694,848.28467,847.7206,847.0046,846.7012,846.3389,846.4148,846.4054,846.36365,845.74854,845.6226,845.7233,845.62164,846.24744,847.24585,847.39954,848.4099,848.20294,848.73376,848.5056,849.43506,849.5986,849.4087,849.16156,849.70874,848.9949,848.64264,849.19885,849.90265,849.8324,849.33527,849.7065,850.4802,851.2245,851.74255,852.12366,852.4779,852.85175,853.1355,853.2195,853.1562,853.6841,853.37915,852.8529,852.5346,852.4648,852.68665,852.8296,853.0026,853.20416,853.3977,853.4695,853.509,853.5174,853.49493,853.41473,853.30804,853.2351,853.2183,853.1975,853.2032,853.40045,853.64355,854.19684,854.94775,855.3595,855.308,855.0133,854.5515,853.8304,852.9657,852.28357,852.11176,852.10144,852.05884,851.98444,851.936,851.7725,851.6047,851.29535,850.99054,850.52655,850.093,849.79596,849.6927,849.7267,849.85693,850.11993,850.4602,850.49176,850.12854,849.5575,849.0436,848.65515,848.26306
2025-11-12 00:57:29+00:00,2025-11-12 00:00:00+00:00,858.6498,857.0242,856.8305,856.1958,856.14996,855.7997,854.342,853.16486,852.5705,852.9212,852.9395,852.6344,852.4257,852.4774,852.2467,852.04645,853.1605,854.74585,856.55835,857.6417,858.0995,857.7936,857.58905,856.60944,855.65546,855.37823,855.1827,855.70593,855.70593,855.01544,853.8591,853.8321,852.5982,852.1516,852.0244,851.78906,851.98914,851.8105,850.522,850.827,851.9404,853.87646,856.2015,855.76984,855.14386,854.4535,854.05505,853.4753,852.69745,852.6327,852.17035,851.7639,851.77185,851.61884,851.2971,851.11053,851.2789,851.3191,851.6084,851.4656,850.9309,850.7907,850.62244,851.2749,852.70166,853.71014,853.4584,853.003,852.41144,852.0007,851.57764,851.4781,851.0438,851.2327,851.6974,852.2538,852.57477,853.4922,853.704,853.0547,853.0276,853.2295,853.2115,852.8786,853.30664,853.6948,853.99396,853.95575,855.0032,854.7962,854.29675,853.788,853.0306,852.2208,851.7354,851.25653,850.0038,849.80194,849.34656,849.11786,848.74554,848.2555,847.55304,846.7846,845.9316,845.3569,844.8589,844.006,843.31415,843.75555,843.536,843.29834,842.8989,842.78925,843.0204,842.9434,843.0347,843.2097,843.7471,844.36804,844.9309,845.2929,845.5709,845.84924,846.15955,846.5542,846.86475,847.17505,847.4273,847.70557,847.9515,848.16486,848.43634,848.7986,849.27747,849.74976,850.2668,850.8352,851.1764,851.231,851.11566,851.0741,851.2332,851.38135,851.58594,851.8138,851.9295,852.17365,852.43146,852.7621,853.03455,853.4951,853.9491,854.2731,854.3053,854.2597,854.214,854.3884,854.6724,854.893,854.965,854.94617,854.8357,854.59955,854.3268,854.1006,854.07544,853.9897
2025-11-13 01:13:05+00:00,2025-11-13 00:00:00+00:00,854.2236,853.7405,853.7009,853.4319,852.7718,852.91187,852.5401,851.5636,851.06635,851.52545,851.90436,851.7629,851.4638,850.1218,849.3687,849.50714,851.2733,853.68304,855.2269,856.3266,857.00214,857.2243,856.58325,855.2017,853.0025,851.9308,851.1622,851.0016,849.71027,848.89624,849.7028,849.8143,849.48346,849.68726,850.2535,850.1692,849.47656,848.83856,848.71277,849.4584,850.94086,855.22864,856.30414,853.70483,853.2216,852.75006,852.64154,852.4955,852.2203,852.0739,852.10266,853.348,853.95844,854.3494,853.7723,853.75433,854.19934,854.1197,853.80853,853.89276,854.127,854.03864,853.7807,854.2208,854.59705,854.88055,854.59985,854.10455,853.17786,852.406,851.85004,851.0843,849.79,849.5153,849.10254,848.5791,848.3087,847.85455,847.1024,846.60504,846.26056,846.7261,846.6754,846.06665,845.4491,845.9081,845.71436,845.59485,845.6712,845.64825,845.9383,845.9745,845.5248,844.95496,844.51886,844.13367,843.3738,843.44446,843.99677,844.40594,844.9478,845.2074,845.4803,845.519,846.0755,846.45026,846.02924,846.11926,846.8191,846.7289,846.7475,846.92175,847.8217,848.0139,848.4342,848.17377,847.6841,847.17615,846.8501,846.58655,846.5275,846.96765,847.53107,848.0483,848.22284,848.23584,848.2483,848.28046,848.2544,848.2285,848.2346,848.24036,848.33014,848.44604,848.64594,848.89233,849.4312,849.98895,850.40936,850.33026,850.0564,849.8806,849.92084,850.1434,850.33856,850.6161,850.866,851.30304,851.83887,852.45325,853.0152,853.39276,853.7167,854.00836,854.34845,854.7682,855.104,855.4706,855.8102,856.0889,856.35913,856.62494,856.61615,856.25824,855.70996,855.2985,855.2146,855.2412
2025-11-14 00:57:40+00:00,2025-11-14 00:00:00+00:00,852.76013,851.7621,849.88104,849.95245,849.47656,849.31946,849.35815,848.2838,849.223,848.89435,848.5274,849.16547,850.75653,852.1157,852.071,852.402,853.80853,855.1031,855.5531,855.71075,855.2863,855.6018,855.67334,855.00385,854.01117,854.3741,854.5155,854.8977,855.2436,855.1932,854.6055,854.7298,854.62915,853.909,853.4386,852.95,853.02277,853.4427,853.315,853.1252,854.19885,855.8822,857.0757,855.191,854.2843,853.39606,852.81525,852.44684,851.18256,850.9398,850.8373,850.6082,850.3198,849.9648,849.62805,849.0168,848.757,848.87036,848.5922,848.0765,848.0434,847.6152,847.1024,847.2631,847.82184,847.53485,848.4369,847.6989,846.8189,845.2294,844.6263,845.0511,844.90424,845.11597,845.26044,845.02435,844.90564,844.8469,844.7758,844.8125,844.9293,845.1505,845.19617,845.07275,845.11084,845.35693,845.933,846.14526,846.9094,847.6726,848.48254,848.4772,848.27563,848.064,848.0737,848.0209,847.86414,848.1704,848.2165,848.0935,847.89233,847.90594,847.3999,847.04944,846.70435,846.42096,845.96344,845.3637,845.0679,845.019,844.94324,844.9925,845.70715,846.2305,846.3957,846.0778,845.3597,844.76056,844.38385,844.12244,843.95667,844.0439,844.2907,844.3744,844.07996,843.67596,843.47833,843.7917,844.31714,844.92664,845.4828,846.0394,846.5162,846.91736,847.2647,847.63043,848.28217,849.0333,849.46027,849.1605,848.53894,848.22076,848.39667,848.9344,849.3305,849.66943,849.9782,850.2331,850.461,850.5507,850.6944,850.7242,850.754,850.727,850.6997,850.7835,850.81323,851.04004,851.21204,851.436,851.59906,851.7298,851.72144,851.6014,851.427,851.122,850.7184,850.1797
