forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:14:30+00:00,2025-11-05 00:00:00+00:00,1.2929637,1.0985956,0.30356178,0.7420586,-0.0865632,-0.47891957,-0.60811174,-0.6537332,-1.2220259,-0.5601093,0.7222015,-0.5389599,-0.70062125,-1.8328701,-2.3963473,-3.3838947,0.59421563,1.9603726,-0.80688554,-1.4573727,-4.2607355,-7.02823,-7.360483,-7.251937,-1.319248,3.199305,4.705401,4.83918,4.8656025,3.5929618,3.3921533,1.6437443,0.45828915,-0.5064946,-1.2544533,-0.5025204,-0.6499703,-0.7974215,-1.6095536,-2.3707082,-0.51955867,-1.5189426,-2.5971766,-4.1077495,-5.9691253,-6.862989,-6.0130186,-4.6288085,-3.4880557,-1.5723404,-1.475499,-1.4459723,-1.578873,-1.7702752,-2.3058462,-2.0477536,-1.9685192,-2.1047204,-2.3386586,-2.4880931,-2.6742249,-2.870968,-3.0145533,-1.9599851,1.0211846,1.2896763,1.1161193,0.77636665,-0.44024414,-1.3948734,-0.76758313,-0.7616307,-1.1403607,-1.7510347,-1.0232179,-2.5027688,-3.1289806,-3.3979466,-4.0136886,-4.544625,-5.4414535,-5.981464,-5.838275,-6.1693897,-6.3113046,-5.025143,-5.3124313,-5.84102,-5.88084,-5.482384,-5.9068036,-5.791059,-4.998294,-4.969037,-4.7407446,-4.8777175,-4.3664947,-4.473833,-4.613778,-4.8058734,-5.252631,-5.4886613,-5.6490774,-5.743675,-6.0079746,-6.228215,-6.33848,-6.7370768,-7.4718485,-7.872679,-7.8353786,-8.192554,-8.375451,-8.410721,-8.870898,-9.003613,-9.449418,-9.686971,-9.817429,-9.953677,-9.791939,-9.639433,-9.981292,-9.855983,-9.590778,-9.224268,-9.143181,-8.978755,-9.069746,-8.912418,-8.853125,-8.892284,-8.800524,-9.030316,-9.168202,-9.029824,-8.780207,-8.7765465,-8.604661,-8.208061,-7.73138,-7.297126,-6.7349005,-6.7983117,-6.5048404,-6.558019,-6.9823537,-6.962802,-7.0568395,-6.7239347,-6.6590347,-6.2281756,-5.7274694,-5.3393393,-5.5710154,-5.8953905,-6.478787,-6.941276,-7.1932354,-7.3113194,-6.962885,-6.3869424,-6.0387025,-5.342844,-4.7875104,-4.0340257,-3.424441,-2.7624218
2025-11-06 00:59:12+00:00,2025-11-06 00:00:00+00:00,-6.0726147,-2.0248654,-3.9953785,-4.6557584,-3.2496438,-2.7048554,-2.557294,-1.8835416,-1.7601892,-0.10932841,-0.83529633,-0.34598133,-0.4533708,-1.2889372,-3.2732425,-4.652783,-0.26384273,-0.10075951,-1.0415612,-1.8598884,-1.9334141,-4.743624,-3.9168758,-2.596242,-3.376746,-3.3585832,-2.782765,-3.682598,-4.183562,-2.962349,-2.1622844,-1.8974482,-2.173909,-1.7684023,-1.0582376,-0.27491033,-1.0570449,-0.12941125,0.4738891,0.77067924,1.2891879,0.5155791,-1.257167,-0.15369928,-0.69217837,-3.7821991,-4.6101937,-3.1170368,-5.606996,-6.2051644,-6.044269,-6.2475686,-6.5442433,-7.4500976,-7.5913305,-7.848599,-8.362053,-9.094642,-9.347588,-9.720381,-9.71608,-9.674961,-9.857015,-9.976183,-10.480548,-11.019402,-11.640407,-11.290735,-10.495889,-10.457514,-10.325989,-10.011893,-9.498142,-9.495794,-9.342739,-9.264727,-9.26013,-9.214165,-9.443992,-9.359791,-9.373735,-9.048253,-8.782209,-8.784142,-8.690383,-8.569038,-8.440595,-8.396588,-8.681051,-9.133766,-9.714604,-10.06297,-10.850754,-11.3018675,-11.556983,-11.130751,-10.696119,-10.980017,-11.122574,-11.101727,-11.234718,-11.323386,-11.270813,-11.153685,-11.132707,-11.087808,-11.042911,-11.177606,-11.166354,-10.989767,-11.117954,-10.85391,-10.750862,-10.7028055,-10.407881,-10.041006,-9.382611,-8.774066,-8.426163,-7.8122654,-7.671213,-7.5758214,-7.9024787,-7.8247094,-7.600924,-7.2708745,-6.784236,-6.3200035,-5.4046054,-4.9993033,-4.850775,-5.20315,-5.515707,-6.215404,-6.868587,-7.0186033,-6.4325414,-5.4561124,-4.564729,-4.048838,-3.7320182,-3.6973286,-3.2430983,-2.8361092,-2.3544912,-1.8490757,-1.7324141,-1.7737496,-1.9006919,-1.9728147,-2.0504606,-1.9402974,-1.5723404,-1.5039015,-1.6652163,-2.0921104,-2.471605,-2.8764875,-3.334154,-3.4944072,-3.2233415,-2.858187,-2.6867032,-2.3909912,-1.9094687,-1.5523978,-1.3228544,-1.4304211
2025-11-07 00:57:08+00:00,2025-11-07 00:00:00+00:00,-5.2306356,-4.9892645,-4.2462034,-4.4772444,-4.9226847,-5.4747486,-5.3880544,-5.6041293,-5.3015776,-4.9401374,-4.607332,-5.176595,-6.244519,-6.2527504,-6.135651,-5.3647976,-0.81896144,0.16391471,-0.026216371,0.4836915,-4.740997,-3.7686033,-2.8905778,-2.7414794,-5.2209225,-6.9782677,-7.2428217,-7.9848633,-8.11647,-8.9848175,-10.053472,-9.928464,-8.718499,-8.37826,-7.966371,-8.190439,-8.570388,-10.003681,-11.044115,-11.107385,-8.761325,-8.137566,-7.37466,-10.813356,-10.983711,-11.296678,-11.475644,-11.122578,-10.292478,-10.392862,-9.903145,-9.596715,-9.63065,-9.580055,-9.532548,-9.697045,-9.67143,-9.743235,-9.67143,-9.357695,-8.967957,-8.726664,-8.421149,-8.474914,-8.514279,-8.751291,-9.158087,-9.462261,-9.756167,-10.262166,-10.2898445,-10.20357,-9.621152,-9.936844,-9.721786,-9.920788,-9.950809,-9.725782,-9.995816,-9.945193,-10.084211,-10.084211,-10.096257,-10.02536,-10.161907,-10.084534,-10.2221365,-10.053016,-10.175858,-9.980269,-10.062618,-9.799994,-9.513044,-8.789919,-8.263676,-7.0411615,-7.4399323,-7.734521,-8.054423,-8.228311,-8.067195,-7.938692,-7.4256372,-6.9188175,-6.663773,-7.1932354,-7.8568463,-7.8996515,-7.769055,-7.1884775,-6.952349,-7.1437626,-7.192521,-6.2345862,-4.309715,-3.5243132,-3.2759268,-3.069159,-2.6275399,-2.3009627,-2.0380025,-2.210981,-2.5117586,-2.977251,-3.2776554,-3.5374966,-3.722402,-3.818372,-3.7904105,-3.853854,-3.9186916,-4.100693,-4.135807,-4.1322694,-4.1599503,-3.9424486,-3.401693,-3.1333349,-2.7561297,-2.1758876,-1.8360004,-1.8249359,-1.7274804,-1.7751695,-1.679706,-1.6835821,-1.357262,-1.4901872,-1.6101013,-1.8081567,-1.882644,-1.572592,-0.9007407,-0.605172,-0.65325165,-1.0445158,-1.339629,-1.7155159,-2.0477536,-2.1438882,-1.8309628,-1.58356,-1.778252,-1.9395455,-1.8197896,-1.9979662,-1.8591926,-1.9250954
2025-11-08 00:52:17+00:00,2025-11-08 00:00:00+00:00,-7.1294765,-6.450965,-6.274848,-7.5274105,-7.5274105,-8.958488,-9.843765,-8.549249,-10.162266,-10.835077,-11.111693,-9.322587,-8.326794,-8.583059,-9.670294,-10.347898,-7.9132013,-7.636025,-8.204507,-8.033204,-8.382977,-8.833633,-9.125977,-9.255299,-10.609211,-11.732446,-11.729875,-11.464719,-11.048866,-10.527553,-10.035922,-9.858333,-10.49212,-10.622821,-10.663101,-11.003783,-10.85844,-10.706839,-11.099783,-11.191774,-8.422189,-8.190945,-7.938062,-6.9164577,-7.0053596,-7.062766,-7.1107073,-7.1107073,-6.667757,-6.8723903,-6.920839,-6.8869,-6.887498,-7.104916,-6.8710346,-7.0547366,-6.964854,-7.1577334,-7.1577334,-7.0800366,-7.080199,-7.148561,-7.0970006,-6.8219266,-6.73468,-6.659633,-6.488009,-5.9231825,-5.1865354,-4.199891,-3.4958756,-3.4580293,-2.799365,-2.5004497,-2.5143096,-2.7376175,-2.9513974,-3.2179873,-3.3970673,-3.6754942,-3.7895536,-3.4679306,-3.224584,-2.5760322,-2.1134806,-2.2218204,-2.512201,-3.4413095,-4.0610332,-3.5573304,-2.8549187,-2.7410197,-2.7539866,-2.4648662,-2.088836,-2.446576,-2.316158,-1.9570752,-1.9891925,-1.9299895,-2.0446756,-2.1438391,-2.2390535,-2.0962324,-2.032205,-2.0573912,-1.8072997,-1.911741,-1.5252272,-1.6623409,-1.8323826,-1.7679169,-1.6030185,-1.3772662,-1.2034178,-0.9991193,-0.8089054,-0.8783953,-0.84594893,-0.6700388,-0.6649088,-0.67484504,-0.8235076,-0.8178191,-0.93584764,-1.0960878,-1.0490074,-0.8611747,-0.65325165,-0.5190754,-0.8184778,-1.1215307,-1.3638449,-1.460773,-1.4959201,-1.3281558,-1.0966042,-0.9170595,-1.1824249,-1.5956113,-2.671183,-3.4462323,-3.475393,-3.5442863,-3.236539,-3.3798485,-3.434568,-3.3491066,-3.3422961,-3.2078073,-3.0352225,-3.5709255,-4.1119027,-3.6268702,-1.5886377,0.96747035,2.6780825,3.5826385,4.117126,4.2563744,4.041094,2.96235,1.9507841,1.2050248,1.0927163,1.4005841,2.9155922,4.3657274
2025-11-09 00:58:31+00:00,2025-11-09 00:00:00+00:00,-12.146377,-12.619711,-12.581468,-13.050504,-12.432523,-11.211839,-11.797358,-12.068155,-11.965095,-11.91931,-11.874378,-12.056667,-11.91931,-11.743794,-11.743794,-11.690397,-9.076736,-8.45557,-10.303457,-10.419699,-10.833648,-11.537842,-11.688041,-12.451556,-14.484843,-15.15286,-14.980097,-15.274387,-15.4846325,-15.155272,-15.198363,-14.653548,-14.523764,-14.567024,-14.610285,-14.209845,-13.823672,-14.238633,-14.417186,-14.262347,-12.890986,-11.351929,-11.0456295,-7.0053596,-6.445764,-5.0802946,-3.8458304,-2.8893964,-2.799365,-2.6386766,-2.4680195,-2.205378,-1.8636922,-1.8934115,-2.5967624,-3.116226,-3.4896424,-4.1477017,-4.673377,-4.655933,-4.255036,-3.7804043,-3.3443673,-3.0145533,-3.4409604,-3.2550485,-2.84761,-2.482447,-2.3509557,-2.3450832,-2.1545932,-1.5540451,-1.4099842,-0.76758313,-0.4493259,-0.3419147,-0.4360265,-0.76543516,-0.6991807,-0.57307076,-0.6206628,-0.71584713,-0.60172355,-0.92056465,-1.1836808,-1.429317,-1.6705246,-1.9038215,-1.9141767,-1.58356,-1.2114886,-1.3520725,-1.5969497,-2.7584743,-2.8021197,-2.6162407,-2.6192398,-2.5819333,-2.7539449,-2.8901238,-2.9607584,-3.007314,-2.8549187,-2.5029747,-2.1383224,-1.9773358,-1.6408932,-1.5076476,-1.5237937,-1.6675847,-1.6267226,-1.6267226,-1.5833961,-1.6932718,-1.9513357,-2.2849276,-3.413293,-4.4214115,-4.5925317,-3.7650278,-2.7050657,-1.1836334,0.4372717,1.5197988,2.2922974,2.7436547,3.0605655,3.1419516,2.920148,2.346942,1.5879976,0.6542894,-0.45747826,-1.7862715,-2.9961936,-4.356591,-5.6245017,-7.6192613,-9.635778,-11.948829,-13.776591,-14.754567,-13.514669,-11.153685,-10.007382,-9.512292,-9.109034,-9.026911,-9.039696,-9.308779,-9.133833,-8.724582,-8.440704,-7.710117,-6.869288,-5.7380495,-4.917262,-4.2735095,-3.631132,-3.4439678,-3.8314,-4.597145,-5.096356,-4.6676526,-3.585149,-2.9659247,-2.8383298,-3.0929961
2025-11-10 01:00:42+00:00,2025-11-10 00:00:00+00:00,-10.557318,-11.775985,-12.560336,-13.096887,-12.404623,-12.077835,-12.497453,-13.053678,-13.403095,-13.289018,-13.4531,-13.510183,-13.579417,-13.667583,-13.140373,-12.700786,-10.57767,-9.595581,-9.786134,-9.335699,-8.537148,-8.27888,-7.8139925,-7.3903265,-8.448441,-8.444142,-8.4265995,-8.705126,-8.400037,-8.559554,-8.530639,-8.331594,-8.421545,-7.8477244,-7.955176,-8.45557,-7.8639855,-8.205922,-8.508465,-8.236302,-7.070741,-5.153989,-4.4538794,-4.0703025,-3.6199355,-3.184764,-2.8697796,-3.0807292,-3.2433746,-3.2550485,-3.202669,-3.1245704,-3.0657372,-3.018837,-3.2064419,-3.1595395,-3.0657372,-3.0196705,-2.953943,-2.8296468,-2.9934623,-2.905607,-2.8906896,-2.8296468,-2.596745,-2.5301313,-2.131878,-2.002817,-2.220999,-2.1721191,-2.439384,-2.0439928,-1.9433197,-1.6269877,-1.396817,-1.2445092,-1.1873324,-1.1108968,-1.4565607,-1.5703567,-1.6652163,-1.498345,-1.5553328,-1.5717238,-1.6637647,-1.8077971,-1.6653087,-1.8181268,-1.7724102,-2.097722,-2.3445117,-2.8064554,-2.6364343,-2.1107967,-1.9128425,2.1046286,3.0959036,2.9036942,2.5596309,3.1481397,3.704329,3.8224785,2.1731858,1.6059544,1.0453011,0.49870604,0.55323964,0.13690244,-0.6776784,-3.0785682,-3.3350074,-3.6487558,-3.7766001,-4.8483863,-6.9062347,-8.305986,-9.930167,-10.852146,-11.024035,-10.826054,-10.728655,-10.3232355,-10.038669,-9.764021,-9.720381,-9.857015,-9.956319,-10.41948,-10.944433,-11.065128,-10.466094,-9.623999,-9.286233,-9.576181,-9.891294,-10.122425,-10.139823,-9.912758,-9.687968,-9.052432,-8.27418,-6.8606586,-4.5830045,-2.735836,-1.6410466,-1.2659131,-0.9677402,-1.0590924,-1.207499,-1.5598732,-1.8121617,-2.1078606,-2.452849,-2.6455002,-2.8899522,-3.1863449,-3.3347654,-3.3857372,-3.4021585,-3.2759304,-3.1427708,-3.0610383,-2.7187831,-2.395859,-1.8588179,-1.5170796,-1.300985,-1.1678722
2025-11-11 00:56:26+00:00,2025-11-11 00:00:00+00:00,-5.3924227,-6.1627192,-5.617859,-5.7429924,-5.6603684,-5.731299,-6.293992,-6.274549,-6.7764735,-7.378047,-7.609904,-7.7521877,-7.429025,-7.158195,-7.333633,-7.3450265,-5.7568316,-3.9651568,-3.1437206,-3.300406,-3.581348,-3.413728,-4.176895,-4.381904,-5.2568665,-5.438742,-5.5715475,-5.7881756,-5.886915,-5.9237313,-5.5240755,-5.2664685,-5.0842876,-4.923834,-5.369568,-5.4108825,-4.968713,-4.8194942,-4.8736134,-4.1610246,-2.2403972,-1.9394238,-1.7177502,-2.2162507,-1.9847827,-1.9543093,-1.9692432,-1.4611155,-1.710521,-1.8872329,-1.3704493,-1.4784201,-1.2831318,-1.4888922,-1.4416405,-1.8196658,-1.498345,-1.7126472,-1.8075098,-1.5310235,-1.4706802,-1.4244831,-1.5689778,-1.6637647,-1.6459256,-1.7864496,-2.1158617,-2.446576,-2.753395,-3.051167,-3.1513345,-2.2205455,-2.4372003,-2.580205,-2.7103908,-2.55053,-2.6531842,-2.5301313,-2.657525,-2.704226,-2.8316977,-2.7976313,-2.8383613,-2.470724,-2.1334522,-1.5076476,-0.7381641,0.2733496,1.0795668,1.5179912,1.0787274,0.8721866,1.7939268,2.3185086,2.4538462,2.8151503,2.875664,3.2431605,3.5095186,3.669971,3.7794409,3.7883155,3.9438546,3.894334,3.5818605,3.4233134,3.31245,3.373982,3.5554817,3.108679,2.5518308,2.2975435,2.1665473,2.3610816,2.0366175,1.7503166,1.2883153,0.67298436,0.28341362,-0.16871554,-1.0573909,-2.5785704,-4.505453,-5.69272,-6.155087,-5.8723993,-5.655635,-5.59776,-5.33293,-5.0559115,-4.920687,-4.599533,-4.59424,-4.881505,-5.3165174,-5.5250964,-5.245434,-4.7588573,-4.2457356,-3.9687302,-3.7908247,-3.560203,-3.6521664,-3.6591585,-3.7366533,-3.6851082,-4.003866,-4.025498,-4.230371,-4.345278,-4.207493,-3.7804043,-3.2144601,-2.8358393,-2.709948,-2.7676756,-2.8654623,-2.9537308,-3.1572087,-3.2549865,-3.0577543,-2.9532213,-2.5455241,-1.9859352,-1.6217651,-1.172176,-1.0458139,-1.0233625
2025-11-12 00:57:30+00:00,2025-11-12 00:00:00+00:00,-1.2161067,-2.043706,-2.500911,-3.1921113,-3.5608196,-3.7045877,-4.054157,-3.9574234,-3.7251208,-3.8844013,-4.609119,-5.0036106,-5.0820107,-6.7435946,-6.2644725,-6.4306054,-2.673459,-1.5366163,-0.83206445,-1.0190779,-1.4997547,-1.9547576,-1.6857285,-2.711524,-4.610637,-5.4808125,-5.657605,-6.029634,-5.617859,-6.0129275,-5.197806,-5.7429414,-5.6308684,-5.7001667,-5.543432,-5.63183,-5.8318844,-5.685509,-5.872864,-6.1739173,-3.427122,-3.054919,-2.618644,-1.7558806,-2.2168276,-2.7481594,-2.671183,-1.9128425,-2.105004,-2.1396437,-2.0858095,-2.0892026,-2.1125975,-2.272632,-2.2261374,-2.1278467,-2.362297,-1.9968191,-2.0559483,-1.1657513,-2.019407,-1.498345,-1.760079,-1.4416405,-1.0233625,-0.95329463,-0.7778361,-0.47506636,-0.81477404,-0.5040706,-0.3498507,0.6375188,1.1419127,1.3742485,1.6809404,1.4928116,1.4920312,1.5721697,1.5416363,1.6862026,1.8173926,2.042402,2.2292361,2.308305,2.4080384,2.36486,2.1928272,2.1205096,2.427496,2.478366,2.2644188,1.5390198,0.4656954,0.41157365,-0.011526037,-0.13078313,0.078567915,0.45632535,0.56346095,0.5598484,0.39307198,0.30828857,0.304331,0.44705266,0.755701,0.97237766,0.94754964,0.6542894,0.40989974,0.458778,0.479347,0.52600443,0.4536458,0.42624438,0.35351428,0.45511675,0.957129,1.5204957,2.6153705,3.704329,4.150217,3.5371726,2.557105,1.7239848,1.414678,1.243085,1.1613493,1.3211714,1.6152447,1.8597863,2.0661168,2.0314445,1.89919,1.80206,1.6283338,1.501336,1.4208069,1.5665821,1.6290773,1.9309753,2.3259685,2.4754896,2.6645215,2.6575835,2.732693,2.7004116,2.7311437,2.67479,2.806212,2.918305,2.967574,3.0030262,3.01829,3.047149,2.9981449,3.01829,3.0854404,2.8710766,2.7041197,2.63327,2.609205,2.6316736,2.4897664,2.0905406,1.1323081,0.5502268,0.5032757,0.5965303
2025-11-13 01:13:06+00:00,2025-11-13 00:00:00+00:00,-2.1815772,-4.384041,-4.1735864,-4.615649,-4.357939,-3.9773526,-3.8374949,-3.9227774,-4.163839,-4.3912163,-5.609458,-5.436309,-5.5161734,-5.975183,-5.914021,-5.934903,-2.4350116,-0.87513983,-0.48983988,-1.1667367,-1.7305651,-1.6865033,-1.419191,-1.419191,-3.6032674,-4.5474763,-3.9503617,-4.1979713,-4.946252,-5.4772,-5.4719124,-5.2460356,-5.2898874,-5.108145,-5.199288,-5.2209225,-5.3105288,-5.0351577,-4.66442,-4.5264273,-3.983049,-1.3245349,-0.7782869,-0.4292641,-0.54845285,-0.28217036,0.017388107,0.23267257,0.09428019,1.2590864,2.558034,2.427777,1.9033082,1.4302444,1.4729253,1.626111,1.5304673,1.6541919,1.9390329,2.1982453,2.2412753,2.2417667,2.1349857,2.3610816,2.6161573,2.6015,1.8280618,0.09521462,-1.2587208,-2.9767194,-3.9139557,-3.2060535,-2.3014662,-0.78512454,-0.05959419,0.30688244,0.5739367,0.7330265,0.81308526,0.76525617,1.077412,2.0524812,2.7311437,3.4458492,3.741058,3.5587862,3.5904822,3.5972097,4.0022793,4.349784,4.1468706,2.30567,1.1605326,0.3300583,-1.318792,-0.015636815,0.14342552,0.8624989,0.9680044,1.077412,0.48889777,0.25889254,0.25451687,0.7437718,1.0459893,1.1613493,1.4203452,1.2717627,1.4161756,1.2618718,2.4134474,2.5625792,2.7058146,2.6833222,2.7704978,2.9793231,2.9891095,3.1019945,2.9079087,2.811097,2.5608115,2.4078703,2.108916,2.0590901,2.16268,2.4631536,2.6618707,2.7095711,2.6562917,2.7553375,2.9079087,3.009389,3.009389,2.9079087,2.8543832,2.8485928,2.791522,2.7326565,2.544921,2.0366175,1.3658088,0.9418225,1.1681653,1.5434226,1.6556505,1.5769589,1.2516214,1.021529,0.7608376,0.47983462,0.26326302,0.46635872,0.6605265,0.9244741,1.0216411,1.1622188,1.1123922,0.87251645,0.5267192,0.11778721,-0.2447371,-0.6134548,-0.8907452,-1.1498877,-1.1063578,-1.3507483,-1.6653087,-2.2488098
2025-11-14 00:57:41+00:00,2025-11-14 00:00:00+00:00,-4.6854525,-5.3924227,-5.3036733,-4.80774,-4.7671943,-4.108198,-4.2428594,-4.8427243,-4.5702357,-5.0154867,-4.255089,-3.4645693,-3.231512,-2.5972311,-3.0230842,-2.7520304,-1.4570338,0.67276126,1.3093525,1.5372776,1.6026844,1.7676913,1.7485197,1.5047854,1.5193326,1.7225138,1.4187726,0.6691186,1.3642685,1.5335572,0.011033318,-0.92816925,-1.4480132,-1.2850788,-1.2368395,-1.3333188,-1.6176248,-2.0483403,-2.461906,-2.9244921,0.6581682,2.500393,2.1216435,-1.8144927,-2.8800874,-3.4569547,-3.5442863,-3.4690158,-2.8901238,-2.135159,-0.557187,-0.22032984,-0.43219572,-0.3581206,-0.36334923,-0.39520863,-0.18191947,-0.12763318,0.11599185,0.30828857,1.1606861,1.6068461,2.2331338,2.721229,2.721229,2.707803,2.8397527,3.3422065,3.4963124,3.6665878,3.9672565,4.046738,4.2217417,4.7131495,5.181835,4.9752765,4.9837613,3.852467,3.4599202,3.4881709,2.8953214,2.7780685,2.4745502,2.9692197,3.1014323,3.0030262,2.8888907,3.0070772,2.9079087,2.707803,1.745557,1.6488174,2.1982453,1.7511154,1.0242015,0.51209956,0.5922904,0.5845963,0.6229073,0.54365903,0.3504458,0.3021425,0.44705266,0.2837423,0.31897765,0.3333393,0.577727,0.54771936,0.6283683,0.6605265,0.42491838,0.42491838,0.7735093,0.35636106,-0.14769934,-0.48711148,-0.9530678,-1.4409308,-1.53465,-1.5287944,-1.5252037,-1.3301992,-1.0778538,-0.7924306,-0.035995103,0.577727,0.91434187,0.8748864,0.87251645,0.7691966,0.614125,0.45704472,0.39787742,0.1981057,-0.0016661714,-0.23293722,-0.7128145,-1.3802781,-1.6623409,-1.154327,-0.22760077,0.378092,0.27982885,-0.27694255,-0.5892375,-0.6294188,-0.46547645,-0.46384028,-0.56441134,-0.8265369,-1.0426859,-1.1409893,-1.2884458,-1.3766959,-1.4671862,-1.8121617,-1.9546391,-2.198209,-2.2964764,-2.494607,-2.4937289,-2.398761,-2.3118558,-2.2824333,-2.4254298,-2.5636814,-2.856374,-3.205684
