forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:14:42+00:00,2025-11-05 00:00:00+00:00,4.39436,7.8625183,4.3349743,3.319036,2.6208394,4.5536795,1.0182338,4.5820518,0.8049845,3.671294,1.5273507,2.1897945,3.6,1.484318,6.638072,4.3349743,3.0758414,0.5091169,3.6,12.783802,17.654686,9.531505,13.513193,11.885453,6.519877,3.396233,8.707237,9.0,6.2145634,4.510787,10.495713,10.24578,7.208994,7.2359104,8.12197,5.3999996,10.137692,7.5685663,9.0,5.04,6.162207,6.830519,5.00128,23.113008,17.727943,15.03835,12.758432,13.441071,11.525623,10.1887,10.233123,9.422101,8.669949,3.5455887,3.8939953,5.8048253,8.287822,10.685391,5.0911684,4.0249224,4.1046314,7.5942073,10.538843,11.503113,19.483284,22.288042,18.947083,18.58451,12.413476,18.374111,13.246826,14.168641,7.6367526,5.154415,4.5820518,2.5455842,3.096837,5.0528407,7.729527,7.0911775,6.12,6.519877,6.489992,5.3999996,4.379589,2.6208394,3.219938,3.219938,3.8773184,5.815978,3.319036,2.5455842,1.5273507,0.71999997,1.484318,2.3051248,4.6938257,3.9763298,2.2768397,3.319036,5.8048253,6.3690495,6.638072,6.696387,5.8048253,5.1544156,5.4477882,5.154415,6.618519,5.0528407,4.452954,4.5536795,4.198285,2.7416782,1.8,1.8,1.9386592,1.8,1.08,1.484318,2.9024127,3.7585104,4.0249224,4.6938257,5.495161,6.12,6.28713,6.0347,5.8048253,5.7599998,5.3999996,5.0528407,4.73506,4.896529,5.0142193,4.829907,3.5455887,1.835647,0.8049845,0.8049845,1.8,1.8,1.4399999,2.8116899,4.3498964,4.802999,5.0528407,5.1544156,5.5887027,5.8603754,5.8048253,5.7599998,5.8603754,6.0347,5.5887027,5.4119864,5.0528407,5.0528407,5.0528407,4.68,3.6179552,2.2768397,1.2979984,1.2979984,1.484318,1.835647,2.2768397,3.396233
2025-11-06 00:59:31+00:00,2025-11-06 00:00:00+00:00,4.68,11.212135,7.7879906,1.8,1.8,4.3349743,2.5455842,4.32,7.9932976,8.161764,7.9526596,7.5942082,3.563818,4.896529,7.2,3.096837,4.829907,3.0547013,2.6208394,1.609969,2.0991426,8.350138,9.178235,7.5942082,7.2359104,4.6800003,1.609969,0.8049845,4.39436,13.363711,18.792551,12.397806,7.145796,8.707238,6.924738,4.896529,3.8268526,9.726664,13.479583,13.513193,14.24163,15.815435,28.006056,8.217153,9.904906,12.979984,16.766108,13.049689,5.634891,3.319036,4.1046314,5.1544156,6.9527545,8.39657,5.904439,5.5887027,7.2805495,7.5685663,6.638072,5.4119864,4.0249224,4.896529,5.495161,5.634891,4.1046314,3.2599385,4.072935,1.8,1.4399999,1.9386592,2.9024127,1.08,2.3051248,2.0364676,3.396233,3.219938,4.829907,5.6233797,6.3690495,5.3517847,4.5820518,6.638072,6.28713,6.2145634,6.489992,4.68,5.1919937,3.7585104,3.319036,2.2768397,1.5273507,1.8,1.484318,0.8049845,0.8049845,2.16,2.8799999,3.0758414,2.5455842,3.0547013,5.8603754,6.725354,6.0347,5.8603754,5.3517847,5.2416787,5.2416787,4.73506,4.8965297,4.6938252,3.671294,4.0249224,3.6,3.319036,1.5273507,0.35999998,1.1384199,2.1897945,2.6208394,4.072935,4.6938257,4.2136917,2.9024127,2.9024127,3.219938,3.4152596,3.6179552,3.6,3.671294,3.671294,3.96,4.379589,4.896529,5.0142193,4.6800003,4.2136917,3.319036,2.52,1.609969,1.08,2.3051248,2.8116899,1.9386592,2.3051248,4.1046314,5.4119864,6.162207,6.9899354,6.9899354,6.5693827,6.162207,5.8603754,5.506941,5.5887027,5.5887027,5.8603754,5.8048253,5.8048253,5.506941,5.1544156,4.379589,2.8799999,2.1897945,1.9386592,2.0364676,2.0364676,1.609969,1.484318
2025-11-07 00:57:26+00:00,2025-11-07 00:00:00+00:00,6.162207,9.726665,6.5693827,1.2979984,3.7064266,7.8954163,0.8049845,7.7043357,6.696387,9.449572,10.315115,11.298495,7.386582,5.904439,2.5455842,6.12,10.390226,5.506941,16.854767,25.661207,19.171478,18.584509,15.629971,13.324863,5.1919937,7.928178,11.753877,11.090103,5.00128,8.557102,5.692099,10.495713,5.0911684,1.835647,3.7585104,1.9386592,1.8,4.5536795,2.0364676,1.2979984,0.8049845,1.835647,0.35999998,0.35999998,0.8049845,0.71999997,1.8,2.6208394,2.0991426,2.7416782,4.0249224,4.8433046,4.3498964,5.3999996,5.315336,5.495161,5.95906,5.0142193,5.95906,5.634891,6.28713,6.0347,5.4477882,4.896529,4.510787,3.0547013,0.71999997,0.35999998,1.484318,1.0182338,1.609969,0.5091169,0.5091169,1.2979984,2.3051248,3.6,5.495161,5.95906,5.8603754,5.506941,5.1544156,5.506941,5.3999996,5.771239,4.73506,3.9763298,4.68,4.896529,3.671294,3.319036,2.3051248,0.8049845,1.484318,1.484318,5.0142193,6.489992,6.725354,5.1544156,4.3349743,4.802999,5.3517847,6.162207,5.4477882,5.771239,6.87779,5.4119864,5.8048253,5.8603754,5.506941,6.162207,6.519877,5.4477882,5.5887027,3.96,2.5455842,2.0991426,1.9386592,1.8,2.9024127,4.5536795,5.8603754,6.489992,6.489992,6.519877,6.519877,6.162207,5.8048253,5.506941,5.3517847,5.4833565,5.4833565,5.6920996,5.5887027,5.5887027,5.5887027,5.2416787,4.73506,3.96,3.2599385,2.1897945,1.08,0.71999997,1.4399999,3.2599385,4.3349743,4.68,4.6938252,4.6938252,5.04,5.771239,6.130579,6.130579,6.28713,6.489992,6.151683,5.6920996,5.2416787,5.3517847,5.95906,5.634891,3.8773184,1.8,1.4399999,2.9024127,4.6102495,4.3349743,0.8049845,4.8965297
2025-11-08 00:52:31+00:00,2025-11-08 00:00:00+00:00,10.315115,10.239453,6.9153743,2.5959969,2.5959969,4.2136917,4.8965297,5.95906,0.8049845,2.0991426,0.8049845,2.1897945,1.9386592,2.4149535,3.9763298,3.5455887,1.1384199,0.8049845,0.0,0.8049845,0.5091169,0.8049845,1.08,2.1897945,3.671294,4.8965297,6.6087217,2.16,3.2599385,3.7064266,2.4149535,2.7416782,3.8939953,3.671294,3.8773184,1.9386592,3.319036,2.52,1.1384199,2.9024127,1.609969,1.08,0.5091169,1.2979984,0.35999998,0.35999998,0.5091169,1.1384199,2.0364676,2.2768397,2.7416782,4.39436,4.896529,5.1544156,5.5887027,5.6920996,5.937272,5.4477882,5.4119864,5.0911684,5.3999996,5.0528407,3.6,4.5536795,4.3349743,2.1897945,2.1897945,1.8,1.9386592,4.198285,3.396233,1.9386592,6.4096174,5.0528407,5.3517847,5.937272,4.73506,4.6800003,6.0347,3.7585104,7.2,5.4833565,5.4477882,5.4119864,5.8048253,6.924738,5.904439,1.4399999,6.12,4.198285,1.484318,1.609969,2.0364676,1.1384199,1.0182338,2.5455842,4.198285,3.319036,5.0142193,5.815978,5.4833565,6.989936,5.0142193,6.162207,6.2145634,6.28713,6.519877,4.73506,5.154415,6.28713,5.154415,5.4119864,5.04,2.8799999,1.5273507,1.5273507,2.0364676,2.0991426,2.5455842,3.319036,3.8773184,4.2136917,4.1046314,4.0249224,4.452954,5.2416787,5.6920996,5.5887027,5.0528407,5.04,5.3999996,5.8048253,5.8603754,5.2416787,4.3498964,3.396233,2.3051248,1.5273507,0.35999998,1.835647,3.4152596,3.8773184,1.2979984,3.2599385,6.489992,7.2359104,6.924738,5.8048253,3.2599385,1.8,3.396233,3.2399998,4.3349743,5.8048253,4.6800003,2.52,1.2979984,1.08,0.71999997,1.609969,3.7064266,5.634891,5.95906,2.8799999,3.7585104,6.439876,5.771239,6.3690495
2025-11-09 00:58:43+00:00,2025-11-09 00:00:00+00:00,3.671294,2.9024127,1.484318,5.04,1.835647,1.8,2.2768397,2.9024127,4.1046314,1.0182338,3.8773184,3.219938,1.0182338,2.968636,1.8,1.0182338,1.1384199,1.1384199,0.71999997,1.1384199,2.5959969,3.8268526,3.219938,1.9386592,2.4149535,3.2599385,0.35999998,3.319036,1.835647,1.484318,1.1384199,0.5091169,1.08,2.9024127,3.6179552,1.9386592,1.1384199,1.08,2.4149535,2.8799999,1.835647,2.0991426,3.5455887,2.5455842,2.52,1.8,3.2599385,4.510787,5.3517847,4.3349743,6.162207,7.2805495,4.5536795,5.1544156,4.802999,5.4477882,5.1544156,5.0142193,5.7599998,5.771239,4.73506,2.9024127,4.0249224,5.0528407,5.815978,1.9386592,1.4399999,1.5273507,2.4149535,5.1919937,6.1094027,5.315336,3.671294,2.0991426,3.2599385,5.154415,5.771239,5.2416787,6.489992,4.0249224,3.8268526,5.634891,4.379589,4.8433046,3.2599385,4.3498964,5.0528407,3.319036,2.5959969,2.1897945,2.0364676,2.7416782,1.08,3.096837,4.8433046,1.08,5.904439,10.703569,4.896529,4.1046314,3.0547013,5.0528407,9.107359,10.691453,10.009036,5.8603754,6.519877,4.6938252,4.198285,4.510787,6.379216,4.3349743,3.9763298,10.182337,5.1919937,3.396233,1.0182338,3.96,8.891344,15.496736,18.79255,16.299694,10.990322,8.64,11.631956,16.299694,18.504139,16.08761,12.413476,11.212135,10.538843,9.3669195,8.209263,6.6087217,5.904439,6.6185193,8.534353,11.304229,14.021525,17.057314,20.111729,20.88,17.0763,12.57426,11.252519,11.885453,13.276144,14.578888,13.450708,11.525623,10.538843,10.495713,10.440001,10.1376915,8.759178,6.638072,5.1544156,4.6938252,4.802999,5.506941,6.924738,9.83268,11.753877,12.181625,12.287555,11.928989,10.661107,8.311245
2025-11-10 01:01:01+00:00,2025-11-10 00:00:00+00:00,2.9024127,2.8116899,4.896529,2.0364676,2.52,2.6208394,3.319036,1.1384199,1.0182338,3.4152596,3.319036,2.3051248,3.7585104,3.2599385,1.484318,0.0,1.8,3.8939953,0.71999997,2.5455842,2.0991426,2.8116899,2.7416782,0.71999997,1.9386592,2.2768397,1.5273507,2.9024127,1.8,1.484318,2.0991426,1.8,2.2768397,2.3051248,1.8,1.835647,2.0364676,0.71999997,1.0182338,0.5091169,0.35999998,0.8049845,0.0,1.1384199,1.08,1.5273507,3.8268526,2.7416782,3.9763298,2.5455842,5.815978,6.725354,6.28713,5.937272,5.8048253,5.00128,3.9763298,5.00128,5.0528407,4.3349743,4.3349743,4.6938252,3.7585104,5.3517847,6.12,3.6,2.8116899,1.0182338,3.0547013,3.0547013,1.609969,7.2,9.220499,6.28713,4.0249224,4.802999,5.1544156,5.815978,4.6102495,5.937272,5.991594,7.491114,4.829907,0.8049845,3.7064266,9.605998,4.3498964,11.726277,6.849467,7.172949,7.9932976,12.313894,23.023117,25.9225,20.364674,8.557102,6.4096174,5.0911684,6.1305785,6.638072,8.759178,7.5599995,6.379216,0.8049845,7.2,8.4963045,10.296251,9.360001,8.913181,6.989936,4.8965297,6.439876,7.6367526,10.028439,11.792404,14.84318,18.584509,19.346441,14.982228,9.3876505,9.021574,9.693296,10.805999,11.720751,9.605998,6.162207,2.8799999,0.71999997,1.1384199,2.1897945,1.4399999,0.71999997,1.8,2.2768397,2.5455842,2.8799999,2.8799999,2.6208394,3.0758414,4.896529,7.172949,8.427383,8.049845,7.42159,6.638072,5.1919937,3.8773184,2.5455842,2.16,1.8,1.4399999,1.609969,2.0364676,2.5959969,3.219938,3.7585104,3.9763298,3.7064266,5.154415,6.162207,5.3999996,3.671294,3.6,9.346143,16.87398,21.605999,20.545246,16.24394
2025-11-11 00:56:38+00:00,2025-11-11 00:00:00+00:00,4.8433046,6.5693827,3.2599385,1.9386592,2.52,3.319036,1.08,0.35999998,2.1897945,0.8049845,1.1384199,1.4399999,2.3051248,1.4399999,2.5959969,1.609969,1.835647,1.9386592,0.35999998,0.5091169,0.5091169,1.1384199,1.8,3.0758414,2.8116899,4.6938252,2.8799999,1.4399999,4.8433046,3.6,1.1384199,1.835647,2.16,2.7416782,1.9386592,2.5455842,0.8049845,2.968636,2.5455842,2.5959969,2.5959969,2.5959969,1.2979984,2.3051248,1.0182338,0.5091169,0.71999997,5.0911684,7.072878,6.9899354,6.5693827,4.802999,4.6800003,5.6920996,5.6920996,6.489992,6.6185193,7.5685663,5.1544156,4.2136917,6.297428,4.510787,5.0528407,0.35999998,2.7416782,11.753877,11.631956,11.901798,9.107359,2.1897945,6.792466,10.1376915,6.9527545,7.0911775,8.161764,8.669949,6.28713,12.43434,5.991594,3.4152596,6.989936,4.3349743,2.8116899,5.4477882,7.6367526,8.707238,9.028754,10.630672,10.182337,7.5942082,6.379216,15.990646,13.324863,11.988594,4.829907,2.9024127,1.8,1.08,1.9386592,3.563818,3.8268526,5.315336,6.8777895,4.510787,4.829907,5.1544156,4.3498964,3.8773184,3.671294,2.5455842,4.896529,5.6233797,3.7064266,0.35999998,1.2979984,3.096837,4.8965297,5.904439,6.618519,6.9153743,6.193674,3.6,0.35999998,3.396233,4.3349743,4.6102495,4.510787,4.5536795,4.73506,4.6938252,4.0249224,3.0758414,2.4149535,2.16,3.0758414,3.6,3.0547013,1.8,1.2979984,3.8773184,6.725354,8.654986,7.8954163,6.4096174,4.39436,1.8,2.7416782,4.8965297,4.5820518,3.096837,1.835647,1.08,0.0,1.609969,5.154415,9.659814,11.923557,9.885262,5.6002855,3.6179552,4.802999,6.725354,8.12197,7.9932976,7.208994,6.924738,7.5942073,8.647496
2025-11-12 00:57:44+00:00,2025-11-12 00:00:00+00:00,2.2768397,2.0364676,1.8,1.5273507,5.315336,3.563818,2.7416782,1.484318,1.835647,1.1384199,1.8,2.9024127,2.1897945,2.1897945,2.968636,0.71999997,0.5091169,2.16,2.5455842,1.2979984,3.8939953,2.5959969,3.096837,3.7064266,6.12,2.5959969,0.8049845,1.9386592,2.0991426,2.3051248,0.5091169,3.396233,3.219938,1.0182338,1.8,1.1384199,2.968636,2.52,4.1046314,3.9763298,2.3051248,2.968636,1.609969,3.396233,3.096837,9.422101,9.422101,13.0447235,13.479583,7.127636,7.5685663,7.968939,3.8773184,5.771239,5.6920996,2.6208394,3.6,2.5959969,4.3498964,4.6938257,7.729527,9.114471,4.802999,4.6800003,4.6800003,4.6938257,5.6233797,9.449572,15.021105,17.84816,16.279802,13.722565,12.768586,11.923557,8.854829,5.4833565,5.00128,3.8939953,3.319036,4.510787,4.198285,2.3051248,6.12,4.39436,2.3051248,2.0991426,4.5536795,3.7585104,4.73506,2.1897945,1.484318,4.829907,6.9899354,6.2145634,5.506941,5.0528407,3.6179552,2.7416782,3.219938,5.0911684,5.4477882,2.968636,3.9763298,2.0364676,4.379589,2.8799999,1.609969,1.484318,2.6208394,1.609969,2.5455842,0.8049845,3.0758414,4.072935,2.5959969,2.0364676,1.1384199,0.8049845,1.2979984,3.096837,4.0249224,2.6208394,1.0182338,1.9386592,2.3051248,2.5455842,2.0991426,1.08,1.08,2.2768397,2.9024127,3.2599385,3.319036,2.968636,2.2768397,1.1384199,0.35999998,2.1897945,2.968636,1.5273507,2.0364676,3.7064266,3.319036,2.2768397,2.0991426,2.2768397,3.319036,3.8939953,4.0249224,6.439876,7.9932966,6.12,3.319036,3.396233,3.096837,2.2768397,2.4149535,3.096837,3.8773184,4.6938252,5.3517847,6.9153743,7.8954163,8.217153,9.178235,9.36,6.489992,2.3051248
2025-11-13 01:13:19+00:00,2025-11-13 00:00:00+00:00,2.1897945,2.6208394,2.0364676,0.8049845,3.0758414,2.5455842,2.4149535,2.5455842,1.4399999,1.484318,3.219938,2.5455842,6.9899354,4.1046314,5.991594,4.3349743,5.4477882,5.8603754,4.1046314,3.319036,1.9386592,2.1897945,0.8049845,6.725354,5.506941,3.0547013,6.9247384,12.387348,6.830519,6.1305785,6.638072,3.6179552,3.5455887,10.805998,7.9932976,1.484318,5.0911684,7.4128532,2.16,3.563818,4.0249224,4.6102495,6.9527545,5.692099,11.165805,16.904673,16.434305,11.298495,9.72,9.504273,5.4833565,2.5959969,2.4149535,0.71999997,1.835647,5.5887027,4.379589,3.2399998,3.319036,3.219938,0.71999997,1.8,2.5455842,1.8,3.9763298,2.1897945,0.8049845,1.8,2.9024127,2.9024127,3.396233,4.8965297,7.10031,4.68,7.5685663,5.634891,5.2416787,5.5887027,6.0347,4.5536795,5.4833565,5.815978,4.896529,5.815978,2.968636,3.4152596,2.1897945,0.35999998,3.219938,3.319036,1.609969,1.609969,3.6,5.3999996,8.854829,11.620809,10.703569,8.557102,7.968939,6.6185193,4.39436,4.3498964,3.2599385,1.484318,5.154415,4.8433046,1.2979984,0.35999998,2.9024127,3.8939953,2.8116899,1.0182338,2.3051248,3.396233,5.2416787,4.0249224,2.4149535,2.2768397,2.2768397,1.8,1.4399999,2.0991426,4.3349743,5.7599998,4.73506,3.219938,1.8,0.35999998,2.16,3.2599385,2.7416782,2.2768397,2.16,1.609969,4.6800003,7.5942082,9.290511,10.514218,10.514218,9.585739,7.8954163,6.379216,5.1544156,4.0249224,3.2599385,3.6179552,4.3349743,4.6938252,4.73506,4.896529,4.6800003,4.510787,4.1046314,3.8268526,3.6,3.319036,2.8116899,2.5959969,2.5959969,2.0991426,0.71999997,2.6208394,4.452954,6.439876,8.435069,9.686609,9.290511,8.373386
2025-11-14 00:57:56+00:00,2025-11-14 00:00:00+00:00,4.73506,5.8048253,7.653705,3.2399998,7.5685663,4.5536795,6.489992,7.8954163,7.968939,2.9024127,8.825508,9.504273,6.5693827,4.3349743,4.1046314,5.4477882,6.2145634,3.0758414,2.0991426,3.2599385,8.12197,21.758419,16.800856,10.1887,7.69592,1.2979984,9.422101,4.198285,3.8268526,1.609969,2.3051248,0.8049845,2.6208394,1.2979984,2.4149535,2.4149535,1.1384199,2.2768397,4.6938257,4.379589,2.968636,2.1897945,1.2979984,1.9386592,2.5455842,3.7585104,3.6,4.6938257,4.5536795,6.162207,7.342588,5.3999996,5.4477882,5.95906,4.510787,4.510787,3.396233,5.0142193,6.28713,4.2136917,2.8799999,2.0991426,3.0758414,5.1544156,4.6938252,1.1384199,1.609969,1.9386592,1.484318,2.0364676,5.6002855,5.8048253,6.162207,4.8433046,3.319036,1.484318,3.5455887,0.8049845,6.162207,8.350138,15.629972,18.057508,12.7279215,6.618519,2.0991426,8.049845,13.324863,9.673221,5.2416787,0.8049845,2.4149535,1.609969,3.6,4.5820518,5.315336,6.9899354,5.4477882,5.2416787,6.439876,5.5887027,6.12,6.4799995,6.489992,6.87779,6.9899354,6.6185193,5.991594,6.489992,6.9247384,8.766573,10.239453,9.47012,8.766573,14.458382,18.25026,19.734436,20.082708,19.9954,18.861387,16.676977,14.494192,12.413476,10.703569,9.028754,7.754637,6.830519,6.379216,6.12,6.8777895,7.7043357,8.287822,8.4963045,8.4963045,7.7879906,7.10031,6.297428,6.1305785,6.489992,7.10031,7.8954163,9.387651,10.464797,9.826088,7.9932966,6.8777895,6.3690495,6.1305785,6.1305785,6.1094027,6.4096174,6.297428,6.28713,5.937272,5.8603754,5.2416787,4.829907,4.6102495,4.5820518,4.6938257,4.510787,3.8773184,2.968636,2.1897945,2.16,2.16,2.1897945,1.5273507,2.1897945
