forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:40:48+00:00,2025-11-05 00:00:00+00:00,0.58190024,0.3056963,0.5967459,-0.38639075,-1.2272584,-0.72584903,0.62894195,1.0867889,1.1146702,1.3658463,1.5506896,0.96932495,0.7963757,0.52035874,-0.037077248,-1.0713531,0.11248966,-0.09866658,-0.21789642,-0.2073631,-0.77995366,-1.2076616,-2.4105277,-4.384862,-3.929253,-2.63807,1.0765448,2.8067014,4.502218,3.8960402,3.7139752,3.628039,2.8135922,2.3215451,1.8026938,-0.6466783,0.22831656,-0.5079239,-1.1958796,-1.2934948,1.5902503,-1.7794611,-2.999541,-4.101016,-5.2527747,-5.786981,-5.786981,-5.9186516,-4.9390907,-8.325306,-7.2714605,-6.757203,-6.848353,-6.307606,-6.2619605,-5.790196,-4.484686,-3.5234995,-3.018587,-2.4991333,-2.5254884,-2.6743612,-3.0175507,-2.6973991,-2.618746,-2.6485553,-2.4212675,-2.3491204,-2.446064,-2.073372,-2.1584795,-2.5246317,-2.0852249,-1.8425866,-1.3853093,-1.6616534,-2.0923243,-2.722936,-3.4979167,-4.242199,-4.955398,-5.7162647,-6.3029675,-6.4772544,-6.5995927,-7.4590964,-8.006665,-7.4740453,-7.622654,-6.605039,-5.957647,-5.576642,-5.527173,-5.6417046,-5.754777,-5.8003325,-5.223277,-5.357415,-5.586561,-5.733619,-5.8856273,-5.8960295,-6.132979,-6.144306,-6.0206904,-6.6473255,-6.8319583,-6.838196,-6.797688,-6.990208,-6.990208,-6.857796,-7.0060306,-6.8222504,-6.680251,-6.727276,-7.0836,-7.027622,-6.8353868,-6.9539313,-6.966551,-6.858636,-6.9063883,-6.914539,-7.1452737,-7.2837234,-7.468333,-7.965412,-8.466441,-8.971598,-9.292544,-9.339648,-9.523517,-9.707397,-9.75337,-9.521817,-9.085555,-8.898223,-9.087088,-8.805794,-8.475298,-7.849952,-7.362393,-6.93828,-6.7245736,-6.7726054,-7.1766405,-7.312277,-7.452648,-7.0579453,-7.1383615,-7.2299933,-7.184177,-7.184177,-7.0882645,-6.7761064,-6.6512866,-6.3243413,-6.168007,-5.842167,-5.4953103,-5.077491,-4.9601192,-4.9037213,-4.750624,-4.4829097,-3.8786075,-3.462402
2025-11-06 02:32:35+00:00,2025-11-06 00:00:00+00:00,-5.15111,-2.9702964,-1.2552147,-2.0363538,-4.5161576,-4.9226203,-1.746764,-4.2402806,-4.3321743,-4.265562,-5.088963,-3.0812352,-4.841411,-4.028407,-2.0974839,-4.694662,0.9308918,2.325775,-2.0871935,-3.3380966,-4.590032,-3.8733718,-5.2604012,-5.0760207,-7.2424164,-8.419464,-5.2617073,-4.6663113,-5.54721,-5.7341776,-4.2479043,-4.1251516,-3.4559383,-2.4769583,-1.8412267,-1.633755,-1.730975,-1.7524004,-1.5097568,-1.6358615,-0.14914313,0.3015839,0.65200275,0.50932634,-5.293857,-5.9985704,-6.928444,-5.834609,-5.601514,-5.8003325,-6.3268843,-8.056751,-9.526801,-10.429579,-11.289298,-11.82979,-12.100088,-12.692623,-12.640785,-11.697682,-11.494377,-11.279692,-10.640041,-9.563601,-8.209409,-7.2388535,-7.191422,-7.5776696,-7.992922,-8.457628,-8.586246,-8.675376,-7.9173317,-8.379922,-8.564169,-8.834074,-9.017908,-9.024837,-9.082116,-8.962259,-8.321026,-8.873301,-8.713931,-8.666777,-8.902557,-8.83511,-8.323797,-8.336707,-8.886509,-8.9853115,-8.5888605,-8.675376,-9.208314,-9.087088,-9.156138,-9.330718,-8.966558,-9.165793,-9.21205,-9.176305,-9.102959,-9.239453,-9.102959,-9.356276,-9.538769,-9.99506,-10.240653,-10.268875,-10.786937,-10.816594,-10.999195,-10.4925785,-10.956775,-11.103444,-11.154349,-11.184376,-10.623344,-9.9905615,-9.218516,-8.963177,-8.681158,-8.742309,-8.966558,-9.190833,-9.173668,-9.120671,-9.031052,-9.0763,-9.0763,-8.904065,-8.474968,-8.241745,-7.8762145,-7.8111424,-7.8111424,-7.5052633,-6.8603525,-6.028126,-5.649033,-5.5093403,-4.935325,-4.66845,-3.9827743,-3.769813,-3.508083,-3.6312962,-3.794776,-3.917679,-3.8057323,-3.483163,-3.3666124,-3.2653267,-3.1308274,-3.1640043,-3.105177,-3.2485254,-3.0973556,-3.0927525,-2.804283,-2.6110857,-2.1147087,-1.8352604,-1.5409307,-1.5221852,-1.5825323,-1.6005601,-1.3363827,-1.121679
2025-11-07 02:30:34+00:00,2025-11-07 00:00:00+00:00,-8.419912,-9.179964,-9.477453,-9.455619,-9.530166,-9.898573,-8.90951,-8.426993,-7.7046504,-6.1897492,-6.2569036,-5.883003,-5.8319817,-5.448207,-3.327747,-3.2309418,-1.3331428,-0.64604026,-0.24477534,-0.24096924,-0.8089535,-1.4963647,-2.79241,-4.5499196,-5.9165006,-7.19829,-8.7651415,-9.532218,-9.290413,-8.846089,-8.438291,-8.902128,-10.081264,-10.154841,-10.479702,-11.012109,-10.758181,-10.552328,-10.411621,-10.272657,-8.095574,-8.063046,-7.993476,-7.6342235,-7.9266214,-7.301033,-8.083124,-8.260163,-8.910078,-7.837588,-8.160725,-8.2530575,-8.339968,-8.508323,-8.542969,-8.769604,-8.583971,-8.28583,-8.189935,-8.127274,-8.076865,-8.077396,-8.270516,-8.120372,-8.061707,-8.008989,-8.042178,-7.9592433,-8.502967,-8.594277,-8.724671,-8.55016,-8.3071995,-8.949437,-8.829991,-8.489617,-8.61214,-8.749321,-8.795049,-8.696205,-8.834074,-8.84056,-9.163052,-9.40745,-9.520049,-9.566341,-9.776954,-9.521817,-9.391417,-9.745263,-9.716063,-9.388543,-9.208314,-9.218516,-8.856562,-8.103252,-8.216735,-8.578617,-8.541127,-8.329632,-8.063494,-8.146484,-8.236696,-8.466441,-8.42049,-8.437729,-8.2472105,-8.275912,-8.403217,-8.206823,-7.9746246,-7.6026363,-7.2746983,-6.497029,-5.709221,-5.459262,-5.2180595,-5.0680227,-4.6131043,-4.0697865,-3.8752313,-3.9166667,-3.9834623,-3.9343297,-3.964299,-3.8593597,-3.7589176,-3.569014,-3.6159215,-3.341887,-2.9806526,-2.770714,-2.4676087,-2.381173,-2.3420415,-2.2303221,-1.9239514,-1.5974177,-1.6224189,-1.783442,-1.788993,-1.8368626,-1.6256701,-1.5683538,-1.5875171,-1.6176413,-1.5709538,-1.7110171,-1.7869823,-1.7482576,-1.6998405,-1.6073405,-1.6378285,-1.4702551,-1.4587638,-1.4596435,-1.5610155,-1.6172433,-1.7138786,-1.6041385,-1.2563568,-1.1306618,-1.1067005,-1.2608868,-1.2488875,-1.171459,-0.97265583,-0.8034555
2025-11-08 02:19:14+00:00,2025-11-08 00:00:00+00:00,-7.2682347,-8.403098,-8.312673,-9.760563,-9.114644,-10.841368,-10.906674,-9.940061,-10.950693,-10.034738,-9.445034,-10.86772,-11.566513,-8.764814,-10.094747,-10.127471,-7.7969666,-6.5372906,-5.9347806,-6.286682,-7.178604,-7.620157,-8.070251,-8.829516,-10.4947815,-11.115948,-11.601965,-11.4940815,-11.486559,-10.946383,-11.159598,-11.0671625,-11.164126,-11.111123,-11.042229,-10.676105,-10.676105,-10.959022,-10.822073,-10.538821,-8.38901,-7.0164514,-7.088978,-6.8543353,-7.276562,-7.472211,-7.5909886,-7.7654033,-9.136153,-5.6636963,-5.8477645,-5.8533974,-5.957647,-6.045644,-6.045644,-5.9229136,-6.0162096,-6.009036,-6.194053,-6.3345923,-6.384501,-6.498254,-6.545383,-6.2408986,-6.169912,-6.3746715,-6.09183,-6.0265718,-5.6500998,-5.2918797,-5.3366528,-4.781704,-4.7004247,-5.1599884,-4.863533,-4.7453804,-4.771779,-4.6536503,-4.6953125,-4.793179,-4.6135516,-4.664101,-4.499122,-4.273756,-4.0037746,-3.670102,-3.1441205,-2.776956,-1.9487635,-1.2479467,-0.9880364,-1.0514324,-1.1521653,-1.124224,-0.89509904,-0.92811954,-0.8619107,-1.0103897,-0.7525711,-0.5466696,-0.21617961,-0.45772246,-0.69927347,-0.6723,-0.7570273,-0.94083285,-1.1706628,-1.1441263,-1.5121219,-1.8926024,-1.9412847,-1.6900121,-1.4380012,-1.1292278,-0.85765356,-0.9746078,-0.9740583,-0.9867475,-0.82974195,-0.2401268,-0.2950155,-0.35508963,-0.5312126,-0.57845336,-0.6390692,-0.75132537,-0.7505895,-0.6568871,-0.64027023,-0.5060321,-0.5634853,-0.70864147,-0.7570273,-0.76921934,-0.6870323,-0.43000737,-0.21067014,-0.023803715,-0.077302314,-0.18360844,-0.07040979,-0.25800383,-0.3664365,-0.18360844,-0.3543418,-0.48346844,-0.47503033,-0.6090656,-0.541175,-0.31273812,-0.20755918,-0.3998713,-0.44795018,-0.7386772,-0.8826874,-1.1753547,-1.2712094,-1.5587827,-1.9966167,-1.7674534,-0.8203528,0.56212,1.5089993,1.9317312,2.0635116,2.0413277,2.2307205,2.6985965
2025-11-09 02:40:21+00:00,2025-11-09 00:00:00+00:00,-10.630059,-13.618882,-14.339925,-14.64522,-14.494306,-13.901269,-13.71215,-13.012564,-12.64836,-12.17848,-11.748694,-11.324255,-11.087998,-11.384347,-11.179539,-11.087998,-8.563859,-7.5831413,-7.182066,-7.133791,-7.6292706,-8.114287,-8.696869,-8.869991,-10.332836,-11.126451,-11.388636,-12.119602,-12.614644,-13.124527,-12.744263,-12.65785,-12.917108,-12.85712,-13.464745,-13.162901,-13.464745,-13.337221,-13.594983,-13.642325,-11.76673,-9.037705,-8.946668,-8.656066,-8.602767,-8.785328,-9.329275,-9.040352,-10.741715,-6.4382052,-6.2812,-6.078044,-5.985823,-5.92922,-6.114595,-5.8598595,-5.7490754,-5.444604,-5.131755,-5.1160607,-4.717653,-4.5475006,-4.0037446,-3.5715258,-2.911572,-2.2558544,-2.0276117,-1.7530353,-1.7658774,-1.7624751,-1.6256701,-1.6005601,-1.4564899,-1.5384599,-1.3678377,-1.4288822,-1.4181232,-1.2766455,-1.4761337,-1.6049801,-1.747272,-1.8453541,-1.8152231,-1.7025743,-1.7462258,-1.8424053,-1.9469589,-1.6019595,-1.3017601,-1.036911,-0.8422065,-0.49374786,-0.5989637,-0.42285103,-0.39109352,-0.2850674,-0.3899285,-0.3292544,-0.3894922,-0.51422787,-0.51422787,-0.46503922,-0.32200646,-0.45649827,-0.6481847,-0.89610016,-1.0249277,-1.2187252,-1.3147395,-1.613803,-1.6981369,-1.8152231,-1.4095147,-1.5898283,-1.7551181,-2.0611672,-2.0478823,-2.4315987,-2.9145374,-3.348244,-3.4806855,-2.8901958,-1.7330599,-0.57706076,0.900047,2.5989919,3.5506406,4.303869,4.6891303,4.5336847,3.6213546,2.3039188,1.0278294,0.15179953,-0.60051525,-1.4150482,-2.7499108,-4.663286,-7.6084414,-10.291228,-12.134283,-13.730922,-13.980232,-13.549917,-13.126305,-12.154622,-10.932253,-10.213032,-10.130751,-10.195679,-10.220456,-10.080631,-9.903142,-9.567997,-8.949715,-8.4595,-8.30266,-8.221675,-7.931943,-7.943508,-8.0854645,-8.289556,-8.63614,-8.57624,-8.566415,-8.2616,-7.547579,-7.041636
2025-11-10 02:32:38+00:00,2025-11-10 00:00:00+00:00,-12.964893,-14.679174,-14.588309,-15.022275,-15.473975,-15.43127,-15.579991,-16.200163,-15.837473,-15.277655,-14.37663,-13.985756,-13.681812,-14.289761,-14.406741,-14.819699,-12.118241,-8.879933,-8.680632,-8.264144,-7.7882843,-7.3990536,-7.74033,-7.572033,-8.4632435,-9.808925,-9.289142,-9.048538,-9.301539,-9.084916,-9.349705,-9.085808,-8.865365,-8.47862,-8.223838,-8.289606,-7.9228306,-7.8327813,-7.570422,-7.1835666,-4.700931,-3.164272,-2.5396137,-2.5433264,-2.611405,-2.7730448,-2.7997265,-2.925573,-4.2000694,-2.8695705,-2.8660026,-2.7521136,-2.5327387,-2.5118532,-2.6485553,-2.550124,-2.6444716,-2.515792,-2.5062356,-2.464243,-2.531825,-2.1819077,-1.9385866,-1.9107642,-1.4761337,-1.0837859,-0.7306946,-0.66232574,-0.6912737,-0.599582,-0.46145463,-0.0132354535,-0.23929092,-0.23929092,-0.33358517,-0.5693298,-0.6390692,-0.7728445,-0.7643844,-0.80041397,-1.0987191,-1.1753547,-1.4702551,-1.6855141,-1.7196839,-1.7948343,-1.363315,-1.8629936,-1.6932154,-2.0300786,-2.4922354,-2.424984,-2.6776612,-2.480358,-1.8076855,-1.158443,0.48197263,2.5777874,2.6255176,2.6095946,4.479237,4.824372,4.287854,4.360337,3.7051415,3.4591343,2.4507332,2.2803164,0.8356691,0.1298223,-0.7467515,-1.1854737,-1.2233325,-5.802595,-8.363436,-10.291228,-11.616078,-11.875159,-12.071025,-11.805342,-11.258803,-10.519877,-9.65939,-9.128508,-9.148628,-9.048898,-9.146538,-9.074057,-8.7118025,-8.535038,-8.58254,-8.692851,-8.740271,-8.318266,-7.6758823,-7.2436337,-7.0973725,-6.9291334,-7.102801,-7.1779437,-7.412532,-7.689106,-7.919359,-8.039052,-7.9839973,-7.7460895,-7.3653226,-7.275226,-7.220158,-7.1246805,-7.172419,-7.119341,-7.174573,-7.145579,-7.1111035,-7.0308833,-6.934175,-6.7407613,-6.4022994,-6.000717,-5.4928765,-4.929222,-4.321385,-3.4274492,-2.774187,-2.0860581,-1.6017259,-1.0448213
2025-11-11 02:21:41+00:00,2025-11-11 00:00:00+00:00,-10.369655,-6.988311,-7.5668726,-8.239487,-8.328886,-8.373589,-7.7847834,-7.6794443,-7.4533486,-7.4645844,-7.3723097,-7.1862803,-6.674952,-6.1625366,-6.1528296,-5.712166,-3.02663,-1.6581023,-1.2842724,-0.84136176,-1.0380712,-1.4362046,-1.8422905,-2.1137145,-3.7110772,-4.472148,-4.758218,-5.4259486,-5.516806,-5.6076674,-5.3031845,-4.7973814,-4.5190754,-4.006583,-4.723359,-4.791799,-5.410082,-5.231635,-4.915132,-5.2690125,-2.346567,-0.076807834,-0.14746128,-0.38243428,-0.7832316,-0.8560393,-0.93601084,-1.2048298,-3.0186856,-0.4231778,-0.56406826,-0.61155045,-0.781066,-0.7505895,-0.30666816,-0.45066768,-0.7919534,-0.83468395,-1.0730118,-1.3147395,-1.4576966,-1.5067726,-1.6027919,-1.5659536,-1.315567,-1.3579268,-1.7200394,-1.7036219,-2.13784,-2.3388855,-2.6544669,-1.8679781,-2.3778956,-2.4236298,-2.4555209,-2.7495914,-2.7989995,-3.0040836,-3.0505898,-2.8317246,-2.6309955,-2.5972972,-1.97164,-2.2577815,-2.1255867,-2.1032517,-2.0904465,-1.3816321,0.39552554,2.0303144,2.9742553,3.9147835,3.844408,4.246787,4.246787,4.03975,3.8184195,3.6067393,3.670621,3.9995005,4.0562663,4.105786,4.105786,4.155306,4.0489583,3.9129634,3.8421721,3.9005857,3.8016694,3.8581843,3.653295,3.554378,3.653295,3.429448,3.155029,3.068576,2.8604317,2.6431773,2.3391316,1.8420297,1.6708384,1.804922,2.145563,2.1627765,2.1288145,1.8364236,1.3978208,0.54115623,-0.36416814,-1.2694397,-1.8518894,-2.3858385,-2.822732,-3.2111015,-3.4538422,-3.6123626,-3.7639954,-4.0284805,-4.1863985,-4.002614,-3.5203693,-2.9351933,-2.598214,-2.5885017,-2.7221513,-2.7685974,-2.9403656,-3.1163044,-3.0973556,-3.2845283,-3.2371771,-3.201431,-3.3085558,-3.3219388,-3.2895467,-3.3864987,-3.3380222,-3.3703418,-3.3085558,-3.1456227,-2.8051019,-2.6735423,-2.3267443,-2.023557,-1.880752,-1.6463321,-1.3709637,-1.2954596
2025-11-12 02:24:33+00:00,2025-11-12 00:00:00+00:00,-5.252479,-6.166744,-6.526204,-6.781002,-7.2453012,-7.1104527,-7.3670416,-6.697872,-6.286874,-5.9873943,-5.54721,-5.3357825,-5.3602533,-4.948963,-4.9960732,-4.986891,-1.9188731,0.13469334,0.17630604,0.16865462,-0.052055735,-0.2540907,-0.43591765,-0.75414723,-2.1328034,-3.561835,-4.4601316,-4.1503897,-4.2452226,-4.063493,-3.927288,-4.4220796,-4.8749666,-4.8948345,-4.807487,-5.0991726,-4.9819217,-5.177265,-4.79506,-5.1265726,-3.5212681,-1.2243607,-1.1755509,-1.6161277,-1.8524882,-1.9181665,-1.9457582,-2.4708364,-4.4705687,-1.4970659,-1.5242676,-1.6061417,-1.6443944,-1.7383504,-1.4181232,-1.6651434,-1.4169383,-1.6073405,-1.7196839,-1.613803,-1.7025743,-1.6067127,-1.5538713,-1.5659536,-1.3174906,-1.4697589,-1.2442725,-0.66822666,0.15493746,-0.25908646,-0.0039402135,0.46944788,0.816964,0.97379345,1.0793194,1.1691111,1.4295027,1.343054,1.6129903,1.8113546,1.4292959,1.2658265,0.8617235,0.6180326,0.39985698,0.080942154,-0.114579335,0.56973094,0.9470784,1.3042629,1.4769005,1.552543,1.2757654,1.2716244,1.2845432,1.4109565,1.295481,1.2889174,1.4600047,1.3787867,1.4292959,1.1846029,1.1781607,1.0397074,1.0114161,0.89939827,0.6564192,0.70501536,0.4620313,0.29682437,0.073660046,-0.17849267,-0.13191901,-0.18837403,-0.09706349,0.2754482,0.5293118,1.0323756,1.395708,1.6230996,1.959695,2.2443953,2.558189,2.6641068,2.4254503,2.1788144,1.9802281,2.0795217,2.3773994,2.675275,2.722959,2.719186,2.6146462,2.6696627,2.6237898,2.6237898,2.5084739,2.4107714,2.4233198,2.4723258,2.7056055,2.9808762,3.140641,3.2988243,3.34822,3.3976157,3.2886379,3.2886379,3.2886379,3.2393055,3.2988243,3.2576246,3.2683833,3.2710183,3.3206627,3.4695976,3.618531,3.717819,3.817107,3.813798,3.6445925,3.295255,3.0133405,2.6124837,2.151675,1.5912012,1.3042629,0.8851221
2025-11-13 02:42:24+00:00,2025-11-13 00:00:00+00:00,-2.7471807,-4.1549177,-4.4258423,-4.6185074,-4.4709992,-4.211829,-4.5230403,-4.299118,-4.530184,-4.2496257,-3.7242856,-4.093642,-3.6467538,-3.892316,-3.9151146,-3.6603515,-1.9000548,0.8793728,0.93542665,0.17630604,-0.336506,-1.1594818,-1.5585768,-1.7834284,-3.7034488,-4.213274,-4.3315125,-4.459972,-4.693802,-4.6425843,-4.530184,-4.483969,-3.9864318,-4.0794725,-4.1563797,-4.3895006,-4.4227095,-5.1845217,-5.405499,-5.33309,-2.4223466,-0.253446,0.057095647,0.29056802,0.5491229,0.47308406,0.42717394,0.38185576,-1.4943414,0.8535966,0.592095,0.75290763,1.6514145,2.6775792,2.9742553,2.940147,2.5472512,1.8893492,1.7876912,1.5440239,1.1073732,0.77408904,0.5777706,1.068561,1.5651367,1.6995223,1.8896823,1.9633842,2.0228415,1.8543001,1.7185342,1.9477798,1.7953259,1.6516192,1.619106,1.6221733,1.5167661,1.1399697,0.94812906,0.50926363,0.26226676,-0.064443916,-0.20278615,-0.012782214,1.6906959,2.6193419,3.0495706,3.4470117,3.6650493,4.017448,4.017446,4.210457,4.5336847,4.239206,2.8822343,2.3661833,1.7569398,0.99425584,0.82979053,0.5390865,0.29682437,0.29781023,0.32559538,0.52055454,0.56973094,0.8382191,0.624509,0.97708184,0.9363042,1.9763337,2.1775246,2.426868,2.6256928,2.5759833,2.675275,2.5578713,2.5090501,2.4723258,2.7210886,3.169216,3.318179,3.2141652,2.8697522,2.7202766,2.7202766,2.9148614,2.9647455,2.8697522,2.6256928,2.4766912,2.5759866,2.8199272,2.9148614,2.9148614,2.9647455,2.9195776,2.8742237,2.719186,2.656667,2.8542564,2.9530497,3.1587064,3.214409,3.1196322,2.9212966,2.772543,2.6237898,2.2239537,1.5698923,0.8129206,0.21146786,-0.23144941,-0.7235947,-1.0188894,-1.1768701,-1.1892283,-1.0419693,-0.31296206,0.8821698,1.4601604,1.3749775,0.9874501,0.46799257,0.052525364,-0.36416814,-0.84420824,-1.1750934,-1.512774
2025-11-14 02:25:37+00:00,2025-11-14 00:00:00+00:00,-4.7365317,-5.4015994,-5.537835,-5.5211344,-5.610694,-5.342026,-5.3841505,-5.564339,-5.62358,-4.9819217,-4.70306,-4.683793,-4.5912447,-4.843811,-3.8560953,-3.0747235,-1.708257,-0.5410126,0.017841872,0.44373974,1.0267415,1.5682391,1.0369179,1.2634604,0.88641024,1.1061647,1.378671,1.1946247,2.0977612,2.66485,0.7481433,-0.11717451,-0.73760164,-0.5088748,-1.34349,-1.4865743,-1.4780908,-0.22779806,-1.2448876,-1.0624788,2.2220762,4.558887,5.486368,5.635251,5.3035707,5.041583,4.6929913,4.3334928,2.5559525,0.9842059,0.87382734,1.0925666,0.8988546,0.8019808,0.55725616,0.22130069,-0.06667628,-0.16267158,-0.6961068,-0.7525711,-0.80041397,-0.46552438,0.17704722,0.92668974,1.6688275,2.49175,2.9512956,3.2563915,3.7719781,4.2550783,4.5059366,4.5526447,4.655921,4.9391747,5.20208,5.3097453,5.560268,5.3097453,5.1029186,4.8980947,4.434899,4.0286045,3.929944,3.6559398,3.5575378,3.6213546,3.3607302,2.9623728,3.1296809,3.2131228,3.2461185,2.8400424,2.1987875,1.5079089,1.2701629,1.079527,1.1407114,1.1569812,1.076495,0.93049705,0.76880246,0.8173264,0.85080326,0.83316326,0.7844965,1.3251069,1.7491179,1.9072859,1.3433084,0.5433461,-0.22328644,-0.6756405,-0.7440304,-0.6864012,-0.7556738,-1.126043,-1.3363827,-1.4794255,-1.4298493,-1.3545897,-1.5056878,-1.5999022,-1.6178901,-1.8225162,-2.248636,-2.6747975,-2.8383222,-2.3884969,-1.6092571,-0.9190196,-0.1938636,0.6397413,1.010676,0.9505001,0.8505,0.5702841,0.28943324,-0.105851606,-0.32044116,-0.18223585,0.27088737,0.46799257,0.35910368,-0.011202437,-0.37033725,-0.43960896,-0.6653926,-0.9544173,-1.4618425,-2.1503558,-2.7942958,-3.3044856,-3.5744293,-3.96452,-4.208335,-4.5218043,-4.6191974,-4.6678944,-4.6191974,-4.327022,-3.9878972,-3.4187453,-2.7895248,-1.8679712,-1.1277182,-0.6005227,-0.79839414,-1.1472989
