forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:41:18+00:00,2025-11-05 00:00:00+00:00,7.092837,4.7771645,4.1088076,3.0020518,2.6287568,2.458531,2.3761194,2.3344913,1.5122914,1.6038561,1.179992,0.050097216,-0.18367,-0.8836069,-2.0961397,-2.6000736,-2.1840587,-0.17932442,1.2448756,1.5328337,-0.7301375,4.590351,4.129496,6.2923145,6.346061,5.520551,4.914743,4.122265,3.45206,4.704205,7.095849,5.847597,5.122679,4.7839847,4.3971796,4.0606413,3.722247,2.8758826,2.8758826,3.5776353,2.558855,4.8790298,3.9546385,4.429213,4.6779304,5.536625,4.6567802,5.537685,3.8610551,3.5814774,3.0808234,3.0403545,2.87227,2.6344764,2.621402,2.727263,2.810939,4.373076,4.5707617,4.715812,5.3167048,5.6441035,5.559914,5.335994,5.731091,5.040898,4.836833,4.762233,4.117497,4.2558365,3.5942829,4.7095156,4.4889565,3.5965786,3.3650496,3.1138587,2.6682725,1.6265155,0.49836397,-0.08861651,-0.804981,-1.3303776,-1.4259105,-1.4876205,-1.4097989,-1.1718068,-1.5829902,-1.4399366,-0.8397912,-1.3973491,-1.334696,-1.5148795,-1.9961576,-2.1980505,-2.66136,-2.4249122,-1.6673274,-2.7575564,-2.941878,-3.3315897,-3.8353462,-3.808607,-4.0966363,-4.062959,-3.8542483,-3.776605,-3.9087598,-3.8707685,-4.094147,-3.9765162,-4.1349063,-3.3691738,-2.2537324,-3.0064657,-2.7608962,-2.692357,-2.5536234,-2.591301,-1.8901298,-1.4803624,-1.3784491,-1.527629,-2.1971452,-2.5155993,-2.8340945,-2.8503497,-2.5842037,-1.8005915,-1.143797,-0.5103762,-0.42964655,-0.5846386,-0.8212994,-0.96330166,-1.1383007,-1.0751044,-0.92837566,-0.69155073,-0.5577891,-0.5010576,-0.82748574,-0.7388577,0.17012213,0.8488598,1.1564642,1.0211749,0.5125247,0.09629218,-0.00628176,-0.022113347,-0.043511145,-0.27634728,-0.46262875,-0.3503121,0.24128085,1.0243145,1.3716404,1.1816919,0.59847224,0.43065628,0.88767123,1.2188116,1.2689892,0.97864294,0.6208646,0.6172761,1.0236647,1.5541655
2025-11-06 02:34:25+00:00,2025-11-06 00:00:00+00:00,8.507496,6.738558,3.3686428,1.894405,0.4420866,-0.090566315,0.11677508,4.8806844,4.8813195,4.336945,4.0865054,4.0385413,3.4158585,3.462949,3.279937,3.5263288,4.495131,5.9789824,5.7965665,6.131632,4.9637494,4.7971864,4.3326793,3.8382804,3.167306,2.269087,1.2085909,0.42992306,0.38356987,0.83315825,3.224657,5.0076056,5.9521866,5.9521866,5.8745823,5.892365,4.5898542,4.7847757,5.19072,4.995185,6.1746306,5.7361484,4.3124723,2.5175474,3.9407787,1.0929618,0.62743086,2.3209803,1.2011611,-2.8741403,-2.7593312,-2.8082492,-3.1893008,-3.6523445,-3.9302037,-3.9028182,-3.8174489,-4.032788,-4.0779886,-3.9841633,-4.0779886,-4.2219753,-3.5384655,-4.5122743,-4.0467224,-4.0174346,-3.821234,-3.9542453,-4.458601,-4.6215506,-5.1860533,-4.9414587,-3.4610772,-5.004867,-5.1557918,-5.4063144,-5.723564,-5.867542,-6.09283,-6.1829515,-6.311011,-6.408272,-6.4133005,-6.320032,-6.3527503,-6.581767,-6.2090316,-5.5647645,-4.2905927,-5.5515018,-5.2850347,-5.4920382,-6.047443,-6.093073,-5.9640193,-3.7413704,-3.390878,-4.0524254,-3.8665073,-4.5613194,-5.4133687,-5.598602,-5.5706234,-5.2717843,-5.3610115,-5.141132,-4.7215686,-4.5671015,-4.5565357,-4.1846914,-4.1402464,-3.547353,-2.1257265,-3.3160443,-3.3951247,-3.4506075,-3.8524325,-3.5491738,-2.3779337,-1.2629732,-1.0111979,-1.4694024,-2.1061654,-2.5610967,-2.7430918,-3.0072086,-3.0072086,-3.0979755,-3.1887457,-3.1526315,-3.1485996,-3.310998,-3.223972,-3.143,-3.0967014,-2.6235018,-1.9137526,-1.3665719,-1.2256886,-0.79587734,0.038542584,0.6272425,1.2862552,1.7573922,1.9846345,1.9920015,1.7146533,1.4835116,1.4305098,1.3714796,1.6092845,2.2128444,3.1056066,3.58558,3.2785568,2.8713188,2.3940225,2.2678363,2.5318048,2.6981623,2.9702334,2.8701022,2.4778588,2.1787312,2.0901346,1.992343,2.6694338,3.3468537
2025-11-07 02:31:15+00:00,2025-11-07 00:00:00+00:00,4.0064135,1.7336066,1.0324442,1.0324442,0.7626975,0.97250926,1.3485351,1.6049713,2.895565,3.2195768,4.370219,3.8697252,3.985463,5.60352,3.5942233,4.850209,6.770421,5.403005,4.751916,5.06004,4.4412947,4.1756454,4.2042685,3.5274816,3.5113032,2.340728,1.2190508,-0.9169144,-1.8138753,-3.6333578,-3.9575279,-3.8449535,-4.5336742,-5.284509,-5.3008833,-5.48622,-5.648078,-5.5833797,-5.6764665,-5.6764665,-4.420025,-0.9146193,0.54224396,0.6008956,0.62663114,0.7508551,1.0722055,1.5030628,0.48524046,-4.5637813,-4.675913,-4.675913,-4.7501884,-5.070624,-5.1325064,-5.640832,-6.1302414,-6.4465976,-6.6298213,-6.720477,-6.9017982,-6.9132648,-6.9326687,-5.887522,-4.36907,-5.992232,-5.6434727,-5.3171825,-5.499693,-5.022681,-5.2267585,-3.3454282,-3.1208637,-3.6401494,-3.6426482,-3.6077538,-3.7898257,-4.245064,-4.518248,-4.791461,-4.837,-4.97362,-4.7672257,-4.5671015,-4.464767,-4.414657,-4.324656,-3.2356021,-1.6563244,-2.8240526,-3.3894174,-3.9824188,-4.5745635,-4.625618,-4.2850018,-0.8711115,-2.692357,-3.985499,-3.9542453,-3.8196023,-3.7509482,-4.0524254,-4.002332,-3.6426482,-3.4712083,-0.95707744,-0.9909663,-1.2642604,-1.1676036,-1.0280402,-1.0751044,-0.4679577,0.1924697,-0.7699378,-0.574196,-0.44449604,-0.035186164,0.56534535,1.2266355,1.3341967,1.2393439,0.89828086,0.8697586,0.5942978,0.5121681,0.14393324,0.3737866,1.0495129,1.9359373,2.2896922,2.2737865,1.8157794,1.4501135,1.2944164,1.2291799,1.3081844,1.4928017,1.164388,0.54346335,0.5771392,0.8350633,1.320386,1.9540888,2.0796385,2.1982353,2.2146394,1.8992183,1.7608802,1.3457851,0.77794087,0.73203146,1.2985859,2.2352114,2.8311427,2.6398106,2.1677325,1.7900306,1.54473,1.389215,1.4122968,1.6789746,1.2096925,0.54346335,0.31232876,0.38800502,0.69046557,1.320386,1.8938922
2025-11-08 02:19:47+00:00,2025-11-08 00:00:00+00:00,2.4095814,-0.0030632515,-1.4114028,-3.2670841,-3.4825842,-4.2737303,-2.572063,-3.9369495,-4.3057537,-4.674603,-4.993792,-5.555469,-5.0996075,-5.1618886,-5.347216,-5.347216,-4.2817326,-0.6578828,0.7670985,1.2713071,0.80133426,0.45799032,0.44908205,1.2255437,0.89922315,-1.4835216,-1.6834362,-2.18893,-2.5566218,-2.932238,-2.9703312,-3.7119274,-4.2919803,-4.155038,-4.2737303,-4.502567,-5.046032,-5.0004897,-5.113785,-5.068122,-4.136437,-0.71865255,1.9477884,2.611781,3.6283007,4.1768875,3.44929,2.5479994,0.59394014,-0.8689531,-0.77666086,-0.70173895,-1.1064725,-1.569201,-1.838454,-2.0231519,0.55115485,0.61180204,0.07794286,0.5168131,0.5889706,0.8810009,0.7375154,0.89603156,1.5004818,0.5998904,0.36792737,-0.25245115,-0.6039616,-0.6464311,-0.1664247,1.7383127,0.7057619,-0.31388417,-0.38421962,-0.5216673,-0.4545478,-0.2689822,-0.70173895,1.8464757,1.7040304,1.4929044,1.2296538,1.0390158,1.0096201,0.7375154,0.7375154,1.2773124,0.9671,0.7608995,1.2577393,1.4643557,1.5986645,1.9556489,2.0448856,3.140439,2.950163,3.6163847,3.6163847,2.2030516,2.4840415,2.1093829,2.2128444,3.3261957,3.5394595,2.945071,2.6115637,2.5547247,2.2678363,2.0765705,1.677998,2.3462918,1.9582123,1.164388,1.0219688,0.80869794,0.91646105,1.5520986,2.2233467,2.710996,2.6137214,2.2146394,1.8466228,1.6686337,1.5695202,1.655928,1.8843203,2.1244175,2.4907823,2.8434746,2.9198272,2.8247113,2.6820352,2.4686253,2.0874352,2.131354,2.3754146,1.939058,1.1180881,0.5108153,0.54901487,0.3461847,0.43121886,0.56534535,0.35765573,-0.019497627,-0.09783957,-0.23183088,-0.6629666,-0.82702607,-0.518451,1.3745402,3.301828,4.733013,5.262063,5.2151694,5.5083485,5.7980485,6.461962,6.7446604,6.9302077,6.749215,6.5706544,6.4861383,6.5706544,6.7649593,6.8936076,7.304377
2025-11-09 02:40:51+00:00,2025-11-09 00:00:00+00:00,2.269087,1.4316558,0.58163345,0.1093232,0.18024097,-1.6267279,-3.0314195,-2.8385286,-3.052535,-3.4660738,-4.0501547,-4.4440665,-4.40633,-4.628494,-4.6374044,-4.6374044,-3.373256,-0.07098644,2.0912926,2.3961055,3.7452538,2.610848,1.9576794,1.9087073,0.31437567,-1.4507573,-1.13209,-0.30382323,-0.70008004,-1.2263136,-1.909374,-2.9228911,-3.7121284,-3.578643,-3.8056204,-4.542858,-5.2827306,-5.9833016,-6.0463386,-5.9391804,-5.9115653,-1.9965391,0.4132915,0.5039855,1.0470481,2.2755623,3.6174664,4.918265,3.3405378,-1.2421029,-0.87516725,-1.014671,-1.1056108,-0.93404925,-1.37553,-1.3045924,-1.3973491,1.1048161,0.91520727,0.61180204,0.44622812,0.41939127,0.18105422,-1.0736626,0.82806385,-0.3531789,-0.0085139545,0.5794599,0.9854969,1.8654323,2.7586398,4.254146,3.3760874,2.718052,2.9129643,2.8238928,2.7957895,2.7314715,2.5466206,2.6390471,2.3617592,2.1144848,2.1609163,2.0290549,1.772057,1.5245692,1.4325479,1.6225157,2.476079,2.418109,1.9383707,1.6401551,1.22701,1.0313998,0.7336728,1.992343,1.493567,0.6238173,0.33661953,0.39339605,0.03614513,-0.17477846,-0.16399844,-0.031329136,-0.031329136,-0.29807094,-0.3851348,-0.6066097,-0.63549423,-0.90192527,-0.91697717,-0.5785708,-0.33115032,0.23073737,-0.1835502,-0.61304086,-0.61304086,0.31232876,2.6765015,4.6724734,5.9845076,7.2113132,8.186162,8.296952,7.027458,4.675874,2.7010589,1.5155972,0.37248278,-0.39608157,-0.9215484,-1.032457,-1.4097989,-1.7260478,-2.3335555,-2.8229594,-3.48662,-4.5786405,-5.6112804,-6.228014,-6.360008,-6.1808286,-5.867542,-5.595402,-5.207964,-5.2995296,-5.207964,-4.73664,-3.630982,-2.603229,-1.2595309,0.3095592,1.7856648,2.5731547,2.3848467,1.5666953,0.986463,0.8891301,1.0658294,1.1147043,0.93395734,0.59402484,0.68412864,1.7737862,3.116733,3.8212347,3.8756185,3.5770276
2025-11-10 02:33:22+00:00,2025-11-10 00:00:00+00:00,2.7842097,1.0390608,0.010395247,0.48717466,0.1093232,-0.11859834,-1.6080161,-2.0015764,-2.8816895,-3.3908517,-3.1615355,-3.2991235,-3.4760597,-3.8439195,-4.474581,-4.6571937,-4.2919803,-1.2360443,1.390521,1.9647298,2.4714513,3.3973033,4.963966,5.9142485,3.4865348,2.1609023,0.43899485,-0.023499664,-0.8105211,-1.6206751,-1.6663952,-2.3065543,-2.694781,-2.7639055,-2.8863816,-3.2670841,-3.2073975,-3.2532601,-2.9926112,-3.0383549,-2.3268094,0.09266553,4.6567802,5.544252,5.5679903,6.019504,6.820058,7.604152,6.382228,4.694479,5.1837645,3.701421,3.7304223,3.5071623,3.3215065,2.9361691,4.156154,2.1443596,3.9930935,3.8734977,2.188477,1.6743464,1.6789746,1.9116752,2.8701022,2.2374926,2.3201666,1.816255,1.3576381,1.16152,1.16152,1.6623595,1.2003789,0.79806143,0.8372357,0.7016838,0.47618824,0.54816777,0.18767126,0.11419673,-0.46747342,-0.4114385,-0.49667832,-0.42822886,-0.737165,-0.6236519,-0.7251227,-0.820985,-0.47359675,-0.5602042,1.4643557,3.0655012,5.2607727,6.9735107,8.573808,7.6784086,5.8517585,5.0994544,4.957558,4.90921,2.539356,1.9685913,1.4202849,2.1577404,2.4463282,1.8225573,1.7139232,1.4194657,0.49978837,-1.0785254,-1.9316682,-2.4118135,-2.9260921,-3.6187727,-3.6523445,-4.2467284,-4.772154,-5.146772,-5.1814384,-4.7215686,-4.0093865,-3.1516607,-1.815415,-0.73684156,0.54845715,1.880144,2.716214,2.958,2.8772264,2.7820132,2.7266142,2.457372,2.4463048,2.654709,3.0732718,3.377755,3.6769676,3.9751484,4.222497,4.122848,3.9733746,3.7263231,3.776088,3.776378,3.8741984,3.9151325,3.888013,3.9093237,4.1061244,4.2045236,4.352121,4.598113,4.6783767,4.756263,4.929713,5.051483,5.0240097,4.806847,4.439745,4.317559,4.4630184,4.72375,4.8479633,4.7565103,4.7779984,5.074488,5.6056924,6.1425667
2025-11-11 02:22:11+00:00,2025-11-11 00:00:00+00:00,5.8923016,4.0362144,3.3204143,2.8133886,1.7878171,1.0538893,0.4028997,-0.068159014,-0.34991798,-0.588816,-1.0544047,-1.1121227,-1.3460248,-1.7782495,-1.7202998,-1.8716303,-0.7725942,2.1432276,5.2690535,6.3827047,6.500286,6.996158,7.2300143,8.086832,5.3866534,3.439719,4.286846,2.488041,1.1251308,0.070740916,-0.7338694,-0.386544,-0.3512022,-0.7338694,-0.87062764,-1.2092339,-1.1902156,-1.5871903,-1.7369375,-1.6758337,-1.7978193,-0.9729689,2.3152983,6.0335674,6.8604336,8.164116,8.071425,5.401015,0.86377376,1.6167903,1.6665539,1.6211332,1.076024,1.0702122,0.57623494,0.34125906,0.91566694,0.73203146,0.3308915,0.27185738,-0.15515716,0.0516628,-0.24181743,0.73203146,1.8444968,0.79522854,0.31232876,-0.04664478,0.08914179,0.7043961,1.5317934,1.6263355,0.9221719,1.5107645,1.4201515,1.4697121,2.2115345,2.390909,3.1642196,4.1447773,4.330804,5.3272552,5.7070312,7.135713,6.734217,7.318814,6.8616257,7.0130234,6.541844,6.213099,5.585467,4.0087447,2.1758957,0.5307952,-0.1117985,-0.3378158,0.953465,0.7977776,0.7695939,0.23551778,-0.13437098,-0.32651335,-0.3953197,0.0655628,0.8524006,0.80919147,0.41319546,0.42383224,0.27412647,0.032600835,0.08090616,-0.20026541,0.754281,0.48965114,0.7817178,-0.20559075,-1.5319492,-2.8193202,-2.927966,-2.7427576,-2.878845,-3.3752859,-3.6912594,-4.2011185,-4.0660577,-4.0888977,-3.8196023,-3.9423807,-4.119319,-4.030105,-3.7634084,-3.595215,-3.4358838,-3.14224,-3.1887457,-2.7430918,-2.3729522,-1.9354762,-1.4000351,-0.14250198,0.8876274,2.1471803,2.709596,2.9965181,3.3215065,3.4968371,3.7224996,3.584848,3.490643,3.0574875,2.9054883,2.4700902,2.3108017,2.253779,2.727263,3.1138587,2.8916872,2.8268778,2.6266918,2.5545702,2.4130006,2.1094484,2.1107574,2.6889243,3.2989037,3.7113538,3.2591643,2.592116
2025-11-12 02:25:07+00:00,2025-11-12 00:00:00+00:00,6.611633,4.6305676,4.365823,3.6224098,2.331325,1.0189577,0.6702158,0.115254715,0.0898615,-0.26543766,-0.757978,-0.66542697,-0.5899929,-0.6536065,-0.9486984,-1.0412345,-0.04952693,1.9013531,4.681788,6.382228,7.265677,7.3908453,7.8761673,8.323856,5.7330794,3.1533291,-0.17932442,-0.35741907,-0.3028517,0.5394609,0.045299437,-0.8667114,-0.77793086,-0.7335418,-0.9554938,-0.70489645,-1.5585566,-2.2934384,-2.2934384,-2.4038749,-1.6500847,0.031019872,5.4377866,5.139474,4.1221023,2.9111927,1.5568485,0.31164977,-0.42621487,1.7159802,3.936519,7.5941224,8.286125,8.818763,8.365591,7.4214606,7.787034,7.998544,8.190267,8.101086,8.232091,7.954939,7.451139,7.6418767,8.135409,7.4446816,7.714238,7.774324,7.5798116,7.4739,7.71822,7.727969,8.204631,8.026284,7.643481,7.095088,6.5217776,5.659953,4.7741985,4.2795844,3.7203445,4.484361,4.1970816,4.066841,3.8270178,3.7790527,3.0624964,2.87227,3.3099577,2.7972343,2.438574,2.5684147,2.9306128,2.9306128,3.1649637,3.2480464,3.2414348,3.1044066,3.1583796,3.2551196,3.2706938,3.205399,3.1914852,3.6546104,3.2107298,2.9593394,2.7167847,2.64096,2.4130006,2.5587583,2.6896157,2.8670592,3.0144987,2.6351888,2.8894434,2.727696,2.916311,3.0087261,3.3075385,3.5814774,3.7111342,3.2373693,2.6326728,2.1677325,1.8416939,1.6066312,1.4149528,1.5557687,1.9828684,2.3093612,2.6592085,2.6355536,2.7331967,2.5881066,2.4490721,2.5318048,2.6535866,2.7650118,2.5466206,2.2925472,2.1801748,2.4301987,3.4607496,4.810691,5.805054,6.401343,6.83923,7.238197,7.6507335,8.129943,8.309318,8.309318,8.245221,8.129943,8.080625,7.9326653,7.7847066,7.864279,8.04404,8.04404,8.062075,7.8469462,7.505357,6.922711,6.1526294,5.7530875,6.0100513,6.4307237
2025-11-13 02:42:54+00:00,2025-11-13 00:00:00+00:00,8.337217,5.947525,4.968939,2.9319527,1.3749418,0.045299437,-0.6691242,-1.340296,-1.9203137,-2.6876936,-2.264342,-2.402634,-2.465428,-0.31696823,-1.4996403,-1.8212893,-2.5624895,-1.6936319,5.571007,7.136473,8.204852,9.592585,9.800936,4.348381,0.33267087,1.6174792,-0.90965015,-1.4614135,0.91112316,2.045317,1.1268413,1.9542441,1.58992,1.0946504,2.5866535,2.8314219,3.0246727,3.1662889,3.2561462,2.655869,2.1989424,5.2931585,6.6296806,6.73786,6.6669817,6.8044176,7.1511755,7.36803,5.941027,6.884069,6.7819138,7.4999013,7.231588,7.0289774,7.0555267,7.008012,7.0882497,6.64883,6.826508,6.687531,5.949036,5.8619366,4.830265,4.712061,4.96435,3.912232,3.83542,3.5674732,3.2474887,2.2754126,1.9110274,2.574895,2.916311,2.858663,2.5882635,2.5001357,2.1244175,1.4536384,0.9383281,0.9455277,0.9481286,0.9934019,1.134797,1.4366122,1.7474481,2.1596875,3.7661335,6.080931,6.7626786,6.880021,6.7134876,6.7322497,6.7134876,7.1928563,7.518132,7.8867316,8.13461,7.8007617,7.520348,7.4887853,7.617032,7.4887853,7.2329884,7.06208,7.2053924,7.1838646,7.2821107,7.1601906,6.685032,6.14767,6.1965227,6.5943785,7.2918158,7.6531777,7.696572,7.901679,7.8454866,7.6784086,7.0578237,6.0338,5.5299754,6.0187135,6.781507,7.242239,7.2498217,7.043931,6.836672,6.7871585,6.529114,6.479662,6.5890965,6.4900665,6.597732,6.647311,6.696889,6.448999,5.4997377,4.303663,3.256838,2.3477638,1.4685422,1.058429,1.3861752,2.1700957,2.627569,2.6715257,2.6640766,2.6053755,2.7704458,2.8295658,2.9313858,2.9798412,2.9300754,2.6828554,2.3848467,1.9342381,1.4844427,0.74248415,0.0027180118,-0.5470153,-0.84048575,-1.4035541,-1.9415853,-2.2073846,-2.2531042,-2.2322848,-1.8440826,-1.4110494
2025-11-14 02:26:13+00:00,2025-11-14 00:00:00+00:00,4.054424,3.8130865,3.070771,2.655869,2.1073983,1.9901501,2.7683384,2.2882736,3.6512618,4.156901,3.8863156,4.2393894,4.334303,3.9806962,4.5434823,4.6779304,5.2690535,6.398031,8.261109,9.61609,9.884936,8.640951,9.124894,8.086832,6.373254,5.537685,4.8757153,4.7185416,4.2495227,5.016209,5.3641186,5.425661,4.54694,4.014789,3.8903704,3.1477544,2.6730502,2.1195626,1.5982357,0.94908464,2.1195626,5.490145,7.155366,6.9034786,7.47356,7.077817,6.8090634,7.42417,6.599823,0.88246125,0.674758,0.62962604,0.65722036,0.6658793,0.61632687,0.61180204,0.5833719,0.4565168,0.55115485,0.28635803,0.2424684,0.20968693,0.04007595,2.0527418,4.324648,4.899518,5.230546,5.95226,6.0463147,6.1604176,6.3095565,6.401343,6.4896293,6.024793,6.4354153,6.3058553,5.737512,6.2745824,6.391929,6.343077,6.4484863,6.9462476,7.2327876,7.305275,7.0567703,6.6386123,5.9337516,5.3031077,5.1478767,4.4937973,4.374319,4.0515327,4.0759177,3.8008513,3.5866418,4.169537,4.3463283,4.2928433,4.2586927,4.36529,4.276584,4.0399013,3.8952963,3.8960104,3.506964,3.4614825,3.2651706,3.2018874,3.237736,2.8717148,2.5164208,2.6926534,3.3055952,3.5096664,3.9097867,4.3265095,4.6470275,4.979184,4.9168124,4.801485,4.7096624,4.7934012,4.6357346,4.4799695,4.145947,3.948371,3.5920281,3.2467053,2.8520439,2.6053755,2.506707,2.506707,2.3970342,2.008374,1.2589258,0.8370582,0.7614151,0.7564197,0.72314566,0.61180204,0.42058137,0.2424684,0.28951508,0.14836952,0.23165722,0.18433943,0.11569856,0.040505137,-0.024014495,-0.24297506,-0.3762932,-0.59320354,-0.81313515,-0.9871394,-1.2618091,-1.7513582,-1.88261,-1.6610259,-1.405242,-0.9130748,-0.38067412,0.14525235,0.42571858,0.41319546,0.40269974,0.19790226,0.16353326,-0.11387644
