forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:41:38+00:00,2025-11-05 00:00:00+00:00,107.35411,79.50858,71.564964,84.2895,96.340096,118.442825,127.875046,167.00539,167.90526,180.0,155.85446,145.1246,138.12222,98.673096,91.59111,94.08554,87.17294,81.972855,88.09089,87.089226,90.0,50.710617,280.0079,305.13428,286.18927,245.22488,251.11382,131.42357,224.9999,243.43501,248.40463,301.60745,300.96368,260.53775,208.30066,285.06854,338.9624,261.2539,267.79745,194.03627,253.0091,291.16132,295.46332,308.65982,325.30478,312.70938,345.06854,53.972538,80.13426,285.94547,237.99466,212.00534,224.9999,106.699326,63.435013,81.25392,72.89719,83.41815,85.60138,63.435013,57.094753,53.13002,52.124958,37.875053,29.744795,260.53775,244.7989,291.4478,287.6502,272.8155,280.71307,301.55133,306.86996,316.73566,295.7099,259.9921,257.34744,258.11136,258.6901,261.87,262.8751,257.00537,252.40749,254.98158,255.2564,257.125,258.23172,246.80138,348.6901,73.300674,105.25517,105.25517,138.81418,120.963684,121.60746,116.56499,142.43134,119.357666,79.99209,59.420856,66.03751,78.02389,79.69521,80.83774,84.644264,88.15243,91.90912,90.0,90.0,91.97489,99.78234,102.09474,102.33907,96.11541,96.441505,97.59455,99.81924,100.30479,97.30567,91.68465,84.47256,80.83774,79.380394,79.69521,84.644264,90.0,97.59455,104.03627,109.798965,112.61991,109.798965,104.03627,101.68935,104.5345,111.3707,112.61991,107.92801,102.65255,100.92277,101.5138,103.44863,105.52418,109.09359,115.01687,122.00535,105.945465,90.0,80.53775,79.69521,83.659904,90.0,102.5288,111.801476,118.61037,126.027466,135.0001,135.0001,124.69522,110.55613,101.3099,96.581856,93.57626,93.17977,94.89901,99.16227,102.09474,98.42689,90.0
2025-11-06 02:34:55+00:00,2025-11-06 00:00:00+00:00,261.87,306.52896,271.68463,297.8972,259.69522,43.152412,33.6901,5.527458,231.34016,7.12493,237.52882,171.25392,243.43501,265.60138,189.46225,79.99209,28.610369,291.03757,286.6993,275.90604,283.49576,296.56497,320.1945,52.124958,100.619606,111.3707,113.962494,125.537766,104.62092,94.57384,77.19574,107.52566,113.62939,150.2552,111.801476,139.39879,148.57048,147.09476,99.46225,73.300674,360.0,247.8336,280.45984,281.9969,285.6682,287.3934,288.18915,283.82867,276.3401,303.42484,291.5015,266.72958,259.69522,255.52966,254.57777,254.05453,251.56496,256.42953,260.21765,267.95465,263.6599,250.70985,241.38963,108.43504,90.0,96.00892,111.03758,119.05451,116.56499,112.61991,126.86999,153.43501,210.25635,228.81418,18.435053,68.74943,66.03751,74.2913,75.57919,80.2725,79.69521,85.60138,105.06854,95.906044,98.42689,102.99462,104.5345,107.10281,98.88058,96.00892,96.340096,98.13002,98.47106,98.530685,96.519714,101.3099,92.29056,77.90526,69.67678,74.3577,87.614105,94.57384,97.853226,101.3099,102.5288,102.5288,103.49575,108.43504,110.55612,109.798965,110.55612,107.74477,105.64231,101.3099,103.17256,103.73629,104.743614,104.47034,104.62092,101.3099,96.340096,80.53775,68.19853,63.435013,63.435013,224.9999,233.13002,240.2552,240.94548,245.55606,248.96242,251.56496,255.06853,259.69522,279.46225,306.86996,293.1986,278.74606,270.0,266.0549,263.9911,262.0566,257.61926,251.07526,244.23071,239.0363,234.46223,232.59457,233.97253,243.43501,44.999897,80.53775,97.12492,105.25517,98.13002,86.63361,83.99109,84.55976,90.0,92.385895,92.045364,91.78987,93.46816,97.853226,106.9276,116.56499,120.96369,116.56499
2025-11-07 02:31:41+00:00,2025-11-07 00:00:00+00:00,318.36655,145.30478,124.69522,106.9276,103.57046,95.52745,88.025116,90.0,91.97489,108.43504,104.62092,80.13426,82.40546,87.70944,94.96966,63.435013,116.56499,331.69934,291.03757,295.8663,300.4257,298.49554,300.00482,292.8737,290.97357,277.2749,276.78888,274.63538,285.06854,318.01288,315.0001,299.0545,278.13,285.94547,15.945477,70.01681,66.801384,86.423744,73.49557,95.19434,100.784256,113.198616,113.62939,126.86999,180.0,303.6901,315.0001,233.13002,180.0,224.9999,360.0,60.255207,59.93151,77.735245,77.4712,83.88459,85.91447,94.08554,92.12105,94.57384,101.768265,107.650215,104.5345,110.55612,104.5345,102.38075,103.73629,101.0409,101.97612,105.06854,101.88863,127.875046,194.03627,299.74478,348.6901,33.6901,63.435013,83.659904,102.5288,105.52418,98.97255,100.00792,104.743614,104.03627,108.43504,104.62092,92.385895,85.60138,87.614105,98.74608,104.03627,106.18928,106.26028,108.43504,98.13002,82.875084,51.34017,26.564985,309.8055,265.91446,277.1249,259.3804,265.60138,246.0375,240.2552,187.12492,153.43501,123.690094,108.43504,114.44395,90.0,82.40546,107.10281,111.801476,147.99466,198.43504,258.6901,273.814,270.0,258.6901,247.3801,228.81418,192.5288,161.56496,119.74479,73.300674,59.743652,72.89719,98.13002,111.801476,110.55613,103.24053,96.340096,93.012726,93.012726,95.7105,100.30479,108.43504,110.55612,109.290146,102.09474,83.659904,50.194473,20.556128,12.528798,26.564985,143.13002,150.9455,123.6901,86.186005,72.47434,77.19574,87.5105,92.29056,90.0,84.47256,81.38444,81.11942,82.64771,84.805664,86.09958,86.12155,87.5105,90.8303,95.44024,98.27581,93.814,83.08887
2025-11-08 02:20:14+00:00,2025-11-08 00:00:00+00:00,291.03757,282.9074,299.98157,277.1249,243.43501,278.53067,321.34018,326.3099,334.79892,15.945477,41.63345,331.38962,75.96373,78.11137,92.385895,92.045364,117.64589,127.30403,118.442825,130.91429,150.2552,333.43503,329.03632,323.13,56.309914,130.60121,137.72638,90.0,83.08887,90.0,111.3707,104.03627,190.49142,187.12492,186.58185,197.6502,190.1246,170.9098,168.69011,177.87895,151.69934,124.3804,112.61991,105.3502,104.03627,107.19863,109.359085,110.13639,102.26476,53.13002,35.537766,59.03632,75.068535,86.82024,92.72626,96.00892,96.340096,97.76508,97.76508,101.3099,102.26476,104.62092,100.88548,94.39862,94.96966,95.19434,104.38144,106.99091,104.03627,102.5288,98.74608,71.564964,65.55606,336.8014,257.4712,272.72626,262.5687,264.2895,238.57048,249.44386,235.30478,252.64589,243.43501,246.0375,255.96373,248.96242,262.8751,265.60138,247.3801,226.73567,257.27563,274.76355,263.21112,261.41647,267.08923,266.42374,250.64091,253.81071,248.6293,233.13002,219.80553,224.9999,68.19853,74.054535,87.27374,92.29056,92.385895,92.385895,99.090195,94.57384,96.340096,94.23632,92.29056,98.97255,102.680374,105.52418,109.653915,110.854546,96.70974,64.98315,49.398785,56.3099,75.96373,90.0,90.0,87.13766,87.13766,92.86235,98.530685,104.03627,102.80426,99.46225,96.581856,92.12105,87.95464,88.025116,91.73567,97.30567,101.3099,103.24053,106.26028,106.38962,90.0,75.96373,70.01681,75.96373,93.57626,105.945465,93.366394,79.21575,65.37646,44.999897,28.610369,21.25058,28.810698,123.6901,157.75093,148.57048,104.93147,71.564964,78.231735,91.97489,101.3099,161.56496,260.83774,265.42615,267.33704,272.4895
2025-11-09 02:41:11+00:00,2025-11-09 00:00:00+00:00,153.43501,172.87508,180.0,68.74943,84.2895,100.784256,154.44008,177.6141,198.43504,203.19862,197.6502,199.79897,190.1246,161.56496,171.25392,162.18102,144.86572,134.1187,118.52302,111.801476,111.80147,107.281586,106.699326,104.03627,92.12105,90.0,86.423744,98.74608,182.3859,187.85323,190.49142,173.41815,167.4712,156.50142,167.73524,172.56868,175.42616,161.56496,157.3801,146.88864,158.19853,141.54626,140.38934,147.65259,142.43134,128.991,126.86999,126.86998,142.12495,70.346085,26.564985,288.43503,260.53775,255.2564,264.2895,263.6599,260.53775,246.0375,246.0375,241.92761,240.2552,246.3706,260.53775,243.43501,248.19853,251.56496,254.47583,257.4712,255.96373,256.32867,252.55272,242.5925,234.78232,209.7448,233.13002,135.0001,69.44387,75.068535,99.46225,106.699326,96.581856,92.29056,90.0,81.86999,85.76369,86.186005,79.380394,79.28693,82.64771,90.0,99.68872,103.13403,94.76356,79.69521,79.380394,65.77226,75.46551,88.21013,86.186005,69.86362,65.22488,72.89719,74.74483,83.659904,83.659904,87.79745,77.125,80.31129,75.42574,77.90526,74.52131,74.74483,79.380394,80.32671,81.86999,90.67403,103.49575,110.659,96.48298,43.83095,6.0723705,348.4862,335.15762,324.24603,313.56796,300.76263,287.7005,284.93146,287.0491,286.6389,282.8581,277.4313,272.5733,267.10147,261.38443,259.43903,270.0,282.29526,288.2395,287.87878,284.74362,283.13403,285.84314,291.99118,300.69965,299.0545,254.05453,174.2895,147.52882,126.027466,124.992096,169.6952,209.35765,226.63654,248.19853,281.88864,305.83774,305.21768,293.6294,279.46225,272.12103,268.56793,268.78116,271.273,277.30566,285.7087,298.30066,315.0001
2025-11-10 02:33:52+00:00,2025-11-10 00:00:00+00:00,80.909805,67.83361,67.83361,108.43504,133.02507,189.78233,184.08554,162.89719,152.44728,180.0,177.6141,184.23631,178.02512,167.90526,156.2505,147.99466,146.76828,141.14662,129.2072,128.65984,129.61066,132.27362,131.18582,128.65984,186.3401,236.3099,281.3099,298.61035,268.09088,323.61554,352.87506,111.801476,82.875084,77.4712,135.0001,141.34016,104.03627,94.08554,106.50443,101.68935,95.7105,110.22495,107.35411,111.801476,110.55613,120.96369,116.56499,108.43504,108.43504,198.43504,116.56499,143.13002,82.875084,90.0,87.79745,94.57384,96.84268,85.91447,90.0,81.11942,106.26028,88.264336,93.270424,88.363464,93.57626,86.933586,96.11541,97.96952,94.5139,93.691315,73.73973,69.67678,72.55273,69.62349,70.559875,82.875084,77.660934,72.07199,75.96373,77.619255,74.64981,75.25639,75.78412,74.3577,75.80142,73.237366,77.22876,70.38782,77.81636,82.79404,74.74483,54.196568,45.673954,37.405437,1.7898695,357.70944,23.629398,259.79608,288.98773,310.426,271.33218,297.18103,268.6361,268.9191,276.89233,274.34317,272.26044,272.54474,280.24402,279.24603,282.23608,283.20108,279.00842,279.16226,285.3502,286.8585,289.37424,290.85452,289.92566,286.83755,284.03625,280.88547,275.35574,261.87,250.9064,250.25307,250.49745,254.05453,258.92984,263.36758,261.46933,256.32867,252.07199,247.249,243.43501,242.52565,248.19853,270.0,294.77512,296.56497,292.16638,289.9832,290.37653,290.37653,292.1095,300.25635,319.0857,336.8014,325.0079,288.43503,270.0,270.0,360.0,63.435013,72.89719,80.53775,82.875084,80.83774,78.11137,78.92985,84.805664,90.0,93.22446,93.22446,90.84251,88.12216,83.019035,72.55273
2025-11-11 02:22:30+00:00,2025-11-11 00:00:00+00:00,218.65984,263.41815,281.3099,287.81897,289.1791,315.0001,312.8789,100.30479,127.568665,124.992096,116.56499,100.00792,98.13002,94.96966,92.4895,90.0,90.0,103.39252,126.25393,137.72638,138.81418,140.19447,144.46223,131.98714,135.0001,108.43504,91.97489,90.0,105.42222,105.42222,104.93147,103.13403,174.64427,155.55606,170.21767,164.74483,163.73972,140.19447,160.0168,121.328636,114.22774,115.64096,118.30067,103.49575,101.3099,92.86235,64.5367,93.012726,84.55976,70.640915,78.366394,80.83774,67.8905,68.19853,73.85559,73.68607,76.60749,77.34745,77.00539,75.46551,75.4998,78.87085,81.764465,76.50425,79.06623,83.99109,88.21013,93.73133,87.95464,86.729576,135.53539,123.90632,108.676796,94.267815,79.919464,68.498505,78.38854,83.74606,78.85715,78.6901,90.0,110.13639,147.99466,275.19434,251.56496,246.80138,290.97357,273.01273,267.87894,286.7827,289.0936,310.73203,270.0,255.71887,263.6599,267.03912,260.70676,266.82022,265.42615,261.38443,247.8336,270.0,227.72638,202.6199,214.50858,256.75946,272.86234,254.74483,244.17906,255.96373,257.27563,234.6887,265.23645,261.15826,272.12103,271.84756,269.18155,267.64676,265.91446,264.64426,262.8751,264.05322,265.60138,266.42374,260.21765,250.9743,245.09526,244.2901,247.06787,248.19853,249.44388,247.75093,249.14546,249.14546,253.0724,255.37909,262.23492,272.86234,276.0089,267.3975,255.4655,249.67677,245.77226,240.94548,161.56496,113.962494,112.38018,107.650215,94.76356,75.96373,65.37646,70.90642,82.14678,90.0,91.97489,92.12105,92.29056,90.0,85.60138,81.86999,63.435013,272.86234,268.53122,266.56644,265.07297,264.55975,264.88278,265.03033
2025-11-12 02:25:29+00:00,2025-11-12 00:00:00+00:00,128.65984,148.39255,97.12492,90.0,96.340096,99.090195,93.691315,100.491425,115.64096,182.04536,185.19434,170.53775,164.05453,159.14546,166.60748,175.23645,164.47583,118.495544,119.53869,122.61923,113.49858,109.440125,132.27362,194.03627,228.01286,16.389616,99.78234,97.43131,177.87895,116.56499,99.090195,90.0,142.12495,124.50858,110.854546,142.59457,111.3707,144.78232,185.90605,180.0,117.75845,95.85592,95.19434,94.864426,94.76356,107.96923,118.442825,125.21768,97.43131,91.12328,75.96373,71.14675,82.56869,79.261154,74.931465,79.50858,74.054535,4.085537,19.983198,98.13002,127.875046,146.3099,198.43504,278.13,206.56499,111.801476,180.0,180.0,168.69011,180.0,280.6196,289.44012,302.00534,302.7352,251.56496,240.94548,254.47583,258.6901,234.46223,250.70985,250.0168,245.55606,235.0079,253.30067,216.02747,243.43501,15.945477,123.690094,180.0,307.87503,221.98714,246.80139,274.23633,265.42615,284.5345,280.78424,266.6336,274.08554,275.19434,236.3099,279.46225,212.00534,275.7105,220.60121,213.6901,258.6901,251.56496,233.13002,246.0375,224.9999,333.43503,303.6901,264.80566,235.0079,236.3099,242.10283,247.75093,252.25523,254.74483,259.3804,259.69522,248.19853,233.97253,224.9999,206.56499,135.0001,95.19434,82.875084,78.6901,75.96373,77.4712,82.14678,84.47256,82.875084,81.11942,81.86999,86.186005,91.005066,92.68372,91.90912,88.876724,84.92049,78.6901,72.299484,69.82927,71.916466,78.46541,85.03035,94.5139,109.653915,126.384445,135.0001,135.0001,360.0,20.556128,36.86998,46.97493,55.6196,63.435013,73.73973,87.5105,103.39252,119.05451,132.70937,143.97253,167.4712,216.86998,288.43503
2025-11-13 02:43:14+00:00,2025-11-13 00:00:00+00:00,140.19447,101.68935,88.09089,107.10281,177.87895,182.20255,143.13002,136.27295,177.95464,180.0,169.50858,167.19574,160.82089,165.4655,171.25392,168.31065,143.53067,104.32276,101.768265,97.12492,104.38144,95.7105,93.90042,85.91447,78.178535,85.101,100.00792,100.491425,81.11942,79.99209,92.72626,105.06854,111.03758,95.7105,117.47435,147.99466,112.47948,88.025116,81.11942,95.52745,140.19447,81.46932,90.0,296.56497,295.01685,298.0724,333.43503,10.784258,61.389645,284.03625,227.72638,240.2552,233.74606,257.4712,319.7637,233.13002,296.56497,90.0,149.74365,131.63345,131.63345,77.4712,77.4712,56.309914,108.43504,360.0,227.72638,272.72626,266.82022,259.9921,256.75946,243.43501,234.78232,306.02747,330.9455,308.65982,254.05453,270.0,236.3099,220.60121,132.5104,132.70937,74.054535,94.96966,63.435013,50.52757,40.9143,66.03751,80.9098,86.58348,112.5431,112.067955,67.75093,23.962492,335.55606,292.3802,288.43503,278.42688,261.87,274.63538,281.3099,302.00534,63.435013,75.96373,74.931465,82.14678,94.23632,85.23644,70.01681,85.23644,113.62939,171.25392,113.962494,70.90642,67.61982,60.461315,49.398785,39.805527,44.999897,55.175446,60.018444,55.175446,41.63345,30.963696,25.559923,26.564985,29.248732,39.805527,67.61982,93.366394,101.3099,100.30479,111.801476,229.39879,243.43501,247.01126,250.64091,253.44284,258.6901,265.23645,269.029,271.73566,271.70978,270.89514,269.076,267.1845,264.2895,263.11838,264.71002,267.6141,267.27374,258.3664,240.01845,224.9999,223.45189,230.19447,238.57048,244.98314,259.69522,270.0,257.00537,243.43501,240.2552,244.7989,264.2895,306.86996,288.43503,216.86998
2025-11-14 02:26:37+00:00,2025-11-14 00:00:00+00:00,71.564964,76.2392,90.0,100.95402,86.05489,74.054535,82.40546,111.44781,122.27562,209.0545,351.02744,341.56494,20.556128,99.46225,41.63345,130.23628,105.945465,85.91447,62.10283,60.524208,69.14546,64.98315,52.124958,11.3098955,213.6901,180.0,126.384445,26.564985,107.35411,83.41815,73.300674,98.13002,126.384445,104.03627,104.03627,110.854546,124.286934,155.22488,120.96369,135.0001,116.56499,131.98714,141.34016,150.2552,153.43501,135.0001,123.690094,123.690094,250.0168,237.72438,270.0,180.0,158.19853,120.96369,90.0,90.0,105.52418,124.286934,94.89901,69.19314,63.435013,79.380394,62.744755,63.946568,69.22767,73.033775,85.16967,83.75819,87.79745,57.99466,28.178495,24.775122,54.688713,64.17907,57.99466,60.255207,160.0168,219.80553,253.0091,277.9434,275.19434,255.96373,242.96922,241.0491,251.1752,250.0168,255.96373,259.3804,239.03632,203.19862,104.03627,108.43504,106.18928,109.98319,92.86235,76.55138,65.13633,53.13002,50.389355,51.632477,49.398785,54.246033,66.37061,56.3099,58.495792,79.69521,63.435013,23.962492,288.43503,290.55612,257.4712,306.86996,258.11136,257.19574,262.33328,260.18076,259.3804,258.92984,260.9098,264.80566,266.186,265.38943,263.6599,263.85345,265.85544,269.2361,271.48782,271.5275,270.81842,270.90936,274.31595,280.78424,286.8585,287.81897,285.06854,281.76825,276.0089,266.186,261.87,270.0,277.3523,279.92618,280.84027,279.63748,277.2531,268.8767,253.17851,241.60707,240.94548,246.0375,250.1447,250.55988,247.8905,246.57129,245.09526,243.43501,241.55717,238.24055,232.59457,229.39879,233.97253,246.0375,270.0,296.56497,71.564964,71.564964,44.999897,26.564985
