forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:14:40+00:00,2025-11-05 00:00:00+00:00,6.7695,5.2695,4.6695,4.3695,4.3695,4.4695,4.5695,5.1695,5.3694997,6.1695,6.8195,6.8195,7.4695,7.4195,7.3694997,7.5195,8.4195,9.5695,12.8695,15.269501,12.8695,12.1695,11.3695,10.1195,9.269501,8.469501,8.2695,7.9195,7.4695,7.7695,7.5195,6.9695,6.8195,6.5195,6.2195,5.9695,5.7695,5.7695,5.5195,5.3694997,5.9695,7.1194997,7.8694997,5.6855,6.2855,7.4855,7.8855,7.7855,6.3355,5.7355,5.0855,5.3855,5.5355,4.8855,5.2855,5.4355,5.5355,5.6355,5.6855,5.9855,5.6855,6.3855,5.7355,3.9854999,4.1355,5.1355,5.2855,5.9855,6.2855,6.8355,6.6355,6.1355,4.6855,2.8355,1.7355,1.3855,1.1854999,0.93549997,0.53549993,0.03549993,-0.31449997,-0.46450007,-0.5145,-0.5145,-0.6144999,-0.7645,-0.9145001,-0.71450007,1.5855,3.9355001,5.8855,7.2355,8.035501,7.9354997,7.5855,7.1854997,3.8855,2.0355,1.2855,0.7355,0.13549995,-0.014500022,-0.1645,-0.26450002,-0.46450007,-0.26450002,-0.36449993,-0.36449993,-0.26450002,-0.21450007,-0.114500046,0.43550003,2.2855,4.3855,6.3855,7.7855,8.8855,9.2355,8.4855,7.0855,5.7855,4.9355,4.2355,3.6855001,3.3355,3.1855001,3.0855,3.0355,3.0355,3.0355,2.9854999,2.9355001,2.8855,2.6355,2.4355,2.8855,4.6855,7.1355,9.1855,10.4855,11.3855,11.535501,10.585501,8.8855,7.4354997,6.5855,5.9354997,5.3855,4.8355,4.3855,4.0355,3.8354998,3.7855,3.7354999,3.5855,3.4854999,3.3855,3.1355,2.9355001,3.4854999,5.3855,8.0855,10.3855,12.1355,13.535501,13.9855,12.785501,10.6355
2025-11-06 00:59:28+00:00,2025-11-06 00:00:00+00:00,8.3695,7.5195,7.2195,6.4195,6.1695,6.5195,5.9695,5.8694997,6.0195,6.0195,5.8694997,5.7695,5.5195,5.4695,5.2195,5.0195,5.3694997,6.8694997,8.0195,8.5695,8.5195,8.1195,7.6695,7.4195,7.2695,7.1194997,6.9695,6.6695,7.1695,7.9195,7.8195,7.7195,7.5195,7.0695,6.7695,6.2195,5.1695,4.4195,4.5195,3.8695002,4.6695,4.6195,5.2195,5.6855,5.8855,5.8855,6.3355,5.8855,5.2855,4.4855,2.8355,1.6355,1.0355,0.6855,0.6855,0.53549993,0.43550003,0.28549993,0.23549998,1.4354999,1.8855,0.7355,0.3355,0.43550003,2.3855,4.7855,6.7355,8.0855,9.1355,9.5855,9.3355,8.535501,4.9355,2.8355,1.8855,1.1854999,0.7355,0.43550003,0.8355,0.63549995,0.7855,0.7855,0.7355,0.43550003,0.48549998,0.53549993,1.0355,2.0355,3.6355,5.5355,7.4354997,9.3355,10.4855,10.6855,10.835501,8.8355,6.3355,5.1355,4.5355,4.1855,3.9854999,3.7855,3.6355,3.4854999,3.5355,3.2855,3.5855,3.3855,3.3355,3.3855,3.4355001,3.5855,5.5355,7.7355,9.785501,11.285501,12.4855,12.835501,11.835501,10.035501,8.6355,8.1855,8.1355,8.1355,7.9855,7.8855,7.7355,7.5855,7.4354997,7.3355,7.2355,7.1854997,7.1355,6.9354997,6.6854997,6.9354997,8.035501,9.535501,10.835501,11.785501,12.535501,12.4855,11.2355,9.285501,7.4855,6.2355,5.1355,4.3355,3.8855,3.6855001,3.4854999,3.2354999,2.9355001,2.7855,2.7354999,2.7855,2.8355,2.4854999,2.1355,2.6855,4.8855,7.9855,10.6355,12.535501,13.9355,14.3855,13.285501,11.2355
2025-11-07 00:57:23+00:00,2025-11-07 00:00:00+00:00,8.2695,7.7695,7.4695,6.9695,6.4195,7.1695,7.1194997,7.2195,7.2695,7.8694997,6.6695,6.1695,5.3195,4.8694997,3.6694999,2.9695,4.2195,5.5195,6.1695,6.6695,6.3694997,6.2695,6.2695,5.8195,4.5195,3.8195,3.9194999,3.7694998,3.3195,3.3695002,2.6195002,2.0695,2.2695,1.8195,1.7695,1.7695,1.8195,1.8695,1.8195,1.7695,2.6694999,4.7195,6.1695,8.785501,9.7355,9.9355,9.5855,8.7355,4.9355,3.1855001,2.1855,1.3355,0.9855,0.5855,0.43550003,0.38549995,0.3355,0.48549998,0.6855,0.8355,0.8355,0.93549997,1.2855,1.5855,3.7354999,5.8855,7.9855,9.4855,10.835501,10.835501,10.535501,8.6855,6.0855,4.8855,4.3355,3.9355001,3.7855,3.7354999,3.4355001,3.4854999,3.2855,3.4355001,3.3355,3.2855,3.2855,3.2855,3.0855,3.5855,5.7355,7.7855,9.4355,10.585501,11.9355,12.8855,13.1855,11.7355,9.0855,8.1355,7.7855,8.035501,7.8355,7.7355,7.9855,7.8355,6.9855,7.1854997,7.2855,7.5355,7.6854997,7.7855,7.3355,7.9354997,8.1855,8.9855,9.5855,10.285501,10.9855,11.335501,11.2355,10.7355,9.9355,8.3855,6.4855,5.2855,5.4855,6.4354997,7.1355,7.0855,6.7855,6.5855,6.5855,6.6854997,6.6854997,6.2855,5.8355,6.0355,7.5355,9.7355,11.6355,13.1855,14.4355,14.785501,13.6855,11.7355,9.9855,8.7355,7.7355,6.9354997,6.4855,6.2855,6.0855,5.7855,5.5355,5.4855,5.8355,6.3855,6.6854997,6.2855,5.6855,5.9354997,7.8855,10.6855,13.085501,14.785501,16.0355,16.4855,15.585501,13.835501
2025-11-08 00:52:28+00:00,2025-11-08 00:00:00+00:00,6.0695,5.3694997,4.6695,4.2195,3.6195002,3.1694999,2.9695,2.8195,2.7195,2.7694998,2.7195,2.7694998,2.7195,2.7195,2.6694999,2.6195002,3.3195,5.5695,6.6695,7.6194997,8.2695,8.719501,8.9195,8.5195,7.1194997,5.7695,5.3195,5.0195,4.5195,4.6695,4.7195,4.5695,4.7695,4.8694997,4.9695,5.3195,5.7695,5.9695,6.1695,6.3195,6.7695,8.4195,11.0695,10.785501,11.6855,11.785501,11.535501,9.785501,7.2355,5.9354997,5.4355,5.0855,4.9355,4.7355,4.6355,4.4355,4.4855,4.5355,4.6355,4.5355,4.4355,4.1855,4.3855,4.3355,6.4855,8.7355,10.3855,12.035501,12.7355,13.585501,13.335501,12.035501,9.9355,8.5855,8.285501,7.8855,6.7855,7.6854997,6.1854997,7.3355,7.5855,7.5855,7.7855,7.8355,7.7355,7.7855,7.8355,6.2355,8.2355,9.035501,9.835501,10.4855,10.335501,9.6355,9.8855,9.9855,9.035501,8.3855,6.5355,5.2355,4.6855,4.1855,4.0355,4.1355,4.5855,4.6355,4.8855,4.4355,4.0355,3.8354998,3.9854999,3.3855,5.5355,8.1855,10.785501,12.4355,13.585501,13.8855,12.835501,10.9355,9.2355,8.1355,7.2355,6.5355,6.0855,5.8355,5.6355,5.2855,4.9355,4.8855,5.3355,6.0355,6.5355,6.3355,5.9354997,6.3355,8.285501,10.9855,13.335501,15.085501,16.4855,16.7355,15.085501,12.335501,10.2355,9.535501,9.4855,9.535501,9.5855,9.785501,9.9355,9.9355,9.835501,9.785501,9.785501,9.785501,9.785501,9.7355,9.6355,9.5855,9.5855,9.6855,9.9355,10.535501,11.285501,11.7355,11.585501,11.1355
2025-11-09 00:58:41+00:00,2025-11-09 00:00:00+00:00,7.3694997,5.7195,5.1695,5.0195,4.4195,4.4195,4.3195,4.4695,4.5195,4.6695,4.8694997,5.0195,5.5195,5.6695,5.9695,6.1695,6.5695,8.219501,10.6195,12.6695,13.5695,13.8695,13.769501,13.019501,11.6695,10.719501,10.269501,10.219501,10.269501,10.219501,10.3695,10.8195,10.9195,11.219501,11.6695,12.0695,12.019501,10.769501,11.269501,11.269501,10.6195,10.969501,12.969501,11.785501,12.335501,12.9355,12.335501,11.285501,9.6855,8.4355,7.4354997,7.4354997,7.3355,6.1854997,6.8855,6.5355,7.0855,7.1355,6.1854997,5.7855,6.8355,6.6854997,6.8355,6.7355,7.1854997,8.785501,8.6855,8.785501,9.0855,9.4855,10.335501,10.035501,6.9354997,5.3355,4.7355,4.6355,4.8855,4.9855,5.0355,5.2355,6.0855,6.3855,5.8855,6.3355,6.3855,6.6355,6.9354997,6.7355,7.3855,7.5855,8.3855,8.3355,8.3355,8.4855,8.7355,9.5855,8.6355,8.0855,7.9354997,8.1355,6.9855,6.9354997,7.1355,7.9354997,8.0855,8.4855,8.7355,8.535501,8.6855,8.785501,8.6855,8.6355,9.0855,10.085501,10.6355,10.535501,10.1355,9.7355,9.535501,9.3855,9.1855,8.9855,8.7355,7.9354997,6.0355,3.5855,1.9355,1.8355,2.5355,2.7855,1.9355,0.63549995,-0.36449993,-0.9145001,-1.2145001,-1.1144999,-0.41450012,0.63549995,1.5354999,2.2354999,2.8355,2.8855,2.1855,0.93549997,-0.26450002,-1.4145001,-2.5145001,-3.2145,-3.2645001,-2.9145002,-2.3145003,-1.4145001,-0.26450002,0.53549993,0.7855,0.7355,0.63549995,0.38549995,0.0855,0.0855,0.7355,1.6855,2.4355,2.7855,2.9355001,2.8855,2.5855,2.1355
2025-11-10 01:00:58+00:00,2025-11-10 00:00:00+00:00,9.9195,9.0695,8.6695,9.0695,9.019501,9.019501,9.6695,9.769501,10.0695,10.269501,10.3195,9.719501,9.5695,8.969501,9.0695,9.1695,9.219501,10.8195,12.1695,13.8195,13.6695,13.3195,11.269501,9.5695,8.5195,8.4195,8.6195,8.769501,7.6194997,7.3694997,7.3694997,7.2695,7.1194997,6.8195,6.2195,5.8195,5.4695,5.1695,4.7695,4.3695,5.2695,7.6695,9.3695,10.585501,11.335501,11.785501,11.785501,11.085501,7.6355,5.9855,5.3355,4.6355,4.1855,4.6355,4.7355,5.2355,5.2855,6.4354997,6.2355,6.8855,6.7355,6.8855,6.9354997,6.9354997,7.6355,8.1355,9.1855,12.285501,12.3855,13.285501,13.2355,12.085501,9.5855,8.3855,7.7355,7.7355,7.2855,6.8855,6.5355,6.2355,6.6355,7.4855,8.0855,7.0855,7.3355,6.5855,7.2855,7.7855,9.1355,11.035501,10.8855,12.1855,13.285501,10.4855,7.8855,6.7355,5.8355,5.2355,4.5355,4.2855,4.3355,4.6355,4.4855,3.9355001,4.3355,4.0355,3.4854999,3.4854999,3.2855,3.0855,2.9854999,2.6855,2.3355,2.5855,2.5855,2.7855,3.0855,3.2354999,3.0355,2.6355,2.2855,2.1355,2.0355,1.9855,1.9355,1.8355,1.8355,1.8855,1.9855,1.9855,1.8855,1.6855,1.5354999,1.3855,1.3355,1.4354999,1.9855,2.7354999,3.2855,3.5355,3.5855,3.5355,3.2855,2.9355001,2.6855,2.6355,2.6855,2.7354999,2.7855,2.8855,2.9854999,3.1355,3.3355,3.4854999,3.6355,3.7855,3.9355001,4.0355,4.1355,4.2855,4.6355,5.0355,5.4355,5.8355,6.1355,6.3355,6.2855,6.0355
2025-11-11 00:56:36+00:00,2025-11-11 00:00:00+00:00,7.4195,6.8694997,6.9695,6.8195,6.3694997,6.3195,5.9695,5.5195,6.2695,6.0195,5.5695,5.4195,5.3694997,5.1695,5.0195,4.9695,5.5195,7.5695,9.5695,10.5695,11.1195,11.3195,11.269501,10.719501,8.8695,7.9695,7.0195,6.7195,6.5695,6.9195,7.0695,7.6194997,7.8694997,8.4195,8.8195,8.719501,8.6195,8.1195,8.2695,8.4195,8.8695,10.269501,11.6695,12.285501,13.1355,13.2355,13.1355,12.2355,9.7355,8.8855,8.2355,7.7855,7.4354997,7.1355,6.7355,6.4855,6.2355,5.9855,5.7355,5.6355,5.4855,5.3855,5.9354997,6.2855,8.6355,11.085501,12.8855,14.585501,14.335501,15.3855,11.785501,11.9355,10.585501,9.2355,8.8855,9.285501,9.6855,9.3855,8.4355,9.035501,8.6355,8.785501,8.6855,8.1855,8.6855,8.6855,8.9355,8.9855,8.5855,8.1855,8.535501,7.8355,7.5855,7.5855,7.7355,7.7855,7.3855,6.9855,6.5355,6.2355,5.1355,3.2354999,2.6355,2.5855,2.3855,2.0855,1.9355,1.8855,1.5855,1.1355,0.93549997,0.7855,2.7354999,5.1855,7.3855,8.4855,9.035501,9.1355,8.535501,7.4855,6.5355,5.9354997,5.4355,5.0855,4.9855,5.0355,5.0355,4.8355,4.5855,4.4355,4.5355,4.7855,4.9855,5.1355,5.3355,5.4855,5.6855,5.8855,6.0855,6.2355,6.3855,6.4855,6.5855,6.6854997,6.7355,6.7355,6.6355,6.3855,5.8355,5.1855,4.5355,4.0355,3.5855,3.2855,3.1855001,3.2354999,3.2354999,3.1355,3.0355,2.9854999,2.9355001,2.9854999,3.0355,3.3355,3.6855001,3.6855001,3.0855,2.1355
2025-11-12 00:57:41+00:00,2025-11-12 00:00:00+00:00,8.469501,7.1695,6.6695,6.0695,5.9195,5.9195,6.2195,6.5695,7.0695,7.7695,8.1695,8.5195,8.6695,8.5695,8.719501,8.769501,9.0695,10.469501,11.6195,13.969501,14.969501,15.1195,14.8195,14.0695,12.6695,11.969501,11.5695,11.1195,10.769501,10.6695,10.6695,10.469501,10.0695,10.269501,10.3195,10.269501,10.1695,9.969501,9.8195,9.219501,9.719501,10.6195,12.0695,17.935501,18.2355,17.6855,16.1355,12.9355,10.4855,9.8855,9.9355,10.035501,10.1855,11.535501,10.8855,11.6855,10.9355,10.585501,9.7355,8.9855,9.0855,8.0855,8.5855,7.8355,7.3355,7.7355,7.8855,7.9855,8.2355,8.1855,8.0855,8.0855,7.5855,7.3355,7.0855,7.0355,6.7855,6.4354997,6.1854997,5.8855,5.5355,5.3355,5.1855,5.1855,5.7355,6.1355,6.1854997,5.9855,5.9354997,5.9354997,6.1355,6.3855,6.5855,6.6854997,6.8855,6.8855,6.8355,6.8355,6.8855,6.8855,6.9354997,6.9354997,7.0355,7.1355,7.1355,7.1854997,7.2355,7.2355,7.2855,7.3855,7.3855,7.4855,7.8355,8.3855,8.785501,9.3855,10.085501,10.3855,10.1355,9.535501,8.9355,8.285501,7.6355,7.1355,6.9855,6.9855,6.8855,6.5355,6.0855,5.9354997,6.4855,7.3355,7.8355,7.3855,6.5855,6.2355,6.9354997,8.1855,9.1855,9.835501,10.285501,10.3855,9.835501,8.8855,8.1855,7.9354997,7.8855,7.8355,7.6854997,7.5355,7.3355,6.9855,6.5855,6.1355,5.6355,5.1355,4.6855,4.2355,3.8354998,3.5855,3.5355,3.6855001,3.9854999,4.7855,5.7855,6.0855,5.0355,3.3355
2025-11-13 01:13:17+00:00,2025-11-13 00:00:00+00:00,11.719501,11.219501,11.1695,10.219501,9.969501,9.8695,10.019501,9.769501,9.769501,10.9195,10.269501,10.019501,10.3695,10.719501,9.719501,9.6195,9.769501,11.6195,13.4195,15.3695,16.5195,16.7695,16.4695,15.0695,14.019501,12.3195,11.6195,10.9195,10.6195,9.969501,10.4195,10.6195,10.269501,10.1695,9.5695,9.219501,8.8195,8.5195,8.4195,8.0695,8.0695,8.1695,8.5195,8.8355,8.8355,9.4855,9.2355,9.1355,8.8855,7.9855,7.8355,8.035501,7.5355,6.6854997,6.4855,6.6355,6.5355,6.7355,6.8355,6.7855,6.7355,6.6854997,6.5355,6.4354997,6.4354997,6.4855,6.6854997,6.9855,7.0855,7.2855,7.5355,7.2355,7.0355,6.9354997,6.8355,6.7855,6.8355,6.8855,6.8355,6.8855,6.8855,6.7855,6.8355,6.7855,6.7355,6.8355,6.9354997,6.8855,7.4855,8.4355,8.9855,9.7355,10.3855,10.535501,10.6855,10.085501,8.1355,7.3355,6.9354997,7.3855,7.7855,7.7855,7.6854997,7.6355,7.7855,7.8355,7.8855,7.7355,7.8355,7.9354997,7.9855,8.035501,8.4355,9.3355,10.1355,10.835501,11.4355,11.6355,11.1355,10.285501,9.5855,9.3355,9.3355,9.2355,8.9855,8.7355,8.4855,8.4355,8.4355,8.2355,7.6854997,6.9354997,6.1854997,5.4355,4.6855,4.1855,4.0355,4.1355,4.1355,3.9854999,3.7354999,3.5355,3.3855,3.1855001,3.0355,2.8855,2.6855,2.4355,2.0355,1.5855,1.1355,0.7855,0.43550003,0.23549998,0.23549998,0.3355,0.38549995,0.13549995,-0.21450007,-0.114500046,0.88549995,2.3355,3.4355001,3.9854999,4.2355,4.1355,3.5355,2.6355
2025-11-14 00:57:54+00:00,2025-11-14 00:00:00+00:00,11.3195,11.3195,11.3195,10.969501,10.5695,10.1695,9.519501,9.469501,9.1695,8.719501,8.6195,8.6695,8.1195,7.4695,6.8195,7.0195,7.3195,8.219501,8.6195,9.0695,9.6695,9.6195,9.3195,8.6195,7.8195,7.3195,7.4195,7.2195,7.1194997,7.1194997,7.0695,7.1194997,7.1695,6.9695,7.0695,7.0695,7.1194997,7.1695,7.1695,7.0695,7.2195,8.469501,9.519501,7.7355,7.8855,7.9354997,8.035501,8.1355,7.8855,7.8355,7.8355,7.7355,7.6854997,7.6355,7.6355,7.0355,7.4855,7.3855,7.3855,7.3355,7.2355,6.3355,6.9354997,7.0355,7.5355,9.0855,9.835501,11.6855,12.4355,12.6855,12.585501,11.285501,8.9355,7.7355,7.2355,6.8855,6.7355,6.8355,7.1854997,6.7355,6.4855,6.5355,6.9855,7.1854997,7.0855,6.4354997,5.5355,5.9354997,7.4354997,7.4855,7.7355,8.4855,9.1855,8.8855,8.4355,8.1355,7.9354997,7.7855,7.7355,7.5855,7.6854997,7.6355,7.5355,7.3355,7.2855,7.2355,7.2355,7.2355,7.1854997,7.0355,6.8855,6.7355,6.8355,7.1854997,7.5355,7.7855,7.9855,7.9855,7.6355,7.1355,6.6854997,6.4855,6.3855,6.2855,6.2355,6.1355,6.0355,5.8355,5.5355,5.2355,4.8855,4.5855,4.2855,4.0855,3.9854999,3.8855,3.8354998,3.8354998,3.8354998,3.7354999,3.6355,3.5355,3.3855,3.2354999,3.1355,3.0855,3.0855,3.0355,2.9355001,2.8855,2.7855,2.7354999,2.7354999,2.6855,2.6355,2.6355,2.5855,2.5355,2.4854999,2.5355,2.6855,2.9355001,3.2354999,3.7855,4.4355,4.7855,4.5855,4.0855
