forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:43:18+00:00,2025-11-05 00:00:00+00:00,907.87305,907.1877,906.0835,905.0097,904.8001,903.85895,902.42615,901.5777,900.36,899.6622,899.0532,898.4313,897.968,897.93036,897.8093,897.56726,897.306,898.0376,899.02893,899.9719,900.4057,900.76263,901.763,902.51624,902.7185,903.04065,904.2366,904.69556,904.6383,905.422,905.9183,906.4321,906.5444,907.24994,907.9931,908.4846,908.7362,909.83276,910.7274,911.01605,911.8413,912.9561,913.4092,913.04254,912.69116,912.90656,912.33594,911.5328,909.8138,908.154,907.9312,907.805,907.9931,907.8998,907.46893,907.11316,906.89307,906.91174,906.57935,906.4154,906.7289,906.98663,906.72406,907.1263,907.4301,907.6513,908.2198,907.68823,907.40784,906.8727,906.51587,906.3372,906.10284,905.8884,906.37366,906.70386,907.3082,907.9414,908.2509,908.4459,908.6578,909.1276,909.229,909.5464,909.9907,910.6827,910.9231,911.6668,912.49835,912.6525,912.8345,913.0498,912.41986,912.3904,912.125,912.2486,912.045,912.5403,912.8819,913.1892,913.5336,913.9532,914.08636,914.06085,913.98444,914.1552,914.04016,913.94415,914.33795,914.45044,914.3344,914.75555,915.4831,915.87366,916.0624,915.82635,915.25964,914.778,914.3498,914.0084,913.824,913.85034,913.9254,914.0703,914.14685,914.11884,914.12744,914.08435,914.0087,913.9142,913.7114,913.4388,913.27374,913.29913,913.45105,913.5913,913.90796,914.29333,914.3832,913.9744,913.2195,912.5191,911.8444,911.2434,910.7625,910.6528,910.7551,910.7498,910.60364,910.45984,910.20844,909.88336,909.36163,909.05457,908.89154,908.74725,908.6395,908.5287,908.5435,908.5505,908.7143,908.8885,908.7067,908.08954,907.14874,906.2145,905.36456,904.4318
2025-11-06 02:36:58+00:00,2025-11-06 00:00:00+00:00,902.2921,902.35645,903.271,903.44336,903.34485,903.58606,904.99115,906.396,906.51355,907.1363,907.6691,908.20264,908.29156,909.1241,909.44763,910.2022,911.52844,912.42413,912.7963,912.89294,912.0255,912.06335,911.67194,910.9212,909.5524,908.50275,907.0278,906.23004,905.8044,905.3482,905.2217,905.2854,904.7581,904.6808,904.5974,904.84534,904.6752,905.09314,905.1873,905.31055,905.84344,907.02313,907.81226,908.2022,908.6256,909.5228,909.91644,910.2549,910.0106,906.822,906.9112,907.1225,907.3735,907.93335,908.2578,908.56885,908.7207,909.13904,909.25903,909.16296,909.9239,910.2833,910.69995,911.3683,912.5181,912.8954,913.35016,913.3692,912.5586,912.33307,912.2282,912.4222,911.9817,912.507,913.1757,913.50134,913.8581,914.2386,914.2634,914.21796,914.2225,914.76697,914.9869,914.6736,914.5573,914.8149,914.7759,915.5924,916.48676,916.8307,916.8345,916.62225,915.9888,915.58136,915.40295,915.3845,914.7464,914.638,914.64185,914.5216,914.5871,914.63385,914.4319,914.2298,914.2055,914.149,913.8063,913.57855,913.37524,913.369,913.33716,913.49554,913.92664,913.87634,913.6639,913.1177,912.2962,911.5439,910.8855,910.20935,909.6718,909.3652,909.28925,909.1598,908.9245,908.7621,908.5813,908.31134,908.1487,907.9491,907.8721,907.79425,907.75323,907.801,907.8338,907.8981,908.0861,908.2815,908.2603,907.8935,907.2235,906.64996,906.05237,905.45776,905.10626,904.9995,905.051,905.1551,905.17017,905.1685,905.0776,904.9501,904.804,904.71246,904.5866,904.47925,904.47925,904.65454,904.82983,905.121,905.56445,906.0161,906.1848,905.7795,905.018,904.29956,903.8078,903.46454
2025-11-07 02:33:37+00:00,2025-11-07 00:00:00+00:00,910.5839,908.90234,907.11206,906.7336,905.5565,906.40204,907.1828,907.02466,905.1772,905.245,905.4694,905.6149,904.5221,904.4437,904.33844,904.8883,905.46466,907.5259,908.47675,908.7953,909.4404,909.2592,909.3483,909.0626,908.7426,908.6103,908.213,907.6768,907.46246,907.8176,908.4257,908.423,908.1716,908.02747,908.0793,907.9422,907.94336,908.1605,908.43646,908.6926,909.7391,911.411,912.25446,912.45776,912.13293,912.19604,912.37866,912.18195,911.21783,912.67456,913.51465,913.78827,914.35925,914.7652,915.056,915.1881,915.2614,915.01764,915.1678,915.0399,915.2785,915.5555,915.8022,916.46075,917.4456,917.8007,918.12195,917.8724,917.25586,916.72296,916.5629,916.6517,915.88403,915.9334,916.11804,916.03894,915.94073,915.89844,915.75275,915.4429,915.254,915.03235,914.96936,914.7214,914.5436,914.1501,913.9342,914.0861,914.78864,914.8621,914.64777,913.88525,912.8144,911.9737,911.32996,910.8686,909.72406,909.6419,909.61615,909.3433,909.41406,909.01434,908.73987,908.2393,908.0057,907.7718,907.63104,907.43445,907.5048,907.27106,907.1821,907.4568,908.45087,908.5499,908.3485,907.88885,907.17706,906.40356,905.77374,905.27454,904.83716,904.69635,904.713,904.7467,904.7454,904.7454,904.8166,904.9936,905.1339,905.2032,905.0756,904.877,904.78577,905.0135,905.3669,905.8545,906.4403,907.1214,907.4469,907.2319,906.58795,906.09827,905.6674,905.1915,904.95575,905.0513,905.392,905.7125,905.97845,906.22705,906.386,906.5086,906.5413,906.5738,906.4278,906.2812,906.24194,906.3955,906.5667,906.8589,907.11414,907.4607,907.4969,907.1873,906.66437,906.1184,905.65106,905.2138
2025-11-08 02:22:00+00:00,2025-11-08 00:00:00+00:00,908.7006,907.6913,908.12885,908.34814,907.9828,907.42413,907.70795,908.3651,908.1716,908.5462,908.7543,908.31323,908.18756,907.7662,908.6138,909.30273,910.7851,912.16034,913.37317,913.6472,913.4482,913.59717,913.706,913.1877,912.2066,911.8888,911.9161,912.03345,911.57355,910.9434,910.82874,910.7024,910.4862,910.43713,910.6439,910.51495,910.64197,910.57745,910.6142,910.6059,912.55225,914.8382,916.09265,916.61664,916.76355,916.7608,916.7762,916.2061,914.83356,915.0897,915.2763,915.23584,915.08704,915.0456,915.02264,914.6434,914.54956,914.5121,914.0248,913.41046,913.38617,913.1515,913.0058,913.1757,913.85516,913.8894,913.61725,912.7601,911.4507,910.4972,909.8916,909.3807,908.3893,908.29645,908.45276,908.20184,908.125,908.1543,908.24054,907.93384,907.6972,907.49744,907.40466,906.99316,906.93365,906.8593,906.7518,907.23785,908.4289,908.727,908.28015,908.14606,907.45953,906.93835,906.56354,906.35754,905.5525,905.58496,906.11584,906.0941,906.0213,906.00507,906.0234,905.66034,905.4771,905.51105,905.5421,905.4498,905.6244,905.6026,905.75824,906.4036,907.39606,907.6043,907.65186,907.24634,906.67847,906.0837,905.8257,905.53864,905.4766,905.5161,905.76654,905.8893,906.01154,906.09753,906.13043,906.1812,906.26794,906.3546,906.4045,906.43536,906.5215,906.8374,907.18976,907.60815,908.07635,908.5855,908.7344,908.4456,907.81476,907.1072,906.4262,905.75635,905.2377,905.17377,905.3377,905.4632,905.4811,905.5524,905.713,905.9985,906.2833,906.5333,906.4802,906.20996,906.04474,905.86316,905.8086,905.79565,906.0699,906.5578,906.462,905.62537,904.33527,903.2535,902.45337,901.8327
2025-11-09 02:42:52+00:00,2025-11-09 00:00:00+00:00,912.27423,911.81366,911.7348,911.67804,911.2727,911.0842,910.0812,909.9045,909.8061,909.9441,910.1113,910.11005,909.6912,909.9457,910.3968,910.9403,912.77966,914.56024,915.7967,916.5029,916.53125,916.8346,916.8687,916.352,914.91943,914.0155,913.341,912.7058,912.40204,912.28107,911.9481,911.3922,910.6879,910.2465,909.78485,909.20416,908.9481,908.89935,908.604,908.5348,909.7628,911.16327,912.3421,912.7478,912.70526,912.69354,912.4175,911.8494,910.58575,907.88776,908.00995,908.0615,908.05804,907.9629,907.83215,907.6298,907.556,907.7492,907.76447,907.3864,907.2937,907.1488,907.0373,907.5272,908.43286,908.60333,908.171,907.87604,907.0477,906.2206,905.5606,905.17413,904.1771,903.6079,903.85785,904.0177,903.73,903.42413,903.26135,903.0632,902.9903,902.8486,902.75323,902.66156,902.6957,902.88934,903.1015,903.3007,904.2478,904.7449,904.7646,904.25464,903.3714,902.88257,902.55945,902.09265,901.4892,901.31934,901.46655,901.1827,900.71814,900.6455,900.37646,899.8561,899.44366,899.4302,898.35486,897.9059,898.03937,897.15704,896.5659,896.1572,896.1709,896.0029,895.65265,894.4717,892.95984,891.54645,890.3772,889.4293,888.81616,888.7609,888.9698,889.2456,889.18427,889.1479,889.2867,889.92377,890.9209,891.77277,892.34595,892.87213,893.45123,894.23975,895.1979,895.89545,896.4401,896.7411,896.8959,896.7266,896.34174,896.0936,896.2447,896.42316,896.70667,896.8287,896.94885,897.0932,897.1246,897.14355,897.309,897.67145,898.0527,898.34467,898.3705,898.218,898.294,898.5923,899.04926,899.4425,899.96204,900.43335,900.68115,900.3111,899.7215,899.32855,899.40295,899.6924
2025-11-10 02:35:53+00:00,2025-11-10 00:00:00+00:00,914.47217,913.1215,912.6382,912.00146,911.6716,910.77826,910.2799,910.8071,910.0992,909.4207,909.11615,908.37714,907.5495,907.51984,907.5982,907.6947,908.9901,910.1509,911.18994,911.65784,911.9054,912.05725,911.9462,911.2553,910.0168,909.3368,908.46967,907.9134,907.65594,907.5716,907.7336,907.53125,907.27167,907.45624,907.7671,907.5566,907.5037,907.4963,907.43835,907.2722,907.9957,909.5412,910.4258,910.5689,910.15,909.7298,909.13336,908.1533,906.3194,904.51733,904.48016,904.58545,904.6732,904.4573,904.2624,903.9559,903.9358,903.7008,903.78516,903.5389,903.6569,903.7615,903.70917,903.6202,904.4768,904.838,904.9155,904.2953,903.51227,903.07855,902.6659,902.1133,901.4932,901.2159,901.37823,901.2002,900.558,900.21716,899.6793,899.1418,898.6254,898.0495,897.24805,896.661,896.19763,896.1661,896.4187,897.0631,897.2208,896.1604,895.75464,895.6113,894.2955,893.5735,892.9229,892.2377,891.2667,891.09106,891.7074,892.6986,892.73553,892.7812,893.4617,893.1709,893.5994,893.5788,893.5829,894.3692,895.0523,895.19617,895.8386,896.39105,897.1072,897.11053,897.1578,896.97473,896.5753,896.401,896.44946,896.61487,896.849,897.0051,897.20953,897.5827,898.1919,898.865,899.3537,899.25867,898.87067,898.6792,898.8612,899.2199,899.7524,900.5166,901.34503,902.1014,902.6583,903.0355,903.2463,903.2362,902.9548,902.8843,903.00665,903.23206,903.4943,903.83167,904.27637,904.5617,904.777,904.9222,904.9407,904.72534,904.3653,904.0796,903.8173,903.50305,903.29205,902.99805,902.7172,902.5208,902.5803,902.6433,902.444,901.6461,900.57446,899.66156,899.0383,898.57733
2025-11-11 02:24:12+00:00,2025-11-11 00:00:00+00:00,909.638,907.876,908.5643,907.708,907.96875,907.59045,908.1271,907.932,906.6749,906.8459,906.87726,906.58453,906.32996,906.1064,906.168,906.3767,907.51324,909.15985,910.18994,910.6062,910.351,910.0222,909.4642,908.48615,906.98315,906.126,905.23987,904.0753,903.4227,903.1618,902.8531,902.1457,901.8173,901.6718,901.494,901.38635,900.96295,900.6147,900.8621,901.12866,902.3239,903.8346,904.8945,905.3541,905.3953,905.2711,904.8192,903.3939,901.73444,902.4473,902.69806,902.8592,902.5549,902.49927,902.31866,902.06665,901.90314,901.6686,901.32587,900.76825,900.388,900.34814,900.0964,900.333,900.74695,900.80725,901.0328,900.48065,899.4922,898.167,897.63574,896.9518,896.3089,896.2985,895.86115,895.9131,895.30286,895.05664,894.3522,894.3171,894.6205,894.29944,894.7454,894.4238,894.5828,895.0111,894.9931,895.8841,896.43195,895.5976,896.05817,896.7621,896.4927,896.8876,896.495,897.1751,896.723,897.41437,897.76434,898.35034,898.7616,899.1913,899.1913,899.40607,899.5472,899.6514,900.04425,900.3817,900.9157,901.14575,901.4459,902.0503,902.5612,902.9678,902.994,902.58844,901.9486,901.3962,901.18115,901.0518,900.9903,901.01416,901.1048,901.23346,901.2805,901.2805,901.26184,901.1354,900.9905,900.864,900.7001,900.62476,900.5359,900.59247,900.7237,900.9337,901.29663,901.7451,901.8416,901.36066,900.5383,899.69916,898.89874,898.15076,897.59503,897.50073,897.6183,897.6997,897.51575,897.1901,896.9905,896.8793,896.7678,896.5674,896.189,895.81024,895.539,895.478,895.5055,895.796,896.55286,897.45355,898.0185,897.8781,897.395,897.1247,897.26215,897.50336
2025-11-12 02:27:16+00:00,2025-11-12 00:00:00+00:00,906.94836,905.7258,904.7479,904.92456,903.04944,902.5903,902.50964,901.7176,901.5849,901.3823,901.192,901.0651,900.59546,900.519,901.05865,901.0967,902.1319,903.5065,904.3966,904.9643,905.43146,905.66156,905.7648,905.11786,904.42444,903.96906,903.95026,903.9117,903.732,903.35297,902.31,901.0554,900.9534,900.825,900.4346,899.77765,899.2679,898.9865,898.7792,898.5391,899.6153,901.61444,903.231,903.10004,902.2922,901.84973,901.1773,900.0443,898.02423,897.84796,898.1334,898.24634,898.3707,898.51025,898.5275,898.6364,898.3584,898.61096,898.66797,898.36346,898.3447,898.3598,898.802,899.60535,900.6827,901.0023,900.9943,901.01825,900.29486,899.66614,899.539,899.52856,899.2666,900.1432,900.2706,900.64764,900.9856,901.4477,901.8923,901.8718,902.01044,901.73914,901.82605,901.53815,901.821,901.6585,901.5482,901.7633,902.6207,902.80554,902.8908,902.0988,901.30597,900.51404,899.67566,899.00665,897.70386,896.97296,896.5248,896.4152,896.21735,896.03595,895.3925,894.8745,894.46136,894.0139,893.42236,893.027,893.1709,893.5551,893.4661,893.39545,893.75525,893.84595,893.8657,893.8693,893.72894,893.64,893.7292,893.7824,893.9419,894.1704,894.43115,894.6553,894.9352,895.18066,895.4629,895.6744,895.81537,895.95624,896.16766,896.3605,896.5899,896.9789,897.4938,897.94666,898.464,898.98016,899.3268,899.292,899.07465,898.85724,898.69775,898.59424,898.57855,898.77484,899.0412,899.2711,899.4648,899.60535,899.85266,900.13605,900.4196,900.7574,901.04297,901.18665,901.472,901.75543,902.0908,902.4311,902.85034,903.3572,903.4832,903.1251,902.37415,901.74945,901.26996,900.8972
2025-11-13 02:44:55+00:00,2025-11-13 00:00:00+00:00,903.7,902.21594,901.7153,900.6313,900.9941,900.4002,900.25085,899.9182,899.5091,899.6374,899.51697,899.244,898.59674,898.55164,898.8685,899.1156,900.0668,901.6133,902.8804,904.0221,904.2068,904.09143,903.6626,902.3846,900.36505,899.2963,898.38434,897.9156,897.42847,898.2412,898.9924,899.8664,900.2948,900.68726,899.8255,899.8735,899.7327,900.2667,901.2119,901.4943,902.3256,904.2547,905.89026,905.3859,905.4795,905.9738,905.7056,905.0425,904.4905,901.337,901.4323,901.73456,902.2859,902.3018,902.3339,902.883,902.7188,902.9154,902.93365,902.447,902.76654,902.4046,902.6687,902.5979,903.61774,903.5724,903.3565,902.88666,901.75494,900.6437,899.6958,899.1453,897.82684,897.1344,896.5451,896.31323,895.8502,895.6188,894.95935,894.8524,894.5668,894.24365,894.15344,893.689,893.24365,892.8721,892.3729,892.05164,891.99915,892.3208,892.8379,892.55206,892.01715,892.1248,892.03564,892.2139,892.33594,892.68335,893.1262,893.6785,894.0366,894.1943,894.3356,894.5136,894.63934,894.7647,894.8537,894.58453,894.70764,894.81494,894.9562,895.1682,895.5425,895.6682,895.70496,895.4379,895.082,894.81494,894.70764,894.6892,894.7599,895.0452,895.4379,895.70496,895.86456,896.0058,896.02136,895.94446,895.9192,895.89703,896.07874,896.33417,896.56726,896.8606,897.1483,897.53204,898.1868,898.9361,899.4643,899.62683,899.66046,899.74365,899.9964,900.3305,900.82416,901.4346,902.22833,902.8818,903.4655,903.9794,904.4742,904.8418,905.08185,905.30255,905.48425,905.6263,905.84515,906.1224,906.5661,906.96857,907.6036,908.2627,908.50543,908.06036,907.2899,906.56476,906.115,905.7297
2025-11-14 02:28:25+00:00,2025-11-14 00:00:00+00:00,899.24426,897.4175,896.9237,897.77795,897.52783,896.996,897.40564,897.79736,898.82764,899.15283,898.90326,898.6479,898.92395,899.9008,900.7726,900.70514,901.15985,902.3604,902.5775,903.0533,903.12335,902.9967,902.2622,902.0188,902.1837,903.0417,903.3978,903.00415,902.65027,903.1664,904.3286,904.4885,903.9101,903.17426,903.16614,902.9981,902.6603,902.4795,902.07404,901.998,903.1946,904.774,905.51984,905.5382,905.21173,904.59717,903.769,902.69696,901.0735,898.6675,898.3269,897.9322,897.4841,896.9663,896.51935,896.0212,895.8821,895.64844,895.1125,894.5086,894.2414,894.09937,893.74414,893.37085,893.0509,893.24725,893.3916,892.96265,892.2201,891.3722,891.0535,891.77216,891.0714,891.0905,890.87665,891.5367,891.9643,892.74866,893.1746,893.74414,893.8657,894.2912,894.5386,894.6781,895.4631,895.5658,895.8487,896.12866,896.21765,896.16833,896.1753,895.5867,895.18164,895.0464,894.9052,894.81573,894.2219,894.34216,894.53644,894.71234,894.40125,894.30304,894.2072,894.343,893.9034,893.91406,893.9474,893.75104,893.79376,893.93884,894.6254,894.8964,895.37054,895.7806,896.077,895.86633,895.4395,895.1722,895.11743,895.20306,895.28723,895.35144,895.503,895.58203,895.71515,895.7774,895.98346,896.1565,896.3668,896.66614,896.984,897.30176,897.70844,898.2036,898.78796,899.2834,899.6007,899.93713,899.9881,899.75336,899.42975,899.2711,899.46106,899.83325,900.14276,900.1887,900.08307,900.0707,900.1595,900.4323,900.559,900.5529,900.5972,900.5335,900.3802,900.20746,900.07275,900.204,900.3543,900.6091,900.925,901.14307,901.1908,900.79846,900.2406,899.7483,899.46265,899.22504
