forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:14:42+00:00,2025-11-05 00:00:00+00:00,337.1663,360.0,360.0,81.46932,51.952908,46.39711,42.27363,30.579157,32.275623,61.389645,62.525658,70.01681,64.23073,63.435013,71.564964,106.38962,126.86999,90.0,249.44388,245.22488,239.74365,227.72636,240.2552,219.80553,248.19853,249.44386,61.69934,315.0001,67.61982,49.398785,302.47116,26.564985,321.34018,350.13425,321.34018,293.1986,307.40543,230.19447,70.70986,25.346138,352.5687,331.38962,291.4478,230.44037,235.71307,231.009,231.7098,212.27562,204.22774,182.4895,174.2895,177.13765,169.21574,154.65387,167.73524,177.6141,182.29056,184.57384,190.3048,192.80426,197.6502,200.85454,192.26476,189.0902,187.85323,208.7397,220.23628,232.35231,260.2725,250.70985,266.82022,270.0,260.53775,228.81418,187.12492,157.3801,161.56496,140.71062,140.71062,126.027466,114.44395,118.61037,102.99462,120.96369,108.43504,114.44395,98.74608,101.3099,116.56499,180.0,146.3099,168.69011,170.53775,212.00534,174.2895,150.2552,143.13002,126.027466,115.01687,125.537766,115.01687,132.5104,120.963684,129.80553,130.23628,118.30067,129.80553,140.71062,135.0001,135.0001,129.80553,127.568665,157.3801,175.23645,180.0,192.99461,204.77512,204.77512,194.03627,163.30067,138.36655,126.86998,122.73522,119.357666,122.00535,128.15727,132.70937,132.70937,132.70937,130.60121,128.65984,126.86999,126.86999,130.91429,137.12111,143.74608,153.43501,169.3804,183.3664,197.52567,207.64589,209.4758,203.49858,190.3048,177.27374,165.96373,158.19853,152.24155,148.57048,150.9455,149.53453,147.09476,147.09476,144.78232,140.90616,135.0001,132.87889,130.91429,130.91429,135.0001,148.39255,175.60138,199.65392,207.89717,211.75943,208.44283,198.43504,180.0
2025-11-06 00:59:30+00:00,2025-11-06 00:00:00+00:00,324.46225,278.13,325.0079,8.426887,28.610369,355.91446,8.426887,343.0724,4.085537,329.9315,346.60748,331.9276,329.03632,52.124958,340.0168,3.0127327,15.255177,271.73566,264.80566,268.09088,263.6599,260.21765,263.88458,258.11136,25.346138,309.09384,351.57312,360.0,360.0,1.9748993,353.88458,354.09393,4.23632,345.9637,351.87,340.70987,291.80148,249.44386,263.6599,283.627,296.56497,290.0953,277.1249,254.74483,251.56496,248.6293,259.69522,270.0,259.69522,153.43501,131.98714,139.76372,127.568665,130.60121,115.01687,111.03758,113.19862,113.19862,114.775116,105.945465,111.03758,114.775116,112.61991,98.74608,122.00535,105.945465,210.96368,153.43501,170.53775,221.18582,180.0,168.69011,105.945465,97.12492,107.35411,109.440125,115.01687,116.56499,116.56499,119.74479,124.69522,132.27362,140.19447,124.69522,132.27362,132.5104,122.73522,129.80553,151.38963,180.0,180.0,198.43504,208.30066,219.80553,210.96368,185.19434,143.13002,122.73522,123.6901,132.5104,137.29063,135.0001,137.12111,135.0001,141.34016,140.90616,141.34016,143.13002,140.90616,144.16226,144.78232,147.09476,157.1663,176.82024,192.80426,201.37068,207.55272,209.4758,204.44394,190.78426,177.13765,165.96373,154.65387,149.9315,148.57048,150.64235,151.92761,149.03632,146.3099,143.74608,145.49142,149.53453,150.9455,147.09476,143.13002,143.74608,161.56496,194.03627,214.50858,223.1524,228.57643,226.8476,214.50858,190.00792,170.53775,160.55988,153.43501,146.3099,143.74608,137.12111,137.12111,137.12111,137.29063,139.76372,139.39879,139.39879,139.08571,139.08571,139.08571,143.74608,156.3706,173.29025,189.46225,199.29015,203.49858,202.6199,194.62091,177.27374
2025-11-07 00:57:25+00:00,2025-11-07 00:00:00+00:00,296.56497,345.3791,345.9637,355.60138,347.00537,322.69595,330.5242,338.6293,347.4712,352.14676,344.47583,322.59457,237.09476,281.3099,268.02512,280.30478,290.55612,292.98874,280.49142,293.9625,296.0033,296.56497,293.9625,287.928,271.5911,282.68036,279.46225,236.3099,273.3664,282.5288,270.0,351.2539,4.398633,18.435053,16.699326,48.814175,57.528828,57.99466,60.255207,44.999897,69.44387,33.6901,18.435053,206.56499,180.0,171.86998,195.25517,281.3099,82.875084,93.012726,105.945465,110.55613,110.55613,122.471176,122.00535,137.72638,122.73522,132.5104,125.537766,137.72638,130.23628,120.963684,137.4896,135.0001,153.43501,189.46225,189.46225,213.6901,218.65984,221.98714,217.87505,200.55612,135.0001,123.6901,123.6901,123.6901,132.70937,130.60121,130.60121,137.29063,139.39879,139.39879,136.97493,137.12111,139.08571,140.90616,143.13002,149.53453,158.74942,173.99109,199.17911,206.56499,209.0545,214.28693,221.42357,203.9625,191.88864,165.96373,152.24155,162.3498,159.14546,162.3498,157.1663,166.60748,158.19853,153.43501,147.09476,147.99466,154.65387,150.9455,149.53453,149.03632,167.90526,186.70975,218.15727,227.12111,235.49141,233.74606,217.56866,190.6196,170.53775,158.74942,152.10283,145.49142,143.13002,143.13002,143.13002,143.13002,140.90616,140.90616,140.90616,138.81418,138.81418,136.8476,136.8476,138.81418,150.64235,172.87508,193.24052,203.9625,208.8107,207.64589,198.43504,177.13765,159.77505,148.57048,138.81418,133.1524,133.1524,133.1524,135.0001,135.0001,136.8476,136.8476,133.1524,131.42357,129.47243,129.47243,130.91429,137.12111,150.64235,170.53775,185.7105,197.52567,209.0545,215.21768,207.75845,195.94547
2025-11-08 00:52:30+00:00,2025-11-08 00:00:00+00:00,280.954,147.52882,94.76356,101.768265,93.57626,140.19447,262.23492,270.0,284.74362,296.56497,304.9921,116.56499,63.435013,47.290634,53.74608,59.53454,44.999897,341.56494,360.0,315.0001,284.74362,282.99463,283.57043,290.3232,311.18582,360.0,79.21575,58.570484,103.24053,79.69521,65.22488,69.67678,64.440094,58.240574,21.801476,57.528828,73.300674,70.46326,67.06787,60.255207,59.420856,42.27363,11.3098955,209.7448,229.39879,243.43501,236.3099,180.0,119.74479,116.56499,115.20109,119.74479,130.23628,137.72638,139.76372,139.39879,137.12111,139.08571,138.81418,140.90616,143.13002,145.49142,147.09476,148.57048,157.1663,180.0,203.49858,209.24873,213.6901,221.98714,235.49141,212.00534,198.43504,170.53775,171.02745,161.56496,156.80138,142.43134,147.99466,149.53453,153.43501,149.03632,150.64235,147.26479,144.46223,141.34016,132.27362,143.74608,206.56499,184.39862,224.9999,236.3099,275.19434,264.2895,255.96373,251.56496,128.65984,135.0001,132.87889,137.29063,126.25393,141.84273,144.46223,141.84273,153.43501,144.78232,135.0001,142.59457,139.08571,136.97493,136.97493,135.0001,151.92761,176.6336,196.38962,207.89717,216.86998,219.09384,210.46547,192.5288,176.98727,164.47583,152.10283,143.13002,140.90616,140.90616,140.90616,140.90616,140.52757,140.52757,140.52757,144.16226,144.16226,140.19447,136.63654,139.89915,160.0168,186.3401,204.14554,216.86998,229.39879,232.81522,223.66785,198.43504,175.42616,166.50426,162.25523,160.20103,155.37645,149.42085,146.3099,150.5242,157.8336,166.42955,180.0,197.81898,207.40749,204.62355,193.39252,182.86235,182.60251,188.74608,194.03627,204.62355,219.80553,228.57643,221.42357,208.61037
2025-11-09 00:58:42+00:00,2025-11-09 00:00:00+00:00,70.01681,50.710617,81.25392,59.93151,67.83361,69.67678,72.25524,50.440376,60.524208,62.525658,63.435013,75.37909,67.83361,61.821507,71.564964,69.86362,66.2505,59.53454,26.564985,360.0,329.03632,284.03625,278.74606,283.24054,306.25394,159.44388,77.4712,70.01681,59.03632,77.19574,74.74483,71.564964,71.564964,65.37646,59.53454,18.435053,63.435013,24.443953,12.528798,301.60745,44.999897,72.89719,345.9637,218.04709,229.18501,226.39711,224.9999,230.90614,227.4896,186.70975,194.7436,194.93147,176.82024,173.99109,172.87508,168.69011,158.96242,154.98314,158.96242,155.22488,150.2552,156.80138,155.22488,149.74365,167.90526,193.24052,224.9999,227.29063,236.3099,228.57643,230.90614,214.69522,186.00891,171.86998,162.47433,159.77505,158.19853,140.52757,147.09476,153.43501,148.57048,147.99466,137.12111,141.34016,140.90616,150.9455,147.09476,143.13002,156.3706,182.86235,201.03758,211.26367,223.7812,222.39738,217.6943,206.56499,174.55975,168.23174,158.62932,138.57643,146.3099,158.19853,143.13002,166.75948,196.82149,154.65387,170.21767,170.78905,159.44388,139.89915,127.875046,117.552734,115.55992,169.3804,181.16911,186.58185,191.09369,194.03627,194.67644,195.25517,192.5288,184.39862,173.6599,171.57312,182.4895,210.46547,230.90614,232.59457,224.9999,227.12111,261.2539,315.0001,331.38962,330.9455,310.60123,243.43501,228.36655,233.74606,236.97612,240.5242,245.22488,247.06787,241.38963,226.97493,208.07239,187.12492,173.29025,164.47583,171.46931,182.72626,190.3048,191.30989,192.5288,191.30989,188.74608,185.7105,186.3401,186.3401,190.3048,198.43504,216.86998,229.08571,235.0079,229.39879,219.80553,215.13428,211.60745,209.4758
2025-11-10 01:01:00+00:00,2025-11-10 00:00:00+00:00,71.564964,330.9455,6.3401003,51.842735,54.46224,62.24156,66.801384,69.44388,63.435013,71.564964,44.999897,35.537766,36.86999,321.34018,323.97253,21.801476,270.0,180.0,288.43503,295.5599,282.09473,276.91113,279.46225,296.56497,335.55606,339.6768,340.3461,336.8014,355.03033,355.42615,345.3791,346.75946,23.198618,28.072395,63.435013,76.60749,90.0,97.35229,106.38962,103.627014,80.53775,4.085537,327.52884,210.46547,205.34613,201.37068,201.37068,197.6502,162.47433,153.43501,149.03632,140.90616,144.78232,144.78232,136.8476,147.09476,147.09476,148.57048,135.0001,143.13002,142.59457,140.52757,135.0001,150.9455,154.7989,170.53775,184.76355,191.76826,194.93147,207.75845,214.11452,189.46225,167.73524,150.2552,140.52757,136.8476,144.16226,129.09386,129.47243,136.8476,133.02507,131.42357,123.02387,111.25058,135.0001,124.992096,123.690094,140.71062,177.13765,203.9625,195.94547,178.45187,162.75845,180.0,201.03758,182.4895,213.6901,224.9999,192.26476,206.56499,204.22774,250.70985,273.57626,289.6539,329.53452,345.06854,10.007925,306.86996,258.6901,206.56499,206.56499,205.34613,214.3804,235.6196,246.50142,253.49556,256.86597,256.86597,250.82089,232.43134,201.03758,183.3664,180.0,177.5105,177.27374,180.0,188.74608,206.56499,228.36655,235.0079,206.56499,158.19853,137.4896,130.60121,124.50858,128.15727,151.69934,190.6196,211.42952,219.47243,226.8476,228.81418,226.8476,219.80553,216.38445,215.83774,212.90524,209.35765,202.38017,198.43504,191.88864,188.97255,186.3401,183.17976,180.0,176.6336,173.29025,164.47583,157.1663,155.77226,161.56496,172.56868,180.0,186.1154,190.95403,191.9761,187.12492,178.0909
2025-11-11 00:56:38+00:00,2025-11-11 00:00:00+00:00,315.0001,332.52567,354.47253,352.40543,356.3087,6.0089183,41.42357,59.03632,26.564985,57.99466,93.691315,92.20255,98.61557,74.57778,62.354122,74.3577,61.92762,352.87506,321.34018,282.72437,279.7275,274.76355,268.4089,268.15244,319.0857,352.23492,12.094739,17.102825,9.462248,356.82022,334.65387,339.44388,340.3461,331.9276,360.0,36.38445,79.69521,21.801476,30.256361,44.999897,12.528798,19.983198,7.12493,200.55612,201.80147,209.0545,209.4758,192.80426,164.05453,149.03632,140.19447,135.0001,131.18582,136.97493,136.8476,131.18582,131.18582,136.8476,122.90524,125.21768,133.02507,122.27562,129.80553,125.537766,138.36655,156.80139,203.19862,185.85593,187.49576,201.19412,197.35411,153.43501,145.0079,138.99101,145.6196,143.61555,127.875046,166.60748,139.39879,188.74608,193.39252,180.0,189.46225,165.96373,199.44012,176.98727,217.87505,171.86998,145.49142,167.4712,190.78426,166.60748,169.3804,229.76372,263.6599,254.74483,279.46225,224.9999,216.02747,235.0079,208.61037,191.30989,218.65984,194.03627,192.09474,197.10281,168.69011,190.6196,183.17976,171.86998,195.94547,171.86998,198.43504,210.96368,220.60121,224.9999,227.12111,224.9999,217.56866,203.19862,187.59456,176.42374,169.99208,167.4712,164.47583,163.61038,162.64589,165.96373,169.3804,176.42374,183.57626,194.03627,197.35411,191.30989,180.0,176.186,183.17976,190.3048,193.49574,195.06854,195.6423,194.03627,189.86574,185.19434,177.27374,169.21574,161.56496,156.80139,154.5367,156.80139,159.14546,164.05453,169.6952,174.80566,180.0,185.44025,188.53069,190.78426,192.26476,196.69933,224.9999,296.56497,320.52756,325.6196,325.4914,324.46225,326.3099,325.4914
2025-11-12 00:57:43+00:00,2025-11-12 00:00:00+00:00,320.90613,355.03033,19.983198,90.0,60.255207,61.55718,69.775055,63.435013,61.55718,60.461315,59.03632,62.59251,63.435013,63.435013,65.37646,83.99109,81.86999,18.435053,69.44387,230.19447,234.86572,233.13002,240.75127,264.2895,270.0,312.8789,284.03625,296.56497,326.3099,113.19862,59.03632,345.9637,217.56866,228.17992,237.26477,218.2902,204.77512,285.94547,212.73521,78.6901,40.601215,20.323217,186.3401,197.41806,196.09088,196.09088,198.77812,202.24907,210.0685,195.25517,176.186,177.95464,183.69131,195.06854,202.8337,208.61037,177.5105,168.23174,173.41815,174.64427,167.66092,186.70975,175.23645,192.20045,193.24052,208.88649,210.1413,223.72705,221.34767,228.50363,238.13406,240.94548,239.53453,216.86998,217.56866,199.44012,180.0,180.0,173.99109,169.6952,162.3498,156.80139,157.75093,162.3498,160.70985,158.74942,174.55975,193.24052,191.88864,204.62355,235.49141,243.43501,239.03632,238.39255,221.18582,188.74608,175.60138,165.96373,167.00539,162.89719,167.00539,158.96242,149.74365,160.0168,156.80138,135.0001,120.96369,147.99466,143.13002,147.99466,180.0,195.94547,185.7105,176.186,180.0,191.30989,208.30066,221.98714,228.81418,243.43501,255.96373,224.9999,203.19862,190.3048,180.0,167.90526,165.06853,169.3804,176.6336,180.0,176.42374,168.69011,164.05453,165.06853,172.87508,176.6336,180.0,188.13002,197.10281,204.77512,214.69522,217.56866,219.28938,224.9999,229.39879,232.12495,233.97253,233.13002,239.0363,249.44386,258.6901,224.9999,195.94547,185.19434,188.74608,194.03627,199.44012,201.25058,201.25058,203.9625,209.35765,215.53777,220.23628,216.25392,209.0545,207.75845,212.00534,216.86998
2025-11-13 01:13:18+00:00,2025-11-13 00:00:00+00:00,305.53775,323.13,357.3975,52.431335,92.72626,81.46932,98.13002,111.03758,68.19853,78.6901,81.02746,63.435013,40.601215,345.06854,44.999897,32.471172,41.98713,23.198618,36.027473,198.43504,197.59251,198.03438,205.34613,223.36346,338.19852,333.43503,341.56494,334.53668,22.166399,47.72637,57.380775,51.34017,205.82094,349.69522,352.87506,360.0,270.0,302.1957,301.32864,345.4655,360.0,357.5105,360.0,200.55612,203.6294,222.27362,219.28938,238.67136,234.16226,216.86998,215.53777,208.07239,211.60745,219.80553,212.00534,210.96368,217.56866,209.7448,189.46225,183.814,165.96373,156.0375,150.64235,149.74365,171.86998,192.09474,208.07239,212.90524,222.5104,224.9999,221.18582,239.0363,26.564985,122.00535,131.63345,128.65984,109.98319,105.25517,124.992096,108.43504,118.61037,122.471176,108.43504,104.03627,105.25517,90.0,90.0,96.340096,116.56499,161.56496,224.9999,243.43501,239.0363,198.43504,169.99208,149.9315,143.13002,145.30478,155.22488,155.55606,140.19447,140.19447,185.7105,198.43504,191.30989,198.43504,198.43504,191.30989,187.12492,186.3401,185.19434,175.23645,170.53775,168.69011,167.4712,180.0,195.94547,209.7448,215.53777,220.60121,221.18582,224.9999,228.01286,227.72638,222.27362,216.02747,208.61037,210.96368,216.86998,224.9999,231.34016,258.6901,284.03625,303.6901,323.13,323.13,308.65982,293.1986,282.5288,275.7105,275.7105,275.7105,288.43503,302.00534,315.0001,322.12494,320.7106,323.13004,323.97253,325.0079,323.13,324.46225,324.46225,333.43503,21.801476,63.435013,79.69521,98.13002,168.69011,209.0545,208.30066,205.2011,204.22774,206.56499,208.61037,210.57915,209.7448,205.34613
2025-11-14 00:57:56+00:00,2025-11-14 00:00:00+00:00,3.3664,329.03632,5.4402504,5.4402504,21.370695,44.999897,198.43504,288.43503,246.80138,306.86996,300.25635,18.435053,338.19852,301.4295,313.26434,298.61035,288.43503,286.38962,265.48608,247.28555,280.30478,264.80566,267.27374,279.09018,343.3007,329.9315,321.70978,327.52884,357.70944,30.068504,37.875053,8.130019,6.3401003,5.4402504,343.73972,356.42374,38.157276,20.224945,360.0,360.0,5.19435,345.25638,329.03632,211.42952,216.86998,228.36655,296.56497,63.435013,116.56499,95.19434,101.3099,104.03627,85.60138,81.25392,94.08554,99.46225,102.99462,108.43504,99.46225,100.30479,105.25517,109.98319,105.25517,90.0,139.39879,123.690094,116.56499,116.56499,158.19853,167.4712,140.71062,143.13002,142.12495,135.0001,95.7105,122.00535,138.81418,100.30479,168.69011,166.75948,127.875046,183.814,196.38962,214.50858,214.69522,212.73521,224.9999,219.28938,219.28938,205.01686,224.9999,237.52882,250.0168,270.0,293.1986,299.74478,309.8055,326.3099,336.8014,354.80566,7.59456,10.61961,19.440128,16.389616,17.354122,12.094739,4.085537,360.0,3.5762644,6.70975,11.3098955,12.094739,22.61991,19.983198,5.19435,355.60138,349.3804,345.25638,345.9637,349.21573,351.87,354.55975,360.0,2.6025116,2.6025116,360.0,360.0,2.6025116,4.969664,4.969664,360.0,354.2895,351.02744,356.82022,10.007925,16.389616,13.240531,3.179772,356.98727,351.02744,348.11136,344.47583,345.9637,347.00537,349.69522,350.53775,351.87,352.87506,360.0,7.12493,11.3098955,8.746089,354.80566,343.3007,344.7448,347.00537,351.87,355.91446,4.085537,8.746089,5.19435,360.0,353.6599,355.23645,356.42374,356.98727,360.0,5.4402504
