forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:16:06+00:00,2025-11-05 00:00:00+00:00,982.27045,981.62885,981.76184,981.3025,979.7947,978.3315,977.7395,977.6427,976.9707,976.25397,976.09,976.3189,976.3597,976.7298,978.5883,980.4008,981.5596,982.6742,983.1584,984.5504,986.29333,987.4219,987.90265,988.1957,988.9743,989.51874,989.7887,990.2081,990.48865,990.10956,990.0259,990.12933,990.44995,990.09937,989.537,989.7783,990.3521,990.3706,989.7965,990.26935,989.94324,989.05505,987.57294,986.1832,984.90546,983.67993,982.2358,981.0037,980.1848,979.4885,978.72516,978.0475,976.98267,975.7739,974.3855,973.0827,972.18634,971.2513,970.5736,969.8904,969.7077,969.50867,969.4775,969.18286,969.46295,969.0419,968.40436,967.9934,967.93835,968.0089,968.39044,968.9894,969.6767,970.15326,970.6626,971.66376,972.35175,973.30963,974.13544,974.75055,975.38196,975.92804,976.6386,977.2693,977.8652,978.78845,979.3157,979.4688,979.78455,979.8544,979.253,978.26263,977.20953,977.6194,978.37067,978.36975,978.85913,979.1017,979.31366,979.66425,979.5191,980.0631,980.91516,981.74756,982.1754,982.8274,984.09595,985.29675,986.3911,987.19366,988.02515,988.8405,989.37146,989.5617,989.86676,990.21826,990.4423,990.92566,991.64966,992.44556,993.1376,993.5581,993.68884,993.8128,993.73035,993.6414,993.47424,993.4423,993.5261,993.5133,993.481,993.45526,993.481,993.5838,993.73035,993.60455,993.1221,992.3588,991.738,991.15216,990.71674,990.2997,990.0578,989.8316,989.6458,989.5398,989.3805,989.227,988.8804,988.4496,988.01904,987.59424,987.16956,986.7514,986.30084,985.85046,985.38684,985.0636,984.7236,984.1743,983.1141,981.755,980.45435,979.1955,977.8096,976.6903,975.7405,975.0634
2025-11-06 00:59:39+00:00,2025-11-06 00:00:00+00:00,988.6341,987.8927,989.035,989.5104,990.4072,989.45435,989.26276,989.62714,989.9241,989.3439,988.89667,989.4524,989.82074,989.5491,989.7539,989.4741,989.0723,988.39386,986.76294,985.33026,984.63293,983.8803,982.17114,980.60443,979.9788,979.38696,978.02045,976.62616,975.82214,974.5526,972.74695,971.64075,970.39404,969.09503,968.2053,968.11694,968.5262,968.4456,968.6893,969.1348,969.7451,969.66064,969.3008,968.5119,968.2863,968.8361,969.07495,969.8179,970.8341,971.7409,972.1915,972.7748,973.6688,974.2889,974.67487,975.19727,975.6378,976.0017,976.2802,976.3715,976.8435,977.7028,978.37415,977.77625,977.89185,977.82367,976.4393,975.72144,975.3231,974.79315,975.2744,975.21576,974.95776,974.8949,974.8353,975.2101,975.7665,976.1172,977.1447,978.2988,979.2356,979.9787,980.96344,981.396,982.3318,984.1247,985.1753,986.3661,987.117,987.7278,987.4686,987.43365,987.8141,988.3919,988.4923,988.9693,989.6084,989.71747,989.78296,990.0354,990.0568,990.0443,990.17456,990.25836,990.47064,990.48474,990.5309,990.77594,990.8085,990.9504,991.1174,991.21826,990.94885,990.4341,989.9469,989.64606,989.4047,989.30804,989.3255,989.3834,989.4588,989.3776,989.31525,989.1619,989.00226,988.9389,988.8043,988.6887,988.5021,988.4368,988.4163,988.32367,988.23676,988.1431,988.0486,987.688,986.8735,985.6941,984.48895,983.3612,982.1181,980.93005,979.8773,978.7843,977.78784,976.7064,975.72144,974.8336,974.03644,973.33044,972.9143,972.692,972.6687,972.94727,973.5217,974.20465,975.01935,975.88025,976.7813,977.4144,977.7042,977.8261,977.89545,977.98895,978.0326,978.30133,978.76135,979.4438
2025-11-07 00:57:33+00:00,2025-11-07 00:00:00+00:00,979.4353,977.8884,977.9388,977.0505,975.96906,973.4275,972.0858,971.6239,971.3379,969.9942,968.6313,968.3435,967.89825,968.01715,968.40436,969.0685,968.93207,969.6123,969.6658,969.8115,970.04865,970.29016,970.42834,971.295,972.29285,973.1768,973.56494,973.63934,973.9525,974.037,973.91724,974.1727,974.89014,974.8616,974.38776,974.9714,975.21484,975.46954,975.61017,975.99493,976.65045,976.13275,974.8796,975.84314,975.49054,975.69507,974.692,974.8025,975.27155,976.2883,977.3777,978.4177,979.75946,980.39465,981.0597,981.8451,982.8064,983.7793,984.4766,985.06244,985.78,987.3981,988.41437,988.9906,989.86865,990.25055,989.75555,989.6231,989.7319,990.3058,990.4021,990.7446,991.22614,991.46014,991.6163,991.78455,991.74695,991.3946,991.45374,991.4937,991.6426,991.6111,991.6823,991.85016,991.9215,992.1984,992.3697,992.2396,991.8695,991.5447,990.69275,989.8944,989.43463,989.22345,989.0126,988.8359,988.8465,988.77264,988.246,987.9374,987.7441,987.2917,986.3972,986.0004,985.27625,984.1712,983.5919,982.7097,981.50696,980.1833,978.7924,977.39923,976.0097,974.6529,973.4358,972.5871,971.9085,971.5716,971.5605,971.8972,972.24506,972.62085,973.2015,973.5773,973.8338,974.0787,974.22675,974.3749,974.42,974.4996,974.7162,974.9554,975.3084,975.78064,976.4574,976.9343,977.21173,977.3809,977.61896,977.8126,977.88165,978.3046,979.1662,980.19794,981.1488,981.7688,982.3092,982.8436,983.34875,983.73944,984.2436,984.76526,985.2017,985.7345,986.33997,986.9453,987.60425,988.44977,989.35486,990.0712,990.3205,990.38086,990.4109,990.4055,990.37146,990.45703,990.61597,990.8918
2025-11-08 00:52:37+00:00,2025-11-08 00:00:00+00:00,970.9872,971.64075,972.47516,973.5078,974.05927,973.8205,974.8458,975.4891,975.44946,975.48926,975.7333,976.44977,976.9841,977.03424,977.7114,978.73126,978.63446,978.5954,977.88007,977.10016,976.76404,975.8531,975.5963,975.6916,976.84424,976.60394,976.2199,976.8377,977.75146,977.9212,978.2781,978.79877,979.6754,980.26746,980.8836,981.99475,983.5106,984.4958,985.41925,986.4209,987.3749,987.79236,987.9385,988.027,988.24457,988.62537,989.0108,989.4739,989.8329,989.8547,989.79846,989.5297,989.4202,989.0674,988.9327,989.00415,989.17175,988.9405,989.2175,989.385,989.5399,990.0292,990.2601,990.37823,990.325,990.00806,989.24786,988.6499,988.3177,988.1303,987.6407,987.60834,987.5879,987.23596,987.1393,986.68097,986.14795,985.8987,985.3534,985.08215,984.2214,983.0802,982.5495,981.69214,980.99725,980.39264,979.4091,977.8698,975.8989,974.36816,972.7101,971.651,970.8441,970.37317,969.5876,969.53455,969.5445,969.7472,969.98364,970.2291,970.5368,970.8037,971.0652,971.3938,971.9625,972.0419,972.6661,973.26385,974.0142,974.67346,975.5588,976.1938,976.54865,976.62897,976.8169,977.0781,977.4139,977.7953,978.3877,979.12756,979.7863,980.21234,980.5584,980.808,981.1423,981.38574,981.7198,981.9566,982.2903,982.5327,982.7633,982.8969,983.28375,983.9476,984.8581,985.4952,985.67065,985.6679,985.72003,985.8167,985.8677,986.1354,986.5684,987.11237,987.59717,988.1744,988.6955,989.1314,989.4646,989.70703,989.9613,990.13654,990.3178,990.4026,990.45715,990.4147,990.43915,990.656,991.0346,991.04767,990.7115,990.10956,989.44696,988.8174,988.03406,987.3726,986.7672,986.1794
2025-11-09 00:58:48+00:00,2025-11-09 00:00:00+00:00,979.5937,978.1134,979.0777,978.8686,979.3701,979.10535,979.5351,980.7263,981.03485,981.3553,982.0802,983.1373,983.8019,984.37573,985.7353,987.08246,987.65625,987.8253,987.4677,988.0845,988.7978,989.1661,989.23816,989.8592,990.85425,991.45294,991.24713,990.9448,990.9697,990.38354,990.04407,989.8257,990.0907,990.4244,990.49603,991.2628,992.0173,992.3788,992.4817,992.93085,993.3329,993.08813,992.4495,990.28705,989.70105,989.38043,989.06445,988.9818,989.16565,988.7165,988.305,988.13043,987.6473,987.31976,986.6834,986.0513,985.74243,984.95416,983.86926,982.95245,981.99225,981.08545,980.5488,978.7884,977.2534,975.4216,974.3421,972.75696,971.9645,971.7321,971.6471,971.7073,972.31415,972.5895,972.38434,972.65704,973.36646,973.5071,973.2842,973.43066,973.97534,974.07806,974.5791,974.82776,975.0764,976.15784,977.1822,977.76843,977.9598,978.71814,978.8656,979.0638,979.72296,980.3447,981.01733,981.74634,982.4632,983.0209,983.2654,983.7938,984.2021,984.6157,984.8062,985.04364,985.3001,985.6214,985.57947,985.94226,986.20844,986.6919,987.3846,987.9986,987.96277,987.68414,987.2611,986.87195,986.33545,986.11414,986.265,986.54004,986.76697,986.82355,986.9318,986.9318,987.09644,987.1528,987.20355,987.05444,986.7116,986.5682,986.6122,986.7527,986.9639,987.37726,987.7567,987.9348,987.5076,986.87946,986.19977,985.6356,985.11273,984.67505,984.5057,984.4157,984.35925,984.3537,984.2851,984.1139,983.7437,983.1856,982.6159,982.1208,981.6197,981.03894,980.3895,979.75665,979.24255,978.93835,978.6504,978.2003,977.22186,975.9821,974.8858,973.99994,973.16406,972.5877,972.3578,972.38727
2025-11-10 01:01:09+00:00,2025-11-10 00:00:00+00:00,991.2124,991.6178,991.74915,991.43427,991.82074,989.869,989.6695,989.70074,990.4082,990.7886,990.873,991.51843,991.77106,992.44135,993.2144,993.838,993.7627,993.23395,991.8145,991.37396,991.48865,991.054,990.29266,990.3285,990.5942,990.43036,990.00543,989.3675,988.93097,988.31995,987.5096,986.9169,986.9045,986.3748,985.21515,985.028,984.8658,983.8524,982.82806,981.216,979.68097,978.41473,976.76483,974.71356,973.7809,973.60486,972.75586,973.3574,973.8469,974.01117,974.11957,974.146,974.2135,974.3363,974.6089,974.7787,975.15936,975.63116,976.1936,976.4048,976.985,978.04877,979.01385,979.7822,980.2296,980.80023,980.86926,981.2396,981.7748,982.2645,982.83325,983.314,984.02094,984.6508,985.12854,985.7997,985.922,986.1944,986.56323,986.95605,987.2343,987.2044,987.2044,987.37415,987.25946,987.761,988.4903,988.9101,988.8624,988.45844,987.6315,986.9523,986.22766,985.8181,985.49054,985.225,985.0766,984.8316,984.5691,984.3179,984.1073,983.6506,983.49567,982.9712,982.46423,981.96313,981.5703,981.3652,981.075,980.9957,981.30695,981.2397,980.4827,979.77106,979.10864,978.5289,978.08813,977.6736,977.4299,977.3008,977.22473,977.055,976.94135,976.8445,976.7757,976.8207,976.7633,976.67206,976.67206,976.57526,976.58075,976.4951,976.6254,976.9716,977.34515,977.5412,977.2962,976.68396,976.145,975.5734,974.8777,974.42487,974.2858,974.29803,974.2292,973.815,973.223,972.62067,972.00214,971.18445,970.36676,969.2747,968.18805,967.0904,966.1543,965.30414,964.65796,964.3241,964.29706,964.20026,963.9477,963.62,963.5882,963.86774,964.44293,965.1154,965.8043,966.5913
2025-11-11 00:56:43+00:00,2025-11-11 00:00:00+00:00,989.87164,989.68835,989.5358,989.7819,988.7658,987.46564,987.3814,986.8796,986.09106,985.24615,984.67255,983.6118,982.9597,981.64343,980.4481,979.60284,978.0679,976.54175,976.56573,975.7884,975.1067,974.447,973.50134,973.5998,974.39404,974.8485,974.8423,974.63135,975.04193,975.4637,975.5959,975.8977,976.1349,976.88525,977.34503,978.0713,978.88824,979.51135,980.1614,980.9185,981.78217,982.2285,982.18945,981.7861,982.1331,982.7138,983.37463,983.72034,984.0703,984.53296,984.61237,985.181,985.43646,985.5214,985.87915,986.1228,986.6326,986.3682,986.3207,986.50226,986.39966,987.0589,987.4298,987.73926,987.2972,986.90314,985.9561,985.26514,984.61505,984.3021,984.01056,984.0292,984.126,984.2624,984.3191,984.39294,984.17645,984.13025,984.1982,984.3511,984.22534,984.29297,984.51337,984.7626,985.2227,986.0523,986.7116,987.1261,987.1711,987.14026,986.3911,986.0808,985.7156,985.47253,985.4385,985.4583,985.73694,985.8385,985.5875,985.3534,985.1542,984.6704,984.3743,983.98145,983.38934,982.8204,982.269,981.9336,981.83167,981.6326,981.3981,981.1209,980.4204,979.54126,978.6149,977.6873,976.8237,976.0851,975.6084,975.25635,974.9614,974.5951,974.1907,973.7643,973.38745,973.0917,972.8871,972.68286,972.5702,972.452,972.3236,972.1948,972.1842,972.39386,972.7164,973.05975,973.14935,973.26465,973.429,973.8271,974.38245,974.9879,975.71783,976.39844,977.0981,977.65607,978.13324,978.6204,979.2037,979.883,980.3853,980.60767,980.5452,980.6933,981.0405,981.5014,981.9852,982.6232,983.1982,983.5397,983.32904,982.69135,982.276,982.00836,981.957,981.9966,982.31525,982.8218
2025-11-12 00:57:50+00:00,2025-11-12 00:00:00+00:00,973.54144,973.52356,973.6145,974.4907,974.7751,974.5463,974.50525,975.2789,975.8273,976.09955,976.2575,977.19507,977.6548,978.58606,979.99756,981.46655,981.7492,981.8478,982.9867,983.4298,983.8157,983.434,983.0659,983.4347,983.93976,984.3829,984.4271,985.0341,985.7194,985.91486,985.8736,985.79584,986.3887,986.60046,986.3465,986.473,986.7986,987.1283,987.5126,988.5245,989.28436,989.01483,987.9053,987.2042,986.7145,986.3911,985.8666,985.5492,985.7712,985.90753,985.9642,985.9238,985.4908,985.0749,984.84656,984.62976,984.4189,984.0994,983.78595,983.6775,983.87103,984.1555,984.7571,984.74646,984.4983,984.02,983.00574,982.4306,981.80676,981.49976,980.9925,980.57306,980.6724,980.5312,980.0079,979.416,978.63605,977.87274,977.0181,976.34045,975.9645,974.8996,974.1307,973.2485,972.57086,972.0454,971.73175,971.46985,970.5004,969.70074,968.8328,968.30334,968.3085,968.6789,968.7866,969.0704,969.608,970.2425,970.59564,971.0577,971.7274,972.28827,972.67694,972.9797,973.6747,973.9878,974.6194,974.8694,975.72284,976.5936,977.5565,978.2854,978.3986,978.1407,977.8206,977.5745,977.2953,977.25085,977.4982,977.88135,978.2961,978.6758,978.99335,979.31616,979.5362,979.7557,979.9927,980.15674,980.24133,980.42303,980.57477,980.72644,981.01654,981.5894,982.2034,982.5083,982.2825,981.737,981.2706,980.9745,980.75195,980.808,981.1364,981.6406,982.16187,982.6101,982.97906,983.2574,983.25146,983.1485,983.2276,983.48206,983.92377,984.3532,984.9577,985.6464,986.2806,986.96967,987.59204,988.1546,988.5713,988.9261,989.1416,989.29736,989.4175,989.67834,990.1463,990.6501
2025-11-13 01:13:25+00:00,2025-11-13 00:00:00+00:00,982.678,983.15436,983.4328,984.4445,985.05756,985.08374,985.5815,986.50134,986.99194,987.0955,987.2229,988.20764,988.5215,988.3392,988.88477,989.865,990.345,990.587,990.3818,990.00555,989.89087,989.4349,988.77026,988.58154,988.93225,988.9858,988.6426,988.48706,988.46924,988.1257,987.431,987.0027,986.88824,986.4833,985.8971,985.76465,985.8555,985.3304,985.0306,985.1241,985.2237,984.5439,983.72296,981.6023,980.994,980.4989,979.9175,979.6458,979.69885,979.00464,978.59515,978.1003,977.309,976.3353,975.8457,974.8775,974.3824,973.29553,972.3384,971.77374,970.94055,970.96265,970.43616,969.9903,969.4465,969.19714,968.9412,968.4436,968.5248,969.0277,969.17175,969.8286,970.7104,971.68384,972.43524,973.1984,973.54254,973.9703,974.3122,974.7334,975.32446,975.5397,975.913,976.19495,976.60187,977.29297,978.035,978.46045,978.69727,978.4492,977.7729,977.2551,976.99316,977.346,977.4081,977.67755,978.13525,978.6329,978.85205,979.28217,979.63885,979.85614,980.0807,980.4495,980.70337,980.7155,980.55273,980.6796,980.8546,981.3923,982.42584,982.35266,982.5863,982.5014,981.9923,982.0628,982.22406,982.42926,982.54645,982.7068,982.9747,983.483,984.0996,984.6254,984.76416,984.80615,984.95703,985.4037,985.8625,986.4178,986.87036,987.32874,987.837,988.6179,989.4475,989.9855,990.0449,989.82465,989.64624,989.69916,989.8015,989.9541,990.1323,990.3591,990.5234,990.75903,990.93445,991.2063,991.5569,991.9011,992.25726,992.43835,992.535,992.63165,992.81915,993.01843,993.3392,993.8049,994.39746,994.7112,994.6612,994.2342,993.95886,993.7325,993.4713,993.3514,993.44,993.7706
2025-11-14 00:58:03+00:00,2025-11-14 00:00:00+00:00,986.48047,985.4084,986.4378,985.94226,986.3352,984.9925,984.27435,984.1543,983.8349,983.40125,982.695,983.0084,982.87665,982.53345,982.8523,983.106,982.69104,982.219,981.9237,981.41797,980.93256,980.6476,979.7448,979.25757,978.8681,978.19586,977.5236,977.0835,977.0197,975.7336,974.4855,973.6945,973.33453,972.3501,970.70917,970.0262,970.2784,969.86365,969.4232,969.32184,970.1238,970.89844,971.2782,967.88806,968.23413,968.58,969.49835,970.42584,971.01794,972.22687,972.9775,973.5444,973.77527,974.4145,974.483,974.767,975.27246,975.4819,975.6906,976.1829,976.6811,977.2751,978.16125,978.63904,978.8924,978.9395,978.3708,977.94366,977.76697,977.7556,977.99506,978.56177,978.8885,979.2368,979.50323,979.7578,980.1642,980.4733,980.80634,981.12067,981.61597,981.8027,981.91614,982.1692,982.2289,982.8807,983.6268,983.8578,984.1109,984.1634,983.5869,983.0651,982.6168,982.78674,982.9216,983.1903,983.4685,983.6144,984.52185,984.6973,984.8426,984.5045,984.9516,984.6486,985.2517,985.3114,985.1532,985.49634,985.96716,986.5408,987.40906,988.1605,988.48566,988.4705,988.41223,988.39124,988.2211,988.2888,988.65546,989.1614,989.5984,990.0096,990.36035,990.72284,991.0856,991.3635,991.6473,991.9255,992.11255,992.40265,992.6989,993.0009,993.3277,993.6904,993.98004,994.0942,993.86163,993.4516,993.0959,992.8635,992.68756,992.55597,992.4399,992.26996,992.1283,992.0511,992.0032,991.87646,991.6653,991.27216,990.9701,990.656,990.3358,989.9372,989.1814,988.34717,987.72974,987.62555,987.83453,987.6557,986.7197,985.4975,984.41077,983.7047,983.03235,982.3713,981.5396,980.71924
