forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:16:08+00:00,2025-11-05 00:00:00+00:00,14.856501,13.606501,12.4065,11.2565,11.0565,12.2065,12.5565,12.5565,12.1565,12.0065,11.856501,11.5565,11.2065,11.0565,12.356501,14.4065,15.6565,15.9065,16.1065,15.856501,15.2065,14.606501,13.5065,11.1565,9.5565,8.3065,7.1064997,6.4065,5.6064997,4.5565,3.5065,2.7565,2.0565,1.3565,0.7065,0.4065,0.15650001,0.0065,1.8565,5.6064997,9.3065,11.5065,13.0565,14.08,14.7300005,14.63,13.4800005,11.93,11.83,12.33,12.18,12.28,12.28,12.28,12.78,12.78,13.2300005,13.18,13.13,13.53,13.7300005,13.83,14.33,14.83,16.08,17.83,18.88,19.679998,19.88,19.929998,18.33,15.28,13.58,12.88,12.08,11.53,10.7300005,9.9800005,9.08,8.2300005,9.03,7.9300003,7.53,7.08,6.73,6.6800003,6.83,7.03,7.73,7.88,8.83,9.58,9.68,9.88,9.53,8.63,7.23,6.03,4.33,1.33,0.98,0.73,1.33,0.63,-0.87,-1.22,-1.37,-1.42,-1.9699999,-3.0700002,-3.67,-3.12,-2.37,-1.52,-0.77,-0.47000003,-0.47000003,-0.57,-0.87,-1.32,-1.77,-2.17,-2.52,-2.92,-3.3200002,-3.77,-4.17,-4.62,-5.02,-5.37,-5.67,-5.8199997,-5.62,-4.77,-3.5700002,-2.27,-0.91999996,0.48,1.58,2.38,2.83,2.7800002,1.83,0.38,-0.91999996,-1.77,-2.42,-3.02,-3.5700002,-4.0699997,-4.42,-4.67,-4.8199997,-4.92,-5.22,-5.47,-5.17,-3.9699998,-2.27,-0.52,1.13,2.83,4.1800003,5.13,5.78,6.23,6.38,6.33
2025-11-06 00:59:44+00:00,2025-11-06 00:00:00+00:00,10.9065,9.5065,8.5565,7.7565,6.7064996,5.6064997,4.4564996,3.8565,2.9565,2.2065,1.7565,1.3565,1.0565,0.9065,2.7065,6.1565,9.4565,11.7565,13.2065,14.6565,15.5565,15.5565,13.856501,11.4065,10.5065,10.2065,10.0565,9.9565,10.356501,11.356501,11.106501,9.606501,8.7565,9.106501,10.106501,11.1565,11.606501,12.0565,11.7565,12.2065,12.9565,13.4565,14.0065,19.98,19.88,19.48,17.88,15.7300005,13.93,12.28,11.38,11.03,9.2300005,8.4800005,7.73,6.6800003,5.63,4.98,4.48,4.1800003,4.08,4.63,6.38,7.63,8.4800005,9.08,9.33,9.2300005,9.53,9.53,8.7300005,7.13,6.78,6.4300003,5.83,2.13,1.23,1.63,1.33,1.03,1.18,0.83,0.63,0.48,-1.37,-1.17,-1.17,-0.87,-0.57,-0.27,-0.17000002,0.029999994,0.28,-0.17000002,-1.27,-1.72,-1.77,-1.92,-2.02,-2.3200002,-2.9699998,-3.27,-3.5700002,-3.8200002,-3.92,-3.7199998,-4.42,-4.8199997,-5.12,-5.42,-4.67,-3.12,-1.57,-0.32,0.48,1.13,1.43,1.38,0.68,-0.42000002,-1.42,-2.12,-2.7199998,-3.2199998,-3.67,-4.02,-4.27,-4.42,-4.42,-4.17,-3.62,-2.77,-1.92,-1.07,-0.17000002,0.88,2.2800002,3.83,5.1800003,6.28,7.1800003,7.78,7.88,7.63,7.38,7.28,7.13,6.88,6.38,5.78,5.23,4.88,4.63,4.48,4.28,4.23,4.58,5.63,7.13,8.78,10.68,12.68,14.2300005,15.13,15.4800005,15.18,13.7300005,11.58
2025-11-07 00:57:37+00:00,2025-11-07 00:00:00+00:00,11.9565,11.606501,11.4065,11.6565,11.7065,10.7565,10.606501,10.6565,8.606501,9.0065,10.2065,10.6565,11.6565,11.606501,11.8065,11.9065,12.7065,13.856501,14.0565,14.7065,15.0565,14.4065,13.106501,11.856501,10.6565,9.9565,9.5065,8.606501,8.0065,7.0565,6.2565,5.5565,5.0565,4.7064996,4.8065,5.6064997,5.1064997,4.7565,5.9564996,7.4065,8.6565,9.6565,10.9565,10.93,10.88,11.08,10.33,8.33,6.73,5.4300003,4.33,3.1799998,3.08,2.63,2.6799998,2.5300002,2.1799998,1.53,1.48,-0.02000001,-1.37,-1.47,-0.87,-0.22,0.78,1.53,1.98,2.33,2.5300002,2.23,1.68,0.73,0.029999994,-0.57,-1.07,-1.42,-1.77,-2.17,-2.77,-3.2199998,-3.7199998,-4.5699997,-4.77,-5.0699997,-5.3199997,-5.3199997,-3.4699998,-1.17,0.68,1.93,2.88,3.5300002,3.73,3.5300002,2.83,0.73,0.029999994,-0.42000002,-0.82,-1.12,-1.42,-1.42,-1.32,-1.32,-0.77,-0.120000005,0.78,1.48,1.98,2.2800002,2.9299998,4.33,6.1800003,7.53,8.78,9.93,10.93,11.4800005,11.43,10.9800005,10.53,10.18,9.83,9.38,8.78,8.08,7.58,7.33,7.28,7.23,7.03,6.83,7.13,8.2300005,9.78,11.2300005,12.38,13.43,14.03,14.13,13.78,13.13,12.03,10.58,9.38,8.7300005,8.33,7.88,7.33,6.78,6.23,5.73,5.23,4.6800003,3.9299998,3.13,2.9299998,3.6799998,5.03,6.4300003,7.78,9.2300005,10.28,10.9800005,11.28,11.08,9.88,8.18
2025-11-08 00:52:40+00:00,2025-11-08 00:00:00+00:00,11.9065,11.106501,11.2565,10.5565,9.4565,8.5065,9.2565,9.2565,9.0565,8.7065,8.3065,8.2565,7.6064997,7.4564996,7.2064996,7.3564997,7.3065,7.9065,8.4065,8.4565,8.1565,8.2065,7.6064997,7.1565,7.2064996,6.8564997,5.5065,4.6565,3.2565,2.4565,3.2065,3.2065,2.8565,2.1565,1.3065,0.4065,-0.0435,-0.7435,-0.6935,-0.5435,-0.8435,-0.7935,-0.7435,1.58,1.48,1.23,0.43,-0.52,-0.87,-1.47,-1.9699999,-2.7199998,-3.12,-3.17,-3.4699998,-3.92,-4.47,-4.72,-4.8199997,-4.67,-4.97,-5.0699997,-3.9699998,-2.27,-0.62,0.58,1.53,2.03,2.2800002,2.2800002,1.68,-0.02000001,-0.91999996,-1.07,-0.91999996,-1.22,-1.57,-2.2199998,-2.67,-2.77,-2.17,-1.77,-1.27,-1.07,-1.07,-1.77,-0.07000001,1.63,1.63,2.9299998,3.48,5.73,6.6800003,7.4300003,7.53,6.88,6.83,6.48,6.58,6.33,5.9300003,5.73,5.63,5.38,4.88,4.73,4.58,4.1800003,4.08,3.98,5.28,6.83,7.9300003,8.7300005,9.78,10.28,10.53,10.38,9.68,8.68,7.73,7.13,6.63,6.13,5.53,4.88,4.38,4.13,3.98,3.73,3.13,2.4299998,2.2800002,2.98,4.28,5.63,7.13,8.78,10.03,10.83,11.28,11.08,9.78,7.83,6.28,5.53,5.1800003,4.83,4.33,3.88,3.58,3.5300002,3.63,3.63,3.33,2.98,3.13,4.1800003,5.73,7.48,9.53,11.7300005,13.53,14.83,15.68,15.83,14.68,12.78
2025-11-09 00:58:51+00:00,2025-11-09 00:00:00+00:00,6.3065,5.8564997,6.1064997,5.8065,5.6064997,4.4065,2.8065,2.4065,2.9065,2.7065,1.6065,0.9565,0.5065,0.5065,0.2565,0.6565,0.6065,1.0565,-0.2435,-0.6435,-0.4935,-0.3935,-0.5435,-0.5435,-0.8935,-1.1435,-1.0935,-0.9935,-1.1435,-1.1935,-1.1435,-1.4935,-1.5435,-1.5935,-1.5935,-1.2435,-1.3435,-1.2935,-1.3435,-1.0435,-0.44349998,0.2565,0.8565,1.48,1.33,0.98,0.13,-1.22,-2.27,-2.9699998,-3.17,-2.87,-2.77,-2.9699998,-3.52,-3.42,-3.52,-3.27,-2.8200002,-2.0700002,-1.72,-0.87,-0.37,0.53,1.23,2.2800002,3.58,4.73,5.88,6.78,6.4300003,5.73,6.63,5.9300003,6.9300003,6.28,5.6800003,4.9300003,4.13,3.5300002,3.13,2.88,2.88,2.98,2.48,2.4299998,4.03,5.98,7.88,9.33,10.7300005,11.68,12.43,11.93,10.83,9.78,9.38,8.88,8.38,8.08,7.4300003,7.08,6.38,6.03,4.58,3.9299998,3.5300002,3.1799998,2.9299998,2.88,4.48,7.03,9.18,11.03,12.28,13.18,13.68,13.53,12.43,10.78,9.43,8.88,8.7300005,8.53,8.2300005,7.9300003,7.63,7.23,6.83,6.48,6.03,5.63,5.78,6.98,8.68,10.13,10.88,11.38,11.7300005,12.13,12.43,12.53,12.18,11.63,11.2300005,11.28,11.53,11.7300005,11.7300005,11.63,11.58,11.63,11.68,11.88,12.13,12.4800005,13.03,13.83,14.78,15.9800005,17.529999,19.279999,20.679998,21.529999,21.98,22.13,21.83,21.179998
2025-11-10 01:01:14+00:00,2025-11-10 00:00:00+00:00,-0.9935,-0.9935,-0.8435,-1.4935,-1.1935,-1.2935,-1.7435,-1.6435,-1.5435,-2.6435,-3.4435,-3.6435,-2.9935,-3.0435,-2.5435,-1.8435,-1.6435,0.20650001,0.7565,0.8565,1.0565,1.1065,0.6065,0.20650001,0.1065,0.1065,-0.1435,-0.5435,-0.6935,-0.9935,-1.2935,-1.5435,-1.5435,-1.5435,-1.3435,-1.2935,-1.3435,-1.1435,-0.3435,0.4065,1.4565,3.1065,3.5065,5.63,6.28,6.4300003,6.1800003,5.88,5.83,5.28,5.33,5.23,3.88,3.6799998,3.1799998,2.98,2.7800002,2.63,2.5300002,2.38,2.38,2.4299998,3.73,5.73,7.23,8.38,9.13,9.68,10.08,9.88,8.7300005,7.03,5.63,5.38,5.63,5.28,4.58,4.38,4.28,3.73,3.5300002,3.48,3.1799998,2.83,2.63,2.63,4.28,6.98,9.03,10.63,11.83,12.78,13.43,13.4800005,11.93,9.7300005,8.9800005,8.43,7.88,8.03,7.63,7.28,6.58,6.1800003,5.9300003,5.88,5.88,5.9300003,6.08,7.83,8.63,9.4800005,10.13,11.88,15.08,15.78,15.93,15.58,14.33,12.58,11.33,11.13,11.43,11.68,11.7300005,11.7300005,11.78,11.88,12.08,12.28,12.4800005,12.7300005,13.13,13.63,14.28,15.18,16.58,18.23,19.58,20.48,21.029999,21.13,20.38,19.13,18.179998,17.83,17.779999,17.63,17.23,16.779999,16.429998,16.38,16.48,16.33,15.63,14.7300005,13.9800005,13.53,13.2300005,13.28,13.93,14.88,15.43,15.43,15.03,14.18,12.63,10.63
2025-11-11 00:56:46+00:00,2025-11-11 00:00:00+00:00,-0.4935,-0.6435,-0.7935,-0.9935,-1.0935,-1.2435,-1.2935,-1.2935,-1.1435,-1.1935,-1.0435,-0.9935,-0.5435,-0.5435,-0.2435,0.2565,1.0065,2.7065,4.8564997,6.0565,6.3564997,6.7565,5.6565,3.6065,2.6065,2.0565,2.5565,2.8565,2.4565,2.1565,1.9065,1.9065,1.7565,1.5565,1.6565,1.1065,0.5565,0.4065,2.5065,5.5565,7.0065,8.2565,9.4065,11.43,11.68,11.63,10.28,7.73,6.63,6.4300003,6.63,6.23,6.1800003,5.9300003,5.88,5.73,5.08,4.63,4.4300003,4.08,3.88,4.13,5.58,8.13,10.08,11.7300005,12.78,13.63,14.08,14.08,12.28,10.53,9.78,9.28,8.78,8.38,8.03,7.6800003,7.33,7.03,6.6800003,6.4300003,6.13,5.6800003,5.4300003,5.23,6.78,9.33,11.33,12.88,14.03,14.83,15.03,14.58,12.53,10.13,9.2300005,8.68,8.2300005,7.98,7.9300003,7.83,7.78,7.73,7.83,7.88,9.33,10.13,10.53,10.9800005,11.9800005,13.83,15.83,17.98,19.73,20.48,20.63,20.58,20.33,19.929998,19.58,19.48,19.529999,19.48,19.33,19.13,18.929998,18.88,18.83,18.679998,18.279999,17.83,17.529999,17.48,17.63,18.08,19.179998,20.63,21.679998,22.279999,22.48,22.029999,20.529999,18.33,16.48,15.33,14.53,13.78,13.08,12.4800005,11.93,11.33,10.7300005,10.33,10.2300005,10.38,10.58,10.88,11.28,11.4800005,11.28,10.93,10.78,10.9800005,11.33,11.7300005,12.03,12.33
2025-11-12 00:57:53+00:00,2025-11-12 00:00:00+00:00,3.3565,2.6565,2.4565,2.7565,2.6565,2.6565,2.4565,2.4065,2.5065,2.7565,2.8065,2.6065,2.1065,1.6065,3.5065,5.9065,7.8065,9.2065,9.356501,10.2565,10.5565,9.9065,8.5065,6.4065,5.4564996,4.9564996,4.7565,4.4564996,4.1064997,3.7565,3.0565,2.2065,1.3565,0.6565,0.30650002,0.1065,0.0065,0.0065,1.5565,4.4065,7.0565,8.9565,10.3065,14.03,14.43,14.43,12.2300005,10.38,9.7300005,9.2300005,8.78,8.43,7.9300003,7.53,7.13,6.88,6.6800003,6.53,6.38,6.33,6.33,6.4300003,8.28,10.58,12.83,14.78,16.08,17.179998,17.58,17.63,15.63,13.83,13.13,12.63,12.2300005,12.2300005,12.18,12.28,12.28,12.28,12.2300005,12.18,12.03,11.93,11.83,11.9800005,13.93,15.83,17.48,19.179998,20.679998,21.88,22.23,21.58,19.779999,16.83,15.63,14.53,13.53,12.7300005,12.2300005,11.68,10.63,10.03,9.33,8.58,7.73,7.13,7.23,7.33,8.4800005,9.7300005,11.2300005,12.08,12.93,13.28,13.33,12.83,11.58,9.83,8.33,7.4300003,6.83,6.33,5.98,5.6800003,5.38,4.88,4.33,3.83,3.38,3.0300002,2.98,3.48,4.28,5.13,6.08,7.03,7.38,6.63,5.28,4.33,4.13,4.33,4.53,4.6800003,4.88,4.98,4.9300003,4.83,4.6800003,4.53,4.28,3.98,3.4299998,2.7800002,2.38,2.2800002,2.4299998,2.88,3.83,5.08,5.98,6.38,6.48,6.1800003,5.1800003,3.73
2025-11-13 01:13:28+00:00,2025-11-13 00:00:00+00:00,7.6064997,6.4065,5.5565,5.1565,4.7064996,4.4564996,3.9565,3.3065,2.7565,2.2565,1.6565,0.8565,0.15650001,0.0065,1.5565,4.5565,7.3065,9.4565,10.7065,11.606501,12.356501,12.0065,10.8065,8.7065,6.2565,5.0065,4.1064997,3.4565,2.9065,2.3565,2.1065,1.9565,1.8565,1.7065,1.5065,1.2065,1.0065,1.0065,2.9065,6.5565,9.856501,12.7065,14.856501,18.13,18.929998,19.029999,17.029999,15.2300005,14.68,14.33,14.08,13.88,13.7300005,13.68,13.4800005,13.33,13.43,13.4800005,13.53,13.63,13.7300005,13.9800005,14.88,16.08,17.38,18.679998,18.58,20.179998,20.83,20.38,18.529999,15.68,14.58,14.03,14.38,13.2300005,11.58,10.33,9.78,8.58,8.03,7.38,6.53,5.53,4.73,3.98,4.83,5.98,7.03,8.03,8.7300005,9.2300005,9.33,9.2300005,8.03,5.83,4.9300003,4.38,3.83,3.5300002,3.58,3.38,3.6799998,3.13,2.83,2.4299998,2.1799998,2.1799998,1.78,1.58,2.63,3.63,4.28,4.9300003,5.4300003,5.03,4.1800003,3.48,3.08,2.7800002,2.58,2.5300002,2.5300002,2.38,1.88,1.18,0.58,0.22999999,-0.02000001,-0.27,-0.67,-1.07,-0.97,-0.120000005,1.23,2.58,3.9299998,5.33,6.38,7.08,7.4300003,7.28,6.28,4.78,3.58,3.13,2.98,2.83,2.48,2.13,1.83,1.63,1.53,1.43,1.28,1.13,1.33,1.98,2.9299998,4.03,5.38,6.83,7.98,8.68,9.08,8.9800005,8.18,6.88
2025-11-14 00:58:07+00:00,2025-11-14 00:00:00+00:00,7.6565,6.5065,5.8065,5.2064996,4.8065,4.4564996,4.1565,3.9065,3.7565,3.5565,3.4565,3.2565,3.2065,3.1065,5.0065,9.2065,12.106501,14.7565,15.5065,17.5565,18.6565,18.5565,17.1565,14.8065,13.356501,12.3065,11.5565,11.2565,11.0065,11.2065,11.606501,11.7565,11.5565,12.7565,13.1565,13.9065,14.1565,13.9565,14.4565,15.606501,15.9565,16.0065,16.4065,21.279999,20.88,20.029999,17.679998,15.7300005,15.28,15.28,13.7300005,12.78,11.58,10.28,9.08,7.98,6.98,6.33,5.28,4.6800003,4.23,3.63,4.6800003,6.13,7.1800003,8.38,9.33,10.08,10.28,10.08,8.7300005,6.6800003,5.33,4.63,4.23,3.5300002,3.08,2.2800002,1.98,1.18,0.53,0.08,-0.27,-0.87,-1.12,-1.22,0.17999999,1.83,3.33,4.38,5.13,5.78,6.03,5.73,5.33,4.78,3.7800002,3.73,3.13,2.03,1.23,1.18,1.43,1.03,0.43,-0.42000002,-0.91999996,-1.32,-1.62,-1.77,-0.32,1.73,3.33,4.73,5.78,6.4300003,6.78,6.63,5.83,4.58,3.5300002,3.0300002,2.6799998,2.4299998,2.08,1.78,1.58,1.48,1.48,1.43,1.23,1.03,1.13,1.68,2.48,3.48,4.78,6.23,7.33,7.88,8.03,7.83,6.98,5.73,4.73,4.23,4.03,3.83,3.63,3.48,3.2800002,3.0300002,2.73,2.58,2.63,2.7800002,3.1799998,3.83,4.73,5.58,6.4300003,7.23,7.78,7.98,7.9300003,7.63,6.88,5.88
