forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:14:43+00:00,2025-11-05 00:00:00+00:00,14.9,14.15,13.7,13.35,12.95,12.5,11.65,11.0,10.3,9.8,9.5,9.0,8.65,8.85,11.05,13.45,15.3,17.05,18.1,19.05,19.95,20.05,19.15,16.9,15.15,13.95,12.65,11.4,10.55,9.85,9.0,8.35,7.8,7.3,6.85,6.55,6.25,6.15,8.6,10.85,12.6,13.95,15.25,18.595499,19.1955,19.345499,18.2455,15.4955,14.6455,14.195499,13.7455,13.5955,13.6455,14.0455,13.945499,14.0455,14.3955,14.7955,15.0455,15.1455,14.8955,15.0455,15.9955,17.5455,18.2455,18.3955,19.595499,19.8955,20.2955,20.3955,19.4455,17.4955,16.2455,15.695499,16.5455,15.0955,13.8955,13.0955,11.695499,10.8455,10.1455,9.3455,8.7955,8.445499,8.195499,8.2955,10.0455,11.8955,13.445499,14.8955,16.2455,17.0455,17.095499,16.7455,15.2455,13.3955,12.7955,12.3455,12.195499,12.8955,13.5455,11.8455,10.5955,9.4955,8.195499,6.5455,5.4455,4.6955,3.8955,3.1955001,2.8455,2.9455001,3.8455,4.8455,5.5955,5.9954996,6.1454997,5.9455,5.2454996,4.1955,3.1955001,2.3955,1.6455001,0.99549997,0.44550002,0.045500003,-0.40449998,-0.8545,-1.2544999,-1.6545,-2.3044999,-2.9545,-2.9545,-1.9045,-0.15450001,1.5455,3.0955,4.6955,5.9455,6.9455,7.6955,7.7454996,6.6454997,4.8455,3.3955,2.6955001,2.3455,2.0455,1.7455001,1.4955001,1.2955,1.1455001,0.99549997,0.8455,0.4955,0.09550001,0.3955,1.7955,3.7955,5.7955,7.5955,9.3455,10.695499,11.445499,11.7955,11.695499,10.8955,9.6455
2025-11-06 00:59:32+00:00,2025-11-06 00:00:00+00:00,17.0,15.7,14.3,13.05,12.15,11.35,10.65,10.15,9.45,8.85,8.45,8.0,7.5,7.4,9.9,12.2,14.05,15.7,16.2,17.5,18.2,18.2,17.15,14.75,13.3,12.35,11.8,11.4,11.05,11.25,11.45,11.55,11.65,12.1,13.1,13.55,13.4,13.55,14.9,16.5,17.95,18.95,20.1,17.4955,19.4955,19.2455,18.4955,17.1455,15.8455,15.5455,15.0455,14.445499,13.3955,12.5455,11.9955,11.3455,10.7955,10.5955,10.6455,10.695499,10.4955,10.0955,11.7455,13.6455,15.7955,17.6455,18.8955,19.345499,19.595499,19.2955,17.595499,14.9955,14.3455,13.945499,13.5455,13.5955,14.2455,10.8955,8.8955,7.8455,6.6454997,6.2955,5.8455,5.3954997,5.0955,4.9455,4.7955,4.7454996,5.4954996,6.0955,6.5455,6.7955,6.8455,6.2955,5.2955,3.7455,2.8955,2.3455,1.9455,1.5955,1.1455001,0.4955,-0.4545,-1.2045,-1.6044999,-1.9045,-2.2045,-2.5045,-2.8044999,-2.8545,-1.5545,0.045500003,1.5455,2.7955,3.7455,4.5455,5.0455,4.9954996,3.9455001,2.2955,0.94549996,0.2955,-0.004499998,-0.2545,-0.50450003,-0.7045,-0.9045,-1.1044999,-1.3544999,-1.5044999,-1.8045,-2.0045,-1.5545,0.09550001,2.4455001,4.6955,6.7454996,8.695499,10.2455,11.2455,11.7955,11.9955,11.6455,10.945499,10.3955,10.2455,10.2455,10.195499,9.945499,9.6455,9.3455,9.0955,8.8455,8.5455,7.9954996,7.3455,7.2955,8.0955,9.4955,11.0955,13.0455,15.195499,16.845499,17.8955,18.4455,18.2455,16.7955,14.5955
2025-11-07 00:57:27+00:00,2025-11-07 00:00:00+00:00,14.9,13.85,13.15,12.4,12.1,12.05,11.6,11.55,11.5,11.8,13.1,13.0,13.2,14.1,15.65,16.65,17.95,19.6,19.65,20.25,20.95,20.8,18.95,16.45,14.75,14.0,13.2,12.65,12.1,11.4,11.0,10.9,10.1,9.25,8.6,7.65,7.0,6.95,9.7,12.85,15.15,17.4,18.65,20.9455,21.1955,20.8955,18.9455,16.0455,15.5455,15.3955,14.695499,14.0455,14.0455,13.3455,10.0955,8.7455,7.8455,6.9954996,6.0955,6.0455,5.9954996,5.9954996,6.3954997,6.5455,7.2955,7.8455,7.9954996,8.0955,7.9455,7.1955,6.0955,4.3455,3.3455,2.4455001,1.9455,1.4955001,1.0955,0.74549997,0.2455,-0.0545,-0.4545,-0.9545,-1.4545,-1.9545,-2.5544999,-2.6045,-0.6045,1.3955001,2.9455001,4.1955,5.0955,5.7454996,6.1454997,6.1454997,5.5955,2.8455,2.0455,1.5955,1.2955,0.99549997,0.69549996,0.44550002,0.19550002,-0.004499998,-0.2545,-0.40449998,-0.30449998,-0.15450001,0.19550002,1.0955,2.8955,5.0955,7.2454996,8.8955,10.2955,11.2955,11.945499,12.2455,12.1455,11.7455,11.2955,10.8455,10.3955,9.8955,9.3455,8.7955,8.2955,7.8455,7.4455,7.0955,6.6955,6.4455,6.6454997,7.5955,9.0955,10.7955,12.945499,15.2955,17.1955,18.4955,19.345499,19.2455,17.6455,15.0955,13.0955,12.2455,11.8955,11.6455,11.3955,11.195499,10.8455,10.1455,9.2455,8.445499,7.5955,6.7955,6.7454996,7.8954997,9.7955,11.6455,13.3455,15.0455,16.2955,17.1455,17.5455,17.2455,15.695499,13.445499
2025-11-08 00:52:31+00:00,2025-11-08 00:00:00+00:00,17.45,16.45,15.4,14.35,13.7,12.85,12.55,12.05,11.45,10.95,10.85,9.45,8.85,8.5,9.95,12.75,15.3,17.05,18.35,19.25,19.85,19.5,17.9,15.65,13.95,13.95,14.25,11.3,9.15,7.7,6.65,5.5,4.7,4.4,4.8,4.85,4.7,4.25,3.95,3.55,3.95,4.2,3.8,6.9455,6.6955,5.9954996,5.3455,3.7455,2.9955,2.2955,1.5955,0.8955,0.2955,-0.2545,-0.7045,-1.0545,-1.5044999,-1.8544999,-2.2045,-2.5045,-2.8044999,-2.7545,-1.4045,0.09550001,1.2455001,2.4455001,3.5455,4.1454997,4.3954997,4.3455,3.7455,1.2455001,0.34550002,-0.1045,-0.40449998,-0.7045,-1.0545,-1.2544999,-1.4545,-1.6044999,-1.7045,-1.8544999,-1.9045,-1.8544999,-1.8045,-1.1044999,1.4955001,3.6955001,6.3954997,8.4955,9.7455,11.2955,12.0455,11.8455,11.3455,11.195499,11.2455,11.1455,10.6455,10.1455,9.695499,9.0955,8.5955,8.195499,7.9455,7.4954996,7.2454996,7.0955,6.6955,6.4455,8.1455,10.5455,12.8455,14.9955,17.0455,18.2955,18.9955,18.7955,17.0455,14.2955,12.0955,10.9955,10.445499,9.8955,9.2455,8.6455,8.0455,7.4455,6.8455,6.3455,5.6955,5.0455,5.1454997,6.3954997,8.2955,10.2455,12.0955,13.8955,15.2955,16.1955,16.6455,16.3955,15.0455,13.0455,11.445499,10.695499,10.2955,9.945499,9.445499,8.9955,8.6455,8.3455,8.1455,8.195499,8.7455,9.5455,10.3455,10.7955,11.2455,11.9955,13.445499,15.2955,16.845499,18.0455,18.9955,19.2455,18.345499,16.7455
2025-11-09 00:58:43+00:00,2025-11-09 00:00:00+00:00,16.25,13.85,12.85,13.65,13.5,12.1,9.9,8.1,6.8,6.1,5.0,4.6,5.15,5.05,5.45,5.9,5.55,4.55,3.9,3.45,3.35,3.35,2.9,2.25,1.25,1.0,-0.2,-1.05,-1.4,-1.45,-1.3,-1.4,-1.2,-1.65,-1.7,-1.85,-1.85,-1.7,-0.9,-0.25,0.7,1.2,2.4,4.5455,4.6955,4.4954996,3.7455,1.3455,-0.0545,-0.6545,-1.0545,-1.4045,-1.7045,-2.1045,-2.2545,-2.4045,-2.5045,-2.6045,-2.6045,-2.5544999,-2.4545,-1.8045,0.8455,3.6455,5.6955,7.7955,9.4955,10.3455,11.1455,10.8955,10.5955,10.3955,10.3455,10.3455,9.945499,9.7455,9.445499,9.195499,8.8955,8.445499,7.8954997,7.5455,7.3455,6.9455,6.4455,6.0955,8.0955,10.3955,12.6455,14.5455,16.0455,17.0455,17.5455,17.4455,15.6455,12.8455,12.0955,11.3955,11.195499,10.7455,10.0455,9.8955,9.3955,8.9955,8.695499,8.445499,8.1455,7.7955,7.4954996,7.8455,9.8955,11.9955,13.9955,15.8955,17.1955,18.0455,18.3955,18.0455,16.595499,14.3955,12.695499,11.945499,11.5955,11.3955,11.1455,11.0455,10.945499,10.8455,10.7955,10.945499,11.445499,12.1455,13.0455,14.2455,15.6455,16.7455,17.3955,17.7455,18.1455,18.7455,19.3955,19.5455,18.845499,17.6955,16.8955,16.7955,17.0455,17.1455,16.845499,16.345499,15.9955,15.8955,15.945499,15.945499,15.695499,15.3455,15.445499,16.1455,17.2955,18.4955,19.8955,21.3955,22.4955,22.9455,22.9455,22.5455,21.4955,19.9955
2025-11-10 01:01:02+00:00,2025-11-10 00:00:00+00:00,1.7,0.4,-0.4,-1.0,-1.15,-1.3,-1.5,-1.6,-1.95,-2.0,-1.85,-2.0,-2.2,-2.05,-1.35,-0.65,0.1,0.9,2.8,3.6,3.95,3.85,3.4,1.4,0.1,-0.8,-1.1,-1.1,-1.1,-1.15,-1.3,-1.4,-1.4,-1.4,-1.35,-1.35,-1.35,-1.3,0.35,2.6,4.4,6.0,7.5,8.9955,9.7955,9.695499,9.7955,9.1455,8.8455,8.445499,7.9954996,7.8954997,8.0955,8.195499,7.6955,6.9954996,6.5955,6.3455,6.0455,5.5955,5.1454997,4.7454996,6.8954997,9.6455,12.195499,14.3955,16.1455,17.3955,18.095499,18.095499,15.7955,12.695499,11.445499,10.695499,10.195499,9.6455,8.945499,8.4955,7.9954996,7.6454997,7.0955,6.5955,6.1454997,5.7454996,5.4954996,5.5955,7.8954997,10.445499,12.2955,14.0455,15.195499,15.945499,16.3955,16.1955,14.3455,12.195499,12.0955,11.3955,10.8455,9.8955,10.445499,10.5455,9.7955,9.7455,9.7955,11.2455,11.6455,11.8455,12.2955,12.945499,13.8955,15.0455,18.7955,19.1955,21.6955,22.7455,23.1955,23.0455,21.9955,20.345499,18.9955,18.2955,17.8955,17.5455,17.1955,16.9455,16.6455,16.345499,15.9955,15.695499,15.2455,14.7955,14.7955,15.445499,16.4955,17.6955,19.095499,20.595499,21.6955,22.095499,22.095499,21.7955,21.0455,20.0455,19.2455,18.9955,18.9955,18.6455,17.5455,16.1455,15.195499,15.0955,15.445499,15.7455,15.945499,16.095499,15.8955,14.945499,13.6455,12.5455,11.945499,11.5455,11.2455,10.8455,10.5455,10.3955,10.5955,10.945499
2025-11-11 00:56:39+00:00,2025-11-11 00:00:00+00:00,0.5,-0.3,-0.8,-1.0,-1.1,-1.25,-1.35,-1.35,-1.35,-1.4,-1.35,-1.25,-1.35,-1.15,0.5,2.5,4.05,5.85,7.2,8.4,9.35,9.5,9.0,7.45,6.6,5.9,5.55,5.4,5.15,4.9,4.5,4.2,3.9,3.55,3.25,3.0,2.7,2.7,5.5,8.95,11.85,14.1,16.0,17.1955,18.0455,18.1955,15.8455,12.4955,11.2455,10.445499,9.8955,9.5955,9.0955,8.7455,8.3455,7.9954996,7.6454997,7.3455,7.1454997,6.9455,6.7955,7.2454996,9.2955,11.3455,13.3455,13.7955,14.8455,15.8955,16.845499,16.9955,15.0455,12.7455,11.945499,11.5455,11.195499,11.0455,10.945499,10.8955,10.8455,10.8455,10.945499,11.0455,12.0455,12.6455,13.0955,13.4955,14.4955,16.595499,19.4955,18.3955,20.1955,21.6955,20.4955,19.6955,19.345499,17.1955,16.6455,15.9955,15.8455,15.5955,15.2955,15.0455,14.8455,14.695499,14.4955,14.2455,14.0455,13.7455,13.695499,13.695499,15.8455,18.2455,20.2955,21.9455,22.9455,23.595499,23.7455,23.345499,22.0455,20.2455,18.845499,18.3955,18.345499,18.2455,17.845499,17.345499,16.8955,16.4455,16.0455,15.6455,15.0955,14.5955,14.5455,15.195499,16.2955,17.595499,19.1955,20.9455,22.345499,23.1955,23.6455,23.4455,22.1955,20.345499,18.845499,18.1455,17.7455,17.4455,17.0455,16.6955,16.4455,16.4455,16.5455,16.6455,16.6455,16.595499,16.4455,15.9955,15.445499,15.3955,16.2455,17.595499,18.595499,18.845499,18.7455,18.595499,18.5455,18.4455
2025-11-12 00:57:45+00:00,2025-11-12 00:00:00+00:00,8.65,8.4,8.15,7.6,7.15,6.75,6.1,5.4,4.6,4.2,4.05,3.9,3.6,3.55,6.2,9.4,12.5,14.85,15.55,17.05,17.65,17.5,15.75,13.05,11.75,10.45,10.3,9.85,9.35,8.75,7.8,6.6,5.2,4.5,4.4,4.55,4.1,3.8,5.9,8.9,12.0,14.35,15.4,15.2955,15.4955,15.7955,14.695499,12.695499,12.2455,11.445499,10.8955,10.8955,10.9955,10.945499,10.9955,10.8455,10.7955,10.8955,11.195499,11.2955,11.8455,13.2455,14.2955,15.2455,16.595499,19.1955,20.6955,21.9955,23.2955,23.595499,22.1955,19.095499,17.9955,17.4455,17.1455,16.7455,16.2455,15.8455,15.3955,15.0455,14.7955,14.8955,14.5955,14.2955,14.3955,14.7955,16.4455,18.6455,20.3955,21.9955,23.4455,24.4455,24.6455,23.7455,22.845499,21.9955,21.595499,21.2955,20.9455,20.4455,19.7455,19.1455,18.6455,18.1455,17.6455,17.2455,16.7455,16.095499,15.445499,15.2955,16.595499,18.0455,19.2955,20.4455,21.345499,21.9955,22.345499,21.9955,20.4955,18.345499,16.595499,15.6455,15.0955,14.7955,14.8455,15.1455,15.3455,15.2455,15.0455,14.8955,14.7455,14.6455,14.9955,16.0455,17.4955,18.8955,20.095499,21.1955,22.2955,23.4955,24.595499,25.1955,24.9955,24.2955,23.3955,22.2455,20.9455,19.7955,19.1455,18.6455,17.8955,16.5455,14.8955,13.2455,11.5455,9.8455,8.695499,8.3455,8.5455,9.0955,10.0955,11.3455,12.3455,12.8455,13.0455,12.7455,11.7455,10.2455
2025-11-13 01:13:20+00:00,2025-11-13 00:00:00+00:00,13.65,12.35,11.55,11.4,10.8,10.15,10.0,9.75,8.95,8.0,6.95,6.05,5.25,5.15,7.15,10.45,13.45,15.1,16.1,16.85,17.4,17.4,16.15,13.75,11.95,10.15,9.2,8.55,8.1,7.8,7.45,7.0,6.6,6.45,6.25,6.2,6.0,5.9,8.25,11.75,14.95,17.55,19.85,22.8955,23.345499,23.2955,21.8955,18.9955,17.9955,17.4955,17.2955,17.095499,16.9955,16.7455,16.5455,16.2455,15.8455,15.5955,15.5455,15.5455,15.3955,15.3455,16.5455,18.3955,20.345499,21.7955,23.345499,23.7455,23.9955,23.7955,22.6955,22.0455,21.845499,21.6955,21.345499,20.8955,20.2955,19.7455,19.2955,18.6455,17.6455,16.3955,15.4955,14.0955,12.7955,11.9955,12.945499,14.445499,15.7955,16.7455,17.3955,17.8955,17.9455,17.4955,15.9955,13.195499,12.0955,11.3455,10.7455,10.2455,9.695499,9.2455,8.7455,8.3955,10.2955,10.2955,10.2455,10.3955,10.0455,10.0455,10.3455,10.0455,11.0455,11.3455,11.8455,12.445499,12.9955,13.0955,12.4955,11.4955,10.6455,10.195499,9.945499,9.5455,8.8955,8.1455,7.6454997,7.5455,7.6454997,7.6955,7.5455,7.3455,7.2955,7.3954997,7.6454997,8.0455,8.7955,9.695499,10.4955,11.1455,11.6455,11.8455,11.5955,11.0455,10.2955,9.195499,7.9455,6.9455,6.4954996,6.3455,6.2454996,6.0955,5.9954996,5.8954997,5.7454996,5.5955,5.8455,6.6955,7.9455,9.195499,10.4955,11.7955,12.8455,13.4955,13.8955,13.8455,13.195499,12.1455
2025-11-14 00:57:57+00:00,2025-11-14 00:00:00+00:00,13.75,12.15,10.95,10.25,9.85,9.5,9.05,8.55,8.3,8.2,8.2,8.15,8.3,8.55,10.75,13.55,16.95,19.65,20.65,22.2,23.0,23.05,21.4,18.8,17.35,16.4,15.8,15.35,15.05,14.75,14.25,13.95,13.65,13.75,13.75,13.45,13.35,13.4,15.0,17.0,19.2,20.9,22.35,23.3955,23.7955,23.6455,22.7955,21.5455,21.0455,20.6455,20.2455,19.6955,19.3955,18.1455,17.2455,16.0455,15.3455,14.5455,13.445499,12.3955,11.7955,11.2955,12.195499,13.695499,15.0455,16.095499,16.8955,17.2955,17.1955,16.6455,15.0455,12.3455,11.3455,10.695499,10.0955,9.6455,9.2455,8.8455,8.445499,8.0955,7.7454996,7.2955,6.8455,6.3455,6.0455,6.2454996,7.7955,8.945499,8.945499,11.445499,11.5955,11.7455,13.2955,11.9955,11.7455,11.445499,11.3455,11.0955,11.0455,10.945499,10.0455,9.945499,9.3955,8.7455,8.2455,7.7454996,7.4954996,7.3954997,7.3455,7.2454996,7.4954996,7.9455,8.695499,9.3455,10.0955,11.195499,12.2955,12.695499,11.695499,9.945499,8.4955,7.7454996,7.3455,6.9954996,6.6955,6.4954996,6.3954997,6.3954997,6.4954996,6.5455,6.4954996,6.3954997,6.4455,6.6955,7.0955,7.7454996,8.8955,10.2455,11.0955,11.0455,10.4955,9.9955,9.7955,9.6455,9.5455,9.5455,9.5955,9.695499,9.945499,10.2955,10.5455,10.5955,10.5455,10.5455,10.5955,10.7455,10.9955,11.3955,11.8955,12.7455,14.195499,15.9955,17.345499,18.0455,18.2455,17.8955,16.4955,14.5455
