forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:16:08+00:00,2025-11-05 00:00:00+00:00,8.469057,8.116758,7.637984,7.588318,7.009499,7.3708205,7.6952105,7.476594,7.3784857,7.42754,7.231321,6.986044,6.7407627,7.0351,8.539646,9.612354,10.695154,11.565965,12.178178,12.533479,13.3346,13.452119,12.780289,11.704488,6.981877,4.8692775,4.300314,3.8670402,3.006541,2.705233,2.7065973,3.1326196,3.6195512,3.4045804,3.1702402,2.6275754,1.9757682,2.3970177,4.866242,5.745775,5.469429,5.586745,4.2306595,0.100417435,1.6969589,3.085289,4.7738094,4.295635,4.4843993,4.710611,5.357322,6.4543447,8.350677,9.938597,10.817954,10.899096,10.811136,10.816499,10.867492,11.06134,11.158261,11.396689,11.543589,12.435742,13.005146,14.119122,14.702564,14.913525,15.599869,15.472975,15.337889,14.766443,14.286267,13.889747,13.178729,12.634195,11.537569,9.437771,6.944406,5.436203,4.7625914,4.2375226,3.6108959,3.2731795,3.2155728,3.5947988,3.9857507,4.1772213,4.281887,4.028978,4.040208,3.5326164,3.6593695,3.795136,5.0011153,4.455057,4.717924,5.064176,5.093283,4.435757,3.5529046,0.8469926,1.772504,2.4965508,2.3557317,0.6324259,-0.2946683,-1.8643408,-3.2602508,-5.198725,-5.6701403,-7.0097303,-7.3664227,-7.8463554,-8.936082,-9.769065,-10.586041,-10.848143,-10.304587,-9.832722,-9.381749,-8.979926,-8.822599,-8.472355,-8.112087,-7.8752313,-7.6114626,-7.511924,-7.5424027,-7.5384693,-7.555767,-7.726723,-7.6784368,-7.682304,-7.617723,-7.8646216,-7.768393,-7.2269306,-7.124943,-7.0723977,-6.6691284,-6.4646425,-6.1815343,-6.0263824,-6.004547,-5.950306,-6.05107,-5.9362106,-5.8841825,-5.5479636,-5.6330967,-5.8239946,-6.4177976,-6.718429,-7.003339,-7.448282,-7.44729,-7.0259237,-6.8930793,-6.622871,-6.4371753,-6.2096753,-5.788183,-5.2220783,-3.9569755,-3.1901636,-2.6487138,-2.4879172
2025-11-06 00:59:43+00:00,2025-11-06 00:00:00+00:00,8.274699,7.4260864,6.776439,6.113258,5.0325475,4.7867064,4.886588,4.0583663,3.1150453,3.3347952,3.5378566,3.1934419,2.849019,3.059706,3.675972,1.9032104,1.5917412,1.6192749,-1.0656811,-1.7996656,-2.6065383,-2.5214994,-0.101954006,0.2332054,1.1733268,1.5768921,2.0390685,1.9792848,1.8371065,3.006541,5.6606026,7.276718,8.309663,9.244172,10.546797,11.482447,11.876389,12.319562,12.9104395,13.866688,14.489436,14.915102,13.001168,14.128552,14.347493,14.57739,14.607497,14.457079,13.802339,13.209095,12.714715,12.052355,10.676066,7.5143037,4.528827,3.4953527,2.6929185,2.2227006,1.9405427,1.6074005,1.7521597,2.1762478,2.6137455,2.7226934,3.1915307,3.415771,3.2642272,2.9334853,2.7449226,2.6315644,4.453609,4.3992424,4.529169,4.704003,4.714215,5.048825,5.332434,3.7350929,3.9491165,2.7285037,2.3039649,2.017694,0.8144621,0.09347326,-0.73204964,-1.6906435,-2.3314972,-2.8592331,-5.011682,-6.6291084,-8.003339,-8.627365,-8.803841,-9.200976,-9.926483,-10.145881,-10.660423,-10.689197,-9.892387,-9.05939,-8.291099,-8.8066435,-9.2373705,-9.079402,-8.958929,-9.268046,-9.195173,-9.431432,-9.928369,-10.192108,-10.4496155,-10.385568,-10.345028,-10.727589,-11.276319,-11.8969555,-12.101263,-12.319021,-12.057899,-12.054173,-11.90867,-11.889085,-11.959586,-11.946647,-11.986612,-11.765417,-11.732797,-11.659846,-11.499721,-11.344463,-10.952923,-10.553015,-10.083088,-9.230168,-8.547548,-8.116945,-7.3738594,-6.538512,-5.67838,-4.8387537,-3.54574,-2.9999607,-2.9537494,-3.1868908,-3.5907278,-3.4561074,-3.4905047,-3.5796318,-3.4904408,-3.4904408,-3.2668395,-3.2766259,-3.1451044,-2.9572885,-2.8457875,-2.3870184,-2.0618548,-1.3248692,-0.7003587,0.07240546,0.84175444,1.3353525,2.002852,2.4479017,3.287896,4.1139727,4.8949533,5.1104655
2025-11-07 00:57:37+00:00,2025-11-07 00:00:00+00:00,0.14256066,-0.45854864,0.07480691,0.9474279,1.1468037,1.7168479,2.3426275,4.4970613,7.009478,8.679577,9.956577,10.670418,11.285471,12.464631,13.698933,14.55503,15.322884,15.886798,14.642571,14.27543,12.279862,11.855969,11.164861,8.834693,7.7376013,7.734643,7.4863377,7.18682,6.3600297,5.860875,5.308905,4.703989,4.166529,4.0208073,3.797022,3.5516798,3.5870585,3.6362603,5.981973,7.3892226,8.071964,8.651817,7.9342303,3.5526135,3.1462386,4.4783993,5.5594378,4.6552677,4.899792,5.0474,5.1570616,5.1829796,5.032284,5.079177,4.620224,4.9349184,5.6821084,3.9828422,2.6450632,1.6341782,0.74229795,-0.33341882,-0.579905,-2.0883653,-2.4132164,-3.8040438,-5.8180385,-6.4371753,-7.403007,-9.625361,-10.127846,-12.028105,-13.408261,-13.286853,-13.769992,-13.864654,-13.205826,-12.404213,-11.549664,-10.886397,-10.202944,-9.228585,-8.557974,-8.273206,-8.112736,-8.160564,-8.438814,-9.652607,-10.727589,-11.573476,-12.014168,-12.339455,-12.0371065,-11.274044,-9.926483,-9.527996,-9.143528,-9.105461,-8.953017,-8.5313225,-8.150388,-7.932803,-7.4695053,-7.240777,-7.226475,-7.2156553,-7.025033,-7.0508256,-6.8320546,-6.644459,-6.312728,-5.935991,-5.7190456,-4.9373984,-4.6128554,-3.901381,-3.590192,-3.1337175,-3.2674806,-3.2668395,-3.5799775,-3.6694548,-3.366364,-3.4561074,-3.2513669,-3.054844,-2.9566834,-2.9572885,-2.7089229,-2.7323463,-2.8547409,-2.7068708,-2.6147163,-2.1572196,-1.8422841,-1.0066643,-0.19332078,0.7861244,1.608595,2.7128732,3.4192774,4.4572845,5.029897,5.0474,4.9021897,4.947422,4.9691024,4.7599173,4.140752,3.133038,1.8419667,0.28706083,-1.5782334,-3.1684737,-3.8121886,-4.089536,-4.0434375,-3.7387872,-3.2282364,-2.9090254,-2.5491958,-2.8230715,-2.678702,-2.9515893,-3.073677,-2.8228016,-2.655255,-2.460638
2025-11-08 00:52:40+00:00,2025-11-08 00:00:00+00:00,9.570331,7.378752,6.7442856,6.8000517,6.7190285,5.7002263,4.903747,4.5435853,4.935305,4.731008,4.412796,3.8013382,3.6007476,3.9806654,6.0647993,7.0007496,8.261508,8.454069,8.972124,8.212316,6.825679,7.5203485,8.213917,7.850401,9.768421,9.478913,8.84615,7.5887156,5.6555686,4.00744,2.3990269,1.8277919,1.6824597,1.2948946,1.0136894,0.626684,0.471254,0.08362732,-0.38930216,-0.95319843,-0.3409185,0.15100086,0.44332066,-7.2831626,-7.9589334,-8.819276,-9.154526,-9.807712,-10.615535,-11.2889595,-11.503226,-11.727965,-12.270125,-11.914036,-10.504552,-9.835955,-9.2843485,-8.699968,-8.41596,-8.454884,-8.30405,-8.113326,-8.628209,-9.647357,-10.66284,-11.518533,-12.584347,-12.928905,-13.188245,-12.841766,-11.762382,-11.782943,-11.321958,-10.932277,-10.810644,-10.619703,-10.694592,-10.728702,-10.868255,-10.768157,-10.861391,-10.67515,-10.318045,-10.097943,-9.721309,-9.369243,-9.190265,-8.529786,-7.66598,-6.6243258,-5.36427,-4.390492,-3.5796318,-3.1773803,-3.2766259,-3.8484185,-4.0702505,-4.1681542,-3.981039,-3.936434,-3.714193,-3.2963698,-3.2353692,-3.1829748,-2.920551,-2.5493991,-2.5337675,-2.3382728,-1.9493096,-1.5292838,-0.43566045,0.18564458,1.0351357,1.2055535,1.8093851,1.7411407,1.5124704,1.4318503,1.0229021,0.20910732,-0.40071058,-0.5880724,-0.68545145,-0.9289556,-1.3463323,-1.9348056,-2.3050828,-2.3414454,-2.2027047,-2.2903879,-2.4911578,-2.615606,-2.5682533,-2.337374,-1.8300282,-1.708581,-1.9268824,-2.460638,-3.350951,-4.025237,-4.1425266,-3.8534014,-3.698908,-3.8670275,-3.893163,-4.21907,-4.1515946,-4.3767095,-4.318823,-4.499449,-4.405325,-4.103932,-3.8303013,-3.3523767,-3.1224995,-2.7087677,-2.2031782,-1.8355342,-1.4219928,-0.4572991,0.9242035,2.7609336,4.3381367,6.4906955,8.3069,9.802946,10.010856,9.296582
2025-11-09 00:58:50+00:00,2025-11-09 00:00:00+00:00,7.949427,7.5568137,8.353924,8.52825,8.393551,7.15473,8.309663,6.936988,4.6062713,3.38472,2.9669158,2.3325322,2.4301324,2.8715909,2.3585076,2.5779712,1.9631279,1.7194654,-0.22113653,-1.334417,-0.5225236,-0.5054979,-1.6473659,-5.150184,-6.321959,-3.057584,-5.366539,-7.8222256,-7.310991,-6.9607,-6.9528275,-5.863394,-6.0469227,-6.5648966,-6.80322,-6.2489867,-6.0950456,-7.4001217,-6.7700872,-6.183243,-6.037093,-5.7971234,-6.215511,-8.982464,-12.101263,-13.625064,-12.364873,-12.852666,-12.726322,-12.434288,-12.357702,-12.125448,-11.659846,-11.48374,-11.51958,-11.279959,-11.190094,-11.104487,-11.151398,-11.104487,-11.023002,-10.50602,-10.384615,-10.032075,-9.469282,-8.84557,-8.228999,-6.8433986,-5.3248076,-4.853123,-4.924205,-5.1021414,-4.9686875,-4.6948476,-4.6948476,-4.2511444,-4.0721455,-3.9826524,-3.4313836,-3.2734973,-3.0115604,-2.8914108,-2.4420671,-2.2461302,-1.8565367,-1.5292838,-0.48213002,0.27748215,0.76114595,0.9816655,1.0274295,1.34347,1.204232,1.4318503,2.7609336,1.8512226,1.3956732,1.1438998,0.958109,0.64730763,0.35421577,0.12191875,-0.11039431,-0.43566045,-0.48565835,-0.61209065,-0.6462561,-0.6939039,-0.79329944,-0.5056707,0.12191875,0.49069345,0.7062025,0.88898015,1.2934986,1.33634,1.3596495,1.9178555,2.7144485,3.3791435,3.4720223,3.4482486,3.3997452,3.3940709,3.6854353,3.9459124,4.1196003,4.2259674,4.2740097,4.466176,4.695131,5.111539,5.570904,6.5652156,7.5528083,8.911264,10.638983,12.611941,14.087618,14.67813,14.529103,14.313158,14.080052,13.904288,13.822254,13.790613,13.723252,13.604592,13.336053,13.237311,12.918194,12.770274,12.573048,12.351567,12.177666,12.100203,12.001837,11.935462,11.880049,11.803511,12.1220875,12.413613,12.64224,12.721264,12.628919,12.649498,12.387708,12.095915
2025-11-10 01:01:13+00:00,2025-11-10 00:00:00+00:00,-5.2454576,-6.4862723,-7.1217275,-8.415219,-7.931231,-8.696479,-8.292789,-8.516313,-9.400244,-8.6496,-6.4200683,-7.1622515,-6.755324,-7.096038,-6.9004426,-6.4209814,-5.517591,-4.887729,-5.3237486,-6.438553,-8.196387,-7.4418344,-7.7956414,-7.1164875,-8.010445,-7.4529433,-6.876824,-6.6747837,-6.0848317,-6.3266745,-6.3266745,-6.037224,-5.6619496,-5.5260196,-5.2476907,-4.938779,-4.6178975,-4.696714,-4.8051596,-5.0470753,-4.8369226,-4.534435,-4.317664,-6.872183,-5.7667837,-5.1021414,-5.2303677,-5.2359133,-4.691907,-4.4542913,-4.228516,-4.0930614,-3.8673213,-3.4092882,-2.966055,-2.686609,-2.5796187,-2.5225663,-2.32043,-1.9327953,-1.7293471,-1.4792842,-0.552327,0.23966755,1.4065323,1.8355702,1.7370036,1.9141967,1.6969589,1.7812067,1.8139575,0.9661639,0.60963655,-0.31537047,-1.0093094,-1.8800099,-2.4803305,-2.675405,-3.0457723,-3.4161837,-3.694021,-4.0374274,-4.108781,-4.2948723,-4.325624,-4.155303,-3.4968023,-3.0924556,-2.866215,-2.8572197,-3.041325,-3.1983318,-2.8518934,-1.7814763,-0.28320354,-0.62921137,-0.8378208,-0.87069875,-0.91051894,-0.96304166,-0.6680142,-0.36483043,-0.2846992,0.15206699,1.0367116,1.7951444,2.8358533,3.866922,5.064176,6.4039764,8.140564,9.843945,10.955132,12.137614,13.180709,13.5819,13.9114685,14.020826,13.945275,13.530995,13.292942,13.080407,13.096471,12.954571,12.809405,12.517786,12.320294,11.973268,11.573774,11.31726,11.12166,11.07276,11.04691,11.109802,11.303252,11.507604,11.803157,11.854347,12.040511,12.179383,12.371915,12.450026,11.936252,11.328972,10.936487,10.789813,11.053502,11.042517,10.994947,10.907587,11.042517,11.75246,12.637477,13.187939,13.673749,14.098952,14.124144,13.664203,12.702925,11.357587,9.9655075,8.314176,6.8073835,5.316063,4.008766,2.9771838,2.0529406,1.1182715
2025-11-11 00:56:46+00:00,2025-11-11 00:00:00+00:00,-5.561748,-5.1277714,-6.150649,-5.5095997,-4.681236,-4.326998,-4.503068,-4.3754807,-4.4239635,-4.1268196,-4.2500825,-4.4239635,-4.6328974,-5.319929,-5.4023924,-5.417608,-4.8688507,-3.9064186,-2.7901654,-1.6527396,-1.20946,-1.0471504,-0.58818936,-0.114881106,-1.070061,-1.1544623,-1.0986727,-0.9498936,-0.8058816,-0.6138709,-0.46718198,-0.37121788,-0.37437668,-0.30401877,-0.46378714,-0.5294175,-0.6464352,-0.66875845,1.3433418,3.0896568,5.0325475,6.1099105,6.3887167,0.89594007,0.1879009,0.7197488,0.9748159,0.056231406,-0.36544093,-0.5874254,-0.916775,-1.5106438,-2.1108882,-2.5265143,-2.8960075,-3.2193532,-3.4503353,-3.727537,-3.9585586,-4.0971804,-3.9255724,-3.323576,-2.45793,-2.062208,-1.5677657,-1.221263,-0.5134078,0.061532885,0.7247129,2.2351375,3.4440153,3.5188384,3.9142044,3.8579893,3.8756294,3.9937131,4.071637,4.1298823,4.0818386,4.5267153,5.1042957,5.843825,6.772648,7.606585,9.170545,9.6637,10.156843,11.436964,12.403805,12.758392,13.001771,13.429053,13.848078,13.802927,14.042568,13.848573,13.32779,13.188638,13.016805,13.039821,13.060782,12.931216,12.8322115,12.683699,12.535188,12.269766,12.269766,12.072007,11.923688,11.734809,12.178118,12.317565,12.67013,12.697389,12.67509,12.839633,12.839633,12.966198,13.136507,13.138573,12.766109,12.383625,12.25693,11.851068,11.524773,11.38235,11.144975,10.994947,10.792828,10.586197,10.279511,10.180348,10.132357,10.327341,10.757113,11.047949,11.498318,11.999985,12.5827465,12.793575,13.182946,13.345271,13.445559,13.372694,13.299288,13.347263,13.306844,13.277608,13.18252,13.1274,13.148566,13.011456,12.923231,12.799671,12.557795,12.259351,12.315912,12.899537,13.554468,14.098952,14.444996,14.693128,14.9803095,15.256701,15.332819,15.531636,15.723294,15.806813
2025-11-12 00:57:53+00:00,2025-11-12 00:00:00+00:00,-1.993278,-1.4627142,-1.4627142,-1.3898275,-1.3206953,-1.4627142,-0.76962674,-0.2933031,-0.037877962,0.25262335,0.3126691,0.42914316,0.25690874,0.590361,2.6253302,4.207404,5.8463497,7.0434103,7.124428,6.7978845,6.4312286,6.1983256,6.7558265,3.9693136,3.4045908,3.1418538,2.5930786,1.9138757,1.5602655,1.4299456,1.1097565,0.7182008,0.012509832,-0.2807759,-0.69353783,-1.1331986,-1.3557132,-1.4043214,1.6686064,4.655131,5.851043,8.143512,8.632735,-0.79148585,0.14996932,1.6484618,2.9091418,2.8731017,2.928006,3.157626,3.512767,3.7828312,4.0893135,4.137113,4.3455105,4.6471725,5.9758563,7.1295543,7.508478,8.5120535,8.822138,9.53811,11.341689,12.1677685,12.722443,13.240776,13.380141,13.417914,13.230096,13.737782,13.800191,13.664203,13.730251,13.657769,13.657769,13.533305,13.376894,13.344594,13.148459,13.001365,12.805228,12.560057,12.511022,12.37969,12.246318,12.246318,12.466606,12.794538,12.944328,13.30488,13.539337,13.813081,13.811399,13.997731,13.914438,13.737782,13.653427,13.897825,13.897825,13.850375,13.889486,13.895961,13.898421,13.726135,13.659918,13.8299885,13.908649,13.953593,13.889747,13.572059,12.34411,9.90081,8.332487,7.3976483,7.024876,6.1342053,5.5711317,5.1702113,4.5652294,3.6593695,2.714149,2.2028003,2.0932083,1.9101124,1.3480706,0.6610151,0.5076146,0.79657143,0.9876944,1.8375494,2.5872083,3.8703725,4.9853873,6.462719,8.318152,10.115307,11.945038,13.778985,15.361714,16.228498,16.82621,17.285978,17.666845,17.880753,17.680271,16.615732,14.963448,13.583864,13.086305,12.876347,12.615394,12.267972,11.659206,10.752991,8.97328,6.772648,4.9503226,3.9724817,3.366725,2.9286819,2.3734868,1.52066,0.59888846,-0.14636452,-0.2812519,-0.5532565,-0.37963873,-0.51163256
2025-11-13 01:13:27+00:00,2025-11-13 00:00:00+00:00,1.6893873,2.6167827,2.798555,3.021474,3.1935112,2.6098704,2.1668887,1.6482483,1.2618792,1.2346144,1.1124524,0.54979813,-1.4521816,-1.9321783,0.8180483,3.2445877,4.5488286,4.3052254,4.986982,3.3142183,3.7248902,4.3313794,4.8167434,3.0292988,3.007246,3.1770496,2.8544412,2.51898,1.8435888,1.506448,1.0251625,0.78442895,0.7788879,0.9073101,0.9920074,3.2108986,4.1938314,5.1224256,5.7967505,7.3384595,9.478913,12.3382,13.942021,13.337286,13.487708,13.710803,13.94326,13.62199,13.679493,13.785872,13.63878,13.435764,13.245726,13.003099,12.660417,12.515056,12.321245,12.078972,12.032526,11.933603,11.686979,11.686979,11.907962,11.95378,12.17931,12.4602165,12.781083,13.044449,13.52148,13.859557,13.961323,13.628984,13.83213,13.817304,13.879306,13.889769,13.895905,13.848109,13.895961,13.901369,13.776979,12.174258,9.257779,6.664564,5.8820477,4.841578,1.9432318,-2.9203448,-4.6986346,-6.1378145,-5.994265,-6.3420043,-6.4250135,-6.2447066,-5.2602286,-6.8394775,-7.653814,-8.211251,-8.725997,-8.715235,-9.189343,-9.620481,-9.965477,-10.310553,-10.239638,-10.716244,-10.802914,-10.185417,-10.013647,-9.663601,-9.10313,-8.50157,-8.302186,-7.610943,-5.2364244,-4.7062163,-3.8670275,-3.4696484,-2.7324765,-2.1073182,-1.5230693,-0.6341165,-0.0016462913,0.33364835,0.05427435,-0.5286005,-0.9933363,-0.79082686,-0.579905,-0.45314223,-0.21519755,0.019196186,0.1419147,0.33084285,0.47253373,0.5267667,0.7154867,1.1180682,1.2647269,1.4225663,1.3888059,1.3888059,1.5905428,2.0767448,2.3612897,2.4482145,2.578754,2.7343507,2.6073182,2.4525263,2.2543867,2.0530505,1.9939268,1.8483775,1.5572703,1.132596,0.95518297,0.8491897,0.82514024,0.9971665,1.3112742,1.857953,2.3572326,2.7559443,2.825472,3.0311937,3.0595539,3.0810168
2025-11-14 00:58:06+00:00,2025-11-14 00:00:00+00:00,-0.5820874,-0.52181214,0.29271838,0.71366036,1.1560054,0.30936393,0.49612775,1.919869,3.1752071,4.040395,4.584224,4.975646,5.9431,6.0780563,7.1949887,8.71227,11.47016,13.194424,13.392462,14.048108,14.367527,14.426216,14.5152445,13.894915,13.571947,13.473338,13.25511,13.00892,12.664243,12.5409975,12.194877,11.899832,11.604781,11.604781,11.949008,11.801483,11.728661,11.728661,12.773357,14.037761,14.38154,15.164384,15.144297,13.580675,14.090893,14.130969,13.820666,13.842499,13.9927225,13.94319,14.079987,13.961198,13.966787,13.629398,13.087313,11.659554,8.814934,6.2049074,6.144316,6.4835515,6.213421,4.7285376,1.9798276,-3.2090688,-6.306817,-7.795452,-8.614932,-8.286531,-8.286531,-8.084443,-5.814147,-7.0354967,-7.426296,-7.5785108,-7.662062,-8.141766,-8.490727,-8.883397,-9.232517,-9.207565,-9.558089,-10.323984,-10.629723,-10.653943,-10.873197,-10.127965,-9.295189,-9.189343,-9.152152,-8.869182,-8.364495,-7.580342,-6.282559,-5.9827666,-4.832054,-4.498456,-4.265026,-4.131994,-4.010983,-4.1439276,-1.8422841,-1.8460941,-1.969721,-1.2722098,-0.92920804,-0.33341882,0.13730915,0.60975266,1.0083119,1.446075,1.6311218,1.7782475,2.0698147,2.1724527,2.582383,2.4747427,2.3154342,2.1764572,2.0996768,2.057481,1.7944402,1.775309,1.6823183,1.8728158,2.0046089,2.223511,2.3846488,2.5368798,2.6805985,2.7003074,2.5704737,2.487367,2.5213351,2.781221,2.8347585,3.0643165,3.4010653,3.9978569,4.351083,4.7599173,5.1408067,5.4144635,5.6286516,5.7834744,6.1167417,6.477058,6.9922595,7.357879,7.641678,7.9681215,8.337867,8.545379,8.751539,8.956374,9.159914,9.412061,9.661466,10.110393,10.70896,11.556923,12.803916,14.250409,15.497371,16.02184,16.287922,16.39619,16.841648,17.089127
