forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:16:18+00:00,2025-11-05 00:00:00+00:00,5.410613,6.089552,6.6078744,5.208318,3.2385297,2.37009,2.4667256,3.5768125,5.0204725,5.4976892,5.8769116,6.4197145,6.838061,6.9736767,7.4753027,8.239308,7.2146344,5.7763195,3.5120478,3.1980217,3.1085505,1.0950103,-0.8809722,-2.0786076,-2.0421994,-1.8447863,-1.393033,-1.0214945,-0.72162825,-0.8312796,-1.2673234,-1.4260175,-1.9053273,-1.6766738,-1.7980915,-1.8950247,-2.1373634,-2.0149064,-0.17075063,3.1870904,2.6075613,1.0911515,-0.18080746,-0.8090377,-0.7796369,0.06411339,0.7936923,1.1656932,1.9822855,3.3885918,5.7636824,7.130204,8.330484,9.469342,10.487627,10.811406,10.972654,11.021555,11.070091,11.4098425,11.542766,11.835296,12.380239,13.007809,12.587832,10.476197,8.09057,5.2878046,3.5885334,3.2406237,3.0335681,2.4217517,2.2045279,1.4937278,0.5422794,0.62694263,0.9776436,0.89278054,2.645442,3.4654078,3.7000568,2.7298825,1.8430625,1.6132255,1.6405213,1.3571515,1.1053017,1.0045582,1.0446756,0.88692284,0.65790457,0.49696386,0.75786,1.0722843,2.2237945,2.2105598,2.3280206,0.36079973,1.26599,3.2213001,2.10536,1.3011574,-0.9756067,-3.2762392,-4.9284625,-5.5234284,-7.845426,-8.301261,-7.265961,-7.8975983,-9.54376,-11.109053,-11.675737,-11.689477,-11.0646925,-10.83984,-10.484103,-9.780385,-9.372463,-8.821572,-8.695366,-8.476818,-8.336894,-8.171299,-8.122367,-8.00895,-7.875261,-7.6702285,-7.4392242,-7.1800303,-7.086296,-7.011218,-6.8147855,-6.741647,-6.721909,-6.6818023,-6.5971584,-6.6568847,-6.7646284,-7.1311297,-7.951385,-8.369051,-8.304749,-8.604856,-8.821572,-9.3191395,-10.056557,-10.751775,-11.405296,-11.97222,-12.199382,-12.335688,-12.426563,-12.225161,-12.258585,-12.025844,-11.75046,-11.025673,-10.098246,-9.171994,-8.39548,-7.2968416,-6.6172233,-5.998562,-5.7482285,-5.4879827,-4.99943,-5.0499144
2025-11-06 00:59:58+00:00,2025-11-06 00:00:00+00:00,0.3313061,-1.1996342,-1.7197363,-1.8181777,-1.877767,-2.27196,-2.5008888,-3.636524,-4.570942,-5.2806416,-5.6458335,-5.1563354,-5.5339804,-5.2435384,-3.8054755,-4.2339635,-1.3724167,0.7782651,-3.1009972,-3.8687406,-5.7395444,-6.494426,-5.3606405,-4.034512,-2.6584544,-0.1250144,1.0587603,1.2806584,4.4356804,8.172053,10.389631,10.9850645,11.355024,11.712764,12.282722,12.226153,11.158339,8.376076,7.491179,6.68027,5.8546834,4.431953,3.4330862,2.6038773,1.8077977,2.0840795,1.8918028,1.5227383,1.3712353,1.2700057,0.71806216,0.42949578,0.5148672,1.2446878,2.571457,2.832608,2.7946177,2.4261189,2.118853,2.2261472,2.3442023,2.4108078,2.2692356,1.719084,1.6659231,1.4430221,1.5247906,1.3578293,1.674914,2.082533,2.4671454,2.3650522,3.6858265,5.614423,5.5430684,5.672327,3.4677575,1.730663,1.7024925,1.0307145,-0.04516856,-0.9270013,-2.360909,-4.0890017,-7.060996,-7.7246633,-7.224875,-6.494772,-8.15843,-8.913032,-9.871911,-10.988518,-10.563017,-9.914048,-9.493355,-8.096447,-7.6507397,-8.293601,-9.071385,-9.165707,-8.998144,-9.092642,-9.495844,-10.089938,-10.686016,-10.796227,-10.793962,-11.011845,-10.985884,-11.073409,-11.07878,-11.420894,-12.217259,-13.213828,-13.83675,-14.478908,-14.570256,-14.656017,-14.179442,-13.567691,-13.317314,-13.252834,-12.951974,-12.926442,-12.624009,-12.301259,-11.955542,-11.630819,-11.232515,-10.993321,-10.479959,-10.111544,-9.501937,-8.989282,-8.544822,-8.083128,-7.3784847,-6.7238297,-6.4424224,-5.690177,-4.4907618,-3.7350123,-3.131993,-3.0648513,-2.9604058,-2.371819,-2.144761,-1.6390388,-1.4899224,-1.0407194,-1.0014441,-0.86922246,-0.82973063,-0.7381314,-0.68398887,-0.8257873,-0.7306008,-0.16239823,0.49040377,1.0864452,1.8590446,2.3995216,2.7797213,3.0619528,3.206832,3.4175303,3.577235,3.8187132
2025-11-07 00:57:51+00:00,2025-11-07 00:00:00+00:00,-4.475535,-3.062278,-0.47214842,1.0565624,2.1488667,4.3308353,7.152765,9.5013895,10.308956,11.475366,12.125055,12.203235,11.850515,11.3066635,8.507555,7.072613,5.602669,5.482128,4.569586,4.0601144,2.1856465,1.4515548,0.14540376,-1.1987213,-0.591062,0.12548047,0.71957016,0.72480136,0.6571047,0.44106698,0.7224442,0.32831603,0.28540114,0.16294107,0.937055,1.5825001,0.78709894,1.27009,2.081772,1.9870656,2.0983841,1.626927,0.15550447,0.09430241,-0.11163591,0.5014839,2.0094442,2.9944508,3.2074003,5.4987917,5.2017627,3.9134238,2.93395,1.6655147,1.096934,-0.09121308,-1.2363305,-2.05938,-1.9862432,-3.9369824,-5.6637406,-6.6364317,-7.8247094,-9.610858,-11.078037,-12.314699,-14.147458,-14.392767,-15.709329,-15.450913,-13.488022,-13.081145,-12.93112,-11.456719,-9.618984,-8.749994,-8.618709,-8.525693,-8.325082,-8.455455,-8.44146,-8.344722,-8.2696495,-8.095065,-8.095473,-8.123665,-8.298212,-8.84951,-8.406636,-8.492465,-8.70491,-8.66238,-8.304749,-8.26005,-8.075259,-7.900017,-7.949482,-7.9178596,-7.9065332,-7.595434,-7.6424847,-7.5809526,-7.3454127,-7.1854525,-7.0645485,-7.0645485,-6.971215,-7.0330377,-7.2643394,-7.6231294,-7.582924,-7.544991,-6.8646646,-6.179831,-5.9061685,-5.4363036,-4.3516936,-3.7540832,-3.0005317,-2.8073635,-2.5436697,-2.2089093,-1.6821653,-1.2752216,-1.0785009,-0.9547632,-0.67758644,-0.5897705,-0.6422476,-0.54952717,-0.446895,-0.4450517,-0.25469518,0.31172267,1.0078676,1.5984563,2.2131648,2.1050797,1.5639848,0.5659184,-0.7564187,-1.8702295,-2.5400925,-2.673845,-3.4937327,-4.1518846,-4.333041,-4.480783,-4.356302,-4.4881964,-4.323829,-4.188607,-4.3147335,-4.1739006,-3.936702,-3.7463055,-3.4115777,-3.0775642,-2.7009537,-2.858479,-3.0369658,-3.907192,-4.6195045,-4.8270426,-4.900328,-4.528959,-4.26538,-4.359439
2025-11-08 00:52:51+00:00,2025-11-08 00:00:00+00:00,-0.0039139125,0.33177418,1.0459721,2.025465,1.8355786,2.8584216,3.8437052,3.9742215,3.692866,3.2713916,2.6570756,2.3994694,2.4145436,2.2305,2.5360274,2.4789634,2.2716844,1.8714131,2.158373,1.2676586,1.2404772,1.4173026,2.1971607,1.6445829,4.353162,6.3075824,3.8467946,2.6527307,2.2797704,2.0701034,1.6132147,0.7628009,0.49542013,-0.75874555,-1.8568649,-1.3619941,-1.5251838,-2.5129762,-2.8333247,-4.735309,-5.9649997,-7.0056043,-7.3757086,-10.975454,-12.534967,-13.639011,-13.328163,-11.411425,-10.742918,-10.434032,-9.548425,-8.900546,-8.265952,-8.293601,-8.265117,-8.057275,-7.8484797,-7.95995,-8.365931,-8.780703,-9.068657,-9.365343,-9.716271,-10.797074,-11.223142,-11.928673,-12.462095,-12.664681,-12.676566,-12.31352,-11.195642,-10.010807,-9.04665,-8.983436,-8.982461,-9.126845,-9.276363,-9.511268,-9.699203,-9.605234,-9.590458,-9.450367,-9.356774,-9.232622,-8.616572,-8.535283,-8.268458,-8.037651,-7.207443,-6.249584,-5.842628,-4.9557266,-3.614101,-3.2015908,-2.8073635,-2.9159677,-2.5960793,-2.1797643,-1.7300012,-1.2613472,-0.7183788,-0.4110191,0.09737551,0.4405036,0.62462527,0.7982578,0.7025998,0.62540436,0.18656036,-0.10093814,-0.086228095,-1.334119,-2.7694757,-3.907192,-4.963367,-5.423399,-5.167786,-4.4046307,-3.9960346,-3.8595204,-3.7065883,-3.2658024,-2.4342732,-2.0195034,-1.9406657,-1.861061,-1.9567114,-2.2001135,-2.4014173,-2.5602038,-2.653581,-2.9203672,-3.0338116,-3.13375,-3.2405312,-3.5680976,-4.1092863,-5.0868387,-6.061135,-6.8551445,-6.9704823,-7.1385083,-6.6168575,-6.4424224,-6.5095296,-6.5475564,-6.5475564,-6.5916233,-6.510866,-6.20704,-5.855211,-5.4949646,-5.1675777,-4.824704,-4.0343056,-3.0310571,-2.0543742,-0.68911695,0.997827,2.8713055,4.931033,6.8715944,8.691436,9.867973,10.662046,11.489378,12.435598,12.738558
2025-11-09 00:59:00+00:00,2025-11-09 00:00:00+00:00,4.166186,4.1655693,4.89487,6.3504515,5.6944075,3.707227,2.9399939,2.365338,2.389291,0.8927694,0.5796851,0.31409734,0.36297634,0.3846034,-1.0845976,-1.7879041,-2.9613724,-3.478282,-7.100031,-7.528973,-8.620827,-5.3105154,-9.556632,-10.0952635,-8.733655,-10.203328,-5.261518,-6.658304,-9.306899,-7.5905485,-6.627183,-7.182404,-6.912717,-9.747101,-10.352023,-9.415101,-9.526594,-9.379839,-8.735977,-8.969788,-9.000008,-9.120401,-8.897026,-13.575196,-12.851514,-12.532987,-11.78053,-11.539596,-11.906292,-11.8872595,-12.025844,-12.07966,-12.093902,-12.001446,-12.140443,-12.033012,-11.754417,-11.243726,-11.150881,-10.982331,-10.750762,-10.572316,-10.340983,-10.099788,-9.325264,-8.178749,-7.208674,-5.842628,-4.6536856,-3.6387448,-2.9604058,-2.685789,-2.0385838,-1.8259875,-1.5060737,-1.0925813,-0.76419944,-0.26377442,0.160049,0.5487646,0.8135767,1.0625111,1.0533564,1.201279,1.1498903,0.9323983,0.8702391,0.175622,-0.9536102,-2.2264,-2.1174314,-1.7786613,-1.1142389,-0.9422539,-0.13044402,-0.7269006,-0.7402505,-0.692569,-0.67233324,-0.33482492,-0.04291629,0.3462251,0.7671039,0.8135767,1.0968772,1.3053652,1.3048867,1.2531852,1.343595,1.2084444,1.6484588,1.5519129,1.6432276,1.4613196,1.2386495,0.9915126,1.1038432,0.9721954,0.9462691,1.1656932,1.1395972,1.4497634,1.784622,2.1688619,2.4669585,2.8237326,3.2180007,3.9583216,4.7680135,5.6516523,6.4121127,7.272399,7.91507,8.598177,9.130884,9.66407,10.488019,11.259762,11.9188,12.635806,13.1355,13.431375,13.79212,13.878714,14.03033,14.07773,14.248569,14.318136,14.121738,14.023542,13.794209,13.428065,13.102819,12.912694,12.859078,12.753865,12.753865,12.864018,13.302499,13.55822,13.887545,14.060705,13.820981,13.513929,13.308015,12.985633,12.78895,12.738174
2025-11-10 01:01:28+00:00,2025-11-10 00:00:00+00:00,-10.371807,-11.89035,-11.642327,-10.206352,-9.494823,-10.026381,-10.37652,-10.998561,-10.30476,-9.936827,-9.379369,-8.892369,-8.295331,-7.8634105,-7.0903606,-6.896976,-7.428184,-8.217509,-10.412652,-11.046641,-11.144283,-10.824274,-12.004577,-13.051459,-12.943184,-13.287161,-12.890785,-12.494916,-11.75066,-11.1228,-11.016778,-11.265139,-11.342427,-10.299832,-9.781191,-9.909186,-10.337209,-10.208862,-9.527569,-9.867483,-10.036354,-9.646316,-9.210036,-5.8737235,-5.148962,-3.903678,-3.1826084,-2.748748,-2.4958003,-2.221496,-1.5933862,-1.0939807,-0.94447476,-0.446895,-0.26674286,-0.29261228,-0.3825072,-0.13910894,-0.13910894,-0.09095519,0.002794555,0.14225413,-0.02015711,-0.5850624,-2.767258,-3.8771257,-4.6969995,-4.9053063,-5.039999,-5.0825944,-4.4040766,-4.6052938,-4.870151,-4.9746675,-4.5787687,-4.460421,-4.3896694,-4.080294,-4.0893254,-3.8438704,-3.5717807,-3.4660199,-3.3725967,-3.419308,-3.2791765,-3.3101058,-2.9294355,-3.1374316,-2.9032161,-3.3072894,-3.580797,-4.1468196,-4.434671,-4.1897855,-3.7350123,-3.093724,-2.633102,-1.5464748,-0.39294097,0.80470496,1.6685212,2.1688619,2.746965,3.122891,3.5046222,3.9062378,4.434475,4.7625804,5.470568,6.3476405,7.3297873,8.538707,10.048489,11.145735,11.724938,12.337723,12.857808,13.288247,13.6118145,13.787143,13.751065,13.726953,13.787727,13.837484,13.827895,13.856899,13.827146,13.562826,13.16947,12.825269,12.354079,11.849379,11.679726,11.652514,11.967024,12.057061,12.198724,12.5371275,12.468137,12.379037,12.233542,12.286251,12.317854,12.3775,12.149947,11.90671,11.621358,11.431111,10.824612,10.253421,10.209468,11.196338,12.363282,12.926574,12.628582,11.981555,10.866724,9.468533,7.8723054,6.605604,5.8856006,5.402409,4.9126115,4.470731,4.200319,3.9617069,3.7354565,3.4408026
2025-11-11 00:56:56+00:00,2025-11-11 00:00:00+00:00,-10.141352,-9.867335,-10.403044,-10.541517,-10.766412,-10.479789,-10.021579,-8.976467,-8.444437,-9.33588,-8.477764,-8.287092,-8.430096,-8.751178,-7.3975816,-7.679558,-8.059521,-7.216593,-6.6202674,-5.8356977,-5.4171453,-4.809331,-5.1336074,-5.539518,-5.2964253,-4.848622,-4.4270606,-3.9172335,-3.656424,-3.3280666,-2.9922676,-2.4069135,-2.2903535,-1.9349197,-1.6656674,-1.2901423,-1.0072008,-0.8101775,1.9219793,1.6304412,-0.48637795,-1.5506165,-2.0429509,-5.663396,-5.4937863,-5.620991,-4.999203,-4.9637904,-4.916642,-4.910377,-4.660364,-4.729285,-4.4476275,-4.597021,-4.280137,-3.94233,-3.9477124,-3.62728,-3.4546163,-3.2405312,-3.0085087,-2.776503,-2.2872844,-2.3703303,-1.9226588,-1.7411537,-1.4237603,-1.2014492,-0.98343104,-0.5921465,0.1260745,0.27036887,0.56078154,1.2576661,2.5598524,3.7201529,4.319604,4.7780166,5.0641046,5.3893695,5.983101,6.4617143,6.6567664,6.825151,6.9425764,7.10753,7.6903424,8.186211,8.732034,9.592386,10.310607,10.826785,11.014464,11.202141,11.488029,11.3081455,11.52117,11.595928,11.932091,12.197075,12.460734,12.326041,12.276408,12.425304,12.723094,13.020878,13.005977,13.055546,13.005977,13.005977,13.352927,13.426084,13.260316,12.974066,12.929913,12.808228,12.87225,12.736601,12.598913,12.801405,12.518218,12.374935,12.084319,12.140377,12.130095,12.435598,12.429819,12.408227,12.371632,12.416903,12.449242,12.315863,12.364161,12.4346485,12.611106,12.762676,12.977788,12.984249,12.939581,13.004581,13.215906,13.390537,13.718743,13.636986,13.903731,14.143513,14.522407,14.800259,15.101668,15.150257,15.393707,15.374558,15.363352,15.343209,15.533797,15.866334,16.015404,16.097853,16.157122,16.059689,15.933998,15.757203,15.627796,15.608205,15.627933,15.633975,15.815133,15.741902
2025-11-12 00:58:04+00:00,2025-11-12 00:00:00+00:00,-4.4649935,-4.018209,-3.7428856,-3.1898067,-2.959388,-3.005471,-2.4835057,-2.1285367,-1.71075,-1.3962953,-1.2777734,-1.133754,-0.7964525,-0.6519751,0.4281476,0.2852788,-1.1367377,-1.9110837,-2.8440225,-4.376923,-5.224581,-4.8121376,-5.2755013,-6.0704374,-5.920615,-5.4303317,-5.093667,-4.608206,-4.970537,-4.9909253,-4.75412,-4.3382297,-3.2983713,-2.066661,-1.2898685,-0.8917371,-1.2297666,-1.4260175,-0.44105533,-0.15433958,-0.25909138,-0.29347116,-0.32943475,-0.21305983,0.68802214,1.4768299,2.3600194,2.4204538,3.0586014,4.0212803,4.549333,4.9281797,5.2578335,5.209641,5.599112,5.7904162,6.095662,6.977213,7.962249,8.582998,8.990763,9.447276,10.431325,11.408099,12.108044,12.577718,12.656307,12.51931,12.221182,11.809833,12.39566,11.896876,12.080471,12.122661,12.2348995,12.133854,12.254631,12.27418,12.235198,12.212216,12.455742,12.377049,12.593107,12.609436,12.609436,12.906842,13.16947,13.49807,13.595266,13.525068,13.213682,12.703774,12.107006,11.643801,11.580018,11.31498,11.526235,11.244152,10.764434,9.209602,7.2755575,5.8029356,5.0511537,4.9177895,5.1449137,4.718663,4.2802014,3.4870489,2.7009113,1.733709,0.6626704,-1.2473321,-1.7506593,-1.952464,-2.065969,-2.085925,-1.5058318,-1.3730141,-1.2048768,-1.2280855,-1.5646769,-1.6936888,-1.5431551,-1.684519,-1.9713486,-2.2672267,-2.4958887,-3.0857222,-3.7626057,-4.756923,-5.5343094,-6.4859943,-6.5734787,-5.622395,-4.20506,-2.9100816,-2.3888404,-2.2538912,-2.1189482,-2.371819,-2.633102,-2.767258,-2.5237985,-1.9119356,-1.6091166,-1.6439185,-1.3181285,-1.1065654,-0.21561062,0.6493961,1.1053017,1.014444,0.62540436,0.03294408,-0.7595336,-2.0867062,-2.9454,-3.5520082,-3.7116277,-4.1817436,-4.961324,-5.7656403,-6.7679024,-7.4802456,-7.614556,-7.4366474,-7.340926,-7.1992188
2025-11-13 01:13:37+00:00,2025-11-13 00:00:00+00:00,-3.021361,-3.3179708,-3.4827132,-3.249962,-3.4608555,-2.7750673,-2.3890913,-2.9181788,-3.4202435,-3.386848,-3.2983713,-3.393764,-3.111893,-2.8887815,-0.21861716,-0.16297816,-2.4376128,-2.7195961,-2.9561439,-2.5858657,-2.1996326,-2.4959702,-2.5250041,-3.5110948,-3.244294,-2.5711339,-1.1627584,0.031923395,1.9998074,3.2537093,3.8733153,3.9742215,4.068861,4.2505794,4.617195,5.1520147,5.571686,5.9746537,7.4096265,9.826444,11.856974,12.731767,13.229711,13.07723,13.098464,13.14463,13.3316345,12.980916,13.01231,12.847139,12.914297,12.912694,13.085824,13.058734,13.303896,13.295486,13.295076,13.266937,13.335651,13.253812,13.335651,13.365813,13.352927,13.339994,13.099186,12.957276,12.750166,12.603826,12.750166,12.891268,12.551373,12.48297,12.180041,11.69596,7.07489,4.638681,4.698992,5.7669377,5.8327737,4.802194,2.4132283,0.64222264,-0.3103434,-1.4775863,-2.703404,-3.94233,-5.3147798,-9.276544,-10.921748,-12.566969,-12.666013,-12.978782,-13.667996,-13.788081,-12.239653,-12.451122,-12.640856,-12.569042,-12.737794,-12.652481,-12.209118,-11.982922,-11.489084,-11.440759,-11.321338,-11.304333,-11.301815,-11.38987,-11.365038,-11.301815,-11.179594,-10.787924,-11.209411,-11.612772,-11.527601,-10.8654,-10.178848,-8.484312,-6.446477,-4.0845814,-2.5337505,-1.2932404,-0.11978712,0.41571498,0.36676848,-0.21713197,-0.6519472,-0.785091,-0.9205413,-1.198597,-1.7303746,-2.444247,-2.9390383,-3.143606,-3.5024076,-3.5594454,-3.704628,-4.0343056,-4.34402,-4.538448,-4.3114023,-4.0961924,-3.6204386,-3.4031274,-3.0342393,-2.7322626,-2.438872,-2.1585975,-2.1423693,-2.1295605,-2.1200795,-2.2097101,-2.302817,-2.5429,-2.6878877,-3.0245743,-3.023095,-3.1108286,-3.2692194,-3.5472271,-3.7506454,-3.783808,-4.0272036,-4.036159,-3.5945926,-3.2945673,-3.4382656,-3.4533732
2025-11-14 00:58:18+00:00,2025-11-14 00:00:00+00:00,-1.2316922,-0.25767988,-0.26848686,-0.22291088,0.86286724,2.1046062,2.617357,2.860351,3.1822171,3.7101605,4.7313533,6.134876,7.607297,8.275838,10.161195,12.1056185,12.940454,13.731091,14.124257,14.115112,13.869412,13.622404,12.905559,11.863976,12.121612,12.86404,13.270956,13.170114,13.320683,13.5520735,13.64793,13.535496,13.38758,13.732714,13.509839,13.213613,13.38758,13.26348,13.762339,13.751478,12.826862,11.792111,10.101999,10.446143,9.634394,9.079168,7.740405,6.2619886,4.6747174,4.022755,4.360909,5.8912973,6.8054857,6.320385,4.0172205,1.9483685,-0.39497024,-3.0948367,-4.0961924,-4.3896694,-4.3606143,-5.1040425,-5.9178543,-8.284046,-10.628478,-11.5678215,-12.462883,-12.097348,-11.975531,-12.178567,-10.972376,-11.514837,-11.809928,-12.355659,-12.336939,-12.299452,-11.727477,-11.705878,-11.614893,-11.128882,-10.657388,-10.439852,-10.650376,-10.317705,-10.217087,-10.5409775,-10.650376,-11.939924,-12.653415,-13.035225,-13.256764,-13.30379,-11.388389,-10.288733,-5.5377035,-4.7276917,-4.540226,-4.404416,-4.149267,-2.7661831,-1.8907005,-1.7851088,-1.4374999,-1.1700324,-1.0228254,-0.8740959,-0.538949,0.102491535,0.2691083,0.17097938,-0.16845945,-0.90856636,-1.976083,-2.5786006,-2.7601228,-3.0303764,-2.838031,-2.6555479,-2.6090217,-2.9157045,-3.0839295,-2.9454,-2.8267946,-2.6286302,-2.5110023,-2.5585282,-2.653581,-2.9862812,-3.3665385,-3.6517513,-3.9097054,-4.075741,-4.2288933,-4.393729,-4.364323,-4.2882166,-3.7129247,-3.3192387,-2.6555479,-2.2758458,-1.560917,-1.2613472,-1.0867709,-1.1248689,-1.259011,-1.5864923,-1.8781667,-2.1736336,-2.0649347,-1.9607928,-1.5776877,-1.1153672,-0.6191901,-0.25722873,0.19716299,0.4821422,0.81459534,1.1470257,1.6484588,2.1003,2.773392,3.5226812,4.3693504,5.187917,5.8879933,6.473774,6.6260557,6.5731773
