forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:16:06+00:00,2025-11-05 00:00:00+00:00,15.807239,18.671474,19.211996,19.562946,21.434364,23.051247,21.218632,18.847641,17.935081,17.826363,19.008545,17.555307,16.071491,15.5843,18.709612,23.847115,28.006056,33.01418,34.38895,32.096577,29.47826,24.962307,19.083395,11.019764,9.585739,8.854829,8.4042845,10.028439,7.8954163,8.12197,6.489992,5.5887027,7.208994,6.379216,5.3999996,5.634891,1.835647,2.4149535,4.3349743,8.78872,14.689589,18.35647,20.991426,19.652176,21.67487,19.881649,22.314192,20.966715,22.35481,25.982424,28.162956,27.757376,28.82249,28.594517,28.038431,26.758923,24.066206,23.584808,21.096123,19.881649,18.532135,18.671474,17.654688,16.65754,16.595179,18.03237,21.707731,25.099514,28.460497,25.455843,25.14852,19.130875,15.7908325,19.523155,23.0653,21.710716,25.071098,22.218153,22.206486,19.483284,17.651016,16.299694,15.4800005,15.876775,15.5843,11.183201,9.885262,10.1376915,7.5685663,5.1919937,3.4152596,1.835647,5.506941,4.8965297,4.802999,14.799459,19.469976,16.62249,17.654686,16.87398,18.888851,26.552288,27.558228,29.795301,28.894344,30.10685,31.452133,29.882166,29.598919,27.492311,26.787966,29.363731,29.6383,30.532158,31.765793,31.39233,30.555498,29.268686,27.729347,25.9225,24.315327,22.7057,20.929594,19.483284,17.709658,15.7908325,14.707222,14.799459,15.379206,15.978486,15.463244,14.917212,14.917212,16.327497,18.58451,20.771093,22.553934,24.20314,25.071098,24.735432,24.20314,22.73707,20.991426,18.331741,16.418526,15.03835,14.471821,13.684735,12.964998,12.620554,11.928989,11.609651,10.8955765,10.495713,9.726665,9.422101,9.346143,9.83268,11.298495,12.313894,14.003028,15.484185,16.923828,17.447933,17.811815,18.584509,19.917469,21.316135
2025-11-06 00:59:40+00:00,2025-11-06 00:00:00+00:00,8.699793,8.4042845,9.449572,8.39657,7.968939,8.557102,8.404285,5.3517847,9.114471,7.208994,4.0249224,1.484318,3.5455887,3.319036,2.2768397,8.0899935,12.538134,16.746773,16.946787,19.839235,20.966715,20.082708,16.766108,15.042659,20.268991,21.758419,24.569832,25.264202,28.44,26.009842,26.121714,28.038431,19.813087,22.963936,15.782622,14.693999,17.015474,16.454008,18.430452,19.881649,25.40743,24.74329,29.660152,31.682047,31.682047,25.929996,25.050413,19.35314,24.014996,22.915916,14.48972,16.704155,17.654688,14.654254,13.708391,15.39184,17.873556,13.910169,11.570515,10.239453,8.707238,9.47012,10.805999,9.726665,8.287822,4.73506,2.4149535,5.6233797,11.592894,3.8773184,8.654987,13.392774,14.565548,13.450708,16.263872,20.991426,21.26744,23.535301,21.96295,22.253124,20.523157,20.991426,24.387178,24.569836,27.698954,27.162708,28.51282,28.90107,28.856194,28.528723,28.515089,27.609911,27.162708,27.257967,24.482647,21.67786,21.67487,23.686249,24.627789,27.438046,28.66694,29.957968,29.88217,27.105392,27.598173,26.959166,25.364037,24.195107,23.199759,21.203358,20.240198,22.42427,23.78453,24.766848,25.9225,25.6233,24.269983,23.34455,22.805367,22.42427,21.9718,20.892412,19.469976,18.057508,16.215992,14.404499,12.7279215,11.620809,11.269782,11.304229,12.261157,13.70839,15.844089,18.0036,20.188908,23.042812,26.437336,30.302078,33.014175,33.231335,32.20944,30.652895,28.856194,26.518099,25.1614,24.48,23.540806,22.884789,21.758419,20.176065,18.947083,18.59845,18.792551,18.792551,18.947083,19.416653,19.959719,20.570463,20.880001,22.007162,24.387177,26.903828,28.901073,28.948118,28.58545,27.009598,24.122683,20.188908
2025-11-07 00:57:34+00:00,2025-11-07 00:00:00+00:00,19.652176,21.53089,26.111792,27.595823,27.475807,29.162226,27.36947,25.721743,24.967499,25.925,20.46941,18.947083,18.58451,19.803272,23.087763,25.171696,24.590923,24.535524,23.40277,23.893261,21.9718,16.563911,10.464798,15.815435,18.0036,15.542662,15.941944,10.948973,8.647496,9.3669195,8.654986,4.3498964,10.041354,5.8048253,6.8399997,6.489992,6.130579,5.771239,4.3349743,1.8,5.1544156,6.489992,5.4833565,6.3690495,7.5599995,9.422101,14.587776,14.934577,13.684735,16.24394,18.03237,19.803272,20.929596,22.366402,23.893261,21.175835,19.486609,23.83624,22.086521,23.73271,24.472057,24.651457,25.49908,28.01531,26.260265,24.766848,24.985659,26.368616,28.1169,25.922499,24.26998,19.95972,17.610588,17.373497,18.089775,18.626305,18.626305,18.218275,18.079027,16.870138,16.323528,16.29174,15.815435,15.580141,16.08761,15.408671,17.148247,18.668005,18.0,18.709612,19.855558,20.858265,21.53089,20.49156,14.561099,12.7279215,12.849528,12.661564,12.522619,12.303366,12.10157,12.496718,13.324863,15.876775,18.25026,20.523157,24.280659,26.459389,29.519999,30.926489,34.925568,37.894165,37.35683,37.14286,37.163788,35.384537,32.777794,30.758411,29.337238,28.185955,27.21038,26.674032,26.654589,26.282465,24.717085,22.881956,21.479666,21.129883,21.479666,22.180206,23.313995,25.068514,25.86494,25.922499,26.552288,28.61264,31.25372,33.667217,34.79917,33.37338,30.886656,28.236486,26.299719,24.606731,22.79684,20.858265,19.255793,17.992796,17.076298,16.516901,16.071491,15.379206,14.917212,14.372974,14.039999,13.854155,14.48972,16.485485,19.296135,21.313093,22.065973,22.553936,22.553934,22.077717,21.096123,19.161337,16.45007,12.979984
2025-11-08 00:52:37+00:00,2025-11-08 00:00:00+00:00,13.039754,17.610588,18.043148,12.594856,13.854155,13.708391,10.137692,10.144082,9.904906,16.575644,15.94601,15.077082,14.277983,10.990322,13.18308,12.181625,13.217443,12.031756,7.2,5.4833565,4.072935,9.746631,11.525623,10.495713,7.2359104,14.81259,18.218275,19.13426,24.149532,26.987997,25.60053,25.099514,26.124195,28.551426,30.652895,32.744175,33.092594,33.353954,34.29838,37.72278,37.35683,37.029285,35.110615,27.504093,26.089443,23.424908,27.492311,25.02971,19.85556,17.906157,17.373497,17.673029,19.174856,20.633371,21.67487,23.185787,23.838959,24.985659,24.482647,24.569836,24.798225,23.78453,23.78453,26.459387,27.105392,27.757378,26.072052,24.408424,23.933908,19.8,17.709658,14.685176,13.722565,13.684735,14.404499,16.954432,15.905319,15.84409,14.440443,13.1041975,14.345898,13.53236,14.618837,14.77755,17.25373,18.11841,20.957443,25.210283,27.0024,29.59235,31.25372,31.796375,27.438046,24.798225,22.932877,15.273505,13.783817,15.408671,20.858265,20.724247,22.668568,21.746504,21.2522,21.2522,21.626984,21.986542,23.110207,24.858253,24.798225,25.699057,27.416782,31.311722,32.385994,36.066536,36.869694,35.74167,33.493546,31.079075,28.820242,26.564486,24.633049,23.18579,22.406927,21.659916,20.948164,20.620806,20.431387,20.431387,20.870687,20.870687,20.265795,19.70815,19.652176,21.046917,23.683512,25.952478,27.534704,28.496904,28.820242,28.01531,26.250393,24.014996,20.056877,15.629971,12.371645,11.367109,11.384199,11.269782,10.883676,10.195057,9.220499,7.24486,5.0528407,3.6,4.3349743,6.439876,9.178235,11.808878,14.336861,16.645864,19.137648,21.322214,22.862125,23.411074,23.110207,22.19773,20.008356,17.313717
2025-11-09 00:58:48+00:00,2025-11-09 00:00:00+00:00,14.205182,17.873554,16.746773,17.581125,19.107151,20.608229,20.898611,24.387177,26.009842,24.546085,24.387177,25.984917,27.416782,27.504095,29.379177,30.173496,32.343952,32.15507,33.50128,32.379993,30.871965,29.237675,27.026386,25.772078,23.928492,26.87491,27.792374,30.555498,29.168886,29.795301,32.688713,32.714474,32.688713,33.834255,32.33193,31.09575,29.973106,30.018473,29.354902,27.748037,26.886963,27.047956,26.250393,25.711662,25.862436,23.584808,22.077717,17.76081,15.39184,13.75558,14.044615,15.941944,16.946787,15.683776,13.324863,13.32,12.074766,13.1041975,12.387348,13.830749,16.1198,17.076298,20.633371,22.346113,28.551426,30.344814,30.631746,27.162708,28.876396,27.497026,26.31942,20.390114,18.391737,21.638964,20.94507,20.966715,19.652176,18.175545,19.443333,18.888851,19.70815,21.398056,22.884789,19.770523,19.201874,19.959719,21.67487,24.993439,28.119204,28.820242,29.882166,31.487143,27.558228,26.299719,24.1388,20.082708,20.265795,20.431387,18.25026,17.114204,16.167967,15.893093,14.759999,14.05845,12.641076,12.303366,12.0694,11.966954,11.503113,11.27553,10.163227,12.768586,13.207634,13.797912,15.158522,15.119999,14.417988,13.397612,11.792404,9.565437,7.9036193,6.696387,5.8603754,5.1165614,4.2136917,4.3349743,5.315336,7.386582,9.726664,11.592894,12.287555,12.413477,12.7279215,14.081477,15.696165,17.377226,18.335276,19.107151,19.373219,19.346441,19.174856,19.171478,19.386593,19.969458,20.288164,20.808498,21.767351,22.545315,23.469128,24.195107,24.693481,24.216522,23.277834,22.682856,22.565422,22.782625,23.358423,23.990698,25.338476,26.072052,27.288855,29.5551,30.718357,28.988384,25.620771,23.565567,23.587555,24.64094
2025-11-10 01:01:09+00:00,2025-11-10 00:00:00+00:00,26.787966,26.072052,27.438046,29.088802,29.268686,29.574827,29.515608,29.949316,30.513052,28.901073,28.348713,29.601109,27.553526,26.200977,25.417631,24.482647,24.20314,24.819122,27.0024,28.167557,27.217524,26.044699,22.322903,21.252197,19.67195,22.90743,23.532547,23.185787,21.30093,19.881649,16.923828,16.267857,15.463244,13.363711,11.792404,11.988594,14.529915,14.007655,19.255793,23.4,25.842384,27.943512,24.826954,30.699368,29.09103,27.567635,25.476198,19.602652,20.018072,21.900904,23.97989,21.9718,20.957443,19.829433,19.443333,19.083395,19.917469,20.418695,19.559633,20.633371,20.991426,23.313995,25.516865,29.495842,31.883888,32.730316,32.2396,32.417995,29.651413,26.564486,23.847115,18.35647,14.345898,15.484185,14.84318,12.9249525,12.144331,11.928989,12.261158,12.261158,12.620554,11.570515,11.659777,10.703569,11.013882,10.30883,9.114471,11.043261,11.212135,12.57426,13.779114,13.527572,14.081477,12.738099,9.339208,10.495713,12.245294,11.885453,12.620554,12.605142,12.964998,12.959999,13.684735,12.261158,12.605142,11.525623,11.252519,10.594036,8.473393,10.308831,6.5693827,7.072878,7.9932976,8.209263,8.766573,9.387651,10.464797,11.609651,12.768586,14.05845,15.226764,16.203999,17.294992,18.416384,19.469976,20.883104,21.647945,21.746504,21.188072,21.046917,20.780453,20.431387,20.275385,20.393293,21.2522,21.980644,23.557316,25.96496,27.267473,26.987997,25.992401,25.189713,24.20314,23.277834,23.0653,24.27265,26.496098,28.296091,29.30409,29.30409,29.882166,30.555498,31.559086,32.417995,33.50128,34.77868,35.931534,36.969738,38.047756,37.503983,35.261623,32.33193,28.528723,21.533897,12.979984,6.9899354,8.707237,14.021525
2025-11-11 00:56:43+00:00,2025-11-11 00:00:00+00:00,15.683774,14.618837,13.684735,12.10157,10.661107,11.901798,13.039754,11.440979,14.182355,13.854155,13.979872,14.773164,16.904673,20.291357,24.590923,27.248457,27.25559,28.348713,30.344818,28.820242,26.712873,22.86496,17.727943,14.336861,15.175612,17.58481,17.727943,13.698934,10.446206,16.263872,19.652176,20.265795,21.38897,21.479666,21.749481,21.313093,21.659918,21.218632,24.86868,26.674032,26.064596,25.809765,25.925,29.827904,29.414444,24.72495,23.051247,17.057314,16.215992,18.0,18.391735,18.775301,19.164719,17.81909,15.905319,15.517629,14.04,12.605142,11.966953,12.24,11.177405,11.013882,9.255571,11.726277,11.841756,12.144331,12.599999,13.397612,15.034041,13.493999,8.707238,8.049845,7.2805495,6.130579,5.0528407,5.506941,5.1544156,3.8268526,4.1046314,3.7064266,3.6179552,8.049845,9.605998,9.72,12.0694,11.542478,10.805999,15.03835,16.327497,15.496736,14.4,14.277983,14.277983,14.693999,12.43434,13.527572,13.708391,13.854155,13.849477,13.779114,14.05845,15.7908325,16.323528,16.489416,16.279802,15.683774,16.434305,17.10284,17.287498,17.555307,18.204042,20.082708,21.67487,23.42491,20.929596,21.96295,23.535301,24.387177,23.14103,21.24,20.172853,21.349546,24.826952,27.70831,29.387999,30.888754,31.63087,31.569351,30.811037,29.871325,29.30409,28.856194,28.220419,27.21038,26.339111,25.071096,23.857979,23.576563,23.110205,21.2522,18.581022,16.039202,13.891522,12.224107,11.542478,11.043261,11.090103,11.753876,14.021525,16.78156,19.011953,20.037485,20.037485,20.275385,20.431387,20.545246,21.077686,21.67487,22.691425,23.411074,23.893261,23.863409,24.18707,24.18707,24.098497,23.510508,22.553936,21.316135
2025-11-12 00:57:50+00:00,2025-11-12 00:00:00+00:00,13.246826,14.904173,16.09969,16.327497,14.471821,13.722565,15.111424,15.281989,19.493261,20.008356,20.192118,21.313093,22.884789,24.023088,26.299719,28.03612,28.017622,27.943512,24.735432,24.098497,25.212852,22.19773,16.394829,12.074766,14.512064,15.119999,13.138765,11.609651,10.105681,10.823973,10.661107,9.885262,9.47012,8.707238,8.669949,7.69592,6.638072,7.072878,5.771239,7.289445,7.754637,8.049845,8.350138,15.696165,16.548256,14.336861,10.495713,10.538843,11.609651,11.928989,12.245294,12.6462,12.074766,11.966954,11.384199,9.904906,10.587917,9.449572,7.628263,6.5693827,8.707238,3.7585104,7.0911775,8.049845,7.072878,9.746631,7.9932976,8.647496,8.759178,9.531505,10.137692,10.787993,11.681987,12.496718,12.879752,12.768586,12.979984,13.661038,14.05845,12.24,13.75558,13.797913,15.034041,15.256526,15.509274,18.204042,19.134262,22.682856,24.693481,27.103003,29.749592,29.237675,24.57511,22.3229,17.057314,13.779114,15.077082,14.565548,15.782622,19.586119,16.575644,15.580141,15.281989,14.003028,13.493999,13.104198,12.599998,11.753876,12.229406,12.7279215,14.003028,18.79255,19.174856,19.64228,19.862083,20.111729,19.881649,19.174856,16.78156,13.70839,11.269782,10.086427,10.233123,10.948973,10.829958,10.483357,10.239453,10.105681,9.72,9.422101,8.905908,8.427383,8.534353,9.693296,11.183201,12.181624,11.592894,10.009036,9.178235,9.673221,10.703569,11.720751,12.768586,14.277983,15.0038395,14.57889,14.05845,13.755579,14.618837,16.179987,16.746773,15.827721,14.113653,13.722565,14.264361,14.759999,15.815435,17.106628,18.751125,20.163212,20.532627,19.852295,19.523155,19.134262,18.72346,17.64,15.124284,11.542478
2025-11-13 01:13:25+00:00,2025-11-13 00:00:00+00:00,11.885453,14.764389,16.520823,15.192682,12.758432,11.503113,10.829959,10.365251,10.182337,9.726665,8.4042845,9.028754,7.928178,6.87779,5.0528407,7.42159,7.24486,6.6185193,6.9899354,8.766573,9.693296,7.729527,6.0347,9.531505,8.759178,10.028439,10.24578,9.178235,10.028439,10.1887,10.296251,10.587918,10.685391,10.587918,10.685391,10.805998,10.787993,10.805998,9.178235,10.086427,9.3876505,8.287822,10.239453,14.345898,12.849528,10.464798,11.165805,12.261158,12.261158,13.627795,14.05845,14.404499,13.397612,14.332341,14.84318,15.844089,14.84318,16.45007,18.359999,20.188908,22.104116,21.986542,24.122686,23.78453,26.758923,26.081993,25.60053,23.051247,20.724247,18.709612,12.641076,14.039999,16.135872,22.9724,26.925497,24.826954,20.969807,19.008545,14.618837,17.283749,19.469976,20.929594,19.453327,18.472595,19.171478,18.079027,17.57744,21.385939,23.47741,23.710857,25.603062,25.772078,23.993399,21.900904,19.008547,13.708391,13.009903,12.57426,12.641076,12.641076,12.72283,12.783802,12.313894,11.384198,11.019764,10.514218,9.931042,9.957108,9.826088,9.178235,10.630672,11.966953,10.538843,8.654986,8.707237,8.587338,8.587338,8.39657,7.729527,7.289444,6.9899354,7.208994,7.9526596,8.4042845,8.557102,8.766573,8.891344,9.0,9.531505,9.779817,9.422101,8.825508,8.209263,7.8625183,7.8625183,7.771331,7.2805495,6.8399997,6.519877,6.5693827,6.28713,6.28713,5.8603754,5.4119864,5.0528407,5.2416787,6.12,6.696387,6.638072,5.6002855,5.0911684,4.6102495,4.0249224,4.1046314,4.802999,5.5887027,6.28713,5.8603754,5.4119864,5.0528407,5.4477882,5.8603754,5.8603754,5.1544156,4.5536795,4.1046314,4.6938252,5.8048253
2025-11-14 00:58:03+00:00,2025-11-14 00:00:00+00:00,10.44,10.464797,11.4862,12.904882,13.37825,13.527572,13.661038,13.441071,13.1041975,12.181625,11.620809,10.137692,9.339208,9.511088,5.991594,8.311245,11.753876,11.246759,12.074766,12.55879,12.10157,10.041354,10.105681,10.661107,10.853866,10.495713,11.183201,11.367109,13.708391,10.8955765,12.864649,16.58346,13.53236,14.904173,14.336861,21.142147,19.64228,19.67195,20.393293,19.083395,23.224882,20.746122,22.657131,27.248455,21.749481,16.135872,19.453327,23.507751,25.376808,23.828083,20.94507,21.175837,19.8,19.681828,16.039202,16.563911,17.884428,17.566378,17.072504,16.641972,16.135872,15.9134655,17.148247,23.199759,24.485292,25.570139,26.795223,28.162954,29.268686,25.189713,22.9724,18.472595,15.1884165,13.891522,15.94601,16.434305,16.58346,16.75064,16.676977,16.055355,14.773164,12.7279215,11.384198,11.384198,11.212135,10.691453,11.480557,14.512064,14.345898,11.631956,10.587918,11.183201,11.770403,10.028439,8.654986,6.489992,7.42159,7.5685663,7.754637,8.225035,7.5685663,8.089993,8.891344,9.346143,9.19939,9.504273,8.825508,8.654986,9.346143,9.360001,7.8625183,8.089993,7.9036193,7.6367526,4.8433046,4.5820518,4.829907,5.3517847,6.0347,6.830519,7.0911775,7.491114,7.928177,8.534353,8.12197,7.9526596,7.8625183,7.8625183,7.2805495,6.849467,6.162207,5.506941,5.5887027,6.5693827,8.287822,9.3669195,9.885262,10.163227,10.495713,10.587918,10.514218,10.514218,10.383987,9.983106,10.24578,10.587917,11.384199,11.620809,11.966953,13.004921,13.556282,13.138765,12.620554,12.605142,14.05845,16.575644,18.374111,19.493261,20.275383,21.03152,22.392462,23.770906,24.850431,24.648829,24.36591,24.627787,26.405453,28.880886
