forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:16:21+00:00,2025-11-05 00:00:00+00:00,995.143,994.30096,993.97314,994.5373,994.6491,993.9893,993.5025,993.7794,993.45447,992.9124,992.864,993.0113,993.0744,993.6728,995.25684,996.8334,997.5808,998.0405,998.3447,998.84155,1000.0218,1001.28296,1001.7091,1002.0986,1002.5294,1003.10925,1003.4227,1003.4523,1003.8551,1003.6731,1003.6748,1004.026,1004.1732,1003.34485,1002.4253,1002.8209,1003.2845,1003.27313,1002.8486,1002.8848,1002.4737,1001.2474,999.9777,997.3101,995.87634,995.09186,994.20984,993.1203,992.701,992.2005,991.33203,990.9467,990.1727,988.9117,987.5595,986.5149,985.84875,984.6385,983.97906,983.9012,983.3976,983.6305,983.85016,984.10626,983.6654,983.6562,983.42035,983.30835,983.02057,983.09607,983.40094,983.8703,984.5439,985.1353,985.82495,986.56836,987.5073,987.89716,988.48145,989.09357,989.41425,989.83264,990.05426,990.6095,990.9867,991.98834,992.66656,992.9526,992.6817,992.0871,991.3234,990.52716,990.0983,989.4661,989.4731,989.2229,987.63715,986.9877,986.66504,987.16534,988.54456,992.0523,994.2685,996.10333,997.71234,998.8124,999.889,1001.3425,1002.49054,1003.8192,1005.11945,1006.1643,1006.7689,1006.93866,1007.1082,1007.2587,1007.38654,1007.68036,1008.3177,1009.21063,1009.91437,1010.3352,1010.6615,1010.79913,1010.7483,1010.5133,1010.2823,1010.2547,1010.329,1010.3091,1010.2776,1010.2455,1010.2575,1010.44257,1010.768,1010.70374,1010.0578,1009.12006,1008.15405,1007.2481,1006.312,1005.6226,1005.3386,1005.2015,1005.0852,1004.82513,1004.58716,1004.25934,1003.93475,1003.52,1003.1091,1002.6077,1002.2047,1001.7071,1001.28864,1000.866,1000.50146,1000.12286,999.79956,999.0779,997.8564,996.3382,994.8906,993.60626,992.3946,991.3371,990.613,990.04626
2025-11-06 01:00:13+00:00,2025-11-06 00:00:00+00:00,1001.7488,1002.3643,1002.95416,1003.46326,1003.79724,1002.67926,1002.99146,1003.2126,1003.4789,1002.8428,1002.0824,1002.3576,1002.4178,1002.59503,1002.36633,1002.0599,1001.1747,1000.248,998.55444,997.0564,996.2141,995.3214,993.98315,992.73846,992.56866,992.1662,991.27026,989.89417,989.25616,988.39435,986.74146,985.4871,984.55066,984.0707,983.6917,984.26324,985.0567,985.7476,986.429,987.55615,988.09656,987.8987,987.4645,983.9693,983.7796,983.8712,984.07135,984.6445,985.38904,985.98694,986.22614,986.8707,987.62036,988.1563,988.4392,988.8512,989.0736,989.30286,989.6586,990.03973,990.45685,990.9613,991.23676,990.738,990.5256,990.5363,989.1702,987.71497,986.5655,987.37024,986.52826,985.3746,983.88184,984.3719,984.8132,988.2918,990.0107,991.34064,992.7233,994.09845,995.34937,996.0166,996.84595,998.28094,999.4972,1001.5112,1003.2377,1004.2858,1004.8289,1005.46564,1005.1906,1005.02106,1005.2431,1005.52594,1005.9743,1006.4328,1007.21045,1007.73236,1008.0183,1008.1082,1008.10443,1007.901,1007.88135,1008.04987,1008.01855,1007.98676,1007.9554,1008.21747,1008.1816,1008.3536,1008.7504,1008.90753,1008.5645,1007.997,1007.39484,1006.77264,1006.1204,1005.6231,1005.44293,1005.51074,1005.59973,1005.5498,1005.52637,1005.50336,1005.4761,1005.355,1005.2412,1005.0338,1004.83026,1004.54034,1004.3483,1004.1641,1003.82306,1003.4372,1002.9869,1002.2626,1001.1805,1000.02136,998.7136,997.4389,996.21655,995.15875,994.34705,993.6966,993.15125,992.8188,992.4897,992.26227,991.94,991.51965,991.28845,991.0391,990.9787,991.0228,991.3604,991.90497,992.5,993.37067,994.2908,994.92596,995.0862,995.0617,994.9972,994.97925,994.82635,994.91125,995.19995,995.53156
2025-11-07 00:57:56+00:00,2025-11-07 00:00:00+00:00,991.53845,990.8384,991.03796,990.7674,989.32086,987.33954,986.5184,986.1326,985.42957,984.7501,983.8507,983.7901,983.8438,984.39087,984.8787,985.859,985.80646,986.327,986.53625,986.3856,986.4117,986.4868,986.23553,986.7203,987.55615,988.4309,988.5405,988.3834,988.7896,989.0201,988.9669,988.8086,988.6854,988.3483,988.32306,988.8129,989.1725,989.08514,988.81195,988.7581,988.9321,988.0152,986.9412,986.4727,986.11365,985.58026,985.55475,985.2595,985.51587,987.6695,989.99164,991.8794,993.3709,994.38635,995.3845,997.2717,997.9464,998.5306,999.46594,1000.19135,1001.5101,1002.5115,1004.6966,1006.12115,1006.4793,1006.3246,1005.861,1005.29944,1005.2125,1005.4878,1005.9479,1006.62573,1007.74835,1008.1958,1008.6548,1008.7219,1008.57764,1008.14343,1008.1123,1008.0693,1008.14777,1008.1202,1008.08466,1008.3392,1008.50323,1008.8749,1009.2366,1009.1293,1008.7883,1008.41187,1007.4163,1006.49585,1005.64716,1005.25525,1004.82294,1004.3168,1004.44086,1004.2972,1003.8713,1003.351,1003.3356,1002.8269,1002.1297,1000.9369,1000.5983,999.51306,998.62024,997.50903,996.1716,995.22925,994.3607,993.4434,992.13873,990.7289,989.5519,988.7522,988.11707,987.83655,988.0866,988.68695,989.2096,989.5807,989.9691,990.34753,990.70807,990.96344,991.2151,991.26355,991.21027,991.3563,991.69055,992.12994,992.62695,993.21094,993.8471,994.2959,994.3608,994.3348,994.2562,994.21124,994.22125,994.46893,995.11926,995.9086,996.7323,997.4355,998.1734,998.8201,999.36536,999.7178,1000.17163,1000.52734,1000.9845,1001.3471,1001.69507,1002.1408,1002.6378,1003.4085,1004.3234,1004.943,1004.9657,1004.69653,1004.4017,1004.1832,1003.9407,1003.741,1003.73615,1003.7691
2025-11-08 00:52:55+00:00,2025-11-08 00:00:00+00:00,987.14014,987.5424,987.7719,988.3086,988.4391,988.2506,989.73444,990.06287,989.7813,989.11786,989.45557,990.09406,990.1812,989.9485,990.6528,991.6537,991.47723,990.90063,989.8459,988.5012,988.15045,987.68085,986.0884,984.3637,985.593,987.75183,989.32117,990.48596,991.8576,992.4454,992.9131,993.87085,994.85236,995.5876,996.1004,997.29834,999.06134,1000.2853,1001.4418,1002.61707,1003.89404,1004.6141,1004.8213,1004.84796,1004.942,1005.2093,1005.46564,1006.2446,1007.07263,1007.6215,1007.7866,1007.47736,1007.1641,1006.7453,1006.59283,1006.34235,1006.4202,1006.2126,1006.201,1006.38885,1006.5727,1007.04254,1007.52484,1007.55585,1007.3853,1007.09674,1006.29065,1005.4654,1004.91144,1004.5158,1004.1846,1003.8112,1003.93475,1003.7042,1003.57947,1003.16095,1002.5424,1002.135,1001.52826,1000.83905,1000.2978,999.04395,997.88416,996.98895,995.82495,994.77057,993.7759,992.5346,991.3314,990.15375,988.4538,987.1923,986.58545,986.6664,986.1452,986.28973,987.01117,987.2742,987.5577,988.12805,988.3941,988.4498,988.79956,989.13806,989.5959,989.9593,990.61993,991.38226,992.1442,993.008,993.9146,994.6806,995.0099,994.9181,994.8785,994.73016,994.5545,994.63214,995.1313,995.7871,996.4625,997.00104,997.4625,997.8188,998.1461,998.26996,998.4986,998.6506,998.9077,999.07404,999.32745,999.5842,999.9871,1000.6564,1001.37274,1001.8954,1001.9331,1001.6825,1001.3984,1001.07526,1000.819,1000.60925,1000.6108,1000.7547,1001.03,1001.3792,1001.8581,1002.23944,1002.4105,1002.3816,1002.3563,1002.3274,1002.30176,1002.18207,1002.0586,1001.93884,1001.9606,1002.2438,1002.6708,1002.715,1001.9936,1000.8906,999.8558,999.0833,998.47894,997.9133,997.5369,997.1981
2025-11-09 00:59:03+00:00,2025-11-09 00:00:00+00:00,989.255,988.98126,990.3637,990.4867,991.3348,991.63257,992.667,993.9002,994.17566,994.6252,995.6878,996.9578,997.8244,998.7443,1000.5454,1002.4631,1003.3254,1003.81885,1003.8871,1004.45984,1005.311,1005.8874,1006.1239,1006.68463,1007.6563,1008.08044,1008.04175,1007.6962,1007.7827,1007.55975,1006.8749,1006.5885,1006.5419,1006.56537,1006.8474,1007.2739,1008.0957,1008.4595,1008.7194,1009.2361,1009.72437,1009.3154,1008.79596,1006.9237,1006.2604,1005.9628,1005.5336,1005.66077,1005.8511,1005.40906,1005.0844,1004.8575,1004.44635,1003.9217,1003.3262,1002.5313,1001.5758,1000.7999,999.6715,998.6964,997.36005,996.04645,994.9739,993.46606,992.63763,991.6575,990.0875,988.23663,987.43463,987.8752,987.3816,987.66254,988.4392,988.84406,989.059,989.2762,989.3462,989.79724,990.62604,990.3908,990.9572,991.38947,991.90497,992.4233,992.78235,993.8562,994.9823,995.41174,995.5,995.83813,995.6464,995.5114,995.42676,995.79553,996.4571,996.7781,997.60065,998.2409,998.77924,999.4047,999.8481,1000.3057,1000.5563,1000.7268,1000.9951,1001.0604,1001.33997,1001.4231,1001.61176,1002.1238,1002.76276,1003.14484,1003.0196,1002.47546,1001.9862,1001.47253,1000.8299,1000.4276,1000.2313,1000.0776,1000.04767,999.9774,999.93536,999.9036,999.7769,999.6613,999.4723,999.0284,998.60516,998.17096,997.90137,997.8138,997.72955,997.84863,998.0653,998.10333,997.7661,997.1444,996.5326,995.9399,995.25836,994.729,994.52625,994.38226,994.23785,993.809,993.2822,992.85675,992.62384,992.3941,992.1811,991.8023,991.44366,991.0684,990.6559,990.23346,989.83466,989.5806,989.4512,989.04016,988.26215,987.3975,986.49976,985.64844,984.9651,984.4492,984.48694,984.6946
2025-11-10 01:01:33+00:00,2025-11-10 00:00:00+00:00,1008.6164,1007.71564,1008.2918,1007.74005,1007.98303,1006.3812,1006.5766,1007.24274,1007.38385,1007.31635,1006.9789,1007.3705,1007.26086,1007.75836,1008.9739,1009.6085,1009.3403,1009.44,1008.95825,1008.3063,1008.23065,1008.0275,1007.2175,1006.98364,1007.1743,1007.3831,1007.05835,1006.2047,1005.8203,1005.28687,1004.5857,1003.99835,1003.50104,1002.7956,1001.7903,1001.3285,1000.82745,1000.048,999.20526,997.8066,996.45844,995.00323,993.3959,990.24567,989.591,989.2683,988.9568,989.4305,989.96564,990.31555,990.11237,990.28723,990.61884,990.7288,990.9468,991.3025,991.86847,992.4454,993.1346,994.0201,994.695,995.6784,996.81836,997.30194,997.82806,998.0236,997.60626,997.4754,997.5028,997.8914,998.3767,998.5207,999.31396,999.7646,1000.008,1000.56006,1000.83954,1001.07153,1001.5283,1001.79675,1001.7785,1001.66943,1001.6767,1001.281,1001.4918,1001.6228,1002.3274,1002.39484,1002.1443,1001.67865,1000.39594,999.3517,998.47974,997.87067,997.31555,996.8864,996.84784,996.55383,996.1406,995.8607,995.5492,994.94,994.5023,994.2046,993.74915,993.092,992.54913,992.10767,991.8561,991.7474,991.8273,991.60297,990.8654,989.84424,988.91266,988.30444,987.87213,987.4894,987.2255,987.10815,987.11414,987.2739,987.65625,987.9405,988.1164,988.1911,988.1678,988.1374,988.0092,987.88745,987.77234,987.56635,987.5797,987.82306,988.18774,988.2679,987.7717,986.99023,986.182,985.2364,984.2681,983.3695,982.7232,982.1488,981.5868,981.1553,980.7369,980.1288,978.9422,977.4644,976.26807,975.53235,975.0804,974.84094,974.84766,975.06714,975.45593,976.0855,976.8769,977.3765,977.4866,977.40356,977.31964,977.14087,976.9682,976.90735,977.2525,977.70636
2025-11-11 00:56:59+00:00,2025-11-11 00:00:00+00:00,1006.2546,1006.8742,1006.3812,1005.97736,1005.73035,1003.4388,1003.8026,1003.90845,1002.4557,1000.8588,1000.46344,999.78973,998.2426,995.9158,996.0884,995.60645,994.90186,993.3161,992.87427,992.2972,992.0867,991.8907,991.3588,991.3168,991.9835,992.6011,992.616,992.88104,993.3528,993.4541,993.3453,993.33435,993.31244,993.7729,994.0299,994.603,995.55286,996.3788,997.2312,998.0007,998.9062,999.1368,998.92883,998.18207,998.30054,998.58124,998.8496,999.13367,999.5561,999.8181,999.87335,1000.53406,1000.9665,1000.9265,1001.0135,1001.293,1001.402,1001.07526,1000.8683,1000.7703,1000.9735,1001.4927,1001.7208,1001.5909,1001.2413,1000.4835,999.29456,998.28064,997.60785,997.026,996.7184,996.2557,996.36835,996.32263,996.47675,996.45544,996.2381,996.021,995.9124,995.81055,996.0066,995.7092,995.6077,995.70197,995.9925,996.58057,997.11395,997.1969,997.1275,996.7893,995.81055,995.07184,994.5066,994.42163,994.3491,994.3382,994.4427,994.4018,994.2934,994.1819,993.89124,993.482,993.2756,993.0898,992.8094,992.33606,991.9508,991.75476,991.6498,991.65674,991.7755,991.6615,991.139,990.3001,989.5158,988.79407,988.13525,987.7366,987.6738,987.7654,987.87836,988.03265,988.20294,988.2783,988.2458,988.21655,988.18695,988.2621,988.24567,988.32074,988.28094,988.1397,988.1232,988.346,988.6931,988.86053,988.76227,988.6792,988.5629,988.6865,988.77844,989.0438,989.382,989.79504,990.2204,990.5735,990.9365,991.2108,991.59344,991.97876,992.15845,992.01733,991.6698,991.4337,991.2275,991.13617,991.2476,991.7648,992.38306,992.7038,992.3184,991.63196,991.04663,990.57623,990.2104,990.217,990.78235,991.6251
2025-11-12 00:58:08+00:00,2025-11-12 00:00:00+00:00,990.4529,990.79785,991.1754,991.93024,992.03876,992.0426,992.01666,993.1666,993.6197,993.7972,994.065,995.0111,995.6818,996.4541,997.819,999.16064,999.533,999.5171,999.70966,999.97424,1000.1974,999.6936,999.31396,999.6765,1000.246,1000.49,1000.45746,1000.9082,1001.45264,1001.54694,1001.32886,1001.10364,1001.368,1001.3459,1001.0261,1001.0871,1001.34753,1001.34753,1001.5714,1002.352,1002.86224,1002.33246,1001.0193,999.741,998.96014,998.541,998.1648,997.98914,998.1396,998.0382,997.8177,997.83813,997.8168,997.334,996.9526,996.84045,996.6198,996.23114,995.85315,995.8707,995.8814,995.9935,996.50806,996.5154,996.10284,995.66034,994.5719,993.6658,992.9294,992.73315,992.41095,992.32153,992.25507,992.11676,991.985,991.8498,991.424,991.10266,990.788,990.1792,989.8786,989.0772,988.68506,987.9885,987.5999,987.61005,987.5933,986.85504,986.1895,985.1689,984.27783,983.29376,982.7941,982.80035,982.7021,983.06433,983.5674,983.792,984.7291,985.237,985.86554,986.41656,986.85895,987.4971,988.24646,988.506,988.8632,989.4128,990.022,990.87225,991.82794,992.5341,992.5425,992.144,991.8191,991.5652,991.2845,991.1596,991.26154,991.5213,991.79944,992.2272,992.6752,993.03217,993.1824,993.2379,993.22003,993.2485,993.207,993.2457,993.35095,993.3404,993.4349,993.43835,993.4452,993.3578,992.97974,992.5107,992.0346,991.55817,991.1768,991.0681,991.4185,992.1395,992.77246,993.3359,993.808,994.37103,994.9124,995.35223,995.893,996.45197,997.0178,997.6855,998.54877,999.4195,1000.39575,1001.477,1002.4677,1003.28467,1003.55383,1003.55023,1003.5241,1003.3749,1003.2037,1003.1861,1003.5827,1004.2215
2025-11-13 01:13:41+00:00,2025-11-13 00:00:00+00:00,999.7849,998.9823,999.44745,1000.36334,1000.5887,1000.6543,1001.23145,1001.6959,1002.022,1001.7785,1002.0355,1002.6916,1002.8428,1003.1033,1003.4938,1004.3013,1004.385,1004.15234,1003.69305,1002.7877,1002.3686,1001.8885,1001.2087,1000.97864,1001.0204,1001.12415,1000.8567,1000.7122,1000.7778,1000.37134,999.8632,999.6527,999.5547,999.3478,998.8544,998.7416,999.0321,998.73096,998.5955,998.6397,998.5748,997.9777,997.1154,993.7304,993.0787,992.6863,992.28937,991.99225,992.0207,992.07227,991.6464,991.6097,990.99115,990.66644,990.1797,989.5676,989.1385,988.2526,987.94147,987.3262,987.1435,986.8767,986.68024,986.54895,985.9769,985.37146,984.5371,983.38525,983.186,983.1987,983.5045,983.6726,984.06116,984.8641,985.49005,986.2817,987.1165,987.7583,988.4876,989.1044,989.9133,990.1302,990.6687,991.21027,991.9371,992.6595,993.34454,993.7704,993.9634,993.9491,993.03107,992.3864,991.9134,991.9977,992.0165,992.21985,992.4467,992.8867,993.2681,993.42126,993.7989,993.9299,993.9916,993.8608,993.93677,993.6026,993.2831,993.065,993.389,994.06036,994.082,994.41254,994.45575,993.494,992.39325,992.55347,993.0696,993.5921,994.13275,994.6765,995.12976,995.4956,995.6769,995.9597,996.2499,996.64545,996.94653,997.248,997.5491,997.9484,998.4458,998.9391,999.5382,1000.24243,1001.0482,1001.5677,1001.7098,1001.66315,1001.6087,1001.6415,1001.6631,1001.7577,1002.09863,1002.5081,1002.9317,1003.2866,1003.5548,1003.73206,1003.8186,1003.8151,1003.90564,1004.07904,1004.3468,1004.61816,1004.88544,1005.25073,1005.5597,1006.0268,1006.53455,1006.74713,1006.66797,1006.2936,1005.8965,1005.4665,1005.10986,1004.812,1004.84644,1005.0374
2025-11-14 00:58:23+00:00,2025-11-14 00:00:00+00:00,998.69257,997.52014,997.8698,998.32465,998.30334,997.1971,996.87115,997.238,997.0276,996.3347,996.0191,996.60364,996.60364,996.3025,996.62665,997.1812,996.9406,996.1184,995.42163,994.81573,994.1741,993.7879,993.3024,992.9861,992.74854,992.07965,991.74493,991.4508,991.6266,990.9338,989.95984,989.375,989.064,988.47577,987.742,987.2955,987.33276,987.181,986.775,986.51587,986.50684,986.53546,986.24304,983.3701,982.80035,982.9839,983.3792,983.6234,984.39026,985.3453,985.9773,986.8767,987.22815,987.748,988.44257,988.9507,989.64703,989.8669,990.3908,991.02997,991.8722,992.8192,993.61346,994.0609,994.275,994.16956,993.23083,992.98145,992.69415,992.87305,993.18933,993.4692,993.82587,994.1322,994.4739,994.6338,994.99286,995.3485,995.62805,995.8093,996.50995,996.50995,996.0666,996.0737,996.1214,996.453,997.02783,997.3698,997.7902,997.1758,995.9406,995.22003,994.19055,994.45465,994.62286,994.405,995.3815,994.9714,995.14166,995.96136,996.2074,996.2978,996.86334,996.7667,996.7254,996.786,997.2795,997.78735,998.48065,999.1811,999.89667,1000.43463,1000.50824,1000.3022,1000.14264,1000.1132,1000.17456,1000.3847,1000.8064,1001.282,1001.77466,1002.1222,1002.48816,1002.76715,1002.9556,1003.0536,1003.24225,1003.4082,1003.6648,1003.84174,1003.9473,1003.9663,1004.09766,1004.4326,1004.7748,1004.9319,1004.6172,1004.01483,1003.49927,1003.1647,1002.8117,1002.52844,1002.2861,1002.10547,1001.94257,1001.71765,1001.40546,1001.10077,1000.8901,1000.58887,1000.2877,999.79395,999.206,998.42975,997.2718,996.0235,994.971,994.5064,994.4368,994.0627,993.1844,992.1028,991.1123,990.3105,989.6069,989.1026,988.71063,988.52515
