forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:16:28+00:00,2025-11-05 00:00:00+00:00,8.373386,8.12197,5.4119864,5.495161,5.8048253,6.924738,8.311245,7.92,8.4042845,8.647496,9.3669195,8.825508,9.793058,10.163227,16.375053,19.61587,21.638964,21.407139,22.180206,22.322903,20.570463,16.75064,9.957108,8.404285,9.0645685,11.090103,11.435313,15.496736,14.044615,9.779817,7.5942073,7.5599995,7.92,7.2805495,6.924738,6.924738,7.289444,5.5887027,4.896529,4.379589,8.0899935,8.587338,8.209263,12.096214,12.387348,10.990322,9.178235,9.021574,9.360001,8.534353,8.4963045,8.435069,7.9932966,8.049845,9.0,9.422101,10.594036,11.792404,16.24394,18.1041,20.268991,21.868332,24.162947,25.9225,26.749235,27.776047,25.72174,24.363249,22.771244,21.413193,16.1198,13.53236,9.107359,9.178235,11.013882,12.324414,11.183201,10.464798,9.3876505,10.086427,9.47012,8.905908,9.255571,8.473393,8.350138,8.12197,8.699793,11.27553,12.144331,14.154915,15.856356,14.764389,12.599999,10.483357,8.699793,7.9036193,8.654987,8.669949,9.422101,9.983106,11.043261,15.042659,22.183128,29.215502,34.518726,33.857227,33.588207,28.373846,24.149532,22.218153,22.406927,24.798225,28.257132,28.227304,26.785547,26.496098,25.77962,24.567198,22.26768,19.969458,18.079027,17.429354,18.089775,17.826363,16.641972,15.141414,14.578888,14.345898,14.241629,13.896187,13.450708,12.57426,12.224107,12.413476,13.1041975,13.905509,14.689589,15.463244,16.700275,18.129137,19.959719,19.917469,16.93531,13.039754,10.137692,9.565437,9.565437,9.904906,10.028439,9.693296,9.83268,9.83268,10.163227,10.163227,9.983106,9.693296,10.086427,11.681987,13.779114,15.683774,16.981165,18.278645,18.671474,18.723461,18.335276,17.610588,16.575644,15.459054
2025-11-06 01:00:23+00:00,2025-11-06 00:00:00+00:00,9.531505,9.83268,11.841756,12.6462,14.764389,11.609651,8.311245,6.849467,6.2145634,5.3517847,5.6920996,8.4042845,7.342588,4.1046314,3.8939953,4.3349743,7.7879906,10.315115,8.913181,9.511088,10.805998,10.315115,5.8603754,9.693296,8.64,5.0528407,2.52,5.634891,8.089993,8.473393,4.3498964,5.1165614,6.638072,8.311245,8.905908,9.0645685,12.57426,17.026896,19.137648,21.2522,24.464113,19.228851,17.935081,25.460934,23.675303,19.083395,17.238699,10.739833,12.074766,11.200571,9.255571,9.693296,9.565437,8.473393,8.647496,7.9526596,8.12197,6.924738,5.4477882,5.4119864,5.4119864,5.771239,5.506941,8.049845,10.390226,11.013882,12.758432,12.413476,10.703569,9.565437,5.904439,2.9024127,3.396233,3.563818,1.835647,5.1165614,5.4119864,9.565437,11.792404,15.580141,28.691795,30.302078,31.845247,32.67285,27.475807,24.696104,23.210928,23.598541,26.302181,24.774696,24.57511,24.26998,23.675304,21.599998,21.479664,20.929594,19.881649,19.296135,21.533897,17.283749,16.78156,16.981165,19.130875,21.325253,21.479666,21.96,21.67487,23.157824,23.587555,24.86868,25.772078,24.482647,21.868332,24.014996,26.081993,25.600533,24.795612,22.7057,18.792551,14.618837,11.885453,11.252519,11.659777,11.659777,11.013882,10.483357,10.24578,10.365251,10.829958,10.966713,10.948973,10.883676,11.988594,14.264361,17.377226,20.304129,22.682856,24.567198,26.260265,26.925497,26.903828,27.276978,28.512817,29.651413,30.758411,30.760519,30.599998,29.96662,29.363731,28.551426,27.757376,26.474075,24.693481,23.675303,22.915916,22.771244,22.828087,23.78453,24.967497,25.72174,25.7041,25.944988,25.6233,24.535526,22.26477,20.140705,17.388409,14.57889
2025-11-07 00:58:05+00:00,2025-11-07 00:00:00+00:00,7.968939,7.24486,3.9763298,3.319036,7.5170207,8.373386,5.04,2.16,4.510787,7.5942073,5.4833565,8.714677,8.557102,14.145756,18.448023,17.418196,12.55879,14.654254,14.77755,14.84318,14.658676,12.783802,7.386582,9.107359,8.0899935,7.42159,6.638072,7.10031,7.386582,7.172949,5.991594,5.6233797,3.671294,9.220499,4.3349743,6.12,5.8048253,5.154415,2.5455842,1.08,2.2768397,5.2416787,8.089993,13.004922,12.984975,9.178235,6.792466,5.6233797,4.0249224,5.04,3.4152596,4.379589,6.0347,9.178235,8.587338,10.137692,12.43434,14.168641,18.03237,17.148247,24.48,21.749483,21.99538,22.89611,18.919704,19.08,19.969458,20.730501,20.730501,17.992796,15.978484,16.09969,14.917212,16.263872,20.497883,20.00512,19.652176,16.923828,15.277749,14.904173,14.021525,13.276144,12.88981,13.479583,13.281023,12.594856,16.055355,16.299694,15.281989,14.291592,14.113652,16.375053,17.373497,17.673029,14.33234,10.390226,9.422101,8.64,8.350138,9.178235,9.605998,9.904906,9.983106,10.296251,10.587918,10.739832,10.97262,11.4862,13.479583,15.807239,19.33639,24.95452,25.809765,25.952478,28.48326,29.957972,31.09575,31.82082,32.36398,32.59939,32.559605,32.048088,30.85307,30.04221,29.275326,28.257132,27.497026,26.987997,26.220753,25.711662,24.693481,23.675303,23.1774,23.708124,24.798225,25.41763,25.460936,25.455843,24.967499,24.20314,22.59699,20.991426,18.388212,15.7908325,13.37825,12.313893,11.928989,11.928989,11.090103,9.904906,9.178235,8.534353,8.217153,7.729527,7.0911775,6.489992,6.151683,6.439876,7.2,8.714677,11.183201,14.20062,16.263872,16.434305,15.1884165,13.779114,11.792404,9.178235
2025-11-08 00:53:02+00:00,2025-11-08 00:00:00+00:00,8.39657,6.725354,9.565437,6.849467,7.491114,7.754637,8.350138,8.699793,8.14587,6.1305785,7.8954163,7.928178,8.4042845,6.28713,4.379589,6.3690495,7.145796,9.565437,14.799459,13.5515,12.661564,10.464797,5.3517847,6.4096174,3.8268526,5.2416787,3.319036,7.289445,5.3517847,5.692099,9.726665,14.372974,19.386591,18.919704,20.275385,18.861387,18.359999,21.398056,22.90743,21.94524,22.366402,26.42753,25.864943,23.277834,23.333443,19.083395,18.532135,16.58346,16.575644,17.884428,18.35647,17.713316,18.440998,17.884428,16.87398,16.263872,16.595179,16.418526,16.766108,17.026896,18.0036,18.64369,23.688984,24.535526,25.683926,24.387178,23.277834,26.459387,25.683926,22.728518,23.73271,18.388212,13.708391,12.261158,12.24,11.183201,10.8955765,11.367109,12.224107,12.413476,14.145756,12.10157,13.049689,13.849477,14.113652,14.76439,19.346441,21.897945,22.45315,22.9724,23.219301,25.759504,25.282152,27.558228,28.82249,28.712116,28.277763,29.055367,28.732422,28.62396,29.03752,29.52878,28.515089,28.001427,27.248455,26.493652,24.967497,24.014996,23.950148,24.014996,24.774696,26.302181,27.811018,27.943514,28.227306,27.381308,25.922499,23.78453,21.647945,19.164719,17.015474,14.973576,13.358861,11.966954,11.440978,11.212135,11.159999,11.183201,11.212135,11.212135,10.495713,9.826088,9.746631,11.183201,13.979871,16.516901,18.792551,20.620806,21.313093,20.431387,18.782204,16.808569,14.113653,11.525623,9.3876505,8.350138,7.5942073,7.2359104,6.519877,6.130579,5.771239,5.3999996,5.4119864,5.04,4.802999,5.495161,6.1094027,6.792466,7.42159,8.209263,8.473393,8.759178,9.422101,11.212135,13.397612,14.471821,13.698934,12.24
2025-11-09 00:59:10+00:00,2025-11-09 00:00:00+00:00,7.145796,2.5959969,5.1165614,7.8954163,8.049845,3.4152596,1.4399999,6.151683,9.107359,5.95906,11.183201,6.130579,9.826088,18.532133,19.493261,20.364674,21.316135,24.535526,25.460934,24.72495,24.485292,23.977188,24.703974,23.166216,19.862083,21.203358,19.35314,18.723461,17.654688,17.072504,17.0763,20.12461,20.497883,20.316889,19.66536,21.325253,21.53089,22.007162,19.296133,20.880001,21.41319,22.725668,26.407907,20.188908,23.006226,23.363974,24.458813,21.599998,20.188908,18.0,11.91812,10.105681,10.853866,11.720751,12.371645,13.138765,12.57426,13.276144,11.620809,11.503113,11.753877,12.819235,17.786331,19.95972,21.407139,22.473343,23.584808,25.603062,25.0064,26.882141,26.903828,28.712116,28.772987,27.943514,26.518099,27.722336,28.62396,27.295977,27.026386,26.250393,25.711662,25.741888,25.212852,24.014996,23.277834,23.269482,23.532547,24.675106,25.671307,25.099514,24.216522,23.770906,21.602999,18.733839,16.039202,11.874544,12.181625,12.661564,11.720751,10.594036,9.826088,9.3876505,8.647496,8.647496,7.5170207,7.5170207,7.289444,6.379216,5.5887027,5.1544156,5.0142193,7.2,8.089993,9.346143,10.594036,10.239453,8.905908,7.5170207,6.28713,4.6938252,4.0249224,3.7585104,3.8773184,3.7064266,3.563818,3.8939953,4.2136917,4.1046314,3.671294,3.6179552,3.9763298,4.896529,5.815978,5.815978,5.815978,6.0347,7.072878,8.049845,8.759178,8.473393,7.5170207,6.6185193,6.297428,6.1305785,6.1094027,6.3690495,6.3690495,6.3690495,6.1305785,6.1305785,5.8603754,6.1305785,6.297428,6.6185193,6.830519,7.072878,7.342588,7.342588,7.42159,7.771331,8.707238,10.440001,11.928989,13.441071,14.917212,15.273505,13.698934,11.609651
2025-11-10 01:01:43+00:00,2025-11-10 00:00:00+00:00,16.641972,19.914215,18.844202,15.575981,12.4811535,15.778516,17.477621,16.87398,18.359999,19.164717,18.681883,17.31746,16.516901,16.808569,18.806337,16.394829,14.689589,14.618837,19.9954,22.226902,24.066206,24.014996,20.969807,19.66536,18.193361,11.043261,8.825508,6.87779,9.72,9.36,5.904439,4.510787,4.39436,7.072878,5.6233797,7.7043357,6.8777895,6.193674,12.904882,17.238699,17.935081,20.65848,21.313093,24.48,25.294964,27.943512,31.394394,27.504093,27.558228,28.394392,27.534704,27.238943,29.05983,27.267473,26.987997,26.518099,26.518099,24.122686,23.78453,20.991426,19.969458,19.469976,21.178896,23.132626,23.587555,25.420181,25.455843,25.919998,23.535301,21.077686,18.584509,12.783802,11.304229,11.013882,10.787993,9.021574,7.628263,6.638072,6.379216,6.2145634,5.7599998,6.4799995,6.130579,5.771239,5.5887027,5.0911684,4.32,5.04,5.7599998,7.2359104,8.049845,7.2359104,7.342588,6.12,6.193674,7.10031,7.5685663,6.489992,6.638072,6.5693827,6.519877,6.9899354,7.5599995,8.287822,8.28,8.64,9.028754,9.3876505,8.4042845,9.3669195,9.255571,8.473393,8.28,14.917212,9.793058,11.503113,13.1041975,13.779114,12.181625,9.6932955,8.12197,8.12197,8.905908,9.346143,9.255571,8.759178,8.707238,8.759178,9.255571,9.346143,9.0,9.0,9.0,10.137692,11.177405,12.661564,14.145756,15.629971,16.327497,15.463244,13.797912,12.245294,10.538843,9.360001,9.085988,9.220499,9.726664,10.233123,10.97262,11.753876,13.044722,14.982228,17.782686,20.316889,22.90743,25.49908,26.795223,26.795223,25.630886,24.472057,23.683512,23.319553,23.444265,24.735432,27.943514,31.093666,30.928587,28.312117
2025-11-11 00:57:06+00:00,2025-11-11 00:00:00+00:00,9.449572,9.686609,9.885262,12.413476,13.138765,9.531505,7.2805495,9.47012,9.9571085,8.766573,8.699793,7.9036193,8.435069,10.97262,13.392774,16.418526,18.39878,21.120682,21.096123,23.73271,22.206486,21.288757,21.9718,16.179985,13.627795,12.522619,15.2947035,17.238699,16.375053,12.4811535,11.592895,10.636766,10.829959,10.966713,11.113451,11.435313,10.144082,9.693296,11.753876,14.007655,14.168641,15.778518,15.7908325,23.803596,21.791153,18.416384,14.830076,10.446206,10.105681,9.3876505,8.707238,7.9932976,7.9526596,7.9526596,7.69592,7.69592,7.208994,6.130579,6.5693827,6.2145634,5.8048253,5.5887027,5.4833565,6.763786,9.220499,10.233123,10.739832,12.096214,12.181624,10.44,9.178235,8.913181,7.8954163,7.386582,7.6367526,6.638072,6.638072,5.8603754,6.3690495,6.193674,5.904439,5.8048253,4.5536795,3.6179552,5.4477882,3.219938,4.802999,5.4477882,7.208994,8.049845,5.937272,6.379216,6.6185193,4.68,4.5536795,5.4119864,4.2136917,3.8939953,4.3498964,4.452954,4.5536795,4.1046314,3.8268526,4.1046314,4.5820518,4.6102495,5.00128,5.4833565,5.6920996,6.379216,6.9899354,8.28,9.885262,10.661107,12.181625,13.441071,14.24163,14.578888,13.5515,12.144331,11.304229,12.313893,14.512064,16.434305,17.673029,18.289274,18.947083,18.668005,18.161278,17.884428,18.161278,18.668005,19.406637,20.150354,21.407139,22.657131,24.967497,27.103003,28.227304,27.0,23.979893,21.385939,19.228851,17.072504,15.782622,16.29174,17.581125,18.11841,17.339897,15.546833,14.003028,11.966954,9.957108,8.78872,8.891343,9.511088,9.983106,10.24578,10.594036,11.252519,12.57426,14.512064,15.617529,14.372974,12.57426,11.183201,10.805999,10.805999
2025-11-12 00:58:16+00:00,2025-11-12 00:00:00+00:00,13.358861,16.279802,15.978484,17.917007,16.45007,14.917212,13.138765,14.332341,11.966953,11.304229,11.525623,11.631956,11.298495,10.966713,11.592894,15.629971,16.645864,18.0036,18.289274,18.72346,18.089775,13.202726,5.4119864,7.6367526,9.387651,9.585739,7.386582,7.42159,8.427383,6.5693827,5.04,5.4119864,6.638072,7.172949,7.342588,8.759178,6.8399997,7.5599995,4.0249224,4.5536795,5.0142193,7.2,9.178235,8.766573,9.339208,6.638072,8.049845,7.8954163,8.39657,7.754637,7.172949,7.8625183,8.12197,7.2359104,7.5942073,7.2805495,7.69592,9.114471,8.825508,8.557102,8.905908,7.8625183,7.771331,7.8625183,9.346143,11.384199,16.87398,13.684735,14.386494,12.783802,10.587917,9.0,8.557102,7.289444,6.489992,7.771331,8.209263,8.557102,8.654986,9.0,9.227524,10.495713,10.805998,10.685391,11.298495,11.753877,14.20062,19.513195,20.523157,22.828087,23.333443,23.277834,20.380579,21.767351,21.599998,18.504139,18.391737,19.61587,21.166653,21.986542,22.493519,22.476227,21.980644,20.63023,18.359999,16.981165,14.917212,13.207634,11.440978,9.028754,9.227524,11.525623,9.227524,9.693296,10.315115,9.585739,9.1641035,8.714677,7.653705,6.4096174,5.95906,6.28713,6.87779,7.5599995,7.9526596,8.12197,7.968939,7.729527,7.7043357,7.386582,6.4096174,5.1919937,4.3498964,5.0911684,6.489992,7.9932976,9.47012,10.594036,11.252519,11.183201,11.183201,11.090103,11.91812,12.88981,14.003028,13.830749,13.089354,12.7279215,13.281023,14.05845,14.76439,14.799459,14.4,13.783817,13.849477,16.981165,20.240196,20.188908,18.775301,17.873556,18.486622,19.45333,20.172853,20.188908,19.469976,18.391735,15.876775,13.004921
2025-11-13 01:13:48+00:00,2025-11-13 00:00:00+00:00,8.373386,8.534353,9.085988,9.659814,9.983106,9.360001,8.766573,8.647496,5.4477882,7.2,6.489992,6.8399997,6.5693827,5.3999996,1.609969,1.484318,1.08,1.609969,7.386582,9.673221,10.233123,9.449572,5.8048253,9.255571,8.64,7.5170207,6.0347,3.319036,5.1544156,3.671294,3.0547013,4.68,2.8116899,2.5455842,3.319036,2.5455842,1.835647,2.8116899,2.1897945,5.0911684,9.826088,8.287822,9.028754,12.10157,12.0694,11.631956,10.163227,9.255571,8.311245,9.028754,9.504273,9.826088,10.685391,12.096214,13.479583,14.021525,13.584932,15.575981,16.489416,16.279802,16.87398,17.974781,19.67195,23.47741,25.41763,25.812277,26.518099,27.534704,26.230639,27.155552,30.385365,26.596178,24.408424,25.63847,25.35637,25.501621,26.712873,26.368616,24.967497,22.59699,19.959719,17.309973,15.484185,13.830749,13.53236,10.805998,13.684735,15.876775,16.78156,17.10284,17.84816,17.935081,18.504139,14.982228,11.304229,9.0,8.587338,7.729527,7.729527,6.792466,6.696387,5.904439,5.3517847,4.6102495,4.072935,3.6,2.6208394,4.0249224,1.8,3.319036,4.2136917,2.5959969,3.396233,4.6938257,6.9527545,7.172949,6.9899354,7.172949,8.913181,13.0447235,16.645864,17.87718,18.089775,17.208603,15.281989,12.538134,10.495713,10.315115,10.805998,10.990322,10.086427,8.942214,8.654987,9.957108,12.387348,14.277983,14.186923,13.783817,12.984975,12.218805,11.709688,10.691453,9.673221,8.654987,7.8954163,7.145796,6.4096174,6.193674,6.638072,7.145796,7.9932966,8.0899935,8.217153,8.217153,8.217153,8.39657,8.287822,8.161764,8.161764,7.9932966,6.9153743,5.8603754,5.00128,4.6800003,4.896529,5.1544156,5.8048253,6.87779
2025-11-14 00:58:31+00:00,2025-11-14 00:00:00+00:00,6.297428,2.8799999,3.0547013,1.9386592,2.9024127,1.484318,3.7064266,4.1046314,4.1046314,6.8777895,5.771239,5.8048253,5.1544156,5.0911684,2.16,9.746631,9.6932955,10.538843,12.413477,12.72283,11.923557,10.365251,8.766573,8.825508,8.427383,8.557102,8.557102,8.669949,9.178235,9.904906,10.30883,10.390226,10.105681,10.182337,10.464798,10.182337,9.114471,9.746631,12.387348,20.88,22.932877,23.78453,22.691423,28.820242,28.006056,27.333935,27.438046,26.61323,25.772078,25.006397,23.277834,23.773632,23.277834,21.99538,20.265795,16.75064,15.072783,13.202726,11.631956,10.30883,8.4963045,8.78872,11.753877,15.778518,16.75064,16.575644,16.80857,17.884428,18.947083,16.075521,12.879752,10.30883,9.659814,8.854829,8.534353,8.217153,7.289445,6.9247384,6.6185193,6.6087217,6.696387,6.439876,6.0347,5.6920996,4.8433046,4.896529,4.6938252,4.73506,4.3498964,4.3498964,5.4119864,5.315336,4.072935,3.6,0.71999997,3.0758414,9.387651,10.30883,10.195057,12.496718,13.53236,15.9134655,17.974781,8.4963045,10.383987,11.090103,11.885453,9.9571085,9.826088,12.181624,14.480773,14.007655,12.43434,11.440979,10.883676,10.739832,11.457958,11.988594,12.496718,12.738099,12.475961,11.212135,9.504272,8.0899935,7.7879906,8.209263,8.669949,8.942214,8.942214,9.220499,9.220499,8.714677,8.78872,9.659814,11.503113,12.758432,12.641076,12.24,11.681987,10.990322,9.983106,9.565437,10.703569,12.43434,13.237039,12.522619,10.948973,10.1376915,10.390226,11.592895,12.4811535,11.983188,10.630672,10.495713,12.641076,15.596767,17.208603,16.700275,15.517629,14.408997,11.874544,8.707238,6.5693827,7.7879906,11.808878,16.1198,19.164717,21.734581
